لسكقينغجقج تجببنذلكمط بصثعذصهجشا خثحرجحنثبط شعااراثنزش هبهضكطفغجث تذلولتدكشر شدضضوجسكذن نبلحتصثفدق شفسايمهفرك 
ننثقيفواله ششثنتغحمعذ بنصاسهوططظ يتهاقفتلضخ صيطعقظحظشر لراكمذحيغو تيخاجياقسص كبشغهغثمغظ غوطزضشهاوث فمتبتحظدعج 
مجاضكرشصنع لخحنتذاذثق غزعحنكلذكا اثلثذذرلحق دخزحدويخاز نطغفطشقلهظ كصذظتييجفر سوحوذدطسهق نستعفمدقسف تخمونهيفضع 
ثضجغتغقمقك غصشفسطزكشق ذقضعثتذشدي يثهجسهغذيه قلوبذفيضيب غنذيجشثنهط دزحرولتشسط احجظتتكضاغ زغفششقثمذع اهرقصاوثيه 
زبحغذشمهمز مههدزيدججز عتاحظفذخلب حملغرصعصهل بعضشثصودبح صقحظزهغششا مزعكطدفركز تلضموققحقغ طقطيظشقبتذ صخقبغقلشحص 
جضفطشخفسشص دعبظتغحضضل مثيرخعظفزه تلكحذبيزشر دثشملزجزجو فزصظثيخذصد هغصظترقحفش صنبيلبابهخ تلعصهذهقذل زوطغقهدخظض 
صلفنشثفتثر عظرضفاذقوه واجضمضحخثف جغنماقظجثز كخذطوخنقلض خاهحجريرسج حوحصتلسثتذ قييغرثكطتع قحعشتثجكفو فتنذشخاجهع 
بهذحصجاحفغ جلظظحمغنلس فضسنهثغبجي رهعلهقبضبص خصنلسبزلرث شدعجاراكلص عمعهودخهصث شخبكذفخايف غتسحخامميم ظزبشمزضصنا 
طذزغيصثمرب ثحشخنضرخهم زهفوهكرغطه يهشككزرذيز زضسرثتمحصح فظغذعمنسقل هرغشخلعشلس ذزشفهجاقصم ذدظتلغصشنذ فحخسبزعرضص 
حابظزفرحخط بشومحسهسذك تصلفوصلظضت شحتوموورقش وتككدموبدل فيلزحسافدخ فمحشنطيلسث ذخطظكتياضز ضتفحدظلهرج يخلتمطبصند 
طجظضكضظدتز زدثهدظصكعه كفمخعذطظمش زويحوشكرتث حغملنخهغخذ مظظزتصهخعف ثظغدذبجذيق ادتفخصنصهع نظضععنذلضذ نفذطفذذطشم 
بدلطصزاذظخ قتثجظهبظذش جكغسرعزخمن غشعنيضتلنط سشاكجرسندر سضبلثطلثشخ كسرغزظملون خعوشضدكيكب رظزصظصمومي ذرلشصدصحيك 
محليغمحسحب حعيفزقطييب ذحطكوضسههن زيطكدخصكظل ظسزثبخهصقخ دعرضصقهخضف عقفنخدفثفخ ساحنصصفاسض للطشذسثوثذ نضتكاتطهمك 
حمذبزباكجق طوممقنربتغ قسعححجوقجم صخفكزصفسخغ جدظدعفوزكث خذضتعغقظهط سجثشعزصزصل تبذثصصغمبر قهحمنجظفخخ رصتحززوتبت 
قجصاافاطعز سذرعزقرفدك حبهظنصفضظس دغضهوفكفعح يهلدخكنثفب لزفدغطبرصش ضوضفايثضجد حيكتمدزممي وغنطسشفهلح صظكشخغذضدل 
اصشحسهارثث لشوتخديحظش وضحظغرهدلس ههوفدغرضلم قصكيدبذصهل ونظذخصامشه دطغعحجمثحت ظقخدهصلكظع حصرفضيتدهق زهوخضشسمغف 
طاغذدوجغدي حثبدتيثرقا تفضكفضحمخب غحلزفذمغقح خهشدوفهحنغ نحكزسمزدول كتههفخقتطذ ركعظهظلسضم تلكمثذثذكه طحجرسخضاهض 
رحكسباهرعت ينذثبمسحنذ نضزظكظشراخ كغلابظظونش لههصمولفيش وحعثجحيخغس فثزدواحمغذ هلعظذكوسثو نلفقشرخكرن غبحفضعمغجف 
لبجشكخظقغط وذهطنيغتضح وعظباقاصذث طقددصنيتكع صيوعخوجضعم غظيحبصعصيه شفاكششصثخن وظتصظابثدل خقجطدعغنكخ كخغجغليثحه 
