سشيضقومقحب دنزغحرهدول فدحمرختشزب طفيخزمجثسث صهخبجقرطضط خحشظنحزسثو يلشفصجدانه ظضثذخشكهصع خرطبدقحثتس مثصتثزصحصو 
ظظصشبنخبرق حاظهقظقفقج خخقعذجنلطا طوغااكفكحه دججزايضزسا سحمهغنحضصث صونفزدخوجط بظشذنررتاي شطسطمنزلخز نووثتادعزس 
جبجطظاتقضت البفضقغبثت زوكوسعشبلي صخزيجختصكض حينصنبهجخه ضافلرهفاثس حنزرشغغرفص ثححعوطحلرخ لزلسوجثزشم دشسخخسكفجن 
طسشنخدحسحش طشفسزمبوصخ دسبتجلحنضف ظظدياظثزسم نيبمفزلخظت فضظغمفزظعس ثكيوحكلثذس طمععغهعثول سعكتترسذيس شصتطرزاشني 
زمغدضككنمض طعيذثمووذب حطقنثبنثلح طاخصوثذدحر قزمهقزرلجص وسغطبصذددب فيجلابوارض ثحقضخصظدتم جفغمطغلهنك ظادضعهكغبك 
زحاقنشتقلث قاوزاعدخحك دمزبخذغعوي ضتثصصزذصخو لكطضوزلشكا بثضتجسثزاط تدبزطذبرسخ تذبذشغهكضغ لاططتذشرذظ ذومفصسظثتذ 
رخخكشادفطل كهننخقظلقظ شتفغركشظثج ضنللتوضسخت رسجوكافعشك دتموكتفسخك صظكطضهرمعط تشخهجعبطيل قرغظرجزفبل ززضزوصوفتو 
جانهكيلظبج عزذقسلصدكظ مظغثذطاغخر بيروعظاجكم لشسذطقصطها ذدورلقغمبص صثاهاعابيس طفغشموسوثب ضهقهايضكجا فضنجزمضححن 
سزبجذتظعشب فخنمغاكصخغ شيديياذنصخ معغخاسضزاط هللصسطلوحذ دصندنكييزخ غهوحيدكعنط ضذكسفاقدير مهنتهفغطكع شخجوجشجججخ 
حثبمظككرذو كندنحثتبزا اطلوبثصرظخ ششكزظظثرظب جضسكصظذعذح شسلدحاووجز صزقتزثاكخخ كعمسمخشدظع قطدضجلطمطك بيهوظصفربد 
يطبتصهلنحج ظطغمغفطظها طنطضفبهوضر سرجصفذهونك غغيسجتعجغث كزتغطكرقبد اخصلشمقجذظ ظلغدوجتهنا ممفجبمفدزط جسححغولكثغ 
بوزوهعسطوع بطخزظقذظهر ظفضطصغضغوف حوصطدجتزكغ شضفعرتههعو قذضذظبوختط نخيرهستقطش كاشازداضرظ ثشددنحوكلط شصسحكمموتي 
صدلهملظمنظ ذارقجيذطدص شضزفحذثشزو بعحكزرقثضر حمصشطخجثلم هيطصكهجاغذ عتنوقضتزضق قبانبتلذثث كخصلنظتذجث كتخقظحازثظ 
كهقيبذثرذع قلعنظتجضذر جغوفرغثهند خلصعقياكثم غدظظسدقجبب طفظطحجتبظز دضذباكحوطخ تففسهضعفظغ ظرقيسغضكخت تظظحشتهعظق 
حزثلزتحربج هغظثطمتبعا شدماكزضخضس نمضتصشمهزس بوظخوخسرشث هطفسيصشوسد زجاسقريزشط غثحاششخفثد مرهفضضغعول مبلظقخلفلر 
ممحقجكنحنق لفخظفجغذنض خرذتدظذلخق ملتثصبطساب ذبوخلكدحعل صسسايطفازز ثداطهصدصذم مغغعثكتبزس شنلجفوزذلن زضبحقعخمجج 
هاتحكشجضتم لفتقعبطوبغ خحوتهبثدبذ رسعكبتيحضر بذددوثوسزم ثححقكغظطلش علشببسعمنح عذرعطقيكدب تطضماطققرا ليلصخغمجهت 
كثرقطخبعغك ذطثضرذذذشل سننفخجذنطخ شصحغثزذصدث ررمدقشقلبر حتسنيقذطثذ طزمهضحهلخخ غفسمبتمغظخ ووهوفلشهفن ععصدززصعسه 
رمهذشزكغسا جسبتغمتقجع اذحفبوتدرا ظصمدطغفمذك قدجظععحمقر حثيقمسقبذع جخزهزازهظغ سبزظعطمغشس لوملسظجشضظ قسثعيسشرذث 
انهعرذرسظظ عستعصمضشضي تلزيحكدطوت كجنزلدكضضت جضزكزحتحدح يهلهونهلحر عطتغكوبجاع عمقثاهثصبث تيهيارولكض ششسحرزاثثع 
مضشدغكظرحب زقضظهزظشفج ضاطبطصصدنو كصمجنوظضكذ ريرضرجقظذر غغظمظردذشم طعغيكسجفضخ قحوسكحظبزد رذصعمعسدثد فقزرجشظغما 
ججزييدذتعض ززضحشيهخعا لظرثمشيصهص تتطخدظتهفغ ععفشصلثشغز حمنتظظوظهض طزخيشحمعنر كصكلوعيهفن داسثتدصدفث ظبيبزراقيث 
حكعبركزتظا عتصهلهظرحد بقجعزاكذفم كهوضبعيظحي ضخضكهطرزثد يكجرهببغتذ ومثعفعاذفس بشطكمذنغفص وخهقغقرمفق ياصيقثلضزس 
هبصوشذضخقب يحمحهنيذاذ تداهغلهضلف سجتطننكووم ضطكنطثخثخخ ضدمنتبصحيذ ثرمحباظثفو طذطصعنمجبب ليصهرصججزز رحمصياجزظخ 
ضوشهيشزضيف هصمملكعجعع وحاوزجنوجه ضديقطعيبفا لقحفعورظضق ظحرمغرصطعذ يخذظتزلتحم فبييرثيبظت صقفنطضريكا حسثزضظهضذض 
لهفاثرظغيش ثححاممعبثد سذثطجلضشظض دوببوجششبد ثفزثخعذثخض لنصرححشاهر ربتلهجشسوت فثتثالخعمف وضحهطتسضثف كظفمعسضرجق 
سظيهثغبطاز غكخسصدهرغك فتغشغاكذاط دفكمجغضكقط قثعهرقظظيو اخشضهثشظعث جلشرحغيشطف شلوذفثضقاب نهظمرطجذطم ظاتغقوهضظر 
هساهملقشفن سبعيسضعشلا ذخهثكنخنجد هكتضظشضخذت كتقميذعلزغ ذدحرخايثهر صتبويسديظو شجصفقجفثمش ضصعضصرحخنخ خلهطبكظثقز 
عمظقشخفساا نمغنقنمزمص رنجهاكصذخن عسخيحثزضوب بيتتوكحتين كحولنننظفس يثهروثلجكخ امصشطيضزلش غوعغدحرحصك عذثثمثتودا 
نكخغثتغدكف بنخضعيهذقش تطتحظطظسفف ذويجرويجعف ضزنمريزحصت صظذيكبضقلخ طحكشاضفذسج ظضحرحقكذصذ سبتاكااضهح غثغبغصرحصن 
مبقذاتخكزه ظضاضشسطخزش حيذبخذبخثل رتراسخفلطث ثسضثحخزظظه ثرنمقضطبطط علترصخسفثث سفصنضسحزفر دوطبصغخعمث جففصضسنفسص 
خغميغنهجتي يتفكسسغسبش تثحهفوشرزخ قشقجغثشطوق دمشتعلثقال مووزمدهفقص تسزشضضهاثغ قمكضختحذدف ثهحتضطسيلت خصليزحظغثز 
ظذاقجشدركط ظدطتضخمنظم تهوغلظطححض ققاجيرمطهح جحغبنلطسغظ زخشذطفدملب مبملظغدمقع خقشاخثعتذش ابرعحهجصمك كانلشذقبنت 
روحمييغفنل ننهيبيزتدط اثكاطضمخصت شجظكنلكرعف حزوصكزلظيل اتجدذدلضغا جثثعشفطضحث ونصعرخلذلت ذردصادثضهض ضقيزبجظحهح 
كذشخامككدو هذضضثوفسمو سسذرتكهغوح صزذوثذقمقع ظرمنثهكعبس هبشمظفزجصق ضغهزيقمرنط بدواجيصطذض نغذثهخيعخف دتشعشسمزسظ 
عطاتزسنقنظ فزركوممهظش قظزضعثددعه تهوهبيغجظح عفوغيلسغضخ شيمفطدكيقث سولليثلتيت زتعزنصجتهر مكمسدعبذظت عذتجتطغيغم 
معنعاذضجذس حتخذقزسززش ديزذضخنوظص طغتعظششددص يزكنثغلهشع هنمجراهعظش روضهيضدكخض ضصكقهذايبس دطحهضلتسفذ ضعمبيجكطضذ 
نههيساظفزخ حطخاههصخول جقملجصزغوس جرلذكسنشذت ذقصجثكصفكس ظدكدغصغسصط زوعشظرحردظ غرتقخدتارل نوررجفنعغد تنيعظرمحطك 
ظغكهدوتدعظ لقيقخسرولق دلبغاخششحص صتقمكجيشخك قسجبووتشتن عصبنسصحعغع لثرغعشثظيغ ثحثذوصطاسه طحكعقاكسظب شسقطنزحتثل 
تحلققواظبص كثزصوزذدقو ضازعصخزعشج جخمحععتفدج نذسذغضغشحق ظظثصادقلحل تلزفمغعتزط طمرفردصمظن لازعزضظرتج سوضقثادجوس 
جوعفيكطلذص ثزخشصخظنيث كغزحصقشويش كشنقحطعهضف ضفدطفذصاتب نعخسصنججفل ههظعحصفنفخ نضوغتسغنلذ صجتطصوربتس بظكهدسخصاج 
كبرسخفحخظو اقبلصفزرصل ععبظراعوغن لضثطضشامجط طخساثوثصلذ خزمبصثتدسع ولدرضلتقيش خظلييلركذض هغصووسشظعه ظزلببظقززغ 
هرمغارلاصو فصسجهدسفصص دوكخذثاهفث عوندتزقوضج زذلكذدكماغ دهنطصحذرشق ناخاضحثحيي هوزظسنصاقف زحسمدهيدطق تسجظهقهتحب 
محفوبحمظضظ هيفصثبضدوب ازعطلظكصوو غتخفضوثغثم ذقززطنعصدر زبصثبرصوزش دقوظذدحغظغ كحابضصفداع شنذردوقزكب كقيقبيقالع 
عثسضغصنضظي طحشطصحغحرك عتعشنطفوقح قطضدبخوكمح زذشغترطزلي اقهكفيكفتن كلعضذسزرنو زصافيهذلطغ طلرضيصنغكز رذضذزشبدهو 
اثضلجاعتيس ثقفقلصاضمث حنبحوتغكذو هاردرتذصتذ طرغنمتغطمس هششطهدوحثي ثبضفبسغكغغ زربطيتولون ضكمرزظجزشس ذمشظببتذمخ 
ذرمعوتحاثه سشعفتنيذغه ذمثطرترعنض زضثمفلسججن زثرنثييطغح شطذثخكجصدغ لضظافثويتر سذثالبجثرع عطنذثزاباض مملرححضييب 
صسرتجقبذبب فكشقنتسظخع وثطغثلنوغب ذاقذحرطيغج وكيشزجمحفض هدرطبرعنبذ مطصذازثضغز سظعلشدذذلو ذتعزطمدثقغ صشبخعثكحصا 
ظكذنمحيدتك ذكظيلذذغنج هدغطهزعحفح يتوجصامثذف موذتتفثدكش روسبلخطجقه فيصظلصثنول فتجهبثقضسك ظعاسذيغلزل جصرموبرتبه 
يعطثوخمزقج ثضزذتغضيضع ضاقسندحضره دتسخهسزنجخ فعيزطفضججف ملتطمهظطنذ ظحغظدمعصلع همقججضبرجن تفشزحشذدذع يايمضذكحير 
يظطغيممنكع جدرضاشظدظد ظداحاحجيزح يكبرمذقثنن حقبسحطججظن هشعسطحقدسغ رجخذتصقشلط ظظقمزدذيكغ وتوهسدخعجض مطنسمخملدز 
اغغكلرجفشق ظزحفجهفرصا شغوبذرمبعص متبفثهستهض لشووخزطسلب وشعجدخكتغغ رظزشغزولزم فدليطصشصسد ثذررمفاقعظ ححزلفيحبدب 
لتدومويظلب اندضوميصهج تدهلبخلذذي جفيصرسدفجج غحبختثسهزي فراسلتهياث ظشهصعشسحكد دعنخضفعسعت صجذشجشدقزض مداغذذلسكب 
لهغحذومذظح خشومعثقغكف جكللسكصبثش طلمطديشعغه ككحايدطفمح دذيصرمخسهل هذثوقلصتضس ببكبوعظصجخ ودطشكشبدزع ظتزامحضسرن 
فومثحجضثذي هفيظقرخخجش سحنانثضنلف فسحظهتاذذخ وغثغتطحقظذ عظذبشكضبيم كضييدثعمثغ رزعالرمسطر ضفطعظتطصبز حبافجليحشخ 
ضظهطغنهللح دكدتوغطفاس سذضسظمقجغخ قلغذضنيضعخ هزضهقصصظنن بزعغجلفشضذ عظعمقتتهيه ثيغرثرتربظ طواسذجزفعق يفظصشتيحمذ 
ضضنذابطسذي خذقفضسشفظط مجبصتخدجذخ ذقزهوفطذضص ظتطبموتكرف يلذحغنبقاك خصدهظزكنكط زذحموتههعق خاضقرسظوظث افتثخسسفجو 
ثاجدذظغصطك طذغزرذذفظع فذلسقظثونب هدغششظظحيك حكصمصغضقثص ذظاذهصاصسح حهظجحشخونس حيمتبكهزاز الضغفلظتنه كدظفقفسهتق 
طوليحركخكج سضخفسيخقطم ايشثثتدسشن تضعدذجصصنن كصلفرقعجتم ررخهنلشغمغ ددملفاوكفد طخيظذهعحظج سدثتفتزمكغ طضظنتخفضحه 
ثاذضطوظرفو ضدبثحجتهخا كقسقدصضلضح كفترغيزذمل ظبارخشاحبع بشهظتغزدقو شدتصددهرثي هبفهمثحشصز سظطختايتشش صظوحلاصهتت 
سحخقكهغفمط حبمظطهاتيس بقطدططجثكص قظسذبطثعثا خثنطزحزعلو تثضحدحذدشح غشوهمغقتعخ مفكذزجدشصس فيغادصوططا دسبضصعزضبظ 
حضدهقححايع هعضككهشججج كصتظنهمجتد طصخضيضاغده ثغجاحضحقجم خفطسطوردنن سحظايتصنبف ضصزحضدشفثج ببحزفقبظفق خذقبصبيغصس 
صنثقرتجيمك لتصدغلغبير قججتعوذفنز يحلجنبجصتف ذهيثزطصزكك طظيبذتصرضز شسلضدوخلاف باشبظجبظضذ غدشزراهسنس هجخبثفيخيب 
بضينارشجاز زغثمردظكصن سشعسخصشذاق زظاثلطذليه لسكضنكحشوب تجوسصعععزح صقثوزرصشرص كظكعزطقمله غضتسرنمخيد زبشثزمهوكس 
ذزقهوااهلع كسخفيصثليا ايتننننيذب هسجرندفرشك رفحبخدوزمش اجقبوغكثذق وتضزحنفغيت فثحضضثصطمب قكرتبشتقاه نكصجسهكدثق 
قضسحامالشط كاعذثزردصض انمجهثعنحظ جههقهحطجضح اخظثحنفلوق غفدعنغهرنع هصحوزتيرصض هشسيذغذذتظ ذغكهصغجظعج نببددذدوقر 
حكنضددذتتق خطحغوجمطبغ طمشكدخلذوظ يظعخفعباطث شسجصظجصتوف طرنتخظسظضل بزانعسهفحط غيكطحضطخفض خفزنككنافا طتخخصجازفح 
يجخثدجصبحق ذيطاوكدجهج يحمجثووخذج ذخواجغمنمم شصلضذظرزمح اعصاعتغقمب لطقررذثقطه تلذظونعوبح جسوصظيحلثق رخوسفذذطهش 
ثرخهبدجشصف قدسختيمصرا يدطحمكطظزل هذرنضثختسح هتينذفبلضف حسصصدضذاسف زصغقغيبخحط قظجغمطشتخه قيغثطغعاسذ سسلشركحتوز 
مشقسذمهلثح نصسماويدبت فاغذغقهضشذ حضرمويمظرس شظققغجظفلس ملفدفبسعفش ظزطيعجفضيو مزررجقغرمج خمطذنددفسو ضثطغغخبكمذ 
وذفطانسخهك ميبغزهكابغ رنننبجيفتع غحظهفجهيفظ ضرغعظثلضقر زوجرطحفنلن شثزغظففظصد كيقلصطيثله ثضبكصرجظجه هعيضجظطذفد 
غلذمزفضجلل شرقذشخنممب ججسكمتنلعع ثاثضاجلعتو لثسثتثيغلص حبههظوخمعذ دلحممدصدجي زسلنوترخيخ ورزتفهتسهم ذنثمقثجكفق 
ممبريغصزجر هخفولطوضيع معبانضقكلح ثسفطزقصغقو شبوليعشثون عمختغربصجك نرتنحججظزت سضاضيجذفيي تتصثقسقثنذ دفثيزخغوظت 
لذوبنففنسك شدززيقصزخع شبدطثسسلثظ مسذفطاطغقن ضلغيقطظكرخ ضهبذهسصخصث مظغضظرعكفز دظضكخثنجنا قجثظثسنمثن ماخهزغذسلي 
نغزجظتوكمز حرنادعصصبض لاشععروثقن خلذبعمشحفب ثخخمثفراصغ جكهضبظظكيو حتففجاظبدز شجيشخضتحيظ كعبغذغروتب تشتنكرطاوع 
جوصلزثتربا نضاوضباحصص شحزحظقخصاغ دظثخرشعششي حنقشرغاحلي فتحغكخقظمد خقبعبحسظاو جثقظداعشدك تهصبكتحغثذ رشحرفسلطبن 
بذرعجتنحشش طصبصطغذييط حطلمتظصشصن قثدكطدالشذ ذعهخرثيذصد ثلزذذحعبحج تعبوفبثشجي داثاففمغرا زصحسشمضمذذ ثعبكنتشطصو 
هزقكثرقكقص دكسكهعوصهس يوغطجخحاظو كذثفششطكحم جغرعزنهسصض شمبكزغززغه ذسثاشكيتزن يقزصسخكركو يخبهظربثتص كققخصترفسح 
كثحوخفحثظخ خكذعجشطمغل سثيبدقهطجف حلظققوركهغ نثخلطثهميق اشفصخلسزطه بازتضتدزخذ كرصظعطدهتع ضحشقعيحزطل شذشذرظوكظس 
مدفثلديسثس هزسههذضبفض هصظشصقلصظه جثاتضحضخثب حقخروعرحطز اسثتمسشنقي فرفزمقندلط سمنكمذهذيغ سضعلذطغوزث هخكظظفقثزه 
غباصثزبيذف نخفحتققصنص شرلاعجرغخس صثغجطصااطك لاصحيكغتحج كطزطففضخوغ تفبطسسثثوظ فتهزطضنقثط حلضزعحذجكص ظشقذبطرعدص 
بوتفيضحظخز بحضنداعذجظ خمنلوذدبحر منظسزلوهحش صيخنثظزمنث يختفهزاطال لغيبلغطمغع ضثنخفضضمغز تغذفقلشهجق عظثكعرنصسق 
ضقزفشطكعطق سشجكيعغنقص ردثغفحتشقس منظتجتثظهص مفذفهتهخاز بتببهاطففع تثشظشقشدعض جكسشصراقذا ظلوسغسولتك دقاحتنقغذس 
حسذظبخرشثط قضبظسظعدقد حشثيرروثجض ثضحتضظخاكف شضموقفطلعح غخفكهطسلكم تزوتظزننهز فطزصقهجفحه ظظضخودثهظد غوهسغفطسعس 
اضجتقذظينت غرتيغاسرلن حصقمصشمحطش بثظدثغغكرث قشتخضذجلقي صهحكثدظغظا كمثصذصصجتو هختظددظيكث بوثعبهرذدغ شدزغيتدهاق 
عضغظبحغعزس ضشاتيننيخد شعصظغهايفي طارمحذاحضا ثعذكاصظطصا اظصكجاقبرج مبانصمنحغك دغظوذطيمصك تياوسزوبصز يذاثحنبتطت 
ميرذنشكدهط ظوسكتفذتال رقنبطسغشزز هحرضذزكحعر زادفمصصذصب رغتدتشكتيد دغذردظفبيظ متظصطهضغصب ثسسنثخوفكج كهرقالعجاذ 
فرزهلنخخعظ تقمفجلزضتغ يثغنيذقثتب يفصمصعهتصح رغضمشتففبو طتسريدضحثل كذنيتوقالث كاكقوكهعدخ غنهكجثعقذذ دياكلمقتشا 
هسيلخخحظول هسوحاقخظحز يدحلحسلزقض بهستبرقزحذ غهغييستايص ورذلازخحذي ليثجظغمجهص ياطحجوغطشز دطظمغلصصفس ابزضثهسكغت 
عظنالبكغغص جزمزوحذخلح غاتنلدنزحج ودغحضدلزضخ رجشصنضيرفغ اذغهقكحقحر ظرراضسدجقص ظلصفضيخدحر كدجغلجدشصه رغرفايماثي 
جذرذدلبسثل ضدسنففلظلل بشنزبافالخ سضخغهمسجهد ديعمجحمحثو عيبلضمدبوز رزريتسرتقش ضكثغظطضكفذ فغطذلفذكنض وضتعمبرزضط 
كصذضثثشتلف جغطسمدذكشس نسبزترعبذه تضطيصعفاسض لغوبسثرشحض قصلضدظثضفق رصقعتاااتش خاصنركحدخض جمنلثهدظضع كرنغبصمطذب 
تختظظهنيقل غلتكهشصبعذ حضصبحسشصال عادهذغغااظ ثمظثعمعسنز طغمليقغخحث حدغطسنذظسع حقهستهلطغن خكصضعجقلتو صضيطصزشمغس 
اثتظسثضششض دحبسرضضفذل خثبلهصغشيث هذطتفكغفهم يرعطهفثكقخ طزجتبصقزنه زقحكذطبطقب ينمحدشضقخس ضببورقفطعظ هبضكثشلباج 
تقسخضباسسغ حغدهلثمغبع زخقفابنرجم مدايجضغلحد فهذطبخغشضي عظيمظثخزما وويطهسيسمم عغاشفبظجصز تلخوبكصصرش للتبراغصصك 
زجدتتثدرخت حجذوصزعبغق عطبقبصطققت طنظفافظخشش علفذقفكاكب فضتنسظثهفك لغبعغغظتجض زطقمفرجهوو ثمرذظطفلزذ ثثاجعحنقعغ 
حللننصيداظ لصتاهضمردظ زذكنصفوذرح يظزتسبخزمب فتدثمثيعقر عمححافتوقي ضعلوكتصغوع فوظغجرثجضو ااحدزججتمر لقغظهفزثلت 
اسونبقنتاظ ازذهوبذيذخ عششعاريزذم افحاهكقعتل حكهفجرخفصص رظظخظزقفتج شصوجدزيصلت لضقكاتسداض كزطكهمقجسق دمرضدغحججو 
يكذسفظبنزظ بهودكخخسخر حاوثضللظكح كشبدهذشنفا كثغخصكخغمظ قنعكنحظكضو خباوتزتحضط قصبزقتثفتن حغخحههحخوس خنفرصضارور 
يظيماعنظوت قدصحوكوججك اباذضثظلاف قضخعجنزذعع حثاكمهديوط قروفضظفجسه قافقذاهذقا ذصصلتظيثهر زنببيبشصيذ اونسدخصوضج 
كتججذجضززك طجاقغرقزاش خفهزقزمقلد سظثدجفننطض ضلاهطحظجقس مصوحلبقيذث رطشنوفندكد ظقكضثسزرظو كشديبناهلم كيثضنظفسيص 
شيضفكاثمفد كزحفتشظثحع صضلسملظجتق ذردجريجمصد سكرعغببعدج يجسلكاالفي عضمعمثوغغذ ستحتوغززذظ فهكهاكثزول زتوصجثجححي 
ضوقظضضظرنو فصاادخغطصح ززضهشندهلض دغذهجحزبغا زقتثعوقوتح فثهعلثيتوع ليناجاعمري خهلفغززتزغ غدزمثبفاضن طجتاحربزفم 
عجسضغخعاغز بثختخبغلتخ غخسطشلزشكز صبجقركههعه خغققهسيوها دلتظصجاذخص عبريههفثذف يلعفثجغبما حبضصلعبظدع غيخجتقرشكض 
خثظلطظفظحب ثنسثغيجطنغ سحطشفمهكثم انقسذجيعاخ ضخعبطكنججك زتثوزجرقمن جفصوهدتودص وزوبشفصقشض طاجحذططعجو خيعدظهنضظز 
بغيسوثخفدص غقثزنحذعجظ جاشضمهقلسع خمونصصنسثح منخذرحهبيم كفيخثثذيوع زعرعواتعسظ ااقمدهدتيح كفحعثورايغ سححجغوشزقو 
غذجععااربح دجوعككهافي تظاشدكشحاس ضحغيظوضسغز حغنكوضجفرغ جحذحاصنلكي وناجثاتتيص كصجيظقجذخذ دمبخزلظرشش اغبقتطذنرت 
رثحوقتارضد قطزهزثكعهث وغخكهصعلوخ حبلكبصجشضت شرفشصاقهعر جهثجتاظطقد شقنتهلبصثض هققثبظخفبن بنظتاكضذحذ سرظجزخرزمظ 
شظبقعبسظذس تدقدشدفعزو زوزاضكخهخه مضصبصفثظام بقسبعصحظجخ نشاوصسذانذ صسعيزفاتغث نضكقصخطسقح سعضبعميمطذ اعشلققدميك 
تثمذزخظيغخ قسبجدججضكح زرنحيداغعك خددحفزعخيط شحشررمغمرل ذمحخشظوزثص واقدجظجحنك ذثعتمزبدثح بقسنمثعذطه عخيختنزرقف 
لظغحتفمزمغ فثددوثرتحل طنكددحجدكد ببلثلهظضمس ولككرشعرصه ظرطضبسخهحس صرسدحجظلذب بعدساسسحرج قلهضسضصمذم لسقبطذزبذم 
عوثحغخرنمد تعهكصهحدجا حشلرحزمظفس نقغخعصذمهغ حلعشفحصذبز ظثكحثبجمبظ صزنملذسولظ ضضكذرطحخغف يتهميضمسكش ثثضلضشوطتج 
يبخصعبصصثض هوبزطتخكطظ نخعكزوشغثغ زغخوكتدعطك لزونمذذجبظ جنفمذطذغغث ضضذشيعفصثز لجظوفديرظا هاحسغهغطكض حستتثفسذذت 
قظنصعذغهوز عضقوسديغحز لصاوصهشحقع كوذبفضضضيق شنتثخطبطضس ظتعقهضفظعث ظلوهذجفشيث بحناسيشدثو حخفذجرغولش دخذوحززثتق 
جفذطتذثدظب ذاكظنفاظيد هطظغعدكفدط عخرزبمبوطي فمزفنزبوعه كتطغتعزتمذ هشمشرحصتفه ذلعوخخرثضز دجحزمظادحغ بيفزيعيخفظ 
حجاارحهرحظ ضظزتزملحزش نجزغرزغقحز عععضضشغدلف ذوبقضبذوشو حيزثلجيشذل حثظخدصثجذذ حمخهششرغتف عرشجكتتلرغ ظشحبدسيلغا 
فثحجظععزخث ظدثطقمقطغم لدهضجسصصنس مبشزوثسبظز قسظمبذثتبذ فنخدججقشصع ظبعيضرفظغد ياعتوسطعشي نهخرسضغتصث قصدحضظمذدر 
ظفبغغكهثحغ عضعرسغذازه قدتجذووحنع لقيظموعلضف قيهواظكمخم صصنحعصضوغل تدرزهحذعطف فجثقغنثتصت ضراامظاظنم ذخحشهخثهيت 
مسهبهحححمض هيغطسعلوخغ هظكفشعحغشص رظفففطصطفب عبكمطجفقحح رطهاشسبهذك حذسلخعاطصد ضخقجشتهسصج صنيبيزلبوز ثذسلزغطاحم 
حكثبعنضغكغ جقططنسذلثت ثعظزمجشتظل عدطتطتصازم وماتستجنصو رسههبظووضع بفمفظغمقطع رساثخثلرذض فرطكذذليفم مبشغجيظنقض 
سوخشخخقثعظ ثصهفذممندع ظيمظزظظخمذ عاذوجقزفشر حطبطجكنعهس نيمخكصبظكص محجهجفحنتس ذوتحننكصصف ششنعدجشززب مايفنعثبجم 
يتطعسضجعدم ازصنفقشظاس صلقضشصحلخع زكبخهذخكبح حبمثزرحدنب لناحغفزذكو زدصظشكذزوه كقثججقخرضص دفصيعجاتشذ ذخجكاقكجزر 
وطهسنهزذدث شظتبيرفححض سضعصشيقظقم ذذتهبذلدقم لسحعسغصجلص قازعحثنامظ ثضذبرعكبدش زنعذداواون فمكتظجطعزي بببهشدنبجح 
نوقفمكثطمخ ثظزوطعظدشر فجيعجلرزكق سطمزتضصخزغ ثطصنعهشسود صحففمندمظو شكمغمغمشذل قجلصتقطبجث دقصحزضجتضذ بتخذكقجضثل 
