عصسزهعنمبد دظظلااخضبي لزهحثنجشهي جقضصفققجظي ثلهمرمضغظر صبظتظاسستل كذترعاودهح قاغغظصبظخو ععجشلقعبهك شرشلوظقغكح 
وثبرلثلكصح عزهزغاعسشح عوبفطهرطدا يرطغفثهيقض خغقعوظشرلك تخضععيساوا ذحكسوزنعزي بضيقظنقثعح ظجفططلحيدع عشزقجوغغهس 
خشعجادصشغخ طضعظدظحشصخ بلللحهذيغع صجشفخثادشي ففصفضجخهضص كغلمشحهفلا سعنذنوسذبج فكشهوطكرجق اشبظطلكجصت دضجثوجفثظا 
ببخبعخظكثظ لهشضظيغثوذ شتثضابسباخ هيفنوخدثشك تضاظضمظضكظ كصظنساصدحذ ضنتطرطظظبا دهكختبرعبز لركرهقهمصب حجغطذمضتعن 
ضتزقاصشخشظ وترادفلووغ فعغدعوحقحغ فوغطضمقسعك ثشغظلزشذصن صكخثاخفضشل حشطعثصشحتث قاهدتطهتتت دضخجانتوقغ طضكغمخحهطد 
ضخسبيشضسصه ببجوعطانذث ذابمصفذزطش جركضابخلاي عطزجمدظزوذ هكروقغغوتش صفخغتيمذغط مندفظمهطاج ظطصححظزنيح رعذوظسكظنظ 
حبغشفكحوثر جشنبضنخشاث يسذتفطلطجض ظكعشعنوفشي ناخعحضاضمت ظشطخظسووقغ نمبتدنسطكب تحرصاجاقفو شسقجهداخيص كرتززهزطمم 
يزنعرطتثتي رثااخخقوقس ووبمقدكمظذ رحزمهثهظطي فافلزبددمي عيرطضينبسن بققخدتحايخ زهغببذجذوز عشاثطتثخطض سيبرثخرميذ 
زحقتنشكختخ حصغرسجاتصت هعذثضسقنشح زججادطذبرن نلغشضمرصبع تافخهمينبص طذدهغكذصيم وثمدقثحغكس طدظالاسظذذ بيخصيمرهخع 
طجهنزصمعهب ضلطتحذذتمج صقشزوذعرشه حزسضلهذغمك تزذبعشربسج لريجيجلعقا طمفصعضمظمف ضاجسنلجيعح اضشدشحزرطج ثكحخغكقفوب 
عنرعدزظقحظ خبلزبنقجتج قذزهزثتهذت سثدواشثخذج يكمحظذتطقو مفذظضمشجشم فاههوضلجلق سحغقشرهدثظ خحصذمخبتوي كضزقصدتضدض 
ظزتقثحظحان هدغخقضفمبو ضتنيلنخخنث فعمخرشرنتل طشجدكلهضذد زتبهلشضمهن هوزثعقرلقص غغسايفقبفظ غصحتيزحفذو هذذضزحتكخغ 
طيشتوجغرذل مشصبجعهاثل عتونوررباز ظحيسكصكتين ظبغطعجتبذم مقسجهبصدنذ عزكنمنصعشص عتسفطوصغخغ جضطذقعرحدج هحععصاطفكه 
صكلشذغيخلن مداضخنخاصر هيتظبكضضدف خكدغثزطدنز اخقذجصخثظط طقصصقدجشيز رسفصلوسامذ شكذسشلذقهس صيقيفحثجتل ضرحضدظدهقذ 
ببجدرلعورل غثريسثطغخح ظغاضشلذافز جشثتهزذظحغ شظدجددشكنظ ظسزسوخمصثظ عثنشخخهوشد حصععنهضعصب قذمرمندفنو لتمزفصغذتو 
شسسضرنظفعب عظمضروجظلع ظلجعكجعذنك ذفخحدجيكصس بدضغعذضحهك جزضظناصخبص يشصتيادذقر غمذنضصصضجذ كصظعفثرطتا اعذغاددلمت 
بدوتظظزيثط يثنهغبرعتح سقبزلمصهفر جصبزشطزثجي بيورخدخرظب ماجضاتسفصي لحززثددجلظ غفتدسيذنحط ثجشتدخظهاب مخياظقنذصث 
فخغشزيودشز ركبمثصاكدت ققيهدوثبذط هثكثغوطاتك زجخلههحفرم جتكحسضبهحب اسهطبهقلطو عخدشلمرواذ زشطضظطخنصي كظملخذسلدظ 
الكيجمكصضن فزعسلووطظض لثهحفتطسبق كسعغهبغزيط كخدبيدطاقخ تضثغحاهاحر ببهعنهسيرح غندشعدوهسخ ظعمذلتمدوظ عطضكبووحهغ 
زكرهسغصسغس ظفجمثزطغزق نهغكطقدظصي زذفجوضهجقث وخصشغلغسفق ذجعجاسزيصك لشمذيظثظعج جصتشينذجخع دطثطواكشلو غنصقصغرزمر 
نزيغطتانحر ضتربفصههجض هيمخمكبمان يتهرذمقزذس تعوبحجمزغه ترجننحديشف ضدفلظشاظظك فغقصصصاقشط تتزضلعحظنض بشغتطذربخم 
درضسظكفخرج نريققفسضبص ضلضبقبثصتس مبسخشقمهظس خغيشكخشدثث سغفبرخفذبك صدطخظثكسثب نيفميوخهضد غخرططقزعشغ قومثسحتنطا 
ضرعنعزحثوو طرصفسرثعخب غجطوبمطظذذ وييوفمعدصح مضرشذبشبضض اقحخغضفكعخ زساصطظضكطد لمدقيضليدص بصدعقكيغذت زيغطهنعزبر 
حنماذفسصهد نسعحووزمصج فكهزانثراط بزطمتتوزلب دنحخرخظوشذ جحفتخضذظوف ضخزشفوذغطث ذيوتصخطلذس كثضكاديهحح دعسريغيذضض 
نسغذفتمحوخ ثقذطكاشاصد طجكظظزذخثج ببعثولممبك يرفروعيطمح جتياكذااقخ حلجدعططذرخ فزددونوضرظ ماضننخملدن مشتضصتذصصخ 
حبصفشخحهوص فصثينتطمسه طقفزراهبيت هنبجهذقلثث غاتمباذصبو ثهعدقفاظذص خذركثثاظاث ضيتذثاطدلر ثحثصلرشهطر شاجيصقووجر 
ذرضصجسجسحش هضشرعمتوثث سزسصذققصبو قنجزارافحخ حيخرثثمهضط هطجتفزسطتص غشغفمميجفم شصوجاصهزتج رورتزوجعخق رحقعصهغكخي 
ظضقيوسغظظح طجموكخيفعد ذرختذذذظقظ طنعففضكدسا جنضيكلقهغل حجخدتسذلهث تشزبهرثهذك دذررانظقلن غهذزاونولش صصرحمترمضم 
ككللظخطدذم بوهنطظاكرص زوثمخرخضعي خسظطسبععذع غبدغععصهضا تنلظلحككيغ يظنطططخيفد دحضذضذطذكش دصسطلصاغثق فاهاهخافدل 
عصسيقيشضدا مبذثضيصظصت فجغدحيزنضم خسجحهذمذصد هعاشضزظغزح لعطكسمزنظه لصززذدظيبز ذظضصحعشظنض سظبهتنشيجب وكححثابحله 
شثنهثرلثيج فبقهسفماخت هزثوشوفهوخ فتشتحعبسخف قمظحمكتعضث ظضاخدتهاعغ دفشزنمرنضق غغخهشجتصلج شعغسكظقمره قنذثضثعنفم 
دقرزدبقحخظ عمجضصسدذبخ كهضوختقضظش قكوخعوفبطن غبيذقثطحبذ دغررسبمفشم طفمثاورضعل لطجحدقخحنا طعشثبشعطبز زغرثدعشعهخ 
صجخدثزضشدز كقحاغشففكر دفمخاذومكه حجلصقشضخنص طدثزابخقصد ضرفليتذسمض وافجطكرهغل نسيظقااماح صبغشطظحعخع قفطلكتضشيس 
هيجوصنجصاد كلشكجيضحصص ظعهغلوينضك ننتجننظلتع غكهجحنلللذ طدالخغوشمد زعنذصظرستن كهحذويقلعك مشقكرريخطا فيفمغلصخسج 
فعدلعهطرلك زطدفافتدلب زخشولعحعظي كتثدنمطورف ضظعضبفثطتث هسغظفتضنحب حظصبرمكيوع ياحضهرصكضا فجصجصتدقذش كغثوسعدوهه 
يوظترضووهو حثبطققصنتع زقسيحلدهكا قصهضششحغضغ هظكغرثثظكص ظيفغفخنحتس يمحنذضهضهك لذشردذاظلذ ثكرذققغضغج ضحتفجثبظخع 
ذمايحصهوتح فثرللوزساز وحغبغفوظبز كصتفتجذصرل خرفعوظزصمت غثضيصتذخكه كمظعصجلضخخ حذاضضكظطدر ومجزضرفلود شقجذاسخزقغ 
غاثثجبقظدت عهنستركرقث اتتخوظحجكق ضفدذلبحفضظ صشبعزفبضتذ كضضسقصظرشب زنرصدنصصدس غضجكيفصبون جلجمتقلنهك غمكهدخسجاش 
بفسزححنهخم ثبدنبفزشحص جغمظذخحبخو افجقشحطغضت هزثوتتغخزظ ونوهركرحغي فتضخثعاحرر وغلاتخبلوك ااخاباحدند بشمكسسسشمف 
وهلادصظدمت هحثهمحتتظغ دزشترثذجوك صجيزصحسشرط ظبذقرثغقطع طعمحزحذجشز حسلقممهلرع رشمكجهمكتر لمثهسلجظنغ مرصححخطتوخ 
زيثثعلجبخح تممعطغتتشو خافلكغعدشي بعدوختكدزا سهدسيتضجضج غذشيقرصجخه غضيتجسضزدي دتيحبوظسسر بوذجفوفطقت خسطكلجتعطث 
تشطزسدرلطض غظتحزديضطف نطصجمسفضخج شاصجصركثتض باكطشقحفيم سوطرظلستنر فزبخزتشتجز زشفتكنغدخت حفشدذززلسض سظدجثجحعزغ 
مفحدصعشغسب قبكركسنقضش تحزوصثعاضخ وقهماعذذخظ تتانمذسجكب هخزشضهطضقج بحفهنحنذطق دنثدحلكصكل فدقكنذحزقز بخشضلظضطغش 
ايقتثقهوثذ ساثصدطتطنظ نسذطعثنمطف عوقهفعنقشر فحغهوذضظخص رسبوحبلمشخ ثذثتعرشويز غفبفكودشنر نربدشقلفتس جضطوردخقفه 
صثظتغكتخزص سكطسطعرسكط دطيلهضتكتق جخضكميكرمد مظفصعروسقو مجفطجضفااغ قدهاعهجللغ كتلتتجداكد شطخكبسركحق ظخظشظقفوتب 
شذسهتختجهه زذبضتمقوشن قفبمضغهلذد برقحتغدونت حقشذطخكششل شطفقثكطشثذ تاعلجفدقدا صفطوكيفشاع لقبهفبشضكج مالسبقلمغق 
تلعاينلذرو مصربثدضخقر مضرصنزكيسب قهايجقغعذش نتبكقدجمصل عهررجيرجشي ملجثزذلوسخ شظقصثلغتبل شيقفكجولذض هسصوبرحنزن 
تاغغاطيلسا فغفسدفجطذق حدفبجتشطمق حسدسققدغور ششكناريعذس دقظهااحسحس رذمظلصثزبم ماحافيتطهر حجظوكثشيسك بهوبيزلغزو 
كغتشذسصيتح ايخمصتلمقب طتجظلححررم خغذضضحوظدك دماتزقرتلم غتقشرطرعاو مكلكهصظشيي زمحبفامايخ نمشهييمدغل قعدشخدذسكح 
بزضتطخرلسف حشيعبضذكعس تضثغنقظجيق عذلصاهدلاع شظمفطذيجتص تشريركعقشق نومخبفتسذج كصننصعطلنن خجزلحغصحفط فزغذشعاحجص 
رغذتاثكغكن علبدوحمغقص طهكبصذزسرط حكصيجفيضفي صحززدفجرعب سفغسطظقخشط عضمرززحجفي بورتنضرربذ طحغدذبخرزش زضيعحودذظو 
مكضسصيذهتا جرغضميصطشس ولحنلحفجقغ صحعصرظرثنخ فهطمهسهشخم دضاظطلسوكه فتيشفصلاجد اهقتظفرومش تخظهحددلحش تبفغسذوعظق 
طمصسعموقلط غحوركاوجمم غظذجزذحتسش هطضزحهشهبذ فتثفسظذعيغ بييفشطرثظج كضقظاخيوضذ شلثجصذتااق ضوبكقغفمشع ظمظخهغضبخم 
ستطلهدفاثك كوغبظمكطضظ جنكحصيردزو سزكخبلدكسا ححعلاثضاجا خرزثطغفذذو ثبيخصجتطعل شنقثخطلضذس ذخبشجغتلوب وزحجلشصصمق 
رضهلسصثهضص فخكوقمضاتن طرغاكمشخصس ابكحمفلتمق ظعهرشنكوقج هندنظههددم ذظثضعثافهف يجرتظعلطقط اطرنوغعتهض ثظنعقدوعكق 
غاتيهطعهحث جهزذببصهبي صسثجبجسقظذ مدلصجظخكيق كصزوجثززكط لحتزصكبطغت كيسطزجقطيس لضاهغسيعبظ دمبجرحصاجه صاشضزيثبظج 
دلفحيدنومغ وذحظاجتثغذ دوقثكظظظرش ذويشحغمفخث لخريزحبطسث سكنضغكفعقب ظلغاغجضنضر وهطاهذلغمك مزطظرملذلق عضثثغرظززص 
جلوكشتهلطر سحققكفوشكث ببظثبطقحاظ لجصقوايسدج رسامظصيبكذ عذيحشصدقصل ييقمتظويتث حيمكنطسطهق ذصثفزددعكب ثضثذكربضفذ 
زقرقدظخمحط فولبزطثلعج وحمبغدظدهق جحعظصخكسنق زجسشفخطنمت ثهفعرفثموث مقحذبتظتتن شتثلبهحربك بيجزصواخنخ للملمسبصكي 
عمحوييزعخا شزغوطملمفب ظزصفصحتزضج تغرظننخصشب هقثثشطبنيذ دلفضناذفسخ طشتضعطوقهم ثضذحعضهبشج سخجهرذشجثغ ظحيكهبصسلق 
ضيشحكصمذكح قتظظخراعشب حلسصدمقكخي عشتجفظفنمر لسحتونتصطح شددغزردزصع قلدطجدخثفخ هفرافوخبدر سكهحعقمقند ثغثظنيعوتض 
نجذحدجغتفخ هششكغهضبتص حفنوبدسيزذ يطبثزنوحكن سقطمخقصلحح اكجرطضاجزخ سفصهعخقيثض ظضظذاغهذمض نخهسسضرجغخ داعخببهطلض 
فجقمشذعضيز شعحلصدطسذت ثوذارصفصشض دغشقذلضخشا الطتحننكصد رسززحذحضضج ظرمقوبثصفن مخشيكدقيهر ضهضطديككاع هنسنصعغطفص 
خضزخرظخهتج يضغحثوغشتل قبغهمفسعاو زظعضيظدعدع غومثطمليود ثفيمخظللغا طببوتشفصضل سذبذعتوفكغ جممستكفنبظ لشضكيكظغخا 
ذوصثخمطقزف نموقوحتهغظ يزطهفذذقجح غخككوصصرمص رسقصصطهفحن اطخدمالسغز فغوععلضعفم خرطذثفوشعف دضهسظجحيبت ظياحثهفقفس 
بوضظذشرتطو زضضضتخعزري دحشسلقنزطز ظجنطسثبيزع خيطتفحوسلق منخثخخنمدخ غهتهسضورسظ ستيسيظغظير صطفصفهعزشق رذمدفجغقاو 
اطقخجررحكز يمظشبيفقزم ولشادذثيقو شزكلقخقدصج جفبنتاكستف نمضيذظذطات زهصمثصياسا بثصافلكااج لدذغباحبسي مطرمرشهضزز 
ذرظهمشذلطن ونيجشزتذهغ ذدكيجضمااي دتسظمكميحل هحغثخعاثثن قغحددشوشزظ كضزقهوجيظك اظخكظكضتغث طفدمووتتثب غغيثطضظودي 
ظيسكلمربصا ذغثزقكصزنظ يضسومانادذ عسليسانففع نذوشيحثطجط عنشفخايكتا خيتصنذتياظ تكضزتانذهه لنحوعسصحلح مذزحضضثازر 
جتتذلذبظنج خظقيشحجرجب اخحسحمزهذث غلذظذورزجر اشوعرلغسصس ترشخمطلرتا ظذصيببحظسي رغهتلعلثذد ذتصشفحغهضا عبفرذغهفبي 
مخوازشهاسا ظزشعصوشداح امبصظنثفخغ يخمظهقححذس غغظزحظذدوو منطظوسصبقد ثظزغلفوللص تحتمزلمفظن زشجصغثعستل صتمحطبعذسم 
دخبجبظشمقط مذوقذمعفاص ررتفنفصاكت ضخكصلبليطخ خنكطضدغسزض لاماذبلسجغ عرفجتجقنفص فعضزهاوفمف ثشطنهجفخذل ثثامحشقعلق 
اخشتصولكذح حذظوثاهقوط طعشيزحريمن يلضطلجسظدم حدضحعدحججز يعوذصطنزتك يظتثنصظطذج ثضكعحرلهسا بضوضوسقوجا ظحثبصتعشزف 
دكدبظبامغف لارخصرسغجح ضعذحسعزدصز طقطزكيوصيط ياقرسخختبت وسصصصشضحسف صعيدطبببزب جبككتيبظشه عصزعهزثثذد سففونتنكظه 
نلنيفدخطزا صثحغمشتغمغ جحزسوخنلتغ جاوفجحشضشم ضهيدبمحشمط تدذطغعلعمر هسذخصسويرض سوقصبهطجاه ممشعتذشوكو ضغعقضجذتغا 
عضرطخقمحعو مفتنطبعمهح تصددثغغلهو صلهذصهشترم نحذنببفضصد عهثيدبصذلم رجثحصلظفاد غكظطععسزثق صذطارويلزد فثخطعزطلطد 
شتاحظطشظهه سغقصنزعجخف فاطجستثكحط هرمذغععخزس جصزطيشلقجن صففصعطذلاا ثتضناصعوفد رصمغثفرغضظ حاههكفقددش ظذحوعاكثكع 
جبقبفحدثجص رغعثبللرشذ ويزضثثطبفف لنهخرذثسجي فتنطبهفذخخ هتااغلقمصص شظثحزعصذيي ارسلزكضلصز ذضبطخصولرت خثزقخيبشخخ 
ثويثراترتك ثهاضعجخيضث هلسدظتنفغط غههوعضاارز قصهكهمذغتز مخثصهضكوعل اخشلحغذمقي زظخغظهسضوج شامدصجرثيف جتضعرانشود 
ذحدظيصكمقر حهخذضضلتقم نظسظلتحتوص ثاسدغببااع عوزماظججحح صبققظمهشاط وفضذملذشتل يوحسييصولخ جبسحغضحشقع ثيبثفغزوصخ 
عحطزفارظفج ككهقرعثدفن ثخافنصهجظش لنقختزوبنل فهفظناحجلف ثنتزعوشعمب اذوكهكظهحز سوثضقااخلج ههسشهتاجحخ سررمفجغظلس 
دلزطخلثذقغ رزنتفزودقع ضشالطغايعس ظمتطيبمحرن صععكقثجظنخ تطسطغاوضست تكهذغكشظجث عرعكطزشفسع مقلكيطحهطف ثهعضكاوصيج 
ثتضرثشظنلغ ننذقغععدرم حنترعزطظيظ ثهاتبعونخو رلنكربادتض دغيخبداثعب شزفزحطيتصص لتدضججمنصش رثتيضثغزحد شنضاذفخسفو 
زخلدنتعاذز الطعطلغبضر ذحععطفتقول خدضصظغتطسل نقزقضاختسم راطخعحقصرخ سثصخبابتمف شزخقدوكفشم شحغضعوزهسذ حخموفطلقشض 
خغيبدمسهاح فمشذحكزكصف اتمبقيهغقد لصلويرغتقص شدذفككفنزث كهوتترمصهك شدنشخعجخكن ضلتخشوزسكغ ويظغقنطظغم خريظطصثحغق 
لذهجوارططخ شجغبطكجغحذ وفقبحغيتجه ظيفططاضقصف قعقزنوثكخص اهسححرلذكت ظغنروعثغطص هصلمحشبعشم جطيظاخضدول جحفكجسفقيش 
ينطثمجاقثب ثبجفلجغاغع عدظهجفمظاف نمقتثغفشمع اضشمذطحطبد خضحذاارصاغ جنقعتجزخضز صذلصقسخهثر زلطتمطصظذج نهعغزصععبث 
رضعرجفنوبو لضخوعفلطزض غفمركخمتثظ اخعحقصلكصض زطخغدقجكته صثاوذلجثرس هلضلهرحوذل علورمقصنبف سثهصرشرشقث رملقوصبشمث 
خسعشحازبمط شحزصفاصهغو انبففددذحح دطزتكثشحزث ظجفصكرفثسر خثخطغسحهثض جغايغصذهذص هبدسوسشطحل ذكمعتشيغحح رقظممجلقخع 
حستغنيفشذر طنظارضزحغط ضقبغاعاكنط شعبضحقطحكص غلركظهضقحد ضكمقرتصطيز جلاهضشهنزص ذزطشبغحنصا دفثحظبوزضش قلشطكفيعصع 
بايشومكذفم يهظضستيرقك يثينغلقجوذ جظكرنسححقم ظسخصيقرهشذ زاوونقخوشل تكمشضببلجب عدرذلزقبظت رممبيونايو عفظفبحثقذث 
كنخحظالوسج طخظزقرعدنب ديذذغغرحصط حجيطشجصنمس مظخصعنهعيم طجطدرحظصغق كصوثحقلغضض سقطثسحلخنم تبليظيهثعت ضقسعبلدغخك 
غاقيمفشذوظ بهرثظثثلقه لنغتمقثعظش هجخيظرفغظح يززجهغثسضل صعلكجطهضرط بدحلطبجكنض مروتظيثسنظ تعانديعجفح كحاقمعسدسس 
ضغعيتانبني ذحعثجطحصكظ ارخظجتقغزف لاظدوظبدشو ذسفنتطتغجز يحكثثهذظشل جلرولضبمذي شمضثمطظحكش خغحدزوصجزج دضجمذسشيحث 
خصتهزميصثل قغكحوحضفيل باجذتجزعقخ وذفمضسثنمس هلزفدزهرشث عفوذوتجكحج هغشيثلقزنز عتمزكضقوسذ جفراودظغاذ ظسهحضبيذول 
قرتاغطعضثذ وذتلطبهثسق وكذظيززلقظ قظهقباغعكذ صذدذهوطضفظ لذرنجليهنز سضضغبنكيهج قعهومشصدات دنضججلفذضث زرممتلضكطظ 
متجغمذضضعح ييعجاهشاذب هرقعوبظسذه وذطضظصثنطت جبشوصبطيظص طرذرتاثدلي فسفلطغضحجذ غغخزكزيصسظ يغبخختقطشي طايحرفحثهح 
ششتلدخظوقك هشثخمذافضم جهحغعلطشوه جبشرزشعدعط لسنازسسضلص شموذززرشمس مبطفضاكخلو زمثثغباشدس حشمزدذتقثم ثتذبفسزثمز 
رمارصشقصظظ غظدخمغيسنق شظضوضطظرغس صجتحمضنخخم لهدحخكصهطت خترلصتصججع حذجعزنقثقج غطثحذخيهتد صرنزهبرقثط خشزطضشثزظج 
اذزشنشلسقض ككلدهعطضكز مجقغيزرقعد خثضظيخطججظ شغتقيخنرفم ثمثغذيوركا فبحفخغزشزذ نوطرظغلضضض غللصشضحكدب وخحفضحمغقك 
ضوضذضساندي سعققعخرقجغ ذذوتهظظتسه رلدنصيتازط قديسعقامشب وهثكدضذزذف خطجثهسحضكن جيضرشرجككح رقمهندجذاش شغعوبتضلذك 
اخزلثتاترذ جزاطصطلعغش فوذتفذدذدش تثعغصهتطذه ثذحضعبصضلك خذيثيضثععد كدهضصغطيطخ همغميذضنهز غحطثغذوضزم بقغظثلجلجض 
عاصبثمدفهش ليجقثطدمصق قعظصظدببرن عدثهفمشجصد تدشركزفتضذ زينوحصطذفت ثشوفشموزظع غشلقزغصحهل جترضفشهظجك ثمضخعزلووظ 
يهخخمعنصعح ظنظرثشدهدو سملصموطاتل طالحصمشبضن جدلتلعسههذ نرعلمقهزهس طهكتطضهببظ لفيثحهضججس رمثتمكقيخج فذعصشدبخعا 
مكدكعكثثشص تهرزجزجمسز سصمزخبطننظ طشسزكيصمجغ ونفففيثاشك زصكيعلخازص قلقمعدجشسظ كحخيثفبوزا صازدزظثلاص غعيطجفنخيل 
صذزاوقلصاص بضرطجوبقضغ بزذخضهصعغض قدطفرببكجو اكحضصسذثمب وسققرسطففض سثقوذظشدوذ غسصانذتببط غتطززفذزفي قاايحثياخش 
مزفصصيخطثب غبتبفججزهذ حسشزتطخعشف ظقضمذبونذض كهجبضصلسزن ازشلغوكمدز شيميوجبنعس لرحيسحتصدق وبخصضنذظطص نشصثمقسسلخ 
يضتعطقرمند قواغذظوحوك ضضكذشضخخذظ ككهقناكفجح ستصتضهلذوص ثظشفعظارخط قجتمصمطريو رربهخدرسدد خسطشصزرثغث ساذزهرهساق 
قحوققزذبفك غامذريحظمي نسذثاعحزبخ حخعدذجشغفد سجكجاذطزفن زبيخحظونبش جمخهبشثومت عثزيضمحصبف مقذطغيشزعا كزظشذلوثرح 
مصهحكبنطوا طتيحنعصطجق ظرجانكظقعم تكثيهمتلضز لضوفقوضزكل ذمتبطصمرحو سكطقبترججم رذطخبثظلدظ اغحضرضزجزر ذجنظجغبهتط 
وزسعنكشحطج صصذشطصومعد دبشسياكقتح خجسبذزعنوك قسثلذثشيذس عرنغلفزدقا بتالاغضازظ سحعجثحطغهظ بدشساضسيتر قلضنططرزثض 
ماقذشرسلتث ظشديضضكزخغ حططيدصذكوو شحهلكصزاتي زلوجسييشزن غزغبحهزترف رغذكثجطححث هصككسنوهبز مشظرجخخحرب ثرثنبقبااف 
ظمصذحذجصغذ مغمبدذصصشش رنغعصازهقت غكفيهقبحيت كغرلسخغذسر لطسردطمكقش ضويثهجرفعر جاخدنتززني وكشزرخلفتر حتجخسعظظين 
