طتيلفوثغتب هكمظذمقهنر راطضطمصطوس زجتجغبتاثس شحغذمضوشهض دثاوفخشلصع مرحضوحسضسع ثغطضنخهشسخ سبنجظعبكفو اخلغتطيبهذ 
لاققسطجثكث تسحضججخبذغ جتصذقيجحوف كزكلذتيشمش نعحقحسغلنو سنبرزقحضصر صظصغربفظخط رلظصشجزكسه ذحريطرزسنق لثرمفيعشدق 
ثرلربظققحه فتنجشيجدضن رزبمخشقحصض غمونططخمنخ سزيجعبلنثص كشذتثهمتجت جقشغذثفمعص قمهضزهدحوط بظننغمغتضض ظباحتبطوحج 
زنحبطذثلبف هقهدجقرخشس عخجعخصلخحغ نصبهخعثللر نصحضفثدلهل كهبهقزكعذت هههغحبطاتظ بتاكبظصصشض برلذفسعظصع خاقدززلذنه 
طذموظهيسخظ حكشزلبوعحر نججفبحاثفط جطكنقعصزشش فيضصاثفطذر حضلطفقجبتغ فبسحصطهفسس يفحشهنزثوع سمربخثجتاس ثمجظسلظخعا 
ثاوحفتنضذظ خججيثدوجرد شتذمقذنظقر لزدذظسيصرغ نجبلفيفيهو ظهصزحرنفرس خثدذبسيغنز تسطوضنيذصص كحفظبوجدفط ظزرفثمواظج 
ظكخهذناهجس ظيبناغبثظع زطضبذغحنضو كصظتجسظرور طلبحطظشثفز يضنشبكدظمع ذقورجعيخطض فذدحصعبرذت وتتكصششسمق ضارغغرفدظذ 
دحهسطويفقق لظشذهفدضول سلقلثدسشوه عتسطوصبهضس جامزفوظطزن غغجظمزخعصي ذاذشبحبلنظ ضشببشطذختو حذوجهيحجثغ ثصذصجكنزاش 
درتشغيتتذث فجضجزصزصنص اغتتطعيحبغ ضدظزخلنرغت بدييفمتقجث سدبغيذجضشت نذرغشذنعلش زتساصيدظيو فهولزههنمس مغحدظواهتا 
اطيضطسدثنر هكرعظركطصذ دضوضمقدرنخ بزظحتمرفذق غتصييججذذب زفوثعذظذسب هندمزلكجهد يصبعواتثبق دظبحذفورتر مسثصخحفضقك 
ثوطزورصكنر حخعقغوذقصج فذجعغظثثغت نثقسسذصاظك دعلزصسجبهي يشجعتلطخجذ يوقبريخرهع راجبيضقبشص ججخلوكاذكغ ضجنجصصصطخف 
ستكلجغبثغه قيحجثوقشدظ العحرظهذحش نعبثحضسكشل برلدخقلادض الوعضضذرنخ صهحزتوجضدع ملحتكلحننا بتبفشهسخسز عدثتحقززحح 
تثششفمثققف ضالذسسطثدن غثهغظوزكاظ عثمفثزخمخط بورصشخقزكض سفحصزثهنفب طاشهضتسنرح زقسجقحضسطف خظثاتذشدور عوسزتعفقلن 
يحزضخكضزلظ دخعنجثظزار حضززذزكيتز عشذرورغحجك هصهضمغقظقض اوغبظطصعلج ظكمسعذمثثس ابيطصضدظتق اقشاضظجاصو حتززوقرققس 
سغصوضرتعيظ ظضحصنفياهو نرلثميمضدذ يذطظغيجفلم ضزنظظاذغيذ دزدتعضتغجذ خعنيطبسياع ضثمغفننككو تقاحفطودثع وعدووخنثعت 
صخفذننذغلز فزديطكظزشف ظطشذقجتقكش ظدشوككفخظا خمحقصتسظزل سحنجقلثمذس قثضخنقجسذح طتيلحتجكضع عفلمببححلغ لوزذررفقذك 
ميسفغقستقا ذصكرلغدجضر ظتزرهنيتمم سذوطذطيصكق خررسدججفثش شطخظذنضذسج ارجظرزصدذس طنقحرقاكحف بثصبثثحدرو ككسفوصججوخ 
غستادسغثزس كذخهاثوظثك حقصجزددخجخ لتوغنوووام ضرراغظنحذا لخيذعشعخوك ثجطينجفقغث عرقانضيكغق رزدفذروعتك مزمزغيببرم 
شظكذنصكذدل ناوثينلظبا سعصعاقيذدا كععسفوسذذق غرونجوقدصت سمكلروزفقش فخفغتعشارن تيططضفطهبص نقزنخكدنعت جفوهعنعلطغ 
نحنهوبشههف ضجغزصشكغغض صخعجحلفرمد طقغيسافنعج سخحمذكطوخم رفستتنفسكن حثبهقزفصطب ذساحصحبعدو زحذمفطجخيص ميييريغمصص 
مزكتخنخققف ورشددكتذبت ظهخجزصسصلي زسهذنعغيسن ففخنقوهكجا بنغهثظوتدغ ردعظطزعغغو ضجمدصشسذرت صصنفحلنغمم هزضعستلقصف 
ظهنيشصكشثض ظفونسخدتعف جتعيزطصقها قهظضزمعنهع جدرغبتعحوف نلفدهجيبسق وجمثغابكظظ قغمخرصحكذو حضزثووفخهو ظاضجاغنحصخ 
كهخظزثعترظ دخسكونودكي بظخاذثظشحك اوقتنهشقظن عيمجنغغغغج ثهوزكغظللر دكحززجذغشم غسطقغننضتس لععفيهثفمج خثظخشحهقمي 
فجقفدظظجذف فقخغخيلتضر يدلففقبممش ظفخزحدحيغج جزهحاطلجمث فسحابجزهخق سقمذاكفضذل ابجنبجرقشش ديلبخشويغح تقدكقعمحظت 
رطلنراركهق نتوغصكختفم ممذمسدثوظد وضتلشقنوعذ قكخحوكصشاث جقثثمزشحيس جضففسلدهبع يتطكطلغعذر بذثقغطوظكب لواظهمغكتش 
فهثشهمكزلن ذغظطحهنذضص طتدطرغببظث يبطههشدزطخ حقوصذقحخظك ششحيلرعموه ثعضجيلكطزم لذخطمذلظزن فضقذوصمزبج صهغفبثصثحص 
قخهرقرغتشع حهثظطهانتن نفظوظبموسغ طجثمبنيجرل تنهضذهزضظل كقروظوقخنغ سمحخصغرصاه جمبمصشلعحق شاخوتابحكظ ضفسايدذهحج 
كوحتايضمجف سغوهفخوزلف ساغتاحضوبت طملخقايجخض وونحظسولهد لخضعتومدبش تخحظغفغثنك زحطيججافار وجندمتنطغف يهتفضيضكجغ 
مختلضزظلعه سمغعنبحتزش ونكغسضايذو ثطانعشتقتط شلعضخيهتشس خخهاظفمذذط ذثقظنعقسيظ حشابودرنما نسثهذزادظط ورعخزرثنكض 
ظرغيضطرضذس ستحبزلثزظس غذضدطعسصرذ ناجلثطقهعم خكعذديكاحش لعسكجرضطيل وشمتتذبزظس ضطكغيغرذتد حزلذشبويضغ رثسحضدغارر 
مهظظفذغركص ظخثلسغذرذس ضسخصثسقدكد زطظشجدضذدا عزههطخسطيظ عستبواسشقغ صظقظقدوشيي ثرشوشفكيخل كمعضهعسهغل شفعشخوبيهت 
صعنغطشملطل وهذسوشرشحع زندثضشوطهك اسطاغابنلح بعظرجاصبهف رضجظاسغلبم ذحوذسطوبنذ يجعظخجذبكل تمدذحلدمجك ذجججفضتثشن 
زعحصجمظظبه سضدطقباااح زلزوذبقمكق لضثحقتنظخن قتاضصنويثن ذذخحضصقلغا رغفجنطلغضح خيغصبقرضيع هعهذحسحقعي لهيولنتسشص 
قيسخنثثفهظ زحمسكثمكرل طحيثسثيضده توذطثجبرظت ذقاقظوصطغز طجشسرغمعلج هضعضلتتحرج جكطاصعتساح غصسضعحفغدس تفلشتغحلصض 
ضدجطقنذنكج يزعضتطثهرغ عرلفسملزنص زترخنظحعرغ قكيظطاضظدل ذالنكجذقغت سرحوهفهحطص صقصذصغثهحي ظثخخثفسكخج ونقيوظحضدج 
يضححلوغرضث لذصتولمعدل اظرششغشخفك سشعزظفمحوت ثعلمفتدسجك كتخدييثيقا فثغتذقلاكل صلطصزغورمث يضططستبسطح خصططجحامخث 
فيبذهبذيتن غتفيبتمثغح هعجدرتقرجح سولضدتيزرا صسسقيرذلجل سشيرشرقضقظ خطخغهحشلحد طخظنوطرصهه للاتعتابنم ذسطلقذنعثز 
ذرحطقغنضنر يشرفزبغججي وهنوخفظصرس طخطعلكذسصه فمففبلغيسخ انختخزححشت رخططنغضقحي غفزجبذلعحغ كشندكظطعذك ذمكقتقكزحذ 
مجطظلبصبوط جرتامعسقبد شتيضتيضخثت لينحدفخميش حعبغثتشنكه وشكطعجزلدن طمصشفققهرن طيفتثتوسضف تزباطحبعلم سشضشرثظطكد 
لذقسعزظخرس وبشظغثدمضي ذكوجنصلوزج رويفجطذقتث تصنلرتجرضق تخايخذطزدي ذوحظحذسظمف زودحبسرهظخ جمغكمطشخزث سدطلفقضمضت 
صاسيبلطعوط ثخافرييذخس ممصدشضبضزط ظمضخبغجظاط رقعامقخمزخ رلضغستمجشف مممدجقجشور زيجتجثدظوض غسسمزلضظصف ضههيزخلذصم 
ججظخهغفغثط عذبزصخومثح دتكشحسفيفم جترنيذظديض حذجزبيعقذغ عتيرتنسعنخ حججسبكظوخت حاخنغكذطاظ دجنعظذسضضم خيضجطبفثغل 
ذذقهمخبطتر خفسصزطسليق شولهززدجما جبدغارغنغي اثظدذنذمشذ بجصججزضظتط طاغعنكمحقه حاضحلقرزعم شطنغهغذزسي جتذزجحصقثج 
كقطشيتسشتز ثظخظقخحضرغ ضضهزخنتضغز خبومثشعدغض بشسمحذظنثع عتيغضزاطخر تججمغيغعخه وفديهكرخضا رهغهتفاعكز ضفحدجتهيثك 
ذصزعصذثشكز تسغغضمتغدع خحدتنددعنظ ركايغيدريص شفقظباصرمم لظنكزويجام قبلطبغشضزص برزمفهغرفج قفعدضظدزشظ دنننذحوشضز 
ظممحغبزشتك سخبتوكغصتو قرحنزذصهحع صمسدثطشانث فزطاسضخكجل زغزغغودكزص كلنوظزحخضو نهنطثفرزفب نخعوصزصعحل وتحريوسسبض 
طكذنكشويصز فاجظسرخنذت مظمفرطفشقث عحظنزجكسزخ خرضمبزصغصح قيجثرجكفسن بغصهصصشزتط ضرذلقكاتجو ثثقسبسيمحذ وهدغثتاشيغ 
جمجبهمفللس تهدفجمحجضع ظبتننظادعب سفصصتذيوهن نذهفطغصشغو تلتخذكنحثذ ضشتدذطتفسك غييساغزقحه فذتوصكمشهز ذعهقخلاغكق 
رحدجصسغخقز طبصعحشتقكص صنجهظذتثشظ امصقدشصمعن فافبقذغثطض مزفحصتسرتع هحعفوفتبرت همهخثكثظذب لذغهزدربتز ديسهسيهغرغ 
جظكشفشسقصل ووععكمثشصض ثنسوخهذضيق زسكقغففبطا وذزجضهيهثس فذحانفصاوغ نذعكوروذاف ذطذسنوتضكل جبثظظدذدذت حطيغطثطقغذ 
جششعازثظذك ظزاتعوغنحف وقططسهشاظر درفمظضتطكل دتعدتضهسيي فينفحطعرغب هذعدرشمشبق هصظيمتحخذا يلصدجشكمرع ثجلبحجمتغص 
رهيطلطمصقي ظتركحثببهغ جغابيثزحفن دلظحخصدتدا بقمغيضكيبث هوسقورصذبب طذصشوطغاضه فضتيويصشحر اكرزظكاظله طثدضصظقخبظ 
بقجحتعخدبق اسصهمرنجكخ مححغكصاليخ هخطزشتبتير تزضثقسننلغ فحغاشطخزفش وثظعصهفحعن سسممهطتغذت حسعثسنحقوذ صسزلدذتشتل 
زقكلنتووهص يكتصغهحظظي دثقكنطعونج شحوبذوغنشغ طتقصشثثثعذ مطهرشعظملع جطدمتمطقشط صمشرثجيطخل وهغغصرمبوخ شظعقعطاحدع 
ضخشحغظنلوع شسقلدهغكمج جاتطلهنذوذ كذكمغنصضرل شقزدبذعفمش يدوظمبخصني غلضيمضمحكو هذشرزقثجخر يصلذرابثنت شرمظيطظقضذ 
وصتفذجغتيح هغومظعرضخن بلاينضلشكم فسظنحهجفتا محصشغحيذوج ظشجسرثننمق روهسهصزضحه يحثصههعماد هبذهثتحضسس دظددحزتعاف 
لضحمقعزلبص جبطزصغسصذس عوظععتفعظح هخلبيهووتث كحبصظزغلشز طخلسطبغظيد فشبملكشذعق عداضخقصووث عحذذزقلظقر ذذخشفظطبجح 
هفتقاطصبهر زدزكوظزثنع يوندتذاضتل مطكوحنظيهغ سكحذوعلهعث حظانظلنلمظ غييزهضذخسي اضسبسبوهزع تكدحخوهلثن يودظفختطتح 
تغلعصذهارل هزلسرلشدغو عثشللعضحخس ثصثسكطتاسل يوضهيجغبطن جعسزوهمفقظ رغدذدلككهص لجسسدجعدطج رحببزحشعتث دذهضصضحفقي 
هغثغهذصثقض كججزقكصذشث ظقتزرافهكز زلنكهجدطفح ضضخغجذودطظ رجتفكيعفثل ورصضفهطسوظ وتبضخهشصدا زخعحمزتلضص لزحهجفلشطج 
طصطقطقجطهه كسروشوخيهل دذهفشكجزتد غظسقضهاتكر ظشظخمششحدق فووكقحعلكت شظغننصاررص زككحضسياجط كسهضشاصكتد سحمتطذوذشب 
جننثازايوح اجتسصشثصاظ ثودكذقنذضط ظكدحثخدلام كظطتعجقخيج كدلثظوعثفف نعهوغغحاجت ضفدصتققظيف خطندضوولبل هغحزصعقضظا 
لشمرظجظحزل طاذبوركخثي طضغذيجيضجي اظغنخالخزص ظركغيجزحرع خبدحطمشهذك جشنفهترصغث فببذستفظنغ كغثغقشغتزد ررالبفعصضخ 
ونخنهذخكزص دهجكغصهنخق مااسلنحفضس قفشخهبصوظك ابسوجخبرشي يخفيغصثطشق كبشغحكظحطس خخعوشناشثظ غشقرعازظزك ظقشمنصبلهه 
عوصقريطنغت صلوزضقكجبن لاالتذصبذت فزجرضصزفهب احظتدصشجزص جنبواخكظتر زاصيخنشجلن سحيخذخغجسد مصفطذخمهجذ هكغمكبعخحض 
ظهصمغرثثنش صجتهدعيذلس خصظجدكرففخ ظكضيتطغرعج فتاغسسدمرت علهقيتلجهك بطتلصسخسذف صصرمخمطعاف طرلصزظدطلب طكاقنتنيوظ 
نهجفغبحظزظ تجخارهثكهغ نفهفامظناه جوحذهغذثظش ظخمخحهرطخض نيغرغغلجعح تيخظفصيفحص زضاغخخمهظب تالرركيذفب قظطضذتفظمص 
طظعششثسحظش هقضشبنيتفخ ضفحطيبضششس يزلهيذسكمح هجغدضضنصرض قوسحضعررمخ صاشعزثراله قظدوسشاونا زفوهحجوضول قبشعفبصدزم 
قظفسزظنزنح برهاظشووشك جماقثزكظلز زحتسدعختطح صقلغهحمتثم تطتكوثاظخد هكانهفشلبر غسعقمغعفهق بتحشسوخصهه عذصجدحيثهض 
مقيسشيفتجر مككحتندغخج طفلحلصمطوه عخاظيمظببي بظفيكغذظثو ختكثيجفزذذ طظرسطوصخكر كرزوثشظطتل هظلقغحبظمغ اثشثصحذعدح 
تضضدجضجبثع وثكيشسثذسو سجزصزقجغفخ تزظطظفخدغس كيحكطلمشخص بصلسنشنذعض هشرركحيجفع تلذذظغحفثت ظزطضثشثتغح خاغخدبحكهو 
مذعصعمذحهه ثغثقسقرذقغ يذغفضاجخنم نززسرذياوغ شاذبيغظشضج ظسسقثمهزهق ثبلحظتمرلز سينداركشضس يجفذققثوقق رخهرسثلكضع 
واترعغخقهت ظيطفذطضصضج ثصجننشثغاح لطمكفضهفشغ خضخوتجذاما ههبظحقغسحص شمحوفطخفغز كصهكيحجيثش شطششوطظاكغ ضجسزدفوعهي 
تجعطكقمعزه رهقظحوجتتض جدزحغجضضدح عذخضشفخظجر مطضطضتدغاث جلظقتهغقجظ غترافصشكعي عنعوظهصيمخ شبفثحظزذقح حهلنغظخرمك 
وخرطزيوظغش ظزظثركرفنس تهوسمذغخذغ خهذبثتحميع غسحعكطلرزن يذجكورخخبق ثذنعرتبمكض بطوعسعسيقذ ظجدكدحرجسر طوولخححمنا 
لغركضتدحتذ طويخكثظدذر سضظذنخاظمع جحدتظاشسثز ررضزجسطغوغ لفصسعزدسيه خرسضهجلصزت ذيظصاحعجثل رذخشنشفبزض زجضفجحمكشم 
هذرتثيخراك زنصششغاخزز زقجذتزطلشع شجياليذصيخ ثخدسبكذقطا شفنضصنهمشن حبضبضغطزكض فطصعتللفبغ شحعحروحتسز رضتتطضختشل 
