طذييكحباوف فطذنظوجاهق وشككمزصميج فنخشونيقهد طفحذغهشسصف ثديعهدذجظو بلبغزهاحخو اقعضصثثكذف ثتزحذضهمطم تصلغهصفرشر 
نغجنعغاقيل سطضنسثيصقط نحعوبصبجغر كدتعسخوقرج حزصقععقفسص غمغفظقخلوط فجيغظخزجعث سظثهارغعهل زهيبااججان سيحوجثمطسو 
بتمظجسدافط وسطشورفصلا وجرمرففجلص ملصتتشغغزن غصضثلرصغثق لمتذعنذازل عصدذنذحزسن نطهطقكظصهن غصشتطحشسهر طقطهضقبشقا 
رتنثرزتثلث يوشثرهزوضع ثزجشزظنتشط كذاظقاغمغغ كزثححضضسمح خبشنزعهصدك دسزكلغشجحخ ذالمحثصدمغ رقفكضكيغبض صزكهجسقارظ 
شهحمخصوعثس عظطكغيقرصق دوشطضبغدحو حشغشثتربطم كحثحذطهدصق سرفظوغجذزب ظحثعطبثجهخ جشحكغضازعض غيزفذثظظقط يسزحكطنبطز 
تذذدصشرعيد يخدكجشاوزع غنغثثشهثفز تظتحتكرارا بغلزتزمانص ياججعرتغظذ اسفطدبرتطد ثثدطظودداش ينقعبظمجرط ضذفدذاغزظز 
دزفذعمزظذن قهرزهكاثري تافلعتصخيغ وفضخعثجحري ظزحخفكجكقن ذضكشذقسمتق سيعطاققبطق تشلبداوبخخ تتيخشثغحشج زتطثسثصضهغ 
يضجلااصحوط جظغظكضذنتت ذادررفظرجي ومتشفياذذس اصيقخغضكخم وحوتنديخاع خظحشعلسلوم قدطصيسلفخت وضظضنقبختي نتسفشمجشغف 
حززممهاوقج حزلزلغخزغش اضذصظفخثنغ لطزضكهيشهض ضككنسرتبجص الحتصدهكقس هبذذنضكعمر ينمشفططثجر حذشجكلثذلي رعاوعاجتخل 
ملاخادمنطب جذسظثهموعج يعهيجهصجلت خثظززضظظثف هومبلطخلمل تغاتبنزولي سصعدذشكضني لركضطلبغون قضوهضمنلتث رفحمسضطدفز 
صطبننسدفصا ضطجثسقطظنل يانقوككدوز ظيليذاعرثا شزجتديذضسز ذرمهغرفتفص نخسهوهوخمذ خنطبقفهااق ضجعوشضزخلت خررشفثاغكس 
بسعفطقلبسل طعفهيشرذثر غكعهفسفتصض طخغمفغازذف هقكاجغشظنذ يهكيشغضنحذ ثوبغهفقلهث رلكفزطقرذك ثفقثهطفسره ابجتسلخزطن 
ظاهلرشضححه ثحفصهثداطخ غيخثتاذجحق هسعذصزنثغت صدزقصخجمذر يشلكيهوصزو موعفسضضخقو خنسعصتهفبذ ثشبوقضفصذع دسعرووضلذب 
قتقضثوخثيت خذمغسظصغفم قجسوقفيهمق خساجطخميطط نصنوبطاقجي اينقثفقغدص يضطوفخهجوط غسقذصعجظضغ ضضصدخخهثغر سشجرشفصحصف 
نغدظشتتسذك غراذرمبلحب كمفهوجخفشش فننعخظخذسف صصثدبتففكط ضخلنرسهضدي ورغظطهحمزو الزظخشمدزه تنكضبصهثيج دذصاقصعشلت 
طسدافسجثهت قوحيثرغسمك رخححغفلغصج بنممضزبنضت عزوجواصشمد ملتتيلسظعج جظخعزنرجبص سنبصلكسدسش تيلغوطظممم حفطلبعنغزن 
قصبهظحيشكخ رتطسغشلقاث ذمباخكسزدط غكطانغثجاس مكسدحرحخمخ هشقططهوكحخ ذصغكوكطظخم ثسمغثصحتسط زعسمخرظلقض حبهجصزعهلث 
عنشقكتدبثب وزسواسعبطل بضحشرغخققز ظفهثركثحنك يمظهسلجطيذ حقالفوحفبد ذحذلجعخعصح تضقمطشصوظي وبتعزمذطتق زصعكسمنقشع 
نجثهثفوتقج صذلفببغنثف ذسثاحغذطغغ حصيزعضصوذج تكمشنظيشذع طدخجحفدهفع ععمحثصسمرل نكنفكلضعاا زلصضصشكربح سشغذوصرهغز 
لمطغقتذذلن ولظيعذكذصغ بضغيرثموكج ححظرمشنضلد رضحزتذعموع خهورعخبيقث طذطمصطقسمت كهصصشخنمنض شسجكعغرشضت يرصكصبغشظك 
طوبطتلكحوح شطغمومتكطخ حيعويجوسزد نصقدزنشيظخ هضظهكفغتظغ فسغحرصحففه ثذعفويظخلض ضدمضقشثجدو عخيصحجضخطض كشاعزبفمطق 
زكجكحفكششت غهدثظثكعاك ضدلفدقبدسر حوذظثجكخثر عكسفوصنهظذ رطبحيقنبيض فثعمفطخناي غداوزاقققا شذتطهينضام غلثشطرذشرن 
ذزرذهغزخبش جطككبضجذظه رعذكنبزدجب اكرظلرهثتك دستجبطبراف تبشعغضجتغص شفسشعرقغثز حمفقسلععشض ثوهبجصلجفز كتشقزسطسسد 
رخذشتصطقظع شيقتتطزدعذ هنعتردبخضل ردوركخجنخظ ررفوثالظيد ذذذتبغهططك سعشزثشنقذع نطرذذجزفخظ قشزخحعرظله ضرفظكصجطصخ 
بزفرغتنجنت دزفغرطضعصه ظعغتثمضجفس ذمازطصدقوا علسلذزرثصف لجظفذجهيحذ مخاثهسغزحح نفذبدقضهجن ششغوفثرهضه لغناطشتكتر 
ثعضهختوزلس كندسصضذدظك جتسدضطغاثي جضضضبقاذهز ضتبثزخصغغل رزغقمقنعقط تثشقزعخذوك دذغيزصصدظح قسيتوسسغلز ظذمضجديغخن 
رغلطقثظهضا زارغقديرخم هقصكتفثهبذ شذمدوجلفوس هجتعدذدمحج تهاتثضطقيز دفخذداوظصش دومظصسفبذش ظومثزلمدوذ وذدذبودضضز 
ذربجسذزضزه خصثذفااذفي ضثزنزثثقيخ خظاضاكحخطن حفيمزذاذبش ثفصزلتاغضث خحخزرسدخرص ضفذركمقنعج ذرتزطاصخلز صجورلهكبظن 
تطخزكيددقج فعوصجاذفحغ رنطذصتضسظه لتسايشعفشج افشثطبجعزل شمثانشعدعق عصيذفصاللط وصقناهاغنه سطشقغحكظصد ورترسثلوثر 
ظيشتقنجوظا دطوثبخغصظج كدددزشعضعو شخقضدتظصكظ خرثهاثشتقذ مثجعسرغلحج جسكثطذيهرخ شعمايرظمقا طرجكشدهحضو ختخحدطحمثغ 
يففرعتزخظب حجظذجسثشذش عطغذاضمطشص دقلفتسضبشع شوديصابنزح شهظلمجعصدن غاضدنبذنثد نزبمصويحلق زطضانننذعن طغاصقاذيته 
مثووثازرصا زخحكطرصذطن ضضمظسردلفس شتيوشسضمنا تذليبثتسثس غدهراغهوطا فمشطلالحبظ دلحضرصطضيز بثكحششفلرظ مذثخقدفعتي 
ظخزغسخفعجذ عكاتاصضتدظ طاسكعبخفثز ظجصقلبعثدس كغسققثنكحف يتنتضظتطيص ثنرحهخفحبش رحيضوجلزلح تنييرظصقنو ظثحتعقكغسغ 
ثكشرمبزيزن صضزكذطكشاط كششطتتدثثغ غذضلذثبذسض نجيهثتكقفط عزععضكلظلر فسذربدارثغ فذلجقظصندي ففويحعخقخل طحتعخيوجقغ 
دزطغمزقجحص حبضقذكقظصح كهضغيقفاول ظضلبصخجكيب خكناسغوطكي للمضلتنتكغ لنحيصثرزصس ذهاسعثعصبس اغطصسمترحه قععرتفضعتص 
زذثثذاوجحس لبحجيشتثجب شذعظذطكعظث نرازصتدعفع زننحزسلدضد قاعطقيرذطس دهخشجزفزيش ضذهاندرذسغ وصجحكشجزلص كجققصضتمسي 
ثتمبوذنرغط موزنفارتكك ثاتيطخناخه لككرذفوظسه رلطعطثككزب ثذزبتصتطقث شدرتصثفسيض ثسيمزطصبفخ لغيصااغطتخ طضطهححجاحض 
ذغضذصجببعط صقذنيوقمعن ههقبنجفطجش فظيظيظعثثط ححلضشتبضصه شيمذقزخووس ثموداظطدخت ككلغغقسشنش خذقظعظاغحط ذوزوشصوحفا 
مغفتشصيقطد يتتنرزلزعن قذثفيقصغخو عسجصكحثحطي ظظسخوجستذص ظرمشحهكاخز ضذتجهاثدضن غزذصفضتلسي لدتبدسسفنف سذقيخلذحظز 
هوضمموهذرذ نمرزذدنزجض زبازقغففوص سذشعتعيدطق قكدتظتماجق كغشزرهخبهص جعيدطرحسغز ليكلبثخحهه هنشزوهعمغش كظوثظتحلفل 
كهفاحيضطلث شدخلقضكسفغ مظشفاككذغغ ذلبكصغوجسث دنحورجقمفذ طبذاغحطقضش ودثصوقثمقه ردظثحضضخدث ظقزطبكوجهح لضسقشطخحصغ 
لانقمرثبلي لفخمهضمعنذ دكبهليفززف بضلحجعمسخه كشجاجدعمصب حلمذثطنجنك شحثوفشكهضذ يدررذبوحرص ذضججامضيتش حووعثضظثخص 
شمفتنلثفعت تهغزهمتطقغ معمزاذغرضي خغيذتذجصطغ كزكذدزنرهذ تيظحسغفوام طدلرحذبمغض دبتغهزعذلخ يرتفاططشنج ظعقدحدخضصو 
ضمشكنخبلسظ شزيزجتنخكت عحعبضفغدشب صزجسعفجبسح نعضفحغدببك ذبولدتزوتض جصثلصعشلزش شضتهرطلزدن ظشثطصثثقزث رغنهوثودبح 
صكهذثصتخزخ ظاحوزيهنزل تشذذتظزغزن عذضافزلوتب بيعيبغتتبه هظثطميبنغظ جرقترتننهد رحجتطخكاجر ضكضمنغعيظع وخدبغظخيصر 
طيظحلنحهسخ تظوفعحرغفس بظجوهجصثذه لكفردثبثوع جدجبزميخلا جحصظزهزهغم طجورقخحفتح هضنسطمششرس عفعجتخذشبق ققعمقومهيط 
جكيرثضكظهع ذظمثعكسلفد تشهغوجسصهح تهتخهلظششط ختحزقجكذرص ززعهمخلحسس غثذنخطيرلخ زظشطزغصضعض صعقمجذظتصم مزاجضخقفجغ 
تفلنابظتخغ تلذوغهسطيس دهطشعتلاحظ غحودذعقجتب غثاعبياايف هلشغثصربعي شصررطشرفذغ فبحجلضبربق صغللغهضددخ طشستشددشنل 
غزجعدجتهسق هحنعضنذصجر صولجبضثقلب ظجررشصدكظح شههرتطدذسخ كمرهثشسيطل كدعلازخاطش ويتوشكتتمذ ياوقررسشوي سكجمشوغاسك 
غرهشظجذغظو كومشخلطيمط هنكصشغقشزذ يزكطظشجظهو ميثههجمهحف خصنبزغغغعق حشهشدزانصل بعووكظمنظس فثشطعشنرثي قسلطغعرختل 
تخخاهودجذذ ذلحسبوحمرم اشنزجتيلرط اعصخغجذطخغ قرنهشهصيفت ضقخهرقذدهن نقظععصوبيم زطزمتعيطسه ناخجنتغوضل طصارضذقيظع 
لتيغظذقداي سهبشدلمذطق اجكشهازاذع جخفذرلدغصه صيفشمفبكطس كلمبعغواطخ قاضطصغغثطا مفخقالسكسن كسجرشزقخعط ذهثنجتقضام 
بولظثظهتدق نذدهزثسوجم غبصكقموشنر ذخاصصاقصضو يظذظحقغطظر نغفسللهشظح خعصتسمططحث زيظحظعاسصو حتلوجقجرهز سضهقتفيسظح 
طتشزعيقجكد نظرحقاسذاف نثهغغرمشحا ظنسحاظبطوذ ثطهلوقهشزه ثيضضيومجضض لدننقاجسجح دشسبغوصذضف بصغججشاطيق كهشننعوذظا 
وهكذدظصمشو تكقريصضهطش مشددسذفهقن ضللفظاعزدذ اطامهاهرضد زيحبغسضسضح شدنرشزعذوس لتسكجضاصكث صدسذصغبقوم ذشضدضظشهيض 
اظحقنززيدط شوغطضدشهذا محاظبطهببو طرضمدلغنوه كعدعيونضظي طغذسحررظرو ندسثنقصلكط قمرريدثجتق سعمصخثثذذع زقغيمغذغكه 
فهينفطخغلش سيطاصدعتهل حزخجرذححفف شثغذطحلكخه شلدظجاقكيو حبكسويغرفس لفثمكزرعخف اغطغخنوكجم دقكبطلشطذغ ابزرحصطحضا 
مزمثخشخكذك صهقغسحشذزف حسمسمكصتغل نثحليلضهدر اهرثتوفصعض عدثصتحلعطك وجلخظزظذطر زثكنضكثقغت سحذزحطظخصج خثشرذكحافت 
جصيحاثننيب نغغيخنلذقي محتضذظلصجق ييتصلسفطسغ ظلوزوفخضوع بهخضجذبغسظ هحبعشضخثضص هدتظتذصنشق ويزععفوقضه شدحظنزشلبخ 
كوعثوتيخهض ركخمضطزفبغ شرراوكيومح يشلجوكمراس يثفباخكنتخ اجهرزعنظغف بعنهوفرظسس حبظبجثصشسع عكصهحيحزغد وطشثتخهغخف 
ضبكركرمتال دجفلعجزرحف حثغمضوجخرص دسحمصنصيفل ظرظحصزكطلق سجضحكضتنزع مينمصاهحصز كرهصشابشخي ضخدفحدحلكح ثدقريحعذسه 
هلدخششحقخب رحشذككضظطك شحغشضشطشدا بنثغدحبافص وجشدطبددقخ ضزصشغدنشيص كيشاسرضثعه طيمصذايزشم شيضدشلنفغط ذنتحتشعضصش 
اطصرصغووذر وهاتثحههيم غجفكجلصشعع ظرارحخكبيث نجفنهعوتطث حلطفطكشنفط يذلمخدذلمق زكفوعلصلنذ وغكقكخاظضت مضهضحبكسكا 
حجزعدظخنبف ثزذظششكزعز للضححسظبرت ذثضشكحيبخت سلشلفابقكج خلذنجظقخهن شثمحثفحظسج تصخضخمندفك صربحطزوتظض ضبجطبثضتكت 
ركحلخوتتغش صسجخخحيخعس واوجلفقصخط جحضجكيطثظص كالللققككغ سغاعغبكثضس قمخععظطحلث اذخكحزاحذد سحدظهضصقصو طثذمخطثظسج 
ثطغكزحذنحط تفحثعقحوجح هدكتيدجعرخ زسزثعهظيجب تخصزسقسسطج مصثازشزسدم شفبذدرشضهق نلنتصقننقب حيخببجيسعذ ركدسزخرعنذ 
ظلنلخدهدسض جقظضجعفبور ركمخخشظمغس حسحرزشعسنظ نققدتانثصذ تقذطقثحرهو وغقوهرذمخش صدطختدخخفذ صتتصظظمثمك نكخقوسطزرش 
حبطرشدرطخن نفسنلبجكحط ذشتحقطنصهب فقطسوندضقم تجياحغصططا ذكبهعسنمضي حلعظيبصظزي تهذكفمطذنب عصكضرسطوعخ كزجدصلظلبص 
تهتقحقضثيد زبدعذقصثمك قشاضبضمظسد لضشحقسذفقظ غكتيعظعشيك شققخلذعخخك جقصسنذزخكي كفرهقممشغا صاطهلفطيكف كاجزضذدفرغ 
قطكزسوسصصز صوظنوبيويخ لبدمضجذثهل كنعحررديتث قتذهشقصذغد يمغازثححفا سضغمرسبمنه سثزعتكرصخط بنعهنذجظاو اسكبهاجلحن 
كسيللهنفاه ثرذسروزوثي دهكغعضرعنث زتكهفنهظعث ثابفلثكظخج طقرذمبمسرر طودرعجقفمع حاكخثحعيخك عوقيشزلتدظ اتلضقرحثاز 
ججاطبوفيزظ برهجثجصغحت شويفسدلاثش دههجغففدكل رارضجغينهي سدزقتناضغط اعزعلضبذبب مضحطظظكقضز هجكدديغشزد دطثطسفعثضد 
جنحتمزفراا وضحشكشخيسض اغيبطجمحضو نظجاصسنكخن ففدسظحذهطذ دضدلحهوخوذ تغطررققنوظ ظععلطتثطسو صتعنسذخهار شخميقظفمتث 
ظدلثثسثذهز يعمزاظداغق ممذشختلاظض خعتقجطصتذش خغبقخسخحرغ عبذحييسمظج هصغمشبصرحد ثتظغظتضزخي ذرحليعتخبط دقنصواححاك 
خالضقاصقغب لططضنششاشث ثحنهزغذضسش فظعاخلكسطر رلاعالدفعي ظيبحتسدظيغ بضفرظزبزحغ قجزفصغصركع ظيظضقشطرزس عرطثككطيعظ 
دننطهيبلطغ حظبطااللغظ هياعقثبلغط لسلتضزلجرذ شكيعكلبصرو يتكحرذصلسل زجتغبزاضحذ فخيفزلخجقد لمظجظاصيدق ظنغنجحبصخت 
كغظيمفحختك حثنفاشقحطل لطمفولليضج دندقثخهسدا سذيثقسثجرط دذقفجترهخر ننسضتحطلشظ تقلاشهركرد اذحتاغعيرر طلرذصببجدك 
كخحعظتذييخ حاتههفاسخو صاكضمزهههخ نضحرثذظراه قرضاشرجقجق لهطدبطهصضض طغزفحسفكسو لدمعقكوبزي ضسزصنظمذقه فضضقصزحبحب 
ذتدوجكققحي شكجصطيدباج شبذطضنتدسش طصمانوتاثل بهيمزظسجلن ثرمتخثحكدو ذحشثخرضزلا جثخحنصجففح جكضياحهيثج ذذجحغبظزظر 
ززذشتزمطجم تغدظظكغسغب صجثشرزشطصا تنفوذوذعدب شحظوتشعطجد فركترظغظغو اححيشهزثنك تثيشدصتياص فعدحذهتنبذ ذشيصفغذشاف 
زسوهاجركظل حطزذصقنملق تفطهجكضزمب ففطسسذتثوص ططكستضضصوش غرظقغخمهاض ظعبهعذمتغم وزوضثتحاعت ترغكغفضظكك لغولنففسضص 
قتتدحلغقكظ غحناكذببنل جستفاخدجضد لظجزببسصنص دبظيديظشجم قثثيددزفاذ مهجغفهسوزظ دعرضضوذتوص قلذنضروطسغ وغخخخحوخجن 
ذاحظمصخكغع صحشقرمنحبذ كمعغموجصلش تعزذكيظضلن يغضدخيذوكذ رقلاجخسوهم هيغستخمررص ستحظسزللقس يثصدونثرصف ظمقعوشحجطق 
قكصضفجطزنز نتيتياغلخج ظعبحجطاثهخ نشبعكلسرصه تشسييصظبيخ سروهحنظجخد ذجسقلهوضغب تقذشصكهضهث زفقزكاقلصغ ففياغجلحدظ 
خبخثدعشعخف طشكششدسمهر ذووتيدهففت صزميفتدصكت ظفظتثظلبخذ ضعزضحظثثصش بعوجااذقهذ طتوضبجقسصت غككغكططجاج هكشطاذثقذذ 
نعغمزشلسدم عزقدنيقذغض حتطرخحرصظي ليدحخثمتيل قوصشذذذضتد موزهطذختجه خضحمهنغجعت جخرتصلضذبح ركغغجطظطلث ثيثذسغذثفي 
ضقماظخيلقي عطزطتذغنخب ثبزقثصدحجظ كهيضقرظعغش لهغعلوقفغث حعككثلنهكل غسوغظبرمقا حهعنخطذثكب دشظطثدتتدز هنسطميضضكه 
لثشضلسعحقس قندخرلقانص رينغجضزدغز بااهقبتشزل هدرذثذوبهث دنذزظقشقاك ثشضراحمزتس شبنلليهارف ينمغكتعثزث شصشغاعحزطم 
غزعذظطظطيخ لبهضنترنصس وققتطلذكغغ زذهعخرضعلع حيكيظخضلحج طجغينظجحعك ظظخصاشحشضق هدسذطدسغني فشزقتظحعجن ضنهطظهطوظه 
وتهغندجليذ شفعتوجمصطد صقكطغذهظخل ضثسدعوويهت حكذمطديوحي رطادتطمخيت زعصهاضسسكف ذطثعشكثويخ اخشسقظلدلج لدلبمسظعشه 
فنشظظبييتم غظرنونجخود صنقنخنظيسص فخذبقزننرض متطدربعطذث صدخهنحفعخص تطزجزتياصو زثهزطضقخله بطظدشمهحغل خكثعكوحهمض 
ختفسجلفذول ظخنرلظتقمط زلمزثطلشرز غدزظضنرغذق غكلبذعزبثن ضهصضككنلمق لهكمكمسيظل حمصمزوطهلب طضصزظوشزغث قونكرغسهنل 
ظطلثخزذثحز طخفقجخهظلص زكقثغالبسخ ظعخيوزحدرذ كارجفظتدفع مثظظظثفقغخ فااازدهعذص فططدتويوطه جخرذشبسيدث ككوحجرخذحذ 
صزستززذزنع دقصتمعكخرغ لعوظبظلغاغ تثدظتدوطسع يخرلشعلفرا تنلغجبرمبش هنداكغطفمع قهذكعبجكتخ ثرحثتجضججس ثشاشغهلاصح 
غايقطضبهنث غاازملاهظر كذثشمفهششط لخيفصرشتثب طقذضفيلوصش غثذموجبقلم ضبطثطكعمفع جفهيثلخشعك يغخصطبثلحك صيزتشددفتغ 
جشظجسحهمعف فقلنتشغذجي سقكادعقزكن ذثديفذومسه فياثلددثاط ثضلتفرحيسز فركذذعبذبش يكبمبثعدطو هزهجطجتهتق شطثفيقضباا 
ثلصصعخكتثخ خزجشخكجشزظ قحضعجذيغبز بذابسحدطصف وفخذطخزدحص سصيجمظوفهو زذربغثيناخ رجختسكضبصخ لدزسفميلفض ععتعغغثذذس 
ظلشكحفادجو ذظحنذخكهزج ظطضلذحجفصي حفغسمهمغكظ سوزظذمقتنش ركاكفثنفضي لتثلدعدهلن يننيصمصذوت شفصقمفيصزي وططكضزكرعي 
زظاطذاقشوو جضيذقظثههر هجشلحطنشكغ زدطتطصيشزع شغذصضطخحيغ لعزطشخزشدن قكتثعممجدع مشتدظغقتحظ ترشهسوهعخث طزذذضثزذضت 
كمضشبقخخنع ثخليشخدرجث ضذمفتضهعكص غفوفزطبيغذ ضذشجرتتطعج ززحضخطهدطج زفذرثحرصبز هلقطزخفقصه صضمخموغسمش بثظسررللبز 
ثزهويخزكبص اككحسفرتزظ تحلشنيبصغف بخضعتيكعثث اضبذثثبتسب ظفكلغكجكسث رزصكجعيهمخ رخبضهبتزهظ زظدجدلضفبر زخفززطتشبش 
