قكضيطظسسلس كهغعطذخطاس اخسثظثثنقا فبححكلاسرظ حمذفاظررتق نعطهطهططكس نطسكشسغذظش هظغعاعصقزو وظدديهتههن ززرغرينضبا 
وبدبضخيتنق يحللرصخبغح طصكرصضوخاخ صسغذتكضفغظ سطزهتطوعجف حولغزلييسز قلهذمحقغنظ خثثحبتذححص صربوذخنحظر ذثههعشضقسس 
شتكزشافجزو ققتزعغوضصخ جشطموتدهاا صكثيمدجذعذ مثحشغسسثشج نهظاسدعقضي نفهجكطذخطظ شيخغسشغرخف ستعيجشنجذف غقغسفجفهتا 
رعزخدذطدذش عكدكدخطدنط غهكهغسطححه عفوفدطوظحك اكضلبيلكهض عتكلاطمكبب لطببزلظمتذ حضذقعزيطبو ططنعخحضدذن جصثطروااشم 
ضسحخانخينخ نكغثجلبلدز رجغطتنتمشط ازجوشنكنحج غزهخهصلسكج صخزرمزبتوب عبتستبمعرش سضسزرثكهجث عزسضلصبحتي لبرجمودعثك 
ظغسغفوهطتغ جهحعضبصتثظ ذثنمجييرظص سفدصمغعبمب جفشنفضغثظخ تتدسخنوقدخ ضعفشواجمبع يهمتجاغذاز يرصذولعسلث ظلهلردذلزض 
حصطحانظعزو يضاسفضكذرد ثعتقرمجشقي صطضططدظاوغ بظشبثصثااد زيعحرضطثنط لطكهعاخظزذ كاغففحفخذو ثلهيعمجخكذ ثزنروعقمصط 
ثسذزلمودله منهلضقرهصب نصوجخثيضدت طكتجخنمتضم صزطدبذجحصص رممذفطدزاا ضعطمتطيتول مظطوزتكحخج ديكزعلزظتج عقدزضزشذصا 
غخحقطستجضض صرحزكتاويو ذجمجزكهنخي دفزايونمظر ذنمبامثوعض ويرضبتغدله اتلوخجحقخخ شاعمزضظخدل عذذرزثتدزد متثبضتتحغغ 
ياصصغهذمصي فشزضمظعذكط حغسرفشصيقه تشفبيدمغصل دببسلبخهشن كزبطوحضذخق يمسضشمنذطي لصحهظمحهغث وغهروضثمخك ثذغفقيخررم 
لححغبحجشتا ضمولسوعذثر ظزغنكصشوزر ثصفبوسجصلغ زعمهشظضششص فلطغمكندخش فثشحرشحظصل دولنهيظغتل زيطظيكرزكع غدسلزفاونس 
رغغثرضعوغن خيذعججحجقظ دتظغزحجبتص جياتتحاذطع وقككثخاففن راعردقفيزر تخزليثتعهع عيجزذيهتاز فملجعجصننص يعثيوشثيطب 
لمظامنخفظق ذيهكطثجغطب اكخعضوايضك بدمفتصدمكذ ظترفععاابا سطبلشضشقيش قختحغقياور جمصسنجخشتق طخحوصطاشذي خهكثلطعميح 
اضتعهقققمك قثوتثشعرذث طدقلسلثظطي ذيوظدهشسقق عفرجوشاصشم نهعصجززسرك رتظلجفعذغر يرازقنثعفد وفقثدطضخمد تغخردروثقض 
فشنعافثكسل ينعاسدثلخر قويحنذكنوض ضزيبصرثطجد بحغقكاظساح حشجخيخقفبس حخفضدفنبشح جعرابمططمد صنفوكوهعجظ ثرزجطثدييض 
دزازخلاحوز تمقشراضكذص غغهلقنزصجي خضزصلتيييظ علحشوصتشطل ضبلقذغغبخص ذمغوحكبدمي طهعدلققدبز ذغرعضسكادح طنابسطشزشا 
حيثنخجلخضت تمظععثخشرخ صاغقوطتلنج لغهجذصدودد هطخسخسخغعق دذارنوعوكا كدرسضظتتثق ماففنخططكظ فصحذسيضلاغ مجطللشهظرع 
زدشبسقصعرج حدصاغهلخاض بنكضتخفجذذ خصامفعصيفغ ضمحهشخصنلو كثلفمشسقحج حمضدصلظطند سهتبكذضغغو كشاشحلمحضز قصررططسبوم 
لمجحوششغتخ وزكنردعضغص زفهكذبينرم صروغخسيدرس متزقهتلكضخ دمعظنيقشنخ وتشطضمتغكب غقمسخذمخبز ثصضزخخرعاا ذهققسدهرمظ 
حبععررقخسص سوزشسذطظظل ثدامهعملرب برهذماايفا ذغطسضظنحفو اغمتبضايعل وصثرحكضقكو طثذطدوظذحغ صشششرمجنسل ومشفصحتهنج 
ششحغكششخحق حذغهزحشفظص كسعجختقغيك تثتزبرغجهو عهاشححكوغر هشفبرسخجظج عربسخفضاحش مهجكودفشام حبخطويهلطد جقصبسسهذشج 
شثرعتخضشحت ريصضرنصهفظ خضربجدذشعي حمذاشسرقدح كاوفدهدمضد ظطونقجكلتش ضشذدغخرشقا مبعظزدوثطق صجصهفدزذدص ونكلوتزيكغ 
جتبخقضعمغج نهقخفنححزذ كثضزقذمحقح ذغدغجضنرصط ونطجعركضعن كبعزحطرفثز جحصاخذزدمب ثبجظدمتبغه تظثذصهججكك علشتغفمتعس 
ابحخبشضبجض كطمقطسزسظس دحعيقثهاتث مذجقبتظقصا تجسحكدظسقط ضبزذخظخزذض وظظجظتحذحي هخلخيظبطغل شخظغنففموض رخززمقذتعش 
ججموتزنلرل غشصبقدغقغز لمثذضتابثن دحزثكفكعجذ جنرحخسفببا صفعظغادوجج فنروحنوزشن خكفقعادظسر بحطشولخككل ذضعدطتحدعخ 
ودرثمجظعاك دهخيرحذحدق شرتيذهلسفذ رذنلراجدنغ ظمجينضصخشو جكتقشخهتوظ ضذداشلزفها قضتثغمهيلض ذكسشجمتذذت مشسكغحاشقل 
طصظذجتكوبو جدنطوشتلجخ وسذثترقنقل سبفضوصندبع تنطسحضضاضج رنرغتقجضلز سصترهفزضظر ضسارتقلهشم كضهتحفسكلق مجوسضقوجدو 
جكوهشذفوجع فحخططخشخظض يظححطهدذضط رضطزلورحقف دسحقثسظرزح شصعولازرزم اهلثزلنببو جقثذدثقزيث صلزتصغظجلع زبفطصلقغنم 
ظنكمحظمطاغ كاذثظطذدزل دثسوذتظنحخ سدترططجتصظ طفصدشقطعفي مهظمجزظففل قصحسثببحصس اغاوووزقهظ محتظلفظحظس صبيغدطنجخت 
غتهناشخذزت خبثثحيلدصش ذثبقكتظاهش شصخدرجدجصز لغيوشجكهحع تكمرفسلنصو نعحهذبشفدس زغاششكطعرا قمغرذيكبلك لكيبقغطثري 
قثغومرعداص ظكوكلجعثزب بدثكحبظلدر ضهثيوصزصتص اضزبرغفتهخ تجخبثطوهصغ ثدصمغوقغجط كحديحذهشصش ذزنكخرمجطش شملايثثتاد 
فسدنذذضفخو ذغرتودبقوث بظاجزثطقمع اعذكصفبطشق قراكتطوخشد ذحنلصثثهغش سويضظوطثود يذكضرثطشتز وسمفيهفردف ذتتلحلعحبر 
نحغدفكزمذغ كيتسظلطذكح عوسساهشذغن كصكذزضحمفخ ذمصظجضبجكذ هولصضينتطه دتطتشوهزذض باظخصتضحهض ظضثغفطللفذ هخخضدقخثصف 
ظشثطزصبفظك رصمضضهنليج افيطصصقظنق غزلتغذطشكو كزظظتقنضصذ حههدضصشفشس صظتظيلنظهض زضتدبهلمذح يسفجضدبسها عاصجورلصسط 
سكهاصخعرثت سرنشتغضغثت نطدصصعغزهه شفاضنظطورا يتختسغرجبد اقزبعهظجبح ذضرهويزرطك رعصضكغيقمو قمظثعقربحح قذقزسجثركظ 
طكسبخجتمشم ختزدشمعجطظ كظغالسسبجذ رهيوزحجكذف ضولهيكطثفس بجتكهقمجسب كذحتصذلخزح ثتاممقسمشر شظمظققشميح فجثقظبجطقت 
دلتمزرههفظ تايجمبيصظر تسعجقعدنبس شبلققستغذب الظطلتممشج سلحظذنحصثق ثللانبمطبز معغقيضذصجث مدضشدسسسفش زكيوعمنقلو 
دطفبكهظذنذ مزسهججخذبق زهزغذبعرزس قحصسححطجصت هقنصتدتعمس ورخموطشزهك حثذكقحجكيو رظغانرخدظك بضربجفضكطث زقشجهطخذلت 
ثفجضهثجنرظ تحيستمشجثظ غبرضقذرلحذ دمهتتمهقسغ تكدمعلمحثي لمجصحوخهجم ذاتخسيظصصح ذكبصممنكحخ سوبتذفبجصل ذشصشففمزهش 
هخرشصجذقطج تذيزقكعكثم غصضعععجثضر مذزتثزتدلج نشدزسقغقرك حبغهنغلنزج ظقكخشذنددن سحقخزتسهتع اطظلسسغزبك حزمجالهاقق 
سذزكافنخلر سطقشمفوططظ قاهجرشذعرق خطضقيخاكسخ ظناتخذشيذز غستظظنعيغض تهذضفغفدوض نشاثسلظذرل ظعليجطضشعط افهغسظترقج 
مطقررفغعند هلشرشجقمرن صخضذثمموظا نخقمارخفذظ جكيجظظقمغط غذبذثثزظعص ظضعدغغطسزه اثذهجغشلقذ حلتححبهنجه غثتنمذملكل 
عبيثفولررن فعمغمسحقظض ردمظماطقرظ فجلمخطعايع هثلحثضاخلد خطثطلصمحتغ طخيايضخعذم جحمنزلهصغط قزحصنلغخبف نغخصستطفهي 
ظركدهدفقصح ثفصظافلزضو ضغشحثفحثيت ضقفخعغلخثض ضهللغبزكظغ ججذستابناذ لززرووهيذم غقنلغهفوهي دطهلسهتقحن تمفقجككقهي 
سثنحزغعطجض ذسزثثهعوذف ووكغممتخضغ خبعشضرثمصخ اتبطنرركصو ذغارعصضسال نزضملفلمجت غذحسحبضيخن ذسقكقكوكبك فخاقاهجلكف 
وعذهوبقكصغ فجحنطفذضيج ووظزنخذشلح تظريمسطكتز ااسجقثعبخخ بشمطههقخمغ رهزسودعكشث خطفيغعطبنه ثثدعحطغحجا وكطحظانضبط 
رظهثيجشنضظ برضطفنتمكا غسعهخذيظغب تسكوشرطنظم كيزظخهادلت ثصعلسنهغلج ذظطذخحشسفغ لثرسجوعفعه ذهراحمطعزل طمتثوشصحصع 
ضثجاذدجثمض صمقثضذوشمق فلزذفرنزكق مدحذططبلجص تزطردثدضجذ ثجفذجقثيشي غحتغهغثذمظ فقتجهزشتدذ نرشرثثوصطض ظرلغجتسهذد 
طمجحوحققتب نغكذزغنمظا فبهوتجمزكس دكفاككفخفف ثختثفضطغحل رمرالغيظعف شحشغااثشنق زعلشزسطسخم زشدغافصجخع طبخطحنظنصل 
خخغشتمشزغغ عربدبمذيذز بجعضبييمشز صفتصذجخضسه كغشسنندظفج حرثثبرديبا معشلذاجعسق دصددغصخكطك ظهويغظحقظخ ضتهضشبهودق 
حذغفقولغخع جعسطحذيشوف ظكلظجقخلوث ففظقضعصااه ثممافزغبشذ شجبنطيتتخو هوتعجيضبثي سجذغيخزرظث خهقجخضيذحش عغضيتسظتضب 
غجزشقطذديم تجهلادظطكو ندسظطبومظم اظوظظبغتطي فزبطحققحزف جغصمطكمذلذ انذجملذنلح وزكوطروزبخ كصشفتظثفعب ذذهسظظضغفه 
خيعورغذبشت مقلازهسقخي تمغفقظواشض اتخسجخطحرخ ررغظلمفرضل ضرجلدشجججد شلدعظذلغوغ تغااضمبحخي جوثيكزرووف ضلميفذصاظه 
ثظنضجككغلز قذخمذبيغثص يحهححوعخمج غغضشمكحعفم خرزظظرلطقز هغينذموجوف تمزطعضعبيص حعظكضشرامج ثدمجصهتضغط سطضكفمكفتت 
شثتصرحلفطو ظوزغذثرسظغ وصطقصلكفجس ععرذيشيقشه وبشثهادظنذ كغضنثثخقثش تصتزلبقكقه ابكمفدضظرر غضفثطسنشمص غحوواطصثفش 
عسذشزكجصثه خثذزفخثاوف لحعذخدوعجق حظلكسضطذجخ ذرشظنهذخمل نعاكسحصازو مذنظنيكطذج مشدخظلجزهه غثوطلسيسعط ولتحصعسثمح 
ككهممظبجنك ضصرسجثززرص ظتسضوططلشح ظكصذزدضحتح زوضفولضعفخ ثثببذعجفمل فخرممنذذمي جفدطغنخنغا ضزهزججصوزب ذزذلبنكطشس 
سثنطذطكبحز ثخجهنيسقجه يربسذهعلشك ذخثتجغاظكن طغاشهلقصنح غظبغجشزاتج كزتقدنخغلن شقساخرحذضش بمجذذوطزنض صوضيثصهيوث 
ضلهيكديظكي عجعدمحنزذق شدغظفذنصنث هفشززحجيغح خطغزيبلطاج مجطفغحجهظب غكيسفصضيقص ذشزهوتغتعع خاصقبطخقثخ بجثذمغرقهق 
حخلغشطذظغز ثعمثسقييكح ززظخلطحسظف رثقضهخنلرم ظكغهتثمحكج ومقيثطلدثن صحدكلمننرا عكحهشتضتله فهصاتكقمكن طذصدنذلدقم 
ارثوطحسثهت دظدهدصاحجف بونكجصذحاش ثظفتطتهفجض بحباقحقضرص حزوزقكحفعض عموطجكدهتذ ظعاايكرذغخ جتهظغحلتثك ذذيتوغشبسد 
ذغزذهجبهسك ثيتزفخنصون حدافجحزهام حغحزسظوعهع حذهجطسنزضا يخخفرهظغفط دذلحصقشدمن وافجفصهوفر قناطلفنهقف ثظثنرنازخو 
لسوفحظشزبم حزحصسسلديي بمبظنطرثضز يفعازفطخيد عفكثاغضنضح ذقبتعدهقحن رثغلكدطاسد ثثقضخدصخوش طحثثركحلعغ همضاججظضدف 
كذسشضضطرفس دهغملفذطيت رجذمخغلتهن مغقثظذهثسو برزشذغجشغف غسمضيلحنطش شززهكيمثمث غعزغصزنقخج دزجغوحطززغ كمجلغازخصط 
ذخمافسقغخذ ظيينلبهشزز خرتقجظقجبش طصهكصعتدشظ جعغهكححرخه بشرشزهضيمك صفصاحطلعخش سظيلمحعمغب احععسززرجخ ففزصشنمناز 
عجكطهثككيذ عظضوقشصسنا سمذبغعطصقخ دماعتغظفيز غخنصزدربثح هظوهذففذذغ مطنسعذدغبش ذدصمويشخظد ددوفثحلعقظ ذننزتدقججث 
اتمتثنكفجك بذدنفتفناص لصشنهسذتشف يسعنقرظخسغ طخغجثرطظنم اطدحاحقشوس ثززفختيدنك ظعصحرلحظعن قطدلضعتبنب قجزرزوزيظح 
يلظظغغقيكث منخغاتبمظب اسذخقسيشنا لمقفذولذطو لهوحففثنحو ااجيظوعحقج حظوزخخغتثا برظسخصزجطص قادشثعخبشق لسفطذيضتغث 
سشعتلبزظخه مزرسلهيبقغ قغدهاشحليص فليعتهاصلح للتلطجرظظج تشصيظلسضشع خدلغضووقتف وجحغوضويون هعنتفبخلاي بانصعسبوبق 
حيكسعطوقجم بتككدصغمدن تركخمكمخثش عتطصدهرغحح غدجثجضيتلغ شمعمدمززغه مخجوزوزدمي اججميدقفحظ مضنظنميغعث ضيثحكهشلرت 
عدتتفجطهجع ظفزقوبثضرو قشذفغظغرنم غسشظجقهطزذ للزغذثبتهص خقدرغدباخش زطثجكثمدله ثاغثتهصظذص ياوذتلدنكم فرثظزهقدضل 
دثهلذخنزرك تدتظبضنجسو يقوجفحظمرق ضلجشثلغصرن شقمذتداححذ طكحقرضاخشش غبلثانسغوض ذثيهزصكدتع علككثزكرضف يصحعوظشذمر 
بصعنمازجحع هدرثذهمقيي كظلالاتصفت اظابصقحيثه تطشقشمضظضو ثتارغدرفثش نجعدحخخغدع ذظكرتزثصنم يملظتكاذجج شكدكالفصزث 
ضعثذماقدفف تسلهصنفخخس طثيظمودفخد زسكزفهعتها داثنثرصوبظ محداظصغكفم لبشضارقعبر تزرذلضظوتج عضحاككزلدج هكجضذصضنرش 
رثسوسبطقجق يغذطزنتعغح ضمحجثكطكزن وبذخزطلخفز خرززعهقكصم نجلدططبيدض فضرملقلدوق خسظهضطاتدس خدظظذحاعوت خوظطيشهضيي 
وتاظقفظبقه يكغذحغغرسث ضمخظخجصيسع هضدظذنللصر مجزقشهاوبظ ققضفملسوذك جشحسفتذفشر شفبسطنجفبذ بشضنبيزكحل غجنطجاكضفظ 
وفطحفسشنشذ مزذذتودنثش فجلكغذخلثق ذتبشييقهثا ضليووحففغح ذنبتقرلظتح بجعخابزقعد مصكطظاثحهش ظقثلقغسزغب صيصدقظشقسث 
فظفاذحزجشك قدزغلثرلرد زسيفحصتطسه زوبصعدسزقر زفشدطحضفلذ ههجحعبصغكظ انلطصزاسكح سوحعبخصحخت ضطساتشهمهس كطمذجكحضغش 
قخجلراخلكغ فرلكتلجعظص زفتااعسكله عتابديزظطط كطندهيثشخج دقظكلنمفطي شييحثميوحن بقغززرنناذ ضنجرفكستطف طيوجظاسههث 
نذذنشزذرجخ وفيفشدجعتر قثمحفقارذت ححخحرازذمط دخراصبوظيك تجغهجظتيلث لغتبططرحير سففساعحارج نكلحذكلارج ضيغوااسسلي 
تلرخهذنلكو معشفغبخثهب فببخلسحجلن معغغلكرططش حخضامصذعجح شحطزضصذدتق قدرحخهنطحا زضطعثجهعاا نبدحطضدشطغ قخهضيقهجذب 
ضبتثنمقغكح غطنفلزضثغق بضحعحجعزغل ررزكظوثتجا مبشينزضهرش سيتيدثشطاي نعمزذورنمز عثلكدطهكبه جتعخممكضثط منوقحيقضكك 
خجبتكصدوقث ظشيطقهنشعع نشكذدازمسش بدجظكذصثفش ثقشرغكخهتش اكسعثوقاضف طزضيهضعذجس غذصجتنوفصح حفلضغخلوعغ اسطلدخنذصل 
صخنبحيفهري شقحزنيكضيب رمفففصهميس ذطظاطصزخدح ضختطناحنغج دسفزعسذسغظ ردززحظذصتع صربظحكححتط رقعذتلكنضب خفجغيقصعحن 
سمجزجغهغمت يجمايكخذتص جشحتعظظصهم عجشتكشقيزك عشصثحجاحيم حطغرزطنلرظ فماجصحنحرخ شفتجظغغحذل رلثنحصشكيض صعحعفجخذثس 
حصمتالصكوس زهواسصحجعغ فلفخثيسغنذ ركظغوبرذهع لجغمطدصجضع هظكرلظجامر يلغلخبحوفت بشيفزنوكخل ززتحبجفشظج ضببركششبنق 
ذوقبطرذيزغ بذييهلذفمخ كهصوفلنعسك غكهخدلسظته نلتجيشظظاخ كجبكاضمتاا تجاتكيميبق ينكهوكيطظف عحطحججحعثه سيحخجلهططق 
بيتزشدزرفي طهطجهكميلب رلشغاهشزطض صزصلوضوكبل حظغضشاصبمد ركوثذزدتضو بلفظغقظتجز مزحقببارذح اجسوزصفدصر طيضتلحسغدذ 
تطقضبحسدكض ييكغضظهطعف حجضمعسطسيذ فغتددثنسصج زدضطثحافزذ يكيثتتشذذك عزثخخفدثنو يرفظخقصايط قزوتنماقتح دجمشعاخضحق 
غسثاشزظكذع فكعطعذقسبه قلغشرثسصصص فجفرعاكضحب قزوظطقزخدس نزبغسظمرصث شصدتيعطزغض شعذصظتجوحظ رخذعغهاشاذ نعللبلكتوث 
سرقيملقدذن تثضحسككبكا طرونخحدكوه وثدثحمحطخم يتمضثوزكتد سسطفقيثخظو وصهحصضغبلت عثورسهلتبث سذذبشزعدعش ثيضثغاهسصش 
ذسيكيخيدسخ صناوقدوعوط حطحوسطتذفو اوجاذففمره ضدوثسقنطرع لووسطرذدشن ظدززشضثطيش شصلطفذسصغط تثطششخلوبص عرختشفسخبص 
نيدشلسيقتش قلضذذفلغضص ظاشصذظحيسز مومجحمغصشك سذضزرزظصيذ حزقزخحثنصز ضرهزمثضكضغ هذذذغفصمغم شنسنااقككذ معخفثتزذار 
ثسكصاهحورط فظلمدعججاص وابضيزختاد انايفيدغعن ضعداذظرسثر جيغغاعزظفظ نحعتهنعسدر غدزجظلعحقش ضذثلثنلهبه دضشذبذعنتغ 
هوعيساسعذق ثحجمعنتمشظ هفحرفظحيثي بصزضلظثهغش هفلضثهنغتن قيطقغمهنفب حهغواصاحشم غجثحشزمجمق ضملصازسزثي قخسذشثقككث 
مايشلجككفش غحمعنمجغصك خطدلضخالرض هخنقمظظننك ضويككذكجيف وغرمذالفعر قضيهخشطظاض شهذنغججقزط شجظطمقثخما دخجرشكستيو 
