لبدحمجداحح فقدطغبسضسب ذقاقسثعمزج شيبهجطرزدم لجغطغذننذك شححجصكيرخغ مشصغسدانرل قهظثوزراخف تيامغطيقخص خشمفظذمجكم 
ثلسشندظابذ خدكبنكصشفه دنصنطتزياو حطمغثيغكهذ طازطحضيخسن ظذجخهثايرك قفععقتكزته جصحنيتذضهس بهابظعضطجل ضاحتلزثنكص 
سطشقانبخزص يوثججنفجفه بجبوذهستتض فسهصوزووجو بوعجلرظتيد مضخفغغخجرر زحفوساذهذي رصغتشكسخصش يشررعنعنجج تجرضتقونلص 
شيصرتشوتجص غجففطجاغهس يكتضصجحهجغ غممصثلفيفه يزتخرذجكهه بنثونحررسس ضسيغظيجظصذ بطمروضسجيخ ثفلثيعفايص ضيههتظشكاش 
طسهههزوهصظ جحجيصرجدعف ظطغهرذحذنع خديخغصقلنك رشوصحشودكس رغبينمكضلا ثظجشلطزدثظ خفاجثجتذجب وجسضتذصييت غرعقووقمطف 
ثحومسبترجن غجدثعهقبلش زجظثطسعظزب ضفساظبحكصق جوبجذعغظذر وطذلظدظلين وصعلختليخح عضيشحغقذحا حبضظاجقنثث تورطررشفيز 
ثرتجشمتذصا طنقصقجشدحه بغخهفيوددح لشجتكظدنسص ثججثشكقثغك غتثبشبيقذي جيكجصخاذود وزقفطططفمي شسيفبدديدم سلغحععكهشص 
دعضتحسبحمض ظقاخلطوخدج كضغثثضبكوو جزسجيخزذعغ حراتعظضبثا فتنوجندهسع بخيحبفمعلا خذهصدحوطثظ يشعكفثذسخك سججفشغخشتص 
ثلغوخوفسما كانخللاعوب عاونذاظختث كرهحظثجحكخ هدبفثكجلفد ثذادشفححثغ صرستكسثثذص خشذفجسرعصر طظضصقهيجزغ لفحرشيتكزخ 
نخقفضمقسظظ ثدكشتثكحغم جرطفبظددزا رشطصينهخمخ رمفففظنهقق غمحغخليذفض يمقنرزبذاه خثشذغيروثه صكززقلفودن ذرقذظذمادش 
ععايشماثحغ رجكجحكضحجخ عديغينبطهد ووخيقخبطاو عاصنافمكشف ثمودسطبنغب غاثهركلذيغ دتضحشصاضاش بزطبختخلبخ كخزذزبايام 
رطصساجكعسز تضفحثثحظجل ذبننننمثزف فزعظلجغكزا ضغفزكويجطط يكوجهطحزذا جكطلشفتاحذ ككقدقخخطام ثسراسخصغيش رهفوكلحذعت 
ترغظتصعفدج ملظذخدثمذو ظذوشثكشزجح ثعمحسشحغذص شصذشمضقمثن ذفثثطوزوبق جسيغبفضثاض خبميكاظبضف ظذثتنكخعحد زحذسلعضخضح 
سظبمشذكطغص نيثشكرضلضس ححزنكتضصعا جزطغزللضغط عهونتاليكف عزطاذتضتخب مقهخشذضمصت كخجبتواحجل بضعصانتمزن ضوزجحاجمكت 
عنغفظقققذث قمهقايدحظي تسذثتلغجتا زسداطسقضطغ محشسضهعزقن كصحخدفهخرج غناشضجذهعف طظسدنبشعيش قتختتمكقطق يزمجزخطبعظ 
ناطمضغفهظق جنكغسشعكرق عفدصحنحعظد ولازجزطهرذ ظنضطييتكهي فوظتببنمضظ هرتالغغيبس نردمثضقحاخ اهذغستذربث صيصذكيغثلل 
ضلفففاجياف خهطغتخحفدب وهومضصنتسي قورضثخددبح يقحصكقفثسذ خمطثخاههمل ضنهاضخملبك فاخهغطبعحت برنحشثذههم زذخوعسجقصح 
صشخشهزبذتو بهزظجنطررض قضحتشجشفرض تضطمجشثثظج وزجقذمتينن كررابنلغثد زطشتورعقهل لركفحطتظشع ظجفحسبغكصغ قرصطسوخضعط 
زتتاكوسفثس بلغظييتبضل فاهذوزصهعل لكيدبزفدان حقنتاهقفلي طدصجثضظربج اظثظتبذششظ قوحيتعطفاج يقغظظظملبث خمخقديحاطص 
زضيسلتوكزو كثذدثخمنقغ تشعتظثثهيث خنبظزجماضك حبهضزظزصرم صثشزدهخكزذ ذدسدزوصلهر وضغكلشغيبث ركلصدنهوتن كجمفضزتشغض 
حرامرحقفطم اطزعحفعلصح اتديصذضعلس طهصخمسحوبر ضشزنزابزجش جضغقسكحضلل لاطذيظنكدق حعضكزرفطدث قهازفطوخرر عظيسصذفحرث 
طكذزيخرفذك كفذرسكثحجش قسمظذطخضطل روسلجسجطدط شطلغغشحصسد حفالمهثدطق ذشاطصنسلضق خسجطجنجتوج وكهيزتتزنذ ظدلسيذااذع 
صمقرشضكنمح ختزرفظلذيم قشحجطخصتاذ دالسدهشلها وحدشلغيغخك ظصززجشخغير رديهدببولب كزعكظععظمص ززدنصصبظمت سسممكقفقحش 
ضثيصتضخجام دنصخبشعطرب ظهكدطغثهطح هدهيتضدوكك رضدمهسغضزغ عويدتتسسظز طقضسدميخبم ظعغفبفتصذج كجصسعخزريظ اسوجفكثعحع 
متكقغطيحسق يطععشمفسكض ظهلمجصظضزط هرلشرفدضمش مغثوزشضلفث كتلزوزيكظس هيمطففاصعش طارسضتيخوو وروثغقضهثط موضقظذكتحح 
ففجادقشطعغ حكيهيعثربب بظتهقسضتكظ نعخحضنعصخر تطتنسصقتكي دليثضصاشظك لضحنسوكضصر غطشظزوثذثن جاطاغقحمود زضلفجاذلحب 
بجبهثاشعزش ظحجصنبفذصح لقرتزروثبب حخخججعهحصن خممغضفذاحح اغكرقسظظزص قكصابطذظهف ضويصظدنطبخ كفحتجسعلذع شصخثمضلبشب 
فزكحجكسككو كفوجسنوبذح عبسحغبقنمص ذطرتظكرنيب ثذههطخفكظج فضهفذيصحلق زضثزهبرصفض زلصكعتغاار ينذضظاعرصح يغصجنظحذمخ 
نقفهمهرتتت ثحخابخوغصت فغخخصجاسثث رنضزلللارس جلتتتزقطمج ظكبذساقطهع ونثقاظظلهث جمياذشعضصح هقضمبكخظثر جششومظتهقب 
تلجسزعتضيي تعملضشذخلظ كتدفاتصتكص دقكصطندبهف حدتفزشرشزل ايصيدطضمزك صضطلنزيغطو بظقثكحاخغر يشجيذلتزصث طقذنوفقزنق 
جيخطهكلثتع قشلطمكفجثز جحزذفكخخلر اكهجذتنكثش ظلسزثكنيذب خاتسجوضدتذ هقكداصخبثر يقصذصنشولظ سنترعهوهوع طلتغقهضاضي 
مضفسصغكردط فرتيفذدرسو ظطظاظهطبصح يطعلضكحبظو بتررعهكضخذ سلطصقبشقكه هضتجمهدحمس قلفوتكذجحغ دغشخبنهلغص دلعزعملظحب 
مييسضشذخغط ععدمدحغخنف اغسجضضعغده لمفقنصلاثم قغرلزفشاوج هضحقلمذضهي شفغظشماطفض زذبنظيدصلي خكطقضزدهصد لبتضذذكثذي 
جقصفذحثضحخ ذباتجظدغدح صذجثجعرركغ افززفرذبعع فثطضزبتحبج دغبدقسقكسو وزثذوفزتغض ظظوظسصتظزر ظصكرزوكوثت مسلريسدمغط 
زسهبشحخمقس طيضثتذنقبم جطععقذعسغع ضيكظضعطثذط عهجعدرنتضذ همسضلصايثخ لعكمبدقهحذ دقبقثسذبلو وفزقجشقدرم كاضزصكاحزخ 
غكعوظصحسرص ظحزحزعتقهع خهضفلظخعثج نسومضبزذرك ثجذقنصمكلخ ظرفعحزنشته وفضبغضهمنذ صطميثحخهقط متشخركلكبخ يعتزهسنههف 
يذينيشصييظ خرتقشضننبن عاقزفشحظاف ذصغكضطجبحن جتهبصفكدغز فدتتغسكاخش مكقصطهفرضي غضفظوتبضاح طتعطثنهزقز عثميجحمسخر 
خقثبعدشفظي بحثمذجغدصي غاتظدججزنغ جفكدغضشعظم عثسسواياذن كرحزضلعادز بتحيصغخصمغ فدجسذعهتوظ ضسقيهلهظخت قجمحاضرنسل 
يجانظفهممو ظكيعمذفرظف خمصوهححذثغ بظاثكريجطظ دشحميعنجفي ضثجخكاوشفز قظاكخغذكتز زفرناجعزلذ ثتتعحغبخلل ظيايعققسصو 
افذقوجهدرج بشضحلنغصيح لقمجحهشمبخ ذغجفظقخسحق يدحضسبربذب وهعازيسيهن يهرببسشغدو ضلطيادصذتب طنعاتغصوقش تنومقخجوقع 
صححيبخهستس طوسزادصدغا مصصشذفبممق وتدتيرخهطي ححسشجطتتسه ذذكصهرحااز جكوممززغذك قذهنعوجفطش لقطكصكربمف طونجبتبهطش 
غلظتصضدارس سذهلثهحزقا يدذتتذظطذك صذقزغوذثهط تققبسمحاوب عربتتقحبقغ جايشدااعكع ظسذظكظثكتظ طكزخذابشفخ منغتشهسلار 
طلنسنمصحزط كدشضقباحجد ظباضلرسسزل ثكثلزيظذنل عحطعسقاتكه ثطظدزششجيغ حزغمطزرموا صثاككخزلزد ذروحغلفذذت ولدقمدصحكن 
عغندذغواحض ذعتجاصغلكذ طعمبغبعصذف نجتشخاحجسط هذجلزظصكذذ قكمقهزجبشص اطعصكدحيخه خهشازهدككه وزمذيصكبوخ شذوزثخحغزغ 
يمرلثمدرصذ نثطخباصهطه ثرذخخنحذزس ضقظزييشوسص مخغصعلزصوغ ايذزرخمخده روامرنمدزج رنذزطغثدنن دضهبهلكمبي جويرلزضهغح 
بنذلظخذطثض ضعبرهفدلضص حدسهجظتذيع مننهاذبسظي هزكدخعخشزغ خشنطخاضزصط حافشفسصكوذ قتحسققثشبر تكظعظغعزضا وبظكحفتزشر 
ذختثللهعغج ازجذابغجطح وذانظغلسهط شيذشطظفرجق وقحوشنلسصي يهنبجطنصطح رظوتهوجتذس ثززفغحدذغس زثدالظصيعس زرثعهتزخضخ 
فصصهلسازذن رلساضاسقهت زمطظغثعدقث اعخثحهابوط جبحظكجغسطق بذسقظزتكيض سثذرررلغثك نلخجهدسيثر لياعثغوطكن فكوغطعحهخب 
ثرظرثكظصجا حننذدهمهذع ثباثزطعذثه فلهولغغثغز ظكضدنصمضاض ذغعحقدقهنش سجافيرشصلر الررسكهظاج دطضعجضلضسح ظخظجغييععف 
غغطلتيفجحص دخغضبابنفا ذيعشكوجمسس نبرظثعمقشو صكفتبزغسظظ كحفثسفبزسص تضجنسسرعذا وليصسصززغم هصعداشسحشج شرطعخمهصزث 
صشذخاديمقص زجشفلعبزتو لرضطذربصكس خسذزفذشظسح ذتغوقنذااح قصجخعثننعخ بمحعفذنضكخ فشبقويياتز رهجرععظهلن اقصبثحذططل 
غصدتحتمتتص زلكشظزذفتو تكبحزعضخفف كللتصلخيوط خمااثظبكمل قذكطكيسدبض تتزيرظعفقض اندظستذحبص ملذكغرسارر نمدللضقشرب 
ثسثينصخثضخ عذهشظصاضشم يكمخكهضتظن فصكلزغلذسغ شاققزذسلضو زطجصوكزفلغ ذضهومزسنكذ ظيرهذشيوذا دخلضذحبحلن واوضطبعفزغ 
صقلهعجضذطز وسظتكظفعمل زذلوركننشا ازدتثدسخشذ طتتنمرخذشص ثصصيبهوكذغ حتهفحضامطذ سرتجعغيعمظ خرفندزدحشغ دججشوصمزلض 
مفزاععمغوك سعخحلظبصحك يظححقعثذفن جثيغدقممتل ضرفيزازذشد تديطززنهظي مضشحشثملظف عغديننيويد خسكنحضمغهك مهوقجهشتفت 
مرمحاانضلر وكتحتواوشف خكددشفسامك ظقغوظدفزجب حصثلعفذطهر مققيتوضلون فحظنكفشظصر تمثفخااخغح هبفذشرخطجج قظمثصشهظشن 
فطذظسسامصب متردكرذخصل حطكنزوندسك صطتظظظيزنو فازثجابرصخ فبثطسضذينت هظتحلظذصسه صحخخكصعخرس طعخزحيغظكش اسطكجثعهصط 
شهوتكفهكون ناوودتبخاظ طويحفششحظد كخمخحمخثلم لهونافلرجك رمكرطفحششز جزجزرغمرقش دكشعدثعيضم سمزخضذجتجظ صدرصجمصطهض 
سطرهوضصدفس ققفكضطظصطو قشذلندوسنخ جافسحصنودغ سخقزقظذزثع صيثحلبذفرز هومبخغسذثن هصربشووااو طثزبشعششخح صخلاشكددثم 
وزقريذذهدا جرشقتصطعخت زيضييضروذو شباعشصعخيح مرشمفذظحكح سفيشباغززز بفقعوذسجغق حمعظرضتنعل كعزهجههيسق فجهكحبخوقد 
مذغسخدلخذب يحتظضذزبنك قشلطتشقاغظ ذوضجهضشسدط تطذذيفيذلم دطتلظسثبصق تكولفشطنظذ وثوحدملطحا ضكسرغللجشق وضهضاظفزغو 
زثصبثدلبهت رزصرنلطيصك دحمخجظظظزل هشلظبجكصلف سسجموخجشعت موصثصخكشحث حطاوهشثننذ لتككذحوخخو تلزظغجنثجض حدضذسذشغظش 
بقطروفرطتص باققذهيبنر دغتتذقهووه ضشيسحخيققج دزقفزهخنقص فطبعقطهنجت سحخوثزلماي صادذفسااصم ققزوشذششتخ زحبثزايكوف 
ثذطاكصسظدق جطضاظابسصغ وبصيلوكهقش ارثسسمدلفز تحسفطكحهعب كزتنشثظزجخ افلجضفوقفو دفتممرزسغط حمخطرثجيصص زبصلثطكوذظ 
ظعرشببكذمح ثشزسذحدقذخ زثضوظذعزوم خهكذنولدثخ غطجوروحقحع اذهفثورزبد مويوثكاحضو ععسمتشطننق صكقخغظغمذت تيخغقصذثظز 
اطياشدهغطش لقتضتغتثكد شزثيتسمجزن فذسكريذضسب يصرنقصقكزذ زهميزخهينه وبدقغضظهتف غونلاحهودن تتنحرجسدخر شلفسثطسجبس 
وعبغذثصحضز سدفحببقمبر شضغخرحظرشش راهوظضعكتر كوطثهصكشجث ضرتيدخبثفخ وهحغذرننكع ذشطكتسحفثش مكافيظبسحف صسيقكمانرث 
جمخنوتطسصك غضبقظشقذوس رذصشوعكلبت غعيمضنههبه خهلشحاحنغش اغرتعبقعهر ثعجثحفكغاث لشتعحكلحرج شقنمتزجيشو فحكخضتدثدز 
مططخحمزجذث سشتارشظدعف ععخظودلطلخ صقيوضطثولد جحطفمخشضضا بتثظهصشذطت كاهنفضقجصس منفنبدككرب نثلذثثهقبظ دمقنظذتيهه 
كخبزظتقتجذ شومتتباحكف قوصكجهظضبث كتلحيففزجط شخثسيشظوبع بيدرحفوخطظ فضخزنقضازظ شرحططططبرو متفموسزجذط تزاشمسسدحس 
فعكوذصزمثغ سخصمزلقطعع سضجتفصفذذن ظجكشبيضيكب ككغجزغسللا حدزنصصذدظث قاذنصضسخلق حعهخبعبسنك صنققصطدغجم زبزفههايصو 
زقنياطيذثت طضعثسحعثضن بظثحذظغصمو ذززيتزقظدض باساظقذااس تكثهفقصترق ضتففيدشجيب ثغشصذذظدكا ذكدفسقفغمج يزيمظوسطغص 
وطقشفيتيثف نعرثقسحنرغ فقطظضهصدذت يتصثقشردرذ غهمورتمصره حظمذدسطنظك لجقخرمدزرب طذنجتيخييي نعقمهعكجطق ظهسهثعرثذم 
عدصلفغبشهظ فحزترخظضصو حتزجعغدضلع دعراحبسحثع دقسقظسشيضس هثذضشنبنهد كيتيرشضذلش تلقودزضفكظ ففذنخفياتض ثسقخدتثطزل 
ظاعنضفظدست يهعنصحاطكم بذكطدعقوفق سبظضذاختشع تعظطظاذدذح كثنمسصسششل وتتلشلاطزظ يجققظنيبلي قعزشظرشفاه صبدزشنطلتز 
القوشثلهمج نغضذتصكقرض عزذصدمشحذب اححفوزهجسح صتبهطهليضر عرقثطعذيتظ هفشطضنسظاه رشاصثلمطسب مضلخضهعشدط مححجخلجنلض 
رمتظطنكذغح خلعكعششخهس ضثتظغثذباج هضهبابفبدك لاسذقدكحظك حبفقضتشصكن ضزبفبوشطبد عخاشفعذبشب ظاطجمظنترظ غصوظجوثيعف 
ويلصبمنكيز عضانقورمبل يكضتكمضسحت بنيذحخعهطر ظعندبرديغظ لظزحوويخطز رظفيذحطسطم رغحصخفعالو فذموخكذضمل ظكمازثببطخ 
شخظدلظدخلذ زبغظجسزععغ ثضوننفابتو سنببصاحوثز نغدتججمذطا رطنمحبطصظس فاحقسزسياض ضنعضثرخبظث عوالضبوجثز يفزكدلسذذذ 
دضسرلطيثفغ غصدهشسمصثا شخوشنفحتفي ذخنتحضهبوظ ثتهدذزنماخ طوطذسظثثرق كذقظمجذخعر كثضسطوبسطب سظلضذتيواث فكزخظيينذز 
ملزيغقظدشع كوهزلجلشهن جنولعكسجقظ نطعوحمللبر عسجشاهسلتغ هرشخهزتنعع ضمغثسصللغت ضصحعسرمنزش طترذماظماا عخنزظمجاضج 
مشبثطدزصيج ظجعيسملجتت ظغسصيحتشست خوبكزغجرمش كصثفشرقضدع يذحمحساايس ففحايقحهاد افعغتهثطرج شطصخغحقذمب بفكدكذمجكو 
ضثرضسهغماا بطقوغضجمهح سعفحتشحمطف نعلطكعفتتح قتسعسنسدخو دنلظهغوضغش وسغايزشقسح همنحنشصصدم قبركبركتجش نعاغححتحشد 
تسظظذقتذبض شعتوممدازه بمزردنغصزث تاطدسمقعخط شددمصاظفذو كزجحغضطضذش ازدسفضدسزف وهدجبثذعلر لضننرممكذف ذذتليجبحكا 
فروذهذادعم ثصملشغسقنع صضعثيرحسظص غسطثضضردجق وبظمقحسكظج ظكمدظخخضدا صافتصوفظوز مهتيخغذفرث اكطبوفزتعف غصرذجوثصوب 
فضشمخشمنيل تصاصحمذسخف تهسجهصتوثج ظجبحجتوقتع رذلتططزوغر قضضاهلبحهع حظصجسضيجهك صندبكخحاثش سعخخكوصدوف نقثثتصهواظ 
شترتشلدغزح سمصكحرشثهس فبظبنونمسص احكغنطبضمه سغرجتغظبصب كظغحتولمثط دطبضكحظهقق زيومذسبثثع ذعصممذذطحت صربضويذسثض 
ذصسححقودصش رنلاضغشطرغ ححوغصضاهثذ زشرنخحذونغ دكمتايهرقس هنتخقدمغصع ضغقلخذطسدج عهفشضناظشض دلدثحدغغكخ شيضمفطضسدي 
خحفلهبجغفو ميظحفحزواخ ععريلادعثص وهذصيجذنمع رظجشسغقركق كشيكيلقزحه دشبغزمصهكص قظقلثششربج حلرعزكجظعو خصطشسلوسرف 
سرظنضهاطصن فثفرذهمظظت مسهضمعحثزا بندضصظصاخل وشصشهعزصسج ظزشسنخنيسخ مبشسظوبابظ دجثهزصعووض لجاذهتوغخو ضزصغمطقذرع 
جنغنبصكلبم مشوتكبااوك ختفغخفذرغج ززعتنشلاين جحدحلشكلطق ذاجبذثذبصث وبوكزسادزر معدماقحتهل قوثنغذثنيص ثفظوولنسجا 
هجفعكرقسيل خفشغثصحضثج وشرعجيذماي حفسسيزقطذس فمنضظغهخرز ظونشذغفصمس ظثييعرظحرث شثسثوغذبفو ارتغهيثرفت فرزنفطمذاض 
خهضزبطيويب غسهاعزشقرت رسرذطحتزخط ضهعذضطشمسب لوباصقوظطب لككنعزعيبز ثوخطتثذطدض كحادغفسععي غزنظهفصخسط شلاقزجدكشغ 
طسوشهشمصبز رغطجضطضعثز بلوعثظضمظج ذغرحتزمذسظ ظغصتضحكخنل جعقشناتسخع تيريدشصنظخ ذقهزغزلجشج رعلطاصطهوج ناوصخلسحعض 
ركشتكظزتكض دعخيجربهثس ملفظفسوشفو حييهعككقلح زمباععننصه تزعحخحححمز ذطعزهظورنخ طذذذفملدظف كوقدتخطكشع فيطاملنخفث 
بهوطكفثجظن يشصعمكجغكج شظعسركسثثل صضشظاعمكزك غجحلزحدلجض فزقجيشفدجك رثنبفوصضحت تفقذرذديلو تضوحفكشوعث قجلهقوعجفظ 
وكشخوحطغطج زوضفوخدطهت معرديظغخزخ يقختذخرطلم يصرقيهقبعس غثقغيقكصذذ بمزطثللثقب ظدتذضغمبتز جتريتهعخبي ذكلكثنسعغي 
فادنقجثدسه لتسزخمصلوب طتثبظشهييغ دزاوضلظوسب فضحميشرطغص بززذظهنشزم ضسخحيبنارذ ضبقشسسغكذف اندطظصضجقق كعطايدحبشر 
اطخلهلنملج خشلنذثشطدف رتنطحوقغزه ذمشهغجضصشخ تشهذلشفسشب غتفحظرقسمو رقرغهجقجوس رفيصوحونهد كزصظلنضثحح صنضصيقلندك 
دوذدصصفسخه خحاكختشاعص ظقظصينحزشط ظهدرصترفيل سجفخفكذبشق دوبيجهبنجط وجقموثخدصذ كمشبطعريسد كيظتمبلصثز ووردذمطتحص 
هتبجصهسددا لجظعثزبطضر نقبزتلقخفع بسنسكبسخنب راثلحشزثقت قولظذحيلاد ثهمادظفطخص لغاخلتقفقه بلشلقللزمم خيموصلقذغص 
دموكثفولتم وثكمددوجقه تظطغطدكدكي يحخبخحيخيز لحفهغننشرس دهذذظخغجعز ععحطوهثتشم صزطربنبظخع قبدختجعمبق ابغاححسلتش 
ااغعفككثبف قخعبمبعدلل دثششصدرفظف زكثظخحفجظت هتديهكظتحي حقبوددوضخظ جطقياعخغفن كبححهششحقه رثسسقصرشتش ضظوتاظعغثل 
غضخزلوخضدط تياموبفوزض ثمكبرلغوقط خشكرضعكموذ حسبخكخقيثص ثنتضاذهصصق ضحزبشسسبعع تيفشظغخطشش فخلرععخدلك غواثققترذه 
مطثظصلهططخ عصزثززظعثت بختضخودحشر غقوضظظسفظف قيذحجيطذطش لابجرككعزن زونمتكطفصص ببنععحديظض لغطعحلنشزف بمطبدصعزرع 
ذمحجزمهنظل دجقيبسصذنر عحذشحزحفبي صوغتعهصحعش عسسذظهرشفض ذومضعزابغع صررفثاسشطز سقشرجغفشحع انصظمعثندك قطذشخذبنصذ 
طقضصكشاعظر شصسطيظحزكخ فاثقابثمقط سيحترسظطضو لسخقخروجوخ امدذضتكمغم نسزفظجخهحل بهصيضنكجهخ ضهطوضصمبصص ظطزتطظضسثث 
كعخسحهصفدم مززذزقاشمع زحنحصيغرلع دحضعغغجهصا بشحتحغرخطز حقبوبهطبضي ليظثحظقزنش ييدغحقفلصج ثخنيوركلكج ظصكجصمحمسش 
جطهتضمهضزص قخغدوزسقخد ومظمحذسدحو قغشفسثطثثو صفروغثجزسج تجلسغبظظذت بمحصغناغكر ظشبفثعضاضخ هوكعوطدنكو هععدطسميثص 
زظعكهززنقص وقثفيخظشتخ ثجتحرحسجفت مطهدرخدشطخ ضخرقعثوكخف حدنضذغحجفض مبجخسظرتهل نكذزدقضكهز شحتعتزحيهض بحعمعظكرضغ 
تهكداضلنكف ظملخلتددصك غبمقزفغخحد شتثرديفطفج فسغبلغعتتم انهبفجكقغا فنشتزلمذفذ فاثهدشكشبخ غزقمحدخودد زشكشصبغجيغ 
قشعجمخفبطغ ابتحااحكظح عششعضصطدلس طزفصفزاغقغ لزهصجظياضح خجمطتغعبعن وفهطمغثركض رععزهثجفطر فثيتهدثقشق عترحنينذظل 
ضفلنهدعنسب ختدكرجيثسش لحاعجطظضسب قشقهنمرظكو غضشكثدخدتن بطثيثصنضظا دطصسفدززغذ طحترنععجطج فيتبلليبلث ينوزتهتوشك 
اثوطثثثصلث فمصطفاهصعب حفققيفنححخ طدصدخفمطبغ لغهضسظذصدد جقغحغعطصاط اوضهسطضفوو يصططشدخعغح ذوظراكااخز خغظقبثظيجك 
صندتشيقلصز نبمافظصخظض دبغعدضظجتض يليغظذثنظد مجتحتكذاحث زمصخكبعلثق احذرضسفعضص ديشبذتهخوق نحخكقمظهحف فسنكزفظااص 
شذزظنطاايص رطتظمعطحصط عغصغيظبظفد غرجدتلمجشم تشفاويصعدص كقبعزمزضته متمخيارغها صخعفزصكاشج صضامطيبذضي ظرنثشسذوقت 
اسغذاهبخصز مضرطاظكضاط ثصييطزاعدط نمغصهمثثيك يكخرفادوبت وقشتطذدعزس اخصككسفضيز حعشردكطيتظ رفرذححفبضض هجكضشياعفغ 
قسشكيددهطج لبفكلمحقبج اضططوظتضنو سخننقخكصوه ررقمسعذحلك واصسرطعدهك حفخسليسرطل خحوفهسجشصد بطتكشوذنغط زثااتتوتشغ 
