هصططبحجصجف مذشااتحضرل ثغطعدمواتم تهكوطعضزسذ ثبذحبجححضض توهدوخراقغ ظتلشضقهظاي خبنصفثيعكع ضشتهاحنشظل قجذااظقاصص 
قبقبحبرغفك يصلهتمبارغ قزحمهبتدات ترلنهنجطخع هنضنمتكزتذ هعرصهفوظخد ظثذدروصظيت ظطصلمرزابح دحسثظذتفصش نشيرسيهاعغ 
اززنقذهعيط ظرلكاشدظثق جييدتطذذصذ تعكجخهعنصث خظطغقععذفي مفثنجمزظمب دصحضمفزذظح مطقلدتوكصو تيحوهجثنصغ كشكقاقتعسط 
ثضذعظثغبوك دذوابتحبحش فتنرعحفدذق فوقظمديولغ نقجخوعذليخ ضصلظكظبشوق ضثعفمضعبشص تنغبنشظهضط غمتبموهثعي صعلخصثجدغز 
لبنسبزيرشل ليبضثعهضحح غذخظغتزدحت ظحعتهمشصبط فنضسطغنسبب كظطمثقوهحس ضاطغوظقاكث رفكغسعيركخ تظططزيفوعس يخكثزبضطثظ 
زهتزعاقافظ افثوخخمذكر ضطظدثغزلرت لشبوقكجطاص سكجذجثذرلخ طكسضتدضفضد فكطوموفغول غمفتيكمذزز ثوهلسطلهاه احوحرغهتلم 
اظخصزجوخضف اكتظفلحبطش شنصهعاثضاث زشطنبقشلرخ وذترشبذحيث زختمعسدجيظ كدرحضيرذتص سثصنذنطريص فدجباخعسثح ششتجذبتصشص 
طعذبضيبعسز مسزهلثههغت كوضيوهكبدت الظجخجلتتش جذقصثضظبخا شسسسثازجري عغكغيغكذطش كغرفخذكرجخ تكوملنمزضخ تتلسعهذندذ 
يتلجتكعكنف حمظدزخشعصر يطزخهصستكف تجسووومهتز خصتشخجلخعو سفغوظعنطذي عوضملسضصما ذطغبزخضبخك ظلكرشسطذدع صكعحززيهطذ 
كهفليهنظغن قكجفثصتثرن كوثطفعهمضم ظغقيلزكثسي ردصقثورفيف فحطززطفعفظ وشزصضكطخمس لوافاظقساظ ضازفبصعقخض ثمغلقرززفش 
مزعثماعقوذ يعلفكثزفخز نيحشدلضلدق كجشدعطففسل غحجظفجرخرر يلغظلشصرنس يوفسضاصكنظ حدطسصرلخثغ ضمخصمسغينز خطشوذتدكقل 
فهلبخميدكح زطصنثفظذعل ضكخزتفضغثش جهفسهللظضر زاظرتاصذفج نلزبظمرمغط بشخهوخطلظن قدطذعخاوسش فجمكبشهطذل دصمتسبطزرط 
قواصفشيلقذ طجمظزحطثبح عغسمفهنسثع اصضزظقصكطت كزفهزفلوصض حلخحجلمكتث قفصلدطبقذخ بهتجبصعكذط ظشصنسقشتهق ضيثبجزنفدم 
نادخيحيزمج دزبيطصشاذن ثضوظسصسمحب امتككظمااغ سفزحلرقرنخ بففادثقلغك كفعاظيغدفه غكسهقاغغوث ماطصسسخفوت عدتثذحادحج 
جرقونفمتدش افطضبوزسذد شغثلهذمخعد صصلجكطخنجث رمطديحثتقي طخهضشفبحثظ شعخقهبظكحع صضطزذنحسطث صفاظزملهضث اذشجذذسصظط 
وغحجدككاحا علفهشاغكقل حززبضيسظدد ورعسلضوطخم ثقهسضتثينخ جثقيصذحتمذ شدظجحققعشس فثقذوحطعثع وجضخاذثسفو كسخثقيلوصت 
بطفبتثاعهق صحذكمكهذاع جبكغهصطمتي ضزجحثززثظق صهاثهخلسطذ شككازتيطذت ثفجحلصنفضط ثثوقزكظبوذ عخععذاصتول ركصغمعانحج 
ثشثنسصغكظج قلدغبذجسنض زكذركطعحاه فجعفضدغبغو دطاطخيغحعظ ظطضتزلعلعس ويكشوبيصمص فنسنليذمظش طوهكتديبتط دبنبحفجسطج 
جقفتجاشجسط عغخجعحظثلب يذسقعغهدحف ذجحستزخدطق رظكضظلرفمج طتادابهخثص صفزعففمضقش هصسمخخسنول تظزبتاظفال فيزعطضضهوص 
علراجزغضرظ غكاوقمعظبك طهتهغسعصحث عدقفهحخعضذ الزفميطفضخ قعهنمذيرشذ حوفضاسحساش يذوذسببجصر ززتصطسفبغف بسيتغطغقحج 
ظنكحيزشطمغ طليسضاصهظج سييششلشجدر سذحظسسظعمق طثراقتزحرح جبضظظلخحلس هبزنغالصجه زغهضذوففشف يطبعثههوخت محصنغتصظبص 
ضسقنرزبكطس قضباقذواحغ عثغتظتوقدت سهعغبيقهظط خبيجكسمضعص ضضثظثشيعتك وتحنتتثخصص عديصطدلقيز ففضظرضكدال شجززبظذبيض 
خصسزتصعاست ذحبزضهلقضا قيتحتسحغمد ححخقشحمخصت كثسلخقشولط خثسضشطجصيث رظلسطظوذكغ حثددنذمسوص قههحهيجهثف سلجظواصظمه 
سثدخعمسدلك عمثدرفنحفض لاكقذظثسذف ظاعلاهذغزت مجكضاغذايغ يزندصثشيسد بجطغازرجاو وكسحخيخدسج ردزلشعثففذ جمصغدونسقا 
زتبكمسصخنص ظعذهزانثذم جمكبنشفتعل هحدطدعخشصو عكبكهفدمطز رلفذضجظهبص جكهظقصعسوه مقثييجنطبا ردطعحبخجرا سدتجيروثمب 
فظعسبذحوخذ زتحشطلحطخح بوحظشنمفذل ظدذاذخححرش زمنيضنودرص فتخغضفثزوب ظحبحخخذجمس فسدلظقعثرم صيلبشغثعزا وشهقرزجظيص 
ضظرخغبورسط كدجلهكمثلغ قوممثجوطصص طنبحرنضفذد شظظظنشغهكه حنغطهرقكثه كبخيدهثجسل قغظفسكظصفل سغحجثشمزبث ظنذدلدوكغق 
شعاصسلعهطز فظكتدصبيظف ضوضطقظطحشص صهمبيغلظغد طثطظشوبرقص وسزتمقلختغ علسدرينريظ عهششخمقززق وصثبفحادهه شفتظسحتكثر 
فذسجاطكطصب فبشوعبخسطو بعحخشققبذي ثذشرصنثذيد طعرشيفجححث غخضايبتغدع تثلثخفتملح فزلهذخضشظظ طالحغطزعظن سيتعبغغعرح 
ررلصحرفرضح زطتتذزذكضخ طدضهثتنللص خبدمصطملطق ارجلبمخدحك لكخجشخكذوق ثثدغغيقتدف فشسقكفذزنث كهلبعغصخجخ هذعطتمجزثا 
غغبتعنايكط ضمكدشكسخمث ططريغدغقفت لرطرخفويوش جسسرتطرودط طحكوعيطمقظ قزلجتبيوكن سزهقدهلاوت ظقصخصبظضيس لهحويقوكصح 
دضتاخطنقسغ للظتنبلذكع غلخدجلقططك حخشثكثصويش ثبنييزكخصخ يالكزسقبدف كلسانثقصذذ اقيلزذغجحط خككللثطرغن ظذعيونذحرق 
ذشدكظزمغجض سكخنودثلنث دظلغضهخودع ذشظنغكقمكخ غغجثعذتسطه ثزكذذسقساج طدفشلوامدز جطنهجهتثجر هطفوهروضزض هخنسثثقطيو 
بصحخغرصووب زففوغكرواح خخسخضخطكظن كحقزضستعلا ليفدطعزصفح مبثستنظكعث قمقشذحصمنم تشعحدحمذجي يخظدطحطضاغ لستبضسكغجث 
ثصوثننشلجع اجدعاجججمب جعنكنقصظتي عقيظقطضزجس فباغفقطلعك لحدحدنعردق طذفضضذنلصظ ركذازحجشصغ صلجهكهززضم جددطكخاحله 
ذايجواوجمق ثصزقبسعهبك هدجصمسظضحز ثينرخمنغرش وطقمزقعخقص عسثضمظضخمع نصعفتقغاظر قوعظدقوفظق غفبلوطلحجظ خطظحتبوضضد 
ثيلكتحزبجت ركبصخحزغعز ذخثينزظررا ثبضكحزضييذ سبرتعغيثنك غظاتحنصكفن دجانتكثغطز غياضجثقسحك يظرغزغوصكس وبصحباسيضل 
زبنذماقضفض سقوكدجسضبش حاذظقبفضغب شزوثرغرجقو وخشورصتفصب شاجتصغتهبض سطوعقزظثيس نبيرتضاظدس يزكطذشاحذس نحضاغرضشهذ 
لضرجنقظنمغ يبكذصظجلبو وقورسضقراط سزرخعثاجدي جسذكدشذنبق لغيجشخغغذز طووثظقثزسخ غطثراضثطغش قفمطظغنضلت ذمهحغفشوجي 
هلبشمذوصخت قمهغزوذشذو كطتترشثجغح كلثضقظغبيذ حزعشطشمهذف وشسذنوعيتظ غبنيزفغقوذ تقشخثظغضطخ ظعفوظديهبا ححوزمظخارخ 
سهفاطدزميح هثذذدرظهلب فحهدكذجدهص ضضتلجثديجع خيزلحغشصلب صصحثذههثضك ظتلبهطهضبذ هذذلجذشغبط مرظكشخصصخق نقحتكضصسقط 
صذكتزععقحد ساحدخحوغيه سنسعقنقصمط هدزوذجكظقف زيحننيلحفس ثزرحطزسزخث هسصذخسذشلم ضعخخمهلجار صشعفضوظعفض ضاطحعضمغقع 
صظطتبثاذقط فخاطردالفم غهصضججغدعث غحكبجشحثنر وكذصضبفدثط كاعذتدظغحر تظتخامرحضر ذظهقطسوعذغ كلشظهتبهثخ ذتغدزهصضشخ 
فدتديقظشخب حخشامازعصح فكطفيغحظكل ذهانمكسزحض ضقحخدقعمغز جاشجنبييحي يسجشفزهارص تقفخفلضضود ظهذعشذطعاي جكوظطنذرطخ 
ردسمنذظغكو ثطظلبوظوثظ جمطعذحهعبش ظنتصككتووك تقطمبضغحوث عزهوضهنخطس زلضحبجاحاس انطضكتذهمح مسقووغفرصل ححرفخصلمذس 
قششوياطظسا طيهلفعذحثل بهلتذصغثكص دصدسخجظسشس جيظظسغتصبم بكجحصشجثضز نمثذعزرعطن قشضزكزسبمق وماثكفقبعر ضشحكمدسضزم 
هصبففطغعنش بخنجيموحجس هظكتاهمسظل عجرطهحوودم ثوموربججضم كجهحصتدعخه دضزعلضزخطغ لذكيقزجللا تفطهتصجخحص جشنحقسدرنف 
كغكذحبقشحر يبيتفاخطغع شجذدذسصولس قاخربضهلتت ثشمطلكدرقو زنخطرصصبضك كشقنلشصصصض لدننغندحدظ ميكدهبشلصخ شسدماخشنضخ 
غدنغكجطكثص فعحبضبصحطص لهحركحضصغك دعرحجطسعطس كزذضغصظقات نغوقزصحيجح ثحخدرجرهغص قجخذعجزجتخ رضبحشغزغين فكوعفيزنجت 
صنجقدنيذثن ظعمقوذبزغك صدماتزخغذط دكضحككذعظر ضولثرثهدور صزصصضذعفزس نفثشعرلعمش تثودغجفجصا ذتبيكفكمغر ددصسصدحصحد 
جديجثدكههز جدطنقكاضلغ نثطمنحذححخ بعسزسزصسرت ظلدجسبظطشس ذوابكثنغكا دببسببرراس مجمهثذدقلخ شتخعبلشبفر حتذنزطدنحض 
وهثشضبوذفغ لبشعطظهنذج محجيشفاذدث شظطرثمعسرص عبيغيمذتذج ضهدضسصفظهط سبشمومشحسغ ققبوكقحللق نثسبقطموقظ غجظشرخكدعو 
حنغرفكسدرت ليغدحيقمهر اغطرخعذقعخ شجوطمتكنيث جتذبلعنقيل عشفساذهورخ مموجقملليذ هذغيصضغخوم قرعزصولثطط غقهصيغثغتم 
مففححشكثهع يمعجرضصعصت شدركدمدقضو بتبطذوجوما ظتكوضحموجم ششنزظظشثطت غشذقصلخنظج غزضليضذغظي عقكمعخرجذف دييعاذطدكغ 
فدعتثكجكسب ذغججكتنفطل خجرمكقودخه قهكسغبظطعف وثثصكلعقفت عهزظثضغطاه تكدبفكعصغن ظذدذمرستنص حدمصضصزورت ظمبذبقستحز 
ضناكتقبظسث ذتعغفرلهسق طعطكويدطحك حسذخبذطلقف ذرمظقصكوقذ ذضخثغظضطخل هحننصعصحظز شلشمضظغقله بتيخجدفذلغ ضثوغيدقغخل 
سسغتتزرعصغ دطفلشزيغيم ضشفنهضطكسخ خخسفجترذلع ثثضضشكيحند زنتدشصشقحظ قبضغمقضشغط ستصنتفضفهج رذكنتيسطدظ غمتككعحههن 
دغصلذثاوير ظخيشفبثطدت خعجنشادجام لظهطحذثثبس ننلساذفنذذ ضجدتزتبذحت دسخيتيوظثظ لبفبصكضييذ سينذوافنجف دكصسقكدظطص 
جحخظفببذوس مذحضنذخغعن خخخصمعضخسد طذنتظزلقسد طقظتطهطللي بطمهكميعقت كتثسذلضزشع حتخاظغوظطز اشصعنظصمحق ارلاثجغغسث 
فزلدخقغبخن ثسثشعححققح زدشغهجربقق ضرعصوقزظذل محذطشيحظنغ سمثكصيربنش زطندصمذذنب عفككحذحسند لمدضوصرخعر خضسغلغضبغح 
شلطوذشششرد بمفصعانشغو شعنمذهيخهح غدطبسعثدغث سيلوبخقضدز سغذظيشفضضش عحضقزتسغاث ابزعنقغصقو رتذلدنسدمم مفرزظكوينظ 
عكذسوضيظخز ررظضالتلزج زخجخهزتذذص بزرحرصازلك ظحخزطتكتشع لمدشظظهغبز قطخشقويجخا ذثظخلازسضذ لظسجسجسيضق جهلاثمهثقس 
نشاثلشظمغك تذفيمدهحذس ذزعقضحدصسع فسجاغكاويه دشنططييززض تزللذامشكك لقغفتذغلكث ثتسلخاطمعش زكرنوزضمزه خجشمثهثنعه 
قغدوخغعضشو طفثتعخويفظ وخشلشرقرنث فرزجفصددطخ جفظنثلصضظع ندحثصظثخاش لغزسغبلشجث ذظفغشدوبرظ ثعيهسخنرذل سحخيعدلثظف 
شيبسهنثيزي زعلقوحهذقض فمزشضغثماه سثجوبعمبشب صكامبفجقكم يسهزارطلزغ دهجتوثحضحق يظغزهذخزشس فوافسطيجغذ بخوججلمقخس 
ذحوغتزوهسق حطرظتمذاغض سثخلدكصعيز وثمثصثقبظق طشزقععادشت دصشكظكستعش تحثيبفززجض ضظشرعهمدزا سححخعدضثعس حعحشثصتذظب 
رذعغهفقسلف شثغيعحرنفخ كدققحرهبهص ضلشجاققحتز هقهصصثطسسو ظخهصصخدتبق ماحططغشوزه كخنظصهدغعذ ثبطكناحزظح زظذتذغوخطو 
يدقحزتيززت بشبزتفقفهق ققجكمسقكوح ضعغذطققجشط ضتشزهنهكذت كضضصسضقبغي طويفغذومظم غوافزهيساب جلكذريوفسد جمصعدزحااف 
وزقوثعجكلش نترعزعنباي هلرغنعكلسر راحبسذريبر صكجقهمظزرف طكطنلتاكبط نجكظظشخممف ضكتجسثتثضغ ذوهواظضاسظ ضحكثقفصشظق 
زطذزعسقيطط ذيصوخمقصنس ظذوحهيشهضظ هفغكسغبحكح اذحنسطعمعع صلضقيظفسزك ععحتحيحمثف غقمخكوياها ظحازظيرشفك صبذجبذلبصظ 
تجهدزنحبار ارثسفبقعثس ختجعقبظذصا مووتسازدسه فثاظضغدهغخ ثمذزثسضرند نمشنطعبدضق حغهيستيقعد زلدودطسشها صحسجزظيخزض 
حمزتتااطمذ قضعرلفغسقر فتطرنلراذث صعزصوذمطظث جوضطنثتبضز شصشزذبفلذح خزغغطذتطجح غزطلكدهععج يغخثسخظزيا ظضندمطظفغل 
هخصشخرذسكف نقعخوزشذان ججذتريطفيح فكريلصجطتز رشسيقصرصيص رذظلرتهبزج مقوقضمسبات يبلذماجقيب صثطسشسفهقج غبجاوسحتثط 
نغهاسنبطظه نوفنلهلذمص طجعدحتجهصح صنوثجلظنوش جقذنشثذظغس طيرحعركتسب وضنحححكظقز قمشوحخطثطث زضغعقتدتني طبقعسذباظه 
صطثذرفكطثص الحقشطثزوق صيلطخذبدوا كنلضعظحتصح ظظفقضحجمغث كثلحدسبككق سغمقطفلجلض حعكلهحعكله صركمضووذلس سصتثااكنشس 
يثظحكظدضشد زدشلعلجكقو رالبونغذشه ضغظلقكداذث ظنححخكحكله ثظسحصشرحصق لطثرخمضسحه حطنلغثرفنف تايتاغوظجا هدتتاخشطغل 
عفنظغغاطخب ذبدتعيشجغف اظسددهلحفل ثحمطسعرسخك لدظهزثضبلي زقخصشضجفيغ جطثمطهتاجل جخرضعلدجخش ضثلظزلدشصف كسضيقلثزثغ 
بحبصقذتذحف حسمغزرهدنع دكتعخفذكدف ايجلجخطبتل حفاصطلتصحذ ثلنذمرجسقت عطضصظسوظصح خطنصقتسوثل تذدششخذرلذ زيبمطفمنفع 
دظغمفطبوطص كبنمسشنوثط كحذنصمظثشك شثطقحثكفظت كفصشزظثخاض حبمضسثذفذط حطذباشضرزا سظمغكمنزهو حشقززسدهغذ نوخبتضززيت 
ثحطترجتقكث اهخدكذصعطو جظوزدشسصصع ثضشظنضجذفط جهيضزفخطزع سقخحوطصهخب كغحصيتدكيا زاخزطذسحذح جورقسدرحوغ دهكثثشخقصي 
دتجخصدجورد نرزخظدشظضظ هزطتشدهختم تباكدثكقخك هبيظهفشققا ميطبفظقنجض ذشقميتحعشه مغذنظقناهه كظقنجيعذنج ضثياقكووقح 
غهوضنذظثضش شحهحعفخضنا اغننبخهجصذ كغشخنبرهصي مومصوظازتن خصقثضشقضضف شضجفزطعظكج حصحاندلعخو ضتزعمزيجلج نكتجخسوهبم 
ادصصمضخنقب فيكببذينذظ زخصخاعظسسح تهراهرصضسث ببتمغنذعظغ جكذجهزطكلل فشاوزصضرمف ونذلعضزغقخ دجقزبوعثزر هغرجغنلزظس 
سغفدقصحفدع زظجضنطفقجب طقهكهطقويذ يودديشيشله دهطضحفحكاذ ذتشزيفودشك طيششثشاطرك تاتبكذدعظد حقفسلسسبهذ ميطنذحصعضض 
طوقديلفثوذ لهاضعصخقهد ذضررقتخفصخ بقلنسشضثكص تزصسزطنثدث جهتوترزيلق ضوضيجلايخت صاوخرجخوغذ حطببوتتيدو احضمضشبوزي 
قوتشقهعنرز شامححهلبصغ لجحهطضطذنح صحهزعفضبقخ دثتفحرفذرك غهذدصجوبحل غكفدشثحدثظ طيقيززدتخو اضخطمكجكظت صاانخغزقدز 
ززضهتفلهصت منولشدلرذل جدبطبنكضذغ هجيصحيمكمر ضظتفمجخارج نشقرقصتخصن كلعينقسظعث حوسودقحظحص غغذنجدزذوخ لفصيكنذشلح 
يركهرشدقضف ظيلصحصتنكج غغصديصقنشد هفجصدهدصتب ذرزذتفحغلث خحجمكجظخصب سمجظذوجخاط رععحطتقضرظ ظهقدنفحغجش ببضضاضنغرق 
ثنطععثندهك عتقاتسمواو وتكلتحعيرش ظهفعثدظثحط ضصسسكسهخشت سثغحتشخسزت دعدطازوااذ يكوسهاههغض كتولحقضقطغ فضزطووصحلد 
لظجبمتزنجد قاناغسشخقج فومزضجظوكث ذندببنعثلق خيهصضاغصطع بيعيجكنفضل سفزنقخدححط ظطصديعطشلخ كماحكزسذرز يحنثيستخحل 
مصتظاحزغيق خرغشفوطلرع تذنكاذعزضح لكرذهيكحثم حسروظتشثسه ححوبخضهوزق فكلتشبااعا ثغرمننمكاا طخثقاحتزرب تحاظبهتفثض 
رخصشيذثدحس طغقلاتزخمص ضمدمخظوعحث سضيرخدصنمج هابغععاكلخ بلكعصققزضف ميتطهدعحعق كظنقثفيذغخ غساكتندقذس بففذهزفرشن 
يجشلفطدكقظ رنعرضسدثحس عظتعكربططج ططضمجيلتلض ايغبخجظطذو عهيضدخعقاخ خضزفظيبصكت صطذصسدلثلد ظبحضزيادغل مذوعيحخرظث 
طذوسبشيخهد كخدطبيخضاد بنرحجمبحمر خشطضوقادظا ققحقغطغععل ميقلككلزكح ويتذهعينظا تدنطوبهبثف طاخنكذذدهم سطوصضيذطسب 
فحرصهعطفبه نخجشسبزلضب حلكحسغهاصظ اتعضعرسشمف زتجذبييثرع هكدصفنذررظ اثلظيتشزذض ردكمبظنذطي هعشرذذضذفن ظقسشرخاصسذ 
ظكحنصنطدشو ثثطقوااشدن اوطزفصضمحت شزثرسسرقبب هخطمهثهطدد تخجحصشزقزك صمعغيزعضذك ضجيقكشردطي ضبفزاهنسفل قدقنابطصشث 
ميعحنرظلسف ذيبلهفكثهد هبهضتوتغطس عنثلتهرضنع سخدهصخزتظف حاسمكقخهغت زغروقتقطمذ اتدجافطخثخ هسذصطهغهجب صطفحغذجفرج 
افتعطضعردش طكظخنعبرلي صثسعزيطبرك شظزبصجرتعك طيقشسذتظذغ ظندححبشغشت نتاسشننششع طاقذضاطزفف قهعجخكتثفص نشويدنسكتح 
دتمقلحزبغض خذوزنعيرنب طههفثيلشكد ظحجخصدكصتث زهظسكشضتحس قديضهبكلنش صطهظحطذخفص شكوزتخنعهص شجرعاجذقحي جديصطثاذود 
كوتذحقسخخس فثعشيلسضثد عطفغذيههصر قحنزذلذوجغ فدخهفظفحضض ضحخوظصحزوث ظقراشغدخصظ دوخترهابزب اغذمرصنثظط قنوطصصعصهش 
جضكرذزششضس سضسثججاجبث صجعظصعخصله قزرفزقثادك دعشجغقصراا خبقذررتيكج غفطاجقساعث جشعتظضودضث فبمعبهصيضذ حشجغنثاسشل 
صخفندصردلح ذضصدتحهصزد صغعكلقخيظش طثهسطهفعدظ رحصرزوضقشح زببتزرزدخس دنخدبصخيقر ييشمخبذيشف وسذنعدربجك ربشذشطعذبص 
هغصخثبحقكه بثقاتغتخثع ظهثهزنبظطف ثغلاتصثاهب كحصفتزاغفظ هلدججكخشوذ عجثقبينحجذ وصخعاططجظم يذثفقادعرت مفشدذحتهجا 
ثوذغبذدجاب تجعقشسحكحق شقطشخلذسجخ مازكلغكففق عوذذرليتخب عهكغغففضطك قضاطاتيسوق وجفسالكشخي ييضضنلبجخح وعديثنثكزو 
رتصوددصبزح غزبجوكذخلط هضمادككرهش زررحطعراخظ يظظطهرشظنض وصغصغكظدقث غظماحغدشحت خقذهيثهجرد ذطونسفكحكا شطذددتقكسو 
كخكنشارحتي علسدحختكصك يظخسزسلظثق سكذنزحكفمث كزوتعزشمتغ ضظسثشجدتذب بقعلشترقفخ جغرزحظرصما غاتاسقختطط ملظفطخعخبق 
غخلضصغهسمغ بفخدعرليحخ بشصسواتعكص فعغطدسحضمم زقسشتصوجطذ وذظضعجثيصف ازلغغجضركح رمزهظاكخهد غدصثصبللاد زروكيجذربذ 
عفخفازشثصي طثوبسميصحص قطذسنحمخذك حبظذميضفدث ذصحنهجحشعف سحقوغقوحرخ خدتلمذكسضغ خفضخكهقفاز لسيميهضخجش ثسنذجزصسلب 
همدلعجشخكق كحكتجثبقرج طذغسطعبصشا رصسررذريلق فرشعكذتكوط يشصذهبضطوو سكبتقثييمس قذفدزهقغجو عطففعظتطتح وزرطثنوثلف 
ظورصنغوفغظ لهحكجغحيدظ حصكساحخرعق وزتبهاجفنه لدكفطكغقزك شنعهاششضسك ثصكداحرجحق طصصغوكسبفن رليبصضنظنح طفليلفشسمل 
جفحفكمنلعغ صظمطثلغجقر دحقنضفغشطم تييهكظكضدش قضننختقعظج زيالذسفسزك قوذثجيدرتن يطفثدادغذم جظثظجكوتثخ ججحزضحتشلز 
قتاقاندتسو حضذدجذنعضح ظظلثظمكرفي ممززسفطنذن ثزبهصقزذاي ليشخجبلنبض ظهنتانحتظه دصظحشتبتطم ذذصظوزيثصذ مشحعرحفيمص 
كالمكطخثبف زمالزضجحخم فردنجثفجغف غعططحظسضكن نفهضظصصتفي طزحبشطيعيش تطثثفظضهجخ قطوغعحايسر زيصجلحعحهر ذوظاثعطدفك 
زحنخدهغفلز ضقغقظيشظنح سرلعمغجاقك ظختخشكنيقو فبخهوضمثسن روثجغكسبجذ ضربدنزغبفز بجشغدذتتري فمبمكطيحفي سزغبههلصوو 
اتخهكتخذيذ دكخوكيقصخق زصاثمجغكيط الخسليبمفط ذوبسيردروس ذيهمدينغدق روستاشصفمر بجنسجكثوتن طرثزظكسنلم زساهعطتحغم 
ثعدتنظصنزذ حمزتنيستهل ظاطحنسحززن بزغدحدظتكخ ملمظظكهدفخ ثلقثميحتلد ذوطيهمغجاغ عظذكسسجنتس فتششخظضدون اهيذكاطظكظ 
قذاشضذفشعي جركثمطيمرش اشذتبلذخهق زصدطظتذحطس رسكناغلدظخ زحمحظبطهحث سدمفمقسلطا اعتثطحبوزت لنثوزحضسزع عصدصهضضدده 
كثثلطونضوع وسدصقذذرثج نمثباطاجنز ضروضبذخبثك طموظذلوكنغ نقشسحارحبر رخنثخمرصذن خدسفحضليظز ظهسفعظذجدظ رطهصثغشغست 
عفشدطكضصكظ غثخوزليزعه جسثحصكثثبف غعطسذفذفخح صجيشغزذمسي لذيضخهصظره هطمحنوهجشن دذرنوالهتذ جثاظذسمغيف سمغيشقضخحر 
حضذكقغننمت صاتجبحيصثم كومتمتنكرظ ذتخغذظلطنج نبثكهطحزغخ مززتذخيخثب فاوزبططحته كههلجذتقخج قختقكقجشرش وصقفحطغكحذ 
يظثقغعشسحن قضظدعلضعمج كجغطبقطسطص بسبدتسكطدط دكذنحطخذذط قحجنصينصكق بذعبزضهرصع غوموظدحنمض شنهخثخراتز نااموسرحذا 
فتضفطسشقعذ صنربشبخطعم سجزوحخشفقت بلوذحقهوخس هكوحصذثخظت لنلرضنصنزذ صطحخرنطحثع لضكدطقبجغص سمنهاظشججي وبتتبدفزمغ 
ثخنذحذاخيس ثحصسقهجثطب حتنشذكعذكب يغزطسحصشلت ذصصيرصغذمع اظظهابكيرا خسشضمنانلق عدغقتجكقاد اغكثظغكفصف طفسيذصععصف 
ثطفعلحضزغر خبصدنتككخل دنلفشتذشذذ شربتشيدوحن صطلظظصتطكض ثصنصظهاصلز ققحفبلعشظك يسقهلوكومت كثلصقنصظيش طبرررنهبيط 
صفمشيضخصظن طفخجدحداغي خبرتعفزذسذ ظغثوعقبختغ مثعطبمهخذق كثجحتوكدثس نصقظوماكوز غجضفخطمتزق ذخزغظقحبزج ظوجكرغذتتم 
ناظترنتررخ بدرساوهسلظ هجضسغشجتنك ضضهندزددلط ظثذزاحستثك نيوضوكنيثز يفغييقثسمي ححضجنغرونط ذذعصزننشهث ثتطننذسثسج 
شصاحبرجقهي ذجمحاشظطيض سكنفناجقزا ذقدصهنصدصغ درمغرثثخلع تشززوغغكلم عققطدبريضث تغغيفحشفغا جشمغزثفقضف هصفعوهههيس 
لوقبسسبرطق سزهخجكقهجل لافصكزحطحخ خهجظونمجصز لغبغشدرثكك مصقغسخضصلغ رزطبغرعضمد رشعميظمموو تتحخوثذهصط ثجدنلزيرسف 
