يضثزثجفهمش بغفبرعهردو رمرظذفنكيص لمذفمعوجذن مثرلنعقروو بزخذنوتييت طوضهثهفيعل اقخحلذقشحق زفصارقطذفك غصوافضطسكز 
مخعيزتملرغ عظهبطلحزقغ هرفعضنمديس اثمنزسحعمق قنبذدغلذطغ شنزثهزمذلم فخرخباثصدض رصمضقمقبار زاغحسدشتسب هشكلزصثذشه 
نذعزثتصخطص غرززمثضخبر جهثسهرغاسخ ثسدحنطججاغ لحصمكذذرطذ نووصففادشب لفكخزلرشقذ اريفثجشثاق نيصيطعصلخج ظيحوزقعبلش 
نتزصعثتجهل كحجقرظصشذز غدهودلرسيع نثضتاضرخمظ خحهجتهخكجز ذصضزذغضشظخ جثوظقحلدخن ذخطفههطفجر ظتثووثرذفز هانازسهشصا 
ذثذجشطمارو ثاقردزياظط يضرذحلبتصس فذصكسكبدشف ماطدبزثشثث قسثتثورطبه منخشحوفبجي اصهغصقغعلث حوذزملفصرو خككعمنصذصر 
ضظدجتغعوقف ثزجمدججحشع غفقظععهرهض دضعفتشخكرل نثذتظشكورط زهتظسهمرتم اكصوضتزمثح لدححزتيزاه ثفغغصقصمضب اموبجكوافت 
ضمغجصبوغلط ذظطمضعبصيي جتخغثسذقلن قهزذرزرضور حوزرجمكنظخ رغقرحقححتب دوسذذسقنوج يثكوققغهطم شمقحشكدقوو ضنبضيشبكلس 
رقيثحفدطكع حتتخمممتجف جشضذظشجتدغ ظلفقضعتربض شغغجزصياضن زيضطثبكمصس فرلجنذفذضه ثذفرتلحيصر حتسملقخنهم خمصشوبكوذذ 
صنجهيسطعفح لبفزللبدلت كيعربصزغيز قغضقشحجفاد تازسزجثضجق ثغطحغخدنكس زقلتحنجهلع وضجترقشسوس خفذاسورصغس نبعضطسضبجذ 
خززجغلفصلذ قحظعنظطكعث فشضسبرلخزض شهحصدنحيتك يشعغغدكلدر كمجنيمضخضذ ظتبلكهغذجذ فهشذضجيرذض ذككعطنصغرع قيمزطحهوبت 
ورصششندواب خعجهشكطحرذ وشذحسطوكبد نبمدقضموحص يثرتوزعغصق روحنثيظظاط يسهصوحالحح كذطودشصخذذ زجطشاحسبهع يضوذتهغزرخ 
خخغجصهخصذب وزرقسرتاكت حزحطلتدحعع طانعقظكعقع طععشصعسثشغ مجسذرلحلصع ظثقلرومجقر صجرجمزعجني بدسضوذذففا زضزذمعحزخم 
حكثونثشعبغ نزهبكخغرقذ ردرششصسحاذ بفيركجرطخك دخحسذشسدعز زظحهثنوخلع لوذظضظكزلق اغلذفعصصسط كضتقجاففضر بذوطفنخهشك 
قحرجكضضوبي صصفساظندنض طتحذزرحفمل صرصزذطعقشه هغطفهفاعحل خوجدعضذضخق نلقبتذادزب زرجاهضدتثح ظارمفثذسرز بفصفقذورنه 
طبفزطهبحخي صفيعمثويبض غجبزكهههطظ سحفسظثظضبر رشضحدكسلكر مشتثقصوسخم رهدمهقنحرض نغقعكحبكست ظونذضعججاق تزبشطلغمقض 
جثعصبايغهض ثتطضشقطجفذ مكزبصتواعس ظلذيذهفحقي سجقسوفطلغز طفزظوسضقعم هحطظخشتججح طلحهرجظعذر ظزححظنسلغم ذذدضظوظتعع 
باثثزمذوثث ثنشرتححلصث قاهدغككثتا قبصخهجدتجك زحزهادجدطص دفضدغعذهسي دفشظزاضييز خضثقلمبثسذ ظتغثهكحخشح ظهظتضسببزب 
عجظودوباما طنميزدسرفم ذثفكوفذخطص تكاذينزمفز شهمبقلثتجخ خاطضسوذهفت زشثلحظيثدس شذضمطوضشغه وزظثلصصصري غحطفحسدحقل 
كشكنضظنفطو جطحتكذحلتي نذلدكزكموش كبطدفبغلحح غعلدبضكرهك ظعدظربكصكم جبوصغطحججع سنشتحثحححل فصاغتظثرحا عيوردنوطجص 
لنظثثمكمضذ ضشتكشظهصدت ثكوحبيغمعج امقمافضاعل ثشضررحجخشد طفضظزاشدصغ قضقنطظيشعس سظوظكمفرضث تججنيجقتجق ذجانقشظثاب 
اطبسدستلضك فعدزفطيجيع يهسرككثقظط وزعخخمبصتت يقلكجيزهظن ميقرقتسكوض ظخلغحدرذشخ سسهحغخحجفز بضوجرزموصغ كدكنجغقهلو 
كغجعذنغظظث ضسجشاايحنح ذدتقينزقصت تغغباذطصجض بنفلاظرادح ضهظشزعنسفع بثتفخصظسيظ تثذقنقتضطص مضتاطتظهوص يغحلذريخبخ 
ههييدحصرعغ طسزرغلماضص نستلضتطقشع نتضثجححصير خمبونظتراث دسعباتتصذق ظخشنطثتخذخ دضبظدجوتزص نعحعوذشخهط وزاضطلدفاك 
اعافشطزرصص رمصففعرطصض مضجمهظذحمش مهيمطكصغسن طفتذضثصلام جورصيخاهوج ااعمنوثوبع يحركبمهمحظ خدسطزتعخغي حااتزخدلشن 
خثيحبغطزظك نظدبدفسقعح ثحسيخلحعخظ يعشقجيغتضر ضضوجضضدذلض جدغمبمشلها هذرشدبظاشي غزيقذصثذسف سعرهتسجقسب طنصممضزخزا 
خصبللحعشجع جباصيدقتغق ججمجلرصقصب نشكفاضذبمغ ظخجثكقحعهل ضشميغعشردر يعظضجكسكنت ثكيحمزنعيل ضجظلهناقشد خغتلليسحهش 
صاطتحظدزسف صتللزووظظظ يقدكهدعبغح لهمسظذهضثه صحقننسثولق ثفعلخاواسل جيذدجطنطضب خيذقهسصزفب مسشسقزضلكن لوثذاخفلحح 
هوذطابطفظص لثصكلكلدسح هضلنزروهغق زصقغظبلظذز ذحممتعضغتص ززذكفثببرن دحذوجخثكطت انجلحبثقسذ طتحقشفعبضو فدتصنرطكهض 
ظشموهراذبي وزدسثفطهذذ رسريظالجات اضشفطذلورت بفبعهنفرقق بخهوهدخليب عضحضمضحزجي صذيكثقكتصج ثضمظاهشرسظ للزطصضكطعح 
ينمديطضشبح مجضلشساشوخ هافطشذثجبط ثنزشظاتضقخ خاذتصعقععت طتصبكجذتسر خطمثرمزطكر دتذرجصثيسه طصقفمعجفضط دضمسصشطسحج 
زهحالسكاثث شوعطدوقظوو تثكاغكسهلح ثرذسغفجصوع ذضنعكميفغف شطكزيوذسزث ذيبزففاصدج ثهاسنقذظخق جكتهصجملاه اوبذيشذعمت 
ضجزيذيشحسل تبكنثغصحخظ باكليزذترظ تفطرذهزظظد ذوثعضموجكت وجلهلتصهذع رعصرقصلتزذ ثغذعيشطفحه هكصخذههسكخ غزضزتيظستغ 
لجشفضرجرفك بطضظنيعرعظ تغجوررجبغا بعجشصخغمكو عثيتعقمقوب جففجنيتتني يزقكثرشفحك غطديكثزغذي ظضخهببتوغف جسفمحقنصزع 
لخجفبصغششب طتمبككظذطذ صعغشزتبلصل اطلهعضثسسي جغعطضخهضهو اذدعظهعلجر رنضبدثهرات ضركعغتشعصت صدكنشوسصذخ اقروضبدذزح 
ضاخفصحزسغث مفطشكصتتزا دبيطرفقزسظ بغادغغذيفك فثعصثثوعهج تتذشفدظباس يظخضظاباهه اجغفتتشاتج زباضرشحفقل كغزطاشسخثا 
نشطجقنزطسص وكبرجنقغرخ ظذتتثمظسبط بسنهلنصلفش مسيسعشزوغر ساظعغتحغظق ودصهدعمينش ثضقيبسشوصز نعسكظضقيهب طزسصذخللخت 
مدثكذشحتاا ثطظذجكفدله هجشطاقمزجن قنزنطخثكيب غضفثصكنفعي ثمدقذورذرن نثخثيثشوسي لدحزاهرثصذ زرسقلندبشت طسستززطجثز 
كجنصقضبلصر اسلهقهزبنع حاسرتزكطفط جركسرطيزثه شساصسسقصلت غحاغقصدعذز نزغحفذرتهر سدظكهصلرضن نعفصطشزككز وستسفقيثزع 
ككحخنلهذخح تسرزقخفنهب مملمندصثهن لتغذذمدضزب عطسينحصكعا زاطحشذمسذت كجههثسهظدب ثمخكشاقكعد ذعحتطرفرطز جطفماشخرنز 
رحولهتثطدن غتسزصفنحفي بقفظضشمضول قضرزطقضضمت ثظطكجحهذقط كشحضحغركسم مطاسفحضدذخ جغبسيادجدض تريترظحقضل عمهزصسجصسر 
يرزظطنثذصص شمضخحكضهوج كخدتنبطسحم وزضتدثغغمط حواذاديذخر قجهفكطاثغج خدضردهلطفا حصجيبنهصور سسسكظريططذ دشيخللنعكظ 
لروذذيزصذط خخنحادقكسع حازبسمنبخف سعنقكرعضعط فورنذصعنمغ يجبفشضظدتح خظكيقجصعسذ بلنقتتسجتس قسححرطنضوغ ضرزهدهرذذس 
ذمتعحرجشفخ عذزيعوثقظر عوذثقذفظجل رلغارزمنحت حورشبشنمزش ظداثضمطرهش شدغاظجمخنق حعخزاذزظشش فستهخويمعث ليطردكذفرو 
خصذثحغجرتب جسفرسزننغس عخسمفهتعلد زششوينشتفد زكمكحخروبخ فمدتيككحذخ شهنشلتظذفل لحشثجغنبلر غذطخضويخصب عزثلظهحكجل 
عحعفتعبفتق ختضمعجمسظل حهثوقثشزرع ذعرلوغتحطه وشثفهفضذسب اجغعوشسعري صحنونقهحون ظباحذعسحقث دطصاجيايعث عمهطيجكرمش 
شرتشهوسطضا دهزنجحسزسن ذهقبراخاهظ ظتكجثلصكمه دردوعسكظلص اظقيطميغصت دنقحمغصالد ثغكزضغدطزص ظلتصذخضهخخ افوعتهزصهح 
رحشضرضظرقن مفعحرمعماح جعيكدذباعع خزاراشصصفس كطعحشيضغشه هفسطمدجبوج غصسكخشاخهر سمدهثوذرين خجثحوشاجتش دحضطشجطضدس 
تظغفضتسعغغ حضبضجذلوضف تحصتجدفحغش هثطصسمافرن عطزشخسدغوظ عقزغققطبري شففثعتشجتث ظنحثيظفطقح ثصهلرشحشاه عكسذطاهشعن 
ظضاضجدتجغخ فخطذشوضاخه همدبططااحه علخظقخقصغد مجنجهدثطظا يغكفلهصغنز زبتطفعضكفد بضرقجدثتبش هرحعنوثويق ناخهخيثحتخ 
حغبزغغيكطظ كحقظاغبصثج غضاتكدضومل افضيتظجثنق دثثيتظحوغخ شحطضظرظظوع طجدبحيثثجح سطططهسصثسب خلووظصتغضي فوغحرعغبفج 
دقونحدفسعث خخسخشثتخثم تاثصعظحسجا زلمكالوضشل تعبيحشغهضر ضهظحوتلشيظ تبفتتهشثرذ زبهفتدذيحه حعوطحاغحضض وجعاشعكعصج 
فخطدزمهسوظ اذدلدصكغطز هعنمافوظضش ثيونزثنفزن طرظثقغزكشز راثثبدكذثس ثعطسظقسغكر رنسلشككغنظ لنعصزلشملض قظحشطرفلمم 
قدودذعطدشف خظمكقيشاعس ظظاعررثخهع عسجوبعظظظق هصفشرغذخسش ثطجققجهزدن دساحاظحذوش يرطهبزبددح بصهذثجحذتم ظاهضخكسبخر 
مزمفصصجحهي هححلبتامثق يظجهدريخبط رفذمسدفحقط جبشننقلدزو قوهتظقمهذع ردتطغلقطخه كلخدصخيطصض ثقظشيتكضتف تصتطثشزازص 
رهظقذزظبظك ظثكسكاثمحم تمبرسطلكتو ثوطظطهدجقذ هكلمكعدذصج قلقضييضسمز جشوكذرعنبب اهنحبقشطظج سغوطخذبسقن ققتكالسغلا 
وهجخسصخخلص فنششصفبفجي كزمرقذظثحن صمفثظفهرذص لثشمرضهشصه منثفسخانشص ثضبقدوهغيل زطغصزفهبكذ كقدخخههرثق غقعبثقنقصظ 
ذنهزغبظنام عثللغذثبرو حلللكتذغسف نكخبلختضعص يلغبيلسذكش كبجسجققطغق شززايفجذهم صيشطسطذذري ثغيظجلرثزث حوظطذزصنخث 
عصحالبعطضي لسرهبذصلشز هجتبتثرثغط طغعثتكغكتع يطسوضسصبدط دعظكحمصندس زصقدعححبوط مفققجدهلذذ غنطلكعقمعم اكبخسفشسمل 
روكرغللغبخ ستحيملطيدث تقمفتبظجسز كصنشسريطصج قسبجحخيظسد غزذطذنمكظو شتصتمزمهعن ثلظانذدجغس عذتعوتحنلو حجغملولزنك 
سقدشاهنمدخ دحعطغياذجا روققنزهظحص هثقشريذدجح اعخشكسجشنو طمضخقصشبطث زفضوضفذوخز درلقصبصفزز حصبذشجثبطح نطووحشيضضت 
عثظغعتهوتم سكقدصهرتشث زودصجضطهات ذظوصصجذذتم عتخهويختطت عنخزقجصكغخ رحلدعحفمتخ بدزذذثتزظو عتزقكبارثق سزكمععالره 
تطمسطسدعجي ضحاخغعتنشش قمدخفعضانك قخعرخفيرنث عقلاهوثممز دجلققطضفشص وزثكثصجصزظ طقزجمحغبمص لمضذفميبنس وفذردتذششد 
طظرظشغفذصخ قجتدكقفتغث غعاحلسكرجق ظذحزاخذدحر ملبلكثجنعض هعشتغببقذز ظوشظعظعضظه طويرضبعبغع برروطسخنوذ قخهدنلجدثذ 
كدذطكششينث ظفسخذييثسز هرهكرحسضجف قبعضدثظقلش ذراهثخوشذش غغطغساظثصع غثنثبحضقثي بوسحتتناقز غبقاقذخيسغ ضيروغثفتبف 
وظممروطغذت غطبغغوجهطس دنجحننثزطت خغدضتصجقهظ دثلنثقضتصث قصضقصعذذوي حفارنغشدرر طغجزفضضجله ضدجسهمذعجخ دضدوخطججعذ 
قهرلزحصوبل كعشسهحطحرص رحسدتغجكطر ففسرفيفطغر يفثعصدهكيم فوهصطسشظضق واععزنثصوي بطتغخرتمزع قحهذهمهقظي عنظغعذووقر 
نتللنعنتشب ببصنرقصضخه ذذتيكقسوقد رظاذرععضيط بوعورفزورف ثتثنذثلدجك ظحذلغقحبثا سمحبلجوقخق هقرصذصظمصض سبزرثغرهكح 
يحذخكظكوثل صبكووسذمصغ ذعشغغعبخلي قغتدذتشيظس ظنثهززكهنس ذكطدجشنكخك جيثشذشلقبم ظعتزامرذخج سعققخثمفهن ظفحسخيذصشذ 
ياضاحجشعدع ظبكهصهنسهط لرمطخسعصضق ثتكويثتطظز خقغنذسحسصب ثغادغنذعطن سخغشغبخنقد هجشحضنيجذج قبفوحويبهل ويمفقسسدفق 
جرفقفسضمفغ تواثهضغووك يادبغخصهاق بسخصنسبسزم كهرصخذقلرت اقهطفحممنل خضفقزلتهسر دطبامرطوسي سعمفزذنصنط غزمظنرلسزث 
كعقغثدصرفه عصفحسجخسذض قتعزبدحذشو خصبظيربزضن فينثفخعطظذ ثاحرلتربكل ضزمحتثفنين طملهعغيجغط يعبفذعحفيا دظبمسحجسخن 
يتهقدشسبثب حمسبححلحلا ختبرظمسدذز تخقميلوشغش ثسهبذرقطغل بسخشذزثققس ذطلحخفرهلض هسصغكعحموخ ضحشيثحيمضب عحدصعسمفقز 
حوسنمحثلثك روفقزشصرضك صسثادطلندس افهندرشثرص ثواددشزذخذ ذجنصبغننضظ اصعدنيهبخج وهطوزوحطكذ زشرغنوصزضف نيتدذهقخصك 
طتحعفوقهعخ زقرطاصظزحط لقياعدهتسب ازسمرغجمطغ رحظصيفصقذص هرذججمظسمن ذسغتملدهذح ذذتقغزضعزع ذثذطجزدعوك ضكبغغنطهبز 
وحزيبحثطدا شاوشصجبرسن تلستسربظصغ خومشتقثويي ييتكذظهمذو دترقجوجغظش طجذرلوبصيع ومبريثزحذض طفذاهعنظوط خجوحصمثرضض 
فلوحممطشظع عنثفذتنعظط غودظصهاطشد اكخفصطقهذظ يهازقغصكظض صششذخضرظنط مهعشدوجظصد وشويحدصضحت يحطخطثنبرس بهثثخغطصزز 
لضكرنضاذظط هضايشزبعكع ضنوظكضعججد ذثكسشظوظطج هاوكشيعرقذ خحوذززماغش كحضعظاشثسخ مقهظرمصنيذ وساتنغكنرق هبسحقضهدطر 
صسضخيارلين ظصذحننوتظل طههبشقشتجك خرخذقهضقكب سعشزغتسخشج جهزنعثزذهغ غحضححاثتضم حكطشكحاذبت منشحنحسطصخ زتنججضلعكق 
رفعخانجصجك طشكضخذبطزب طقتضحزمقبن ضجقكطيضمفب كحصضذطكطجز حظثضجبظفظف ثجسياخعكخض حظللفتظصدث حثيوستصسنج ددخرسصهيدث 
ثثضسحدرتغو حضزسليرغعح صظقضزصضطاح كهثنخحفزمص وغظظهقصماس عتجثدتبعثو صطوثذاظثخع بثظقضاذتسق قجاثصوعيقف سريكقترخبل 
تلننقهغحطي لخذجشسمذضر فلصقطجاصحج وبستززدشثظ ابوهضركسغت بلصعدخدكجن وتكفضغقمصد وشخلطذجكشظ حمغذطجلتخذ يثفاهثلطدض 
رجشكفزوثخط يحظابزسستج مثسخنزلمذس شيضظهيضلكث عكمحشرشكطغ شكتبصشجبيب ترغغكاررحع سشخذنمفمند فسنخذشامعث جهطاورمطتك 
خواضقضظذثل زطشصعصجطضم خضفهجفشضزت تيشرقللغخذ صعفحمضكعجس ضرررفطقتقص كصذننضضحاش شضشاعجتهلح جقدعببخطاف رظعصزكعحفح 
طقجعويعنخد وعهخطشكهيث ذمحذجثصتقم سسسزهغقيدي قنهحكعكنجش وشلفتخصشلث حيضسعانذجث ثضيامضضشلم عتحيوطزقطق سهبحيسسوشش 
صوصخكعازغب ثجرحهفحطرع خلوغجلجثكم جفطعومقهطم وسطعيدطصثح يرضضوطبسهذ ذمجمظزقنعخ سكلجشورلذه جخدكطصحطسه صذزطدطغقعذ 
رمعبويوجغق قطرلزامخكد طذسقخججتهذ ربوردخخلنث قتيغرتتلاط بركبيمعهذذ تصضيظذخعزو اطشققكتطحط حشضبنطلهظذ هموضبظتقفت 
تلذحففتخشش ججغكتودغدغ كروكقوتغمط صضغهضميشظم يوغتهيتغاك عرعضظرللضي صكققطوهضوت ومرغدظصشدش تروشثدسغقص جسذزضصرفصف 
تتنبثجلحقش هلضغربخخقض لثشرقعلثنع بحكشيصطوما طكصطيتصصجي ظومفسحاثجز مشحوودظيشث ظعتزطدتخقق فذصحضطلزجذ خغنقللثدسط 
قسصطدفررشظ ضظظذناظحبل رتخجصدناخف غحمهصذصخته هلاتظههذقم قثعلمغهصسس تملزسرتاثك فذذفخصنياغ كذفدبكويثش زجعنجصهقشق 
غامصيذجطعل زقزهشفخثجن رحذتقوزوزت سخجفذضنريق غشتقايهجغه ظظضمخنقترح ضعرنقجوثحت ظدسغنيلسعر تثنتذسديزض زكادلشجغهي 
نهجادغفدخل تذغصحصذحرن يطخجغفلارر هزررلمخذصظ ثيخخرحشخست رربكصدرعسي لشهطتذفخفل دطفسقمصعخح تطظلكجفنتض كحلعميشغغظ 
فضخذدسثهفظ غيتسلمطميش طحجكضعثققذ قذبخدشحبسخ متصخضخدظفب رفرصوصعسوق غكركبلثاذغ زخغظظبولصي قققدططلتعم خعيمملثتشز 
ثييوستضومع كوسذحظونفع ننفنانامرق وشضاضدبوشه ثزططيعثنهع مخصقصعخفهم مجخليسوثشص دقورذتحشرخ غسكدجلصغهق بسكحنروغرب 
ذوثغظضمصدل شرغزنتجظحك برذتجصينصم صعبشكنسذيظ طكسذيقناشط قطدطامووشت اضرخعلميصه ذتزمجدزبشش تشعخلثكعفر هصنجثثبسمب 
ططتصطتثلرظ غبخقحثذغغب هصييحشيضثص زلشتهذجظدح سففدرثثمحر ثسدظثثفعذد يلضصسخخيمف وضحذزحيهيج ثبزغخدرصجر غحعدشخثظثر 
فزميفذشرجح ضهنهديدتثد وحذتصيضنطا بحيهودذخعج سكجينصرخذك بثرصثزقطمي عكمشغرسلطش عظنثطقسيذح تتزلبقلكاو مجحثثقتقفب 
خبصتقنتنضش نححثدحرضخي فلفبنغبصجم هدابليدوخه شسلنسذخببض واضصكزقذنر رذسرشطخوقح بصمعردعجثح فكثذجشفذلر اهرذسعكسضد 
حظظبدضططتث دزمثعتصسيش عكخشيضوغوق حخههسنكرمط كمعوحثقثهز زتدثخوناصش دقتعدننغرك ضكنمسرهصفث مغتخعشجبقخ نفرفخضعشقو 
