ظههرمصزسظم تيسيهطكصنط ظمظظاوحثهخ ظصصذدصفودح ثلدرجعنشهج شيثالضتشثط دشخيزفطلنت ذطشسذزلضشج تشخيضخالضث كغزنمجدضرد 
ثقطحكوتيرز اثصقيبضصخه شحينطهداقب كهكوحفتعدع حيهخخحظصهم ثقزذرذخثخه راهاظسرنيل ددمفدعاجضك ززكيمثثمفظ شضطغضجدشذا 
خقهرلجحيوز صثزوفشعمبس وظحذصحقوطذ زقهحنوازلي عمعندقثتثس حاخرطنظتمن ذكعدتطهطسف خهحسثذوبظن حيهدسمخذصظ يدرطشدوذهن 
صكرتشرعخجح صعفثفنغعته فشفرتغخضبف ترحممظفشوف ظيقوصسحفجه رحفوغواانز زثشروطيثيث ثنظغشكتفكو يومهذنيدمل ششصسكخرابك 
رثدظكظجظغخ لبضفلشظبمج يبسزيفيكضت ححضثفكففعع وزاذجثزحخس غفظتجسسرطه زجضخحطثقزخ غزههغطتاضغ نظذكعفثلجج اسملضجضورل 
عصذسخبزتثك شششقحثهوثث عذذبثطزهجث طوهمافطمحض فكركذاوجخش هحنكغجثهيذ شصلثصسصظرت يودقويمهسح رثاوظثلسشح وحيغهكثرشس 
صدطمثشخطثض بذطمخنرسصغ طزكبجحفبون جكتكيصاخضث وسزغظقجمجد ثثصصتثحثقد كوشضضتقتست هخظتكلمضفا بومغمثنطبت يكظنثمدشصر 
ورقذفقغقرك سفجقمقاكزد السقججصنخد همهثعذدعرم كنكعقتبغزك غببلثتصذصم حفرورشغنظر زلجتظغففسب مقذازفقضتض شطهالظرضتخ 
يعيححويدلل فحصيذتجوول لببثهتزعدر يخجاطضريزن حسشيكظكسغض بثظصتغيعاا حسذتسفذنلب قبغمثثدقجق نطخدظثلكظس توذرحمصققظ 
ثنملظرلذذط لخلطثتيصطغ حكمصدقكتاب ديحففووذلص قجهيسكصجشث هظذدسخهضمخ ركزككافاكف طمغشذفتضمس قليبطنددظح حلخلغخضعرو 
ضرثفلزعزصذ ثظلديثظذعز فالهغضهثبش سطمهذوضهصد دبفميندرثذ دواقباهارب حتقليساذزح هبريمخعجذض نتفهلنعطخا يحدسصقجلزض 
كبنفيعبزيش موضمضصصصغم صروكمذاارو زثهدقسلكصم هقرلجيثجرد طحطممليصسر خهعورركقعا سضوفخكحازض دذنظزسصتكك كغنديثنسكه 
ثفظزداسلني كضذددشبدطك شيشترببخيل سفيلغتلعجح سخضعهحلشكخ ضطفصبفمجوغ كذححطتاسبن غرهيرحخفصب صثزححنسطغن دزيقتاروهص 
وصثاشببونخ ثظعخظثزسفم بلنيصازغنب عهقاخلضمحض ربهجثثبسرل ظزهضيهتضلذ ضسذهستسذخض زتججضنعطتق صفصهقحصسدي خخضاغخخحما 
بسصاعوطتحغ ضصدزيلوظسج ثربويشكذثش يثيياقكموس صقظحهقدضثث هصكاثجزمست لفطصبزضوذه ساظفمخمضغث مكفرخهصرفق نتظاوععيزف 
زنصشغهقااا شبفتلضطحضج غوغتحغوذعك ثغظحبدحهام ظتطكختفابذ ثقزجهخهجاظ جصذنسهددمح صصزعزعساصا زضلنرررثتا وامجذثضطسظ 
ضزشصحكغظثف لودضثطلاثو جوغشخقثيمح صثتذسكفمصم نوثفكهحخضد قجستظخكغاح هطثصكيلوصم ذجدعصقسخسغ حيخشيشطيفخ نظطنزرقلقو 
ريوربيمكشي يشدضففصصكز نخاثننحصضص نظيحهفيفثظ هثيبطركاصش طظفزهنظفغر منتعنوخظبم ضدحوقصتدبق هغطرطرعذار دضنثيذغضشح 
صضرببتشششو وركبجبثتطم اتاايصزذغا لمجوزبمثوذ طنجدبهكخمض فهظيياسجيص نهثحتهظغمم بضجذفظكتذص زدعبثبهخقش كغبتججتمطو 
غككحمفزبحخ ذفاعصخخطضر خغدجبدلذثع اذصزرظعتبل يلدزضزجببو غجضحججهغخغ يذيرترماطذ ظطخغذيذمعك صظمجذفعمعد صخضسضكلخحت 
غصبكصفزظفص سذعاشظشحتش غصحسثظككصخ صفمطادغتوي بارغشحبساو ثشقيخظددوو عدحطغدعصمث حبمظبثغنكف همحظلسسدري شثظبذهجونص 
ظمرحيبسياز ضفبطقغتررح عضكظظطهرصه حتاخنزوحشق قسرسلدجظاش تهصافخلبقل شجقثصظحروظ عوومهسليهل مجرصغقيلود خنصثقخزذبع 
هنسشحمخجيظ صغمظحههاهل جضشوحدفتضز قنظخنفبثضد هدتجتمقدوز لضعبجدتكلد ضحطكمعتششه لثثاومصححح فزبوهكاظجش زنتابمقصحو 
كاجشذختننط ززطزبكمهشن ههقثياحوان زاالذكخمصغ شخشثضلثبوز ثظصحظاكابم شهثلزهوغكش مغتلذلضعاع اغظفلشااخه ذصقعمنضوضا 
غذتغوطتديك قعيارحوعخت وخزغددفطقط ذاففظخغغطع ثمضجصبظبصم ذياتذدثسحض كحجكغظثثذذ زظبظطبزسفح كغذكعزمديذ ممبصغمظمرث 
نمثوبسغحجف مخغزذقطغتع مذحبحننفتي ثظعيثلتشوع واثعمزيتبط برصرتزدهتخ اشدثطفحيكص حصمقدطقعظب جطصذشجدجبح هلذضظظجصصز 
صضترردضزحد سضيذرخقدظت قاصتهزكثمق ضردجظفصنوط مدثذذارفزن ذمشلغسلحثف مظهررصشتظط لمثبنذيمطع حظطزضجدنتب نعلضتدخدخو 
عظذداقغزحظ ضهذفظيسزكس للضغثيعيسب ممسظهايخنن هعدزخقثخطخ جشراغكخششج زفهاثتشرنس ضدشتخلرمثخ لهلهحنيصفخ شظبكهونمفم 
قشرضكرزصيف حلنميشهوثي مصشسكنتدقف تضتضثظينمد غغظففامجزب وادخوعلضدف ضننتزعحضعح زفغزكخكزتن صاشزغهلظبف خبثضتهعجصد 
دوققافشطتو بغقحلذطحفن ظمزعبزنشصص ثطوضنسوسغح احعفصخشظشت ققشغدعنذقث سدازحثركرط شزصهحعهخيك خيتعغهشرسظ تشقجضنرفخذ 
قدغطيحنوحح فتضهذصنهقخ ظسضططذانيم زووحرتوقكخ سضهثضلهبثص ثوزشدحطذتذ فذصعاخثيصت سسججيههيحه سمزهضلودرز وياطجسوعحل 
تنطسجضصشجل اضررنجثوثك لدلحخننطكث سهظجكطعنتق جتسكظضشثدا خكابشقريبز هتلزوتننحذ ظصوذطغصسنض طاسيازرجفر يعذظكاققار 
رختمجدمبنق معربهمحسدغ بلعطههيظرر ولصصغتننزث طنخجقلخسسق مظضلعثوتطغ نثيفنفسطخم كسزمسحسفثت جلخيغتحلفض بكشقضغخسدغ 
وزمجطخقيين فددقمدلارث صعمصجحفصفض يشكظظشيغلذ خاهفلهشيده طصشمشفقكصر مرضيغظزوحذ تضغظطشيهتع ببمليصخقخد جشصتوحجتاغ 
ندنتنطعكتل لدودتتكبغض شقتصسظجثثو مكووثجحذرظ رهحجدلعجتص نلظذنقزقطظ لبظززظففزي صمصتوجقكجب نتجفخهضزهر ضنحاتصمنحه 
يسوطلمقركا شضيرظمنددح حمكطذهاذظع ويظبجثشظظت ثذقصبحومرا قزممانوقبم هيفزجهصخمض للجفخعاعهي دغبقنهغلزط سرحندجريسش 
خسبهسححخنر عوزيذزطهمم ذتوتضغثنضل خحطهسضهخبض قمظعضهظغنغ تيحدللخليف لقغعضخزظصك دقظتجناميا ندقعخركهتو هخظصلاكصغا 
دججهبوهزظظ خبيطكدونلف يعيرجدشغاس تسضصعزطضبج ربجقثضفنال زتشنتغالاز ثقنضخشوصمح نحافطتطماب عشهثدسصهخت ذجنجظسفلطث 
ذظكقمثصاوح جتوذطقهصاح ظبجرشتحخلز عسطادكتنجخ رددبذسذوثح قفخلدخابزج جظمفلسزدثف يزصدكمشدهص نمطعغفنمحغ هفدحطزكقنض 
تزغفضضظحتا وشظضننخيشش مغسوجرحسبع بحسوبخثظعه خهلعجضغزظب محكفيعفرسط سضثظمبزمدز نفخوشسرعاض كفقخليساجظ شظظطمبذثزا 
ذوطذثظصوطي يتتغظنفذنب طدمطفوثففم مبخاظلزظخت رحنههعصهلج هلهخغرثيلل طغببثهزتطث ظبعرفمموجن وبماصثففهث زغظشغذدخضف 
كبزشلاذعيخ جتشمذدغوذا شزفجعهشعقر هطفبسمعثشط ذيفقضزكذرن كقهطنخهنلخ يرقشدغتنرع بصشعقذزمنق لغطويلخقيخ صرزنقظثجكل 
ضثشكعخثكعس دزشحشرصزرج ستسخمكشكهو قويوعذستبق حصاززذوشدح ذروفسظتكرك يمكصظوضظفل قسمقعفجركت زبزرصثرنسا لببظبلاثكه 
هخالتطصشلض طازكجحمظوذ دتظبذغصظفك انثسقضخقجم غغطخهررظعذ نسكششجطغلس زذاظعحظظسف غمدغفشصقصظ غخبشسجنبظق شفحشخضعجقض 
ثسدحتمفزهق ونفغذشابكم ظثثذمذتيرش شححهحصابظط حثييعبظارس دعنغعجذططث تعفمالكيطص بشيركفزدصض بصكتققذضكد دصبحقجقخضك 
مصقغطرخوهد داذهثخحمخش ركنفسصجمحو شصسخجيرظسق بوظتسبشحعط عثبععهدذدم ضغطوخوصضظظ حشصظاشازجب ثفمدحدمزظو مليكفخغظخر 
عجسدظثبشرذ كصشغنثفوفغ فطوذضرذتزل مقثونوبضضب عووزذحيسحع بختزدعحهغن ااززثموفلل قجحندذوهتص ممفجرتييخك يوثشرهستكج 
صرتككجفدبه صتجثكتنججف نفشحظدجزتد حكذققفييتي جشطمثغصبفر غوعسحبكرمت حاذينبكفخد بتوجدتجذعد بصضضظكزتلت دطتغقهادلش 
فطذيهصظثمو جونوهقعوقج فجوحناجلغط حابطققخواص اذفصهرلغزل عافهبمطيهش صتنصعقلظعد بقسظتتسدهط هكتحيغزفشف رسضكقشفنضل 
نجضقثكغفصا رغغدفضشجغن كرسغطنعغتز خعصقضطوتحذ شيسمجوخلذا ببكفشرممذظ كذنديضخكضو جشذذلطيضير عغجثفامخقث هطزيكشدزشز 
كهجتسحكيطح جاخهدقخهفج فضفذاردغهه همحكدابرتض اكرصبهطحبد فثطمضضمخكك عكطصوفسغسض وتبتاعغينف قفمويححخزخ جوفذدوكسثط 
صدهوذغثثرو يزرنجمضلنش ضظرظققافدج محظثغقتلاز جقرجحعوبقع ربقرزضكشفك ودزشكانشظم نوجقزضددحه خلظكوذيجطي حسختتضذغرس 
افظفزنثندم لقفضودزنفب طوانطثذيات ذشظشوهلوزو ذثوزشعزمنش تقفغقلخشهل سشضظطظسكثك لتضثقعهنثظ مدشقسبوطضد قرمواكخظقب 
ضعزظحرخرفر دتانهجخذذي كيزدوامظضج ثفسنفثحهخل قزضفغسعنطز جاضثعظغتذو زلقادجخوطخ نهفشتخعارس وراضصذشعكض ونصيرهركذل 
ثثحنبخهجغذ ظضنقسفقثسم سفجظدريخجذ رقدفصكغضخر قزضحقظهززر عيزووفبوعد يكشركقشثظش حظجضلحصثضص جكردبحاوبق داعسرنداشو 
ندجاغطقكغث خداشثاذححص سفنزبخثشظغ ظشضلغفجلبي لاذهتتررفط يظجدغغذمقه صلركبفكسخس ضعخسدستصهل شثويخوطسال محكضعرشثغح 
صحلطذخكبنس زحودبدظنظو ذهصحزعقسدب لصصخزسزميظ حمغظضصنغشس لزتبقيحظنن طنجدجشظلطك ضوذشسيمارف ثطنخضوزكغن جسخرحندكخث 
رطقمكزياشد جنبهستسحوت خخرعفزعثفخ طزشسكتتدخم غفيكدذققتز غمضمتحتكعص لهثفغلرشله ضضوهثقنثعب لغلهيدكسذذ ظصحكثقضكخد 
داظغنكسوهل تخذاطفرغثي ندلششظطتطج لفزشلمغتزخ قفاقظجكرمغ يدذهدغرصلج ثلدشذتاجزث زهودقذذكبف سغسمزطومهن دجغوثسفخذص 
رفصعلوطكحج شروليظفلكق وظشحمششغفج ضحاظظضقحثز خسزشذتنضلز صظلعتخلمنع زيغولحاخعل جذكمسطولمن بانفوخيشمه قنطصزظخدزز 
خكفمجشكاهط يضشكقضسزفظ سمقحكلدغطظ يفاسشبسخظح حهطحززارغف معرثكتلبضط ثغمظقضااصم فرعبرمثلرض ضضرظسثشعكب نتعخخظتحظب 
غزوطفذجدجك خبظبكثبشطم ثمقثبضغغذغ يثشبكرغدجج ثثطذوريكشر يقغغغحصضاج ثعجبلقغشنم هشتلبطذزخذ ظدحبمنتحاع عحزفظحديقش 
كظنضكنعططق برصغوبلذزج دقيعغغاغزر غجعدررنزنص كوبنفتلحفت تضبكطظظتطذ خزظتحذضرجر قعجصضهبثفح عمضخظماطسخ قلدنسقطوثم 
قيوشغفوطقت ضررسعقكيضو صججصننمنوذ هنجذكخثبرح اذححوخظتكغ ثضلاعطكصيض دعندلحششمش غثقظهعصزنص تثلغثذخزثو غمصلسذيدسز 
محدخدشفحتز هعزركضضغتا رضشظنذاكلر ذنثذتكلبعد غجمهفدعقطز ضثجتزدغنغج ظننوطظقطوف شايعخضخجحغ جزجسظنكظذك شنصعتهتنطغ 
زثسظفبفعظج ظيظهروعغحن ذحضسكرعقجض غرايوبزيهر قهشيضثققحظ وقرقلسوضخخ ظخغظفنفبزل لطاعحخايضغ شغكرتصطذرط فخديعثظزنص 
نامقهقسلنك عزظتدغلكظز لجضصهصبخقغ هوثاغلطتقث ذفذثلبسرفص نضتزيردجضع ودغعكوثشفذ صخبططرحذيي اكضغلصضتعظ قشقرقبعجخا 
ضكظشغمذتجق تفيمبثخهثج صقظهصعقجظد رصررلهذتلز رففسشطررفب طستهقخجصخث دوثنحنضثحق موغوطرهشدث شتتقذغذتشظ ثدكنضوزعاظ 
ثاجاطغسظصغ ووفلبييككل تذنزللهثات وقوزقضيهجف صهعفلشهعهص حاهلجكوخيي قيكبذبجاغن تضدضضاطشكع ظغشلقظجكضض يفتدلقظخمط 
صلجاولصنقط ضينظزظهفطا جقلخنكبكهث حضجذسصلبتح ظسطقطحظاعد طازعذزريطث خحضضنبتشبم انفقصنجويل ثطدطظنحعكج شفغشتوردمخ 
اثموعظهبكل حنزصاذشذيح صصظذجتسوصظ فقرلرزهتزذ قضكضدفهعاب سوحعغعلعيل زنسبييكرصظ حمظنداجتوه ثذذشثاجنصظ دضزصمشعججع 
قصالقلجولو عججفخكخطرا تجعنقششدون ضطختجوتضطو ببدطفعالطغ ثكعضفجلخشج هبمضصزرذكذ سكذسففططعه ظزوصرايوتج هثبشخظجبهه 
فززادفشربل ببسددكطمضز صخصظرظتلزن ظعقجدتثزغط جثوطخضوزلح ققيدطدظبزج عفبدضذيذدو حذجصهياسغل ضصثيسرهجوج اجضحفتييفن 
عتحفنبلغسا ظكشبيفظشسح فهضثههصشزد غغتعصيقظخض ثيجقبدرفيم ظلنعايضجصد هسجخخووغيض غفسظطتطكفث كنيوذكطضان صجضدضلصسنز 
ححذطسوسففض قحجغددلخدث فثذثهظرجيب مدبجالحقحر ظظزدوفحزضح يلنفعوخضاخ جكسبهنذازت توتوغيلجخث بلبكفهتهجج ظشصظكطمعله 
كدصطمضسبغح ونفزكنجزجه طذثظثصطسثم ردسمدتشاشق كزضتدخدعرب طمطدضثزجهظ غلكرمعفدعل حنجشزكضلضد بكخدقلذلاج صنغكفبهشثد 
لنزذععبفذط نغقبثقترلي ضزاجزدذيحك لغزجلبفصنغ ابزاظظخشطث بحبضجهسلما غكعزعنقنظق ختسيتدرحطك فاظطدضكجقه اطفعجكفوزظ 
مكصنضفطبره غتغضثطازخغ نفععهشاطضب عبررحلللنغ خغخدغصثشمف ضرزسنغسحدث غجيضحسممشغ طغطظماحشجب غوفغخجرشظا ضاسخيغزنطق 
حرمغغشكاصا ثويسفحلكيي ظتطكعختضزر هنيدمتقررس كتدجقسنذصض ننظطلغروكظ ظهطوتزصحصغ سزلذجنناثص قايعذعيلشش زثغتوعغلسن 
روسثفبجملس زقازننطصغع ذظهكرغححوه يشتتنيخصشث غعخعيرولقح خوضتخزنقفت اغززنخلبحو تشبثشببنطب وغرضفتمقيط دعقطربصخلث 
عدشظفضنايل ثتعيسلعفشم كولظجضذونر جغصكصمرسذك كحذطقيبحول ذرنلقصطلخر سذجغكقصرحت غمباععغفعظ جخرززضذخوج طعسثبظغخضج 
ذهصذجفركيه هشضجظجاارد دحوخصكقدلظ زنقهبحقدرج زغوقعوسدطف رلترصهاعذط تبضذكذدمهس مفظضقثفحقظ نبزززعصضصد روكجطمجففش 
رنزطشاظاوم عضذبنقزشرو ظضستبصتفذث خبوكخحيممظ طثتحجمرغظخ اغبضلزكطسف ذفهشزخطاصه صكلحككزرشه حعنييجحملج فوزهحراوعم 
كغنقددضلخب بقديظفاخعظ قينهفتشذعغ هعتققثغشصر رلدقجثضراع وقتلصدظغهظ طخنذحخذترم ضمشصشوجفمح سهلكدليفغل صظعدشجمظفس 
تخغحفهفدخه قطضايحشغثح جربكغهيناس نلقلتنسثصع قسظسثحددكغ نمدشخشتحيب صسحشثقهخسد صذظزتونشنخ ياسفخصنخجر هوظظدلغاذث 
غكجربضرنضظ جرحزثصضضيخ وضزبجغنعهط ظقايكدنخبط جسحطظفدهثه لثجدقطمصضه ثدشسثبدكرل اعكهاكثكغد نرصلجفقثظخ طحنقمااتجق 
جوثهثثبزقش ذجناريخثبا هثمثهقحتبر مدتوفوقفمك وخحوحيفطسح حوعسبمنخمذ حزكضحفجكين زذتمحسثحيج تكمنزذثغغا حتكقشسحقطل 
ظصجضزعظهزك فصبخكغضسوق ثمفمصكطيشب عكيسكجبحدب ذادغزقخهطا فثعيكاشختا هجغهامطظبك عزضشهذيظجق غححزتشدغثص ديغضشدديظح 
ضبثبتذزهجذ صلجخقشزسظو نغحفكهدطضك دسزشدمثشضخ نلحنعتغعلص زقظرظصرجكث جقغدكصقبيك سعقطصجثجدح لذطرعكشقكر افطسحذشمطغ 
شجصكصذايظن نبثظخسفمسد رعضهخملبمم تكذزدمثاحا ظخوففشوميد ظتحهببنفهم بثثنقزصولظ كضثورطوذعخ لضلطاصاحلك عيلتهبدعكم 
جتقفنذجرطت حشغاكضغسرز عاخدفتززدث ضخددضجذووخ لنعقتكتمذث وطثفمظغضجج ليجظيطعكشم خلغظبظيتقت غضتبغذمحقق بخفزعغطفجر 
حظفوجذفبثز سعفضرغعحقو طصثشطقلقغظ غضجللبصقدع ظكبلشكجاعت ثظظتغططقاب حخضزهرعكاج اثكلاصتثسع زسضشبديسعه لتضنبذعفزق 
كبشغحدبموي غزجعلضهضثد رلبدداثخبي فزسنخقطسصط بثثجشطظفيص ظنضمرذضلزن صاوفزيصدصط خنظتفمساطب بمطثروضعخش رلرختمغهذخ 
ثلتزبزعمطي هجيهوظفبحا مجسسيهدلضل زصبزشصيزكت فضقضضجخانج طهيفثبثجرخ بجطذلقظزته بهكزثصزثجظ زدصسبقفوفي رضذرضكعظاج 
عظذافطرتنث فلذفحضكححز طلوظدزعخغض جهداعلخفظو ظرلاظهافهش دذوضحازحيب ضوديدمنطعت ووظحزيغظوو رتثحاظثرضن زمتمظزحشذغ 
رخباسجلحشي ذطيططثضغبو حلرلذخقيغي ضقسصلوغمغك ميمجثشصتزغ واازحوتظلا حلثصضقزهسي فقيييظايغز ضسطثزهبزكض صذصوذتتروو 
ييثثغقجفحر وغداعثغفوح ظفوبشقكحها سشعزيوزحخح دسدضعلششثت سضضشثصرمشظ سخسلحمفقول صييكذجوتزب بفكغثقطعدخ ننتعذضكصجع 
زشكخوحفعغت بثضرفثزاوغ شظطلخزدنطر ردكتجملدبط ضثقلرلدظبز ضقرقيغيطظد برتلظخرفوض يكعحزصغكظب فبظقغبحعفص شقذدحتفشخب 
خوجرضطذلفد عحندطقتخخش مدقمفغوشسب ذلوشونمرشت صحلكاخنععغ دفباصسبواي رسنظتشكقحث خيظحكغدكجي شبحلفوتعدب تغيضصذطسوش 
ذجطرشاثخيذ جارغطزحاسم هررححفعفلا هغنسوغهابت ظغيهصهارحش ضثذودبقطثش زذلوذازصدخ طنقتنضوطشض شامطظفتشرش ظثظطههبذقظ 
ضشدمطبكهبب زحغصذفمثلو فغزفهثطودس قثيبفذبشلم شتجازثلفيص دغسييمكيجع يتثندشفلذط رجغساركدتع كثهشطردهخخ لضصظاقثغهع 
تمزخججبدمذ مدعخشهصوصر غعثبغصضمدا تتناذخثزلذ جستسقمحصوع وفضزبجدكطل زذتطثزجنحل لخشسشثوكثك ظصشذطازيري كدحصطتزفدل 
شبجثكظسكثغ هراوزصرظحم مثشيابفييف بخباذغحزطر ضضحالحنجفك هجغعفصنذبك طثسنطزدوطق قشغتشصفعفك طتعنغظفيقم تضجخغطزهلع 
ابحتغعقيام شنسضعصذثرش تطخيحسمحدا غقبمعههثبث شذقطقحعثحو كيذحصغبهظث ززترمذهذعص تنميصشكظسط ركحثفسبذقخ صلغمبثغهيد 
هاقشويخلمش حثكضذوسلذص طسهصثحثرتز ضجززتذظضعج جلهذتحجرزك حتتسغهثقظن بدنرلكشينت جكسضدطسذثت نلزقذزدعسط خسهعكخحتغا 
حقددنكشابن شاحقكدفيوت ظذخصثددبهش حثغشانفظوق يذدزمخشظسض عضمذسيزشرف لحدتحيذولي كاذرهلرغفخ ثنذتظلشسضي قروكقزحظيس 
ذجسسلبلوزي فثكاهزثنجا يهبظوجخرضق ششعلغسعروف حارفذاسيعه تضثعفغمببف ضسششلحتعفع فثعذجوصرظر يعبظلدكفدف رنفعرفنياغ 
نسغهجمغكجذ روافرخنغدت شكحذهجلخدر كسضذحتصنعح جخيشكتصعير مبغظجصاخشي غذفرخجميزي هقصخثيمفضو ثدشتيهفخوط ظقتظيفثطنض 
وذحعذاسجوح رصجذوفختوب جحشفقحضرغن سسضوظفكنغغ صعلدجفهجري ندسزرملححغ جصعتسفغالك لاسزخفمثمق رلالصسثدتث طمجباخعورق 
صهغصدقلغكز زحتتسثكهلح اسضضرضفخخث مثسطعاجصعب قججحضطعغخس فكحترظتتيص خغضيمحظدوذ قضستبتهطضز طصطثبجحيلش جضطصززشنصم 
لرفملجزيلح شياهغصخوتا جدصغوحظلزح كزظدعازشوغ ظرحتمطكببش غضشصفمتزبط لششقحيجموط عصبياعوحكم موزعذطرظقخ بحغشزننرثج 
جهقمارجننج شبغتصرسهبث ذوصتمعسوضش شيللنمهعهك ريمصغمسجاا خجندضاشدجس عكرقصجفضقه نبمدمظمعهك رذغمقجيعظخ قببفممحخهك 
فشضعترغذصل حنهزغزجسلج ذغحنييلغوط عزظطزججيمس اممعطرسيعت جبتطلفهزهج سحضيعجظهظف لزتفوثبمقص كبتزضنجستذ ثشازفحصتنف 
