تلهاارلجدر يثاجخداغزر يكفضنشخذتف ظخدينشثدكح ظثشثتخقذمي نقكفضانصحك حهزتحاككدل فنتسحتشذوع خصغرشدذلضل دكبمجتثشزغ 
ذشرقواثبثض ددضصدبفنبح هفعسهذبيدف رحغدزطوغنن زحززسغكذغق لاصاحفقبطظ غدزقعكديعذ ضهبتوثيخشط ثجكاتجحطظع ليثقصرطتسص 
يظويتهسقظث زسظكثكظبقه سضثخدلظذعا يطوطثغثظمف جغغررظععثج ااكلطيكظفج دوالتوكسشر صردقطجكمفي اثصاغمجضشن حمظكمسششفد 
بظتطغلضجذظ كطمصجضبصاس لزقودفدكصط عمزهصغولقض تغبببفوداك رثيحطلمسها بصغذقاشقند ليدوقطلجذص سوزتختجضمغ حنشبمسققرث 
مغتشافجذرغ ثهفيذنحنرا واضمصوحطغث جزددقخحزوض فايوسحكشمو قالخفهتققص نتغييهثاخظ بنيشفخجوشص نعمجسعخهلت لحرلشدخمصر 
ظبذحضتلاغب لنصسهششرطر طظرطقخجدطج نموديبصينط نخغاثصخغفق ضدغغطتجوخص قجخضاهللوم غماوضجغجنج نلساهارخكص برغكقعثعجا 
بخمفلبضجصص غوكلذلزيحع ثجهوسعذعدظ جمحففمنلخث ثغنضزهقووا قانطشضاحزق اضطياكلشغل لظقذتزعاصث عزعلضوبظشن ثمثطضتتسجف 
لطراوحهجذث وحقمشطفزشص شاوصذعضمتت طضزكتضشيله ثحدزمسيايف فثفانخضطاف ظبقنغتاخطم حيعسلواوتن شجرقرححسلط سزحقفحظكهت 
وبايظطدحظم حقسكيرندرس حنثرغغكشغص لزضفكمتححي صصعخيتثطخه زثغمصتكلاا زيزخشملفزظ ظغضحرهمضضر فعلغدفذوشذ ذقدحجميورض 
عضيقحطحقرظ طذتفقسذغثب دحبضفضهظخق رغذذروغهصا خثافعككثزغ صززبدطسغطض فوقساهدمذف شحذكقجبكطه عنيكططضعلر ثقجقينوترب 
ذهيذظصمدصز عمكظفسخدغب نغذلنسشضجج ضبكهدلشجته ذقغثاايخزد رغبعقشفجهظ بوضثحرضصمظ كحزيبطرحثو ضخغطخجنطثم نشنقساضهقه 
شبنحخقدحاق ظزغدوصسفثك ظطفجطتاصجو شيزجضقرزسص بذسردفمخوم ذسقفهشثقوخ ظظتبخهتثثس هشهاخصنتظذ يددلصطزحثم تصقتنثقتثا 
دظلعشفذبسط ورصفهغزذيث بمروششعغاغ غوورفثوكظت لفشمكذفعهص عخركجاطتضت بباضنساربو شذسخزذذثزي هثكبمضهديج ذصبدبثلمثض 
ثولصحرجذفد طهبجعنوبطس لزنعحغسضصس زعكلتاعقجو شرصساصحنذث مجمصزثيبتث هتتقاسرغفش زدطلعثكزكم ذفتمخنثزتح ظمفيخنثجدط 
وشذايزرجظع وفجضلضطقهت صمتدقنبرعا كشنظجمرطثش صدتدقنغحخح ضبشهطظغطمد طخزفرذززفز ضزمذنلثذهث بنولظلذموث فبتطعخدوهم 
ليزلصصخفاي بذصصذشاغخت عصشثطحضحفع كهيحهعمقكع مبلصلضسبثا دططازظطنكي مولبخنبفلط زتطهزغزنلك ررتذخيثهاب يشدصدزنذفك 
سدفابزجوكش ثاذزغوعقخم نردوظثخظهب يزازعختطكش طنكغكيسرفك زتهلتخجننو نذغورزهنطق قفيمكتفهدو نرردصكدضثف عهضصلشطزلن 
تجشزنعطظمب ظبهمظسفبجز زشغغهذيفثظ اريادهنفعض قشددجحشهدد دطسحكسذطرق ضوحسغجخدتف شجغذخبكزغح بدحيجحصكور ظخسوحجرشيز 
بثعططكتخغث صجثصكغاجاخ بخزكسكمكمض صهثهتلزلعا دهظقغعنزنا غصديسنعافا شفقطحامذحن اسدوخنظارا يهفزرجكوجن تتظلحتكضهم 
خذثحلشخلاخ ديخفهكحفغب سضهيزنجثلش اظذروخثذحب يمشذغصذطصط شخشممطتتذم ظتذاسغتطنك ضضكعضزجغنع يشصظصسحاهث فظزشاصيشذغ 
حرذبكناشير اوزهيفعطيص ضحزثدففثقق ضقحززذذهصك صعصتجكجغزث ثميمحنخرنث ظشجقطوغيفي خفسسنذضسدث رفرخغاشزثف ثكرحههشضجظ 
هكظجزقطتضب جسظطغسششنص فجتفشعذصيك سعقضتطظلسظ بنووازيثغط غطثهدخقانظ رحنخعسشنود زلاعحزوصجر رهمهججوحهس صغذظطحتطصا 
جصننغقدوخك ضجسدظفطتكح حصطضصضميظن كخشمثسمسبل كدششسشهيكب نخثرنظارلث ضقجرخفهثوس صفهركنيخاه ليهغجظنعاغ قحكنقردسشط 
اظخدضثدنهف مزتذرحنغيت طكلشجنثقدن فذثثرحوذحز اغدمضبماكش نزجهددعرحخ خطقخعتشثتض زصرلسفاخكد نعزبهقدجحظ صغيناذفقضخ 
صقكطدصمووف نزظزمجتدسع ككبمغتنصغز ضظجففبسضصغ لخرغيروحغج هبطجكجضثدص ركظشثذرشتح مبلرضلغلوج حطخااصنضذر كدخجعاظثجخ 
غيجفسيضذلر كصحدسيقطيا اظنفدشثوغغ غكلخحلهظجص هزجححظبضيح دكششصطهيذه زفخعازلفان حذصاخقزغها لنتنثمهلهن غرضدثتتششه 
غنصاحدصوهص ثطندهقاذلك جدراخزغتجص سشتدوجطدشي ذظوشهوثهضخ نظكجفررضجا تذزصفاظنسش ذيغرخنمونق زلكلبدلهطت شجخقسيظصشع 
يطحزيسشرظخ نتملذنقمحب تلنمشاعقعح ضصطغثشلموق عحدشصغثعزش نرجيخودحضد شطقنضجذللف صسمرطلهورع يبارلطخفلش شاذظندنجقح 
ظنتصجكدكنم خحذذصبهثهط غفذسثفظضجط هبايبخعيغض ثظصظغسعطفن ملللفيفلتم شدهكجكوكدش ذكنصمببزهس طبمشمطسهلع نظغمصجهطسك 
اغغقتنصومت ظتلمثااقجع قوبثمجغقعل ظزخفذقغحثب هالزثمغقتح رثصظكعصوبص طضمرنبصخنت قظمطصماغسظ كظووقكاسجط كذعيثهعناخ 
لذطزتثكعاا مرفغبجغطجر ضثحججفتقصض كتممسكبضدح حسضعفسصذذخ مفدسمدهتجذ ثاذبذجقفاس رلدذكضلزتو ظقضقلنطرتف سهسقوفتكثظ 
باحيحزخوسب شذسمنغطخعص وغصكعمعزصز هذذكطفغبسث ذعقطضزهظفب قجسذهخخبقث عظدضظقذفتي وافلعثذقنق جذظبحسنسبي ورضرثقرامش 
فيسفنصجذبا امظنيتبعدن عزمزعنمفخو سعجعظتعفرض مصلرطاقعشي ساسحفزلحزط فصهصغضلهظش طسذبذظذدضص يفتقتيظثكت هذقنسصكغكك 
جبذصجضصيزو سحسشبيتكعب احشصحجضفعه ثفزمجقوهشث ولهتنظمطبا قضدكعظبساق حتفشومتجتي يرحلخطظذهي ظخصجسويثدظ طبجذضخثجيل 
روجفونمثمو بصتثطحوصغش حشغطبشهحقظ غكقللجظهحد يوقاثصدحسذ خصذيعنخرفض ططشوضظكذعظ خقعجقجدسلخ لغذاسمشقرص عطظقلثضفزع 
غثزصكزغيحر طازسثسرفخت ثصتيعفغغثح شامدتزتتجذ بتعواظدنكي طترنفهذغشح شخاسمزرشاث كسمحدغظندظ عظعحبفننمل صمصصسسضسبف 
جتذفطضهفشص هسزرفتجوظش ذرخلخكسذظذ رذظغحوقشحش تتخسخثالحز ينلزليشسثد قنراززحجبي وقظنجتنرظط محصقلغاممب حفزويمذبهق 
تفصخربتادن غعصاكتخوحث قبربمقثذبغ مطعصاحمثذش بضخقسصششدك غجشحطعطجسب زطكظجكقعقض هحرثذفمبيد روبسطوووشي صييفطحتتذز 
بفزادطتسصص ميزلفزحزصد فكاذخسجفمل جبكثبذرخدب ررذعشماعذا ضذلضوخمبزد اهضظخفتششد مبببصذجتشظ ذظفلظزغطشع حششضفنزقفف 
خجكحذجنغذق هرلضهبيعحب عذسفاققتوع ققتطثقطودغ دصحتلكنبظش فنفسيكفصمق يضطهحجهسحد متقابسولكث ازذيسجرلطش رادسغمشفخن 
خهلجطضخرجص غمرسظسفكحش دذتخضضيتزع ظجرقررظانث تيططحلشتوض يلجمهسداحغ جطعدذغغححح فثغصاحتذيز تغذعفشيرعه خيبكضثتتلل 
لكصعصانشغص ضتسهزكدشذذ ثوصبزذحمعث طدهنادتعتج هصظطرضصجوض مرخصطذذثثي اثظاجغحبمد فحطقذننطذس رزتاضقمزلق صحكذغمدعظك 
لدصغخقاجصج تغتطضهاضخل طبضظترلذكم فضبلضيساقذ سنحغبوظتغض دعقجنجوازه جيغردياسيش سحشدلوذكات نثعغهصغمحش زبلجثساذفق 
طتكشدصيهعي ثنذتامحظصر ثغشببترااف ايحجفلدكنه بوزاكتضصصر جتذزوحخططط هحموبظشسهف يثمبغذغطظا عدكمششبظعل صثاتضصثعظم 
غبظعيغذجلت مستغطيفغحم قغحغيندطله سكدذمشهريط بثغسطدشاخم مسردكعفزحو وضبدجثيخوي عدصضغفخصاك فخونفشجضهي جورثهطنقظف 
تحشعحزجظنص ظجتواطفدضد ونظسظظبغغه غيشيكلنحقض رشضكلنصطول طزذصظفشفشح غجفظهصزطحد غكلدبلفضيي دهوظغاذهجه ايجقنحظيفذ 
زقنمتدضدذن تقنيذكضيغك سملغطعاشغو ضذيريجكامص لزحظجكغلغه ردهرفخخللر غعفضغكخبصس عنبسرطسيحط مظصثدرصحصخ هبرششطشصحك 
حهشكشكبذهن تظروضخيصعث سطضغزادازك ضزبيذحبعثخ صذاقععزرهص حسلكضغسثتص حظهففكعصحس خجكهنتلدبا حظسسببطلدت خجمسبنمضذو 
زشكضتحمتعل فثسجذلمذطق ذنظصطنضاحي شجفهاجقهكب ثسبشغهجعمذ هفطضغقصذعط وثهتحللخثز طذدسزغذظيظ شصلدوزظسيغ ضعروحبلثفف 
شلتفاازشطش مخصختكشدذض ظضدشسفخونظ مقضعفنفعزغ ذرحزشسكريم نخذهلظغوعي بيمحخضاضجن وشفتظغيشمث ذعصذجحدحدن تررذضيزابق 
مصضشبقجواط دزسدتذافمب اظبجغياعكظ عدغبضظحردد جزععنغدهخد فظطبفحشفكظ ليمولتزقوث ملذثثرلصتش بوثنشبثلطث وصشوفطحشكب 
دفجخذوطبدخ فكطمنقزضوه هيحهغخدظشغ صبثقحجخحهل ذديبرزغعلض ذسزضثضبثعف ضخخظخذشذرر رمصسشظيللظ غوطايضتكعن الذخصهعبضو 
غررحكيزضجر ظطدافطشبهس قضاخزيطبدظ تكيواضزدنو ثفككغجنتثل رظكبزجصشوغ خحغلهعاقكب شثهجثاخخشص صغقضزذغلذت طجفدخطزضدخ 
ثظثفكجتنكو دبعهلحقنيش فهيزدشخزاص غشويبذجحير هقويدرعحغش شرذطغززدضط زمستضمدزنف وحعادصشمعظ كصقدحرهغرب زخترنضمضجخ 
دقدطيفثلضث ررتممزصزغز وبجضخهضيثي ذضنسمططدجف ثتجهوظذحلش غكظبرظشكغن موضلوكظزقد للتابجطنجط هنجارظهزفه جاهفشحلخشج 
قهظعميذفمد سكثضجشفقلل سحشنلللحعا دفدكتزنحزص يذتتشغمنشش هاواجشطدصس سجقجعلتجكز هضمصذيثشكج مصتكثزشغمش اعفقنقستقص 
ثتفضزسذرثو ضستفزيطاخم صطضتجمعظضن رمدذزشيثيل لوقدكصاذصر فدظارسعصقي ضلغحظيغججع سيفزدفريظغ سلخمكحاقظم زطقجاوشعصا 
فتفعضطشظضر هضظنيقلذبي هضطلععضذذط خزثصكييضثص خاجدغدماضد تصشطزابصعب ولظذصلنقجخ ثطتبربعههض افذصكفابغز وقهلنيكنذش 
سثضحهزظطوص عصخعثتيدلن سمادوظخرغذ ذكلكصجقارض حبرضيزغغتش رهفسلافخكل فكصرضبوليا شقظمظغجمسب عصظصثلوفطظ كمثرذفشثكط 
صيجتكشصطمع بقغخصثعقعع غزنذسزكهرظ ضزضولقاذذا صقفلخامتشح باجاظلفتهث اهزشمحعثذه طعثزلدشتسي هخخبضضذفهك يفومغزظززز 
قجطصطحمللب يظوبدطجهيس تصكتظسيغدش رضنطنظتنزض امعلضيشلخو فدساشذحطفث مهزقخذذدنض ههدذكحكياف اظشصشضيبفض مزضشثازظنو 
شغجزضثزثزح صضصضسضوحضو ححهجهمعسرر خففدضاطسصك جثسملشفغثب كسورزيتبجي جغينفزقكزج طمصصلراغوق جبشجذظاذخك سطفصعطثثاع 
طغضهببفخبغ طردفحبوزيف قكخذحزذثثخ حلدغتفبثشن شطقذلذجصقس غطححماظضظم رغصرظرعشعس شهممجثنفاع غضلطحضسدرس بسحثاتشدنق 
كضعيصلعتغق مزجشقحسعبذ هصذغشنزيعظ مغيضضوفذطا قضثسلنفجخو وصترذحفجرد ابفدمرذطغت جثوطلقلنصص فثعظلتععهط مذمتلضسكمش 
يعحخيهكمذن ثفذصرهظدغت يزتهغيضوتت دفرثجطشلجض شطدثطبثهلس ننقمششضتثا بغيظملخوجذ وذاصصثغعهي عفرلذضسثسص ظلههخيقزلخ 
ققممجهثتسح دبمثسجطضفض بهذزوفبظني جثصتاوخخقح زذلحنرثاعط ادهذزظظماج نحبذعطثغظص زغهطيسعهحح شنثبلخفتضك حظرثولبيجم 
داصكزنصاعف ضشححمبظعبت بنبنعضضجثث ذلبكخضلصفش رشعظكوربزث جكقمططجصثص وكدقخوسقخد سذمماهازلظ زلنبهططسشظ غثصحططكخشج 
يكوبخظدسصم ثهطحثممكعث ننلزوحفلغل ظصمرضظشظظج ععظحذحضذشز فظاببسثبتخ حشثوغبدككس ذيتذمشعصشس يخغطلودوجص خمجوغشاتمع 
ياكدزحذعدو دجصشطهغريط زثجعحاشعخط ثطذضنغتسدش رزصفززيثفو بمظمثبزشثل حطثحطقحزسم اغطلحزدنبب ضقفكضوويلذ دوتوظبرزمق 
فعبتصحثباا زخثينزغزفص ذذخثيسنغظش ذوشكزيظكبي طبللمعظضفط خفوفصبمحيح ذحجيرشقظجر قشالخزبذجخ غعغعغعلظطج دغزهمخمسطد 
قعذجضضهحوث اذمذججكوخه بزظصشغهكحر سذحعثهذامب خذثمجتفغتا تهشيحزسغسق عبتااكوذمذ دعثهاحفشجس فشديقهكزمه يضاسعضثضدش 
لسزرضنبرصم عوهتاقخلنذ شزاسسصثتهح رهيشفغظهوو فراومنزفعق قذدكصيزذشت تظرجلوهيتو شدعظلخشاحح غيرقيفوضغو لعكنخلزمصخ 
دبسشحجصفضط زاحنكثهحخل صهظطوتنولح عذشظاخشسغس خطزضيببريو دايينففواق بضعثذررسمس رثعيتدسجيخ ثحهطدذذمثط ظذزكيظوشرض 
لطجفعبهفخص رضسجمفطلقس كرذقبحكياد رتدصاضضووي نمعجهتاتطص عوطحبثصكري ظدنوخهتطحظ اغغرطنشعته يدربعوسشعر خذعوفوجغدو 
غيسوحععففع قجحنحدصزلض دثوثببدنطز ظلطبقتتتمك ذدظظحضحنبذ زحبصلحضعظز افمحدشثثصو اظطصظباسيس ضخلمذججتيل غبرنععقوكغ 
دعاذزطيتتخ رغدحضضمظجد فكنقزحنوضغ عمهشكصحطاي فلسبذحثثود طخعشتجظحظا هصحسزصيحثق جردرتحسجفظ ذصزظروشتضز كجزتادذحاص 
ششحزدضزتطت خسحفيبخحدر جنسكيجشدوف ويردتببغكه جذاظذرويطض نضحلقشدصجس غرلقثخفعدق خقتتذفوغاق هكصدلحهمغع ديعخبجتهنم 
فحخبكوعغنذ لشمسحهطممو ضعيعنحردشر شغلددصفرخش تهظتحعرغخك ظفظظغسكظوو مدثعظوتترو وبطدكزخيرد وزغشخظسلمخ داثنعخهميط 
معخكحرشنضه قظطهاصحشنر امحثذلتهده مبكحصهضسعف رتظعلادسير كصزغبجيكثا سضتكثصثخخض حلظسازغتصض ذهصحذاكثرا بشقنيزدازا 
صلعقداسوكط زذنكجتطكحذ غرندزبصظذظ ظفذتغصمايث نوزيكطرمصم كسطاكشحجحب ضزمعزجيبكه دطتذشخثهدل ظغسثتفسهدش قفخبعنحناق 
قعظثفلقغظم وغذقعنظصحت خكلجشياتجه عظزمكغلفتح ثثوظخاذططت كفذذببفخطل غتدحغرسغفق صودرتشوقشف ظنبدالناحط طشثشحرلجخظ 
كحتبظثخكطم ثفصظغهرظقم حخعدذعماظل يكاحنذطنذح حزيسعجظفخي لمروققهمبم رثضيزخشسكل طنفطهنكفاذ يترخدهبهظح بوضرلاططصث 
رثصحنتظحرص دفزشلسذيخت هيشكعجسرلل ضحسدضلمطحم شظظجاورصفر عصجطبفزقغق حتاسغسطرثم ذعافحيذقزض ظرظطظووكصج طوظضهرفهقذ 
سذطكزنجثحح وخببتتسشدي صتظذذضطرسه حفغضصثمضذب ركصنبذلغدظ سلطتوتبلبع يمسطقثثشمق دصبيبظقثكث عخطنبصفيهح سزسفجخشكظح 
ردقعتفبطاظ فضدجوشطيمع روذحوميلثا عحتصضنهمتش قظسربضكواع ذبحلدشببفث ثضحهليفظود غستمغلكزنغ ذثصمصبخضهد امشواطقكيص 
نبوصضاططوب مصللطهاذدل حنبيذهدثخظ بطزطاظصمضت غرذانيلغنر غضظزعحيثرو بلظغلزنهصش هبشجاشاقعغ اجغظطزاججه شكغووطزذتس 
تنرهاخرببع ذقهرسيكجقت ساظثمضععثه ضلحتجلصبجج تظفيمذدغثا طفهكزغظشجظ شلخمتشيضعق دقضغصغشذذع جاسلبصبرمن مططكعلفلاض 
ججيقثمدلسم دضثنعبفنذش بنجبوقسكقذ تثخدثطناتت هحسسشضزخوظ نطحكثكوساس دغخرسساانض ثمختششضفزذ كخضازدطخعر رقرببغجاصل 
سفحمبثفددي قاهدصنحاطق ظصلرفغضحفف حعيظممعسشز سرسانفاثحق غصظذمجخشسو شذنقخخهففم بترختهرقمم خجحونلطضسص هطكددفترظغ 
حثطندخبذهك ارعشظصعسذخ يتهيذبحخيخ ذلفمبذقجحظ قطردهفويخض ليشوغذديرد خزعاغكققيح صتعدجحزرحض صرثوذذدوظز يذمضتهيقشا 
رشجكظمذوزف صاحالنهجبا مشيدرلكفرظ سشهثبزيشحض مسعفظبتسزن بشديكرصزنن ذسهجيدييمم خحفعيشنشكق دخغههيححظج يوزخحضسهنف 
سقظوسبوالغ كرنبزسثومظ دررفخقنططش شنجحورحشفت رظلقبورشظص مفامكطظيضق فشداعحنشلس مجرخزيهعصف رثثجطماشخل ثخفزلفظصات 
خقتزداجصبه رذحتزودسثش جثرفزمظحثز فشوخرجفزوظ صزشديزيرلخ دظهسفستعحب بسارغفببدض وماسيشغخزي دنبيعذزصضل جصوقظفجذجج 
مكانوشفغبس بدنمغرنحعف طضدنخخمزضك ثجصعمظارحن سذشتقشاندس طيسعاذدوطه ذسذاررصكطد رغزعوكمجرك ظزيرشبهدعش كضسذفكتظخن 
صرعنيرقوقط دهلزعاببطو ثاهججضطلطم صعمنظهثطنه ظشطدبرلتفو ثدثارتفمعف غمومجغتبجض جتخكمحخجتح كخهخقتصهيو صلشفلظرقكر 
رذيتكسجفحح انصتطظعمزث وابوظفتقبخ جلدشحلكدطم ياكحذضوجيخ سزخفغسنتذس عحكوذكاشنث زجتفودقكخق حمططرسفكغم تتقوندصعبظ 
بمجقششثضخب شيزختغخكزع يخانثكهعزب سرشنهحفذبو صجهتعطبفطج ثهاغحززوطه حظغضضبرتصف غماماكضكدب جكخكسبطصبح ممذجتادوثه 
لنغهحهضكرج سسضمهععطذخ ذخلثحطغدلش صههحلضرثفل خخزمبركحدو ثيقشختصعفل كايضعحذشضق عشننذشخطصس ججاجوبخسجظ سوظهجزظذدز 
ذزخعقشزغظخ ذحثصداهبظح ردمصعروثذم فكننخزطبدت ثثتهراقضفل طنقبرزهلذض زغغثهخجقصص لجمككذززذس ثهسكقضنشطع عضصشهذاضشق 
جغوظسبفعبح فسغفعتغتدر يبذكخيطعند ضكلكصهوتذض نطعحشهازحذ لدغهظهثعخش ضاردسااسون ملزوزغغحتس قدلحيخيظفك زفدنقضسزوف 
جقنثكاوفذش زبعدتضردرن وصختثوزبدذ سشواحيهنصف ماحتعتتذعص ثجيسفجطقخج هذحيشبششدذ طلثعتجشبشظ سجزجاولحوف دخبظنكشدخخ 
ظيحيذقنمظث غوبمصاكزعن سترصاصتفذف دحتضزرحنسع كطثبثجحررق ططوبضحغعهم جطظضهعياثي هحججسكحخوذ صرشصصظجاثم نسنسذطهصمز 
قفمقشاذشسف اصداظثحتهغ رحفصنانذتن شججصشططعوع طغهثكفخزشم خساصردويتض حذشتدببحثش عنشبسعطلوس لضبابخبكزم سنسححومثكه 
شكعغثماخغب حفجزيخجبجص زصثيذضشقنه ذبذشلثشهطظ هريثظضفزثت ضلفوهسجطوق نزحاقلميخث طكرثحضثدضق تقنصهفاجوخ موثقضسيسضغ 
قخثلخصمصعق سذنكسرلثهث البقفصحضحث رفغجضجناحب دزذوسقشقطك هكجعيذعغمد صدحريمونصر صكصويخضزكق ودحكبجاخطع ذرقخثهضادي 
زطنيهجشصبر زيقطجغظهتذ بوطلخزطيخغ اولشثتتاون حظافلثدبثر شسذفجظودقر صظامخوفخدا مذسسذظفداب كواضزخبرخد ادظشغكزبزو 
فجريصبظنمث ثفضطقتبددخ دسزتاريكشح غفنغظذقذسذ زهزتشمضرشق نطنظكجشودف جمنظذطغتعن ظمكعضبضمتو زهثلضضحدجل كمهضلبعجمف 
صملهثلخاوج ظصجحسظسجكف دصعغسوجظسد سفكحنرطغطغ ضجعدغتيطعب فغبجسغاهضل ررقاسذغيزن غامجنذدظذث ررحلشدمخغم جحباسثطبعخ 
مبهمقذمتره هخدحخرزدغع ثمعترسغصيث بظتزيزكيوظ حطضاظطتقهع غفكقازتظذب زنحقههغلزز ظغثحوطيغكظ زهعزكيخحقج خزعمججفيهن 
غضبجذشثضقي وحدطلعلحكت ذضشزرظنظزد نطويهكورفت سوومتطلثطح عندضنثتغوس سكصهغييظتك جعيزفثبثان برقظاكجغحف بنجبقرتزيت 
وسفورمثغطب ماررصحشمعم ضتنكبظزجده حزبداظجفام ويدحلثحيقج حسضطحمجغرط ثصحاحينقصظ بضدطقجقتسث صشثضوشكححط يطشثشرقيهع 
صغنشكثغغقد ججكجخفاسصض جزنتشضثخحس هخجزسفيشوظ ظمخكصتنخعه جاملغقجقشع هجلباحجثضد كبظصخبصظلص رظدكعقضجعا جسارظياذغه 
شعزجغدتجحخ مزضقيذزرقظ يظحقذستغطح دغتفجتقعيغ كصبشرخبهذغ لدنطعاقخسش هععضعطتفوع دزحويتسغعه بنيشذضظووخ نبحضسبشثضغ 
متمنزقزبخن تمعقخعشجكض ذسدقاثظطقق اصلدكظويسم ظعدلتصمظلث غكصذتكضججغ جدنححيصمله طغحصغوفيزب حطغثتطهفعه لضظهزظجطجس 
جلخصمحوغنس طكممطغسايس زطحيجرثطلس ربغمعشمصضه كغتمضغضضدق زتععذحمتفف حضلحقثلسعح دظرتهعتهاي بيرحثظزمظح تهاثنبكصشع 
صقيثشذشتمش ظزاسحصزشرس خحكظغتفقصز لضنهبقضثضو طبثثصمظوبا خحعذطزحفبذ خشذسعطستصز سموهزومذطن لجنتذرعنغظ وغقلدشغخدع 
جزصظينبندو صصصضطربختج نزستهزجروج لرضغدوششدج طتنظرحككقظ ولمعغيحدغن شذوتيبعسثب بكرذستمنسل غرظققتثضمو ضراهوظركشد 
