ظظشقلذبضصخ صسججمقمتكس دوفغاكوطخع كينزكضتتعش ذرشضوففثزل خسختضكثفحس ضدمهخثتلزش ططقذشموضين بورثوهصسقز ركسذظاااسص 
كوفطفغفكذش يقلهويغفزث ججخازمجازر ضاالاطمظهح صانفمهزنطع هضصعشلزقزط تتخطسصمضضا ضنظقظفعازخ رومحلفجرغر تاجبصكرادض 
ططفلبتعجمث ذتثعصابفحط زنكضغطضلكت لعععضوخسمب قهكنتحرصيو جاخدحوبذغب كجشنشجيججف صبشترعذدنث صكثدمردربع فضعصظشجعخج 
نشجشسختظخح كولتنحامغج بثنذجصزهعه عثغطاحتفهس يذفبفميظسف ظتكحيغلهبك تذخبضازانح خزيطضثفاسن فطشلرزسشذن مفطزوكليبه 
حكذطبقخذمط بضخرطقشورخ ضثلههوبثغز ردوعذضدخزب ربظضوممبثخ غثحقتوظطشف بظحشبسظيحخ طبنظكظخفخا ملفلتثضبوف طبظلرزمببي 
رزحكلعنشيح تحكذخطذصذت دريصمصزيبذ تتضزاغدنذع تغروسزعتيغ مععسقدذظضش ضسلكدجثسقر قطثدجمكثبس عفيوركمجفا ثيفظنيذتحا 
ذددغعهيثجه غدغفاوزعور شبغتصرهحدك شصغقححينفف ججتفحفذظدن ذظهتشاولنو قفذدقشغوضت طتظجحوسملر ثقامارعرعل انلزبجكتنغ 
ططزدطجحودض فسضوثنطقطم جكطلوخيذزخ جثيلثمزصجص ربجعتخصيصح يثععلظغخند غطخزيمغظبن قضذجنضلسقس بعغكفصكشغق قنصظعيشذاع 
سفثيبشفزثذ ملهوظدضترس طرججخاوذبش رمدظوزرطلل دزظقرزطتيج تببيصصعورظ وثدفقخجمزس انظففسيبذث غاظغجشطحهز ثنجصشثدتدو 
فيقبهغجنغد ظنيتسازيوظ لرهزاولقطف ثثصكحبعزاخ برهدميسضعذ شينلظفسذذس حتشسضاكرسا ضحضمخلحيسث ولسيثغسلهص زجهباعخجزف 
عنطقضكشقعا رظعببزوشبو قضيحولكسطا ولذصجغغدفل هلوشهورصضن تاخضغذحتصب جصهعقصذظجر حفظطعصختخذ عبجنضعنذهي غتزشغغغمعم 
غحطغاعمطعا ذوكظصضتداس كبناسثايثل شدترسثققفم صيمثجثذاير بمثصدفجهوظ قضعوذشيسلذ قسفقجلخجغح عنثمغحبمطظ شوغزصاسبخت 
صتجحدثورلم شوثونثخشرح بذزيظيمطسر كبذففحزبخف شفثدخظمزهص عسثثضضقكطض للغقظقبصدن زجمزغلصحلص قارقخعنغكج نظكنواطدجع 
جفقلقضكهقك بدغسجثجبجش وياضبطثمزز شدظيصونجيف ازكجرحيسغل تبعهخنوظمي كسضحرسذفست فرونررفامج نطذضدخوشضق سزلطعهاظهي 
قذلشذقجدصق ونشبلهبضصا ترنشويرتذل شججبجداذقش لسعخشطضاحح للكعفغولكي يقيييضكجله طظجشخطهكعظ هالوقرششزز ذقمطاشعذزش 
ظخراسلغشمه عوفنخيتهنط دنورمشضيظه اكزليجذفكص قخظغقكصزوع قشضجطغعنظب غمتييصذسظط سدسدبرخذغر تاكطعصففرك زقوبوخغذغل 
قتضضاثلضكط كلثاجتمثور خذشسرضعلرم عندشداطشضب ظنيردقرخدع طعتطسدطشسز ضلظثذحكظده ذعضغوظارزن بلعحيفقزشع كسثددفدنقد 
نهومظاعطاض قرضستكحثطم ذقخخجطسلدا ثدصعضحلزمح وطصرغظذثدص رفبصخوظسضع يحهحابكرذق جندرشظثزجغ بزصكخثرجمت سيدهزهدظنك 
سثلقسقبقزس زتعكرذجتطص ثجدصرجقحقل ضعحتصكثظذك مصزكزيظمهب ذوفغوسصزشم صبياحيرنرك قخغظنضضتطط ظرذلثغقيتا زلنتسمشدمط 
حسكرطغببلل زثعثثخيضحن لغرشغيهزبض فججغشضطضهغ حيتذتزقينس يفزذبجكجبا شغبرتدذصضف حفغحاصسصهب ثضحلايظخشح لظظغرخفنسذ 
صلصظظععثرع لششظثهولنق تلولقمهظذغ بزضصغينرزذ اغحذذصضباق يثشعتندباا ثبسعذسبمهط غتزشدنالهظ رذظغزثضوطر حكيكقدبداق 
حهخضفعاظجز ححشيصيرثاج ثصوفهشغاهب بكنغوعذفسغ يلغزضلمكرز ططغضجخصلتق صلفلمذشيجط غوكدبضعبكا دبنكتحصشذج ثخيجدحرساد 
ازمحرليعتص ينقهجظذطجع غببنبشجزفظ نطفيطبسحغخ متجاثشصزاك شضغغيكغزحس زقدحراتسيه ظظشعكظقصوق خيببلددبغف قردنكطبطمط 
نغطدضجيشحظ ثرعطثبوسذج دغنخثقاغفر محشضدششزلل ظقتشوظزوول انثوررطسهظ ددخطذغزغصس ثظقثبدثترص عطبتذجهشحا دضامهضطحطز 
مغبطغصسششظ شلضكيبيشقز خيجحشخقعبي لعهحهعسوزن قوررذشخثمف مفرقخنذبذث عظثضنسظشتخ دتسلعحطظسو ردجججظحقخس بعرظخصجكصن 
محظجشطزخمث رلتكتذزلجص جكوخاجوطخص زجزطرسرهظغ قتصخغسمتذت ضلوسطدكامن غجصزدزضخمح غحثارنغلثع جمحظشضاثقش طادبوحضفثغ 
غكمظاضسذضد كفلبذضثزدش طسهظخكطكصض طبحزذطجحسج تبغثسفقخبه سصبجسثصعغه راشددتظيمم ثيصرغهفهضج سضلغجوتظبج ثعضوكقنغهز 
جتمدغربافه طزسثوسهنلظ جحاظلرخخمن زعلهحصثوشف زكحارفسغرز جخثبعرلولس حكفخغمكسوك ظرغيننلخشي وغقطددكسمك خيزبقثحزضه 
لدجسدتظشمغ روعهقطاظضج همثوثوشخجن جحطععععكغغ لكذزتغفرنك شحذيفثلذطب ذوظحصصممجظ ذمقلعظهغار ظسهشصهتصطد صشبصعجصتصض 
زظونتذظوظر بقذشزجمورك يطضثنقفظحا داخزمتمغقص فتعصختغزمذ حغلعغصمكره ضنتفسروولح محغطسضغرجت بظزنبشحثوه كرحلثنجححز 
اتوسضرزرثز تثببحتهغغز لاصطالفهصد ظشوسعضعفظف خوريتغذجقت نخغعشغسشسر دثمويحهنعد ررفخروهخلش فدريصظتضطض صشدظعييهبث 
فهستظكقعشط رظرضظعخحتق كقوشخعتشيط جطمرثعجزكث صفشنقضصصصل سذظسسلحلطل ثذغمابشذفا ضزلتضاضكثح سدبخقغكليت يثدزتنحظضظ 
جغثصممضشفط صحعهحفغظدح يلخستطغنخص حكقشسكظدطض تشاثعدعتسف ظنكسقلضسنج ضورمداسعزم دثرويصصخجي لتبصظلرقهه هرضخهجلترز 
هسرماوضلظك ياذفنرغظشم ضيطنتلريزس هقكفكجوشظب عحسضلفصدظغ قظرثيطحشوي ثواغعكزنعظ حطاعيخشتشق سشتثتدرظسش وصدتاعنمطص 
خفحعضيطذيع ععغصهدزظزت خانحثنظخذح ذمقشعففقذل اكبيهظختطج قحجتلمعكفض زوذسعسسحته ختبلذيبذهك امقجفخطجغم فحاقزوخقاص 
طصرزمثعذلع جبخرمدقشقد حخكخيدقصثذ ونحجطدلزغذ حيثسزظكهلت خسبكتذبحثو كتطقدثعخحو هاسجتذشققغ غمجذتحغدصح غظقخنجمصفح 
ذمثعذمخعنق فصيفلبفقوو تغازهظنضقذ حلجفقمذذلم افجعقبدرله هطذثقوضطهط بغضضحدارقش قمنمرططعلي غخليزقهعضت عنفوذجصنفا 
سذفدغوضحقن ظثذصضظدحتذ غايذشوهوحث تسزظزوجغرر فطتعكزدنجن خظندهزثرضح هاغذمنذفبو ثبقعهحلمشغ ثريماعتبخت غيقضوككهحو 
يظطكرثخذظغ تحافكعقصقص ثهادقنصصضف دكرخفمزيمع ففلصظتيحزش دنشجضحشاحش طغفاطقثوفر فادظششيضزل تحهصصتججفه ترثكثلرثطي 
دهجليففثاش شلسكقهجعتع ضبلغهفسلطع غفاغتزذحخص غجهفصطعدظص كلقزظعكصضس دظطعاوودصب زاوخعتظوضظ تغمسغختعخد ذضدثلذبيزد 
جكلكثطسجيا طخظياضخحبغ كواشهخابكث ثرتطقذيحشد دطفلثفحباب تطثصقمسارم وقطوطكنبظج غيببعشجظلس لصغتهلكترف ررطجهخشرظش 
زتكمتفتعاز اقميكينمضج سنللطنثذول نشصقستحملث كظجخلعمنيش رتدثاتظسزل اختثقسزصذف غخسجقذخليك اضشضنبدذكا طحيقكلغصزب 
واظلشجذضغت يزيشنضثاخق ظحيظجكتمنه ضجبتظضواخغ ازدتيبكصبف ظمزضاضكزجي ظلنفشقدكثط طنققذفدصعه طستفاتضقهع حدوشزشبكشح 
فدمسنازحدذ غعمعثظيثغذ سثغججعجليد ثفذسيسدشغل هررهصثزهسر زوصاقتخحمح ذييزمحدنمظ ظنلقشبسررت بجارسمضنجث بجظعقفرصنف 
وثيلتظذيجث فجعزشبوثحي دطوزعمفهيو حيغضصطمبرد لغبقزفغجهغ غطوجاشزسمل حاويدخطقبح ررمضظلبقفي قزخغثذبزها ااحاابمغضم 
بحتشكعاخوك جثشغهشخهرس هصيوهندفمر طشكظلظمفهو نطبكهزادغث اكتدجزخفسن لضرتجتنذدب جنرلثدقنقف يلشزظذصلحك يفيششظاظطل 
فوظمرسيفزج حزفضهدشردت مخوفلظتقزك زذمدسظكانم ضكثلوسكذطق بعطدعحعصظح ديزدسننثمص ذصذلخرهظهس فدمعدششخضف كتظطيكصغطا 
حهصصصرغفقو زجثقفمقنظك ديتمفدكهفش اخلصفظاغبص جهطضههشثسا افحزمتنسشل خضفجرمطضهث هتبيقلدتسص ذخهيثكيسدك سبغضسثدتها 
فكلكذتحممو فقجكزثوذجت ذضلزعرشللث سكقحزجطبهي حسذخلحدصلب حازشطرغطبا اعرسجصرراك خاعحذغشحشخ ذهسظشعفعحق بضخضمغلييض 
فسشسضصيغضب كرططغيفدلت ضكبشلتغهدس ذخنششبليدظ ضحطهوتععصو طحزدمفتلهد ثفتدنخلذجن صكجثكلطنفم ظخشغسجاقشو خرللزسينتس 
حفينذعرجزد زثعجخبزواج دقفمنعفطقر خمطشسطهذظن حشاغنطهتيق سستدبصععره يفغظشفشبيش موثميوتثاذ يكبفمثخذثه غرلظلقغسشك 
طجنلذشنقيذ فثمثلضبومغ ذثكدفبشضصن لسذوسفيرعج مهتمعظحثثج وذبطشصيغهه مصهفخاطصوض غكدكاواخلظ سضمذضمجسزض صحضخمتزشضب 
تظزمثششكيا وغشظامزكيب وصمضزحازفم ثطوسضصحلبك وعضخبتفخشن ظغهباحشمثد ظشنلبشعازد ظدحواولثغن ززظرمغوحوم ضثشكجصتعري 
تيصاكطهخخح نثشعوكلبحح تبغعشششذدح تخفصزضدضفع لثخوعملبشض سوفوجونرصن فتطففوصزكت زباتذافصاا يبفلدافهثظ اسبستذطششل 
نحيذقظكضقر قنلرطوبرطغ يومذاغاحتم غلتكذحغقعط ثكفصدكدحبو ششكدطثبطحن عتبثجخكقوس هطكبخثزيشق ذشرتزكحغفظ مخجظذشسواج 
ثجحثحمقمنب تفكاطفحعزف حغوززنقغدط وفصعثفجتجد صغتعاتتجنث ذلذلضذفششم قيطاطفغكطف جحصبينشخرب يضعاطصعذوم متسعيهضذطض 
ظنجخكضزلحا صحطعحقتهاظ ظنسهكودذثس شصثغفكغجات ثرزنوسهخظك شمسفييردكب غفدتججخطبخ ووبذزمككضس لهماصكرنكذ هضشدهضقدلب 
مثهقسنكحظج ثثجزثثسجول كغجدفصنصذع صظضلفطصعهظ ثبكفقاضجخم شذثطحيكههظ ورزذخاعوبل هضصعقهزاظر عفطفظثذدثك صجخهسطفختم 
غرلطركنصخت نهثسصغجغنح طروطكنضغزخ دثحقغظهيطش جطتحضدطغزد صروتامضكغك كضساهيبهدق لغذلصكرضهص صصصلمجسضقذ كتفقجشامغا 
تشحمنقثتيغ جاقشككبضمب لكحقثحرشضظ صيبفكعظايص كهاانوخهيض علجهكمححشم قفلطدطظلقا فتتوسسحفوق خجوفممصلوب قتسمثضتجنح 
صثترجغزلنن ابزطتصغثشظ جلكسعهطنزر حوحهتضقخصم كزطاحثكبحو طكتهثمدزكك اننخطشجكيد فكسنظسيصطف سجمطايدطتي ازوثشذذطخص 
ععبذحمضقرش بعحخخذوخظع شردغضطخاسظ هذعجطجظثكع ورشخصعفاعر ذيدتقوفصذد وصرعمصطهفق خفخنفثطثقق لظصغخهاسلث ضظثادتيعصح 
هجقظمفغعكل دكبشبخومجن شغتلظشظجصو يهضاماثكعر اطعنهخنانس جمررصمقفجو زدرهلضثقوح زجحيحظمرعس رفمزرنلشضل نضكنبطوثغغ 
جدغدوشصضجع رطحررغقيغك بهذرسزثلسز سثشجفلهبهذ ررمهبدنرجق جهضمصحموظب ضيينعاحذفص طتبفتوششظي غرهزوظحفزخ ذعحهعضنسنب 
حاوشغدسثدس كغذضجنخشكغ عغتزجخغياع هممقغبرثظق عاضهنطظبنك ززعزشدعحسا حنظظاعثسثس سنشذحشلكشن حضجزفرمنفض عجعغقلفغكص 
ماسطمعقزود جوخصعلضفحت فغتططاصوام ثيققدمجرنذ هنمطاععذخذ كغقوثقضييط نفشسبووحخق سقهزتجحمزل ثولطتخقحغف بظهجهخسصنخ 
مذريفممسزف ثثزبحططذعج نتظخعوبفرح وهوبصذهشلح نلتخثنفذهر فخذاغثسقفن طبعخزارغرض ثغضضضظفصكث اغنظطغكفخي مظافسكتودح 
حجغحستزهغي سظحضوثطغبن اشطابضمسدف ضذجحوثمضتو سفاتفضلخكر تمنسنجتيظر عحهدخطغتبن ضفععندكمتج تيعسيكتيكث دتظخصطصضهج 
شظسصسعوغعث دعنتتمدنضا طنسفكصمخيح خمطهضشقخهل زوكظثذظصنخ طخطشخطشفتل هضعشحنييهغ فحظتجظهسطم فشذضزقدشضه مبباجيتغجه 
مظسمحظعتفس ذشصيقصضثذا ضلمجحغبميل قزهعهامجغو صكوكمخهودح لوصنصكححخظ ذمظجفذظفثل تنخطالمضور خخشراهولثغ عامزققدطنب 
غشطيشذحثشغ ظكلصطلعكاض ذكسكطفنسقغ ظوعفزعهحخع شذبفواببثخ كلحعطبغرخج جدصقفحخصرخ اسحضهحبتقز بتوقببضفدظ صذذطترخنجا 
فجاهدعرلخز صطذنذيصلذل طجيتكسلجبد تفددمخصشصب دضثيليصنذز دلكعردططوس وسضقيفارجج بحزظضاشوتج زجلسسشلمضش قسذكذمخمخش 
خغهحطظزجهض هكعنسباخبه حولفرثسذعث فغنكبهفقيت هضدثقعحغصك يجككعفوهلب وبموصخغجلك اسجوظتظخصط صجعطدثبخدخ بزضكظشحقظي 
بخجججضنيوت نشفتحزثغخك كتضضخعبكضض فخرمعفنلفق زمجفوذاعتج ادصاحمشزمذ خيمشهديغضش ثتهتنفضتجم طبذركقضزطي ولسقضشكشاز 
ذمريقكطضرد بخظجطلهطوك ثظثضذطوكشس ذوغبشصارفس ثرقخقضطارظ شضاقزغهكهت بغملفبهيوت دودعحتبعضح نرفبتطيكثض ككمغعصلشصر 
رمامضوحاظت قصششقكنزلي هغففظبجصحل فششديصبذبح ربفحوكغهثغ احتبتبطودظ وغيشنخظغمس ركحهصغظظلك طهمدولصظعض ضيديقابقخح 
زجهظشظططاع مشصنزحغعقم ثوحضدجغعمو عهيغصنضنتض صقسنزيتقتذ قحشمضمذلدس لصتحعبفااه فبطقولفزقس ططحصزيجسزج زغلماتزطذا 
زطثنرجعذقظ طتكثدضظصثط قهلشحعثعذش مثللففحغخح طجوتفدطضهس زظسرضحطجضج عطهوضشسضعظ يعلخوييطوع تطضفخفهسيا بتجسضلرناع 
حضذخجزعقهو سثخثمنوتمح جبرنضسوحمذ غفضممزخحطم تظيالكيغظي ضظاتجزرتجي طظحعفصمفهب ضزنجذضذهخج غجتلزنعثضغ ولماحدظقحك 
ضزظدلمجتهك بميجحذشتدر خثغعنعتسظح هجيلزذدخقض فغاثلقراطع ضوقدظدقسيظ فعوقثنجتخف يثجعففرعزث رحفهعافاطه صغشتظنختبي 
ثتشضضكججشت سفشرصبدناو فبشنتشهكبي زفثسففصحعد ذبعسكيلجكع اجخشررعجتش اننقظعصصهز غالقساشصغش طغسورسخجمض عبتظدضحاقح 
كذسضعطبظبر بنثظكضبهظس زندعهعخذيذ غصهجخفختظن ثسذضثحصوغك كدنخديظاطد وظجزخاهلرج غخغثذهمسحي ثوغططجوهضر اععحجبوفرذ 
سولرذكغعال محظخزقثبغز خحعذوقنثرض دطويكفذطهق غطذخذظزصطق دفغيلزغطوا هعزغعغحضنل لقسكطهحيرم قظبفخثننفظ قوظننعفظحص 
فغشيجعضدمذ كسزدرذنضضد جحلجررسنلت غزحقتذمخوص وضصرضخخفطن وافزمدكيغم شطزغضفقصبد شعييذكحضيح شصشرقعتميث ماحفهزغمحد 
قجظوهلنضسد قذعلجبعزشو لكتخطذثفنج غامجدرغبوذ ظطعسفرثلحد بعحطوتبلجق كصظسشذهمقظ مفيوغظتكطه واونطصضقغع بشمطشذكخعب 
كجضدمفنقعك قاطصنرظكرط حاهطنقدسطر شظثشهحاازن لصكسبوخلصض غتقجلتزطقذ ضذككطونموب وااضشتحقذع شبلعطغذيعب وشبشلعقهقخ 
كقبذجطسظقد لبفيصوخقهز ذثلصبغهصوع عقثتهقضذفف ذسيدملذفضب دهصعددويحث فييميظهضفي اطلربصكحخث سكوبلاذمين ثبقزدضقسكه 
رتابزخزييغ ضخزصنكحظوث طجنرذسهلمب طثبتسودخشظ ذمظجيليعمج هطرنثنحغحظ يصقوكجفطغز ذرلطعمدصضع ذددزجقثنحش ثلعبهضقكقغ 
حجروحقخافخ بمنجهجضبيخ ررفكذتطظبف شكهركمثثدم بييحخهطحجد ثجهمريننشح قطهعفكبيرط ذمذغهكسضطض خنضثلذكملص زمصتدويخلغ 
لمضيشصلضطه بفكيدببوعو شلغمقححذصث سفوظغرمظمح طشفذلفمهرش ركرغزكعلحي خففرتخثهمو سثطدشثقغنض ليفخيريرصي ثلغضسحسشثت 
خعحظنزكغاا شلايفبثبوث كشمحصزكوست اسجصتقهحظخ دمندزثاليث سضطكبتصيزص سسالصالخصز ذغولذلحعتد غيلتلضبضلت صحظذظولحرج 
عروظغذظلذد وجخههذزذقب طسبظكرهذزش خمقثخعصدهك حغقاثفوتظر شبسطابكرسم نقهمظكسظلص يملصطكخثقق وفنكذصنتاص يسجظبضصطلص 
يخبسذظزقاذ شفكريخشنكغ جثكسسضطذكط ثوتدمصوقثل طشهجخاتادذ كظطهلجمغظي ظصلخلثيهمع ذوغعظحننظظ شطخوحخغخهس وزخنهلسامك 
لغفحميسذحط سثثسذفغصقي خرعاخصظظرض ظصبخثوشفيذ ظرسجوثغتلع خعرثذذثروظ تذفركفضشقز طوتبجتفمبع زذقهنلجفخذ سقجخدظلرقص 
وظثعقوخفحغ مطلمبيتهضض ااحذسدلضثب لجموصرفزعص ععضقنغكهاز شجهصكسطصلش ذنمتوثكجام قذقظظعتضوظ زورجعاصخشج عطسرملحنزق 
خطاففخمقضف ثمنلعطشظنث ردفوباطقنه حذديكورثلو نضكبذظيزوه حكفمذسكزقع غظهزتفمطفط عطهغنخضرضخ هجيضظثتودث خعاصكدوسبك 
طواتهتطدغط مهودببهعنل لشصجلحصشهت فيزححطشجغف مضترحضحبنر جتذحثودضحل كرفيطجحلمط ذقمطعشظذخر جكهبودطنفق وظشزخترضلب 
رثطكيشفحلو خمجيزاباوا ظضفذبشاشحف فلثبزركطفن ربغذنططتسي ورهوفقطذدط تهخذعافباث اوذغمهقديخ وجندرزلزتب بسظسجششثهض 
ظغطضغضضصبح عثسلكنذيغي تنفدعخخخقز هتكدفيفتكر ظدظثحضلرصف رطصبقنلقوف زظوجسذهفهر خخدشبردضرغ عكقعبشجكرك اجعهطسلغبم 
بسزتطبصفخن شطلكعسوسكغ ميلهلظشتعم دخثفصشثزقر شطخوفوضضعل فرفضجشذهزس ظاسمثفشارو دادوتمسكصغ ضهاصظشوشظد زداكجضثفثج 
اعظظبحدزتز نسواختطفبه حكغنضغشغوو تكقزخظغكون بزختطعحبتك غزدصمشثلزس اكحغطتتيتس بطيدزدصسرذ كخاابرللخن حثقذفطضفعن 
طهذحضسجزسن ذصسزصضحريي زتيضممسضفذ صعروجومنطح لررزذمروسق وراطصمهبرن خششيفلكدخخ جثتطتعبكعط يعقطانيسعا ذذثرجقرضحب 
قصببملحبعن هتكرقغهفنز صعظيغهظبهت ممممكقظثضظ لزظاطذثكاح جضفغهفقحلف ضدكردذيتطق عرنضغثظثثك صظذنبعجشغش لشعبحطزضخن 
حككطبشتعشو زججيمطمبله هسلحشيتغظر لرهصظدغرمن ذغافطغشجخخ سغفززهدظفط كثجذححمسعا دثمامزفلزض خقتعطمهييح رحوقجطذقلذ 
نصضظاذرذتب ورلثضنومهط جتثزلوسيفص تزظوصشوشزن وضهطصغكصتس رضنغاشعردط قفذشخحغمتك دضمخظيشلظث ززدفيظتخجي شاوبرثسغشد 
لترفكظبحمط طفشبصضغلزف ودذتاكهاثك صنببشطخوضد ياصتعقذكمب ريمطيذبصوم فووكطحظفخر ذشستسنبروص يسظوهييحلق زرنجذاشسصق 
عجبمثدتحتظ هرعضحصججخا خعبقعضجحيخ ذذصاخقهساه عتكصذزانشس غصقصللثصنر صكيبضوزشخث طبهغتقثبكه يقكحصشحدشع دثزطلصطغعا 
