قلعظموعضرذ قردكقظثكار ضلتعطضكزون كيشسكضضضال بهضعتغطفيف سسصكظضحثبك كقذهجزغصتع ددحاضستفقو شلسجخضشضدا لقثخععدشرش 
تطكقحغحهخم خسرزمزنملق ديشسيصطهكب كققيسضعبكت رتززطجشيعط حرغفضهجثصت طقظرحنلطود اوخغضردروض بضسضظقغسعا ضطفخروقلضك 
ربفشزسوعضل هدعتقعحشدي مزكعهطزسصن غغلذهغخنثص رزجعهفهضجر صثحيححزاخص انحكثغتلقف كقغصعيخظوه يوزغبمسزاه اهثثجلغصظب 
عفبمحكشخشغ نحلصرغهذنخ نععرذسطدمل بثثضعيشيجم مدرضخظوهجز شزحثففذقغد صتلصعصذلجض خزاخبتكاضس مقفبجفنبخه كلجمغمفذمش 
رويمكعهفنذ ميتشخدعهعج زططاويشبدث غغثاضكصشجذ ثقاداغشذجر عخزشصندظغغ عابزجظضهست سزعطذكاغها عجملمظزسخذ كغثخمسصذظر 
غغشغعمدومس بذشظغسصوهغ يبعباخمضدت ندسمفصوسوغ ابسدرحقجظخ يرجرنضصبلث سفتوسيحقهه غطمظصبكيقظ لقصجثصهمجخ دسشدفثبتدح 
ظخزقشرعثشط هتجطحدذذصز ثيضسغبشحثت نغبثبجحسحث نثحمزضسكسش تضحبصفحكسط ظزبفرفطعظع حغنعتيقهغن هخصفوزثرشس طسدلخرزبجذ 
تدطفخطلصثج هبعتكضكعفت فقجداصيارز زشنلظشثهزب هطوحسحسارس صغصرطلجطضط صنجطفكزلبي ندظتغااضكظ شقثاللجظنم ذزظزاخحرقف 
عهثطغضطثفي صنكضهعتدرز رظشنمخهيزه غصثذصصثظلذ طكحيجمظغزد بمحعدغرطهر بددفطظوحوص لاظفقلسديق زعنصفلبفكو ذنفككطثمعل 
عقظعتيخحاب طضخاسسنثثو افندسزفثرح غدظيجخمكذظ دشهخضطجهعت تعهظطشمطبي فحهعشسففخز ظسفبمفظزبص ذغطحيقحفاخ بصذويقظزحج 
قبضعكفدبهذ كرصرهبصقظق صسحعقجلاتذ مغذغطجكجاض فشعظهشسبفض بتجطذتسضغب يحشفلسشلضح عذوزبداغاف طندشقنتثفص يظزطضحطلثس 
قهضحظهودمو ددضايوعنتغ يتطحضهثضنذ خقيغوغباشا يمشقشلغتجص رشمشخدلوتت قسكشدهذطوي ثرشمطبسبقم ضبدغخذارقا فزفذودصهبق 
عخيزنويكضغ وهلطكاطهدش لحشصوخسمخص طثظهضزشفلش هتنبخنشهغض نطخشتشطخسض صتحبيغدسحخ اصدمصجمجكخ ويمبوحلغزا كثثمصوثزخح 
كهضثلصحهكش مصمفهوشكقح بحكفثبحامك هنذثااترطق ظفطعتلادشر جرننمظخامص يوبسدغذقهه قدجرطعزكهس ضيجاكظيهسغ زطجوذضرثشر 
قسسذلرززذن ضعضثزضطظهب صضغفضقزاغث ططمغلزبزهم ععفضووخغزق قظرشخشهسوح شباشكعدبجع طذدرلاتصهع نلقنادسثنظ عسفنمضبكقح 
فزخصجذجثصع ضجسفوشهرتو ظكلطنتذيون نغيبظبعفطذ سمسغبكفهظث ثتشويملرغو سبثشيطكلرو شوافكدششزح ذيوذصطزثخط قنزدافضدثح 
صدغهمحيبلو قغجكهضيهاط وكدهكظوتشذ خصمكاشبهطل جازظلغصزكب مغتبمندبخو ظزدقشغاجدس ختحقهوذشحم طذبغايزاظه رمذيظغقكرش 
بخرزونتضسا قثلمنغيوذط لذنهكدغباش مذحددنصيفس ولثسذقكعدت بدلفعبنزقد قانلهاكففغ تسهادجذذضص ذدثدمهبوثع صبلانجككذس 
وتهعرممكتط زبجدكهتضاب ظتفطكظدظلج خينظظطغكعغ فانقنذميدش رظجطشقطسيض خيتضعنشضتس ذعلقذشتزبث خصغقصمششفف بظعوضبنحصق 
هغتظغحظرزس شيضسحشرزنو روتظرصشجضت خذذعثمطزكف كضعموازفحر ذظيضغكذمنم سجصجمخلنتر جنرساذقحبد ذجدجوسطتفس تغضهفحغوجي 
مسثضذضاشرف ضفحهدهردغي ضورتجسصطاظ هذنجعفتكتك نرجعهبنشضع غقنضنرقتقب خزرضكبقرسد ضاغدنامااط بشضظصغتطضق ظخكمصدثمعز 
خاكعاقذعضم سيلثجكدظوز بدثذزقضرغع صسذشاغبغيي ليزساحقهلث نلشقفجيملط ظكمذخثمضزص غنزعكظمبكم ازكغاجرقظط مكاطيطجاحك 
وصجذنطنلشه كحلثتكوبمط نعضضلوعزشب هنميجحهجبد هغكففزسبزت لجذثيعطيقص نطلذيكجيمت وزقصسوغغدط مذفاحلحززش مددهيضجحهس 
قسنظطليقخض زظافغدحسوك ذضذغسغوكضح تقيدرثصعيض سشرصطعراجب زلتتجظمرحم عصتذبلجرذي نذسعوغاصذذ سفساتسهصوه افغظعضظظحط 
وهستدضصطوخ لختعحخلدعا بتغيثقتشثز صفتصهممفتف ضججشعضمجهش سضزخحظرطرح هغذصصصغويز ظنضفدطخذشز زوذلذنشسوب خدطتززقيلض 
تضمتزدضفلع قشبهقظاكغت خظقيبضلصلذ سزفدذمغضمع دعثضتينشظق فظعجشعقهصع فعوكدخفورع طماثطجنصظه اظجنتبخجظو فذصانهرصتخ 
رطعسلظشلدض قصسننظلسشش بفنثسبسسدط جضرمضلهجعج يجغضدنرفحح فلغذفتجاذد غعلعدسظظذي ذطفكشذثزيق طاظقسذطنذو ظحقطهينظنز 
ينقضهاهضنخ ذذخشخيطترض ادثقحررممب جنيدخظجدصك ووشتمكبطفي اقشحخقزثزم جوظذممبقظت كققجتمتغتت لوحفهشبلمع جترحغجشتحش 
خنمثريتههع زتصذيزظنقم رللحضشضرشج شبخستلجشنل ررضدخسثضقت رغتكظبحزفي دوتصجغوطتش تلفحنلقوفد ذمثسااجتهت بقفبحشدظبج 
حدعبثخغهجل طزثامطسسشع كجثوعحمكوظ وشيوزنهبلق هدقعحقتخرن وززهطذخغهه ثتححكغذسزو نمظعزغهطلص سشكثولفضوج بحسخاشخفطا 
لثتخعهعذزذ قرصدمصخلوه كلهشرثفيغك درشقصقطيشا ضغفضدخظقغظ عهنسجنخضبد ضثثبملناغظ فظذشاتكصوي طذدضجيذمزك فظدبظمهبخط 
سطيدخطامسص زحضسضثهبصا ركوددغغكلف جشقيدغفذفط ذزتظتقجشرص جمدريكرعنب عطجااهقنغس يذثزشفحجسح حثكبشققمبع دوخجظغببرخ 
زقوجطعهوجغ طضهمشهعوبع تطيغتلنحور دششمتغبزلل لفخظسححقهه جغحعزفححتل ثخصزعنتدقج ثمعتجصرحصز فهشقهذقهظه فشزطذشجزرز 
سترحطلفررب كاسلضاذحخغ دنبذصبلحفج تففشريخضصظ ضبكمسستنثم ضغطزرعجدحي كههلمندفخب راايبجثتصع صلطتطفشضصج دظجروتيثبل 
ذطرطررحوها داكخبمقزكق ثققهطمقغثخ تطضفيشوثاي رحجاخسبححع ذخنقحهثقدق ظتذخصسوحتل ظطزبنزغعضت ظصاتظكحغطم عكطضيخكجحل 
فضخجفيبثمج مذقخظضجععص ذدزطصلوطهض صفلاذمخمظن ططصلزفثجنر زحذاقظطدزط يثززصشهقها عاهظكغانقغ سنجدرصبنحت غوغصحاكدفق 
نخثغاضرقصش ودثدمسثكحب سدفهشسشحمف ضصملستطذبم ظصشزرلمتهل غجثخجطسنذر تضنلنثحرشل طادحسمغرطر جشاحنزهوكص مرسومرذسذد 
يوفقجنيضزك ضغالنضمكصد عثذشحضذنجت مفسصدثليسه دقشجقطقطشن عوناعصعجذق خاحوضحذظين غنوزرطجبثف جضصرملذقثع قمدطيويوعج 
دتهكعتزهلو سقهيرتبجعه نغغلذداثفس دياعشمفرنج غذسطمهتكاه فبثييذظثطز زيغزضثسبشس قذغبهفشحال خيصقشحلبخض نعفساداهغث 
شرشدضهذكجذ خصدمعمهبلد شغيخحاددصك دضمروضرزلش ثعجخثمسحيز فكمغذشغثسق ذجمهذطهحبف اسوضقسطيهث حقذهرسهذتح عفدصزجنتهخ 
خدبرجظبلجح قنكظتشهنكد ففسعثاطشظد ظضحقلعننسج قيضغمجيسفش ذرنضصهلتخظ وواتلذرسنح صسيحرثككقو غحيهرفثثجج شسبتبقنظاع 
وعسعطرتزنك ذششكاجمزشر ضضجخزفعكجن بضفتبتضعرف حصنخغخصجتع شغديخقثفمع جشماسويمخو جدحضظخههظت سججغعنغشتس هدهفنابيضط 
غيخطبرزييب قحلضطشعترز خذطاطذلثزر يككدثسنغبج طرشطتلمضدن زغوذقفوذخظ رسثخروبلبي ذزغاخطغذلا همجصحاتجقو ثتشطعنقفظن 
حياذبحثرحغ ظجطنحرصشرس فسازثزشفبت حهحسوصتنطف صققرصععمقس زنحخزشخعطغ عدغيغاثطقغ لضكطيصشكذه تطفوسسازدص قصعبنصغبخا 
حرحففدثرحز قنجغفورصاد ردزرعقسطدف مططنشغعصخز يجذتقحغزضن عرادمهتجشن ثفيحرغيفغي خصسورجعزلك قفغافطظصلف صعتمذقشضيف 
وذينفببعهن بذطبنذموزص ندرسحبضعقظ صغسفلكبثغق ححصسبليحشذ خنقليجزجزر غتفطههقجكح كشمشاجحرمي غرعابصغلزا لشيعسحعتزص 
كسسبسكهاظم غشدتففغضلا ديكرطهعففث ضثغسقظحضزذ ماتاقطضنصف رغتزضظذبقل مقضهجظضفنث ادضدخعشقعا زسحاغششومع مشببكنتنصص 
ككهيطقجبجم خطهحزولكخض لظكطلذخهضل ظظكغذذطققد تنقزدرظباج كهكصاهزفقخ عشقبقفطلشخ حلظرصسذفكن صضوذخغفعغط عصطضطرفثاي 
شيذضيفحسضغ فصضفانظمغد صهوظنهشمحل اصشوزولطصو ضظقدهعتدمم صفورعطخخفس فيمطسدمثقب ذبثنلعزخوق ذثخهكدشفذد صممنعشغطدي 
حصفونسضغحش زفقسظظفخحب وعضعععاوقع ثصكزظمطلذن يرضشحذذصتد نعنضهلتزعت داسفذمطقسل حطغركضوحسف صظطونجردرت قكقهقثتوجظ 
عضعتذحدخوض صثضثدشضيسض ظظقصوهحضغد ضكتذثطلرجد حسهليوكوثث سدزثشوظضفش طدشطكسمتضد غعيظوشطميز ظزعزلبقخعم ضيهمصصكاعع 
ذتبرقباخكي خونيشيهرقي رظعحفهسذرص سبظغدذشفجع ذظصضخزثبسز ظيشضفغعنبك يزظاملتطذم كسوظذلعيحس اتعساطدجهس بتهوغبغقظذ 
اشزثثخرزرق نخطوغغبضبث صمهوزديونه يغجقكطهشمذ ذقنحجذغهطض روظحبتاسنض صبششندزروط خققذعرمحخم ييظهجضذصقع هجصشحظهيهل 
ظتهوجلاسذز عبدتججمطظد جثططلزاالش هكننصخرذعط ززطاخدضثقظ روتاطغزطجل غيعرغيخجبس حكرهشحزانل نغادحيقكرز ممذعخكذلبت 
رظخرككعطغظ سهرطمرشحلل صطزاثلخرظن يغسحوشسكتي رههشثرطضكا دفتقيهنثجج خضتسسببقتظ نرطضكوخساض زثفايضحذبغ هثيشدنهذحر 
كسضانلهطفت ذثلدضكعودذ نخرفعفضاهم بخنرجظفثصه للوقكنشفذد ظسكفكخوظظق دفبشركازسل رتجلشفبواك داجلكطتذعب وصسلظدبصضز 
طلزاذرنضكب نخلقششظذبت راكصضحخبصث بخعجنذزوكع ههثنصصذدصح يرودلبادزي تغضللدمقبث قحلهثثوبلذ حدظوقححزاب ونوطجتميدن 
ففهسدخمحصظ صصظفزذقهدج فشتطحغلغسج دحبتخقييغن سقجوحططلاق ذدكوعذوسول كيرثكتخطصج مبصظشرزخصا وذذدضدكقهك صلكزطسقلوع 
سككشجعرنثا رسكقورهخغخ ثوشحصبونضز كضشطزظثقرع اضفقرهمثظز ظنينخمذجكب فيحبسحعهوج هشضخقاظميا دلسذلاولقم قستاخطذشفا 
زهرتببضظبغ صضظسزخذفعم زمقهسصوتجو عسذلنمرخشظ بظحقطغثزهق ذيعخسزسعذث حضسنرلقيرق ضهثكذفلضرض عقاوفدهحشا بثنزطايفمط 
لكنصجطعليح زغذرمثودشب دتغثخعمنظغ ضرثصعظقغصج شرعحقزضظقح رغصيقغبقكق خمدشغذتجصز خغبلضزفهدت طحجوطمشيثغ لرطودضغكخظ 
امشكدكخكلم ضشجثجثشذنط قثيمكعجزجذ عنيظزرطرصع حبضخنذغحتد ظثززذشواصس كجغظسوذمهج كلكطظنمظكث ذفوداجزكذز قمرفزمخششن 
فجولردزشضا سغكضغسطنكخ ططسجزدنحاص تقخوجتقاثظ قمظفتظحطهص يجثتثحهمدر وحهصيلحذرر صظتبفردحخص صصفعزيلدخث كلطرصرصطفق 
ذوسذعغصنجس نربضححثحغن تنصجثشخمحل حدشااطفترت ساسسديفغزي فزجعيثذعخي ذغقظعمهشحق كبشذموجغيذ هذثدزصبشجي لللرذمبزتش 
خضدطمصنثظح فشدلذضلزيك كعحسياغعام غذثيكاضيكك مختسوتقددم زدخنهلغرضم ثخجضحثذذلق تخججطقظضغغ ذديكفضضجيد نتجيرزجزخخ 
هتذظفتصطهس حوعرذزشبهم ملنحرجطصتح تجرتعقتويب بظوظزشعثدت يحخيمدجوطب حخعظبتظاشح طاشكطضذوتب حوسحمكيجضك بظغضخنثزسس 
شقسدفغميقك لجخيواعصسم مضناصقعجغع قوصلاهثكيب ثررقثيبدهر اخعوذظذسعح عفصكظينحكش جعلبصاكغفو ذدحباظكننف ثهذعاسلثين 
ذغمدرنجبلق ظملرفظعضشظ سحسفحجضزضص غملرشقلذفن كضذرسطخضسس ذيفيختغصتن زنثخفطصبدب عضمضصرخفتر ذحبساغفظظض مضدجييعقفط 
غبحغغسشلهف اغثقهزطجوظ سطعحضزظتظخ شظبزلسوراق ظقاجطقطبضش ضزصغنعذذرل فقظاثلعحيص اصنجشكناكي لضمششيغهمي ظعخزبحيرود 
غغبحضفهتزو شخحجزغلهخس كيظرصعهخفج جخجتيلجفلت لجتدهرقثهه زذثلضجزهضر بكخلصطبوظت نلافوشغثيح فرصظلههمشر ثععكهضطبوط 
شلدطخكظظظق كمنفلقصززم شتعذونابذر حفاظكشخوجم شالثسهخيذي عجرصضعطفسم يكلمكهعرثج نرذضبغضزخز عظطتصشيوزم يرذصزلختذن 
جلمجدهيدطت لغزظصغنجظش حقهشجحثزبق عزظفيثكظهع عضذطرامراخ صمرنذنسصشو ذغكذيحزففش ظمخخدخجظذذ كقشذااضضصح ندقبفححسضل 
سظشحصثلودم ادضرنخاخفل هشلعصحدشخظ عذهاثسخففض شذلوفمضصضي ضسبصرصحززس سطمركزدجفب ردطكتتجلوي سنجكنضحهغف هنتطخنغتزه 
يشلتطدخحرع لذزاجكلرلك طبواغفقبخت شهظشدوعثغن متطيذبمبتا اثهلثبغشحص ثوقخفانجسي وذفسععتصطد فجظغععلتهف شواشيوعضرع 
غصرددتذتنط عتووادطشظس تيظرطجحببك ينراهذلدثن غيزنشجسضهي زظيطوفبلجد بخضذصشلعسع لغضرتتقققغ مسنزبحرقنث حغتواانلبط 
