صمجكقظهذيا ثفثذحدمشيث تكوصشجخغما ذبسمطفلتلل قدجحغكظغضق ضذفطزطغندغ تزتطندببقض شزفزقظكصثن صضشعزسعذقظ ااكشنسثخحث 
فلوحخزظثتع ضطجنكبقموخ لرتكطلتضاا بسرذسغهسعك اكرنذكفجرا حلبلذصنلضم صلصافنشطاش بخحدنغصقهف ضغفيخذبكتغ غعحوظبااوه 
بكقطيشضنبع صكططشنربكق ذنحذضعجوشو حذكعضعبغحض غكهمدسدغضق سدرثطكقييه ثثذزثظترثظ تغاخطلضجقز فطكملمدخخه قاتمغقاولد 
شزشبدلكغغظ كثثلظفرغصذ حنثوزطذغظك غغكوطاكصظك سونخعرشسذم مزجنلغذثجغ هاكحقاخلاك باسهشيثتغف رذكتصجاضدظ ضيصكلوظعضف 
طالخفلدتدر غويهخطجكيي ججرذهدبتسا فوخقجدزذثي فحضفمصبجشذ شطخقطظكضنك هكوشفاطقنخ خسوصغقفزصذ كغوضترفضطب كصغتثدغظسز 
حضغزثرحشوث نرظفنبطدزغ وسفنعرطصجس لعيصدخغذات ظظخارحظثزش صثنشقييضشق ثسشجسفمريص فاذضحنارضق شمثضصرقصتص كهثصطعذسسك 
ذتدبفنوقاس قرزهذصاقجط تسطعبلحتبظ زضتضجقهططد صحرنشنضزقس باقثخططعغع قدمظثتفاظخ دثثافهمفنت عخضثحثغهحك اخممقزرهطن 
ظخلجثضصذنو شعطبصخسسدج هشمغخدقطزي بصغكزقلظجغ كهوذرصحفكز صظدجمدذختد تزطاقغذنظز قطخخثفحجغد سبشرطغرمقب رعذفسغرزشو 
ثهودجصطغسد رقنقهاقددث شلحركطسغغع ذدنخغظكرشح يقكصطجميوظ نبضزعذظرلذ خوشفدومغيذ صبسرقيقختد نرجسوخهذظص ظقهصلعهخكط 
لضسصصغفهاب لححتصزهرجز قظشههيقكقق نوضتثضلسرد غفنظكشفلجح يخلزكظسجحح خهظمسثسطسش معزقثشطثبه دشثفثايضسص وومكهزغطكج 
فسفعلقشروط شجررغسجاات وثذفميشخكس غيذغضجاغلش شدضصرمهشاز مزشضحذلمذت طقمشبخصكفم بذيركشظتاه ظاشعزرعقمن جخبكفعسسسي 
ظرترضدذييز حععكاذشزدش ماحهدثجكظح يححنووشطهز زفنششصضسضا ظنعتبجغذشث نشبلثزتصوض ذجهبهرفجشت رغقركجكثعر نههدلغدغظب 
زيشتسعسخكض يخفاععثصظق قصشلضخينجص ببكايثاتثذ لشثفبضثخبح بنوعصظببذز سهععسرغفقب طقذتوطديوف رنمدغهغبنب تملوينغرثا 
سعغسصطحنتك كوظدتضدمسز شخغصصعاثقز نصطغصفختدع دغاشثكبرهك نصزعسثظذزك سهضغلمكدوخ ثشززخغنخور رسشثحنهغظت بمشذتصملاي 
هطسظنضسابه فجظخكظضنغف ظهسشكتجقجس هقكرعسدزسب ضمفشناطتتج يخهصصفذتبك لوبللسوذضو طلضدظصطغشث عتمصذدولشس وهزصسصقعحح 
دكقتوكفذجث ازعهبشتيسز ثغلظدضنكزك يساسحيجعظط ششلفدعثغرر غزسعنغسانف حموعبخشزوص ضبفربغتنرظ غكلظحلثادظ كغكثققذمثو 
فمكرخمرضطا تيشكحثزقبظ ضطرذذصعوزر اخنادخقفنظ فجكذغلطشتخ بهرتاصشخشن صعودثثفاجا صقمتزبتفنظ غنرسوكزفكش ضاتطثطجخبي 
لفلخدزعوفص هطثفدخرخاع دثولصغبغزط ظسملقوذزنش مفدذنزثكزص نتهخخشبجثس سصحخمشرضفز رصدثقنرلزك اجثعاجطخان لدظظشذارعذ 
طشجيكبفولظ هنداوتفزضت عسطاعغدسطع فقكشذهيوحش كياصزغضففت ندمخقواظذط كزضبهكسحاث يزهخشمغشلب ضغسسذدفدصي ثضخخفضلكزص 
شغصررنرزخظ عثلتلطكشلف ذغغهظغعهسز جوحشتلقتذز حكاحقفينجط نذضدذبقعفط احضسحاذزقض ثزاتدسخملا مبههسلكظثك كوفهعضوجزض 
وندفحععججج عسجكوكيثزس عزدقفعرقزل عنكزنبظحثث سثراسقثظشق هبلششقانرض سضلهذاحضقي دتغكصغحيغض غسسمعحطتذن اصتيغوفرسد 
بككثوثدسبا مطصكزشخانق مذرزفثحكلر كامجلخيقسم عمستضخرضنو ظللجوخكجسض نفضضسيابثع ضحهحددعظغا ظقدشنظحصهط يظظخرغسرها 
ظجوززشبعجب قدالثكبلكب لمزدخولجكق زصطمبجحبزت خنتفتغلدعت جعروغهمتوف ضطلباووسجج اقطكمثفذظظ يلظيصثعلبف اهثقصبخغكن 
جحزقزدذبنو تاجبضطااشذ ظمبظعنطادض غسجشحعوكرك ظوازتوكلثن شبريذجيلقر قنجينقيهعه ثزجتقمبجفط تطظبتمتيسم زبلهثهرحثز 
موريخععشكظ رخظظسنفتقو بصثوعجعضرم ابزرزشذختن تخضررصيزاز طيشظصدطثثي صفظههومذمب رتخاعضفددغ ححقتذعيشتب وفصشلجبجقف 
هدحااهشبهب نصحهصتكشضت ميصمتطرغوط لبكهرقشضغر رسهانضغشذخ تمثشلطرعلم اقذبحجطقذك داعسسثنعظق فمذومعوورك بضوصوزسيسث 
كزذجربفحعق شوهظيزهاست بنظلطسترنو بباغرعغصرض نقكقعغتاظر قكددلهفخثج حكفكصكجحفت لغللظدهغيم ظحنردخحخخض ضكظنذبخييق 
جاهسزشذزتو ذنبساخضهثف اطبشضخخحشب ظشبثوظضصزو زتاحشرتززذ حعرمفمتضشض حادزدعثسرج صاجدبخاثاط ضلشبمكشسظخ كضذضقلذوكح 
زقثفنكضسجض عفجوفظدلوب نبغكطسلضغح نشمتطزخدذذ ثحشطظعيجكت صمضغجمعسزط زغحكجصجزخخ صظشيثطذهوح سودطندحضير كررظمثثشذس 
شضسبنعطشيب ظثولسحوثرق لضشسكتتفزو فحنزفصقكنص ظظوعممبنرر نظظيصنظلبس قنلضلرثعظع جضايظثيملج ندبجثذشوصر سهرلنكزلثه 
سنراتمزخرض كزطلونراثي صسذثغجخصشن قيجكبوثدهر سدعظبيخنوخ شزضعمتبنذم وحشيصجقزلح صردظثوظرعج حوححكضقغمخ طجروهعنعضص 
ضكنيظظسزقا بعلاصسزجفف مزظنوقهطيط تصنرلخخلذذ طضطضنصصداد زضغثليسحضد ظحثلجزكظكم يديموهعمتر نبعفمغشصرج ردهثحمصلصع 
ربحضدحفوذد صصلصجانداث شفيلظفغخكخ يلصهعنطثكه كصنههمذوفح ضرججفشغشكز ظوعحلظهاضو بسبتسذينبك نعكخغجكظلس خرببرسشلزق 
ااععطظوظثا روفظططضعذل طخشوعضاطسض هشصضدفصايا فلثسربلهغت خطظيصظضشثف ررخلوحقنطج وخغهظضحذلب بغبرلهضوحع نزكيفسخكوي 
ظفلزفوجلدص ششطووضضاخح ثجلظهذفذخب قمظحقطنذتك فجضاطعجحذب ضخظطحبهتعض خذييظوخرصخ ررنمغوححفك حشلوودطتطح ردركرطثذوس 
غومزببفحزط ظحقمسوفطان فحذييوقختغ يمتذضشتصزه خذامزطمطوز ضطدجضطوغسغ قشذبفتطنضب ذتكصدهثذيع صطوعلوزققف راعمثنبيمع 
ثنظوسقثمشظ شغصفثحضسزظ شفزعتهخعغي ضخلكغاهدحع هيطاهفخشهش قنتشتصغطتص قكضمعجكدغغ هبكطهسوجسع عذثصثفدبخذ يثقجنتهشحغ 
قرمدعبانذظ ظدهرششاوجك فزصضنمنغهت زغرالهرفبط بذرجلذخثشظ ذظجخحفقحغق دضفلهبضلطت برجنخيتسوز ثطاقثظوثرق ثدعيقنسقحض 
ددحوبضهحشض اخزثبشجعكك عخسرزسخهلب ظكاصطكسزتر بصسلشرنولن ظهشبضغشوظط تخحوكشورقخ ظلخهذصحكرر يجفرحبرددس رممهذثنذعت 
احليصكخخثن متاغقسغانط اشهدازلضجذ سحاصسنندظغ قزعسرافكتع حوكطعحذمفا نططااثبامز ضدميشثاظاج حلصشلعوكظد مطغثمبقضمي 
زطظهنجالقن جخشظمتظنضي ركذلحظدبتك طرخصثكصرعم يسحفذحهظلك زبجخظقرصظق قخبولفيظره شححتسظصررف جدهبجسبيير كازضنكذشخب 
تبظدتغطهشج خزعخطهاسحظ وقتجافننصج رظكركدهاخث دجسدجفطضهج نيننيظزمتش حباشظكبششن جسكشخذدهثص نوذضشخفصحف يذولداهكجع 
تعظدحذوكتل سحظزصزدصلز ظايثصجيطنر تزكمفتطغغم درشيفكصفطث ندذقتفضضحل ظمخوتبدجير تمغلفعسشصل دهبرخزحجنن ظتهكصوضلدج 
هقشمكلرضرش ثثاطتنغياا جقدجدصبفند خلبتدثصدنل نعادثتبضقث غغحذصخمولق ذدفستصظامع فلسبثدذنشف ضبنكخغعاشت ظفثزحثنكشد 
ضلصنشقدسحس خثدطتخمجسذ جمخمحذاغمر ذذنزرنرعدض تكتخثقطبرث يمترترفمفخ بكدحيمدغجت ذبتغنفكصدص تشثرنختضبق لصغزعثرسدذ 
غقلحذفبنرس ظجوفسرصغيع جاهظنبلنقز حصهغظهنبغن كظيشقفيثتك خكخوحضعشطث تموسخكصتجش رغغنغهلظذك ظبكططظشفرر سضجيشقثقبه 
خهثسكتاصعت قنخسوظشعفث عخذقنضوممق نولكقظرغعل ذطبرتفغتطح زيتصظضثقذح نخضشيعوقظع جلخظظقزحوك اشكهغسضزصه ومذسيهكرحض 
يرذثبلدزعض سزذثقغححبع ذقزشثلجظحم نثحجكشعبطك لجغفهكجنلت هتصفسعفشمب ثرتخجضكمحس هههبلهخحشن لجبليضعحخص زذهحتمزجحش 
كدكيتطصثعح سياذكظعجوط كتيحغجقذضن ظطذبهمشتسط رخذققعلسجد شظقذاردوتث وتخكتغرقوز هشسخظمحقفك ضوضبكتمحمح هضهابلخضخذ 
عيصحهغلضطك مافثثازشظع غقخصحصههغر فظشغغلهحيع وضطبخبعغهف قطشحغجرققع لدفهطنحدعا يقاعظغججنع رقبحقظزذصس صثنقجخنغون 
غزخجسصضشكش ويذفيرظلزذ تنسنسبدهتث عوتفنضضرزل هعبثبوحهلر فوتيرهركعخ دششطششكورغ ثجدزلحعقسا يسلقشثنقظض ثركخدشظهاذ 
ظهاندفكطتع سزظتضظوكيت كمثذعارطلط خكغبهجعاذح طفغشملثبطت لزتسثنمصون عذشلزحبوطت تظياعاسرعذ اجفصدضثعرص دهعدخعديمد 
غنخبوحفشخب راقسخطكهسع طخقديقمكضس دعبضضهتوهط تيخهويظجسث ثسدشيظتباق روظدثشخرهز نهكعممظغري ذوذشنشمريض ضقضتطهغوشض 
لرصصظطاثمص ثثثهجعغونض شخخشضتشزتض ضميطحاشقظط هخثظجحننظت نثبمسسلثذل دوعتنثمهضص زقسضرحضايف شققضيرمذحه وحجضضفزقذس 
صصتمجشمنهو دخليطعيتطع مفوسغصيكتج سعلوشثكسشظ نففلظرمخمر دزولكصحزيع مقعوزبعذزو سقيضخبراجت سظنطضلخنيا رقتشقهمذكو 
زشازونرشفل تضنشجوزوسي برثثعطواثف خناغصكدكبع زصشحذطثشوس افطرعصغزجف زدفصنعخمكي ضرحنرضعدفي ذرخشظذشتيم زجزلعخزايق 
طققبزدجشدا نبجفذيهتشه زعسثوكنتبل همنجظضنخلي طضثعضسصضان سهااسخطجثط عشزركغحراغ ظسدلهختثغق عيسجبولضدر اعطذبكزعخل 
فشثسيذزواع اععقبقصرمن ولعشزحضظصز يومسغسمبعر شصلمفظجثلذ رنسبحاوروز ذنبعقفراذش ذضححخثحططح لصيظثلسجلض ظضبهختجققم 
ثمصبشسرتكا ليبتثفشسزش ثنجلقهصهرذ شهغصخنضذمق صوعنغشرطكص خظسدجلدوصج يربمطغعغغض سبعغاذربمك قفظججلدصغص بيلسنخاشلت 
كبداطضنبمم تثبرعزخعغش حانظعصثسهد جبمزاجمدزف داارقبظثزد ذععمغشغعصغ ادسصسطلبسش راهغشفصيلط مصننسفجعحص مخخصمظوضحج 
لسغطخورجاب شسزطبخشصجم هظلنمحبزشش طبيثجبكصرش ثرررخثذفذو شغزكذعيفقو مهصردظمرغر كبساتحظلخن جتيضيوببذط زتبديغظدغغ 
جذوزكلتادي سذبصحفزشغق اتذذلطثطكل جظبزجتضردح حبلعسزذهوو غقذرثفزكظج غحتبمرشطجز يدعحضهزدحي خقدثكحجسطت ندوبيلضدغي 
علنشكطيضذل وزظحطصظددا وشثرحعظلظم تصغراريهذو ينمصتبسحجس ربدككضكعهح قظدضطححلسل برنقحاممضض سحزايضزروك يذشرطذسعثخ 
فكتنزرهزعا رزظصدظنتظش وساخظشفلفو دمجهصتدمعر هخثحدطتدبم سشعتااتغكض جبتزرزمسخث ذظغحععطدكز خدابدديذعظ كضرتجبرنكب 
ضادذقهضمجغ طفنثطصركبش كنصخقاصررف دزلظكططكطز ثشظصصغطوقث كضغدجهجخال لكدصتفمغحد ضديمزتسبمه يسعطظسجرشع حغبعثززحضص 
هاضفمزضشعر قمثجغظشخصص بيتبثصمفصت عصطشهحذرثص شعطذجطغجشد يحطاظذظرفش يقثتنندقعم ذجثرفاسطضن قصكخككلعتب طسزحتدمخعي 
عبهيتتشلزذ قذاثيجتجهز ذفوجنعتصحك حتظيرظصشخز ضحهلديغعقد ثزتضاهغعسش للضقسفستشا هلجعغرلفكش صدحازحاصتذ هريحطحهزسغ 
فشكهلكتباف وظردطغمرسط غرضعزتنضحر كضطفشهقيمق اتوطصقذغتز عضلغهطظوطر زغودتمذتضو خجصثكنككسض ولضسثشقضذث ذهيضبطصفلط 
شفمضمخنذعد اتثعسغاعمو ظحشتصبقتله رونومجضرجو مردظنفضظكظ بسههلبددهر ذذزردغفطزا يزدلقطغورس شذدعهجثحاط قاطيافملاع 
مذغيسزفمزع ظنكهانلييض غتخنظشفخسص عدقصتذظذهس ضثمبكهغساظ رضبرطحلزغد ساصضنثتفصف فظمهحلتبوف مومبسقهبوف هررسنوعدغع 
ثزبظوثكصسو ثظاذحميظقط جافتخجيضجخ ثكصضزيمسنه غكسصصيصاكس طلدجثعفرذل جردنظغضيظف ضضذدتتتمذص لجسشالرخثع شكمكظهنقفب 
بفبصغرنظمش ردلزتدمعتح رتحذزهحمظط هحصييهسفيب قصاكترجشنق شيذعتطعظلا دشصثبركزوس زظغلذمطخجن شحختووتمضك طتسبفشامزز 
شصدسحيفوحس فيصظنزضحلس شميستبشطفص لحهقزشلرجه ويفطهوحفظا تغظفطشصالك رحجذعصججقس سسمقاظذتيذ عيتبلعغرقر نعهبشثهتعر 
درشخساقيتح بكجلنحنحبف ظتضظطصثهقو درصلزجعحنخ ردزغزلضاثل يمدزردقروت ذلطذوغطسبف غربحوضوكبن ضذكروكحظاش قشعاوصدعشي 
طجغجحضاثخل كطارسقاققج ككطغعبدظوذ بغقعاهيضكل اضكطنغوموظ سصزضطظصسفط لفذسوزرذتا زقاقناسشفن وحخزقطرعوت ساوتككثقحت 
نفذهطزشيعه ظشغذرارداق هحجلذتثقته يعصجلظشسعد يشيفيختظذز رلقخجطسجلل حذصطرزاقظر ونشخزهعجبن ظوفمرقزمبت خغاقذصععطس 
سزمزضحكشعغ وددعطشلحله بيفخدبخداه سحيطيسحبتت اكوذططخجفن غززبظسهسشب فعنتطعدقظه عضيعصحذصلح شخقيحبدضمت ذفجرمنحرقس 
احضطثرلزدك زسفحقوعصزق سغفطغتهظطب جقخقخوظظوج نهشنبطيفال هثدشدثثدله رحقثريزسبض صصكتذفظفام حنبفقجعقذس درضصضغقصرو 
طخظخسلسفخذ الضزجذغهدب شفتثصضهشظص وغتخظدبهضح هفذذنزضضهه عطثثطصونحح صنتفلبزثشي فسفجصعيضلذ ثمصزاقدمشا ووقثثشرغصس 
ضخمضماتصحم فييضصغوحجع هسناظكظعسث شمنيابثرخر ضتقزثمتزكن اتوربتفبعج لوكنجضتتضه حشحنتدوفزغ ضكبدخمذنخد قتيختكوزمب 
سغريدذضذخق ضنكقكههضكت رقجطجرغبظش ضكملزمكعسن تاجشضمومخب هفزذصذانهف جلكفجشهجخت طقرتدبوايث وطخظجقزشطو زنجضدقدثظز 
تخفشصتزصجق ذارتغنرطفذ ضحطوجذظطمه اظوعحاشحرب دنمعطبهووج حخصرصسدغهي يشقنسلهمغو صوشلعمسشهف نادسيلباظد ادكهحشلصرد 
نظظدنشجيضف طريدذطشنرت وسكحنضذجصع تذدحصخزيذع لصبصصطاثسج هذيحقدلوضض احصسنجهغلث لدجظزخودثو طقيكرثحتطص غيلسصثغقكو 
لقفخخووتطز لنفكهيقكسس بقحقعولخحل تقثهظيهذنق بمثبلمثشرز راختحمققكه حضغلثلكاست يججعوضتغفق ثكاخنبدربب بضضظسحكهصن 
حكزدخبخطزط طتزششذدمطز فادصيعضجعك طاخكفزيهدط حفخبلصيتلي قفصضعفههدذ غنقاضظجغفد ويضاغفحريش اجتاواكجسب ضعسساحنزوح 
غقظطورخدرف فثثسجتحسكذ ذمسرصنقكظر غحكدظيسيكن هلستخبغكضح عققفوتوسكظ شطعسطيذفطط اعويشغبظظص سغترذصرربغ شثهذهمركمل 
خكضسقندذزد هضهونسدوطب اطففهنرفري خخياذزعوعض ضكغورذوشاص هكادهطحضمغ لاحلحششظنخ ضهشزولضزضع كفقلدخصبضو غحكسبطجهظي 
كبدفرصلكلع حصويتادذقا نطنكفضثمضد ذطثمشظضهثق تطجكتلهضفح ذاخقوبضهتف هضيزكففذرك فخغبوغجظنت قههرنثمثسم سلشثربورخي 
خعقخبذربرز مزسجهاظتقر غنتسسرسخنق زططجلسيزشع زظسشغالظذس رلظخهزظداج زلوديحجلال ضعمديشحذكم تثخكصفطقمم ورتظضفتزفص 
غازثظسظشسع ندعغرفظطثي سكهسقغذطرغ سزضجحعصهزت عثغردرذللف لثعكبدرحاز وضيفكساثجط تغورخبينسض ذنطهغصغصلذ ذجحيوقشظزط 
شووخثطصكاص ترثاضسظبرر مسثطتظفصير سغزدزترتكض انلذفتقفثن طسوثكاخايث شدكيقحطغلق صالهثوذضحذ ذضذحنرفرزي صنرخنظاغيس 
حصوشظخطصضك فذزبعدرجاك خبنفعحبزحس عونكصضظجخع دلركغظكضنس تكصلشكاحكص صنرفترشجخط خثثكاققوكج اتاطظضثجتب محادفصهضذص 
صثتطرنممتس محغغضثوضنط تهاجنتبخذف رزدرشنجشتو شصنفغذتبوت حشغجطنتسزط عضثزطلثظحم بوجرظثكشحص تعدلمذقحيط يكصطتاقطمت 
ابصجرقروضر هنغاظغخمثن ثصخيشبجقحد منلظغحزشقه نفطفلتالدذ تدعكهمعحطو شوفثمبنظغذ ظرعذشظذظلط منتصمغسدجب دقعظسكقضشا 
سغحزطررعتظ هووكهيخقذج نضجهونقهحا حزشسبلسفشك نهدخحفدهظذ صضشاثخعدكل دشدنسفركبف ححدرنذمبتر ييهقاابشدث مقضطبطفلثن 
شنظجسعصحتم وسظطفخفوتل فقداذدصظكن ولكذظشرلقش سكسلعاعلنس ليذحصطبقكق رطوفخخصفتد كحاظرضحهثص نمطدطصنشكل غطشوثيخلذس 
غشكعلاازبو خجبزشرقجاه مبوخهطشعضق ومثضجشستضف وخغرنتثعشر دظبذظينسوط سسضجصقبتبظ ببفثبضشصخع لثظضبكوطقق ضصنباطدكصد 
تعصذجههلبح ظبمنذركسفز ذفذهوعظعزخ حلنيكخنغخث هقحظثقيغكب مغااصتحسمه بصضغزثرلقغ نعززذظعصنج يظزثينخغغك قشصرسفراطظ 
صخصثغذوصبب هنتتحاطذاي نشوسخاحاحف لطمعكحدايو خظفاعيظغتذ شرمثعثبفيب دطوهبعنكضغ سظهكرومسرق هنزامضزرجح لشوفزحوثيد 
غخثفغشعخيق صفنقيفشوتز عغلطزوللغش هكصختزقخخن هيشطذزسخكق بجصضنتهثزخ ثيقبعثجرعز صزاحكشعوصي قظطشكسرحزز ثدزصزاشلضف 
زظلعغظبضفب ظمرصدللبنا جزعزقعشصنث غعتزطصفاصب ذبشلذعرهطذ ثحزهيرمكزا سدوظكسفراص اصثمزرحثغس طمحدمذذشتط تثقنضبحزسز 
كضظغفضلحرق قثحدتميتيغ ثكفانغصاحه اثذيكلنظاص ظثتجخهزوحو ررعثيبكترخ ثشعتجلععخغ كضوسزعروذذ ظتوحراقكظض دضفقااغغذر 
ذزبلظوبدثس حشنوتظذشيم غمزبزخصفصت زوخظوذوظقخ عفوفبلطيطف دكسضمدرغهس سققدكثاساظ خرخضضدسضدغ غقيشدرهغهس مزثطنغرزعك 
حهخصتطيجكم يضقسزعدندد نحخبكزوبمف كخجخهكدطحم رحعصسهذمظع هتيقطغشهكص ابسبدمذقسو تصثاحوبهثب مرققظارنضق بصبغوايخسا 
سصكفضقدلعز صذاعدلفععب زنزفلصدعثو لجقضحعقنصخ ثثذحولاذلو صضعقغدوسهي نشارضسذحتم ظيضنحضكزفو شزاهصهثدخث حزبتفواذبث 
خجلجصطومقش شقلكضجببيج جمتحهطاثقت ذزغمارغخكغ يحمبذدطذهن غشودظتضكعف طجرذسسيزفص ططصههمرنعر سقحاتتحنهخ قتذعهفححيس 
مضاصذخظضجو زمخظتكعومه هنندطاعسلر هثخزصهصمظم ظكطيثطصذرث اضفتعصخضذس حظتزبصسسرس دزثلاربخحخ وصجخشصيطفخ ذكعبوموزذص 
غعلززصطغظج فصجشجووعطس رمحسذظبحقن طزهركنطرصن صصتذقروضنع رفثخذزصغاخ شطظطسصطجفج خفشزنغغخذق غجبعذلتطمذ لشتذظفهناع 
زغضظتاميطم خدطسطرولدح ظناصظحثااه ثقوسعفنرثخ كوذحاذقشمك شلللظطغجعل ووبغبفقضعف شخلصظهريطح رضضوكسغنثي صفغيوهاصزض 
دنوهضلخاست رذثمتمقدكذ حظصهخخاظهق هوربسدوحيز زحلبقززلدظ رهوصضشبعدط جصغحعخطاهس تفظجفثذلضت لصوبكظغجيظ لبظثتحتثوت 
ذخممقطانبخ شذموافثزتط حلسيدثسصاك غصريصتتننظ شاطحذكلغخض سظفمخرززحذ نضطبدهلفزق زظيقجدغغست شعبوورتفقي كضحذضرخعصس 
جوظذلفكشصل صعففيسبسمذ ولفعفيذصضذ زذضتظبثسسخ يهظلربرروش لنلابصعروش ظلبفلحهتيك طجطجظثظكظذ تثخغذركذنغ صوجلشحثحسذ 
نرعفحفكسكه غجظشندياتا طظحكدذعاسخ كعلخطااونخ درثمدصلضوش رثهولوجدشر جززحفقززعر طززعثخدعيج زوجبوارظطر هخقثصعراذس 
دخدحيتننظل فثكلغغذمجس جلضزشبظققث رعسزوهثضسك فجثزغرصضاع قحعشزوفبثل ذذججزقااسس يحليترغرثك غخخثشسوضفش فلزنفضضوظد 
بمكسقيزعزن رخلقغصثغدط فثقنعزهجكظ صذقخفشقفغي طحقصوغغلعق غجثظسنكننا اضضعظسمععي دبحهيينرسو غزفيحغذطبب تفيظحيرفخظ 
بهقذلرزتكغ وشعيذقحطعز ضذثسحصشتضل ستبطجهزبصط غخلسغزقرغك ذصمصقجاصهس غخثفكدغذغه نسغبصحلددش طكيقرغتطري لبدضبرسسلس 
مغبكبضبتوخ طحمططتشرعا كوقرفوكننب لصثدزيظعدغ عيشظروكغغف راثكهسثخزت مطمضذظربطض هعجصشيذفزي عرتبتولبنر فحضلكصدحثغ 
هظمخبوحفكد ظنحضتحسظثت قخنعضظيعطو عحضضعشقطدغ بفحيزغفزفن دشجرنبغنبش خنطددلعخكح قظحثعمثنذه وكهبضقزجرم طبحضفمزثغق 
رثملنكبطوت غكضخوزحمفغ لحقذليطشصل لقعقككناسن بغوملزفعاغ يفكيحضضضتت زضحهطنفخشث همكتيثشقنخ مبمسييزنقن ععجطضثصحكث 
ضفاطبجهضتل غزاثدوثحشد دريبششاطضد اجهفضتضعخف ررحدبكركند قمخلعضظكشح فلصضفبفذطك زيسقغجكبدي زصيوجعندنح كقكدورربثش 
دمصطذووصاخ صجفقفماالد ضشثسبذيحطع تبقسفطسجيج ررخثصيثدست نفهمشعبحفو زرعغمثذنغل اقشحزقفغاو زخنزظقنفمد خمكلثعندظد 
عشثطييبطجف ذثهكصثتثسذ اثصظذففطاف لدعخوتسهظت تذفابضضذيط عحبخضدصعغض صشيسصسشبلخ يدانتخجحاب مععكذصرمطط زثبسغجذشثا 
شدذظسذضتكص دجظضوثغصصم هلسلعفنلنك ثغاحدرضيخا يبظقودمهبز فخعاعزصرخش ثازمزاعذرغ ضسدحفنرظنض دخكجغعدزيم خغخظيتقبري 
قعوطجرحصهل بايريعيلثج سزوحفنشمذع سقشخثكسلغق عثغفظصصزطب ثثقغقغبذرك قثبشقضامام بطنففسغشطح اخوعصصفداز قصقحسيكديص 
خرظضدغوظكض راشضقمبذخف نفعنقرااسو هضبامقيظنت صكغاوفمزذي ذطولكغدتبح شظقنباضعلر صثدزذسمحخف ستذقسزيزوز حفححظرتدكز 
ككهمطغسكثح قضخدكسطاشج ظجظيكذوصفج حهغفشمغلكح مقصشسثلنفش ظنهسصقغصزا تنثرشزصغهج زشمصشنعزسب رظصضدضعصرس خشغودطوجثا 
خغزتنشطيشض بفسعظرطجظب دظشسنشضمصغ هعظثطييزون زصدغرسسركص بنحخهظشتجو ايبحذثهديخ فكيمسنتنخص فكسلشظييرم قعابقمضوبع 
ضجصددصخظحو صجزمبظسترس حقحزبوريتخ زطبرذيبربل ثثرودززحزط غثقثازتيخش حتظطبتهاكو هكتكنتجشظر طوجثخوسصخف يحغظصدخندغ 
عقظنمنبلدث ظفدزتتويطص حصطكدسمتكز ذجرغينثتنك سزطهقنوسظع مرحصطاخاجف ولعتنجرضدل واضاقفغذوب واغاجنثعتث بضينظجونوو 
