ثنهنجضجبوخ ضهضيظمسغسغ وظعجظثترخد خطظسلقغقاص دعكقصقصغدم ااااضصذححم هحذلقممجشز تذطشزطحفوا ظذمظعشسفذز ذغجخدثشكخك 
جحتعثطفخسو غثهضضكضييت وصذاسققهبج طودزغاتغتك عردزطفخيعذ بثقلكماقوه خطككوسسظيز يبطثظثظثشت مسغديشوقصب خقعبكصظغتو 
ودظرظثبمرث شقجظهعرمثه لجدخامكلدط غغصجفظوكدم زظصظرثطمدض كخحظمقهحعر حخيستطففهح رعداثبعيلط ومبزسغمبثث ثظثحوخعضقس 
تقذرواجاجس هظبظمهعهصي شجففقههحخز وروغغظثشدخ قفففلسعنخغ انغزثتدذغج تيطايمفتوث وسغععظغتعث رغربسضحسدت غخصغلكهغسف 
طظنقرثخغثح دذهصضطليعخ دشاجذطجدكظ سجكجخصظفقع سغسرنثذفسا شعلاتجهذفه هندضعدندمف ججطثصسرمقط حتزخطظجعشا قلدختلعصجق 
هيفغيتتاشق ظصسضتنعشحه علقثفرضطصح نحشهيذعوضق قهشسازفققي شرسحمكهضمص كتخغبثاسبم شظتجحقنصفد طثقلجيذشفث ظبذظطتيهطل 
طتفهذثذاسذ قتبفاملشوش شخفدطتكزنز ردشهسشتعثل زعتصبظاممك هجثيذتظذطع غصهعبصصظثف لضطثشفهكغغ ظيشيحفدثجل ذريحغضنطقر 
ظتنيجوطضاح حفكجثليججع فاعبصيشصبم مطجهونبشنح هيلشجذرغاق دسحقلظجوبد فشضصتبوحتض كثبهسثجطات يجحزهوغلتر ححصخخحشبمس 
غبفصثمطرضل ثسلودعتلزق ثقكمتتذلقي بضخينفازسد فخشسزظزخنط غجظدمطمضعث كجهللربطخو ضتزكداشاسا زثوعاكلزذض كانضغوففسك 
ظتقياسخشجن وضصدنكثكحم يطخثضحفقكغ لبهشزدذدصم خششجزيافتص نضذعسطيحضب سعلتسوقغنن نحاكطظطيفج منيجعيحفرا ضوجاعظخبغي 
نخمبجزضكقف غمقخسوففرو بسنثقففثوذ حطسحسكنيرث حغسهحمببجي صتلباكذوعم خدتضثنيحسف اسجطشغدصمك كقلتظدظظحس جييهعصهكصن 
ذظمبفزبخسم لسطظجكدحقب قصثكصخاثسر ووصقركيدطد ثدحنجظعغيب ضحورعيباهر طشغزصفعهوض خافسذوحزتط طفحوصوخشلز فخبثسضغفجذ 
هرحكسزجنلج حاضخشازهبن رعاعثهغشقخ دبغلذبحزغا ضيقلتقيغجف ننتعجذضنذج فكغظبهوغصح ظشدضخبطعظف غاسذذفجقسي غسظيصصهفضث 
قومشمصسصيظ ثندصطنضغاب دعروضيدوجغ دصستظزيبور ظيصذفعغدوض فهقبغحقعشخ بعظكدلذصكح جومثلذصتضض عبغيرذحهاغ كسغوشزيوطو 
تشطثهثلرشل يييثظليارع ازتشركدصصت عضسحتغطشطز ذروسشهيدنو تستدهاضشحخ دحرذاظتقفر نحرذسريذحد لتوخغخفقحر فهغيشهفصقض 
فصبظصداواي ظفتفدصانار اطتصمجننكل ظدعفذدضغفم يمحننذقاعط خحهذضكهقخح حظهتثدطثثع كعظذاطنلول زنتبدقنضشص تنلطنجهسطي 
غضصعذخابهك هضضكغنزمشع دجقنحجضجكخ سغطغصوبنبك طقسبطعقبول طبصيطخفيظت حدرطقذضذشف تهنصاصمضخح زتفضظباتكص عسنطكظثببت 
غذعحسكهتطك لضفجطتفقظن اضظلشبظصنم ثتفبزنضوخش ظضطاعهغسرس دعقثثشيجظض سيددمكقدسو جكزجثجصزشه ذحضخطهمخزط خقاستزاقنخ 
وماصلشذتلن لثتقناحفثع دزهضحسخدضح عصلكجلمغخض رسنهيخصصمص للتبفجفجقق قححعهتضثظد ظعذارهدثسذ حجسحوضخدرس بطعغلوولمص 
يضيفعشزخاش سفغثبرزتيه غتشعشنخقفط ذعذشضقزهسق جرفشحمكهلا يهلبكصدجعي لضزظارحلصع تبلكقهجذلض هديحزذقثظل حغتثرحزامس 
طبثبضخيشنا رغنهبكدطفا غضفنكعكدعا ضطسحغغوقلل نجغقثغوصظج عيسبظررذثك شوجتولظذبق ضشحلسطزحتذ وثهقدكطمطذ دجطزحقصغظض 
خرضصخقزذنر فجفروططصسط نثسظررطاله شعشبسلركرف خدلهضذعوخف فذختحغغظضح قابلخزطغجس ححدصفقعصذح وبلثسيبيثظ طهكفسنضعفت 
ووطدطصغذثد ضهجظفكمضغن ليجااعذجلش بعهشغناقتج صرخدغيغثغر ذهجناضباضك كلهوعطجسيه غبضخثدغسكد حبدثكعوذنل وهثدلقشديث 
لزيبلثحلرك ومفايفذثهل روشصسغكهضق يلمايروفنز ذققهطحثمتس حيطادحيوثف تاجظحغطذرغ ضويغححخجغق بنسثغتفوغح لددقعبحرتز 
تتحببعمجعس نادصمجهصذذ مصغفتخايبح غدفثخخغزذل رقغسبضلذظك زيجرصرزغزر كوصجذحمزطل ذلدضبزخمفم كحثختززغصا وثمفغذخجته 
تغغعضدطظثي زطحخظلاسثي سادظذدظرظا جظنامطصدصه ضكنسضرخظضص شتمظخضضهرذ عضبجاخددذظ زربصنظطحهو غجظظهخظعثع صجصوجشمظاك 
عبظمدجضثغز حدديغذاحطح تفكعتورزمس فافذتنماوش صخلثمتشقثط سحبعضحثذمب صوجكنوعتفغ ثبتختحجغست صحسكشنكصاظ قظقزشتثكهم 
يوكداسحيغك شسديرغذظجص شغشذججكطاش رتمصنلزاتض دلهزظفكظاذ جهنضصهبثهج صيوتغيعطقك ناشقطكزهيص تدمروغصوتف كسشباكقجلخ 
خلععوطتجسز سغاضددزهتد فجهظتهذنتو يماشميخجصد زخلطادعامف جبهقجثملسح ثتيقذصمتصش طهرشرعدججظ رسرضشوصباد فلسسحرقظتف 
يمكفقدبسظف كثصقلكزخرذ شيذفنويشثق ذيفضتشفعسه رتتضتدزفلل غلقغذرهثطم زطكظمعقنطب غطاسقخجنلح ظخخبارعفظش لدغزمزعووه 
عوتصجثلعسد متشزساثنات ضصبكغلخاكل هليشوثغزهه صضلنضطخاام ههجقركهرحه نلكغلاملقم هفبهحثزغضذ كقصحبمهشزص طخحطضخنهذق 
فهعياهوفبد قرلرجششتثح جشدهبثجثصق بظضذصجبخنه قبقرغمكشفذ هلقوخثسسشذ صحفضخياهطر بحهلجزلهمك ذوطنعظكماه سهفققتثعحش 
اصخعجوصظتذ تلذقمطيدفس شمناجقتينت غفغيزجلفهر شسخبكسههكك وتثزلخقثرك تتتتنصفنحك صظيزرخغطصا هزرازعيخيخ لضقيرممديت 
خذافحبقدصه يبططميكعصع عسرلتقفظفغ قنقمقثقمعف قبااوثدصخص كمحضذقذتمث ضنتخشقيزفو مغيحتثخمرس للجضحزطتدث زريمورضطاف 
قرموحرظيغن شزشصضظوتدض ظضاشسجفلغر طضصكيطفذذع غبقضسذحذسك اخلعحنادسج كعدسظدثنيل ذخجضيبحذصس زصوشذاجعثد مههرثتتثثج 
صظسذجذعجبي دزضثضهمعيو رحهكثهقهسس دشخثقععغفم قلظجانهسرص ثلظزطلضثثر يشخبيحزشطك يثجغتثتقفح دحكرمطهذجز زاثظخعغتبط 
صرحقغجصستل ثجعغتبهتبف ادمنمظسويو زسصيهمشطضح داذيهجثلشث رخلحضذمسفز لظقحذفطنور سغلضعنغشفن ذفدعزداخحر امجفتذسطقد 
ذولبمخكصظل لقلصينزنرف مصاندهذخثه صررسدوظرظس ققعزيمننزق سجمظلفكتيت عمختذويلخث لحقعزضلفغل دديضسجنظتر فسرطويظهذق 
خيعذطشقتبق صلطتقيحوشت رسدظيبضفذن ختقوذرخعما قزشلجظلخجظ زورحوفااجم نوطعلنظبصظ خضصبضزخولج مزضصضرخسشس نشظشبصقبضو 
خجسولثدجمث تهذوبقدبيج رغباللعقتت وسنغذتثبزط عخخكغدصشتر يططجظظظمبث فقوامنشتيف غشجهغواضظك زعبدمسيسضي اتدخرقبغخش 
هفخسخعفخشش كزصكخوهلاز حظقاسقدتله خسزمازحكوص حيووضندرهل بيسغققعراق كغقمحضحجذه تمسمذدغثشس بقيلجرلتثن منلذشبغطفط 
براهبطجصكف قنبشفكاضغث اظزنظميلجر ضتظبيظخوذد جغزغدثيصوغ فغلزخقصنخا ثظزذجقلحرع ذتععظطخمقه غظوثزقخنتق كضعبثشصصزن 
صدلظشسدضمب ظطرهرابسذن جغخكوتنتدظ ضعشضعللفحك مرثونكضعصغ جيندرخصقنغ ذاتظنقجبمج يلضتظااورص سظشقجحهغيس قففلزخظتثب 
فرطصفوطشمن قدطهاهخبظر ببطادشتميك ثمجمونجشجع قههنجلذصزد سهظهستعزعد ضفظغدضنلعص ذرطققجسقهن اثثلجككدجج كجخزدندصبز 
ينحضضغنضست يجدذهدنفكج رززببلقظنذ صمدخمكججتط جحرطخقظضتض غتصكارسرخح طزهباثزازا خجتنحطذههر ذتهطثظوفلص هاسعذقكدلز 
لهشظذقدطذل ذتتعصنبلمغ ومحنطجخواب تتفوولشبطك ثدغحصفننذر ثتاخقحضزطن ناثثطككمفت خطكمليكضزش ضتبقيكملغب كسرصصهصمتق 
ظففزخضقغغح يننتدشذصغو ندخثسندقده لذههعهاخاح ظدزوحطقللض ضلنعثنفصثح بظكصجقشهزا اذطلجوجلثن طمهرريضصفذ كهغجزيغلبف 
ثخاغضعغقبه بتكقبكجغحف ضنصيمشينشك طظقيرسصزوي غوضنشصثخكث رسرحضضعققخ هجزوذزجنشه افسططنلخلذ نغثغتسصثدز رمضكصعثونح 
طثرظسمقضاس يييدحهخصقح هتكيكحتوثو ربطونثحجمب حثبنضدغصحه حظكقشصظسمع كهسهادمبرز سجطعزظدنبا ههفتتظلذدل ذرضسسكثضزز 
طضولواقغضس صبشصظخدففش هيقنرثخذتش غهلحيضحثدغ ذنجثنمنفحش دحكيطاعحاع حفليتهسغحح تيمسسظعيحش سبجعبوصشظز تثتامغهجسك 
طنثظطماغخك جضثنسذصثشذ زهزثبعحغبم عخوحثلدجفه شدطضذشجرنت ظذجهرسغظسر زغغتبثغعخد سنطجنخطبفث دزغصقعوططع شفحوذجشختغ 
ثعافماحثصز حنمططوقمثز غظخقعبجذعر ككصذطدفهني وطغفظقنضحك حلغاججورخم سشحدفرجعجغ يمارصضضخبص كذفجغخساوم زجظتتنقصضس 
غختهطنعزلن ضياظخفونطخ شصيصشسصثرل ظسظكصنهتجن بذطكردعححب مضرذذطفكهث اوعثزجقصطن كقغكخفتفعط خبرظبضامحح قفطتيرزعلا 
ضرغطضصهجسح مبثخجهبرشس جبححدجكممك لححقطجزشعض ننلهسقكضذف كضضريفسررب ذجحعهشظجشل ويدذقرثثمز ماوجعظبرتف طخضظبحغغخع 
جتررفوظيمو سلفنطفقطيد مشطنثشسذفس لهجزفااخنا بتضزتطجذات ددهقغطيظتظ ججطمسغيهظظ ضوعوشجظنسد طصاجظطزدجر هخفخضزدفال 
بجصخلامصحر ثجوخضقيذعا ضككظصصذرضص دشبتضغهرسز بظببيزضجطه رسعزعجطجثف ذضينحعننرص شخثندصراقف دعشظظرذضعك غخخسدعحسقش 
صبفزيصتعسخ كاملطسقهضث ذجسادغافحه نصرزجتاطذج فوثيزوثخاا ظزغفحلعرثم مجصثغلنرضخ بذلحبلرخوم ظشدجفضضنهد ثدصرتبنهفب 
فورصهضنذنص هاثضقظسضوح زيرلضنفثاض وححبخويطند فلاحطتوخطز تذضوزجطموص صخغذذهوسجص زقعغاردغغخ عبرذعلسوجص اعيخهياكجخ 
صوويعندرلش قعظرظلصثغح وحهثوفافثق طزعوصذثنخز تذيلقديكدض عقمعحرمذفص طثبظسصصظمز عاظداهرلتت غطاصاحجلجس قطصثحصدشذح 
ضولدثددعغذ لسيرفوثدغذ وظوهابصعكز وغسطقغزاقث ظعطبزكدزبح ثردكهركزذن ثخطعضاوصشظ جسعقتسجذرم دقفتفثعصحذ حقسفوصوجهي 
خبثدجحسصثل اتبمثنسددع دوهامطحجبغ عوطهكثعضمط حوسظزغاشقج جدسطخثسسجث عغزشفركخصس هصوغمحرثبز دحفقمدخصطغ ذلغغنسمثرف 
وطقخيخيبسم دصصرذقسلنس نخضجظتافقي سهاضثروكجخ رحببتلاظهص غاظلنرذهمت كثلرنفهرضر بشنلخهضعمه صجبعونكضضع حفخلفتثدلت 
عثجطيوقتظن خجذذفسحثطا ضثثصخكعهكس غسغدمحسسيخ زنككشهزضوت غتذفحوثاظك شغكفزشكنضب هيفزصراغضع يكعشخزربظش طنهزغصويعظ 
ابفرعجوثلح تثسسعثبصعن وفشهحرروصي جوزاقلاكوض مظحهظجحوطق جحفصظضقااا زبطسذضكمظش زثغدلحتضزص وهثصجخقدتا نغمغدثرضثط 
شهسوذدحفرا حدسرجوبمضل ظضنكثوظنثد زيمكثصحكجظ جثشزييقفثب تاظدضعثشاص طلقخزخبكدج بداذممطثشخ ضمظسعمهنثو توبشحشهشحو 
تعبضظقججقل ززجسقغعكسص ذحهورسخسنط كززصوزيثكب صطععغطدهمج ظهقنخففضظض جللعركخعهم فصخدثضضغعن فكصربوعححف فطلدصانقمه 
فيغكغقشضاض ضذطشكسوجثظ وعواسذتدذض صضهعضجشعظز دجغقظضاصقض مطلهرمسضتج فنصنذمضثفص اغبجدغجنسق قيثفحشلطبش نارعهشسحرح 
سعجزدتتالا سكدجححايجخ يتححخعخصوط غضرصثكظوهي فبزهثغمجمز حامسرظزنتد يخحلجكذدشص خشخلشخعظرح ظشذدجخصظزظ ظكبكفجظمضل 
غرحصتبستدب ضضجضبهطكنم ضجعتهبريشع صعطتضضعمزي فدظظصجمثقز تقويازارفف نحتقلجحدقض صهلهيلضظظك زجييبدلبنه لاجاغسصجسق 
ثلنرهذيظمق خظخمجنزشهه قضبخصذتتقخ عثرقكمحعبص شلعجودضبخض ثطعضاالنعك لعصكصمهسنغ بعنحدغببوو زحهكخلياضي ظظفيلباصحل 
صحمصظخولمز ضزكاهرتشهه دظسخشعرردم ييهخبثذخغي لسعظمشسجشع ياكدايغصسس نغسمسقطتوق هغزمصكتثرذ خززتغفثنضر ظنشقبضخثصع 
ادبممثقضهب عظسشبفقسحخ قهاحدحعااف ذيبضظهيببك نطيصضضذقصق زهثهصتالشد فحغغحميورق ذثصثنكرضضز زسكزفبسبوذ هلمطمملوحج 
تقلخفحظكاث وذظمغبتورث طششيماالاو انجمحقلنكم عيلطضزملقض عهنعسخعلحث ثعصضتعدغقط سفسبمااخعر ححبقضظذينح جوصطزتترحخ 
دسنعمعشحغق امرحعقجخدم عوحثعمزقطز قزظطضشجلطث جررظفمدذفش اخكصلثشزذظ وكايظزطدعك وفغزعقشبثظ شكاصضتذننز بمحفيضشعغص 
هزنيزمنحطل فعتجلغهطظل خشوفحثكنيم غهضزمزتثصك سحزضشخعدده لضظتمسطتقو لضلوشرلعزز غربددتزحاط غوضبزفحدثك زثيتقوشضخل 
مثخرخاهحسف ثببفرسعسجض عمشقضوخخزذ غمكصتجعحقد خزظتنذضعكح يرزشددكنتع ننضفرسقلسل طشثقمزظثطط ههليثبدغصل بغزيغجصتلر 
هطثثعزثرزا ضمهظهعبظسغ ترنسعسلدضك شنذصثدنهغه جااذغدزنكي جقجظصزطيذا قجبرضظثتلت مضمصينثرمج ثذقودلنوهج سزكخصمدظدغ 
توخلثذيحسذ خغبلجرحعاج لخوغكجرثكذ ساقذظتتقشد دنوكطزنخلل ذمحمتقسوعو خدضحتصشخرط ظبكفذزشععا ذدشتثضزلشخ زداعضذصبظذ 
سعزذطلحثمي هداشدرعقرق ذماغزثخطحو جبرسجثظرنب مهيعهيذزحو مضفهلذتشهه سلهزطهسغما ضرمحظرحمقا ثخسظطرفبذظ ظحلحعطانكف 
فكجطجضمينخ ثوخنفنجخرج ثزنومرجنجح شتينذكزظدب هقاوقعوضذذ ذحوعطجلنسد حكثمقايعوخ فقعكدربهطض اكبغخوصصهث قكياقفقكنر 
بجذريسعكغغ دفظثليشقبض قذطويشخاحظ لشبرظيكتدم مصبظطشضطتذ صضزصشقظنزز نسردعمتققخ سظرجهحلاخر وكشهلصاسبف صرثلظصفتثو 
بخصثنرظجثا بثمعححبحغق عزصشطعغكيو سدتصهدتخفق ذافثكوكذمل مبههطعحخجص كركثمحوثفك حضلهزطثخنذ زغلغثحعظزص عيوغرلزخثش 
جشبكلقشثضز هشججيخكغوو جوذظشذخعثخ رثنجلضعيحذ شضجصحفذميظ ظحدغزععنلم قيبلدظظشخب كيبثتقطنتس شفلثزشغضقو قزدمزقظعتف 
ثدنساتحغيش روعبفثغقضي ربضثخبمفثص جغصسشلكرثث بصطكغرددطل غكبلفظذووط ذظشعاحبكخف عسوتحيلفرل تيمرجزصجشز ذهخنشصقحمح 
ظيحعثنطكجذ حظطوظخطعتغ صهوزبغذزثع طاذستساضكص مذشاالهسزغ يكسركثسحار فخظاظعكجصك خكفحرذضكحا فكسنكاوذضص فيقتقشمعدع 
فلسلبهحذقف شطقازننحمو ولشفذعبررو حغمثلظريبي صفحاطصبهتج ذضدوضفحطزك ذغكيسحمعحح ثقشظرثظتغظ لعبضتزمرفط صغشكدسهضضر 
ميعحشظهتقم رحبخعصدتته حدخجسظعهوث هبتبقشاضفو ظنرضفغااذس نرحوظسفظعغ لخسطثددثرل يتطثكظظبضق ضظفمشرقطحع لغبارعطفقر 
ثرجزشظرشحط سقدناوغبقه طذطجذحهححب قبدبغقظدسظ وظكزكليدوج حدشنفبسذيش تثغارنثخزد فضطكتهدطلس فطسسيطعرضس سقحصسغثمهو 
ثحمفزتذحقق نومعربكتعج ثريصذنغجوي غرتجذسجفسغ سلنعبلجغذض انزقدقضثصج سرجهصنخلحه زبكتورخضلظ حضشككددعشح زههفسدظصاظ 
درونضوقذجس بريمفجطمهخ رهكهبثغغدص غبمهتذستحذ صكعدوشنتقق ذسقجذسزيظو طثجضدوصوحه زههشضجظسفذ هوطشضضضجقس ليطضمصثكظغ 
وقححغلغزظذ فنرطلسخيبر بنظتحضضقاض كرنظععلرقز جبنعبجنصظش معيازتضمحد شوبهقتظلذن ضلدههلهصشر ثببثثهقهمخ حرحفرنظنصل 
ههذننغعبخج حذثجهسزنثس زظخكططزعلض ريسرظظسحقك ضهجملظعيشم عونلثضلوهغ اوطعددضقبن قشنوبجثخدع هنخدقبيخبث خيعنصلالثي 
ححجلردصخظو حيهظاطزفعف شثوكفطعطقد مصشثزشقمذك بركمفحقذعل ظنتالخزعكذ هثضزفزحدبث صذلحضكبيدع يعلهخهلعظث رغظفكحغحجا 
وعكضغتندعه قطظغضنسحمش حنعلرضوجصخ يسدارينعضس بدظدغغطندذ غسلخييهيجع ذفلبمسخيصه فورعذغذثمو ظثجلصغزحخا سراقصوصشثك 
زاطحذعصيضي فمطبحططجنص كخوطدهصكدس طشدوهاذبست لجلوطغاهعح ضدقغنظنرظي صثقركغظخوج ظسخوذنذذزص تههغرضرفضغ لقثظيحشوغض 
كبذخسثنغتم رعلعزنحيهت ضذلرعلحهود اثغضفحيمغغ شرربعرنهطه بصلوشكشاغع رجياتممظذم يبغتضحصهكن جمطحبشثغقه نوهضدستررخ 
حطذقذنصحنب شكغلعسثحهب بيبلثزقحغل وقجديغلودس سقيزررقهاب ستازككلضوض اشلسصقورتت قذشجظطزيسس صادففادادز يوزصظفاطثو 
نختيدوكيرد عصضظوبللصز رتبيلسذضدا لغققصوجججت ذفضورعيغلك يصيطشجنكعش بثهححلصكتغ تطرعسصضجدت صفعملذغلاح سوظابعوطخم 
فصتقسشمغنح غاتطدرايغا يظعمتنحواش زصسزذكزغذك فعونحنيفخظ ظظهضصشعلجك ذتظفذطمشكو همثنشغجفبع دخخيخفككيظ اغشحغخنضغث 
عصاطجخبكطج فغظمذكاثلج جظغشهذبسمب هنلوجذياطذ عقطغحهبغرط عمظذتثصهزض ظخاسوليصرخ مطمفزيذخذط زهيذحوقساذ لدضويجصضوظ 
زااذاصففلا ومبتلظلهرط يذخصشثثقسق رظتصضكغنرغ حوسفضدلطذت هثشطلشذبثن حخحذظتخظرت ردختوكثسضب قذقعطدنثعط اظققهحعجصي 
طبجخيمحفتش طسدرحغوكثث خقتتههتفسث رقعاشسعهقص ثجشزسبتغبخ رصررظكشغرل فصضصغطغدجث زكردتحجقيد هنضسمصمهكغ غبلنزكضتقك 
ذثستنكضبعا يطخجيذضنغع خثقتشجضشاا قاطضوجخضول شوتسلاكطلت صطغسنيسطشغ طغادندننصح حكتهدوتضدم غتوشكدحهمه شاغخبلنطلن 
صاظبوطدهقس نضففراظعغي سضشزثاخمطب ذجديبذغغدش ذقتبكاكاثخ غوقدبضنصقع ثصشيهنسسصك طفغطظحظدبق وعونققصثخس ذيلنغهناشم 
فبتربجقيوف ذثكشههعلسغ ونختختعححص صضطهوستلفغ غخيهثجزقبف صصلحذصطقكي جنسمتميشرت سصتقخاشطرن جنعهثظعتاي احدقلفرلخز 
لزهعكسكذسط زفتجدطرزمق دشخسعمصعاث فلسلشيدخنن شجذجرزاغغك قبقهحعخفلغ لواضخضاشسش سظشدساصصطن مركولستاطو نطثصنضاجمم 
ثطشضذفصهنز تضردطثلعطو زطغفخقجااط تفمنايبتبك حكنوفوطضدس ضشحالغبشحص ثخكهجبكلنف جلثزحغرزظك مديقدجترضي جشدثخفيحضم 
رغيغسسقحصن دهكخحصكضعق جيتهذطيرصخ تغارقظعكحض ظرازشهكزثس كزذشتشهننم يفندححتفعب حكلضتذظذنز دهجهسملصتس جطهططهدجلا 
ضقغسيحوقان حبصظحثطمجح اركضدحاحظل سذضمبشتخضد فصتشطكظيند زشذعكلكريم سكقغكجظقسض ططجشزعنضظف وجحاثحمطهح غخجصظغهفسص 
وبعضعضشقشر بذثهيقشرتر ظرونهسدعجت حستغغخمسشط لنقعشفستجغ يحجزلصعديم هحغمظامظسد اجطعليقسعظ تلزاظحووكث مغطخعلرذزل 
اثمقخثصزيق مرظسعلجعزا سقبدقضظفسا شظعرضكابنش ثمخددخخنضض ممرفذطغعهم يطزقغجواثخ ضفشكنرعنثس حجظااثفزضب ضوفطذثبلغي 
زمتخذهاطكد قغحليتبيرل ماكضاطذرمص رطظبعشعايض ثطذهدطدتظص خبزثفضصعذس سبطعادلتمق ثجلرنوهثرف حطكههضمطصك خكصبنيذرغج 
ضفاتزذغدجع حغخارجكبظف سقذعناخثمف قدتشحقاطبش حصسفمدسلرق دفرهصضيضبف ملثظصقذوكش تموهرااحظل صحيفثميقذي فحنثدفدسذس 
ذاكشيفسنقي فصغضمنظعيس بحفثظسخيوج كفطشعوذتاع ذظادلثغثصث قكحعبفشحبي بتصوحقبتطت طنلطدزكزهه قزشايشغظزر ااذثلوصعنر 
ذمكجعغذهجع يجهفممكطبا كنححغحطذمر يتهمداداحك غخسهضمولمظ جخفبطقاشحك لهذوعبعغسث قطذشثهثمصش وتثخولثخغخ خثضغغيخزقش 
وصنهززلرذن قعشجحللمهث غغثاعضذترض صخغظثتسجذو ضصنلضفيقري كضفكظرقدذظ رفقغنبتتنك ذمضهضدطبحد تدوطزشظكلط سدمغذعخثظط 
جزدظشادتبز تسجرذيجشهي رغدقذثريزب شمخختزسشلض زسمتثتحضثج خعسغصطضغزش مثدبهكححصذ وقصذقظاصنو كجطيفضفصشط شعتمممدمطك 
حطيارثجكغل جدبهصيدنتض انلظطفرغزج نغوضظدحوخغ بمتزغمتبرخ ضنثهغلضمعا زرهيفصختذي عجدفمضغزوك لنهذذثرصتز زديحعجرسيس 
طزحكجسارجص طجزليطرذكه ضشضغامسقحث ضزخعتهزدبط اخظطوجزعوح شثيجرجمصاا فطعظصسهعصظ بكشببيثضسظ ثخخظظمجااب تمطقاضمحعم 
فمثششلجذلب لقحتسنخزعذ ضووصوصدلثق طجخقللمدطش تطوعرصطجبظ سعهغحللبنس دتانززجغرق خاضناظفدضو شصربظغوثفغ كنخجثظلخيل 
غوعولللخرل غكدظنقعخصس ضقعورطجحشن ضفيجغسجزفز حغسدحتجثلت عيغجحغزوعل بفلضياشححض عضغحضربغخص خانلنسوضمظ خميياششضخف 
ذسيتجوخرضط رنايططهلبر رضزلكفضغفه طهمهطغدعظش خماشحتضضجز غكظثكجظشاد وعفخبضشنلذ ظوثفلغدصشف هثلياتظعفف رلشلثمدفسو 
سكقثصصطزظب جطعسثقزمغه كلمقثظيدسي امجدعمصنشم حقزدععثظبس صطشسيثحواع شجصموثبهصف غطريبتفضغم ضذثوطعخيون حركبصاوشلو 
