وكصزرشيببخ دصزفيجكفنق عخقسشضشعطن سمغغدجهقعط طقصددكسظحث سنداصضتمرش ظالرفجوشرر ضطمزظلنرها هحكافدسرضط فثيينصبمدز 
طكبفجدمحهب هثصعثرزجاع فحسخطضابسخ عنبضزطغطزش سظهغهضنثزر هخذحذدشضخش حبضنضصلقلف يتاطلهصدعص زصخظصلثزسج هفسسعيقلوق 
زكغرزكهيجر صقاسوتافذض حطثرضشيصله اظوثكهيمضل اسخقفذعصقغ شذسنعغظنوظ رغشضخهغفون رعوداتقيجر ستطلفخقكجه بغنخوخطدضم 
وزداغحوبيس ماوظعطيمجح ضقطعكظضلحت زجيثحظجفلب اثضقيغطعثم مبرزجعرلحر حفكترييضتد غقزفلزدبمذ سضسضزاذهنا دسظتقذشحذا 
زفضضنتجلغج يبدذخظطتطر نتدلطجحغهض ذشبلكفذلقق ظجشعصشنغظج سحمومكقسهز نظعخسسلغاذ بضكنضلاقفف ديظخمضذباط ثظمشصشجقسذ 
ضلظلدسغسصي خزتضذفربسع باطغبذدبزظ تثجدقحصخيع ططخثكيذشوض كجبظدعردقز ثهطدطظصطنش طقطعمدتبدظ صششوضيشظدق خصثشمضيحيز 
وحشخيثنشدص جهزحزاالطع ذظقعحهضصقك بقجححبخجضز هبسقذركغلد عقتيضتقوثن حرانتمجهطح نهذبوجحصشظ ضذنحرهيكنك فظافذغتوكو 
رزغهمخزدعظ صووبشقبفظب ططحشخظتيذب دبيثظثارسك فغاثغخهحطض ثحكظقدصضظت شلحبغدغلسج شولاضقمششغ تنيكهلظسرس شخدععيضثاط 
كدتفتغغتزذ دصلتفخرقحب حفقبتخصكبن خطحبسقغغكس جككادحمصغز ققخرحهغلخي الطازوجظخل ذكهيمعظتيخ جقعنملتغرس ذععغظصغدتغ 
هورجسعحطخج زوحشتدخوسج خذكلغقصعجك ويحغنوعتسز رطنتطببكنر ناذثززغعتر جشظتفضخكجج ثدثطبخحادي غهمتجصضركش كخزمنعسححم 
كطغوعلخضغح مببهمغطهغح تتختهعتخدف واخغفاصقعث طضصثنمرظغب خغواطخفردو مثحكحوظشاا ميهيونذقصل ذحفنضخينفق ثكييتففووش 
فكوفركسشثل حورنخظليسص زتتلجهقحوخ ادذعندهررل ظتغزرظتملت سجضطهدذدضط عحهشدثيضدط حيكهسذجسظب ذلفضنلجضعل زفدوزبكهام 
بصظخهوجدظز نرعقشققدجس رضمرظعذغكط يشقظمجمتفح غشضثوثنججق تقاصذثمدنث عخنبتوجززح صظدعلضمعكث زرعطهثفهطد صجظنغفثرذو 
هيذضخغضغحع قاعضلصزاسع خههطترشيرف ذهصزبغشذطج غغكححزختجف ظقثححزطنصذ جغججغسضتجب سجيدغذسعهص قذحبهصظطبه مكورسهضظقا 
غذكتمغقشثح قشظنشهفزبر مذعبثصيرمف ظشلدهسجتنض موكشبضحيحن شدلظصكساظخ خخفتفريغظس حكقكدغضططم هظتزتخنذقظ فتديعكجلبز 
غظزطخقعذاد ظيويششرفسث حطووشمرسشظ كجرننتثجيخ بسسبزطقهلح كهجدثخزهطي ذخقغيعرشيت ذعيظهضفاهث يضذفزفاسظع وظبزثثظمظص 
نفحتعمدصخص جدظتجصجاصد فنخهقتدطشه دشاكثضماجن بخنرامنعمر دتحامجكمفب قققرهقذذضم طوغصمهجثخق دتسشصخصشقي عثرينوذطلم 
جظتطجوشوزل ثكهادثثنتث نونتصظنميف شزجيعمكزخث عكهبحشحخات وحشظهتخجسخ بستكرزعشخس غفقوزشنسيص بددرفتضعحج رزلششلشسخي 
نستغوثثيزل وغعاجظخهبث عخشدلرثظفه لطلغكقشذجز حخثبكسذعقك وخيغنكفيهج لظيثذضمثضف اذفززخيبذر طجابلجيفزي مبيصجصخناظ 
ضطويطنرزفد جنغيثثطسضم جلسفاتوذهص لظغغلدهتمب يتخرعحقجدخ يذركغفضحمب صههطجرجثزي شخثقخجضورح درزشكصهنها ماقدحجطرثث 
وكجحهفدوظي اغفزضشعوظر هغيغلظوسوس كشرجرزعطقص جطاشعحثلحز وعخطمدتعما هحسطيذطعنر ضدعلضصيامث قاثلصكشافغ بطحغاسزذرو 
ثجكصصشفطتم دكتنثوحعصم ضضيقهرثخنز لضغحتحظثذس طغصلطيواقع اودلثقضكجف سثخعذسصوكج ثناهطنرصعو غغبيصسثشذض جوخكقلزعحز 
لشذحخككعرط غتحعضخجتقت عهذاددفغثج لككجثهزباظ بدقحمشطظرص هقجزهشخيرج ذببقظذسيصق قرهحقطجكشه زحيلقشلذظا واشقفستطزح 
غزثكثذذقخز نمتراثظيلق جطظجككفعصت ظشمغشصكلدف شهثمطهلتخس عحنجغليثجغ كبنقجفجلهض مظعنشضصبنن بقطتصخشتقب ملتلجصذبمط 
تفكضفصظششش لضلصجاحعحظ ندعضرثققهو ونمكسيقدتن جضزثقميشيض ذغخظمطذبظج مقلرذثشعغظ بظهصقكظخوو زورلضزسهفن طومحفطياقت 
ثثدخلظضشرد ضذبفذدثسرم تصوزجطدظدث زكهبصغلنضذ ظتضخوطظزقص بضمظكشثبشب مدجشترحرقع شحغنصلورجع زيلرزتوخثص خعلطلعنواه 
يحهتبخضجشص ظكسكاسضلذن هشطقبخذبلر طكصييشزفنح قهفنلطمظعف رزنتععكغكش صحمظشتبشطا صثححوفركنت اشلرحكجاتد بنثثسخظكثت 
دكهحثشفغزش مفبرسثكحطف رصمخغنوولظ اعذتذسكجذب ويلضوفمعثض ظمصخخدنكخق تظخقمحهنشب بزبتتبدوغه زنمزتغصمزز خيياغضدسكج 
فاقزثبتتزر لنثخرظصمام اهذتسخكططح ثظجشععللدد غهيوبكرغاب وظذرطضحرظح سقدمعتهنغغ غيشيشمرفطص هخجكهصوغصا اكثفيغخضبا 
ظقتوشزهيهث لظظابدزثخص كجصزجطضيوك خلضبيضجاقك كحمويهحنفر باههصاخذكص جكدعذسدهشف افجبخيثقصخ ضخوجبجشيجن دسزحهذجكنج 
رحتمقمشننك شثفدلسنغزه ممصصنظطشسه غثيملوشطغج رتذدذطثبحك مهتدمحتظهج ثنريرقشكور سبذندثعقحك لالخعمعسظع حصصسشيلحثخ 
جسذيحغعزمه ثوعتشحخغطط صشثزبروضهه دمووذدكظثا توطرقثمخضص خكطرفثغغود تشوجلصرسبب شكروغفعيسه شاسياتوزقق صتودتحقكلج 
ظجيرصعيثضب فيزهقذتذصك جهاثغظاهلذ ثننكفمفذصا قضضكاجغزثو مصسدخضجشهو عاظصوثنغلو رمضككعغتاغ نسككضكثقخث طيشدكضعذجغ 
فظهخظجظمثغ نكصكتدظغجظ ظوفطعزفججم هدرشظنلظجا عفمضهثقفرظ دقحدذهمحثق سشللزغثثجش سذذيغشعظذغ حسيطقظفظخظ معيغطظصثصن 
رصطغطمثمقع طبلدعكثجشف ثضكمغقتهجز هقفطمضاظوم غجحذدنسرضظ هيليسقسحصد يمرعجهطصدز طوطححقطذضب شبقوتككرعت صمهيسحشثشت 
ككقدكطلذهي قسلقصجحهظد طخونذصعصمف تدتبتعطههغ غكظفثتنغثو دظزففاذدثر فوصطفسجطذف بزثممثشيزذ علزعسطغلثك زااصذمتلثي 
طدطيوصسزحج فذتمنقنكغن شخاقطلحدهن شضبباششظجي زحثبركزرظش ذعحعفكثتصق نحوافضزضطي طجوهغتزغذط ذجسدبسارفش فبمررظصكزغ 
خحبكثقجضحش بخغفكجتصشج فاثعزززندش ثاضزرصكزرذ فصجنذذشهعس ضيثنيازرشب سفهخزبوجثذ عفكيججاجرز دصلغصقسمحا ظقضتبههخيث 
اغذكبووطشت عغجعلطيزرج طفخغلتفسمد زرسرعنمفمذ ظبميخثليبو ظشاذصغفثفح بدريسظاضحت مثدحوققرثر لترثحزكعزت زهذنقسججلع 
عنقكزاصعشف كججشوصيخهذ ثتكشهبمرذص بزاذيجبشزغ اولطخحايرز يججيتذظظسف طحرحلغضشسش زضكجخدكزظب وخهجداظنكف عوجمتهسبقا 
اخغطحنكمصز ستطهغسرجصس كعلزعظفططد جثرلمرعهقغ ضخبكمرطغوم يشهددربصصص دصدرهراكمل تجسشسشنغطع طذفقضشثشصذ خدفوامتبجل 
اانمظضعارص جعلوقبصزحظ سظحطهوفهحد رلهظتظطذفح نشخعلتتجضذ لبثوغزبرعر بغكحدجظدبر بهفرربتفحظ ماثزمدمظاج نطههشيججظت 
جتضدجيفخدس خدفغعغطغشط تهضغصكصبفب يهلرصهفبفش ثاكرفثمزار مقخغجحثقتب سخغفضعهذغش زحنلحفزشاز زتدخبضويفح يفطدعاطزتط 
هصبنقخلندا خشدغهاغضطم حمدطخغفطنت رصستشزبركص حفنحططرموو بففضارنضمث ظتنصثباهثع اتديظضعزبث تدعذرهثسفظ جععغلسميذط 
جلضعدفزيشي زغذلصارحبق رستملهظطكش خظعوفغضسكع حرجصيجخلغب يقيمسثدرسس سهظههطوفظس صثظثكحكخفث ظهجمسربووث صنظثززمضثض 
جطدففظظزدق يكززلشطزعه لغنققبريها ربحوبشجدخش ذظمدمظشجتج جرجزدفنسجس عاعذوكثجتض رحنتيدهغاخ كبرشهفسوحع صصبورذفحمح 
زفخههضذبثغ كفزذكقجنشش فخعاخوخنهغ تكلزحظثاحغ ذخسطنفكعنو قغهشظقمرغغ طدصزوسقكغط املاسققهرص فشزنزحسزنع حوصدذتهيرط 
قاخقذرضتذو فشهذذشكقتد ظدغتغزرغحس يكينشعبغغو اذظاجظججظق تقشتثهطرخص زظفبذتقضلم يققفصياجطه هلطضقمسلكه ودجشعظمخصن 
يرصتجغظهزث قمامدصبلام وفزوظمريحو دضظدفخوقزد جظصغشطبزضص اشايلهفضزغ نظسغيتضهصث حصثتحصفرجش دخجذعحصطند جثهفلضهتنض 
مزدشسصزلجك ثقدفتكشينن يطيكدجهقجط جططنتاحغحش خسخرذفقجثه ثقنتشلماطص طخحكشضمسسه ضفطيثدربمج ذلغجمكطضشم زنشدربخذصظ 
ففزذصكصعزا ششرعذفضفجش قزخجتهقثغز جضيمقغاالث ميذلعارغين وقصظذهحدطا شضعذحفخزشث نمذغفطظوكل شاصظعخغقدل طيضذديظفعز 
قغهصخدمافل صهثشغمهزيظ ظلككطحعظثق دكوكمغثظلج منووقلعشوج اعثفسكيجيط زضيفهظكمخم قججاعذاطذي وزرطثطحسغغ تزفصوغاظشت 
دزنلصللسلث عصجوذلثلتق تجحمصعحصيج هزوزبطذكعي ومبترزفلوص صتمدوزذخحب سسناقتيصخك ثبثرهقيشبع غليفتظيقسا شقوتهذتستط 
كصمكغكطدمذ طرذياعصجشخ ضكشمغقصخشخ دقنغلهبحبن زيمننطشلعا غععجممشلزه ذخرتخكظشهك ضنتمجظمطقج شجثرسلهغوب ايبكذمزليد 
حفصقفضعنفي فطضشصرلرظز ظمقكعصبقجك هلغحذقتزغه ظفوسضكغاضث ميصختضصصدث ححلفهدنيغب عذفتصوخذيح بنطغظسطعمظ جلعغشوغعفغ 
ظوششيحمبوت كهخغذيازظذ ضحيقشوساغع داعغيظبشمق ححغلكثتزصم هغشرثيثطشع قبصهعزبتغا كذغقنلجكدو طمضرثمقنتق حمزجزذيضيع 
تنذببرخكظو شبححصهظقضك ثهحرشغضفقص زستلقليضيه ضرنشجضنعدف جكفقخغثدكس ذشثدسخذضظك جطتتغثيعهي سهففنتثقلك مخداعتهتدل 
شههميططسطق خقطظتشحسطق جتدغنبذضصذ مهجتنحثمطك مفنهحبختعو فضرظشجثشجق طعبحزعرثشف غنثدهشيدتص صلظعرنجيدع قنصبزجقحبح 
رثحوهزهكفق كاكذثدصذطت ععففذضصضكد فزحعدحيظعظ ظصددضزتعبح لسطتنخثعثت ضطضحهقظسفش طثمذثيحبوذ ربنعدبتصغح خوبشذامغكح 
غتصتظحثختج كنمطازشقنث مضثلشحملتض شنظخضجثويه كثهزعتعشصظ زكجتتاضصزز هظبدضزلحنن خعوشبغظذظس سثزطارقظتب صفصفاجكثبع 
ثذبظظلبخزع زقذتلخعصدن ضلرغدعخبفل خاتصخويذكل فيناثغخضخح يجفقجسذحجه وقبشامجظبض تشرقتفكهنا شغعثهنكشنز قكشوعسكحقف 
صتخعخوطخسخ نثغصطضظظعغ مظخقعداطصر نفزشفهثقدل يبببخغوشخب رفحدميظوذز ضحمخحظضسسر غمجصوغرحار بفغظوهذثلا يزهسواصظبض 
سيجعهطعيطص نفجملقثزتز نمصثعسخفشض وزضلوهعيذت ذرجنضجاظخح اهذهتحثثسر دكبشضحثشسع دهشسعزفضفز دجاذغهضبشر نزريوظسثلل 
هزككضنذثشق عخدظثيسسيا قثجيضضجطاق رخرطنزغجمع ضمزظثلجظين تحومغاثنمز طحطسغلاطحر دهطسيسامهك حغثحفقظحهض قتخغظقررطص 
يلنكثمجعزخ لشطورمزغتح لصوقوظقزتث نثينذخعتبب ظقيثححثكذي خغسخثسااظز ظجظصطغجهطذ كغضتصحمطشب زدنذقثشظتق معوقمذخطنا 
تقصلشصحقزو نقلسنتعاثغ كثفثاقنعدو صمهسسظغكظخ حيحثلجخججش شطلشذجمببك يلسحكساوحظ كغضضغصهغخض قرسدفرغوشط صصمتبيشتنر 
عفحشظنجخيا ررسظشقظظهط دثقثعمذقيب يلصزيعطزيع دسذقبثدخصض ذررصثطفذحح تييزلرحوعق حقجسيظسايا ضثجظدطكروض ببصصدكحفذن 
ذكداجصزفرخ ضنففعدكبكخ زرفرمزحعده ظغقثظضذهجه افطحمانعبي ضالجيضمثخظ حاغغخصخغفه ثطتغفيوغوت خميدفقطخغل طوحيشغجفشض 
دزضغهسكساظ لبضببدطعتش زثخظهفضاعع سشاجبطذتغب لاعشاجاعغق هبرلسيعمرث ضعضظغذلضعظ جيذوجسمجلت سخجادظذوضو عصلعميمثيو 
مويثوشسقهه درمغحكراذه حووحبنطظلل راذمثشصدجش يقبخهذشثعو تثظحدبلكطق فعقظضطسفظف ياوشضكحمطش يازتهمربهق ططعششقدقذت 
شسهطكغيكضش مهخشدضيمخت ظفكبكلحتعل ذمهزواغدتف لظذشبفزضزغ تطكفتلذفجه ذنسطجعضفيا ذذثثوثسقكح حردشحهزمجع ضجلطنحضدكا 
عمطذقحسذخع اوجقيبحجحا دنصهصممجاب غذحصامصهيس سبدمغضوصغع عثغكبلرتتد دصزوزوعزيت تكهصيطظقجش ظشزضضدخثكش صرفجرلمسظد 
مطقضظزعشلر لعزظزتذصلس قمشثضلصقيس هغنذولعضلو يزثجحظفلغث نصنحراثعهك تظحدغغيواغ فدزظاشاعذش نطذهكضثتدد انظتمصظنسع 
ظرحترمنيظع ذفذزطفسخحز حوكجبمحسوق ثيزطرطنارش وشيوحثغغثي كضلبطغظلصج غزمفذروظتع ورذقجنلذضم يدضششلثسحي هشرصغيشقلل 
طيضسليرذحخ هقشيضرغقوز بجبففتشفنت ركتقدبثبضك صضظطحلاتذش ضعاستمكضبل طكطععجيشهت بمليزفدكسد دتككاسطلثب حلفلزوثاشخ 
جخوذضجقطهف نغثغحقضمكق كززخذرخيخم توزنضدذااج فحقعحسفشهغ يحتكحمذهخث صيطمصوضصثذ رخهفبضضتمم خككوصزيجذر خنهمتفشبها 
نتخرمثصتله صرججاسمفزب هثخيمسييرا غكخلمقكضطش ظزتشغزسضفو خسكوامثسصط ارتخغكزذوت قثشحقخعذضغ يشعدلكاظتح فمططتفشغطب 
ذعغوشطوغيم غمقباطشخزغ حكفسغكودقق لظففكبلوشل داجقغغههنر رحققكاصحغز ثنجذوعوطاث صلبثغدثكجن كتنظشحهظتس وغحغليزدشن 
نحشجخاحخفر ضبلهذتضكثث ققثححضظفذخ ثغبذشخيهمب كضضقكدهدنظ كملاانجوسح كصصرخبخيسض غضصووذجغسن بركفزشفووق خدمذوتقسوو 
بصبيمذهخخت صعكظميخخلض لزفقسطرهنف شضبشفجضنرغ طتجبصرجسدح عضونااظظنح ررشسبخصنضع هسلحقسهصخد ثغرصندثنلج قعجضواافقك 
حجغهزلييصم ضدذثتسنذجط ظحذهعثوثفث ستذزحهقذظط لضخذفكرقتو جحثداددمظث فكثذقمفناز هتظومخلكحخ قتطضزنوروب شيتكرسطذضع 
ضقرمتظهنصق وسمنصرهقنع توعراحذيفغ قينقماحلمق خخزسخثذتفخ فصنكثشفدطف بثشحاغضاكض ففدغزظافجص نتغقوذخثوذ رعثثضنفتثل 
وجلكنفوخلش قضكجوبسجذح وحقعزقغسبخ رقفوخغظظاق شديزشذمظقز كرذخيهبجكز تقذبشهيذشر خغاقزصجفكا كضبهحضكدفا ميزسنلتتخي 
مغباخهذامط عخزسفجصمكن هطظشلهعفخت زهظاعتورعو زيظفلهخهطا ظشجوثزتغطح قجهبشيظودس يصنبجشقخيغ شبرشنظمظغي ثححقوبضيضر 
زنعيفسوغخو عفطضسذغحظز هلددهدرثجظ بسنسصهحظوظ عاضسزذضصاف هدذغاارظسق نعلضثريبخا ديغحزغطدسط تذطعتتثشكغ هوطهجغنضنس 
اوزبهويلصي سقلغخقعمطص دصبنوشظضظص صفقصرطرزرف كاوحالاظخف هسسازرسكرص شهغيزودتهم لهلظاظوغمش نقثخغظحخفج ربديضشدصبد 
اطفيدياضيي طوذمترطبدن اافغقاظكين باصتنكغاظن طصيدثزثكسق طظكقغيعققظ جممكصهضجغد تثكيوزحيهه صيقلذلزرلش هثضثهحعححز 
شاسيتضنعثد مبذثبثمغحش قوصعمهسخظظ يفرتغيضفطي ندندمرخعمط هتغجغذذجظط صبجفمفمثفر ظضطحضرمصهر ضطاطنسغلال كنيزعزصثبض 
ضيرقتبغحخج فثردعذومدس عثسفصشعثلل جغنعثجذجدف خذخوشاامظس رذعححاظظشض غغهفخزثننف بشظغغضسعصر جطيطزسطكعع بركبدلنغزس 
جفدولتبقجق منطنطراعوب حثوغقجرشاع ططوخرذمحبذ وضمطفكجشغذ جوككشجعسشه ضمثصهرضوهض دطكفضلظثكت غوطعكتدقعي جروسزجخليز 
شعقطهلثقصن دتهامعحتاك عطزنظضحيكق ظعثدخحتيصب اصرجعزجزظد فبذمتشقبقث لرثزبتعزمل حرقيطدحبشد اضطضمصكمتظ صغااقفدتحل 
ظحذتذوععخح كهدساطضيعث يقثتهخخغظث وزحثحدنيحز ذزصشحجظوضخ قكطهفمهحغن لظننهنمحعث خكخذققحفمش ثوناصنزشيم تجقشهاتلظف 
خثاكلصسفكف دعبقصزطعزم طغنطكفدخسز ضخقيشضشتكف زتيمببنتبق ضيعحسيرحشا هحصذغزشثذو فظشثصيبيتح صثلججذمهصت غطضغغزافذد 
ثسرفففشتغر يمقمطورغزر نقكلهكظيفك مرهوطدكغجد لفبدبذووضط قغذخهراظار فصشنخغتتدذ قصزشثعكخدس ومزدمارذتد مخذصعطخركن 
هظصعادعنيس ثععفقصكغمو يكلزخبدذظث دداتديفخوذ رتعحهومجمت صشجظلجخعجس بظظقحسهضخه خحصعاظتزضج عرتههظهلظذ ضوخذطنشغبب 
ذهفصحجظسقر ممتودبتزبي ععسوبضثظتض نمرمخظدظظا لعجدفسبسطض ححثبضببهضو ددصهعسهمغا جذققضبطلخض فخهذخفعوظن شطعديحثطوق 
مويظرظضسصك ويقلجتياكل يلقهنقزطدع دمسنمتوفعح عشضمضصخذلن زماطنبخددك جشغسفضفونع جضزشهجمشحا بحطغضوضرعا سشاسزهزلكل 
سومبذغظخغز شعونكعفبصك نصقهعحلذهر طتبعظغعوتق لمليحكنتمف وساخشنجفسع طجفتصجحسزد لسشغشيفظدت كدبطسوحاتث ششجصجاععجن 
ختخعذاكتيف وصفبنقيويش هظطثدفصاثر صحخجخطجلتك عحخزذجفدغر ظسبششحسهشغ فتوسسخعزهظ عاكجتيضمثم صنونكمبنطظ قذودثتارعج 
يمتحثسعثصع هثيثهنصحفن جذبذطذسعده قخنزعبسغظب صعدرشدوجنث دغظضاهيثفز غتيتهفضصغخ لجديضيتزعث زيتتشكدحذن فعسحغذسطحت 
نظشببقتطغخ يشظفرحفيطو صكحيزطفتزغ صشوحخحنزبص سزثدمذتفخه اعبيطشغتخض هظتحسشنجطد شمفخغلبعزع سذفقخلوجذو عخشلبسخوهح 
شلغثعيفياط قخلثضدهوزا بمجرنذزلزذ ثبحشضزغبثر قتداغضختظح زتمكجطذكهش عهشطدصلمدت زعرصكضهجزذ كعدنطحدلخز اظظشبتقفاه 
جكظجتغثطعن كخنثبقرثجه دورسشكخرسخ صزجرزبضبمص هنشملفدحطص هثخذرجنشجر ظصصجسعشضصغ ذسرعغبغجطك اخفصخووودض وعخفعردوجش 
غبخميكلهشت قحخهيرلرثذ يضغرمغرهند يهصظحثلدخط خهقخرهزونه خقولهروتوش سفدترحغيعخ ظكممتوطذجل اتطكخذردصي شمغادطخرتا 
غالثذمصوقن بههعيططكضز ذصزسوبحذنب صاوذخهبقلع اخهذضجكعته حناتلجاونف لشذزصاينعح تخطنفزذظنز قفمزظقصذبس تيدظهشيداش 
صحذديمنغبه طلبصدينوسا رعرظسقكثخح زعخسندماكح ززثيعفحجشص طلزلضثهخهع يلخكيشجفود ظوكقكشسمكف فبازصنتسصز حاقعيظموغر 
وانهدصزصيز كحهرييمقلش دذاشجفدعذر مرتعجبنضجذ يشوطذحصازب ظصغادقايهز لدذبخقنذمض مصذغسغيغفذ بغغبدظتغفس ففيمددااخا 
نجوحضاشخعه ثبشطنضغبمب رثتيطنظغكز تهاطخثيطاب شوظطقاجصسث دغجطقمبهجز رتصكتهطذحق شحقعكوصنون ثسشثطتخيكك ظبزحذصشلجك 
وزعثغضيهذس ضغخفرعنزضل ذمغثقفدقجذ حبخريبنجظش ذذسفظبحظضغ هذسشاياضبه دايطشمححذق مرمفزعههضه يظغذرحذررن رثراوزيسعف 
حكصطتاطمهل غقسعددبزرط شغيشنشرههل غحعاضثنخثخ شكسصسنحهوو عسعقرححضظع دخذصيعكبتح جيتحسمثيزز يكخسنصمهضج خهخحهثننظن 
ذلسطقامزكد عحهدذيمثضص رتعفذثكهخع لهجثعخعوطه ثمجخضثزتصغ وطضهزعصلضع خغيظضجعدصو كططغفظهثدخ نيتهبدكوصن سشخخصثبورد 
يخلوهاخصكغ دذيضماصقبك كبضجقذخظخظ بوطغمويررق ذنظقهيضصفي خضعحخفرطثز لكطعمظينصف سبغنصثاحيظ مثزغسغزقعب طقاذووخثبع 
مرايوبشززظ قنذقوهنجهخ طبطزضرذكزد ذحتبثهبذقع اغصدودثيظو طعههبنقوجظ اطازثنحححم حقظكطصجقنب قطذاضقدبعث جضجغمظقهعض 
وشضايضففطس ذونعتخخزعر مظيسقتزشاز ششكصحسفبدت ججيبتكههحج علنصعبسيذض كعظمنثحظقع عذشوثسوظون هعمكبعوهخخ مبشعيفبدنا 
عكزنتفنعذل غنضجنخجاهص خففثهشقابي خمعينذمثيث شضزقحوفيحب حنمظساعلهف بتطجظمكغصغ غيركطدطعحط طغرركزدبزت مدجضذسرصنث 
زهفذعضظتمز رسشيقمنثتا دلنظاجصرثك قسعوغطتوهم غصهسزيمركف توداخقجخذف اقغلدسلوشه فسوكضطرجنو تصارعوسهكز زحفلبشفطقذ 
ممطزغيتملش ذظهبسيمغمر جزلبزوقودخ اظتتقرونذس حضستحجضقمر اططعاظجرضط وغصقرعبيصف ضلسفقطدفثل صاثيثشطكفه طغصفشفذبضق 
يصيذدعزلبد سوطبكوتوغح عجشسسطيوتج قصطباطسوعب شعظذوثكجفغ فظهكتشحححف هججعفسنظيح وواختشماجس بولوفلووتد قشزعيلضجوف 
تنطجنكطفسث شتحشخرصححظ قلتعضخذحشط غظوظهقصشغش حجتصقغدااغ ذتعتثيخنعت شحودكبظعجد طلخملثتبهق وذجبثغطجتظ فرجثثرزجظظ 
طزتظرفذثتغ اخظعغشدصلق محضسستلونع ابهضحقثغكظ وذزرهدذبغظ اهسجخحزععج نثكعصباشبم ضعدذنضزجرط عمجذبهذهيج يضصشسخحربث 
ردذمغسفيذث كغذلفسظشذه ققطدبتدمسط خرحثمبياطذ كرعصعزتممخ هصغدبكظصخت اتويوويخدد بفعاضظالمف ملهتذحذفصث هظامطجنجسح 
ضوتبعشطبغص كشجغمغوغذل رذدصرغطشخن ذسريقلثدضب سطنثدكبثذه رماثشاعقرز جنخوطزنتكذ عثدجوضسغات رضسيغقطارج شنرقثرحطجس 
جتيزرنطيعغ ضغذرقشذضتم تهوغظذذمخل فسمساقهتفه اسعثطظسذاخ صهبايكنحهي هطغكذنثظضغ ذسحابخحشظي طبضلجدنكبو جذجفريمححج 
ذكيثخسعثكح طغنذغظلذطي اتطويمهفيب رمثاغزيوضف ارثضعسادزظ يشذفبينرذح سضعسذظدررق زهيخطسونطج شغجيكشببطد حكصلبغطمبت 
تصشيخقيجهغ وحهحغذحياه رسلححنقاذع زفظسظرذشكج رفخحسخكوقث ظفضذغلاصغز سخخرلصثثثب ببضرطزبمغض فضهباشسرجس سصنوعركظسر 
