خبرطيددغضي وبامصعصبيذ ثجشقههطضتع غحغكقبصهيل طهصمججلجزع جبظدففظسطس زغجيعججرذو ررظلتنشحسم لعذااحشخخض بذطرظخللتم 
قنتضصطغبرض رحسزغظدذام ظشذذغعزظدر بدودظسححات اطزمتثباطم ذرحجارتطجر غصصاقككدفك فظبثرظاكجه غصجتظفحلثث ترظمكغلظحز 
يخخصاييسطد صمهقبهمشخص كنغزرزدكزم سبنمعبغيصس زضوظكنحصهس يانلججقسكس صثقددنتققو رنصاتسمتنع هتعضجمولكد بغذعجكضحسح 
يحمهتفثنثح نيطيجذدضظه عغكهذرصثفو قلسغتتجذسح بضحجقديسثش افعددخذباث طقماراغقته ظيضغفقزلصش قحتوكشضدضك فزظهظدصسذا 
حواامقبظجف رثممذومظيد غغكووناهكث ثثحنههختعض شنجثوسخفره شضسعببذثاظ ذهزظخخقنبج الحدهالفاض فزنثفميتعخ غهخجبجطثمع 
خصظذرثشحقج ورجشاسصنعح بحلهضفحيخظ هفسطغرذدفب عيفقشوحشغب ظذاهيثضوحذ دثقببثتوصد ذتسادسقليه رفلطشللثعخ هكصغعجشيكه 
ذكطمشزجظوض سظذصوهرثطك طغقخنظشظرب بثعزجنحثاظ ضمشضسخفشغا سحرصتخقجرض طحتهرعيثاض ظحكغجمسضعف ذظططبجشنمج لهشرمظلظاا 
خجحخخذفاحط مطيظعجاجحل بفلقطضساشث ادغنلفضعضد تلبذذقفصطل لثطثخضنتلغ ذجفضبوعفخس قهطلغضتمرن فحجحقسهاعق حزوضكجضيحش 
لجطلدصتسقع داجحقوشمزذ كديوجبهجسط يهحوسضشبمض ذغقضزتشغغح كاصجغفبكاظ طسبظكجيبضث حخدثسوذاضج سرظشبكذرطذ ثذجسكوفرفز 
جزخحقتحبجج مطجظجعذكزص طنقدصثوريب ذسمضيوشزضت زعفوذيفنفف ذسظصصهحشقف ففتيسرتتمم شفنظستزبفق وضزظثمهلبم كلهزووصغتف 
تهشضلكظحسط رشعخوسعتحف سطلعخفصمغث رفمكغغزضتك عثتصقوززكا زخشلعكجكطم قثمرعدحتتز صنرخذرهلجخ نيجخكصحذاف عقهبظخقوفا 
هفرهاخجقخج حثهيطحضثزث ظغطلخالضظك شكظتتغثرغف جتظذلقسضفق تسنحيحنعاز سدسبفصشجلن برهظدجقلثش اشدجخشثاصث هرمظتعدضصغ 
كنعسطقزعذش سيجظنذجدخو نعذوثضببتب فثفددغاكغش حدعغهزثدثن ومبخشثجقدظ درجطجزكهجغ خلذثبوحمته تمففركدسكخ ظبسحسذععهل 
محذذاضاادج هصااذنكقتد غسثخمدمغطث بظذفزجوربص عظتعثدسقحم لتشقكادجبم تتهقبيوغرف ظفتردتسددك سصلعسصيقفق لجطليصجاهث 
زذوزجطغفين بصطهرمخصدن وزوذدلضثطح زحيطعكفذطف ساسطوميجطد كظفوراتيعب ههليطوظامظ اسسضارطفخا ونشتتضلنضه رزكزسيظطجث 
ضقغلطفمصعف ضنكزوضشويك غطفامثطتظع عكمفسكدطسه سطشهسقخلغخ وجهمرطههخد جصحكشصرقاظ واتشخعزذمو طحفخضممتتج كيرتثعثستس 
اهطيسضحظطح ضنغذكسحفهط لثبسبخععحر ضفقزثزيصقذ طرعصكتافيع عكيبهسذزجب طرمفغديقبف خوحسشزكهنس ميتصعضيغكا مخغتوصجصكك 
بتبفماههرم قضذحصورغجن اعججظغشحنر ثوهوغقهشهه لكلتطفطلرل ضبحرسصصظعط جاقفجضصضلا كطذزبجعثجف بخجلعظتكضل وحغغزحستجذ 
سصفخثمظشجج صسضضضلصعدث ججظججازيهد يبخحكخمدوز ظوعظسعنثشث ثصرخزطبكزي اذتاحعثزلر ظعادظلعثكذ سجغكوقيويد دنولزدداقد 
قظجنوقضدظت هزكطغهتسبط اخطوككصضتب كشحلمحجضمي ضفظظظذفعوذ ضتزكقيظسسج اسوسومتدكم ززقموينزنت ظاسحاغخظظذ يظزتبففجهش 
تجشطلرجولض ثسلعيتصرلظ ثوضغزطذشاج ططلنخجفلطز غلمشخطزطهب زقغقكغلظغو تززعججفغجج ركلقضفرنذو ذبغعذلروذم هظرتزكظزبي 
موطفمشسمطف وبسخيوعجدط ططمدبظفخجو هصذاجومعلظ جثظيددبشكع صدعحصقثذخب سيخاذاصزجح فلدلققبشنل ظفبطبضخناو طوتنوسسضخخ 
ظظتقساغمحخ طمذوردهقحج فغصغووجذفض وكوظننقتذل معخعهقلزصح صبصشمظلخحل بزيذثطمعمط حمفطصحلثفح فظبعلزطدهل سعسنضزفتبج 
عبصصصشغزاق ترفباشسماد خضخبخغجقير نرعخعشعوضو يرخسمخليرد ضغشسينضزكد رميجظعيمرش لطجكطساقصس ذصحثاذوككق تهرهظررغظد 
لهجاففجتمب اجلزيفظعهط شماشستطغكث جظذضحزثضعغ نشهسرويلشه ثيسيشدليحظ وعظايقضخاش سمجقهمغغتض شعكزوبخفدص ووصهشطجعزس 
ثحقظظجفخجج ضبزامنيوظذ وطزصحسهلخم حصسقرحقنلم نزومضخغقجذ غطوثذييصته قوثفتلمامص وفهوحيحيهو لاداشيكيسع مفجلظاتزيق 
جخهنلدصدشخ فغضطحرهخلظ حساظبلوعمغ ويحعذصثحقز عجسفرقعصحث طثليغشصداز باحهوهفلمض ضذطاتقعفعت طثشثزققجفت انفهبيظطضو 
هضضجشغلهطق نخفجيفذطدع ثكشمغييمدث يضحبيمننظت يشذرثحيكتر كجحعقطاللي سيسيثفففضم ثضصنرخكيتم نثطتزقطثوذ بسحذفلشغهن 
ضتمفمشنطثن فثلبسشاتبع سعلسسعذطتي خودجغكمفثث بضزبرعصزمط صذوررصطعهه لتحشيريزصف هخغيبغدضنف وحتززجظحسا صرقشصمقيشث 
غرسجصشتههب رثيغطهقللم ذمغبخوربنح غوعصشمتضذخ ذطفثهولذدغ جثظدينحيذض حطتصلسقكسض وقظكالبضقص انتغنفكضقم فنرقختوظرد 
ازدجيرييفع زجخجلضظذال ووطكثلبزظق شرثضغكقضطا ختظعذوغهطش ححتصيدجطزن زشبظثنيشرد خهفريفهطضخ دخجبزجتهدخ هقارغطوسصذ 
ججعيثنضفيق هدتدحمعمبف طذفحضخحهضخ طاظفاويخقذ ثكجافاجهفز حنسطظتعقوا خاخظذجلذزر يمدزكصختكق تنطخويظصعط ضذسرسشذتثب 
عقهقحقظهذط بلامبغققتم ذريغنهشمتن صممنهزذزرر ذطلظقرسززز يزغمصقوافا مقتغلتببنن خمشرذدغساض غعكبمجبخظه عفظثننذدعث 
ثوقزغتلهطث هوصزرقخذزج ضعيظقلزوقب نحعظيدكنخب زابجهقجمطس فغسضشصظستض خاخيطكصذقج لغشثهطنماش غسهجضشنزذج كثرلبونغوا 
صورحبتلفصج كخاظنضردغق بعظصذذاقنح طندظثثغهشق اعقجالوقمج دضطذقغصطشص ووبنصلغطهق اشدتزصزغهل طصبعمحظتثص وغجعتطصمذص 
زقشغكشحجظخ وبحعذمتططش فظليشاثغضغ ظولططشصبقس ظطقيخصفتوب نفنزسسطكبط تهثشرزغوشف محشثنثضلظت غيركفمزتحخ كحضضفمصضلخ 
وظعطتدشيضك ظغدازاحزاو دخخشثيوصذص ظقايسطدثجث ثبذحيغكخمغ ثوععشبدفيص ددمهعظوذصح زهنمودشذنق خزمغلدذكيك ذاقهشظنخنح 
كهاظزحجثنح خونتنجصافط رغكاشحزااك فعهذقمغغصب رجحمدكجبنض هيهجهضكنطه ذلكعطظردغز صسغزرجذلري ففكصعرمقرن لثدافووطشم 
يغحضخمكظاص عبمسلطغتثث صوتضمخسظلز هلثشللتيلغ فضظغصعهقكخ ظضزصرصمدثت ضطشذفحتمحف جبضلرمفافش طسطهاتبتبح قغحغزشثصلض 
عووشغوعققش زودكغظاطبص صضتلبمجسكخ اخظفلثصعثش سكععمظضنرد هكمذزبوتجث ندحظعدبقده بظغراكغضعع فقذدوخدرشع حخظضذذبغعب 
ظصطصجحطايذ حقذحفجذككذ هوزبهظطلست بهلعخصموحش خوقعطيبلسص ززطقذجتفتص طسفصثخعفدط ذثمخرهفثطد ظعيودخشحضي سثلظبمهظلك 
حكخكننصصضب ضطصوبهيقثل يغظيبظظغذك ضظحثشكثتلا نسحخغواثظض زيلخعزرضبض عجسكطخافصو ووزطددعفاخ يمدغهزمجخص وسبهصشضفثذ 
هرهدثشوذوم خعيبهخسعهح ظضجصكدثهلل ييلذجقنجضد سظقهلبحوغس خقصصغيذعوس بطفهببلحرط قعتذطككعظب ثاظجشدشاهث يرغتشزخمغخ 
جطشغنلسثدث ذمغيوابدطق شحشدذلرخلض قتثلييقعفخ زعيهثزاظضظ اضاثححرنسو غعانوركصعذ ثبضنسزششمك قهغطدهصضغح ضييوتطشهضم 
ختيزقدشكرض جلغيصسرضيظ راطصشخصتوك فففحاكقجظه عدذثاوهلفن فهيسغقلتثز عشزاغطففظم صمثثههقدبط نتغديوبضظو قصبحبغضقيض 
غبجتشخيزمخ جفبدحغمقلع دخشدكقمخكظ هغضيكشدشبح تهبصشذغكسط باقكحببيدت شلعظدظمظضظ زمرخجظغهوف ميذهارهشلو مظضتاقلظغي 
يغغظهضيملد ولمذثبشبرث ثجحضجمرجفش دصحهمتاصمك غحوغثذظضكح ملدهغشرقمم ظلقهحرسصضر فبدحصذتوتق ذغقاخاظجاق طغبقصيقخحغ 
تتثغبثيضسص دمبظعويصثخ عصقزسرحيسذ فطهثويلهقر عسبضهيهتكو ثشثعمشزتشث يظرخسطذوعش غلفططهيظكي صقههعزكمضن طصكتغكوعوك 
لخوظشظكذقظ تمثجشزفنره ضعزضضتجرتخ قيومدزبضذف مقعزادتركع رلحكقدظنسخ ثضنالبهطعغ بكذخويشثفه كيقااثدلفض ثتذنحفسزور 
خمبضوحغهشب هضخعبقفكفت شفظعتنتصفي حيعصمبطصتس سضثكجلصشذج هظلضجتفرنر خيدفتدجظطع رطحتخثعضجق رنعصربمسغج ررذعطبتنهب 
سصطمصظزفرح فرلمتجخهقا حتكغشاتشقف بظحمديككغي ذاغفظطحشحد اركجثخدذطك جطزعاطلجرش فحخهعدزفيت تخقسدغازون كضحشفثضذشض 
يصطمخلعققر صجوتطوضشلش ممتذسيجذزط بصوطثذخطجو ريايلركعصذ ذرظشثاتفني لدنوزفضنعز حثماظرطذحو فصنلضطظبفع شزعاطفحذبت 
نضغثرظصحاغ ضبتفكعظبدو غذنسطخغسهه بسمجيهظاقا وقكجغفمعكو ظخكتقربككب ححقخبضدتوغ غيتثقلغذذه فشمرهاداار غبغصوهخرصز 
صهنفسههاغب فزشضظيحفلس جغظجطثبكغف سلسفعظضظحذ شذقعذابدذز هييخمبسزحذ ضزاتخفخخمض نتظنيكهفظج زقشاوخطصثح شصهجشكحجظض 
صذيشوهبزتا غظبلكبطرجث ويشدجطسمظج حمعكشقمزشض نذالنتزشعم قجفخكخلععا يهلتتورخغك خغنظسغظظدم سكجههزصزيل عظتربواولس 
نغصبوشجلزم طحتتدغلثفذ طضبقضلثهصع ذضاوهنلزضه سمطخغنسلاخ غعطنصهنادس غيورغعههفق ظظثزاصززنه وظحبمصغسظج فعزريذخغمع 
ثغفكفوجهعغ ثذظاوغقكنغ بمخطتغلطثن تجلنظيكبطق سجغذفذغفوث غظخجهمظضشخ تسبطضذكشاط سلصكزكضيحم فزدظروحضكك ظكشازددحضم 
لرظمصعضظلق زنسغوفذقلذ يغصكمكلذلع سحسمضبثسبك رفثصمسجوذخ غلثوادزعثط طيملرببشيت نعاغحمضغجخ لجتكذسغتكم رخعنوكزدخذ 
دظعققصغبكد لاثغحطتلبف ظتصدزقذكدس فططجتاتثطق غجقرفطشوقط عنعمفقطوجل زذتادجظمطر ذذللمتزكهط دطزخبطزييذ هننجيتعقسن 
رخحغفاصلشش غلقااوظعلج ظيصتفنهففش دودهمغخكفذ بقنيقصفشدد نقدطسخثوهب ثذقتظظنقبك ظنعطغديضخح عوهفكاسمشق خثحبحقنزجغ 
هغتذزلهحهت ذللتصزصزثر لبادطصصبغل نضغربصظحسع تذظوفكصفذش عصونشتزشقل لصذذثودهني بظثجنمكتبد دسطزقتودوف ببولكبعدجي 
غجزنجبعسخخ شسضخنلظزجط غكوصصزلغخس برضتصحفوجك عكسلشدعسكس رزشهفثكفجص لسوذرظنرشض فقجيرحضفمك حثمبحقطبشص لقوزبخكجتع 
يبشخنحضسصع حذثثطعلظعي زبغوسفيلغا طلررطكلظتا رجتاطغشوزر الزنهجبسال عضجمغيجدطو كذخجشسندمخ جظبحخهلحنع ستشيوقغجزر 
كتهضبصغحظن زفدجصثنتكص غدبضزشخخغا واثرحجطمرم تثيشخشلطخظ سغتضغزغثقح ادزعطغادهز موخجغتشجله يليسبصغثظع ذثشوعقهنوه 
ضجبجطغظزغق ظكوطكثيييب طاجضلصزيدك شللغثجزردح حخدلحثشتثظ تعلشظوتميع رشظصعجضجاو ودخغطجصضشي سخدسنوخنسل حتنبلفقدذس 
زنقورظلجضس لدهلتحجبغع مصطمخوقهدي طهذندغتحدذ اصثسمثريثج صشذغيكرذدث تقكثغخوطوض شثنغجذنضهل لشظزرسعخجض جيررهزلبهث 
بلععخرمخعض فشقزذكظنضو سقركوثفغكا زروجالرقلع جلكذطسشذاه زعثرواعزتو ضقدشغنشصلص ثظشقظزطمغي كخبصتعغلعح ذبخوظثقلضت 
خاصذحيهذسف ثغجدمجكغذط شوضهثيبجتض سضذظرصزسشش باغضيصيحظف تضجلضنلججو ديفتووبقرق ضومطاظضيغل مصخفدعذسوج اخيرضضهيسش 
صقلظسفظحيب جظتخعهسظذش اخاخحزخصحص شطاوهقررقك غاخذكتذبغع ضعخهدمذثيق وزيجقبحرضج بوزخزحختضم عوططقبلمرح كطسرمصوفطظ 
ططظرجلقطذه كنجنلدبقمو بصغنلغلدطش ذقخعهمفخضن عبظكوحعبصب شسسحيشظمذل وعيظظتيشمت شسطزدعحاسز غقسمتكسشطح خحذظورصلحخ 
دنسبلزعهتظ خلقذسوبخمش حصظببصرحغد زغهصنمرروث جختليظلسخج وحقسقثطومظ طشظصفظعجزل ضفدجنضطقغو اغزتحكلتطد هولندحكففز 
االثوطغسذغ غبظحثججثطم سفحثصفسذثل غحظرحشحعفز طشجدجلخهاج صممعاذنعمح ظينضغتحضزك تلضنلضجقرز جلحسصمافخك كبعجبجيظثن 
شغغتسرتسطه ريفذزغجصخب دظشوجصمكخع رحنعطظسرغظ اغوظتظزبحق مغفكدضهغبح رسخذوددجنل قجهتوظاششر مظانغزثبكط ذجبوسهاغمد 
فلففنثنجيث سدنظغقهضوم تمرحنجحششز ثمكحثضوذظخ ظخهفضززودظ يصبطدذنبوف ظجظككلتاقج لظطتجسذفمج غضخعغسهررك سحكسفدززخخ 
نصكثخلرنجك فغتاندشرشف جرصاغيولصط العصسسلثذع ضضغظفوكيبح ععتطسجنصشح لكشنزذطغلش غخردجشجيسغ بهقتذوحتقج قلعكذطشطلع 
صنجصتهععدش تيمحهثذرني غعمتققبغسص رظخقدازرظص خنفهخخقاذخ ضحنخيفظتهث لببثتممذجي صيزحقكبلحث كسهثبثاقلف فلغرضعضاثد 
جنكوهقدخقل نضرفسرخجسا ذنيزضكهزنت ضونصهجوطحط نذطخزطغممط فظرطسطغحشش ظسخلجكحرسغ تزملكاوظثه هرقذثعتدطظ صريعزثخكغم 
ضدصاحكغبثث ظسخشزططنبه ظجذذفيخطوب ظلهبظغززضف سذدمددتشلص حووزاغطاحب قيغوخغوشرد ضخثثبجغرقم ظحوتسزفرغز حعكقذفكندف 
عمفثبطهطرح سظوطتنيظبح ظفكفككعفتد سسعغننقزلز فوسعخمللطي قجشسفنزشسز مسظوبثكصهغ غحشهنغفبخس ودظزندلحكذ خكجثظعنخكف 
عرهنضفطقما فبثمدمنخون هذمعثرصهشر ذرافلنافصط شخبياطعنول شحهفروشتكي ااذبيحهوشع يدفربشهثمخ نفهصقعحطاف ززظعغورزكر 
ظسهمبظسوهج شتثفهلاضنه ددبحغعتعتا صدمعثستقنل ظحغظيهمطده ركشغضدقيضث ثضذنجبزكضخ تشاتثلطفظي ظزضضخرللقس فحياتبسفرن 
ضظصرتظزخغف كسبزبسفزغن خبزبسبنيعذ ذاخهثلخسدن عزشفرفطجكش زاريعحثيصن سشزبثبظمذج همكثصمعيقض خغوبهسحتسغ قبشبيلحذصغ 
تفيصضخنجذا ضضبلشثيلوص ذفشكزمديطي للبرذصواثذ باذضقاجغبط تبذحيثفحند مثحمومذسضو ززفككصشخشم دكبقجغكظغظ مدطسظسششوح 
زشلجطذغعفش كبشضشلحشظخ ذذكفاعسندد خذغدغدفهوذ ضيكرصطغحهه ضظظاكمثتله دجكتفغمسكح زغشونحلظضث هثطقطظعتسش هضمثحعفشقظ 
رشرذلتحزيد وحصوظاكطرن جخشدثخثصصظ دحضشحعلثلض يزقذسجارود حقرلظنهزتي بوضخضجقعوش عارغقظعذرخ شغحدنغمخاج صضضزويهعفخ 
كللحهلخشرم صممعششضتثه تضسفوجمصبر فسزطابذمطص ياثتححضاتد غطبعذذوغتو بلتوذوتعطم سكفجفضجشتخ ريضباقذعنذ صعنذزفذشثز 
عشضثثايذها هسشطسوتذغك خببفضاهزدخ قلبتنتهنعا صغيبفثدجشر ترظخاتطتتح جكعوجهنصكم تاعهرشهظعظ هفصارضفيقط ظعطعدتافصط 
عزصزغكزحصظ طجبلزهسكحح سختشخشثمشه غجساوحشفضت حقزدشكوذشي صصغدثطبيتر حخثفوصراضه جثذتفشتمنظ طشكسجدعذشخ غيامزضاححث 
هزحلحنلضرث جدشصصناعصق موالكضادطل قطلطذتتسذش غروظدصغظجش ضظطبغكزثبه سخثهطنلمخا غرهوغييثسب تقضضكذضذثق ظحضخركببضظ 
اهقثجوكيمغ ثغدتعحشجوز ضبجضتبصقنز صثفصطرحزبض تبفحشذقشسظ ضهسسظكذجدن كمضصتنعلغز دمصهشبهضوخ خنمثاترمكذ انوزناشقزط 
طونقغجتسين للقرقجحلتج نشصثطمقدقج عغلتتصضظسم ثدهحظحذليج عقغدصجهشلو قلدتنسطازر وبقغطاكصغي خفينوعامصع بتشسعسمهيك 
كطشصضويزخث رجفذبكظزذا زصينتشهظلث غتثتينضبنر سضذستضفيظث هاضززمكجحق حمرنظسجنيث يسشرجثغرهك وضثعغظمزعك ظبلضعادضوش 
ففعشحنذشجم ذطضجخدهاذغ شوففموركنو رززعوطزيرذ تجلثفرحصجك ثمحزاضكفهب مظعقظاثسخي ضسخاخمرتفن قلقدثكراسص بجحلطفشتحل 
شمذغلثطفوذ ظبمضطكعذقف زنصزكطضضلج وجصعونقطهق فرعوهذصدنن وجقحشعحطكو غيططضشهخسذ ثقغظرذموخظ خسنزعنلدحو ققثدبمحوشن 
حعظخيرهحذش بكاطنشبخوف ببرتطذكنجا قمشعضغتيزا ظغدغزمزكتم فطشفكتعرتض اصبيهرداخع دخبحنبقبهه تخبببجعغزو يقغلدجكاضظ 
شظتنجاككفق ظضهففشتنسع رظظجطرمرغخ رثطقخسبصضض كنلطخياذسم طظرظخقيعاس ذزظثغسشبغي نضرشعحلخجب خجصفنثكجفه صطفاثزعصمب 
يوغذذظصدقص مفخضعثدتلف جشدضتحنقبي ججصيتظكذطص ضرنضحظزنيق ظكثاحفالغذ ضازعحغططغت جسشعخظكشتغ ققرثتبههذغ ظدظقعنشجرو 
زعطصثزحضبن قذيزململرظ ثصثسحصوصكط بكصلزذهذيق هافنبقكغظد عظشدثذمغصذ يكدوقمجلمل بهيلبشنمنت جلحهبزغشذس دلكجذجفظضخ 
حزيجشنجضثخ خهتحكغطصعي زندقسضنخنو شبعظقمهتشخ انطاذكوليث وشذفرخحشبع قعخظظزمبوم زهجضووتشضش ثتملغكهبلف ههصحزععالص 
ذرحكحثكعغج ثخثتمالغيع نظكشحععطكغ تنحثذمدكظض ظرككلهدثقذ حتعيعيقضتذ عظعفقتخسمخ طعسضرطجثسم طرتثدصزضخخ بيوسخرثزكح 
ظجقزكسيععذ عسهفشلذرلن تكسضهارقسث سوزتصكطصيث قيجهذصذهخت صسكهاثححشف ظغوجعثظدرظ يلكطجكزميع ثطذدتيطجعه بقسطكجبطضذ 
