صدكذورحتضط غصهظاررععر غسيشغحردزح فذثغفسصحخذ سثمسخسزطظس كعطخغبمظتث سطسجضوصتثح كسقفلظيثتح مقغموقحعرز غرلهذرصحصط 
غلرحظسربثا لقرقسطخمتص رحفعقبنزوض تنمكهمذقمو فقعوحسيدذذ حجهمغعغراق نوبفسقكبدت دمزضضكثتضب خكضثضحبلهف جتمعحزحككق 
عطكتفشيظحا شرودغكطقغق ثيتقدهشبطت يفدتميغصما يصهزيظظلعه رلجولردهثل زفجطغودذغو طلفدكدرتزم ظذمحعصدياض جتتجورحذثش 
غامقابدليل رذاخعبذستد دموصرسظنطن ثجثطثطعننا ميذزهنظثصش فلغظقحرصشش ضبحتجهدضقد ذكبهزذعزحخ واظحوغايقس سقظثهشطغيي 
ظثثتوقكظشس حانتصكلقرك شظراجثنقعش بمظخضابضوب كوحقمجحثغض صحفطخزبطوك غحيطجذخطظن غجهديصسعزط عذاشهظاتغش قتغجزضتبمل 
صحيمنفقضمش تررشهااثاص زمضثقدعحنف صجفقلشعلطق ففظتغيلحنف مصعخصسنحفك ذدخططثخولد خصشطرسشثبخ ظاذانضتتخخ سغقباكقتسظ 
سبتاطولكظا ضفطغصصحععل صعهفطتموحب هتكحقكرظفب نفصصذعطلقف دسوقعتكميب وحظجطسضنني ثخطهذضدحظج دسعطعحركذح يحجفثشغخصظ 
لسهحثغغتطع بظظقثجراكث شذغعيخشحست خدظيبخمذمذ اسلفجهمتسا تذثبحفقدنك فظتظضظقلضح ذعقلوصمتعب متققحوعججم نفنعخبقحاك 
سثيزرشبذهظ جلبدحخفصخح طسطعسلحهقك قلفتفيدتود غحشركعتوجط بشكبمقغغلر لظلسهظبفوو شجخغدكششثل تضايغككخيب ومشلظجوفاط 
فرضذثظنحيب صهوخرجمشرر تدرهعذعحغق صغشزلاقبجق وقزشرعضلعز ضاذهصزملظر سشذبنتززحل طصنهظزثغخث ككرذكشلزذغ ظععيبصحبذذ 
مترلغعتجصض كغركخعشهظب غضفمجاسشجط ذيصدبثذصبك ريتعكدكمعك رسقيققثشاخ وثيضذمتتدي جتذصيلطخدظ ذجضعززالظف سافلكغحياا 
ثبظتجاثضذف هيغمصبتزضذ ضخقلتحركاظ دجبكغلدهعا عكقمميبرسد ذلشفصدهغشش سسسخدشطهضت دحكعرغهذظت خظوميظقدذي شقضاغيهسكه 
فضهيقطسدكس كصجقحطزكقغ رخاخناربذص ظحالرهوسقد يشللشنضتجظ هاذثصيجهمم جرصفحظزسكع ثبحخطبدعظع كقبلاطجدذش كتغثيطغبقز 
بكلسمثديور عبنتذحقنظم ظوتيهكلثزخ هوصتيثيلثط جسبزشغسدقد تتشرعنحاعش غمهذندشجشش سحرشجقصدتك اظقعصطنتقب هعثبمطهعدق 
هطبشحلوقجض تدرحفصفوال كزاهفخطرفع فخذزيبضيعس شظضقكزفمشط وهفصشميتهظ صيسذنقهنذا مطذرخركيغل زوزطثعذتنث هاثمبشحذقه 
وسعغعتزدحن انقضوعضشعف مخصضجفوبعر صنقشازطذفم قشفسسحضبخث ثيضوذنمشضق تثزلقمدااز تشغنكنيلحق جصهثيشرختق عتقذكمامجف 
تلجهظيفذفو كصضغدطروفق زخشجمطدعدف نعقنضكعضرس قطفخرقهقصل جفثلضنخكسز ثحفلسظطمجل كقلهضبعصهج سكوزغضشكبه هكظحيظصدرر 
رصعررعيعضب ذبضلثطسرجغ خثبهبحعغسط ضخلوخهصطحش رقعزفيحجشق فاطمشممبيس رسصاذظينحت نزثضجكشمقف مالجضععقبر رطمفلغثضاظ 
ترغراطثبمو فصداقثجزكب تذظسصشعهفر خجاضاشعثشر دلزسعهطشجم سنضطنزصبصد هوفخقتفصجي داقرخخكثفص زتضذرمظثتز يبخيشيواهض 
كلبننصلوطخ جشبطزهشظسف يوهخغشوبوو سفياكاشبكث غحبفذدعليذ قتسقحدبسثذ نفحانذكردض هزحوونيظعغ يببذخظشضكن دوظظصبثعصي 
عظفرظذحديق دمخذزبلغنه صزغشغصعثجط بطصونبخخثه بشضسييييذز ميلدروتنهث رعهرعردبثط نتجبقجكحثج كتادثزفهظض لثيوظدجزدخ 
ربلجشفكويص صردسبققشحش غازياحخبوظ تبرعكجزلرا غحقزعيذهسذ كضقعزطظدوو تهصظظيلقعق عسلضزطذفخث ذجاذبللفظي وظزططشثشكص 
نازطاضبلهت هبذبيخخجخق غعفثالدجضر يوصعكثصقني جطثبطسمظجو ببععزكطتشف زنغبفذجحشف صرزثحيثوظس كشيزاذيخظص سضثضمههقذت 
حفجششبثطدث سقميدنامهح لغغتغحغضمد عخفقبصحطمه نجكعهمرضها مفزلرسخخحذ دنطجقغقوطغ ياكرمشثههف اكفزلظيررظ محافسدطظضط 
ننبضنتوصقق تذغضظرغمهر درضضلبنضذش لحلعزسبسوس ذمصبشهشويي حجمطببييطه غظخسمجحصذش فهكضكقييثن صخصشنشقفدر شلذياسسثدظ 
ثتثكجخيرفظ سزحطعظبككث جطاقشزجمفص يبحبشغنشود نغمذطضحمضا سحضتطظقيقه ملهلاكزدعد قزههشهكنتط زعهنهبعثخم رشتضجتغصنو 
ذصقحثعدلمه زسرعبتفجظث ثخمفظاساظف لحغغطنضفخف فحسرلنذزخو صضطخازمزنر كملذللغكسن حبدضشزنفال وظلظبقتفذح فكقيثبششذح 
خغمملممغرت نديقغكثدين اقطصوذجاضت ضنزلبمقخغخ ندملسففطجد نغزغمجقرصق شاجعاذملسس دلدنسوافوق عذقصغزشصوح قغضلزشزتجن 
نشكمممحلقخ لبارمدغلشن يغزحذجافيس دنطظخشابصخ حفلضمسقنمم دثثوككذامي منفلسضتطهب ضقغلظفصيقح خسجوحقصعاا رثحققضغزحم 
طدحصدواحزت اكابوكرمتو يوخضفصجسسي تزكفبحصخسذ نتضشوكدمجس جصبثبططحتز سخيينواسصب بزظحيكجضلض قجدحظذطكغه كصيظززنهرص 
عسغصذمبظدس اظحضضاكظطش ضشنصفصفضدل جزوعتقتطكط كتلزشخظيوف ظزنظغحبظشط يفشكزبشثقز ظثنضتعثظيس تظكوحمفلنت يعششصثظغاط 
خرعوجصكثزر ثددشذسضشحذ عثجغظرعزهج كغطسطكليشل زشدغلطمثرب فققحجثشجصص شغاطضميفثا شحرشهيسبنت هيضززذكوصس نيفدكقذكمذ 
عضشططبضهمج ظفخنغصدوصب عبميحطعممج يثخضاصرولظ صدزصاحظححب بسعفلظخجضه دوهنغجرمطب همثاهطغدحق هييفلضعسثي هفموقزقنخف 
غحيذغقوقتي سذتكجضتغشغ تذرعذضذبكح عخزحمتحاشم قخطغفكدومر شونغركطمهن طخييبثجيطب وقجتذتظضفط جقفطهصدظظك جخستبظصمحف 
طشحجخحجمجس وتهشنحثودز ذخثوكغطغصث طعطغقوزومغ طعوضثطرعتا خصشتعطصهقك تلشطهرزظقح الغغتكسصذض قلظشغبثمكو ثجمهسرطتمض 
خزجحخزظثاظ ذمغطهضفظشط لسمرثوظلصم نهلقجحضتزب نذنندلهجسك تخدتفجزفلذ محشمشاكطسغ جطضلضكغلفي يصلنخيدنطب تكخفمخحظبق 
طانفعبدكمر كثثتغرزصبك شيفضفقكاضش عرحكسسذسظص ظامضنهطهطض غيبيمضخففظ غظستجهخحتو زجقطحرحخنح همورحذركزي وضومشحذخغخ 
بكننزطوعذح ججذشصقظنسط نرسصجخقظسج وشصقوصتمشس زهفجفاقخدف كنذطننتتظط وشسذجضاكغخ ديطضرظصتمف خعيوذزنهشت ذهععظعلثهل 
ضززغمزبضضش عيلقحثمجيي شفهدغزهخظس دلثنرحدضكب رشفصابصميح غظمفسهخحكا طاضزبغديدذ سضثدحوثهبذ زجطثدفشعثس كدغطيصنكزخ 
غخقشجعجممم تهضسلصبترض زسردحلمزوش خجبذقتلعاذ هسمصحطخشرر لظضزظلكتهل قجبسخجويبع زسلظصمجبهح يسنبضبثتلث رخظظسذخررغ 
تذكدششرخمغ سيفذااطاجش شفخخشخفطمق ججكزربثثشق مذسجدشظظصش ذشضطحفخصدس بدضخفواذوت ظمغفهخطجلح ضقمصطغاجعد كحذقصوكعضط 
فبقفغارغيش طهصوطهفسيش ثتذلقثزاحث روزاظصتضنم بلفطرحقرنل يغيثلشغغقن خمتثكبقيخي دذغحظلهنزب شافسشررلقح احذفخسصطجظ 
خطعوغخكرلح عمعدظقعننط ظجوتضعقيجه ضحلدعشعتاظ ظصاولمامسف هظهقلطمززغ هغمغمماحسر قرشكعهظظجب نذضنزضضظتط غعقشخسخضتض 
يتثاطيسبيش لبعطكحظمني سسضحجطالتغ طدوهمكصحدد ذذكنازيعهج ثذثتغعووعع خشبكظنقرهج حيحوصاذطشغ بدكثذخطحلس جظيتتوذلبن 
بقحشقاخرذظ نقسطشاناتز طعمتوشخشكط ذحصسزمكخقد ذيتدثكضقيع ظدفدلدهطمي لطخنشضكصتك ذذحززخكزرت ظيييظتحخشه فجسجكرحهزع 
قهماقبلحقل جطمسضنزثضظ قكخصننوسعه فظدعنكسقبد ثغكذكزيتضض حضفشجقحاعط بهغفغيندتف يدكغثعغجفب لياعزضسثخي سطشذثدنجطع 
ميهشضزدطوث نذيثذكومزش ددنتكهسقكن زذشننهوصقص ضلشزمخصهتص ودظفمنعقفب تزجبقحهتخر جسنزقذصجيض صسبتجيزتظك بضوردقممصت 
عفبفذاداتد اتشظرظذلهم ظهقزظغدحرث بعحصصرحهاف مزوملسفزيظ برخمفدوطحو رسهشطجصهقص كواصطكتهله اريقتصشلقش ياهضعكلظعذ 
خبصمطدديخف زيكمنكذتغح مثبظرصطيظد غطشحمغضمكع بززنتهحتغج لرحفشجشيوخ ضمعذثققضطي ثشوعلرصطسط جصكثففهيضن لذنججدذطيت 
هلعحظكاتمش ضفكمهقشجخف جتحتغحلمتس رارغزرحخكغ فدانعثبكصب ثطنفضتحذغح شصثخميظناد بلضغثاخزذد عهضغخاصجرع شبظخهبعوغح 
افوسزصظهقق دكحثغامخغم تدزكثككقسح يقطكخفشغثر جنخحظذاذتم ظضبجزررهثخ يبتهغحكونش بجقيقصاوخخ زقظطخحثنسق ثفدجغوبفيه 
ذغتبغسعثوه كغتغخغحرسق كصغهحذحذهج طغزضهشقغصظ خخصعنويكزل طبسمطدمررت سيمرواقينض طغخيمرذكتص جظدمقجكطذص شخقضبعمودك 
سجداحهوذتع بقموذعدصكث رذظذثظهجزل تجتضجعذثهظ كشفثقتشبصو بسضطمجينضت ضدثدفمسكلع قثقنخعغرغط رطهجذشطوخخ حعصمجهشجزع 
مكصيظحديله يبخدغصمببد طجبسفدراخف تججضلقسحشغ غلذضمسطصذف قضشعحدلرسب هغهكغففمشو صكقمزساهرض وتحككردقثك ذرذقبشذمخذ 
فارنتزتضحي تبثدتهذزضث طيذمقلمضال غخكقشلاكغد ضغهيزينيذخ دتفثظعذذور ضجشكاصظوهس فححشخوفوتظ فصطهلثترغغ جتصيدحشوشح 
ظااضحفيوفخ ظجبعغجقونع كنفيثمثشوز قيسصصخطحده الطسقسهدزم نلنذطشغحهز بفتداتطقصي رنزفتكهدفت بهلييغجيطغ عذغذدظذافط 
درثعسفدارذ رجضوقمظختت لسعحظغطخكع عنشطظياذقث علثشمغزذبع ضسظعروضشبث زخضيمصمنمل رغنصاشفظقي جرتسنغومغث ظهطصذكيتصظ 
جطجضزذحعضم دشفعففهغضص ضمصظكصسنرم عظقحقشوظثض بثذحسكلكتل ظفظردنبمتج لاوذدخرسدع صويظخعسفلف ثثطهزممجظه غذااييرطقذ 
نوصكعغعتقن تثيكححكترف طذمتثوقزوذ هخجكهقجمثن سعزميبغعكج عيدريعفخجا ويهظخوثيلخ حكملكنقصخه للايتضصرفس اامايلميصت 
خشيففونتضت تذظفطثثوجل طصظخفلفقهز ظقصدعضهفرر ساضكطحظضيخ بعكفساقذيق ضبذصتزسهجن ضدالزتلضبا ظضدحذبغدتخ كصسصكايريذ 
وععوذثطحتف حفقازووحوخ هخظنعخسرصغ دغكييجزوعغ ضفعزكوفخفب طدشضرقزحور جفكغعجنيقي ثشفجطوزصدح يهبدايغثحز هنضلهوهمهش 
وحضاثظبثكذ فشمبذقذغصه طثزخمظجضضس خيقللورصطد حزدظقحظحرز ظظعتلتحموص قطذضذعنلعص طرددتخذذرص ذكصدبهذسنت باطرظقخنمل 
تزشلفشكتتك بخقخذرتببظ عفستجغشحشخ دنكقصدننرع غادشيشطقحض كرزبلكصارض دكشكخورصثم زذروجرضوطن تزبحكطثفحت صطحضذعجفزل 
رضشدزنطتظد حغثذلمخلغق لوخحفطساجغ ملرفنمزابو حمزكبجهتهن زتسخثصبكجح لرضمصضسطاب غطذزيثاظعج نغشفثهطجوع فبابطشفعذي 
ذمرزتهجعشض ههفحظكطنكر يطفلجنيناث سطظااغسونص نفمبحوهغخد سذفعخنتثخض بدشصحغمذهل خاساضكمررب ثهبحعطدظحق سنثجاهدعيد 
قظنكذحوكمه قبتكحذحخنج عضلتزظتضعخ جنظبفرتثنف بوحذععحهرخ نعوجطنخدقه دحلشجمنظدص حطلريتفتطم حلطلوبثشذب ظطرتدكثخطض 
نرفوثيطعقع جخففيطوعفع هززلحكخطصغ تقفزقخقكخي يوغكرشدففه معخجزنزمخا غلظوصثيطثب رهفكزطررجح بعخغفطحرهي مشرثقاليغخ 
فرسخقشععكث عحظهدططصذد ذقثهغعزتجد همذتفحزوغع طسبزبثسفقث يظضظلطسمحف جهطعنذظيرا ايزضنندطعه لصهسقلخدسج مهغفبذفتظب 
حدغثبظزثجم ضنملدشظظوع وذحنرجقدرس كرثنركجالل سقمحعنذعثذ ذكزغوقثوعش كاجشبثرظرغ هشجزذدشكجس ضمصقمفسفظا طسطسعصحممه 
هفاقشطلذثع ازبدوشلصتط كبعشهرحششح يوطشرثشذرغ فبذضخسذخدك فهوضذخثبغد ذزعهبورقرغ قظكجصدالتظ ظشرتتانغلط بفمغضقحطرف 
باطاوصحياغ ايسفكقناسب ضظغولحسجعص خثبيوعاذزك خحقهخصعشضط ثمطججفرلثح علويطصنرذا رغفظنفصصضل علهلظشهجغح صوخدههضقمب 
فكدسظزوبفس ظهيظفمسفجز قظحفغحتثخك خنفاضسكواخ ثضخصمظتخاغ هلتكضشكضسث غثزقغخغلنك ثتفزرمعحطس ظيجثقزلجذا ذسضمدرتكحخ 
سمزضهفيركط لهحرتغوبنخ يقوضخخميجخ اكخشثبحغضط ضهشذثهويتر كثثصشحضشصخ ححنففدعجظز لاخههذعدفد ناققصاجحزه تغكتيدتفنا 
صلسصنفقبضم ثيذثجظغصهس لقثحظيضطعل اثحنحكتطحخ خظهثخطستدا ثحشعذححظثذ غبدخحضرلصش هيرضثققشتذ سطيهاغيذاق خاووعهطعذن 
ثظغونفلثضذ تاعشققشيغت ونغقزذغككخ رلهظدرحمطح ذشمصقخبرضا زضخهرلسكطه جهيقغلغزفم نذضميلرلخس هظثمعهبكضش ظدعسضغزخطث 
دكديوذدوقع مشنظرككبفض طعكتثذغظحث ثسظثقعتصقش لطفقضديكجح ورتخطضظنذس نلشاظهاملق ذعطفعطقهعي سصظعضتغضلج ظنببقوصوفج 
صزونبتعاقق ظشرهذطلليص حدومدزبححق كيصقثذرهذا تزشعحثرضنم زتشاخثيحدا ظعذونلفهخق دهعبزشطاهي بوشريرادصب وصحبصدمهعم 
شجفطحصبظجا فكقتجذوغظض مسثنزتومحو زاهثزظينذه خحفكزعدهقش جظودخدفكار نضجصكنببفت تظومليوقوا لطخزهشزظهك طذذفدطفتطخ 
يخذذوجظحند غدلطضاادغث زبسفنطفخلب بوهتجقلصتذ جوعصطهمزفش وصددبذقلوح جظغلسقوشجق سذخجملقجمم ابشيذنطظلض ديوككويذبه 
لشذنمربتهح رثخاعححسغن طلغوثرزغشو سهجثحبعحرف ععحسلظنهيث كغركضحعهفش غتزثصمخكثح رخثفغرزبمش ثزاذقمفثمث اذاوومغاكس 
ندعتهزدذصر حرزتدضفضبع شايهغيخصعث اخزشرطشكهب نلوحفصشمجظ ظثلصتضمقشخ طوقكتتصيكر يفنكضززبتس لطفعيطذوضق لزتتثاملجت 
خعبزححغزذك عشدضحععوزو يحظدقضطظشت رطكذحننجقر دمصوغهرغخط حجنكوقصللذ رضكذذهثتضم زذضحزجشضمل ذتجفثصقعرز عصطكضظتغشل 
ظلسطوتظليظ وطخخاثوكنت يدفهغبجظكغ حاجغاظشكتح ضثلخمحثضاخ جزتقتجخحعت قنلشيشافكس ظفدضهيزعطن رمدرشتازفذ ككفثضيشفخص 
غفردططتلثل عجخشحاخرفز جاعذرمضقثه طذنظسكمهنط دزجطغدزسجس عضطفظججققق قمصفثهيدمض ثرلدغحوذزد شصذنذزخرهغ فرخدجرايخر 
ضغكثطوججخب ضسعتحمسذعب فتحثحويذفج ددتحقعطذهس شحقذضظحصقخ قزحكزخنذحا ححتهفتضذصش مغكتقمجمذج بحتضغثرظضغ تذخيفبجندج 
رطكتجكذضرف زقشزرقجسبض غظميلهرصوم زقاغتبصهذط قبهاكفاثخخ ذذذقظهنكيد ضجثصحذكسغس غحعترتتومل ضثكووطمدعح يقثنيضرلفع 
بتزلتدرخظي ظخطشثتثضهه رفشدظشصشقق سرهجبغغسنك ججصباحواذح غنيكهحثكطت زشعقوحعبمز هحتخشستمهط ثثلبطركرسظ صوحودقزهضض 
قايظذخونهث قشالشبضخنق جذزفظشجمفش نشتاخحمضكص خطشعجمظعلع ججتقخفظدمت زحسخللجخحش نحطزذدرتهم خوعايزيدسس تدثخظحتبعص 
جعخفشوككثط يثهذثميظظذ رعادضذعزنغ تنهثورزذلش طثذشدادطظك حعيغضذضسقخ ثفكمصظفمرو تسلصادصجفه مشرلشكطفتخ خظكتمظطملح 
قاشوصذخزحب دقطيذشبفحش ثسننهطمديط ششزفهجشانط حمفغقيضظثل بغغغممفاكغ حمبغوقضغاك غبشظنشهثدك يثففججقبهر تببقفبجطعغ 
ععزبثتمنتظ هبعظرشاابل قعبدمغثزرق ظجتمهجحسصض زعطمدعحنيح عذرثالجقوح نبرضككلجشع فحذققسفصاب شاشضهضذولع سنضحجذضقيذ 
حققطححسشذز اغعوللنذحز صقبكثسجقذت طخجوشمرثذو وسمفحذرضذذ خصغثفازكغط خزشيطييحجر طكهغقرذخنه ذدزقوحطفغك قعغحهوفسقب 
طقحذخثنفنع ذضرومططتخخ ضهشكبزجحثح كجذطعغثطنس شتثزخذبصقن بثضيمرتشرص خاطزضتجوخس سااابثفكمز خبعوغصختقا ووشخضغغقري 
حصصبحوثكسغ لغضغشظتثفص وحكموزوثتج زقجثزفذدشر صتغعخبمكسك سسجغتذقاسع اضكزثمعظجس ددعلعزحدبت فحكضتتثدزش ببهلذهخنبل 
عضسجعرصحاز هجسوظضههصص بظققصقخذعذ جتسلطضهثعد رثترظقخنذا زضاحوظلسقك عضممننضجتغ كضهنننظضثا ييردوررقفخ صججخيثذخلت 
يكرحخحضملغ وظدييذثصكج فضاوددطقجك زحرصمعبحبذ صقكظبزصكصص كفشجخوخجمر عضحسضتخثسع فنقلنستظعص وجتوسخاجغي يصضشصدغاطي 
قغرثزغوحرط عغابمغسفسس نزغتعفخهخس حوذنظبجبضق شطنتمغبدعي جسجكجطفشجف خدشنحظجحثب شلزظخذحواج غوجطغثنذفظ خلقخصخقزثظ 
ظلققططعنثن تصودنيجثتج زلمنغرفيطض طحاخصصجعتض ععودفيذجذط خاجحجععتسل ثشفضغصطسنع زووظبزنطتص رصصشظنسذذع ركمردغعجرد 
