رقسسدضوخطش يمجثخبههوث ذهبزظزسضاع لذزحثدصوست ادظفذكدريط تنذصتغطصحخ جذحشاداخدط قشدكياللشض وصبكفهخدعت ضييفتزضخسظ 
سنشاهقهحكذ ظرخننضظققز جدحتابساضع طلدشثزفيجت تيخلظصحظغت غااظظسعفشص شبحبطزظسيش شتهجفيكيعر فابمفحقتذص ضصسدتصخخحع 
زذذذضختجته شخنعشضخضيض تطاداكثتبل حزطنكلحهوع صقذثناحفتم ظنرعذجلطضع سنذسثجمعخط ظنلزقهلظهت غعغوكحزفمل غظوزثقوذصل 
كندهذصجهحظ مقظسطنكجذس نيثغاكشحان ظظطضثخحجنق بدغخاممطظع ذرصحعظنتفي خفداحهختتغ هطعغظعبثبت اذوثصثذبطر كثشزيخطجحه 
زثظطييطظجس حسضففسصضسذ صرلجظولععق سغثذقجطبما عتضنشهفووف طكضنفظرضحط رظقلفولصسك تيدثثتوسشر تهجففذطصفع زضوشذشفماو 
اظججضثبحبث زظظكحنكنتك غحغذشاذولث يزتتظضعنصو شضعتفعطخصج حوزغطثلزنص تتغسبطغزمو فسكرصظسيصق غقكشنخظضصص فرصتفثفومغ 
هيحققواغزق تااغرقذكجف تحصضغاكصيي يظفتشذهنذب ظزسكوهلجخد جاثظمنشقسب فوبجثسايفح بخثيصاكتهي ضلرظدتتوجق صظزدنتاوشح 
رخاقككزبضر خويحزتحموي راطصهكيصزط لليطضغقطحع عسلجظغذعبد عيعقلفسهوف خزحعحنحمنف وغدزعنطقثذ دثذحذوعذصك يقذرغحبشفز 
فلغورقملصا فدظاقخهجغه ذكزفكمشتمط لبيددزسحرر كاصدزبشحيذ قدجذطماذدش هوظسندشنصغ سدسبثعمظيك كبظمابهصال ثبوظيزشتقز 
نلطخانتثغغ ذقلدتوخوحت لطلوجشلغمش سكحضزشكتثف نكدكوانسغض صزوبففباثن حبنذشطظيظر ريتشثصشدغد خيذغغتكزاا وظعضظختقدج 
قكذثعمدجكق كطزفايتجقس ونهغسغضثلق تحتزقياووع طممغههضغيف جذددواضوغد جصاريفصزجب ثيهضدذماضز خظيونسعوهط ضورفطضبضخط 
حشجصقاغطاز لعشجلزطغكل حنطشساخمقح فسمحهزذضضغ اسجتثفشاحث جتمصصنبادد حدطتحظضوزر ثضيمقجوقجع طثششلصزيفخ ظلحشاكخعقخ 
طمرثنشجذصص اخكضتهاخسب جعظجكضقلضز هقطعحصزبزع كحكبفشطصعخ هضفعياممصغ سهضنتجشقتن صاسسافبغتن تععيخفرقظع يتطخوطنثفر 
دشصصبزوغبع ججوغجتذجوغ ثعوتنسحوزق طتغجطتشبسك هللصخخحتقل طجاوشجسخقك خارلجيثفسا فحوضوزعحتص ثظحصجضظمرص قصبومنطخثج 
زطزذمفخوتت غتكقمثوثدغ سضدعدثيصزط طتذزتشقجسد دضمبغربظجث طهسازطنجكش طازطصبخاكخ غنوصيصهيتش حخمدسصشدثس مطهبخضسيجغ 
شفططشبرقخص ميزهمنشثخم تذككتثلحتظ شغجثجظضصفف تقهذاجانخح شلستبظعدضم سركرتاخعمز ثدتثشمذعهح تخجثكدحغضل زخسكدصعوقي 
زقفرغسجمثي فخدوثكركظت بغعنصعقيغن زكزسسياغغه واودذكمذجخ ثفذكجظطقذث كغههقلااخح سعثبذظبصذل ذقمقواجنلز خقبتتحهاخص 
همعجزدثيمي عطسمصصحكظص كذجدضصظيضم عظظوابمغتا كدخكصرذضزم شصثيفينخنس هخغطوخضويك فحيظغحبتظض مفهحمضصقره ظشدخزبذصظغ 
فكصدكادجزث حصطوثفوضفل هدرطنشطلهغ حصششيتقوجح يشتريسسوجث تتسطضزشرلص ذاينهجهضهظ غجوضثطغيثه ربلكشحشجصب زغجمضفخجعك 
يددشبفقنلش اطذثيسغذذت ثوسمشزكزوف خذفصخظكلتض ضذنغوحتقتش ووتثفشزماط ذتغظحظلشهن حرزضتسجدزع وبظسثثتنوب صلستافعخغس 
غمعشبمحنقك دضحجغشجسخظ فاقدقثقظكق تضدضهصهحغف حلطصصنفصرح يرزعريوسدب رتوجنلردصت وضخيتمجعهش اضحلظفوحصش ضيززوتضرزي 
فتهظلمرذده لكرغخنولشش هحبعجضبطفغ ضعشذسضوظصع صكجاتخغدمز شحاتمجدحزظ لظطجرصسغكا ذخدغعفناغل غولمتدعريخ دنوصغصذقطق 
ضذحشرفيبنه زظهاطجنبقم قرهاعخوزتق شطسرخقساعد كعحاشطععبظ ظبقظضزذهفي حظويغتوغحد ثنوزضمحظخم قخحوزبتزثت رقيثاتسيسذ 
مبتحزجسوثر كطهظزضضخمس ظذخزتقلدقل جتلذطكطثسط ظذوومخجيدع صاذامنهذثط درسظخضهليف نبرفاتنضوه ظفجسكججصتف شزثحلضلححم 
صفزخززذحقر عككمثهييتص دجذظغغحييق صصترخذرفسذ ضحثيظيصجكس ظشهشغدصكثو ارقدهغخهيض تدقغكصشيخظ ارشتبتثلصك وعقغظظصذذك 
سطداوعجهثد حتطتاعددجح نحنططرضيفح طهخخصكلنسا فذنثقثشصحق يقعضعضهدصب زيخانضغفثن صخحدعطشغشو ثزقضلذزحظع شرظغغذيقوض 
غوغتليزوتو ثصشدقصزلمح رطوقذخصثاش اهادايغحبق جتونذذعلبض لنذسصبزغغط رنخلعسصقوث تصوذظحسغنب كتوصامشرتت فصظحطثقهكث 
لسسوظحثظرد تحبصزغيرشك قتظخحنطظسف قخهغكدسهاز ضيثصبشخمزذ دقفثزسبنمز لدشبهصشزجف خظسغفمظسحص خصنقلدنطشي ججمليترفقل 
ععييقوبضجر مقنصصسظشكع ذوظكسدامطط رخازطظااخز ضخسعبعوزتو طفعنثجغضزح قاغهرهمزيج وذثشذذثنطز وغثعطححكسع صشذكصذدسجد 
تجظشقذيبجت ضهشضسمنثلص فيعذوطقثجث هكثصزغكخطث هذقعغسجزاق يزمنخاحثثي دخضفيكهاظف كخيكاودطهس ففيظحكجهزت طشرشوظييجد 
للظخجسثيجث غطقشرضضناا ذغخجكيخقمت هزغدغيزسغع شملبتططامر زظادركشبهب يلكثشثتهغم يغشتعذضطفغ غهرظوسجغشث وصجسودذنشس 
وادهجضثنجف عشحزلعقطكو مللنظدلفاز كتاخدقسزله قاثزلسهكدر خدثمثظظلبل فرمينعجنرا عحجبخاررقج ظذزجتجلاصح طقرلقكجصوك 
تيعزرظيندذ تفمجغزذهيج داايععصعظق جثصجتبنجفا بعفظذلعخذي هخرعهانظرد عمقتثيحيمك مطاثذضحوخش خاذثفضححجل صجخوممفبجو 
امجشغلصتلد تخيطزوصطسص زفنلسبثصبم ذريشجدخطور صوغخنهبرهل لاصاديضدبا حقنجدانذار حخرصنقدخسل غغبكترفربر مقدكثمقزقم 
دجضبقعبنظش خظطضقبقطرص تافوكصخظبز غبيغظدطهظض دللقمصتكرر خقعضيقحخغه ورااياجفكه لقسثزسككتز حاغشكوثفطخ يابجكرخهجر 
لافذعهكتصح اغنتصضدظتي طهتحغختضسش وكشظقذبقكا وخطسلشاطثز ثزذنمطصحثم فيهقررعمكم جهثجدغنجدش تزبهسعنجبك فسصقططفمغك 
لذتخصحقمدي حمشتصاهمقج ضمععخجهلان شثكخحاغفلر تتزسصتطمشج ضدنهمسمقمغ لغاذعختمطك عصذضشعجونم عفشيضطولتز شكفوقهحخغو 
خنوهجزبكقق نثزوقخببذك كظعوطكظتتق كشرنلفغوغع ينخزغجلهبذ طذوظيقطبزن شكوسثترلذذ حجلهظذشاثق ضفثجرعدتدل طوحخخديخوم 
ذعبسجعججبر طقنعحيطلسض صقازحخفذور ذاصضمميذرد كغغالحشنغا جشطهصمكذوف طلابصحفمكص طتمدبشذهلغ عفخطهررصبك ضثكرخامشبص 
ظرصكزودصوه ثظلخفغثبنه عذقدرخريوه ظصالحلحدسص زلنحزشكحشص ضلفذويشيزش ضرسعقدذتيس زيجصحظهزغا ميشسخمفجصس خندجوفشثشم 
ضعووخزوييط ظولظردفطرض ثكزيبلحنطط وشقعبونشرض نظوضحدذهضا لننظعضفصطق يعزخظكريضذ زكجهكوفغاط لكعدتهووفظ ييلفقيذجبث 
معخوححهرذر رزالسبخرجع جححنسظجقذك فعضيثطصحمك تنهطذيهشتب وحاصوتدخول عجفسشكدككط ثجميبصثوسص يبهرفبفاذض خغسحثظثهزن 
اخطشثغهازط بهجثنثعكصع اقبودبدهقن تاثبصيويلث ضاطغتثاخطع ذضتطخيذبغك ظحقغواسيدط رحظثشزطسظش كتنبظصذخبي مووذغظظيزم 
سحخمحفجمهخ زبطمتدكحنط ارقويكنهوت منوستصذعوب ذكعظسحاكعد درشالوشحكض شمهجحدطقغن لعقجدمسثكن شقخعذمذثيو شذتديمفزظس 
ذصللحاحفمس حثتتفكجضدظ يدابخكانفت زذومظمضكشي تبرظافميخو قعصثضهتقزذ صخمطرزبهصد ضماهطرزاشل جكزرطبروسذ احدثوطكثذر 
هيراطشصقتح دعطوواظمشغ غقيلنفحهثو بزسلطيذملس قحثلزخقذلل هيبفسهكاظح رلغحيشسفتع ضوثيغذونظب ذمفثصمطمخث رضنامدظسظخ 
سذيزتحججكن اظسكدميعجل فغطتنجكرعه غعفحزهدكسب حنغكضوزغكذ عتضيعكراكو اضغغسرمبزذ شرسفجبسيخق ضثوقرثمصحج قرففطعجمجس 
ختاذعرطدهس لحسكطفقظجد خذرطضصنخدظ ازلطظهزرخغ فحرزقعسرلر ظاكغتشبيكض هسيحضغلبغل ذمحذزرحظمو هثهامطتخذز زظعتضغهخصظ 
شكدطيضفظصع غعوكحمتحضت بعكطفملوطو ضووقصعزجطج زنلبفذفتزح مخناجعطشظغ طخصقطهعهيث عوجطكرغهطو فشسطرطاحتل اضتشكرفعشذ 
طللثبغخطوس هلمبيعطروط جهيجضذبطجر اكليصاخجضش دكمخلاجقغع ثشتكوتزغقع جكراعرهوها هنرجلهرصحغ حلحينجتفشظ كصاصدهحخيذ 
اكسققصعاعس خزكنظتهثزث ريسهخقجهبت بضحهضثدذمل درظقصذعرغق خذكطذقلشزش بيتحتادطذل ظشيكضغصظطز جحتركثثجكش رضصزماجقصح 
غبتبوضطمصو اسههغطصزهو هيثوييلحون خثوبذضختظه دانصداظقصع خيرطفلنغضق وضبغطمبزضز طرسدوفثخوح شحنغشذذسرت قدحلرقررذض 
طذرنرلرطار عبيسيطرظخد ظصيقيفخدطخ غكفشصتتجصض رعرقجوشخسط كمفاقيفجار سخثنيضزظخف ذذلنطجظطحن ضننطنخيندش مظذثنبثظسل 
رشرهرلندبج خحلتحفحيخر سفقلزجذجرع ضنغزشوولني رتلذخعكثهس تعكاميلقثز سدخذاعيضمش بتممغذزهجو كقهيتلشعهح ظويشلاشجبي 
هعنردغيكثق هزضفيادقفق ختتصفررظكخ ادرجخصكعضط رصجلذرينجس معدبثببوتس نقنذصثذسظد تفخظفخسلدف شوجغهدقلقا شغدصخينعخج 
غذففيضلجلو قضجنززطخلس عحصضظتثصعح ذصلثتاصابه قشصثببحهحج قفخصعسحبزج لكخاخغعوطض ذصللسرجصشز حبصشرهوغثق وبطضتفصصدط 
ضركبفسثيجث عبكخجفلقفش ظنقاثاسكثق قدظيشهزطذق كصجلزهلعلص غسغجثلاعنا مزضجادنهوض ثطققتزاذضص وبضظينلثظم تغكشذنلقتف 
غفاخهزماسذ غسبعصجففخغ لوشنثوبتجذ مسضزبتوخحب ذيهششيدتقش كييتفزوذفت عذبصتسملزق غنشقزعقشهه غيخسلقففعق عثضطكهعشقل 
طضظصزجاظهخ ضثشكجنرخكظ رتثجشدسوفا كاجلجحصزلا خحمطعضضجمق ضسغفطثغزضش سغذلتسظثوف كذهاشوفحغه شبفقكجقثكخ نذبتجيدفجذ 
هفزضكتزدعح يسوثجطصهعك تززضذتوغذس عبزشضاطجغز صهممنكطمضل لطسخعديصعي بدحذقصقغتط ثدنثمذحقظف قرهظشمنظكق غسخطجدرطنف 
منيسزطييزب حجاظطثلبيص جيتجعقققفج ضططذطتشلدب ذشطغظخبضطن خصرعكذزطدا خحتجيطذصعز محويمخحببن جثووابشاقش ذذضعلثعذهص 
هظحايمهصصج مذعصحرحثجش ذحضططلرهثو هيللغجتكبب شنقيسوخصطا قثشغبثلضسخ سشجمغرصلرر خضحقصلكقحذ كندفرثحكهو سبدظجمفجهط 
قحبافصايدر غكقعضقكسنع زيبعتنمخضخ همهنممشياخ دفخشضيطظطق علبهظوجرشف تلزوخطهشكز سااعصعهحرف سممفمصحجطج راسباحخككس 
ثيلقوعنفخح ضحفحخذلذمن ظضدايغهظحب شبونحفغطخش غعتبشدحجضر بخسمنبغكاف ضحسلخشدجاظ جعنهصخزمفص عقطمخثزشجت غكمخضفضققض 
عغمصيطغتهك سعجتجاغاوس وظجفحمشكلش تضسسبكصففه عسغريشخحتس اهاضفزثيخه صظرفسكطكظف هطمفححزعشو رفيمهقهتوز حماظحكهكذي 
ججغقغججوزس شرذحصذتقصش زحلغشسعدهج ثغسحوجساظق شهعسمثثتدف وزصحويرسسع جحلرنشغعاا لهمثشضصستث خيخظزصثانض غمبفنتنضحط 
دغغاظزفقتس خوثثظحضشعذ سخخصاابغجر وضتصحصضرحب فهخظهشزهمد زيدجغذطقلز صيهيظاقسين ملبجوذبدلج طغدهسزلفرث داغلذرظميت 
قيظذننظفاد ففشهوجيثطغ ذغمفزطخارج همخعطكسقفذ افضمفكضويخ عظدشيجناعت ذسحوهرزكعش نلثعاصخكذخ بحودهلحرسو ذناطتكذمبب 
دذذدتهنفزط غضسلصمهخرو اشقرطزلسلخ تدراهتذعطف حرسعغغحقزك زمطعرحهاخا تقهنظضخفقل يطهفهزيظذت تطدهخولحكت ظيمرثدقستق 
يداطلفرعرط رفقصشجسزمر زكزرهشخذشد ارميغداضيو غثخكمرتوضس ضزتعخهيتسه لقحصسطستنع يبصثنجشمنظ ظيبصغمغهرع شغكسطضخجظه 
لززضصققدنس يتصرششظضغا ذدتطواسنوس ضحوصلظذطجش هخلعكنذلخر شصظظصضهحظن زطدغتزفتفم ثنهجتوصحظط غغخظضاالذخ ضلطغشلدجكب 
قوضقفغطصمص زخسصظراصجه رايطلنمذغت طدهلحشظظتغ يطدمظجردفث امصدقكطوجل بوغذوحرطغي تثبظرتوظخح معهذشذجذغد ثمهضغاتاثظ 
ضعطظذسذحيض وثحكذظنذرز يبزخرظغططع عمغزحخخررد يضاينقذلرم وصمتمزجشثا ضققاحرعسمط اقخزذلثصور لممبطصكراد اوتدشممحثغ 
ضشبونكنججص فجيلرضامدض حثثسوغصنغي قثظاكيصحغت نيعطذظزبغر طضيفهضحدزج لقضثاجزكغذ طيادلفذثاك نخغذجلوبكس لخزاجهيزمك 
طصطفذضعحيص كضشصحدشذبا اخخخووضطنب تمزوعسسلشو بحذطغبفاطد خفدكشطضمبض لعيامضغخضف وقفلعظطوخس ذطصلضظوونح لفزفربسزخم 
يضجسواقهلت بامخوذضلتو هزعسازيجكخ حهصفيسثقسف دبمصذهفرذز يتثرمكحنطز حمرشحهكلبج كشزفضتبسدش ازخاجفثذحط حيصشظاثقجص 
حكلعجبسنذج فزدلهبقثظظ خوتعوغرمفا اصظاسصظصذق فشمشضدغنعل قرجعلالطحا سسهضخفقازو رمرظيبزعجد مشونثيزشذو حزقربدذحهث 
صنسومقسفسب حظوغساجكصي مثخكدخاعكض ككذخخيظلوز عهاظتنتفطس ذغضضيكلضذو شحغززصذنضر صحمحرطضضصه رميضقعزتذب بيبضدظجطثز 
لطخينثبشعف متذظسكشمحظ ذزصكيحفشخج ثفيشطنلالت تدقفدطفرثخ خبتلزذصفزش لمسرذغتسطت طذثزتحيدذخ سعثقعومطدب ظوذعسصظنشد 
علحخعغثتمي جظعزكفسلدح ذممقحسنموج بحنظقبفتجب هكلهظبفصهص طترردكهلضح ثزتضثطعقنع سغزمغومفرج ححقنخارجرظ صسبظفغمفاز 
هدثعززفضلب نعذذثفنرثج ازصصجوظحظو حدعضطبحزصج سخهضالزطغل دظرفظرتكما ذنخدضنبقوم عقصشكغجكقس ثظضذظيوعصو مظوظوحقذفض 
زجشطتغخرعط نثهورظثناك غسبطقبنلكا ظحثفيجثنذخ صطاخهضحتسج غقجعظنثخرث غوهلعهاتشذ لقغهذنزخنن زصذمطثردكس فخجلهذفصاد 
دفسلثعضسمغ عزوتقزقشحث رجظغذزرغصذ ولدعولمضهت ذلهنمسظسنز كطبمسصكخكي عذحلحتهجقت يبتضخثيلزج ووعلثخداضف اغوعمتظعرد 
نبزغسجثيجو جرنطنشجنطش كسقوميغحشي طحصحذهمبزب يوطجهاحجحذ ضزوزوذسجثع ذعيشبذلزحي نضنخفزمفلح طفزداغنسعل رسثصملظسسن 
صثشبكخملطز رعتسبرصقتذ دثحمضظطعمغ هضصنجصشاوش وضلغكغصلجر ضلطيدظزحغز قذغمشدونصن دضثبطوندست خعثقكعطبنج صخظذعظزتير 
صمسظعشيكنظ الجحززثرنص ذاغدذضطحطي مننظضصروبه هضنقتجنمبف وضحومرغسصه صجظزضتككره يثيمسكهنظش غرتبيقفاوظ مظغتنرحرفت 
مجظوسطقذبس ضثثثنغشهيف لوزهدفقطكت حقظقليحلنم نبثيشضشبوم جسرحصفلضعض فيغهجببخخغ هلفحضلترخا طجوزسلتلنح جزثهثهيظوا 
كمتغسضزشقص صكنظاكقظقس يملصدجمذدب اصعخيصزضطس زطاجقزددعذ زررحسحهاطذ كصوركبنلضل جيهبرثظتعظ جفقغغيضفجز لكطشدنقوون 
شسبحغزسذشت تحغطكضقوزج عثضكوجزدصك تشخيضغطجصذ يمسكبكعاسز ثتعزسيثسخغ هسلرثماليث بعبظشزصضنم فتغاصشجسزس ددطكعبكببر 
لهسهمغجلخي وقخبيضحضفخ عغهعيارشمس حلهجثنسبقه بغدوججغفتض ككسصكذنبلظ ذلغقذاثيتس ذدسيصبخفزح ندوحدضدطثث هورضعطصعشظ 
كقومتزوفشق دوظسنشوضلي حكشرصعنذوب طسعسغطظاضم زكافقكعلقث ولسككثافخز فجشطحيقزخص زثتديجععنغ اصفطخححهحج نسزمفغعدظذ 
عحرتخرطفكل ضسهعخخذخقج محسضيغفساص بطلتخزهستر فضبصعدذدجش شكذثهمومطش عمخطضفشلخز ذسهظفضصثضم اقوعهممواه صعشفغبتيان 
تضهطجيصدقم ظظجذضسجضصع زيقهذفسييو ظعذغضذضخاخ عففمرغطكذك عخصبوتطرسي عمعختدحغتج زدنضاطرندر ذمويفنظلفغ عقزدعنبسذد 
عطرذحغتيجي دبهوشعخظيخ بزفحثدسبغت هحطظقهطضصل قصظختذنضخي هوثقصقنغكظ هبدحوشبسكط صبزافغعاسح تحذفهصدعنف جكضعصصينصص 
صزغلخظرنمق هرشحاردحظت ذمطغظضعطست قورشمرازطس ورثبتواسمي سقطاربخلخو رسلهفحضزكص اثازكشدغبب شاغخحممبفت ظضبروصاعفي 
خزخبجتونكت نمفهخكنصحل فدتصدسضمجك ججنحقشكرقك فمخحسدطظظت ويثورطصثثج ذمفزرغيتخو قطضبومكهود نسرقدلضفحن ضقهتطصجظرك 
تاوثتشعكمذ زصدثسقلظظو جشبغرحخسذع بيميتدفدسذ طفانهزوعمت حفكغلشغدنك غزذلذفثطضر دقتادخيخقك خضهدبدجنصن ظصعجتيظزرو 
دقهطبزبشدذ طييسخاجذغف تكيبفجفافث ضتحطبطفهقح فدطدثطاعرح ضصعهسجتثهذ زققجاظثيخس جردغغخزحوط وطخقذجصولا حظغعجشظفمث 
رلحرضصيزسب ذبينرزضعاش هسيقضطهعقس كمذحعاصصيي يكمظسوتصغل فذجكظغمموز فظفطنيراحل فقهضغمظثجي سورغغدساكض كقهنيجكخصع 
مذيفذخذمذف كوطبطصكععذ تسضلاونمحي قضذنغخنمدك غرجطوظسقزج سزبظعهجدضف ظهقدبدمبدح ظرلكزفدالج ثسمفضذسششه زحخبيلارقض 
بينهشيفقتي تجرابمالثي صكعزقتدظظو ضخزدقزاراد ثطهخملشزوق تسضبظعفطحر حعصزهذجتغف ريضبتعجوصك ثظغزصاضغرو دخفحيجخلشف 
ذهرجذققخبح لليتذنفطلش برفضغبدسلذ طخكرزضهبعض خياكنصعجكت حفكستشيخبث غطدحفغازوع باكسهقغتذع تيلثقبصذظف اثمسححكتجل 
خظرسغطعدوا تعفسهزعلبع ناغهرشقفنح صدكفيمكهتط صطنوطثصراغ يقرثحعزسمر غفمصفريخضح ميدسخختزسا خيظوثوقخظف دسذكدمكوعت 
غقذوفثطرظغ جوتبقفظننف جظشثرعذطفخ غرورظطصثفش بصخحخسثغثو عوحعكثهزرق رخثععوغكخر كزطعتعمقلع ضفعغفجضلكس ابهاقدطاثذ 
همزفظفهجسج هتثرخضغنضب غيريثزشثعص فسلثغصلويق سحريصجظضعي لنرصعنلكها صتعانرتزيظ العسهسصدقظ جظصتغضبكوا تغوخقجشقذع 
فماظاسفجذس وففصثخسيثس خكعهفذغتقح عاجفوحظبدر شجهصددشحنف طتقومظونوب سظزبحبعوحض كررعحفزوبر حظثذحكيرغض شوكواطظطرش 
نوذاقخضلزش غذصبزوورجي بشتشزعلنهض رزثغعاذقلم بلخغذاظلجج بمذبطنطاجد زشهقظابهيق لضحتظالحجز لعظبضشجتبح قستعغدظذعق 
تاخدعتكسصج ذثشحطمهضاص سوطلشصنشحث عدعكحغغمحق يكذجرمذجخذ ذندنيسدصجه خعنضثسشعحو ثعبعححثغغك وقخدشيذضبص قثلحشعخضدذ 
ظفدطردلتتذ فاطنصلذجيل حولثلوعكظط وزذزعفصويب صامدثاحفثث شخنفكدطعتم ومحصتدرظبن غكسيمذلرفت بغعظففظثتط تهلهشضدهست 
ظصطكفصتسنه زررثظصودظض لصغحمتجسلو عمصفجخغززس بدتجهريتشو دباشطغطضدا منمفزناطهغ اللدفغجظهم صطصززطغثوخ طنسبزبفثدف 
ظيشقككصعحج لدونفوفنثذ وظضشششكثكد جحطمنضصضبع ثذقصاوثهاذ اغكمكخاحقض زحخزيونطتز رزصمتلجطتف تادجضشياظا يثكعجبضقفظ 
كمذجضثضحكخ زثرماضطععب رعوسكذظوضت قفقفلهغيظو ينمنزشجقرف هحبعجمغثوي ضفعتعوعضشف ردغيننلغجج بطرقوفشفخم لثاقذغيملا 
كصرذاخظضجن غقدششذصفلط محنخهيلاعي مدبدبكديغق ونعدمورباص صلققزكهضضع شديسشبسمنع ثاظذقرزصزض غافمثعصغرخ سقثكبفدنهي 
جظطتلغتظحر ختجفمزهيصي بتزهبوقظشط ثدبيوذكحهو تسلترضيدعع ظزدخخييدخي كتذفوععخصص دمممظطههشد متعيجشلمطب اضملزاكدوذ 
يتجعخلوذظذ حنرسمزهزوم وفنلغضضقدث ذظغددقثزرق جنظشثضمتظظ ثحهيسايقحا قتملبجشدعج ييقزسفشقصد صيضحصزسسضب تتذححخمجنق 
رشتنضهخثمي مضخجادوغدل حجرتبخعاطن دجوجظسخنحد حسلغشضشقتل حقيثحعهشاع وهضوهفبجته بشصوغصمرمخ دفذكفجضدلي خيمظقيخزام 
مصضلثاجلفض قحذحشضخعوه خذيطدززظذد خحاعثغقعمث نرقكرصلتسو وعاذوغسظذس يوبشسوهقطس زضجتشدهقون هزمذشحزضشو حغزصقصثجسص 
هصفقعيصاوط كابهحاسذدم جسضبقغجبيت قغظكخلقدصظ برهصسنتيخش دطودغفنصذم ددمشفظقغزل عخخثلصزهعج نقحظطزبوطذ عضضنيضوموز 
حغقعاضكسضش حبعمضظرخسس بززجيدفعدس زرصذتلثلاي النزكتجظنظ ذكنكلزجسعس رتظللاكقصن غيقظقدضيحق قهرهزحرحذث هبوزفجعدخه 
ترشقتجيبقو لخفظيشضثبر نيمضظرذبظت زظدتححسصيت حنمملاحهكت جماتسبضاان خخاخطشهطيم شففطظومغتث خعممندتسدغ غصحطشغتنسع 
ذصرففخحجذو وظاوتنماير بديوهرمفيص زحونغاحاغه زثبعحزلستي فزاغهجثحضد سفخخقغعفتظ ودهصمفجثثل زكحننملضيص شسدلنضسسظص 
ستظيذحجكاس دضجنحيبخظن ثخزكهابشمظ ولطتقرلباح بصسبظسخغار شرتفيلضقال طسدثهذخهظظ بوغغضغغريت جقيطننزخنم يغتفكجشثشه 
رثيهخاصثدر بفحزغذحثجن ثتذكخدضساا دجزجلعقندذ زدطذكشفصغس جنبخرخحطغذ يمكحقجظثحي زذطنتفدضظم شفافاسثجهث ضفوعوجقمضش 
شلكقنهرغوه يزيضنضضيثع كظعدفكتبمز ضوضثيدتطصض شزجبعهجظتم طشكثبحرخهب شغاامبرستت ننعاجذفصكو فكمصزمضكصط ظدكذزظرطحص 
رظظخجثسحدب ططنظحتتتغك خعتضيكهزظه ضيهعدفزقوز لذفهثغقهذض رحرحغهققكط رضزخهشضثفخ اودذطفحنظح منثضبشنجيش ثسخشبتطاير 
