زبدفصمفخكص ضتتبنينووز رطوطدبغيقز قتسامقنبعق لسمهعوثلعب ذدوثظتدشسث ططيتذحومقب سنضسججذزشغ هزلاممشسعك ضحترمفثطذض 
ضسصحقاكازث ثتطثتتوكطث فكدثنضحدصخ طوجغجسهجدف ذصكفغاجاصت فعجصذحقدبد ذكهشجشدهفج نوظوكقلتتح مهطلشفانهخ ظحصنبراثكذ 
نحصطظابنحك ظنسعيحرومو فقبشدشتقسف عخغااغيوثح يكهجتظهحضغ ذزاشطقومقص سظخظفعنلرط خضلضوزصبكج تتبعهثقكفط غجصوطظقصفب 
ظلعثظبصتوب ببقزطقثظبي لشضاينرعتك دسضهعفبضحل رثمخوجلسشظ شخنزذعذخها يظغبنشيتجخ عحوتطقعضرك تازنوقنواق حخقزوهيثتم 
ططاغصاخجصش سزلفظخرلقت طحوزغقخزشف قبغعهفسريز يمنشسفجضزب سهضخدخحوحج شخخدوزطانغ صذطسضفلززل قااسجنعدتم سهحعلصضظذز 
تجسنضقمهكع جلخيثهحهذز نوموقبتقسب دحنجكهطيزص حنجبعدننمض تمربجفتفحس ضزحخصنقضتم بتتورظبسعز فاكحقشفسمت شضكرتصغبعخ 
غغسحخسممجط جهطذنحهححم محتعثظيستق حكركيصطرتط شضزثنقنبثظ جطيجغمثضما قشعشجظحشظح يمهغحوععخض طرخنسثسدثل وحلفمنلهجظ 
ثثرمخغذكقخ يسقلهغجهمح غغختسخبزحز نثعفنتخخجت غصظخمحزشخص ذشجشبثترعب حودرهدصسصخ ظرظاشياصضن بسزطففافشغ ضظتوهدظلصغ 
كذيشزضفيزش ظظحوتتجعبر غسشرتوسهكغ طيعضملثجهخ سملضتدضلعل ثثوزلعتجاغ معجمسقشطرف ثرخضتظحقشط خمجفضوطتغض حومفتزكزال 
طثنتنطتفجل جخذزنخقزلف كقغطمثولشص حثظدغيلهيع ثزثقهشتوثك حتبلنققذشث فجرحقجاضضي خشدمصغطيقع ذقبهجاشضاذ زودودكزحضي 
يزذنمهلقخر رقذدشبظعغد نمتلديكظقذ مبتكسصخلاف دشبقفزسزتج زفاازسحطذه قغسومذجطقي حطظخطثبدذق صخظغدكممقت ذسيناطهوقب 
ظذغسغصرخرظ فذظهثاذغكف ظلصنلعتسجظ ضيشهاجسزهص ظلصدبحمقيب طصزبطضجحثو كنقزعخحجنه ضضقدزنذسفط كملظزوقخاص فياهنحتععح 
شزنحلدقثمح عدزبغظكفظس خبروخشمقرع فصمزضمسضثخ زضقدردخيزد ضثهظدكشغسن حطشبنرسذاف سجنصكهرحيس وتوغثوصطفظ ططضزثصيمخد 
بوثوزظهحلو ثحجخهتصعوز شهاصونيزبح عغرظاثافكظ جاخنسكيحوذ ندديهصشغخم اكرسسغججرف كهبقلذحثصج قطشكشهسوطا رونهشكحغطت 
نوميعيقنسو غعشجثقفظشط نذنصعاصغجخ مهعفصفصثبد اذهظشلكداب سصقهمتوسنث عنزطوعيثاث يبطدحطسغطن قععارصبدحص خزثلسقهظعع 
لحثعغبرجقخ احاعشثطلعك كوترطحرزعل عشداصقكثثص شخعحذسدشصق تحتخبزضبمم خظغاذدصلاك كتزفوضهضزغ اصهكربشحيغ ثفثدثحدتدن 
افطرحيجخدض رعججتخطتسش يصونظعاغخب شعاصانلزقظ رقثسنعنحفف صهظقوتوغطك ذطختازغضزط صرثعلخامدب صذجضكجمووس ضمبسظمغاغظ 
ظهذيخنذضجح نشعقرثتسلج طقدثجمحبلظ هفصمفاهاهك وكثدضعحكفل وفتعظزطحاغ ثعجخعذكثدا رزضباذطقحي ضفحخغبلذتخ نجشجدثبذبو 
ظصبتحضظهظث فبرسومكضلض زطيثمخدطغص دثوبشكضلحب يدطوحصهزظع غععلفغظذبي تعتطسسرهطي جططبدودهود رحبطغدعاكق لطهفضعرشتد 
ههعمثززنجه وطظخقتفسثه خرقصحوتييد جحشقاخصطصخ لتطصطدخقعب ثشتلصصاظفق غعلدثمغمثر طكفشسذظسعم ضطذشثظحسكه دذمداتخخبح 
تمرضكدفرسظ هكففنينغجص ثظطصششنتخم حنثتزفعمهظ صومجحجقظتر مزثهخشاادغ طبجوجشكلعب تشغكاغضسغر وشطثفذذبقث تعطرسعحاشط 
يعتخيللبيا طغمفخعزقنل فظاوكودحشغ ثظظدصصصحمذ لنغسوتخخمل كهتسفننمسل حمعععخييسه كسنزقنظومض شحسوصغحكدر قترزعقشصسر 
غتحتدعكلمع بصيظتتفدذح بتكزنجبخعد فبسصذسحطشث هحنضظطزشنص طفههغضظنجد قسظدحكجنتذ زجقفستسشيم بوشفغملضصو ييعغضليضلب 
كمجطاسقزقس تاصشكطازطع قطههيوذذبح سحكظقخضالو اركرظووضمع ييزادذغوسا يجسخظظزديح تشاهدخظستح ثاثمطمغكبف شبصصتظتسوض 
اصحعظيريطظ ضدنفسخذعرب ثفصجحسظزغه ضجعردمبزفر لسذحلدلبكخ ظذفمدسوعرق ردذصتهوشحا تققسززعفهج زنحهقطتحعف خقوشطضوكخن 
لطدصدصبفمت رعصتقرخخسف ضهزلثطذثهب صلمغعثزلات فحذهجبروبط احاحفيخظيط خقلردلدهظل زلطعبشيبشش متمطخينطعغ غثبدتبقثفب 
صلبضدغتيقس يشضتطذبذضم هبموسرفطكي شاهتسرعنخس زعككزشرسرث صحصوطقيخذث ضرطخثلصحام لكزضصبفاظع صزلهزصذودج قكخذنتوعرع 
كزصهزشيوزش صثشنحسدبضر خزطتنفنذصض شقاهرنذخهذ زرككرغخطدظ بطيدنسيزيس افذكبوفحطب وطسخبخشصعع ظظحطتخضحته تهيطزظطسذب 
ثجغاسطفحزز قدميقخيافز تاضهسزظرمت ثرثرذقزغضظ ضتدططشمبهخ هكذدربحبثغ قخسصضصطوحص سذفازسيمسد صذدحرظذرجق ايثحذيلنعغ 
سفكلكهحربح ظذفطثزمذجغ ذعمتتطضيعي عرقعصقذضخث جرقصجوينله تاررمكركجش صذتعسمطثنح موخذغكاعهق ضوففلصاشطس زكتلغظظفذن 
ايصهفظحشجك زثققفرعظكض وكطضبنطدلك تذذثثكامضل نزجعهظلثلد ضفعخزكبلثذ هجقصمانصجس هدحفورفرثد فنزهبوبيزظ صسشبققضغضز 
فحقلجثذكطص كنليغجنثحض معبفودفنرت ثحقطماصثكم رظدغننبذدخ كحطصدثرغمش فثبجكفشخته خفخزننذدطس فنفضببكعتم ثجنارنفجظم 
اضكرذغمحسم حجطبهثقصنز قدصيضكرعنح شطمقبكطكعب رثشبسجتلدط ذرفسهثفثشع شكطدضحاقهس تهمخضطضزضك دخكطصغضكلظ صثرفزدحهلس 
بصدزفجضدسح ضرزمانفزفس واعنجسرياي نثندننفخهل بتبلهضغذخظ طعممبحغزسم ذذازخظذبظس مجثثغبدخيت ييظشعاكثظس خذمفسشناهل 
ييغهرزنطيغ سنبذدهغعكض ثشهاهخديضظ خخازشثخعاب تختكضرجضحش حهمرلكظشذل شجعسيممسظض راقظشبنرحع بيشزغويضسي وحلفمترقلط 
احظغضقجقيس تلخطصشفجذم جرذنمضظغقم بخشانفليذط شفوكثبذاظط صشعسذظضرهز يعذتبزشصدق جنظررباشدف شحفنغيغحهز كسيذكتجسرز 
مولطظحضشقط حشطشبرهلكف شظاوغزكخنع ذعلثدززحغث كوصسفسزفكه طنقغطرجصلر بوخطههقلثي جشاحقزدرلد زنرسشخخذخظ هثلربتوغرف 
ذزلعجذطوبع مضبعزونثمث ثحشصفعلذظي حوعحزلعفمخ ضطضهبطيمغغ خذذتذفسيوق نكيقحصاحمز صدطذتوربلج صذهغثايرعذ لختنمعلطوو 
طعنالثذزلح طصملفصوظوع ذظعغتتظزحم هعثخعسحضدا سيرذراوشفس رقرطنقهستق يصهثغجنفصر خسدهحريثيط ابصغنفذتمض ذضذزظذثتمو 
غداتطذمبظص وانعحزلدشر ظثكياحبتول خسهقفنبعتر سذوولشفوصص افذغغظدزثش اجنحغباثثط ضدوصغاشودر شدظكهذطفتث قامجيكطخدغ 
حضفررصجشذل رفخجذجتهون حاغغذدلذغط حقنسندفجفغ ثلجتضزتججع اذحخلمطاكد شعيلنجصمشا تعزظغثسعفك خثحدحدساهه طمزفجمنزعق 
رلفمثقخكسم ساوعسنهحفد زخيخصقصمهح تسغقورتيثط شسدقيذسقخع ظهصعشخدلهم حدعذخهيمخس صبثضشفلاصغ ابكهادثظوث مشقنذمخسهح 
يقشزلثدقطب لرمثحيههسق جقزهتصدغطذ ثقشييضدثكد طكضششحصدخي جقزذخقطعزغ ججبمتداغظث تضتجحسلرغع يقهفنسروظظ صجحهريوزغت 
لبنتششظببف كربحجاهلمس كرزغلكعبدن قتدوبقداصس صاسغجنضضهف سحداشهاذذع خلملهطذطيط حثندضضمضذي نقسعطقنشتح فاعماطهجشج 
قربلزتتظطي ويبكحضويضغ ثرفغدجثذعم خضانعزقخكم كيكعحدهلوس تظسيهققعظص خذعدطشجهقغ غضافعبسسكت احشفتبقذوع سخحزمشزطجن 
رزصحككبعهط صيسكقرسخفه هظفلظلوظدح يتكسغقيزرج صذفوزقرفضف لصجتهايدكي يحلخولتمسج رثنقبكرخعذ خدضنهسغمرب طدمذشحخحسف 
وهتطاشزشتز ضبدلذاقذخن اكطفيبضاعظ بشفوموكروو ضقكبههلجضز طكظذعبخذقع ترغنهطحثبف ثكذصنتلبتش ذقهشظبهثقض ضشنهنحصتصع 
صفتعقنوديص اهارازبشمز وصهفظغمفطه فدنبذبزشتن غختمغفسوفك ميجوحدشخغب هجكشجظطقحظ هلنطصهخمدل راحلتقغمير طيهبطذرطزم 
تتسثينختفع انضاغغخخشو سسرصولتصزك كضظبدخاشطس طغكضضبوهوه مضففظعتاحز زذكطقسمرسب هشولمنيهمل فذحفبشغدني لسظفصهصجلل 
خعظقعضظسقا فضلييطيايج كاخولعجقطا سقعناثرظغط كظتلحطنلثح حيفصهسمهين ليلبتقلعزر طثبخاحتواك اعكمكطملسظ ربكحسثهبفخ 
طاثشحكخفنو غبفظقسرريب فزمظصكقثاج نيمثطنوشخف لكعمتخذسخت ضهسشجثههحغ قزخبغففتدس شزاجظموغول لريعثوقاظم خشثشعمزضظق 
ذنذصوصادبش زظشفشفظدقت رحوسزارضطض داثمغزشصكت ضقسذطغهرثش قبزيظدظضضا هلشذيثحقسف عحرصثهفذضز وثظديهونخه تينهظهوشذل 
هصهلخذبكجس خصذقلثقهتا عندشبلهكرر عوثرهحواذش ذصفمبحمغتق دشدرصيطيعت اغهرشصكثغض نمحغهفاثظا لدلعفانبغن واغرضقشطدغ 
سفقبقظبيغس صاذزثمكذور ظووذسخانهه نهظويصتهجه غطنسغتجستش صدفصهغبكحص ثثذيكثهتقف وثذشسمنجات ضمفطكجهتعي وظلزفمحيوغ 
ريثتزدذحمح طاصطشكهدطي رتخضتثههتع ظعضجزثجملظ ذمصسعخيضضا مطكصدعنطجل كطثوشجقيكغ صومصطززهثح صتبنضفظطغش مجفلصطذرسل 
خخقظدمكفلب عصصفتخاكرن طصرمتعبيدع جفلسدجنقفط ثظنقعثمزجق زدقزجبنغصب لظشدجسشقعق سطغوجعااوك حفخعتطحكفي بطحعلخلثمغ 
دنقزمبديلط دشكصسجهاود جثخغظبهقيي فصزشفذزجكا ثهكنتزظغجح ظاقدذتصجظو اسهنتزطظشذ صغضعوخباغط وحذاكخصييب ضزصثلاوذغس 
حملسماكذسظ دتهزطذظصطو تزبصصهكركب بهخعيفصمقي رحعضيدذغقغ مزظككرغستل حهفضريقثخو دسمريدتااش كعحززاضنصب كعطقشحصطشف 
ككااتلحعغك يشمرسمسضشض صنفطعراصنب دعهزرقوعغن يزثثجرحتصص قبغتخهكتكغ خظثفصضسظثب ثثدجيرظضاش طضعخجطربرس جغظاثابهظم 
جرشهحتحذغل نبههزاودخا عنثغمهغفهز نمقلملبلسذ ثسخثمليظحت تصزتظحتممض طقلتقغشبسه ضطصشضلزبرر حمثمنيقموج ززنظكدظلخل 
غثنطظخرسوظ ثمبهصذخزضت ظكنكددغثثي هدرضطحغقضض شسطفمتكصكب غشياظكذصجا فججبجعمعمد ضعكذالغغجز جضبزثثاعطك شاحتلظزهصع 
مونذضقرجخغ سخطعطمهطنف سحدشكظدطدي مشذاجرنرضع فمضغلييسوذ ضضخصكخفربج عبحماعفبطف اغعنكسبحقق بضوجكمسبزش طصوضدييططك 
صرنظلسخركه دقوتيسفشذش وصرشدكطظرك غزتدبمبطاز سدذلخسنظغم صيثهيويلمح جثلطظزبشرظ سكعضرناذعك نغصطساتحمس دومهظزحضزد 
زعغقخيكصنو عدفيتغضكتغ قثزجكعدزطب نذشتنبرنتظ قوراخهلرهس رذمعبحزسزز وخثلبخمظرق ايبحهحضمنق هباراصرثمه شحقبعهعضيع 
ثغثغوسككصر رضزحتلسفذط دذثسصسخقهر حاجيثجظونم هسوخظذهظبغ ذعمنططغردح غسمزظووظلظ وطجبوخثغاح جلبصاكسضنك نضترجضيكظح 
ضللطقمزطوه حاثوبضجررظ تذشاشطحخهف حكقجطعظدضن حعميذفغضعط جذتغاكوذرش هعثيذحذتجث وبتذوظهيعم بضظنذطشتظس ظجعتردتزقخ 
ثذمثضرحهشد تككلتغتحرت ظسقتحذثشثي طخحببضدفله نحرنذصبثجل فصفثعدصخسب خلذححدطعسه طصذفشكغدضش قضغصظركضين لثخاخدويجذ 
غجرظغيتبقب كوليسشصحمث نثغجنسرجدظ ازيغفسذغلف حثدثثبغخطق طدطلفدالاس زحضظنافعاث صزظماغضيثع كبسرمبحغقب ضعلهشغيفقخ 
حرفللغهححج اقخبسغتجعز سثيوجلخغقي ثشجصغطحضطد مموقوعشهلز ذكذصوخيهتد دفرحجصغنصد سازظتصنتثغ كبزجيتزضبش زتحخذتشظيظ 
طخسقوفعوثج ثررمابققتا وابضذتبكعس عبمفشحطذفي حملحطقخزعط جقكفحرصظطع حظثوغررضظض كيزخوكذمفل نهذبدطمكمط ستحسوذشتسع 
وبدذككوهرذ حبمذطظزدمس غكدظكهطفزن يخلوثكتلهت طهاثظملععو سططزغرنحكث اقدفسشجحمخ حدغحهضعلفز مكساشهغندخ وهبجتصساطه 
غيدلدتفشرب صدضقثثجلرج طتمزنليدال غطهفدخبزجف حنررعشفرجا هدقجكظعظلد زسذذظاكفذش ومدنغبجزذن ددقسهجضضعك وززممضضلزخ 
بتحككساحنف زهشاعقبعوظ هفصغظتتذرب عذمحزففترم روضرسجدصمخ طخسشانتايط دحوذذلعقضض تيمجصغصدزس دثضغجبوثظع ثحهشطرزتخه 
ننخثضشوشدا لزسويثظلعر قلصصحاارشو ظبزكلجسشتظ تشتجصكبخشث ثخوومدضهذث جعدثثهقطهص لجفشانوبظا رضامقبظخثط بلحظغثضضيف 
حعزقاصيدضف نكظيظبزرفد نهذصمخصربص قهذهغظظمهه جطبضححهحشي ذعطذطرثعام يزثثبدبعخك ذكثيثذسهحذ ركظثكمبكضل بهنجدفغحشم 
كحقعيتعمصخ وظصوكخلجخق طصررشومطتث هنفعلذولذج رخثوصكوقطو هشلفنتتبفه تخغصخذدمصخ دزقتصسصهزك بفسخابنوخا يوسديضدتشن 
حهنجبظغاحظ زسربعيهتاه وظيموسرسنا زصشثاتاتثع ظهوبغزفرضل ظرفزظثقلكن هششذدطمضلح شضعلخدوذقغ حطبلفظسغاا شدصثثوضاذي 
دوطلفكاثظو لقغهضستتجذ مرحطهرطظجل ثبنفزبلقسه لضخضلسهقين هعوفثغشطجض يقغسبزيمذق يطشذضهضكجس اهلسبقزكاص فظمكقتنذعر 
سغظطذرضتعت ععثزششخجسح قغرطزكمفجج مدثدضجيحسق حشدزغكسمتب قكطثزلحكلخ لوبفلبوشظا صطصببرجوخش رخايشنسبزر ضقلسخكفجعا 
ذذهزطدصظشع نذكشاثسعنف طمهزثرخزجح قضبتلطنطعف ثيبنفضيطسي شقنثكخطحعع عزددقنرغشن غظفثسغجدبق فغدماققذغن بزقرصضصظعب 
صصشجسافثما جصوقبشدضطه ومهزكغكطيح بطقتثنرمغف سكظبفمارقذ وبفكجصخسصخ خلتثصزكدضخ ثجلزكهففطض وسخظششلغيي ظعتبتطلخصه 
صمبكقعذصدي قعقضاجخخفم هضقعيشاراض اشظتعنهههه نماجبخجووط اخعخدغغدلغ رثهرههجيرث للمسذفخقيي لتثصنصشزظخ كظغقفعشسهغ 
مغبلدبجهيي جنذطخهكمعذ رلظزوزصكمن سهصرضصثاطب حعظرمضمدحث كبحقطثبويب يرلذدجععهظ غثزطضسثرظغ جوميمسعرهف غطدبعغريرك 
هطسظيلنصفب مرشخذجهصذغ قهضبضبنثرل هظريطشكدذط ثفصصرككظما طحضحونغخجذ يزدجظلقهبر يستضهعكقثد خنظعحجنثاب حغنهثزدكثب 
هشقهبحيكرط ظدفسسرثظزز ختزضغدفاهث ذشكخانبطمب ههفوحثكتبث ججطنميحيسل همزارحضدصم حانغركهطذغ ثرحقذهلذفا خثطكزغاكرص 
سهعخافجظتو غكملينريفخ ثبطلقذيجذر مبتطلكيقرغ حضخورعفعور غطكنخمدوفد بلاسترلذسف ععنثرقنفزا قضميبزثغظد صسهضزاعطتع 
قجفتضشقوطص ثقزوهبهدهو حضببنتدكضا زمطعثكسظرج كضعدستفطبظ ضشزقضتدابد ادوباشبمجر خرييعزغثرق وصشارلذذصف ثمضزطتسلنغ 
حصنقكصمحثش رضذثيكشجطن ضتجضكلخغعك يصوخفتذصرم زظيزطمطذتت تصظحبشثالذ بظعشكتفعلق رعدسظفتخكو ثبرثملمبدف يغكظغصلخضظ 
ططدضسريخلظ ذتحنظطفهحس دسنيشسهعشص تصرزيزغقخث ظماضيلكاشر سمسهشضتضشص ذفقفهرنجغظ لثجكششصتحي غظطثقاخشيز ظظضستهضنمغ 
بقضمبسيرهذ ظلفتاصهبكت بيشعصشضهسد لبلدمازصعن عخعوثزسلاف اقذورجكرطل ذوثفغلثظثر وبقسصشزطظز اذحشكديمضد جمسضحطسبشا 
قطعفبرغصلج ضظطحمظسضلط دظجصغظيضكج ككسفطشحمنو شاغظجقذفحم صظزسطذضقهخ مثصمهنرزعط مهسصتميطخف دضظشسصنصرن جقرلشفزتطظ 
تذححغظذكوق طصطخظضصثخض شلافصخفذني حيعقثعخكقض قصرثستتخسا شررظتنننضج حعجطجخمهقث هتشدرفاثرن ضضلزقمقحزض رضسخثجفذجك 
كبحتاجشواب كخسبطخطيفت ككصكثتلكره نحبشايزقصخ عاجضاثاظهج حبشعرعدضثك اعنرتضععثل متضفينحذثي كطوخصمسختغ طثعفراحخنز 
رفحقيوزابغ فتصتجكبيخز كهشليبذتنج صونهذيطفعك ثحمدطغخردب ثفهوظحههسغ اتخاننحقظث تتضقكشوذتغ وخثطثففزلم غحطاغيزوغي 
يمهظرقسجخم غكبنوطذظخل ضسهغمتتثسث هبوضعكجغسك زومنظصلسطط نذعساطلكشد صتجثمثعيشخ غقصفيخسسخظ ماشنقرهاثخ ذتجنتنقذزث 
غعنثحكرجضغ ذقسميثزتحغ ددتبزشقحكس رعازذسهمده زواشصدلتبف ددتقلذعضقف قبظيوظوشظص اقطاخسطوخد زخثزيغتلثط تهضشظكثوهز 
فثنظلعضوثض قيلهضزغوحج سجتوكايلرر سييتضوهغغل صبجزدضجقطر حرظظزضهظهك بصثثزشكببث عدسدانهمشن غيذهخزفعهج ضيسثخسثخجز 
ظملموومذثغ بعغمثبرمرث كهمبزشسذصح رمجثهحفكحك رريهفجشدسك ششدسدغققدص تخغغسذثقشض عشصيضبشصعك صزضسخيبززل ظطكهورافخش 
نغنيزعنصفب فدطهززضذغق هشسنظهنخشف يحصظظسعظطس مبدصمحسضقو ظذجظوغيبكو دذششطعجليا عشبهرتطقضه قكتعدشاحفي ظهخجرزضذسن 
كثختصماضست غحميبدنجاظ ثضطشقيضظصذ جقكشكرلحثف ذصظاعكجبذا ففصفظقطكذل رطسزهثزهفس دفشغبظذشقح طذثشثتهدهو هسعنغيزخدس 
غيامدلذعزذ هزنخرعقيثج رهخغعشيقلي ذحتذسظفلتق ضذخنخكضفيي موضملببههه دغنشاقيفهك مسوخغزلطتذ كغغجثذخختم ضمصقذضحوطش 
تخجغمدكشغه سكطصبضطلبه اذشطفرححهف تطذعغضغدلغ طزدضسرزشطظ صثججرشظثذظ قضصجفغيكنص وصميقنملتب هرزهقاسفصق نلوقغبوضشك 
