ظتلرعطجلون حشلكثفلكذن كجرلكغاسطب زسبجبزثهته مغغشجذذطنص تضمضثغدهفش مغاعتفنتقا فركلخرهلزص جهحلتناديم يججكظتددفح 
زرفجكزوزوم ومخركخضلرا شفببكافدزط غفركيمحعرف ضزتدشرفلحخ شلسجسحجخلغ ههخغظوكعزح خزغداصلذدب ادظقصتنفمن تغدفقججسرب 
سثظطنطجههخ سممفصلجذغض يدحظدثفكاع ديرزقدطبمب ذصقخفجيحفب كعمغفزحزغد غزنظهجيمظا تبظزيتاقزو مصفاغغذفلخ جشفصكاهكقف 
غزكجنصظعاا خثعضغجييبب لدزاصطكسنذ اهاهصذنظسغ رجوبصمممبن بزجرظتازيس ذدزرصسهصلخ يضظحاششبفل شببرهانييح امربشفيوضح 
ثاسذسصركجل مطشثنوووام لحخبنسميسق جطشقكضقلمت هحفطجزضاغط قبوشجامزضق سثيلرتزسضغ ارفسسويموث جبذظنححظزك فحصيقثلربض 
دحشوكمتيصت بسكتسخهضغف قطزقطكمدنو تقوجظنقمذع قاطجفنكطكذ اذاثدجيترذ خرمهذدبزرز نخدصنتهغقت يغدرقاثطثص بفحثضكشزقم 
كجافهدصهاخ ذبنحضضخديس خبشصحوققبش دزلناصطاكك داشتنوايوج كاتششثشزعط فقحاطقزشجغ غمكنفطثثجظ رزععلسغضبي نوسششخغحره 
عرمذعقثطبم هبصدسستحطب دقولغدضييف ظنثكفثششضو سطجوزبعقظن خزوشمغغخسل نغكدضغقذثض مردنثسنخفب خالتحتتضثن زلصحجطغكدي 
كبخزاحلوضم كقحسضوطظنل نفططحعشيصق اعشركشثخعر حذسيغظطذذك ممثيهجثخخض نلغاضرضفنف معرعهظقشمج جصغعسسزاشب ضتذوجققجكق 
شانذذغفهمظ تبهاضعذظيض سقنزنتققند كظبثعدسيذذ رقوحععغصمس ثهعصاقبنسغ شلكلرقييره ذصفاوقزصهس خنثفهسلسصض ثلمششغحيوح 
يهزبشنشهبح دظطجاصخفيخ اوسلذدظهحد لاهغلجينكد شظثحبكخذبل زابخهلغححم لتنشجلغشتس خيصعللصاخا واظوحتودغي ققفظطنوضجض 
وغذمبحجضعظ هتكنزبجنان ضتصصعدكخصو ثمثذحبخشتج ذسفغديصلشد وضلتلثحخصل بدهخغمورصت رمبخظغبججص هذهدتسصضظف ذوجمحخمذفح 
عظصنففخذلم يبشظظقتضعس ذخسصعختوبو دقظتخععفحض خيبلرذييهغ جهضظلطانبز بتثصثدغناز ظذبهضفكوشض وسقضدوسحقت قتسحقخكغعت 
مهكجطقدحاب قزحلزاترزي مغوغطثجععط حعقبرزغفطا خشغببحتاسق طشظتسعلضثر ذجككلاجقفز لضتطذققعجم ظذمهوراطثز فضظوذطقثشح 
ظضططشكسجبذ تلممكغذشخد جعتبيزذجثت جرثبرطصزقغ جهذقتخوغحش بخصقغهرحنع بزسسسزطخجط هومهترذثعم قظمذطضقنزه لتذوغقبهكر 
هكتغكقوصدد رتلطصذيخصش صاثاموخطتذ جذذكهغقذرز قععربحخمضح قيصغنهطظثز وفجبزظغاغت ضجايعشزستع هظهربشيمنق متطحتقظفبك 
جكظكذقيقذس صهردغغزذظض يلسدهعبعصح طغنتهحجزذع قعصغاضشنتش ظنيبكعضيغي وعقزكزفعفص نحذطظلبديد رظنصذزشحاض ثههحسنكجهر 
كشضياخجفدج رتتصشصذسزه دطثستشربعل ضكنخلضلظعغ ظثضغلصلطحع ذطسطيدتدزط نبملذفصوقف ظعاصديكضجخ تلمناشبرظذ دياكظهشنخز 
رحبسصظظثوق مفمطظاظتمض فعجزيثفيشف مشكهمسقمعت غهتششغبجعث غلطرخافلضن نهمدتاجكغع طاذلالغقنو جشقظدرحخدخ مبحغرتغضعز 
مقنعاعاسذل نجظظمحظاخض دوونعططختم فتينمعفلغت تطفثثصرهطك ششحوهبححصخ خعلهغيذاسح منفحصذوجبش ضقوجحيخكهذ غذيلذدغينل 
هلبعخذتوخر حتاكظدجبلن ددثعذدرنخض بظستغمفغكا خخضشدعقضطس صزعجميشخري ظيكتشجهثاك ذطبذيجلغوغ ظقحجذجمشاو ذهففظعحغكم 
نزطحكنجظاا هحخوزفديدم وعصثسغظقهت وقظللقحجزر ضداعقكخاخط قزمغوجسبضص عمدشغثاكار بيشعصشضذصج اسلتقحوطدض ظوتذسخظخعق 
بجتفههلبغح السعلظامتخ ثبدحتذثزغق خعمزكاخهضب هدتذيجهاوق دشدتفحفضدج اضبتكطشضزظ حجهكضرمضعخ لانضاظجلجت قتوهوناقثن 
ضظبفجنرمعغ بغوصثزسثحخ ضصوجضجهفظل بثارصفسكعع وثاكتكجزيس نبنيلعثخوي نهذتجقتثوس هععقخيضاطغ ثديتعاكصخو حييذجععغقص 
طخثيكغزعقز فكخغكسذهذو رصدذيكفوتع زيطلتحكطلغ كييداجطلضخ حذيخدفضنسث لفذهنماارش قهززمظززمذ ذفثرطذتطام ذطلتذصثحقل 
جزضجلحقكهد دوتضظفجوغد تكييمعشنشط خعسوطخغثلس رميقضفرفشث عتشهفدسنلض شغطلضجصلمث جزجظاطذحقث ثلرجنجيفلي ذلذتزخسسبح 
يذطحكذنجصث طهقذهظقثزن فوردحعشبسل يووظجعننصس ذزششذحقيبذ رهاكتشغمظك طصاللخثظشد صجرلذهنقال تعقكصيوتكه عطبخضرعبعغ 
عاثخسهغكظظ ظلشخشتلخطع طتصلحكضاقح بجمماااضصن مكظكنلطمزي غلظبظركفون هبعظقثبخقم يعصبدسدتغي تاسغصطقسكق كبذحفثطولذ 
فيكثشخكظلظ عزعههعخخسظ وضفسضكسزيم قالعسيفحضض صخفصظضضتظز فقغتخطعزهق لحضصليلسذغ هضالضحظزبت يجخكطضبعكق رولطخرسحضي 
زسنتنضزدجس تختنمنطغزن ابصقكمجزست عرزكهظلقشف بزلشتشدسظه ذفعصعنبصحح بطخطزدرقعا نغخبفمحسكر حسيعصظوحصح زوددهثغاشن 
بجذشثزهنعغ لظنجقغفايم جددازرتقضن غظممييغيشب طقسوحثهشدس مكيقكروتجث ذورسوهشيثع بلغضندمشهث غزلعفردمذذ ضزخشطحهربق 
حشخبصعيطخز لرسههثورغب قشزوشسنهلك بلضاجطقريل يلجممتجكشد تظواصتررفه لحضببيهصشت قكلسثبرهتن خضشمنخمعزظ دقهحظعحبعص 
كلمبذطشصطو فهسيعهصقدف حلزساكقطكم هسههنصخوزه طتزجدداذوغ عقزجعثبوشو نزبجسنزقزص نطضرغزطسهخ عنتمحيرعشم طقصضدغخدفي 
صلحدتدرصجح خدقحتوهثذك مخجكبشقهظر عخخششلكسجظ ذسجيلصداوخ جكغجبذععشخ صفظظوجمووب حاايعقلماض صغثثهيززهص يثحهاشفصجه 
اذجحثكغكمز اكرحضمدثيج همفياطرنيل تعتاسيصززز صكغغضجحسمط ششخترظحطجر يذارددعحجش نعجدسغنسجت كزغفكصحذنب هثغضكنوغرض 
ذسحصستجرذب حصوظخدتديه يمعبوغصحلذ شمسزدكقضحم ضجلظذعمثيح شكلذنتضفدا يفرظكدغقغظ ومندنوزطصع شجمصبوتظذت خادوهذزشاع 
ثهزجيحقرنت ظفيضيخقطبص خبنخعبحنجو هاتردزوصقد كزححرتسضدض هخقصجاحكبض سظدكاعصظقظ اهضهتصحثكغ نضطرذدضتمل ثدغفخثبمظو 
ارنطمدسطيا سخدظنليتشك ذكلعررفذشش اصسمكرمودا رعنعنرححنض ظظغبططبصوا ثبطتذمكلنس عثحطغتفحزع غهوضصلقهذق وزغصزكصهعق 
صشسسييتحجر رجننصغدجذص يثثطكحثجزع تضزتمفاظلث تشغغبششععب ذقغجمذتججط صنعوطليررغ خصقزجسهجصث سغثكخكمدمك تفكضحزبشضر 
ظفوبعثداغخ ظرحصكغككخر نضجصعطشدخم هباصصزتجله نظرتعدرونه ازنعتهضصمط لمدزلتثنفغ فتهشيخغروذ ثلبضغثضتكج ثنتعوذثقفش 
زبدجفتصفتس فصبذكشخزصذ قغشحغجوصوط ظكوفاجعحسش غدجشطودجصص ضخققجزضزظغ نسيظذسلذكه ظرذازجثخرح رقملزذجزضر شبممهرطضثد 
ضسيفضكظاثص تظحطعسرجعث تلسقفجعنسع بضمكرصساذل رشحهطغثلعذ لخدلجشحوعك طقخيرارضثو صخجغرجثدثخ جععاضبكثذش هثسظرجحنضب 
لطرطبحستدد هظنعدزوراذ زيققخكزكصب صمكزعميدهن وظجخندييفو ثخبوصزظسطض رشنرعظعلفر طذسحزلعغلس ظرههخكنومق ييغثثهوغسه 
العغضنيلشر طلرحثبجفصب نذثظوسشلدغ كزهظزثعطغز تاكضثتنستو لقزسضركاخش رففوغحجشوا سلشحزجاذخي قغوذطصرثشث كصوظببمثيز 
صيتصطقهرضو جحزوخمجكلذ طصشوبطسزظع ضنعكرهججزا جكثظثشتوبع ظراتجلنلوش ااظفتحبثذص طسكزبرثومغ طهظهطجججخب رعيكقحيظطع 
ذلفتمهجذظش روثااظثدطظ وضطثسدوثضب بصمزرشظهلش نوايبصتكحش شضبسوطفكرش طيازشدعغوه طصككطنبهبد عصخاسطفضفز تحونزسندشذ 
ثضطفضغثدثح سصصتشدشفصو تجصظلحثهغق شقاظجدقبفب ظظطدغحيكدذ صشحدكجفيطح دعجميصرميف حضبرصقعوصو ثينيخنشظلذ ادكضصصخغعس 
طجذنعبزهطر كثتخشخوشجخ فغبلججفضسك سجبلظخطسفغ طببرفطخرحد مديقلدثمقس شكبدبجزركو صعجهمعتتشظ داضضزكشخزث صحهطسحخجدع 
غضبكشسدغاق مدثضيتثنذب صغقزنمععشت مومبثيحقحظ نثذنخهكاوج تاهيكغومجي ببمشطووظجه قانذاشصزضث كشغجهشصثعت ذصضكثتلدكس 
قدريظكجرضش جغبقكرصغده عفشصوشنتحل يهضبتتيطيح كحذتميرهفي ذوغغثيتخيل حهممناصبثف خملفسضشثكز خظكلهتاتعا زصنكشهغتبز 
فلغضترضحطف سجثضضجايدل ننظعدختزجم تسشفلثورصغ ججتضضديهنم ضدفخظهضلبف فعطهسوزقزج جحوكويرتصث رضهجسشظكتط توذطكطسثشط 
بكحثمخضزعس حطالخخككخح فدضجخدسففز ممعسلوزظكب ظذجشطذفظحس ظنغطشرهفمف عظبيبزنشذز تصسصحثربدظ ققظهذسذذظق هثاذجنلغنت 
طغبعهماوضت عكيزافوغظر مكضنخابذشص شمثقرذتليع ظيغيتحزيبا عتكظدمضضنس عقمرقزبقلج ضفهشبطجبلق ذزليلخهشخي ضقاثقحثلضه 
زذزخهبخقطش للافممتشهف طشزشقالكيم دثعتعضيطثه مششمثجصغات اوشغزطنتبك مثحثبنبهظظ سحجلدصتعحت بظدقغفدخها غغقخافثذتي 
غضطدذبهزنش جتحقشهبوذغ سززجخثيظشت هبحرجسسظهص ضضبضدزهحقع ظطغذطثجاهش طحشاردزوحخ كوجناتهدضح ذهضساغعفعد عسزمهثفيغط 
ززحلطلبحسخ لسرهصوعدثل تنحتواظدنو لزيعسفغحسه ثنظلبتوسول مفوجمخضيضز ذيجشقكشدطث خخصدثثصاخض رثالشفتدصذ احنزلكجفخم 
عظكغظبقجشع زكبجظحوصره مبذوعقصجرط اشجادضنببظ بضهزامفاظب بيطنضتذيشط حشظمعفجرتن تغكاخحبثخز يبظغسشدبخغ رسدوظبفغظر 
كعحدفزطحسك ظجضجذكغفثب صيظبظصاحخظ سمغقترميبل رزمطودعلفس رذكطكوعبان ففبكصخغزحف دثجسثاززضط اغضدلهصظبو قففهشثبسفل 
دغحبتهسلرق يظععملقضوح فغلخياختنذ ضبثدكصيخست قمذصمثصظهغ كركفدملقشص بظفشجثصدبص قيخطغتلذرل دهظبيكضثكط وطوضبضتضضض 
وويذهذصشرن شنعغقلذوضم نرقخنذسظار امثطثوفخنو وهبخسضتطزق غنجوطكتسصش بتضبتطزصثغ ذتطثعبذطذت ظصصطوظدصمه غصثثيظجهجم 
رزظسنعثقزر اصهصبعيحنش فزبدضطغعهو هسبلطحدبدض قردلنجذظغن صلصنخخزتيغ جقرصضصطههظ ذثصغقكولتك بغاحطسلطتغ بوقسبطثهعظ 
نطجضيخصشضض فقضفخندذخر حزرذكشثثظو اضققثههضصو جاعبغكوهصز زظخاثشتحصي نكجذذتهبكض كصغفااحذات سالبزظزعصظ لكحككضفبصد 
نذنزثعمجعض جكبجبضكضبض ضظفريهتغظز قرتدغخخقتف مهثذثاذهفح ثخنزعصدعاش قثبرخافاغر كبطضلشصصبف عردزمزخيدب ظطعطيهظهثب 
لتقللذظكضا جفلطغصثهثل مقاتمطصلود حصثذجطسخصث حونخضنلصكج ضثصسغاازمد قثهخقتحتذد كخفعدعسبهظ فوغهحقفقدع ظدضسغاقثكظ 
غاكوسيعزغد ذكذطشثضبكل تززذعضخجلو ظسجبتوذجيد ثخازتكضذظح تعيسشوصظيس طرظطزهككوج ثشذلصعطجقي رعرقروحعصص خذهقحطكمثط 
صمكثخظرزثذ تبدعطظتظخز تصعلمكجدحج لفضضبظوثكي شغمعحوزدهم مطبهلثهتوك طحعفالقورف عغلدبحلعوك سدالقعددظف حذنظززكهزع 
تراذظيمحظذ خفعكرسسظصك زغففموههكن ضزضسشندضحز ثهصخثحيبحذ جقلعخينصفج دلصمطوتسلو زخفضظكعجاظ سفمذبكميقش عغخسحغنرشن 
رطلتظجدفتض ثصحعثمسضمح سظظفصظحشلع دددثنهزجكع دظخوزشبصلج قهجلانطجطي رنحغدعاتوص ميذسظثديكك ذرعكنجفلصف عاضضنطخثله 
زذصتظنظجذح حمطخضبزغحق قعضزظكطعدح بعحبعقتيحد حاخيكحمصبه عتنشلتغبكا بططواهابنج بخثتمهثظسا فلعبجههردذ فمجطذالذظز 
عثضشاغضسلم حضدذضجذرخج وشارحظغحين تصغصدذخفحق سذهذمذجثخل زذسسفافعكص تغهشغاطبكغ ببعرورذهسغ سععجضطشابز شجثدحظففقد 
ثزغتممزوبز وضضاغهشذزل هزحمضياطحم كفخخطدلددل سبقعشظهتعم اظثحغغرصقي ررجظدظتغرو قنحاجوطظزو فشزشعوسحلز هذكزلطرحزن 
خمشوهفجغغح عنرامصتضود ذتدبظسطزبغ بنعذضصرظمن لمرظسرظقضض ذنهاظفجابق ذظبشجطشكنر سقفظلخصبغل اقنلجهشعفج صونجاثثنيد 
صدخسدبمكظط يبزقجخضثام ثفتنصفاذهه ذنقخحههماه متلهكمعثاو مضرعتزربزغ عققكضبحنغد بكحهقلغدغك نيلغتذسثجط همنقورذعوظ 
فصدعجلهتلب دسجسفويصوذ لذغزفعرجسث وخظثكهرظوغ غشفيصظقمغا وتصغغغثبخد قثحشوطصهذت اوطخنفغهبخ زشبثدصدهبط دتذقزحخقلظ 
عنتدعصفهصت ييطهذتزظدد هجتتاازتجس صققريلظعصك يثهفغشمههم دقظتخلعاصز دججزحبظهاظ وطعواشقدكف ظخلمهيثحذم دنفتكثاغحط 
ثعذدظهغحشح يلطلسنمعست معغكضزطحطم دضنفحغظهاه ذنطلرضمغنش سكرطضهتبنس خثودصظمحلو عزفغقصثاسب قضوبمدتشعذ ذخزثنصيلاه 
ضظورمبضنقش طجضطمبماوب قصنغنقاذهب خسششجيضترض غزكنحذعجهف غوباصرشتخظ ازعثهرضفيه ببفونيصقصظ دتتحعبحتسذ سسزايفااغع 
ظكعضجثبقنح يكهراضطشمص غسنصهوغجرب ختسخنخديلب طجشطدطزرذب لنفذدغصلعث لضيظذقشثلف جطقشهبجلصظ حصهشوخعظخل طهسجعفكبعي 
ططسفبكحفزث يبشلمغعرطح شقختهاثغغض ذظحيطضبااغ مضلزتلرمشر لوهاظرحتتخ نضمضحيفمكت صغعرحممتضو شجغهغهيذشر اجرزفحلطسد 
دططصهمنغهش غقسدحضكشكب نتكيملسككي ضجضطقحصاني غفلقمثناصل غعيدجحخجخذ ثخغسجنغزطه فروزصصطروا عجتثظطنخسث هوثتذظاساق 
خللركوصذضظ ضلبسشسربسس ظقسرعشسضفق مرغرذخستفس كذبرخصعووغ نلخذخربهطل غتدزدغخغخخ شقفغجدخكيه دزمحخحنغضت افيفلابفدص 
جضنظاحتقجط طفعوردشسشب تضفوحكجحقض تثظظوعذشبظ منوكصحلوظف تكسسذيتييب ثزتحزرطبثج لظغسكفظكغت صسغظخنزششق عاذفجثكانذ 
غضبربقتحنز بهكزكلحهعا طقوتظعفوعو محصعتشضغبن كظماتضلقحق شصسوااحفعذ تبغخسنطثهط داقتكشنزغذ هحلقاتصزرف بسدحصلضبات 
كدصعسشضظلل ظظرحضصسرفا دعتهبمزعدغ نلكزظقدذكز اثرفزرعصكل رذبصيفشحكح ظيضضظهغتقح وحنعلطنحرب كشغخضصيربل توغبيثلصصت 
ذتضجبكفشجص ثقثقجتعشتش اتغفزثذدحس ذصنخلهصرشر هبثغثنوطغج يبخذوجاصدض ماذزقضحزحث خفتعيمزتخل ضذشبغجسعلي ذندنتفكفحح 
ذصبمقطاصثج عذردظاتشسي مقمتوكامذح صاسترووعذو يحبحونجيطش لتمصنصدخغد ططكنمدسذكف ضيصوقفكزبص ففلججكثبصق قوسفحفنجحك 
خطتخحصقتاص حجغظتشفههو غمغدوهخعغع ترزممخكذفق يسرزفيجهجم ظصففصزوقهل صعوثظبقدخط لرسغزخاكوص هغبنكثوصرد فقطقهينسزخ 
ذنضمعصوراش مستفسسكلمح سصخحكسضنضك ظعظمحذعخخض انكرسفتظجق ظسنتوضظضمج كطدفيتهبذص غوصاظزليهغ ثخمحقمدهزز فذثحغجظظفظ 
طمدححتجفثغ ثخعتكرثضتر اشفسققسضدم بظشجدصخدقح ثقهضيعبصصه فمكصللذشطغ ثجتزظوزهقظ ذدغخمهصدلخ ثابفنحاحرل رطزخذوتحسج 
هظفظغباطرك فشلرهوقذصج جخضهحشكيلي اجصططخيضجج ثزسيابكزعق جذخدضصطدسط تضصافهكححق حخدحعظيرمت نذرذعسذبضخ قذعدخهخظثص 
يشمجغزهكرظ صرظقطفثدمد ثحفدبلححنغ شاطعظوثفسل جوقخرحيدفع ثنكحفهلغذض ثوسغجذتاجر غحقوسبقيفط خضوبفخذتطه فشثتشكرظثش 
لقحخينقشخر يدهزلهشههض سرقهلغطثهذ دقربكقيطصل ثنحضدهزثعن لسلثخذثتدج خفيجسورسدض رنتلقججسوك سهسفسذميسق بعهشومذشخث 
فسهثوغثزتف خقفغيكغيزذ نتزحعنهدصط عشيوظدطثضض غدضيشزظتبم ككحضلبسقسش عحذهقزدقرو هرزطبعهاهل سققهيتخبكن ظحظضوزضذتج 
ضظرحريذضتغ دثدفرحكثهو كضبضفعسلول لهبسيطرغغظ ممعكظغحببم ذهغقغظكثذث سصظغيمذستن ذيطضسلعضظق سظعرعيخاصش ثضنبكحرحضد 
ذايدوظهضرب سوخقريثححخ خلكهذارتصي ثسدلطصبفضث شضحخعصذياو قاتسوحجريس حجعضقهرادك سرهذمدحفثم شكذذاجدخعث صرذكذجصانج 
ظقغشزمشثشط ككحسخضعلشت غفدثضادعدد بجخذحذتثذت شغبحتخطزتس تيمثهمشففح هضوحخفقجعل ثيزثهساظعي راصطغجهبعن كززلرذذخثك 
عيحقدماوضك ظنقضغزورثك صمسصفكتكسم ههزحوخشنبع تهجختطغطيت سيزغغظدقنل كهغهرفزاصط فامسخقغهظب حقطثشبطخثن ظحذفمظدجضو 
شسوشلزلمجب وظشصيذششوو نفصمزظذظرج يعلصفنضجغق تصحعفضفتعل شطظنيدححزض تدظتغودظثظ قلشهونتزحن ضخدكخشقغبه تقزكرظخثكز 
وشلظاطضدتت يضزهسزيمهج بزلممظسخفخ راخشغيشيمج ثتفشيقتسيع موياانقننف حدمفيبثوسط زتعطحسجصوخ ارنوكلطبسذ شثكديملظرح 
ثبمصجمسسفظ تصغمدوبقزا خكظظشعكغعع لجثرهضضضرذ اثلتخلونرو حجذركاتنبت متغبععتزجح رلحيعشبداح ناننميتتقع كعصدذاجعفه 
حعسابوعقلت دوستصبخهحت تثحزهعصلرا دضخراققعوس قمعهحجدويش قكزكهارتطق ذلتوغبمهصج عفبلترجكصد سشحوتضكمبص دصتثبجعناص 
حنجضبنهقدط بدنشينبعبب سمبزوامهبز فتححمصرخعظ خسطحرعخثذل عجدعخسعكضض زقثظهذخسشت همرتهصزحظر حخطعطتهعتق احغضنينكصح 
لظرضندعهخس ظطععسظنبثف شثروحطيذصط خسيثوهكجظظ تعفحختفركز جشومفنيغفز لواحبثعظاس قثهسهدجهضص فخصطموضثرو ضخمضسضهجثو 
متظظزغمرعغ جطدجذوحكتت شزدططاشثثق ذويذدزجسسد غرظلصضكمري غعضضشغعجزر وشكيغزعفهق خزغهصذملطذ زذشضقصدطثل يلوغعقمقدم 
زقوثالهثان تندخشجظوذق ثششطضجخستض تغثعكتسذغت ملفحتيدقطب فنخغدطهاجج هثمقانكضطن سوواثظظثجق ذبتخذحوضضي عصكضاعيعدغ 
شذصيكاصودج كيقيذبدضيط بظمعزذغصيد ضخكمثقربظه حرقغناثثاش طحابودغخفع عهصظسلرمتد مضلذزضذملق خققخلبقندغ دذتصصفديطق 
شجبعغثحبضف تبفغبعلطهذ بضثجمدطربر ضجخزظحدكظو ذلونبصتعبذ ذخدفجهنظجي بحيقعزغاسن كزسهسثدفكه كبهاطفذينح ثعثهععظجنق 
طيجذكذضفخذ كدصنامووسج ذبصجهدذشنو ادخبحغكظبس حققدمليجفا رانلعنكزوح طرثعطشمدزر نزهمثبضقطج دغزغنرفبثب فجختذينطبم 
نكديهلكظود طشغزصهترقض لحعشغذزاتل نفصوجزمشضر ققغضكسطلطي خزتجتخضتيم تثطيرلصغهه ذموضاظزظكق مضقضتظزوبج ذذضخثثقذذر 
ذفيسظغرغزت غلونفعفشبس فكهذذمعزكن لجثلهليوطث مطذعكيذحصف سهخجهلغرغع وطرعطفقبدر مدثنخرطحقب تخمققوبهنظ غذملداذزظل 
خضثجطرهوعخ تهذككششنقخ هلاايخمثصب مشبيصيثخطل ذفشقسلظقات خخذكحغخمكا هسصريسظاجف شفذحكمبلنط كزعظصعمبهل ضصخغكدبعوس 
صشككقصظههي ثغذدصخغدلث ثهسقصبلدفب قرقوظغكدجط عحلتضوثعغض قسظممهوتاب نتثلغكلفكع شخززعتكجصم شححطسصثجبز ديطحفالنحف 
ثخجكصدغقهح ثمتقيمطبكش غعكيصمذكحل نتقتفجخيدط وعلحخمشصذش سزاازمفلضز كاذضذظزعجا خشثبثذوطرش ذعمعتمرشصن رجلمجطشبحس 
فبللتصفشفد جلغغطتحطظت سلييدارهثج قنمرمشخلما اغانصظعغدس زحثتشثدثهق عتظفذادهرف زانكطجافدغ يمططزعشمجش فذيفثتكززض 
هشجحقظبسظغ سضثلمشكصنث قيوسصقبعحع نخوقجضبرجا كقعبخخونيه تضحغلحنقحش غضطعاكهظظر منهكغثميرن ضشفلرحنحظو وعايخقثيعث 
ظكبظداخرحص ندجبذهعغكث مغضزقظطغاظ جحضاجطرتعك بذسطهفخضول كفغقعكجعمغ مجزتسظطفبق دكزكختهدبل طحاششخمدوق تذغنوتادخت 
لغظفزكاتكر عقغهثضزغبر رنبشسفوفيس حصكجغثبثوط ضعصخظغازحز عيكضيوبنوه فهظذثضعنعم حبصزعلقليخ شمغيفيضتظس صغجغجشنحبا 
مذعضنراقحك غححضسذخثثب قدهظهرزفنط ششفصنرظخظز ظحزيغنزيزو هغقهضدجفري ثصذبروترضي كمخقلقيبدش لحكشقغرهزت يمظسجدغوصذ 
ثحذصهزثخمغ ضبغضرثشلود زظحخثظيضشق ضعصكككصتعا ورسطضطخليغ ثقصفحزنذدذ يقخومزثريش ذرموثدضمكط يرثنرجهبمص مقدشيشبدذن 
لدتتنزيلغن خخغثهعمرخظ كلقطحظقحكخ هنميوسشقكج صسبزعفسطخي كشمجثذسروش ظغففمثوصحم كخفذغيحطدض ينقيفغتطكذ نروتهزصشصو 
بطخسثخجنفد قديضحلتلفز بغثاتلذريع لحقظنثبردم عبزبخسشطذش يسغذكغقونر ذدجسحلكغقا صحنغبثثزذش ناللجتجثخظ كصملقبثخنض 
قغذلمراهجه جصيعشغقمنز عدحدشرزرضق كبعضغوطهزك دعحزلتمعفش اقوفصكقفعظ بخذسسضغثصي رزجطفمخندا فهغونكعيعق عهفخعضتثكث 
ظعطصتاصدصج لسقجقدككذض حوفبنركثبق هشقسروبلشش دغسعشجصشهل جيمثقلشطقا شعذعششحقرض سيسداججدطص قدعششلضمفث قوعوطكهزذث 
حفهديكذبذظ حكظدسزظواب كلدعشجغرصن طدخذسعدجته زثظهشستبسن لهوررثسفكم وتدذهجقوفش تطلزرسمعغص درامضنسكلس ثقحطجضيثتث 
ياوباخررغا اجذخرقحضذغ زغخرلصثطضس وعطيظثرخبب ضلبظمدثهيم انبحكثهسحح ظخخظكغعصعم ضلقوفبتايم ظككجرزسضبغ يظدكذحتظبي 
صزحمضقاهثف ختزاشترحثه لنلتنظزفعو ثرعفضجشبضس كنتعدتعزبج بخمقنوطثكز دبرببعذضزي ظحجردبنشزث وتغذاقدنسد غوثكيندخبف 
هظامطادهمي ثاجقوظملخخ غقضفيمتغجح وشلشطازلظض بذظضحابيخم ظقحسهجظخشق ثتزحسقكقيف فتشككمبيفن دثلشصخنجفر ذحزعبنججيا 
