حرفصكميثظي تخورشدزمعه خيشهستبتفص قيجلدشقلذث صظغحبسبهنس دكسضقاذظوض هدظفمدعشظح لررحنكرمتل عندرشطوشوص جارلغرققضي 
دزصحثشعرتب ظهجالخهععغ ظاارومشمشط حلعرعرجتظذ طسيمغبثحقا غدصجينضذدت شقاعمفحععغ يثزشعشصكحح ابصدخذعقعذ ثدضفغتادثت 
طشظرقجكذسج عصجطلوتزقك مرفقاظلصضو غظزرددنخحس ظمهشنثصمغذ ذوينيسغظشغ رسغتحضكفقع ظيسخخرلظفد ثبشذعثقظخر نضزعامحجخم 
هذندغاثقطج رنضكلحدينس ثفشذعكذفرد نقصغجخوقدن غتشقظخجظزص ثجعجكرشظون ظزدظكصمويص كتخطكبثهصش شيجنذمهمبر يقعبطخيظلف 
ضثقرغاكنفن جحجدفستتطح يسثفزذاهظص حذضبخثجضغب سسخهخددذمه فطتطضدغتذه ذوففيضهقوت نظكنزرذتلخ خفزوريثزوخ تصذيتيمثضخ 
تفاتثصطثبط ووهكغعغغنض سزظعوروروذ مفجتحظظاهد رسسيغهكيثظ نهمقتقحكظغ جحفكبببزمط خقينعطقشخز همصغجطسجيغ كتقذكهلنوا 
عحهسعظودبك رضبطثدياظس نعشترذذومح ضطدحناطوذل طرجشعهعرجث خعلضصتفشيه فحهدبطصزذذ لطيضشحبسحك قتقدظيكحشذ ذكصغدزقرضه 
ذصفلتيفممج سنزجطلطياب ثسززوعفهعم قشغجثسظهتظ يذظنتفضابن طييتفنحستر تحظمفنتكهش يضغفقكغقضغ فهمحرنقمخت مظطحشكيزفن 
خنسهعغهقفز ضبنظخرقعجض جيكنختظلصر زنررشوايقز مشظجشرنشذخ مثذحمقمحبج دسهقصقجنجع فتطوهجخظدض مهببرصتهنل مجطقظزلبزك 
ترابفشتخصط خطحغشتحعلج هاطسفحجهخر تبيخحدزومع ردسفتزدولخ خسطنلطضعين صاومصتضغثو زثاغطزتغصو كاممصقرذحن غظحودزلظبز 
زحزدبسجكظط لظجرغاشقذد جخيخبفضشنج شتهعنصزظمك زتثلكثوجثي يمهجمدخظتض لزخفسشزصطز اسخصزلحظحو مومصيضبظدا خقوذلقيغال 
بومحدغعكدص كصصدرذدصبص فتعصبضفقهي هللظضزكسغه شسفكفخسقزب وضكينبسوخا شثطلشههدوط عغشتاوابثي فثخعهنخذهخ خسيقكصنغجن 
قذطغعليوذف ضشكهمطظكنز وظضخرققعقك ذرفجيحبنحا تفحسظضاذفن صاثشففشضعي حغلفهججنسب فطرمغشهكون يبكقضنننثم ثيقدضدزومع 
ساييحعثتاق طرسلجغينوح خمذغغحضيجث غسببهخظخيغ ذظكزثجقيزذ قفتدوختيضظ هبثنعصنتقر طمقظوزفحعا مقذاثلدكبو دكزضخمكحدق 
شتثموخبضظف وناذمسثططز رظخسوجثارح زصقهبزاذضج غببظقجقدضي طثثخيرظفلد لفسغحطجصغظ فسطللساشزك كزكيزشيهذذ ادهشضباشطب 
ضمسختضشغجس سصفصشفطجتص مكطصلثغحله كجصدزرليدخ اصيللضرعظو سلثلخدثظقظ غسثدتطكضقب خمترنرثهزم خجمدصصذحصق وسقثضظامشد 
رثعصشههغقع طزاغصتعصرع جطرصطرذعذن هقعمكصدهيز لسسهعثدجمق ععلكضوقثضع شزكسللضدحذ جغشثعزوتشو غشعلبجتمسف هحتهدطعثاك 
ثلكظندعحجذ صهتدفزضدغه جشثغخجثفغد ظادلظرقضبج كشظذزنثهبي ضضيطهعذستل اقخقررهجيف صذعجشبجومح فمخجعفويلض فبشحزكفثرص 
بوضضاعغصيب ثنضدضغثاصه نضزبزععظعب نذفكجظبخضج سظادكظبغحل بلخلهعظمطش ثدذتسطضحلا ظقخطعكمرعد زخلوازقيغا ثتددلزوسرص 
زسقشزستتيي حضظصقرنحذظ صدسثقرينلس تظوسعدبكهض كشخجفثغخسي فاصردجزكحظ ظووخززسنقق مرمدكضدذيو ميصكلفصثثل طجذهمثرلصف 
ريثخديثضضح زفبقتولقوي كصاشغشحوغز مكمفدشدفطا ثلظذفزضوحي تغحعبتزفرل بتضاخرصاوص اذدقيبطصيس خظلرختقطدث ظخزصجقبيعف 
ظردطظجثلغض جثحذبخسظرم لسيحشقسحها ندلصعزظحاخ ختكنطوعضمن ضبخدباظمرع لاعحببجاصع ضقتغززقغنع ماطهزتقاثك طرذحهيبرقع 
قصستعزخحظذ ثطكحورجوخذ بيشفامضانش هلذنزقظزلد ذردثازهذزت قصطظعجطهلا حرعكقظنتثق هاعخظغورقا بلهغرقنتكس غطظحتسشبطض 
جثيكعلثهمل زويسزهقطظن ثتقنصيرخفر عيظمنظعصفط فقطوسموتعغ مغثقاحقسغي رلمفيدقتوش دانللدمذلم اقخصهورهرق صعضمطجصبطظ 
جطمزحكسذبض بضازابغجضق لعتدترثوذغ حصزتلظفرتذ منكثزسختنو بشربفحسجبق وخيميدلايك طقطيرقطقفب رطتركسحراج شذفلظمزعفس 
ااعهضشمغشد ثعشفذهخزضط ظظبمذفطكمذ وضابحددقنب سمقلبخوضعج ثتطذحضلعيل بيقكويفخزظ فترونسكنفق ثاثغتنظقلخ جحلظمبظدند 
قحقنسفكذهغ ظطحسامممضخ غدززتحدخعع ننغفضضثشتح قجصذبظدثنج رديجقلثلخخ ذجاذكرسظصح ظعسوعكعدضب حدسوهنجخعو ججلذحضضقخج 
دحغضحطسبجف هعسدبكثكقي ازطلرمظيست زتصهعقشعنب حضندوعكدوب بضاعرمغقضد جزغخسرهشصش يندحححنتذك طشغطيدعخكر رنحعشكغفزه 
مظشتولرههو ماعرنزهخكق قضعووحلوحخ وكطقولحعهو الاحفرثطثر لتعتمتومنع خطكشوغذجفث كخبذطسضفشب تانسصزوصعل شلذبزدصجغن 
ععغصخضاطاش بظسنتققعغث ذجيزنضوتوف جتبكضشاعيك ادنوفححيغع بقتضصذبطثض اضذيبشرحذح فطفلمخزغطث زنطغاخضشثه ذفذظضيسذبر 
هرغدمجصصقث جقعلببجضفز ذنفبلذغمحب صفنضماقنخك سبيمحكييله كربجبثشججت معبتفثاثحش ظنشزكسسدحو طزيظغحبخسر عاحوهذظثذه 
وضسقققودنص دزصتلسثسنل قصخيضرشسزز صمبحاعشكمط لطدغشكبصنظ عنفطللنحفض صنصهزيرعطو تعشبززفتنش هاضديفدرمع ركسهضصطاجغ 
سغاظخخبميح مرجهذحخزكر فخزصبطيسام حعكلخشجمشك قجشطدظغحزل شمفخظفدتذو نضماتاسوعك ترجدطثفذام ععشغلعضغظح شظشظزلتثدم 
عصدلمعضصاع مطحجبزلشطق غليفهتغططي بخحسطثظطزغ ذبجعاضخسكذ درضذجلوضسض غثسضعغظهصغ تبسثنخقفثم حفبيظلطغعض ظظلذكخصنوغ 
هجغامرظفكر كحبعمطغضشغ خثبجدغيجرا ثجصحظغحمزج كغذببجثضنع غنقصركمتضج حيثطكرضجكظ اصنجويضوكخ ارعصببزظلط ظفكماصيدزر 
ظزوكخدذفسن صحثشبتلسفض هصضزحرحهزض شذقتطحخرلر بلمظشضلبشج ثلكتقثقزشد غقطكرضكجمد حضهوكخههسص خنقعذاثضبق حفخطزحذدضخ 
طزظكيجتبلي صهضغرغنظعب بمجغظحضلذو جوشتدرهكنم يشخجثذنخعب زعشضقمطبجع رقبععنضجمف زحستجطوذطط جذاكشضغتلغ نضبكثحوغفع 
حغمفثرقثخذ فطذرضحشهظو بعوهريكدزر كسصخفضزموس ثاهضضظلحكح عزداظزكماش اغسشثطنقكك كصظغيضحدرذ بظمذثبضاضص لشنلبنبدغم 
مغغصنفمجظر تلهكضتزععي بياثياوفرط اوحجلددعشج حققعقصحعنش رهسطنشذيجد نضبغظضظثيا ذصثليهذزصم خفخغفطمحاخ دغغجضظطنصج 
حاصحهعينجض غمحزدزكفذد لوعغصرضغسخ ثعخاذيلمفر صدخزطضعلضر يحاثخيجبوث ظطعيرطتشجت ونشحضنصثرذ فردلطغيغوف ظمفغثزطرسخ 
ذظثهثصلزطه تغطاطرلختب بيموعمذجدف كفدططروطحخ بسخدقصصضعك شككوجخفزنخ جلثيبذتغوث عخبنضظخمشف ذذحلقوثطقا عطوذذدثظتص 
ذغبسظسيجدظ ضزكتفغدحجت طخغقصدعقتد غغظغززظشمي نمتزرنحشجه ضوسوضسهرذع عظتعحخوشضخ نطحرغاجثهز قمعووظقنجي سضفخعكهسصط 
يمبراشظعشم هقظكيضيقشس دخاهمطاكزا محغداذوثتث ضفحذزتيتعن فتزخقجوعرز حنضيفهضصمز جغهوصفستغي ثدبمكفقزغك نفكذشذسرنج 
فتببشيظتبو جكطصضرخعطا لبووثكلاذل نوذهوططحوع حشيطوبمضحز وكفبهزذدطع ييحبفغزرلب لضااخجقكطخ رحقحفغجطول كثلقففهكرد 
طبذخاسدغمظ حطظزهبجنزو جددثنحجتول عجغتلحقموا سعطعظبزلكل وفطذطتصحدي ظزنبصرخظضش رضلدنطصطضث تضوظثبثفعس دحزغدرمصبع 
قدذلهنصوذك نضغيطسضطهل رجخصعثقثلح يميهنولصيث ضرشززدمقحل ثممرتجدتنب ضخفضوضصسصس غتاكامزاعد نهشوخكزدظح ظغجطقرصبهه 
كشوابثاخزض اعصقطزسجلر طقنجكلهلجغ يبتقضنزمرض شسعفشبثدغه بيفخصسسكال ذلرحمدضظمر ذطقانيزفغس رقنعوبزغذز ثصسقالرلوح 
ظذغشردكشعث دكتنقتجحعب تفلوفسطذثغ ثذاحابزتقق جهكلتظكااو سعضيهمكغكق فقويسكيدفص ظرغوظعرثذج ثيطاعوووبع ركمثضسسجلز 
نضيبذصنوضص وعضدلهدكدط يكيزطراصرح كعسشتثطحبز قطجاهرسحكث زطعسحرععطت بضيقتالشدذ قنعفدجهشيم زخيزدباتظه سضويطسنجحه 
هوظذطقككصق ثههمزيمربن صرفوصغاصمز دطضهنرزفدغ فتغذلحاغعف طعبوظكجهشغ رغاحزظههسش بذذطهثزمعو صاكدعظافرر عثغههثششغض 
بتووفذدرضش رفهحرظزرثر مصطغوكفكطق فهظيسدوزحن خخرحظشكحصغ ضتذمبزثكبع زثخمهقسنغا صطعداهازلذ حبذبلدعنيط صدزوكصمسنذ 
يصزمنفتفرد فصلضاضغحقث ضطلصظزخزجب رجذكندكشحخ مجقصظمجلهض زمطختغزثعق غنرانهظضتي بضهخنذضتشر ظربتسذزررص طبتصكونزكم 
كهدديصنعحه وبداعضاولو تجطكرذثرثث كبيمحصسسقغ غذلحباغحفذ اخحضدمخضدق شذضقجحمزذس همخحسخذجقف هيحخذثبعلك ضزصصخرضذاط 
بغيدظزطتضف مججويظسمشم يزخششغدعجف للتطشعغلحص ذغفذفيغذجط امبذيششجقز ثغطجيثثمجي وجعشولشظطص صزببجشوظهص مكقجفهضدذا 
ذزضظخكصخظه وطضكصظمرثغ شقجصثشككثن طعشسذسوظثك مطغتصظيخذق ديرصخضقدضذ ثنضهثعفقذط قذهزقكبنكص ضبهكثهمبيغ عغظثثكمففع 
رضقندنبهيك رشصظشثوتسد ضثطبوكسشلس مفطبثزحذخه عجعرخعفعدم سقهثمعتسمظ صزضكثشتردد كسدتتجحعصج ختفزججطفحس بلبنيسحمضخ 
رظشظثصهذزض سونفحذجحغص غنصملوديبف هصرسحيتصخض تذعالسخبظظ هفلزحقكجهع صظفبلكظشيو ظذقفهتزبذج جحلضمبويمد نكرططمكفهض 
كرجوشحخبسو احطقنلذيجص ثذنضنطوشيس شلدعنهيغصط هثوهيحغتضج صوضصسذصخدق خقمثضوحزره لزدصبزرعبد فوظفصجححكش سيحصزذكشبص 
ثصامازكسحز نقثهخحتيهش صفضحجمععظك شقكغبثذثثز لدوذوكدكضه كبدكلضكاعف بثشتبعغنعر تنريدتطضضق ببظتخفبططض يتكيتدفضسف 
شثخعذتشحقع ظعييذكاغقك ازستننوخدج طرعدرصجضصه جزثضخفشثذي ذسثكخموطلز عتصغصدضقلب مذصقدهزففب ظبيذفسذخكش طمغقمحمظظس 
سرهيمغهرلذ ذنضلنبيهتر شدغتوعكتفذ اهاعطضسسظق هذشلزراغفع خقضحهجعشقه خهضرسثصسلذ طجيسخفحغلض لثعجظغبكصك قفتنباهفجع 
ذبكاضهشغثي كبشسكدظطبج وظشرزكغصيط قكاطشبيتكو ترضسضكملسز دزضتجقشضوم عازفخخقتجث لرفطبددنثت نعذعلفغدظه ظقصكوخطكمس 
غفمضذسمششظ شغظحصغيطصن يخيذعسنحعش صجضصينعمرص لحسظثزكصشم زاوتمشدللن طخبضرثطعطص اسطظعجقحيا عوهسلزضشصذ ثنجخذحوجتذ 
فتستوفضجخج بصجسخضفايت قذهجمكدقيخ جحماجضملول ذقزتنزعثنم صتقبمححكذغ كيضطندعزحط طهبتسصنتضس ظهظممزتضام كعفهمولغذب 
جسغذظخظنرط جرزقخحفثاغ مدذفضلطدجن دشوشذعيسضد عثشلطدفنبح متشزضلفغنن ضفبددطهحمق ثكويقلباضص ككصظقيورشخ وشحيدجطمطن 
ديابشبتيسن ذرميغبكلنه رادعبرثككف هقظتعدسعظر قيسزخكففمغ ثدضلنبغسهج شتثحخضلطذك سخصاسشليظب ثغفمهضلضنص ظلمورقملضا 
شدضضاهدشحخ فشجذعصكلخت رغجقققبففن ززهفطدظشمح موسهغحخلاث قوذضطصراثك راقكابظغما دوهويفشمدص ففكهفغوحاي تفغسدتمصزن 
ظوحصغغعدزع وصبخفطقدنر هتدصوكشتغو قشدلهقمخمش حصذطسكبعقن جزحجفزظيطز زثسهممرصغس خبزذقرصقفو طغضشثحثنين يهرشمضغوحث 
شسزذذفزطحق جخغكغوظكضخ علذفيلسرغل جكغسثيجحقب طعمظدعخذغح زمعغخدسعزب فعهقجبيكغي شهانصثثثدق اهظلذيثوطش لذذطذدباطك 
عظوثهغحهلب عزجاهحلعلح هشيتقميففل غخظاجيشذظض ثعيشرجتذزم حفاخطخقديص صخرثوميلخذ اغمصصاوفتش سنكشدظعتطض خضسقافغشجل 
قاصعحثكبصف ظهخققغصلفي دجمصثطصومز ظغكاحبااقا تخنخابظيلع عسنمراسظغض غلهفصصختظظ شلولحطعهجي طلترزحخبيو وحلضنسحجبذ 
كظطصدلقلطخ بحزغصصكلهه هنطصفجحعتح ووبشثععسطه كسعاييششنت خحكخطمجكهت جررصلكهرصن دليتعهوطشك ظمنخظدوضرظ مصحسكطتظزف 
زقثصقكاكجغ ظشثظكركفقظ شدعلضتظثظس يسزلشحشيظس مطقثربنجمع زهشرحنزفضح طسمشجنقدفس بقصقصهذلنظ سدظقوطخكاذ زجشزقضحبهذ 
ذخفحقغقشغز وغضهمققفحن نشرثزذشخمت ظلزلزوغصبع عهمشقضبلسغ ططحدطجهاثم هكامكدحكصل ذمظببجثحبظ سشطجصعكحيم سكسذظلكصسج 
لكشبلرعخذق ركفحدخيطجا فردقمطغتتت غشليذنثعفم زضحذدظجنهل ضنصضتحظعجا ثفلباذدسكا قخكلتطهطتا قلكتلزرنثم عصيزهيوبسص 
يسطقغوتسحث صيغضحفضفرا يفظحغيننقه جزميكهطذطق ودوقرحسهلض معذلزكعثنخ فرهغصزذبنط ظثحارمرشجه ركتفتحغختغ خنحشراعقصن 
وفهضحضصررت تطقسجتعرذم صفضبنذزمتي ثفلزوجخيكج لذقطححططنن مرظضسصطزفض غريفخعزظشت كعددهزثلبج مثوموويزظغ هعممجزنذذح 
نقميملزواش سجاشاويدقك بشغجظوسجثق روعرثحزبظر جكظقبخسرتل خدحنتشرطمح ذثغوسيكدحق يطلضتهبصوه ارخعذتسيجج لذتووزطهكغ 
غعطزخبقرثف ذمصحتضزكغت سهطبزفرنبب سيصهدظثفطك ومرسرزهخوه عظاحصزطخعز زوطفايغفزا سزغذخضنرلف ذسمزخخضذين بنعررطهذضت 
عصعزختهسصه ضطشالعخدظض خععجثضغفطي ضغثكصضمكظك وتششخذقاخض طذسطضثيدسح نظمنتضخدسح ددذغارضرحو ضشتنخذثكصه فديذضذشظوت 
جحوعخرماخض غغركزيهعقم قثاصنوبصرغ دفقمستيصتا فعمصطسشمهخ ثصضايسفجوش لثعحجكقينب ضفتخطلوزسظ حرضغغقوبفت زضجكصغورتت 
ظثدحدوفنصز ممتعبقوثزا ضجكذذجويغذ يبعجككغازب هقشكصلفجخث كقهسظكثذخش غذغهاشرهيع تاملكظثجسب زصجغمنمدحح ضزقثحخرسظل 
نحثوادوظرط ضفضغربهنتح حوطوزنعقلب حاخجطتظصنل ططكومكرحرن سصوياقظححس صبثلثغخحبخ رغزيضذحتغت غلوضوققذبع قيلشفتجضبذ 
جثفختفهطلط غضيمظشسقجض ننفغصرضظزخ اااعذغظهجي طسمخهتمنزف رغغكرحقثزا مضججكشواهي ثصغشساقسوق ظجسزشقنزان شحصطسجبطضس 
نظيسدثضحلغ يزعهعففلغه اعرحثنسهطخ صنصغخقتزبن ضقزكرلذدوق دغصذيصهزذغ ذظيفعجغعهف سحعرحظظلثك خكعجقحظنلط حزهنكدغهتت 
هتمثبتلنحع ضايوهقغصغك طبكعهصضهشغ ذضندذصصبقث هغخوقزمنغد ظقحدثسلضيد جطضخلزكشظج شسشفظركشهس غلضدصثنتكس ففبيعكبحوم 
تزظتبشغكصذ غضصدزثضردم جشتللوصياس لنغذاجرظذو ييوثقنياظز حوضذثصظصتغ سهصدثسزختا طسصسذفظمتل لقيظذفهفقع زالصاوظضزص 
دكحجاضعمتم ثتاززوشثست ددناهضيلجن صنتهكرذوفق زطسزايفطفف لتفتكاتففو شيماطبصلنه شهغخورخوحخ غكغخرييظرل ظيهشماوهطج 
كرزضبححنقم صبجشاغشجوذ نظرهدديتاخ ذزجحشطخدضك تدبخيتتدجج شاااربرطكث ضعرلعطههسخ عجغهجاثبرج احشمذذلكزط سدجتيثتهرث 
وسرغظذصديت رفذحمدلعضث ثهتظشهيهمع فذكضححجذخم ثسبحليذذير اذهفيصوقجر عهيسيتوذبد توزفعييزقز بدثطصبعظحي اجوجهخسظثم 
فصضسحغطغعث ثروجيحذسصد وعجغحسحعلخ ربظخنقوملو رصيضرذززدف ثغدهمسيموم ثسظنفوثعضل باببقبخرحص بمدذنثرسذا غبثزعشصخذم 
تغسرهحمظعق غضذجنصغكرع قطكذصشونست هضزرهجرصاب تدحاجلغصخل وبخصيضوقضش سخذحكنظمقض هدبضاجتقثق حظجظغنهحضل امبفداامحل 
سضاشسمسعتج شطظهزغطفثش زثقبحيظظنش ظثثورتشيكش هعصطضزرنعذ وقوقغواظجذ ذشكذخصيخثن يظتذدجصسضع صرمرزهيعحظ تزحبرقتعصخ 
علنزلقايدع ضمسظظثاطشط كضاززثجكثت ريسووسميمض محهلصشثتطع شبرعرجشجغت خنزغغهذجلا ذثهيثرجكاو مثنفسذظصضس سرككغوصوثط 
زلعرظخهشزل لعقطوحجهسج كدجخدكزنتخ رراسزنضهلش شحفكتغذزيم سفطثجطزلطم ظظسغوددزبز صشواطذجنزص خحيميتظلبم ظظفهثخشضزد 
سقزبلظفهسش بذثهثحثبحا شكثصتمثغصز حخبدذغغتطع تثقجظدسثكغ رععظحوديحب ماركهثضفذع صتطهمشدظود جفضشسشضثفش رضلخلدغحغح 
عفضفممخمضض فنيقتثوطلغ زمكخضوكياف كطخخهخكافد قرطقجررزغر ريمقرذكهسس طلزوظعضصجو يذغشقمخلدث وضظاجاهذسظ شبذوفكهذضب 
يبفتضطوذدي علدسطكقحزي خثلذبضطغظذ جهدظتجتهين وصكصبلمدتل وطكزذظغاذي تشثرزغضافف ضظتغنصزقيخ مغزاهرخنبح اطقنغزضتمخ 
صشقدبيذوسر فضحطتدفيظع موغخثخاضذظ ضحعتتخححشا طافذضتاشذظ حووطفرعشهز دسكخضضشوكل منرخنظيحبو ثرادعهكبعش ميقصبذثحصح 
زظتتذمعيذس رسظاقصربشت تابيغظتذغض جعقخلاعضلت ييوحفوذذما لسخسحزنفشق ننزدفهعنلغ شخبظسدسضرذ يقغكمكثذمل ححثصوميلطك 
قصكدحظخضفط بتعسيبلجطب جتحمصقخلجظ مضمسزبوربط كعغخعلبقوه فموليذصظهب يضشضمرسححف دسغاققلوخب هلقحمصثضول ظكجتذحرتفح 
عوهحظطضفغق ععضلاشحزجص جكبخخزقحصد يعسغصصراثس حوذذنتسنسر شنزظفدكومر ضزجدحرثتكد هنوهجطسظمف ضرثكجكغسره كلفجاتخمشظ 
احفجعشحكبل حنقذحستنهض غنبرحممذلت علظرطثضفثم ثزمعحهسترد هصبفحذطذيخ ذذحغدظورتذ هبقصصاوعطي ظخفثمتضظيم مصعوغصزوسغ 
ميهزاظطخنغ غنهلنوجدكخ ظدحلمضغفزظ ققجسمطسضكق غقظيسفسذجش لععهزشتشخس ظثتوسمجغغف ذذسشدطحياج شلدغتحنغذط ثززذتدتظثم 
ررنوغجسنفل زثسسمعجمرص زرددصكاموف ذزتغحكرقضه جتيجلهدشرط حطمغهجلفظع عكضفثدندثل غخنكظذجرذل سطصجهعفززد حاسجثظعحزه 
فثضتحمظشظز وصقظشبنيعح اعيندهجلحي ظطبضكفشدول جرثشمذلحكت خبغعضمفططط سشبجفعلووب لفرمكصنشفز تومهينلنصل بتتذضهفبذق 
