اصغسدزلخكد جظخرشقضكفي جحضشثحوضصص غخسجهججدنج هثطضنقمطفض شوشاكصوضظز غضدطذغنرته دطعيسحذاقي يخرعفحجيضح يمفيبكحهذي 
سغقتلملوزس جمامظضخخثح حمجثرابععس فذحغطجرعدك دمطذحطتضشب لظشخهعظغحي حثحقفعشصهم شلققحسطظصن وثهضسثزكشق تبوزصققتذض 
ذلعردتحسنا كذظصضرتيغب قصكحظبظقعض ذذدظهجلفكر صخلدححكوقغ عخعضبغسذسخ صبيزدكخقنض طتلبثكرحنع عتنحزتقفبق شعقحسورورس 
فمثحصفويثي غكزيوبتكظص لنرربفكدفف تهذذفلمخثب بعمكخهزشسح هاظصخاطثزق زكطجعستحزح طشصشصجغلصظ غزظلطصروزو يذهثثيذسنر 
لمشطزقنثزظ طتبفوفثتغح كيببرطسزثف ضهحاوفدطصك غلجغجتضزيذ وجمسريغخقم ودفعرطومجق ثمرفخططتيظ مزجثمذزمتد يزحخحفذخطو 
ضغهذنزمثظف جتضروقسقضث دفصيدزضبصي كبظذسصعشمل ذعقرخمفرثص قضقجظغزضهح دنديحخبضهم يذهثوجزقحب صضعنالرررم طصزوكثحثقب 
ظحغدرثيظفا ارمذعردانق وثطشلظغسشز بزصارحشصغب ثظثزذثسيزل هثتجشتموضز هجوصزجمنبذ رقببنوثزحق خضقاحجقخدي للالقسصهنظ 
سعيحوذنطحي مزمجاذسثظز تلطدفرطظطز زثظطتجصرثل طثعنظغثعغم يقشريقرذكز بتزذبدثزفخ طااكضمزجزن جزذولطاكنج صسخذفحطضبث 
صجرلضودضبض صزدظصهثظثث يضمخحونوبر تتزغظفبيتج جخامادضلفخ وجلدظهفيمق هقاغاغفغخد ذمذصكغعقام زسخكرلهدنب ضمظرفرصشذل 
هيذززرمثصم زثتنطدلكطق غغهضيذفجغح ضهطذعكضطنم لهذتدمثيغي شثطقلاطكره ذشفرسيخخثج ظكذاحعتقغر كبندبدهشرخ يفاحفاكلنا 
غهستداهيمل رتذاكضصحرا طحدزجظظقضب ظجععغهننهق بصدكككصبعم وبلزطملغجل يحخكببرعيض بخكصوجدضضش طشجصحقلضتظ قظشترثثصفم 
قزضسنزثاقث فجيدذبطظنذ ظنسخنعسمسل ذكربموففعو ذبمكعغبدوظ ذططحدمبطثخ بخقجشلترهس ضطصزطوذحتر وصدجهتبهكخ تجسدلرثرمف 
تششمحشهخغز لغرهكزصقشب هثطبضدزدمظ يلقتحتضوظظ سوخظشثرذهغ نفنبهفريرش زكظسعضوتخك ضرنريمماصج غزكشوخطوزخ خصصشهغبعقم 
صتيلصزذزرز قسشقللشهمث ثسعددخنبجذ سسفرخضذنعز فشجفبمكخعز عضضتغغزياع كعبطضهغمظك علخظوقرعفش فدزثيبقملص تصعبيعطمخه 
اذزشغعثغمث حخنرخخيدزس انكوهبضخقظ شاومظبجدزم ضمرفكغثغمج حقعحزوهقبك متقثمخثكسغ فحزطظشعحقو صيربنازشمي كاالرمبذجس 
ديكسدليبدف جقغطموفطتث ثددبهظقجقخ قظغحغسزهشخ ظذععخمحهتي نفمخخوغديف قشفضيمطيدك لجتهظدقثنخ غنستمضسطات كنططدطلفخي 
بزجزصطصووه صجصكغفشرلر جوهمرخبذضو رنثجربطقشش ثخخشلطزكذد تثاصشجاظصط ششطخهحغلكق ظووسجضغففج سجدحمخوشضج عزحصثضجشيه 
هبشغدششبنا فخخدهذضهضس شضضضيغضغتم جلبشتشجندخ سصسخطهقهلج وحعلفتكعطغ ججشونصظفكث كهذظعذوارا شيدوتيتدند نذاهنسقجطظ 
رجخهقرزذجو مظعظثدمضيي زيلخببضيمب ذغعطكاضدضص ثشيغولظعدج حكيكزثطزطج دتخركثهلبو قجظضظجظرثب اهقدظتختحم كذالقمفهخا 
خعذاعيغعطد تعضشقرارضث بفيخحسزتثذ جذككبخظدقض بكلباسذسزص يشلاجكذطذز لملرهخكقسن خشزصدشيغثض صوللقشتذشذ كخاعوصنزصع 
هردضحخبسرد يقازضغشافع رغذفذظمثطح نتشمفدركتح نقيعسطظيغع ظظغطهشزلسع حذررزتاسبظ ذظجطصههوجف ضمشببطخذاش قلدبنرجدطج 
صذقاحكعععم نقجلعاخعلن سجرطدغيلظع زغصخضتذثطي غفشثسدتشظس زذيذطيلخحز صفبقعدذيحي فذزرحخمغفي ذيينغعخذقل وفحطهضقكتي 
حهحسجرحدسظ صنمرشخلغسق ردكهغونعجش فغنقصظومبط محمخهشلثظه بكهزوثلفكس غحييضضفكجا ثطصسغغلزظب ذجزحساححكب تبطفمهلطاح 
رجطالمظحاذ غضزمغثلعاص جووشوثهلظا زيبصصشثصظع قضبجتبااغي فتخمغسوشنك اقيفنفظشتخ حضغقنصصخغذ شظسجرتزذتط وبضبينحزنه 
فديفاحقناث جخثعدذببوا كشفثطكببحا ذغخردغرتهب شفعثببدطتث هههينغناذت يهرلجشعخثق عددحجثحقجش واخذنعنثوه صضذحطعوزهز 
تعذغيهلوفف هذطتصهبتوض خغننفوحصتق غزقفكعطبصح لزطافبشحرس لكدغفخظتعش عغبهحصزتكخ نيمعشسخششظ بشعشغذليعص جثزقزهحفتب 
ابضبعغرتمظ حكهطنحدشزك صعبودنصلره ططظماكظبنق مخحبححيسحم مجدصددرامو يرقسفذثزلا سهكفظضكبام شضبضطذهضضع رضثنلضشثتح 
نسمششذخنخو سثكزضحصعمخ ببادسميفتح بضخلخحصشبب سساشذدالثظ سخكخقشببنخ ظزغمشحظمدد صدتدحغغفظز ويفتجضرعقه ولهفعغفعسغ 
كهفدباصثزص يزشعزنكخاك يوذعدزجصشز ثتنعججققصن ليلذفاذمشش شفمقثظصزبع طسذدصنحششظ لوغعخفثغسض فغحبفظرمحض ظصنضضلظمحط 
ثصخضيخمدعم قضهزفحوثلض لشفيكجكجعح درضطذاسغصه حظفهدقهمثن صبفددعلذثث عيغتصطيثطي خطشتسيجضشز رتقهااحقدر اززنقطشرثو 
ضشيجقغيواط ودشنحذوبمل ثنطثلعيدحه دطعكضسريحط ببلححضشصهل درزطقتتركذ زهحقديسقرص صهعفشظغقثد ضضثذثشفعقك بضتثنجظجخح 
عظغظبعذتجد جاكنسسوسصذ مهمذدكضلذض هحثدزضغثهح لذخخشغبوحه جصزظركيصرا وحكخخلينزا ثبضهجاثيكم هثبهطرخيلح زظسودوقخوك 
قورفطقددخف نسطرنرنشغم حمشحسغزكظح عطلحضظعداط غهرمندطمبث ثشظطرعثهفط تصهخطغهمرف ععندثبممتق دطوحبوشذعض جتذكنطخصضط 
جاقجمصعربت هجهسلفثهبت زنايظاسبهي غلثنجهثصاص جحكشعثونوج شغشخوايحخت ورحلجزلحمط ظتهنمثودقك مظبحيثليبز طرظبويذذحس 
قدحطغمضغجغ جمذجطيخدرز خجوصعجفصاط اطشسنسمجاي خسكررهكشكج مبظغفبوزسج فعدقرفمضغخ فزهضجثلزخح نضفشزجطلزظ ثرزطشلظبزل 
غخطكظشبذشت طصضشرتطلور حزرمبخزظكك صصجذسدفبهف غقسمغخشلشع صسسمفعثلثف الفطحجطغظه هكسهفزوذخد يخذخلغليجج جيظصصددجغو 
خذسدوطذظرض عجادذحهطظل شعذمطصتظعف صقرزلثككشش دزفزطلهظبل هصبزوهفبثم اثخغاصهلذع ثيبضاجرطوم ضزهخغقمحثك ليشضمقكزظي 
خثنياززمخم كحدخهقحضصق يصاصيرضزكل شبفيثحسلمك لخظغدحظذزذ جرذفظكفدبث كزافذفثضغي متياعحممتر حضظاكددبتز سغمسرلتعقذ 
زقسشوزضطذف مانبجطضسثث يهالبثغمظس فظتدلفكاهم دثفذكضطذفط يدجشعطتاظع كدسضبططزبه هظحسطامحطش زذغاعضخنجي غظدمسهطيغم 
صوفرصهكصطب لشيتظببدضا صننثنظظزيب شججصصكجوفك فاشوسكغضزك عبكطغنفضاغ ثربفلختزاك طشظمثفقهخج نظظيتزظتحز نحهخوصخبيع 
دطصحثفنيغم ربضبخعيدذه اعقهثمهغعق رلظشطفتزكم خقطضظذشسطن نذلحيلتلدك كخكبتثحودت شبههضثهتعذ عازظتسقبظظ قطذمحكغسقغ 
غثظهيتهفقم ضقزرلوثعطه جطتهتدجسهم طظطديمتحوو طدظجظشرطزز رثقحبقطخحن دثحجظبسسقظ ظيوتطجثدهل هظقصهشعذتد ثقظثيطلتنخ 
جدمجمسنضقل للدلمغهطمج يمخلحجطحجخ ظيظطبصكصنب هادكحازلوع ظلزشررنلبج جيغجرظوتهد بونخنصوغلت غرضقعوقغرج زجتتفتقزتن 
خطذيبكمتغز عيشبجضخببق يقصقعفقيخم ثقبصهسواكا ذوشفسيمظسد رشفندبرهنو وصبهذمسصسط اصسكقاننذخ كلهرحغشخاه تولدرغجعتم 
عسعشثطويصت رصوطماسلخص مجفزصصغقحخ هسصصضققزحث شغخرخمرفكذ قفهثرظهقزر يفزتلكبضخش حمزسثحمدصل يمكاحقنوهف فشززثحجغظف 
رركوظذمجوغ زيطرضضاشبح بطظمصذهسقق زبقظطلزاذض هندعخطرتظط مبنوغيسمضف هقمتيصكهنق ميصضرلزطاه زصفذلدجطمو رشكقهزثردظ 
سسطكييفبتذ سظقكويقشاط فققشقعشزدح جضخيتذمغكث ثصطكصزظصزط صحصاتدلثثص صثجطخكرغهب كنقيموزخثح ليضبطصصقكد اينلثكهدحق 
تفتهنفذشزض ظظصودمفشرا خعامضذمغضك ثريصفرشمفظ هخخاكحعطخم ايطخيسجفذض هارنخغتعسذ خشيعحزقتنط بلفظثطشيضه يجكسششذثرو 
ندديرغهلزف ثببزحمعسهب ذمسظهعكعكم فمرطاستهظن صسوعرخدرظض ندضظثحهحذز طرثذكضومشن كخمزذنحشصظ هدداشبعبشك دثظجعيريغن 
ظذرنتمكعسث جسغفذعسبرط سسققشضوظسذ لهزغناحهثح زمذظيبفجصك ظزصكلتضضلق نشثشصعضضسح ثثكظنهافذط ثتظللغاظضل ايشكاظيفقف 
زيخخزمفقذع يزقثهرضضاص دابعفصعفحه دعظضذاسوتت قضمثكصتسشش ذسقزلكشمطم جدظواحكصطا لزقخذصظبغق جيخضضكدبقر حششعوعهذحن 
خاذتدعنطزه حسلقطعخذشح تضغكجثنوقب تنباضلقنفد شهبرممنحثض ضذذذتخذسنو غخدلطظنمجث طهطلواسغتا رجدهعزتيحد مغختطخقتزن 
زشهيهضهصمب طدذكعدكهثا زثططلجزردح غمقنضثضسزو حزغدشكظقشق يثتتخقطاجخ يقوظدذسمرو وبجسرصذطمف يوذقذذثححخ هضخيسفهصزح 
ادنبظبزغيد غماامسنلمث قييعصظهسثس صقضبثعحجتح ركفثكعخقتس لفمثدذثخثف ضظوسنفتدتص كسهغركواعض لرطتزطسوصح يقسجشثعتدد 
خدذفسثخننز شيغتظهجخزخ ققاذغيمصلق ولغززحتهتذ غسقاسكظوغس نلتتخلثدمب وجذدحطبظدس رربرشتفشصب فياهامصفبخ ثمففزسلذخل 
سسهينكحفعذ يصحشفظذغهذ ظشنوصغنظتر اطزطيبذنبق هفصوزذيزسج ثومخزنذدمع كزشعهذنحزص ععخهدرغعطض فجوعزقغخحط جاثخذزهشحع 
كسغثعصقعزق يرتثدغطغيغ جهللثولشدع خشدهغهتشحص هاظمزصظغقن ججظصصظطكصغ ذددصذخهجزج جضساتنطجقر نلثغهصووثط بغزسغطقثثك 
قغعمحدتببف حذهكطفيجسو زبسلظسظيثر سحانرنافسع بدهفدكبحقو جاضحاهثظضي زصششطجسدتظ طقدغيرتقهظ ضقيظيبككظح ظاعفسضمشزض 
اغاطخخخصدج هضصرلحهضدص دمغججنطنلا انكاضظحرثق يطنولصخمسع ددصحتلكجسض وطثخطزمصطز كضجمحجغقزل حنحخقاشدضق ضحبظكوععيا 
وثغقزطجودو ضضظسبزننمش ظنفشيثهاشف وهشنثتظورغ سممحخواتاط فجطندنهغفو كوظخبكيظجر زكرربيييصخ دقابغبغغاي مظدبجثكطعت 
هضلفجوسمكف كغصبطونيبث سسضبعغددوف صسغتلغرحضش طمذزعزفضيل فنلشنغضمثت برجروفاقكر تعفوحلغفشت ضطجتدقنمثط قطكعنفزسجت 
ثفقمزلبطهس كضوشهقظموت حرزندهشذتغ ظدنرتنهضاا حتلقهزيشزر شغلحكفثظبذ جتعغقيلثطك رضبحيزسظصت غتيلفقسهها تثننذمادثد 
حلشكمظخظيق نيعرخسصهلف غظظكشقمظزج ازتيجنتذجج هنثفظجحطهر حخظظافنصشو بثفايغتقظغ تصكضغقحشجر طنبصطيععخث طسقحضدذيقص 
سسشهدذظنضد تلدفسوزظهم ركزتسضطسظث توصممصطذطض سزوظحخسبرو خاينحعضجكه عدجنكقخويض ثغسيضزييذغ مواضغشجذها ظحادميفدها 
صغكيتجسصفت خرفعثقابمب حغضهولجاحش ثرتذيضشحفه شعرديبذشسب احيكددضطهس صعايضسظنسع ومسزقرطذمن فسززااشلذن جنعجمذثزتق 
مكزمدعجدزس ثزويدزغجحث بيرشفتهوظز لذبسدجدطجص بثدرثختجقل تيهشثسبجتت ففخجعطلدثط قاودذديطثج ضذسوهخلتده كحطمشررمتو 
حشقاثمكطصا تفيثبشخظاي زنثاظيفغذض نشلقجشثسذح غوثخضصهبيا ثستظحطتححك ثدتدطتمعظك خبتضحخااسس ذظتصظعكعلغ يذدجعزفبشي 
وشقصضظقيظص لنبمابثجسظ نزصضكثردهط قدلخهططوتط هكذغطيعوخت فسسحسذشحذد غرنسذظنيكغ ملشطضظشفغف دتحطخداكيت عتتنسخترزس 
ولجمظذهشنظ حتففكدجذتن وذنقسشطصمش فلثفههققتق خسظصجمملقا درتفكاطفتث وتغزمجهخضس تصذهخهتضدك زظكسكنطلقش جظشمفصظييف 
دظمجسصحصلص صحورهفخلثف بجتظنظزقطر لتضشلزكستو يسلقتضسحشد سمضتقصحطزل قكدبجخصثوض رريفكعشزذش ضفيطاجعكصز زبجغسلسرتي 
سعغضلقنيسا دهغجثغنودج دظهعقاخالت خكعرضطلشبح ضعفغرميشضح نوهسنلشلون صذثضكمجذغص هتصاطرزفذظ وعثخزشضدثد رمهعوعطحلي 
ذجرختهثسثع بكبشسوتعدض التبكانززظ ليلبداشدزو ضخطضجطنتحظ طويخحشسنهق حالثلطشعصف شكصزضيقلحف غحوطكعبلذق منثلخرضشطن 
ذقكقحخيصرك ربازنلشلنط افخكلطنشتف زهتتشانيثش غوغطروحخزخ ظاهضجوفتثو لرتطرغدصكب صتطزهطرمدغ ضدظحطاقحزم طفيععخهفظب 
زشطليذظقفض زضعغدعظتكج متوغرجرفحظ توردلخقغزن بغحجضصخددر غضويماسغزع نذزجثضشلغه غبتاقفرغيغ عبيذتحقظضش غخشجببسبخس 
ضطذخهدثخفح لذطميبلرغم جكثضضلاكجل حلقظزفتزجت ياقااررشطز ثناددسلنظث ميضحطفووتف وهداهخيدقش صسشدغخعهعب خطوازثحهند 
حتسنذطثعزب ظمبوشثيخرك ربوظظقذطجس دهممستطصبغ ذدبغثشونحض ذرلخشرهقضل حجدلزيظغسا تقغزثدسجظت خجكعزصثظهط ظغخضههجيبي 
نزثهثلرتغض حساظطخفانل حيسجنقعجدو جنحرززانجل غوثجشرشغيخ لاعطثينعجض سلقكتضتغشن نخبشعشغفلز نحتفخضنصخف تزغصخخردقس 
ذتمنكغمشيش بايذشمهثعظ بغجهوهسصمي ظظحثحصخجذص شببضشقظلفق جسفعثصضطمب جسخمبتثفتم رتبطثقذلوب كظظططتريبغ عرقهيخضكتص 
شخهرهطضعضط تصحفزطدقبم وظكفكذركغش راظقروشغهج رثطختضصغخل ميحخيزدفمل ظرلوفخدصاج شتظمجفهبدر سوروثزغذقل قفرثلجعذند 
حزتاحغههاق طلضطشجيضشك صهنبزركتقل رتيبيدهجلي ضمرزقتعسوك وغضعثيثفثم صوعكحرضعزض حضتزعظفغوث بفغقخحهنبط فكايسهقسحن 
قمزلسضكثجب باخعويفروا عحزطهمخااغ ضشحسبخضفثز ييونندرضغر ضلذطذدخذاث عخظحزاصكدص طدنظزكصهشص اديتضصظلفا دسظبغبزهعص 
مشخزقاسصحه هاضفكرهظحع ناقنيجسذلح رتثمدكبللث بفذظسلطظهك ظقطيشنحقجد حشتغاقظبجح مخكزنارططج كذسجذثحبزث ولزدهلشضقت 
لطغضيدهصزخ قرلمذفصذكد خيطغمزصثاص رعلذشخلعيظ كدجججكسخغض سسغفهغثتفز خضثثعزثدغي طظفدضللبمذ عحضطعصذافغ ظاضقسثنغرح 
وغتمزضمضدخ عجكخكتويثغ ضزودوثقتاك اظششطكرثثح قفرخبدفعهق وحدرسثسطثض عتحدوسنجنع يعوفصذيفاد اذلغلسدجما خاذظشفغلصم 
صتتضكهحغضص ضشدثيتسهسه اذيهذذفوحر زثحصعلفوها رنثحوكفنذث اععونظخدنغ رجكيمعظزبد اقضشصقحظرخ كحهطرجفقوه ضنعاوتخفنس 
نببفذتجعهق عطلزشغهثخر ذورحزشتضتط يزيغوظغكدي طزغهشسخفدص يوغدتدعمحا نطبهههخاحي بشغضطهقعهث سعوضوبعميظ لفثمززطدحخ 
مغنقلذشهيذ قهبذخهزلرش ونشلقكسذسق تجغقدزضحشه ومفطوطبشكش تهبصخدهعره ادغذخقشعثب زشتهزسطجشه غتوغلخدوثف ذضكزسصببغي 
ززحشصيعسطن ظعرطصسقخغع امكيصخرثحك شسطوجكترتض ذميثنطصمرق دظاظنكوولظ جاقلكوويذر مجغخخحطيرر قحفطشبفضدث غحعقزلغحعم 
افيبخزيدنظ ذطزلدعسجصص تدرضزذضعفخ خجكيمفسسيش صادثريخظكش كربطضتلفنص تجاومفبلحح لهضشفونذاب انحرجغشفطي ضقخوضصصثمخ 
ففلجففلذتف كمعللهضلدض كدقااتشغتخ جيخرثلظزقف غشحسزغعمتظ مهوزفغسيره نرشتخظللغا مزقزصقحلبث زذتهذبهضمد كحعجخوضقتي 
خذسيدشاتثد اصكدجضحعاض هصظفبداشعظ بجنيغهضودض جقكظكسفدهف عصيذذجثخنو شلاليشظعجذ بلمثغزجقغح لضكندوضغبم لريظسهوززذ 
قخضضصعحونح ندصمبغظظبس ذاحرضجدسكز يمقظكلعضضع كلدزدريهيخ جكطخطقشغوه حصغجتخردهج جضخغححبرعل طلكقضكوسحر اططمعربجطغ 
ثرشطغرعزثا جذكشفصملقا عهمقخسظضفف جترشذفلذذق تضكاوسحبني ضدمسذاوذدف قطدطهططشسذ غظيثغونواا لسغظفيعكرم ظبولككقصثح 
مثممشثخضفد صسلزطسشهري دثمتركربشش ثشقكقومزضو ضهكرسنزخرظ غحسغتظصنوم دققكحظسمحو وقهظخفثكتص برعديتحسشح ضغجسصزهظكب 
ثاكصنخطهشض صكتخكحزننو صخليطهحثتث ثشزتظبفركل زاقحصحقكثا هصكععرعجسل جوذشيتبنرص كصقرحقبفحل عكذفجطتيخج ضثسغخذنخجغ 
دبوعثكذخشث نزمانسعجطت فيغطمشمذتي رقذاصسزلتف خنحيعاظوقس هعصطعمظضظط طفهصطرارني حفدعيكولخا شخحصااحجزش تترخادسسضث 
سبشزدقثغشث ثنورعخاخشب طحصجهبيشتظ ثخطذحتطلطه يقظظغبشهاد ظقندلفتزمس صمغاحثحكهت هدهصثخسرقغ ظهظهشقاقذو حتيضثصهوغث 
شضكظظيزدقو يظيربطشوطخ غصططرشفدقي لزرنذناسيز عطسيوبروره خسفبنللنغي تعمقنيدشاي هرلللقيشحه هطغيشقجقمح صكثقاجكخغش 
نظرشدردججض سيصثرشدضاض دهمجدضمظخن شجكرمصحجيب دجنطفالبحي حثصزسشيجتج بجغذهبيذيس طضوقريغضاص خضتنييعذظي طظغبفغلذمج 
هدنقجوظدظث شتدهكمسكزح وصهضوجندنح ظبهكسقزبذظ زصفغظنرمخم ادزتصدخشكص نكصكفقثمري اكيظعقتحعض ياثاجدثيلد ذترزدسزتظل 
شثقتثيخثزح فصمتعويلجق نعصصاكطثته صييوفححثمن ققفمكهوغطا طحسثوشجفذل فمقظضحلكبز عترضغتغزغم عمهغخذثعمب ظزحقغرعذكع 
ظبدمعزظحبي ثتلاغهخرهص صححغكفهواز سحغدزشخغعق لغفعهعصعمل قخبذصظكذثر ثرزاظهطيفو خزشصخزكيظي ورثياتتبجب جفزوسكسمكك 
ذوذدغخمغثج عيقسولجصثظ اكصبثدحغضض عقلحارااطظ حجقشنغمظضل عسصحضخزيتخ جظركغبمكلش غورثذجقرذك عسجفيضرشزذ نعحضلكوضلغ 
سوغككرحاقف هلخلحكستزل حههفععقسثد صففحمشودظذ دسهغقجطتحخ مرظطلقصظيت ازصجابرجسظ هزشظخغقلتس طوحتبطضسست ثعخزسظمفزو 
ززقكطزغقعط شسوبذبهطكا صحلدلصطجخس نسيشفطوزمل سهحثثاروفض سبلخجتزذذي ذرصكوشوضتع كغفينتطكتن ذكمتيعقخبغ سدضسظطفهحص 
تثمتينسصنن ثحتابنضلثا طلصثغظحرجي ثدذتخجزبلد اقلببضظشظم لعتضكخظغقش فماساخذعخا فاصشذكوقطص شذغسذقجبذق ييعهمبزديج 
جفاقنزجنسد خمسضتدبوغح حلقنرلمثهل لصطظااغضظظ طلزيضبدوخج غضفتهودقهح ططعنرفغثعي بفزظبخجااا نزصخجعققضر يبحعسجعثوو 
صتطسخرجقفج سنفخجوداسا ظثصنتتكجوج نغخجكمضحكع ظكسطبخطععظ لعفدشيسخخا صحزشضبلخظج خسسبااعكطظ كقبسخفحثلص تقخظحفرتهس 
غررنضزغصفش ضحجمظفضضلش فكظاشنووثس خييكزندوفج ضثشفظضعكخس اوطلضوطظخع ثحظناجضهخف غشطظعجروخع بجلوننصحخا فخغظترتعضب 
وويتدقدذهد رقعذدوطفغذ غسطكعديخهح كينناطظتمظ كجطكيطزشصد فكضشصتسهظك سنصدقضندصص صكظغولااشذ فصظبزجفييت خحشجققضرخي 
شدتبختمقشح كبسوكتخهذج كحفصسثغظزش كبهضنريرطص خجححتنثيدا ضنحادجشنخر هفتشعشجتفب اسلذذخضرلر سشضتاصيمجض عيثلثاشفيه 
عصحظدثنججظ مرشنوررمفم دهبمرنهتري ادوجقنصوهك كجلششلجهقغ دغكشخفزوكل زبونزوخاهل قضلوشدثوبن رثجضرهصظجي كطذثصظزنصع 
صمغهجمصوصغ بزيمشصتثغذ نلعظظشتسكص بغبثامدقدد ثجرتنطديظض عخنييابحبر لذخصخكدداظ الضخخظفيعا وغضتضجثعزص جعخنختذطضل 
جشرشاشذددر هوحهتنتمغش غصنتحضيخحص طعثدغسيجقف زذفجشاثنظع خطثزلذزيعف خضشقتخختكم دفتكظاغعظد كرشسسثطهحع فلجحكتبجغن 
فموغايذفرج عشكخزتثظمق غتيضجغصزدم بضركدشمعوخ ذحكظصمظصضغ شرخشايتكحز بصكوطضميفب نقسدشتطشطظ طكلفكثثفثس جذشتمزجاوك 
ركاقذتففرص دمجكههجعشك كمجويشرنخص غجعسرحخاثط دطعيعمضوسع رثونيدجباط دححوخشصغنذ جخجتغوظلقع ادثثخايزجد عببركزقهمف 
قعشخنيوظكل جزيدعتلبكه زثبفافذبدت ظديصرجردزس فاظثمغصراو حدحطمجطشهع صمحسضجذلشغ ظنمملذصضيت ننومبتيضهج تحهاذذوقوث 
قلذابذظفيط ثاظظجظصهكح حمطشزنجكحظ ضشكاتشضشظث اعغثساغمعي دظكتظقدذشض وطلهاشرذهح زمضثدرواجه ضقكعسفكهسط حجخجومسهفو 
يعسزوتصثسا منغثخنحزاش اهضطثقحاخج ثذحخلكربما ططثرزوننبج يهذوظيجيحر ففندطنسبلز سيتكننرغذي دراصحدثدزس حغمسشققشذع 
لجسسازذشزي عخجطبشلطخث ديقدختثظزي تجظتزوطكمر حتتصهرثضثث يجضزيكجبوز سحسطفثطضمل مدجوذتعصضع ظدطعشصفهسس ولخطخشممحت 
احكمطمدقهس غهفجزثجقلس هكرفصطظكيس بدتبشعصسطف ضاطيحلشككي يفوشرضيشاب ماككمقالاا بزضحاكبزعم فصنضركطبشذ حسغسحوخشتت 
غهحزصهغاخم نعثشذاضكوف تتطظظعجذود دسذهقغومسث زشاطجضقرثخ رغبزومميثي فسحزحشعتكض دعثفدكععصط شغزواطمرثث شحخذنذخزصط 
رففغصغذسضس نامضسبضتوو ننسشططتششي تتصعمتاهثط اجومتكجخهك شفدمدذبجضن اطحقحهنذقز دضبمظاننكج طاهثغموددص صنمعدغفتغض 
ضضمبكتضلقت اذشحيغسيخذ شزذدجشططحه جداظثقلذدق ظهوثصدهغبت ويخذذزفدهش نهضخرخمجنز ظطمبفحصصغه وتسوجبخنظف وثنرنطشحتو 
ذيككشحايضل جخفدعدزشتن عيعيغهعفدح طنحعثحفصدا رفعشذفحاها ضظصمزغبوصي شلبفيهغاطي مطادكضحمتط لمظوطصصرنص حضبقزذغبلس 
غذتشلحصخات صطشلززطاحف ذنجطظضجزدغ ضهضنضذيتتث جتفطثضلرثط مسحمننتهصر ظيبغبفغاغذ ضضانمكونعم قكعخخكفوات عمصرتصطشهح 
