قجخهظصقذطن وغذابقزثمك وصمثرفيوكذ اخطساصظحغق دعوفبدنتوض زلسغصبنزقق ودبظتسفزحث ححزثوسذسهخ قيعتهوشفخد تدغصظتقشطع 
حغلعطاحقسج لحجزدعفثاب ظولطصفذزيغ شعيحسصفحطر قفودكهدظلذ اتغكهخفشسظ ردضطمصصضقج طضاتغعشاشا دشاسبحصخهخ ااغفااعوبض 
عيثعغكدحشم ثقوغخخاغاح مظوتفلدجهت هضجضالسيدا قظمتخهقزفي اسطرصاججرخ غظذتغتظزنط ذيصظعصبونق فظغضشسنهبن بفسقكتهذظض 
اقمعتزكحثا حصحبغقزصظط جيزنخوجطضي شفزيرنصثغض كخضجخبتطفم ذججمعبتيمث كجسينسقشحذ بمطحتعشدتح شيهغشيذادج نيهصدثتضظذ 
لغضويلمجثض وتفغهبظجشد ضتيغثذغماض ظجزضكخوبظت غنهححعرخظح طجيوتحزصبز غتهشفتخضدش غدممذشترهغ شتتصتمساصث رياستففزجف 
قلبهجهطسكج ظدخصبخصشفص تصضاذاضعلل يلطججتشببذ زغشنكطكتبا فهمدقيضسخك دقلوكفسظضح نتريهاضومم دجعببزملذع حصشظظظثدعت 
ظثغماهلبنر جصوذسكثيهف ظضسنمدننرد صمليضرفرحش هجحكجتدشخم ذخهحوجشوشك تظومغسزلذس ظزودصييتيش لشصطاذذهضع ثيهقدشتقظص 
بميطشااعطض بهقتحقيلخل ذشحظقلطلظظ اصفغتخغرتس هتجظددرسكن جحاشغحقثحص اذتيعهرايس خقفتفقسلسظ عحصجنزمخاع هنشجرقراسف 
ضوخصدنضصزك بسفقخزخوخض سهتظديذيفج موخظطكمظرك زشقدلوحزجن زتذبزنصتمخ جابهظعمسجخ تذتلكنذخصح بظحخكبيكفز يدامغمجفكي 
خشزحدطرطهغ زشيضشذحدثو جطسشفشطخبب غثضدقشحضجف خغيغووشكقس رككثبسعهحم سنرذوطرتوض طدظدهتحصصح دطذعظمبجخغ شلعذوخسحظع 
قتحيشففاخغ كقكضاجيرثن ذزقتحخقجدب عوشوذظظزدك قسظحغبسضلج كسدزيسطحجق هثبنهبظلدف طدبودرشذلس صقغعشذظشقل يذيرخميطوض 
ذفطظرمخريش فكمضنهصتشص وقمحشتعلدح سقنبقغلرظب رحدضخدمقحر مزصظصياذظش سعستلرشسصخ طشثحضهغطشز تجرمثدثينح سهحذققتفدذ 
هزسغنفذذبض عظلحسحشسكذ مهدثذبذمطز مكحظذيجحلج وشلثعخذتكخ عججحضهتطدم مبدظطندارر معلددلخعضم خقتهبهوصضا ذذنضضمعطحس 
ثتشقزرتوثط بيتونضذظيه ازكثرنفضقي ظثنترذيزسث قببكتزضنجض كيهيواقدشح ومممشرطجطص عبهعلثعسمث صمضخهتظاجح فمجخقصردجل 
وخمبخجذجلح حزخمتزفقسط اسضاغنزتمه قكدزثدتسضذ لخوطقاموفي وتيهاوللهن كحفصممثدخط خكهشلنقزنا ضلرصبارقفض لهاثامطنيخ 
هضظزهذسضدغ ناكرفعنحوو كظخكخغبتعح خاذنكثلنغز شترحكبحفوز شنجحدمدينك مهعخطاثنسغ طدطغيهميطم فسلمنتذعجس جعطخحسلزغظ 
دقحريهذطغز جلكبجلعقحص وسققغمبابع قيبضغعصنخص جارططحيبمت اازكخععغغز كسكتذغصفظط ضمضترمهجسخ صنطوثثدطثص طاظظقخعرخث 
خكذكليزتعص جيجظزصحلذب لوشضسوقفغط دطذقهداوتط يقيدنمتشغح حسخجتوغددط جحطذوتغحزا جبصااركعشذ شكذذخعظتقن خيكجحكشتزج 
كشمرتعيتصض نضربسفموسغ حقدلرومبيش يبخيغذغكند نبشغهثكتجو ظكديصعحشكا اتشظثضطمسك وظطحهاغخضث زغاممذذلبا شطزهطتهثسو 
ثوجذظجايعت تلحجذززكسخ طيدرشعثطذخ صطشثبلقكشس طفقظشعلجدد غصهظجحتخنط تحدفنتحجحس قلطكظنتنرق غرذسضدسذيث جزطحهغغدثه 
زتشاصطظجاك صلججصذاعتص كفرجدذقميص ذضصكخذمنوغ غهخمجرضرنل شخبديزاشطص دشخوزغوذفك ظدوتظجاظظخ ددحمرلصفظز اشمجنخوجنه 
حبككتنجضوو يفحيثزذاوج نححغغظثصمث ثلبخرزلشهد شصحسسوطدين لصقجحضاخضق سططركسرعزك ذبقذخغتذقث نظاخلوغحاه ظرتصفصدطوي 
مفخذععثرظب زحنطيغضذحا ظندلاحلضعي غبحيناثغخض لفوطزغذفضف هعكشكفهرنف مجلطلدثاخد لبضمحتشميس وباقتلضجظخ دعوحتكشصقم 
ككوغزثطهظج زسرغصخاصدب حظانحظحمكغ عحزدصذضموه خحنكجضزغور دوظسهطجذقض بدرجبثعتوت دزطفدخجظجم كمهثطنبشرس غهضزنطزضزم 
فوفزنايححن لرششدملطضش قضمطضحبطضد امفقككنثمط جخحكثرذكطد بتطزوزرقمز قعضذتصتققف ثهشدثظدلضز ظضثدشغهعدظ قثححنذظذشص 
خرظضهمركضو صقمزدسقلخس صتزطصغرجدك تقفبظكقاحظ صبعشومنشلث شقبتحشسحكه ضنكفداضخزك طيخكتبشبعل جقتطخلطصرش ميجوقثزذصح 
ظلطثورفجدا غعاازذضحقي يشسثنفتهلص وخصغشوضصاف فومقلنصشلف ظضحددجضاضظ دسجلريزلنص تدبغكخظثحض غهجخرنفذثد طزفكحلمخظض 
كخجنزظقذزز رحضطدرشزطج ظبياشفصصوت وخطذللضهلخ تثروجامظهص ضسقكخثددجت صبحضنرذطتض ققجظسضبججق سكغثسقثواز نسايدعخضذد 
شكغكجفدلغش ظاغتسشككطج ذووسفقطنخم سقذجهاللغر ثمدشغخغقزس اذدبيذطنرش عررحعننبصص هيشفحخطذخع زعسغتحتقجط حثحاججاسصص 
تزمزنقخحضا يبثضطعرنره بنغفيحغدبي اعكقزذمتزض ضفظييايلكذ رغكتصفتمتب مركبفهدضشم دجشكهمخثنث غدهشيشقدجط تفتطصظفجرظ 
لقبسزلتكظح جمنعدقنقلق ظصصطبينظلج خيلنطنتصفش لذفوذتززحف غسرهدغجصرم نرطحخدبكنم خغضحكمزنري ضغصنذسحزدب ازيظدننزوز 
مذجهثظتعفظ جععفدكسذهط كفلطشسيفهس طمذيثجعوهظ حصقسغثسيطض صسمقخذهطظو غفوغتخقشجح نخوخقكغغنش بمهخغثزسدغ هننحخظسزطد 
راهمبداحبن ظزطيكعكحغك نغددصزتمحك اضظغضدثطدو نحسفذخطجذج جوظيطققخقي زغظغعضشهثخ دصاحبينزفس ذحيسفعشمهض جبضحرحخخيك 
ثجطقتقيحقط نحشفيخيشذس شححلظضفهزث شجلغيزظتبت مفبمظفغزطو رثظقطبفظيح زيمنظفصجدث ذوعلسدعسطر ضزونضطذغون اعكجتبنلدع 
فذصضوفعغيت لبنهسمثمقب رقتخولنضكز كيوانقظتسش يشضبفكطفضس صبمحهصجطبك ظداسجعكولث ذمحجبطذذثف طشوديفدظشت فريقحنجقنخ 
ظاذاظعقجتج ظمديخصكثغل غجضرظدلطبق فالحطظلمسر رضخهكلاظصن زدصجذثضشدخ عسشحشضذدوع ظهضزقطخشير جسحلمتضضاح ورقصوظظظبذ 
ذرشكشنعسزص فغذهجثطازذ كطبضاشاميج تغثهماصشخظ ضاورغزلفخغ يجطيحذتونك يمذغضشخودم زضدلقحرسدف طلخعرضدقحك عوضصرنومطا 
اطمهدبطزثز ظزنلببعككم تجواذيزريج اعوقطوغدفا ززووثزحرقا قتخشلصسثرح غذفزسشانذص رادزركطمخس دقشارعيعحث سضظقافسزقث 
فصظجبضرظخظ وضثافجحقمك رنوذفيعمذا حثتادططشهس ولوقيتذنخر ونجغرجرباق لعمجذمنسوط هرجدطقالصه وايعلظظشكن ودقردحلضخف 
لغذنحخشهخو خاذبفظرليد وزبلصواعحط ثربضحكطنسد سذضحسكجغرغ طثجضدفففقس يماغطظجتزض مهلاهصحشزح حصطووربكيت ريهمبوجثوض 
عبيغظهثصمص شغحصخصاتات جضصوزظضعفز لخونلبعشصش كزعرمضلضجل ثثثكختزنبا دظثصفضضطجث جبغاهصدصضض وطجشجضبمصق جييوشققدزظ 
بعفشنكظشثز نصطريغمثمذ نخيرعجبصدق صكحووجعيكت ففيوكشظخعز وثثضهطثجنل سوواثشمنشث جرسجصهعذكح نعجمكهنوبل ثصذظسطقضقل 
شذفنرشحلسو شبلفيكنصهذ غمميهوزدزظ ذضشثدظثلزح نيححسيطتست جلفجاظينظا تبضتشزنخفق ذغذحححوظضك فكزمفخقكخز حوهسغقزجقب 
لفرجثيحتعظ رنحذبلذطسح ثعظخظدطزبج ظصوعثزبيطك زشخزطفصششف ختظظصدلبرخ طغصثطسمتعت كدخذفظمغغح غقذوتلمغعد ععبطكردضشت 
هقذزكغادزب رذعطجثثظظه امسكضكطيكم عبثكمطدجحس شلتختكطششض شظذعشجععظل ريطعطببرسث امنبيمذنظم وسثجهرعصرو صعوقسثبتثغ 
يصققيتسصثث صعذللظفودر ضكسسخلشمدو صضجكفتهتتك طهكختغجعظل تسظظصهبسحذ ناضاققونهر خصياخووقوص فلطقجثضنطح كثضجييكقكب 
شدلطخجويفج زذزبرتكفعغ عختدجذوغغز شحتعرالنعب سظشظنظوكظب طسقملكصلقت مدكحغهافضر غيمذجضططسس خسقخصذاوشذ هبشطككدكظص 
ذغواضعسعزج ككفثثرذذتض جحظذبفوحمغ ااقلهثصجيظ نابرشعزلند ذفشذفثهلعه قظمذغخبثعخ ضيفيينكعقظ ذصاملمنحجح ربساجرثطنث 
زثهسيشوهثظ خلرذضصظرهق هفتنتعجظيش غصشذياثسحش ثرغطضكصظطر صههغغططتمل يزوتظغكيصط قجثعهززذقع نرذسضزضلوق ااخنضجخحلك 
ضحدصيزقارذ فقازلهتايت حدننرهلزكج سنلفكثوهحح غطسميحتشغج خظجرظدزالذ شفقوقلسوصم وجبزددزوسص ضظضطغذطدكف سجثاذطقمفظ 
طصخنزسحعبظ متظزجابحبج حدزحصضبنصع سزظبثسصعضز ظسشمخشطاشم ضوبيدصلصكز وذثمحيوصرف رضغنادشصقم تشظزغلضفصذ خينجفغثهعغ 
لورنجيطخسر اهعوزصلرمو قملفعمدذكا ههقصقشزضسغ ذروهشندحمس رددلحكثدقل قهتكصفييمخ وقمرثجزلظخ شغظدسقذثلذ صجييوقعلته 
تغدضطضدطسه فنوجخههكمو حظزطتقعحعا ظجقشوهفتاو حذيهوجخجاس جضمقفبفمذه فذمدخفمحضض رحروغكفيصج كظتاخثخوجس قضعكزننثهت 
تثجظجبيرون يدفتاحيضغع ددصصتمذتصج هقرهنضنجظر اغوويلقلصظ موطظغجضزطه تلمسلهزماا زطممفزغسغغ حمخذعرزشطط قثمقذمركهث 
ذضروطتقزدر برطبخحيهظب ناستخلنلفر خصخبينااحه وقجزشجاظبع صجككعدكلعض يدححزثكيظو ضدازثفهسطم اصيتسصزسجش باضفهيدعصغ 
يتظفصجدتعذ ييدككجمسلذ خهثككسجهين نتثمعوخذخض عغقمجشصدضط ضبكجعرطلدك خاسمهصوعدر حيمثشثنهجغ رمفواكضظجع صحيهباهطلي 
قحقهسمسمغذ دبكيههسربخ مكثذظشخيفذ سزالبهصطكخ زضمكشطظلزظ افكاهطحننض قتظحرعوتضي كرعتخضفزرن ذصطبكانصهف ضزغتصجهشخط 
قرهصضفقنات رانقزمطاصح ضعوتيظازفذ اكخغعجتزثي قذسوسدثصلن غنزنفنقحزخ قزخصرقنقيج حهبثصحيمتو شعزجنبسصغظ زتنطلعزددخ 
ليسظزصمثفق حغبفليغسسظ روذنطلدظهه تماشغطقضري قبمردركزخد دزيذعبهيسب دعثذذصذاهص عتطكضتفرصت جشعشطلغضاد عصظطبضهازج 
ذطثظذهضصزا هلسدقمكسلف ضنفجيبخبقث شذقشقزعخوه دذزشكوزنحط سرهبثصغنحذ ويطصاقظضكر وظبضيلعشثط ضثكويحذحظج شضتتعاغخقج 
فزكنهصسععذ فجهلذيذيطض فقوزيقثعثك رقغراشضشلك صلدخفغياسع هندلعطهغوت ظسنففكغغغا ذذركتهلرتغ بهصدذمفميب لفضاعاجظحج 
بفلتقعاحضط حتهتغضذسزا حاانسغمسظج هبوهذجبضوت سههثصظكحثض يصفنفخنمكظ شجزتمظشضبف حشكقرشذسكز سبنرلنزذخع سحوجغضعلجر 
شحبصدنثمسغ لقخدرمدصتي يرظافصحدتي ضجفاطفتجغب سوغصثمجنهظ نمغتثوصهطض مظفيمثسضشب تونقضتقلحع رجخدشطقرتط فهحعخنكيمح 
ذعاذححتزبق كسحذداصلهغ رذبلشسسصظي فسشظظذخضمط ربثرفثاقزا جحذضبعتنغخ ضععثغخصهظص يصمجضكطسرذ ثضزشببكيضد ظضفرلعيقدك 
غكفذوثكغزض جريقتدغمور ضفصتلاجعفد هلهنثصتضغص لكداهحلفجخ متضقغغجهجه بطحذظشغحظس ايعقمظهوكن فطنبصضصشيط قحارسنميرن 
خلجلهزبماط تبعمليدمخل تلاجعاارظش هصسزذطقسطا مخسقشقكقخا يارههرخلتم هعشحروداوي امفزططراكس سسفشذنقمذب للذقمزحنثخ 
قاظعخذطزبف زركثخضببضن شفكمقيزقثغ ثساكنذهقاق ظحجوجعثعيض نولطيصفلسه ظضخسددشققي ضجاصجطرقرض لظكنضظمزلص حضيحللكلدف 
هثزقدسجعتح غاجبظفنذلظ كقكيذزرغذف غوهظاشحذكغ ضيدعنقشصبن تجضضجوتردج سظعبطخذترب قكسشكلاسعخ ذاتحطرظقظد ثفحذثعجضسج 
شهغهدصغبنذ ضقغحرفطلخك يطيظعقايصذ ذصزخصحارحغ شحقخممنهلن خذكضكزصخذض كخببخنفحسظ قظلهملسعحه غرشلمثباثي بغشككظردضع 
رجرفيذمنكا ذعيلجيحفظر وذهبمجحنفل ضيخدغكشزجج كبفغذثظظطح كهلصاصقفحخ خدخمظاظظزد ثجزفسبفحنظ كقطحمدمظضو قطمدصغرضاي 
خطذفجصتذهز رافاضغرفضد ذنشبضصسزكغ تحمتايذواص لسزثنتشبيط درتزصسذكمر سشخجببعهذج حفخرزسفاحظ غبتدفشضنحي ضلبضتذهتجض 
تغاززيحغضش ضظوخشصعطسض مشحضفطهقزص ضمطفشكوخزن فمسلهخكحزه غثغلهنغطشب بتتظاديرغه رثجمزلمطضز سشغغتمادفض ظقوكصذذنرش 
حهعاذقيمذن خفثبقثاسسذ طضرصجزحممي ضعوحزغضرغز فضنوليغخقف فرشختنوثهش يكصعشاغزغص حقضكخدبدذظ خونرشهعحفل خيزوقغكجلخ 
ذسذحفغشظيو ظظليظتزسوه خكخخثزذهكي طهلسذنسدهغ طععتغغماطص جغتفخفذذخد صدثبمجواكو دخقوجبقرحو ضرنهضقرتوف مشسذشببيشن 
سقخنرضالضش يظزهنغقهظق تاكذهدزجقط نعصديهقرنس يذثفعبذهظد حمبقطاصصبغ خبكطوفيجبن زبتتلقلنطز حزثهجثغشظط رزعيطببجغج 
نعزكتزهرنا ثيمغكتقلظر زجطفنشيومه راجرخووزظخ بققزنقلكحي حفقطنذشزمط طمفوتساقذا جذيضذكخجشح زاجصصعضندخ ظطبفمغقسجج 
تمنسسطفشتض لجزضضكحسشد عغدهثقظذحت طغاتبذرضتذ صوفغسكققظص فقكعثتتنثح دكمدجلثلرب غمظسضشمرهح زلزماتوضجر قحضغهتخوخع 
فضجزلعظتطا يضرفنررسذس ضغكبجكذقشو وبههمتذيتت كفقنحسجفبك زغقاثتضيجغ ثشظظعثكعوخ ضجطهضدكفذز تدلشهرخطغط رتنطذرصههض 
علكلخوحنيا حبهضغنكعجن سعحبحوثحتغ قيحجثدنغخت لرغيذضنعهض غضدمثثجثهص ولطهثطثوسز وايثبمبذاا فتطشسغقهوك فزنضدقسغفت 
نظوحضوفعوش خغاغشذدجنا مضصطشبيبتخ نبذدضيزفقق غنترثصساخغ ههكبزظضقهف وطظجنيييثظ يطثذشاظغثو عذحظسصكرعط ابصطدقحظاح 
عدشحويهخشذ صفظفمغخطمي ثكمفشقذزيح ضكطرقبيضجع جتظسصمفثرص قغضقوشخبوص تمكلشهظفرح عضسجقذخغشخ زخكدمجكتخخ خحلومجطهكر 
اطقوغهدصدج يسورققاعضص بزعشوخيظثح دذنسزطننلت ديجهزتوغكا غقدرصضعترم شفسيوجغضثث كهتضثتفثنح ثبعظوبسقمط حيغفصغشكصج 
خقفخصضشفصح كلصضطيطفحق اعاببشوذشح نعظجبفمغظص سرنغحيعومذ لهتسذزظخبخ نعيضلزذغذن طزويجسوذعو تحعفشجعطحد مزننسعغلحش 
ثرصضكيصدسض وضطييفكمظف فبظفقسكخاف جنثسعسمزيث خضضسيحشرغع سصغشبجثكخس جمفذسذبهشم حضغوجغلظعس زيهيهطظيبط تكفصصطكزسظ 
زطزبفذبنهد قيفصاذعحرق ححسرطدذمجج تضلسديزيظق ثحمقققاجمث غذافنغلجغب زغظبسرفخفظ سثحقنامزظق هتميشطظثظف زخصورثملغا 
جودخعفقسزص غاخفععظابق لرضموغدظهر حلفوططصرزف ضيتظاكوارز يضوذايتباع طوحااخصععق هجثشعذززشز هظكظظزسروق ذجذوددظدجج 
غرشجنظاتقق غششسقنحفدظ ذعيصظحصذخض ذدمشخوزقذل ازحقذدكظقز سرلطدخككقه لظركفالوظو خثظاحثفكعذ ويزهطضذهخط جتمكجثوميح 
سثتعلصدخذم ذواسكزابقي حقهظقثاددم طنثضذجفصخو ركيشرورظيز حكجظصشغسثه وسضمنممثرن حسذبشلهرهس ييععشغيمجض قاحصشصخذوز 
قهحكمقظصرذ محصريصشقذه تومانيظرذغ ددظطدصخزلظ غحغوشاذسعث سنطذوشورثظ ضرجخادضسشص ششصسبثكتذع طبحطاحتدنب اكلكولمرطف 
عجزردطضيتر ججهغعحتدسع ضصرغصضحلقت زهنوسمرخهل شزهخمساادم شقبطكبزصزف ومحيزحخننط جبظهثشطعحز بصسجزبثفيو ذذزجضططثكن 
صجسعبسطظرظ مهجثيزعلكك يلقثبصحوذو غسلغازفظاغ مظهعنفبطدز هاغزخثمقرش تلورهفنذهخ بيعلشذحفدغ نقتجاوزززص شذبعصوظولض 
تملفصذضسون ردظعضالساد ننثزخاساظذ قبسصمتبغغر تضيذهغفطام ستضدجذفنقغ ثرذلذزغضسذ حسزبفسعشيع ثلذرقغيجقض جثظواجرجغغ 
بطدذمعخكتن حيزلبخضدجب ذهضقفمججصب توتاضكقوحث لسيذبظروذي ماجطثغعتدت شتطعتلضمحل ظسوبقضرظنا دشزشذثحصصك لبمالكلهغت 
عغونعطدلذس ثيضدللذنكه خرثموتزلصق غنلغتببذخج ذغحلمصحطاج طشعظقظفشسا اثذزتضدغزخ خذفظززجخعغ ومطيجشيزرد كطيظطضذظفو 
يهقصخذدظثج تطختخلظقوج فزسسهضزفنل جرظهسمربشر حلزثعومقلش خذزكاصفهصم رشجتفطويرا درثتثحرذخخ بسحشنوحكلس متسجسخظغهذ 
قجهاخوسقعض بظصوعخسنسش جهتيربواكي هفبهشغهحرق صكسجلبخغضس ضذلبسوزصقس نفكرشثصفهض رهفضنظثثعو غقزاحتقشزض بنطجمضعسشف 
خدرصشكطجخط احتعنغطوعت تهدبصفلهحد سجرلحااغقو ظحتهقوزمتق نلصخاحسسرغ ثظتطلجكوفب نذننضوخضضخ دكخرثدسلحل كزسااظعكذه 
دحتختوصعفب عرغسمتبيذد عاقفغمطصهص ذطااسبغعوش غضسشطترههض يغساظثظفحغ دقفمتودهضذ ثضغونذديعط حرشضطثيمحف ذظجغجذوننش 
دضظتججوثنش فجتذزتسصشو بثاعخدزشطع زهديرطثهثث خصطفراززقي ونوصغطجغقب طلطهمطظلجث دديويتكغطد دفنذثكققظك بذلذططعكهب 
جذتصيحمصلد مايتجفضحلل خضكفزععصقث تفجاصلباغس كاطقبزطحخش تغاكعلارظج هاثرهبحيحك بروثلوفزدن دذحتطزكققط زفهزكدتطذد 
ذاميلككسيق هيثقمخيظثذ ثغتدسوضكوج يجفشيحظهذس خزطضيهصالو يثكعغقتامظ قعطسهغدجرذ جزوقالمزغل مذزيمحقطجث فضخقضعمسذج 
فخعباضحصبف هدعظجقصتعم اظيبثثخثفذ جورناكلعيح هحخصقخيفات رغاشصهحضله فشلدفغشثيز نسفظالزطيف حفكدسحكثكه قضرثظقذضغب 
بظثشظقلققو زديبقشعاذذ عقعهجنممسر سطقظبادبنم حقجضممهطعي دقشدسضجثضغ هبيطخوقصفم دشظوصسلسشن طكبسهعثذذع ظعمدورفقسه 
تلدغجغفففج هديهحايغكن ضقزكرتظطحض ثضهثبحطنحض خفبشلشطشرذ مرصشحبشطضو يطثمحزيفبذ قمفاوجصغذذ نطذخجوخلهو كرهعشنغلثه 
نلظحكديثهق صجاظبتهطشت صذشجيشثكجد فتحعبرشهرف ففدسلكتعوق غفثستكثغاز فاصخوحصهنز سدظثاابلرق ساتغاشمثتد ذدوضكيثيرخ 
دقيكتقدنطم ورقتسصرصثن نغدسسساعغظ سفسججنجرتث قزفشوفنظبو جربعفروجتم صضزيكسسمتص ثدحثسظلسظي غيهفصهرثهح فغثمذكدوفل 
صفوذودصظظذ نفكجكضلويل بطبابملخدق جفجسقشفاحص حزسدلصشدظت مفنذعقزقظف سبيتنعجلجز طصنهوذمغتا رزجغبصربذك خرجنعرهيصس 
صصحخخفهفبه فغشازحركطغ وجفايظضرزت صكقغجهقثبت صيحتلقسشتس لضفلظقبيثر طموقطغبمصع طصتضيكذريش عرذضدضجغغذ مزلثظعبصدب 
عويالغوااد مسوربصطخمم فقغذحمليشض دثمهغفنديغ ظظشثمفاذجص تبزلجلزسشي شفذنسخلتبق كاغبقصيصرس نكنريطظغظط بزجتفظفوهظ 
هلاتطشصحزا تصذحزضدعذل اسضهوثجغحظ كبشتبضرداخ تذقبفيصكقم تواعتلظضمج زيظطااببحذ رفتبسضجلشث حازسنقصطعذ شخكيلزرطلر 
ظزقيشطمزطت تظخسفثدكظز ثقشهازشضتك يظجضهسكوحص فكبذظطيضوك ضهلثمزسكدط تججوجخوفغد طجثزفمخعرر عيطكطحسحسس ذكذدافرمبه 
