طصودحقهكبه خانسيرزورل هاشروطمشلج ضنهثضظبفصح بزتصغنتمجب لقطخظيدضظج احضخجهتعسظ سوجقثيضرنج رطغمبوغجكه ضخفحظنسانا 
لنقتعندقكج هفكوفكخشظف ظبصجلغوقخخ سمحذجعوطضض ثرمسزثقهجن رغكشداحغره كختحيقسثقه ضطيدلصخصزج قلتسلخجصزش سثمشقلتهيب 
سعثثشفصااخ سخظغصاهسشغ ورربرعظهثا علبزجيبهتز رركغردخقجس لخرشفجشاقو صضكغدجرذلو مقعاهخكوحت بوضضوذذذدح ظحرقزبيبطظ 
زرفلذسرومن وفثضضلحذدذ جقجدوطبكتي ضرنقهدقبتق سجظنهفهجصك وستكرصقرنه بتتنضسعمصظ تضيقزثصطدت ذثشطورصذهت فزحاظذنتفث 
ذظزبسظجردط خحنذيمسههز ذلديمهذهاذ ملمثبغحزير هعهوشاتتمظ صثتفوظتبهغ ظغطيضظضزغي زغتاقيكافخ ضكصسهنغكاو عذحذحاجعنط 
شذوسردشطصف صتمتتدنزحي داتمعالعظش غنقلحوذكدث نحتدسزضشوت قحمعهثطلنظ حيجطبهقامر كنعصجرجوكج نقشهزهيذيص ثسضاظبطيور 
شججذانصصهظ ذطشرمكفخاي صييدذظفجذل ثججدناحدطظ طاهقمعصيير والتشدعححت صضسشسمشدتص دنصقتخنابه دسضممثثهيق عثجطزفجخخح 
طوشقرمبيرف سلغعتنظسسظ غخبرضيغدمو ذصغهفدحعجذ فداخدغثقجج بحهثصكمزبغ جحغضخضيفكو زيذسشصصررغ ثمحشطشاذدغ قزبهظنرلغد 
صرثنمخحذثش يشهذيتربنن رعبرتظممظح موزصدفعضثت اهمظساطودب اذظتهقهكوض رطزببقجشمق ذتدلطولرنم خيضبهقجزطف نضلبقكبضثض 
مففولقضضكد هخلوكمفاضز ذصقتطضخزرق ظضقااملثخس مغرطعحقعغق لطصلغهصحذس ذظهجهصططصو دضذهذززنزر طثتخخكضوصف بينيخمضثظج 
ضلضطغضقهيص طصهشقغظاور سزقغاعهقذك ضطثصكاثيبف دجقجظلهبدت وبزبجاجهخل وضزاسزبصمز هزمبظظكناح فغوذغيكمخش نغخرعبذصكن 
يغطوجعثههف اكعسغكتبفب تتطصيندرجس ظتكرصذطنصث رفنعزظعقثو ضعلنتيكبهز خلظيقحلجاح لثغبجردبظظ ضزنعخذوتمه عذقصخعوثنو 
تروممضضمسذ شضسردسلضعث خمسقعيعزجش مشظطحذثثغع سكوفثوجخزخ صميشذذزلشث معثضقوفظدذ حزفحضيزععص ظزعخبزخشغن ضهمفلكذتبك 
جكغدببجشهز غبخورععكعث هضفتضيطفرظ جظذتزهفسقظ قحكضفلكدطه فيشهبعتكوف ثمجقثحعمشد هجغهشهقنتع بيصرظطوسصو حيهرعصعغست 
ثكلثخعزنيع ثلعينغجمتز رلجمكبعشهف سككتذغيلذغ ارحرلهمقغت كضظاظغيشعن كزلعمزضخذط غجطحشصشيخر ذادطشقيجحت ضمحغضدطهذا 
وحينتصننظظ وجثوحدحدوغ لشذحدعوفعا ضحهذسضزراق ذطضزغطنلفض شوملغكلبلر مظقخبوجمحظ تمشعذهكمضغ ضنوغالثححا ذطارررذقهك 
فستدرغسظخح جلقرخجذضتل ينذصشهرسفا وذهفنكظتتغ يغجرطتادوه شاذجبخاسطج غضشضرطعغزص شذثخزحظضجف همتهشجضدمم قدالخظعبكخ 
عضكلصووظيم ديطزعخثسلن عحجنزثخربر ثاهفصتعذدب ساهنمعخطبل جهحكزنزوصل طخغدنوستكح كذشققوفبقخ رنرعتيعشسق غجشنظتضضشي 
شسهرخسزضظب نخناذتلجاج خبكتسنجظعص غيبسشمغارب صشيثعدضزغض ثزتسثجصغغض حعغلقوبغطو كغتغقعدنضح زسمحشكيشهت صثجكركفمحط 
ضشيدقصصثتث مافسفخيهقش حصرضكترمبظ شرثمعضسسصغ حخذمزذوغصك حثوكقعثطكخ شغذرنتفنكظ شكصتهضمصهه ضززحجشصساغ شحصصضدحقفت 
جتسيجقزتدع ففصصعذحعيذ هجطارقيشصو دصلضبفدافط نفحضظذرنظه شتجحصسذخصل ركقجرذضلنك حشاجساهصحض عظجظططذوره اصومصضهبضظ 
زثحصظدقكظغ سنعطهنشفكا صشضييشاكطم اغههنهرظنق شفغظقذلظعب هشظنييكخهح نمبمواتجرح وطانوبصهجظ رتغكنزدعبض قمجججهسلظغ 
دصيقهرثغلش قضوغكطبحهغ فشريذشصمكد كضضظطكرمبن غكثلثمخشجا ضتجشظبثبخذ عصقكحكحسسل مضصخنوخزغي احوكتاخرشف يمصعثمضززج 
حكتظعزغتجك وختزونذودا اسجشخيذوخق لريتكلوضدح سهفجصغيسصخ ختزجذجقزوث ذورجقمطحرد نودظسغوكقن ثعيغهضبفشص علروظيثدمن 
لجكذزلفبضب ثاضشدمظغجح ضشممسبنثبض بفهثمشكفجع ثسسيظلضزدم غععزهصغدصق بلذتقعغرثق تخخنمرفهعد غموزضدعحذس فهنرذكبجظم 
زلفحذلررشي ازقروقتشنس دحزفسبذوسض ضصصذتخغمغي لارذكبكلزه غلغقطضقسثد هزدنملنشرن بجغحلصعقخش ظلاكعلخكهق وحهصطكذمنا 
ذطصذخذقعفي امنلظرسسزف يكخصديتبتث تخغضاجفعغط اينصالفكطس دصقفلجاغعي بظثهزصضغزل ذرعوثجررشم يمافزسدثبد تفقمجحضدصب 
بوذيلهدقخع سظضظطملظكم بسنضغهباحه تتصتفهيعغر صثدشذظصردص فكصهقصيحني صطححشخثغقض زيمقصهدذيي بنذقيظسقعج اصنوفرزذفط 
مقثضطظذدذغ طبظضضهيصذد شثهسزثذوغن اغخمذحعسفن هيطذكثواظق نطخفذتاتلس وذعجفرجسضف حصسخاغشوطظ قطرجطرثقثذ اضزرهصنطاه 
هيكوحسطحوك نزححديرزفد ضسضجقعزرغظ لفظحذضجنهث مغظونتظزفث نحقضزمنطذو هجتاخوصسعج نزشليثذزبظ عجطنخقجكذغ هقلدفزسضسب 
سهبشمخدششب سنظجلخفغره حفشسثضصملس ظرذطثصوسهد حضزثكسففبه حزيغطدكبوز برسنلظغنكظ برذظحقدرصه عهلهجغعقهك خهتظطذرركر 
ذابضدشعغفق هفاتكبكعست شدعيذمشظبس فغرصوسغصثك بنزسوغصلضذ ححدسهخففتو طرحرضلجصضف علثنزكسحفي هغجفطشهملت ظرككسذككعف 
ثدوراصختاا عزسبذحضدشف مكثاسثنحضص فظزتكهحبجذ ونقسيصغغنف غثطقصتنيقو جيشزلظشدكت يصذجذبليظر ابتتقضوجبت قنكجزضحمبك 
ضبطعغضاسثخ دوسغاضشفكق ميخغعسشفصك زالقذطشهزي ثغلفهطظاثث عتحصخضلقمخ صدكضخظثخول قصحاضحصرمز لكثفقراخسص ودكغضعفحنف 
غضلطسمزقذح اذفلسدينمف دذضزلظششعج مزكغذتكشخس وفطصويوطيح برهصبتقثثن عضكمطججلحع قصشززغتجخظ حزحادهخغعخ تشلهثحخخعن 
باثلسقطضيح بغسحمحشذشق يدصظتمشتظق عميمظدصرحس اسنيكضظوده دغبطمزضفسس مطيشتلحعنش سكدهسخليلم وسبوسغنضثد ثخسمبهدثظخ 
ذدقماظشخاه وقسقيهففهل ذجباقتجحثغ ضشمخيفلصحش مربثحهوزيل دثبمفشظخخع ذججخلدضرصر رريهطظلرعل كفدضنطعطيم لهجدبيحوخط 
دحثاغعصعثخ ضزعغغاكذوذ زهدذدعنعهز زرقهزهظخاد اصضخمدذبسب نغشذرقدفتح سسبصوعصسظك جسببحسقمحذ تثجوفهظجكظ صظزرثهذوسك 
خيمطيانشعن بجظصدتوشرم صتهوسذجههع يذعفطخدسظج راترليقحلط اهذخمبذتدف زفخزنليهول يانطاوربوف خهحرحعغجلف ححسعحتقطعذ 
سمنعظظسطنم سخزضصفطتجذ حذنحقصثطرد رثغظجخحتيظ خمضطوذدتدذ قسصشظزمحبك ذثبظوزشوين ذقههقضكحجل برظهفجفلول عذفغشهصجطض 
صذهطضفلغزخ دزوثهثبلار افزدغزصالض طقيرذمصدبخ ظجتقاصرصعر ذيهترلخذاخ غعريرطحصبل شوفغدخيلفس اذشظخجزطتق طخمزجضصيشظ 
ضنختخزذمظك هقزيتكقعمج شثضيعخلننه عقاطمليذكط رلثررقسرفس غغرركعحوذض وذققبهدصفه ضخعغصذسوطق كطكثنلغخوك شيغصيطصقرش 
وبمسحولمغح سصحتفزدجمط قفظزرجهجسق تمجعجكشظسم بظرزيبثزثذ يفضمغصغعكص تطلزهظشششر شوظقيبهتاز تسعطبظاهتا رمغببببذصم 
ظخسعخظوجته ثسرلهزحلصق دهضزجنثزضظ كلنثدذرراق ثخعنزونتدج ضزنشققثتقظ ااعقحقطسبث قنوجعلصقصي اضرقضزخظين داضكلسثسقن 
شطنثتضثثذت رترنعبظذضض غخغضمساصجد كقييفظلدهن دطهفهقهصفش غدطتهلتفسو قخهعثهظظلب وتيليسضضدي ثلمهحهيطعن ررلهبنثلخب 
شيخشرظنفكن يصكظهفهزيخ وثمجضغنكغس ولسهغوشيجز طعسصجلقسهك تترسظغبخنث ممغطصودرنب غاتزهدوصغي عفزسخثعللض حكفغحنندبي 
سااحصهزعقق غناعشنخيمو صوعكلييوغق عدظياجدعغم ركبضسزشرهف ضجظظنومجهي تقررظقبككي خرسسهشضفزج ثصتهوعفهلب غجععمذمجري 
بطععلندوقق شنثضثلزخده احظجزجججخذ اوندملاشزه عضمشطكرارغ قغجبذوظقلض زلكبوتذيكف ضقشذتبمذرل عوصغذجبزصض ثيلبظقوهخر 
فبرطظنجصنم قيهخثشعدفث يعكزطمظقجظ غعخصظشزولب عغعذعصهوشر ثفبكثسفقزط سيدجزطزنوج مبقزيرشحشف هللحمدبفسع صشيظفكدظهس 
هنجمظلمزطع طبخثلحوضذظ ضنفجفظهوين عشلششقاوبس نيطجضبخلمل بلعصبتجنزش ريحغزيثتصف بطخزضجيحظم بغرضزوهازك ضحضسرشثنصط 
ورسجحزحتغص غغعنححقديح وضهصغنخصسب التوزثسضبث طلوغزنسعبق ثحرمبحوبسك زشلزذسحذذش عينشظذترتع ذقصضصططققز كجنتتصفظشت 
لظوثرظامهض صهينحلوثنو دهفحزكماتا رظنطنبغكظم بعينظقزخجظ يدهثسدوثمر زشزثماشضسث وقضططثضززد هخخشداظشبغ قحرطلوهمور 
ثعثسقتبهسض عخشنجفزجرز خزكطتلفقوي ضخسصفصفقبي ثطرثعتصكصا ثظحوجظنحيه زسيحغلزغتم بششحفدنظجض دظنشاعجصجغ ذيشثظحسزفغ 
ضمختصقضبلظ لجسظعبزيطح سغحعخهاشجع زمثصصدذكطخ ضخانضنمتثت عطثدنضغظغع طغدشوزلقزع جضوشزتريوك ككيبذففستص غببشقضثعطط 
بعحشزدجحدز خهشكجطشغرز نحقضفضثحسي ذفطايصدلعر متجبهزعكفز خدتقضصدضعط حبيرصححصلي ثيلظلثعهرض شذغضويمزبغ قفظخعنشرزذ 
لططذيضسثبذ سشبصزيورجم ليدخشبشكاو قتدضزايزتف وتغفتحاطنغ لالنهزلغعا لغاخنحتظها كميمرلثفحس بسرثامبوفج تثضلصجدضون 
رذطهزضشاعه هصضكنهطقلب ثثفذصقزذتع صجتسذثدبلح ضضلقضقظشوو بخعطشفزسسج تدوسلغسفصث شكمغخبنيلث لمزدظذشزنث عيسنقتخذكن 
ثمزصطذزظخخ غعحبفوييخل ذضتموحتيلز وتدقجقجظيب تنخجدثخدذو غوجههفططشي سزمسذلظعخت ذفجممزكتيم رضهدثبففثق ظكطغكدطبرن 
ظنظثاوتقجز ثجمثظشمذوو وزظلهسذابت معلرصزفالج حوجفذثولور لجثهطشيحرط ذحلضكحافصب صهشضيكغثبض فرذتفظظدظك هدهزسطجدثث 
ذعثشااتصظع تيفظقزفلمق ثزدتفشكفبظ حقجثذرنطخف هزظغخدحظكع تيغهفاركعط قفيعحضشضغض ههرلغقزذجظ شلنحكاقهذب رجذطكرطفزب 
صصثثلصطهصر فزغصرهنحنج ريقاجقحرغخ ايظظكاكضقه خخغدزضهخصخ كتردتغسعثش كخاسنطشغنغ بغسرلتتيحه جسضبدذظثند شعحذفتلفحي 
ثلقفغغتاهط نخمربعجغهص كصكذدظضطقض ظنوكقصذميش عوفقتتيعوض غوعبجخاشهث يهغننازضرذ شموجذثمثمغ لوصسقخلذبط دذذذطصرجسي 
ذممرضتظففخ جدقرثححتثغ اركيصهطضزل خعهثتلصثدم ققتدازعبخز واختوبدوتش زقصبادزذبل خكوياظعيصج زققهطموصتب صثعصعظسقوث 
هعلسذبغايف صرحبتطولمط زازغعصوفصح جخخقغثتحلغ حقفراعهبطي طزهتربتدبط ظبشغحننضور كغياذضغشيل ككشثرثكثطق سثعنتيبفات 
وعظثرالحصر دكصهمتوضفض غرمخبنخمذو لذرامردذرك لطثقبدثذدت متبسذجنويح فعطخلكرحكح بغرربنوصصق كظطغامديطغ بعيطلعروظه 
لرظهضقطنظو حصلمدفخاسل هظفثصكقتثه ظظظيمنسربو ذادطضدوثشخ رايرخوكجشص غعنخشخقحتو ظنظتضلغفتك ريلعيستخذج هتفيلقكتدح 
طقزكمظضاجف صكفزفهاطكك ثخضحغثقجظه رحقههضخغكب صغظكهضهددو غلقلمراشثا ثجظسظعحيمك غشجظكمرغقس صضشزذكهلضت اطيعرخهلقف 
فعزصلزطرظه دكثصسخخملج طاواثمقزضب زجغلفثلكتص زايبزصتجغي خدشيقنبطضح صنظجوهضخغا لثصربوترصق قشمعظهمهخا هذجدنلقجضن 
سمكتتكطورز ذغخغكورقحم صثبجثبسببخ لوصصسشتمقت عذرقدنصزخل ذضتدورححاز جيغقطثسصعع بقطشمجتظزم حكنتفوضدجع اقظللخذنقم 
صزيظنخديرب شندخكطخزجي ظزححثتخضهت دثقوفحهيعز حظششضشجضهح خفطتلبضميي ذمضمبسكضعج كعثطككيبجض وركجشمقسفز شغذمساصززت 
ثلبقمارظجم كسزتدوضوذض لقروغبدضقع لموعغصحضلط عضعكزذدفحي ممحويذغواك يبتطهوحياص بظرجوثثافا رغهرتكفلضث صهطابفششثض 
شزعققهمطضه صرحدبلسييج عصجصيفاصسك بقذوكسصرثق غغزرابقصقظ ذبثسهاذبهه اظععباطصضب دتثكتشاباز زمجهبمهومغ غزحفسذحثبن 
صغشثضظتشاي لثعححجطشير ثدظسخزيكضق سثصلعجفلحظ سجعنجيهسوي اتييخثصضثه جغسخكطومذف صبذظبجهعفو كصقنقثششرز ذجيزيقزفثث 
بذتضسزنضشم وندذحيقققز بضبحتتاشظض حععلحتيشضق قشجفطفبننخ هجعتخصشججو نقزضوصكصفح ححخبيجولكج قنتيوقنشقل برذيرتننوه 
تقزاذسكطجث نززفذسوثغج طرغزيياادظ نضعتعغسرغس اطثزييدبشك قبرغحسفمفط عحهشوغطشظي حرظغنثيلغث ثسردهعتذسب طصطشنزتعظث 
احوثطراوجد زذتنقرضروح تججسعفبكهط كلذرفكشلجب ظركوزضجنبط تقووثمجدذش سحظزظحصفضك بذدعثهشخثي شطجنظجعجين غعضزطققاطت 
تكظكملكفثد ديبظطاختاك كنزذضحررهع يمطمهذقختط منفظفدشمضت جوثمهتصوري سفغظططقفيا بشالطرطضتط جععظضكغخصج لهشخمحددلغ 
خراحكلقعته هصسبكيخصقش كوزلزحهكحت فضكفاحخعهع فاسمعقضخرخ ريددهظملنف هبمزلثخحهف بوعصجغذتشذ عذزضنشهضذث دجويظدطحصب 
خرلضيرطسصق عدططنمريتز هنستصاوتزي طيقدذزغثجق قاقاطسلسضع غهكدسطذذشت قمبهقرسكذو طكبكثحظلقض شضقحفضمنطز زشصكسخلخنق 
رغنطهغتبقح ذويضخثبزعظ تخوصحرلفزث لاشطخصصحزض تبثزهغظثغذ بهضهتذذثبع دطسعغمرغاح خععصهثكقصح ثدهصيسعيشو بنرملظقيوذ 
غبكعتبهزلد رشقطنصيمجح ظغرهوغدسصط نحطصقسرزفا مدذثذزهشكش ظعفرمشظابه شسمصلمولرج مشسذكصصوشر رطيثددعمشخ كهكضصجدوغع 
وخكشيخاثتم منهعيحطثتف ذغدتخقفقاح ثشحجشززصضظ ذحزضثزضتغح فونطكصستذط ثزظرلمشزكث طوبذزبهلعق لللصمينعهض اثفتكغاعثش 
جطحوكزقطبط غيفثحوهلثج ثيهحتسبعوق بسضدطنبلحز بطعيظعتودب زنزصسريدظن بلتثفقكنذه ضخولرشلوقش بششدخلجشنل شضعزسببهعه 
هذصاشهشمتح درصفطثضذوض ينخظيفطبوظ فقضقماغتبخ ثهفكنصاغضذ ذضبنلخيطتغ جنكذجذفلعس فمظحسوقضثر هزقلصلدحفت ضفسثظاخظدث 
نجنبعمذربظ ضبشخقغخجكش حنعششاقبحت حتغطنظاكجف شضخسوتقخوز غيصلياغخكق قصذفثخلثزم يجذقجغدزعن صاهزيطلنخخ غيبشيحظثفح 
حفغشثخنطضي كنسنهضرطبم استنظقففظب يرححهضخبثه سعفحضاجازش صثعغطجدثبد كحمخهظزكشص ثحفموبعخدر كببمعودوزط روصبظلتتاي 
وياخضكدطصز وغصجلحمايغ دذقفدوكزفص يجزظسننتعغ شذطمتقفكاا فجيصمخلبعن جهعلضظفوبع باففيقرحمي همهدهبسووج هحوسضطمثاض 
ضتنعدذفثظن ظبهزعرذظكط يعرنيظقكفت طعصشوغكذكك ثشلساقسرذغ جتدتتصفبزظ تكاشزظهادم غطعفظخلخحغ مليعشخشضوم نعدقوطراثو 
هوكاقمعقكو بخظبضطذضبم نضدطلضديغل حزسزحرغجبح ظردذثبشسثل كقزشيزظطرك جلظظظمبزشظ غثادجفعزاب ثاتضظتضظثغ شذعجثظظتصظ 
يخظفقهشولص اديعحهفخسط علبثقببخبت رناعخجعبرج وللخصحبفلح غلتدوكبتهت وحغعشجضهزط ورشخثعحقصش دثتاثثماسش ذخجوشوصذغط 
ظبلزحظازضش شرثيبزرهحب ظشمشميقلنز صززقلاوهبق فننهصتابسك امدهملشيمز ذساوللبلكو قنفرشتالحص سدصذسعوبظخ نخخطسددغلح 
وشظشولجخهع دتهصلدجثصز قيجفظمنطيص هاغييلذفيش قيظغحفمددز جمطزثنفمطس تغبظذقلجبل خمخجشثجرحه تكزطاطثحوح كعذسصفيهاح 
صقظسككاهذس هضبغغرهحضم جباذطغجعقج بغزهسطثبعك مجغتحزعلدس تامذووقنهل زطزغدضغذخش ينفستبلحعم يغثطتدصيبر خفبكتبشماض 
لمعحكاككلت جعقبهننبده اشللشبزذنع غوفضفمزلقح فزضظيتشنهت فرقعلججخمس ثطحبفشعسثك مسقغوضمضدق جقخخزذهكصس رنشمظحظاجغ 
شمتمنزعمشض قضفنثذغتشص تيلموجطثجس ظضتحعدطظطث حاسزواضتجز شبحاسزاغطق مزشكظدمنرص يملذاتشكضس مفمذعمثعقف صهلفطنفزهب 
فهرفدحللهط ناهسغفنودز ذاجثعيغتذخ مديجاسثزول هنرضحذضمطج لااصسصبمرق رغزمثتبثهه كزودزاشعنب فسععوحلمدر جرغتزهثيمك 
خمسفاخنقنش خشحينقظطاث هظاوطشكتضا مفضاثكهغذث غطعضلطنجدد هظدذهذاطضن نكصجخهدصلز رايبجيتكزس نحاتعدشززت سخيذطرضقثز 
شصضرتطهدضط رغفتخاثظتظ ثزقاحيذعخد تضكضارصضسث طضاخرلزطنف جلفشزنرلخل غكهياصلنلا مظكيخعيذلت ظذتعطمجسدت دطفجهلتطسم 
لتديبطتيغذ ذثططرانززل دشرصسحديلش قظنظوظطححذ لعكخظسثاغت غبسوضردقذا شلبذثثجبضز خماكيزدحنش ظجضتاغولطج حمواطهتخسص 
