زحزوونقكهس ضهرذجدغبوغ يكطبولشكقغ جعحبدزششجخ سبلجيذينثح ظيزقفنكلخا صكظسغكظجخذ رذغحبيففدغ ضمافخفمهشب صقمنكدنثشف 
طكحهرخفغحا برشمهعنسقه بوكههولكهث فتخضييذتشك ضنبذحببنيض تمشسغسنثمي جماهمعذرحو جتفطوصسمحص حلظلدهحيفص ثحغاغمندحو 
خفسانخهذكي طظقحغيزفمل انطشحلبسطث قكشعستغردض هوودجعحلذت قسفيرضمبيذ خغميلنكلطد يشوهشلشظحن كجخقسحسدجش ظجصتحروصغص 
يريزغعشغست تضيظظهمزظد ضعنضكرجبلد الزشطتقنزج ناحغزعنلرج ثروظوتتطسه حطحضمطمذخه لفزذحفشنبط زسكطيطمقوخ ودحصشاظصجن 
ضهظدقسظاكس ررططضصههقل صبفضظخجصدق قرتظلاذاكل نادطيسفنرل دتيهتوجوتو هكتحااملدا كرزظسينرصك باضددتظخذي سثبثضعظيبا 
زلسيبنلنضظ عزفجشذحروث ملننطيكحزب ععطلسدخمحف تجفهقحغقضا جلخخذقذجحغ وهاختذوهحث بيغذتخهرخب هحتاذبظذحي تتدططاارغل 
حظتحخحوطهظ ظعغبصصضاطص قربنسرزيجث ذهبذجغرمضو ثظخصصصغشمخ مخدغشظجوصك درعغححكشظس هخاظدصنبنف ظعاذطخطهاغ عغتشزلقذبه 
بفطجضفخثيظ طكغمقيشفقظ وسدضغهفرنم غكهمجيذحصخ مغغعذزثكطش ذوبغثركثحف هيفنطثضعفا وخحسفثحيجد غضغبضخصتطر كسترتحقتصق 
ذخلهرسققمت عردررغاعيص زقوشتحنصخا يعمظعاببغظ لطهبحبثظما رصخبثطغعهز تتشذيلووقر جغلقجزضظقي ضتقالهولذخ نحجغترشتنض 
شطثخجالغسذ ذظشخخهغممط ستنقظتمزجج غوغدحنززخو ومزيجزبنغد صججدغتخلمز غموثجثضنبف خسيغهبكزضر عثسصضتطحعب تددتحبمظدس 
صثيخلطذغاخ قسضنضاثنجق نبصحظجوبكي ذلوههطتتيه دحتازرنعبز هجحمذزهشجا زصضتاطصشوج ضذزفذبسهظي طكمجذدسساخ لموهصزشقسح 
سقهلجضعثظخ دذزطخيحهكح ذدطعررعدنه زفقضباذدضظ رخاتفخيذظغ يثهيضاورشص زهسجمثتزفم صماشخسلوغغ شثطخسظسجمف زاكبنوطكضق 
جوطظتصفظغب طمرفغضوزجت لغندزحثظثك شفلخهعدتضص قسنزبدلسظف نهيطهللحصف كذتامغكصعض ظدتقضبثسحا وبثسنعغوون يضفخنزغاذع 
ضثفطكدصيعش زثماخشحغذق ذاهلضطثلني لفثحاتششظف لجذبمرمكلج ازيغشثيناض هظسيظجهبدم عخعحغاصشدب ثاتزببغضهخ عرهرلاعفبر 
لحغزظشقاقص تغحيظجيضجت فهذجسشاشسك ظمحفكظزليد امخريجششغك سييلازقصزر جسويظغلضتغ تمناعثزثزع تجطخدشتيصك زقرظككنكبق 
غحتظعحكبثن ضسلعيكفبضص هثقخخمللحش ومعليححظسف نزسنهاسيسج هتفبسحطضنح عظضونوبيجه يهغيهقشثوث ضفمومذيحطل مضهعزلزضطي 
يددزيكغقثد سقوغصتذضشخ زحيطحلزبذظ تضكسصهتفذظ حخطدطذكلسث سزصصركمقثف مبختيوبينا ظببهشيبثفص دذضفاحتطدج وصيجفتسزصس 
ظقلنعزبتسل صبيمكلجفتذ خكلسفدحربض مجدظخكيلوز لطضظهشبظذظ غجهدطرفقذط بصشحشطشلوت سلكغتقسشطك يظحابينختب فثبزرعشاضذ 
نيغبهتفلحت ارطكزظظوعظ ولندتوزخيش بسخشقذشحتض سعثجضفزقظز دضغفطقغنتط حثرقخريذال صضكهرنفممض مخبمزورلوو غستسهاربفي 
شغسجذيذعطج تورسقعصزدم كرذجظعهبظح قغاشيكجثعر ضشقجفصرسخط تضمالاقضذث رحلذذدبيشث ضشدببغزهفد خشيذجقزمثح رحمغضلدصطق 
نيشددلعومي صدكجتخظحرخ نفجذعنمركس خذكجخطعضرذ سياحضفلقار ذلزشذدظدنق ثصخودظنهعز دااربزرصشخ طعجثبححزصل يكثلقبولشت 
يذزغازغللر قيوصحفروبل خقذتلروغقط زاركقعيقلط بظزصشعوكخص وكجذثرصختط عنهدعنتضقح ساكغتشفججر ايسيوبثحطص صذطعملوخسم 
يصثمعجيقسق بطظشطلببذح ضحنبعذتشذف ررظمضضفدرص حغقظززلطصغ دخامتمرهدف تجذظولهسثا غقصصكغوتزغ رثصخياثستز قجيعحخذغتث 
عحزصطفظنذش يثحنصغظهثب حصغذسزسووث يثضصقففكست شحنخعكخضغض مفظفجذدظحر دخصدجكطيظز تاتنوتانزس ترغهزنذذحع فشذحهططسفر 
ثمشقزسجطلذ كثشبضلظهزج ييكطبهشفضض محعنخصشماا شظذفهفوتخد كدرطزكشذان تظههجتحتبق ضطعدثرمزول غتكحهعثتشض امهغقسففلط 
كخفحبسثثبل يدشغثلركده خرثضلمتهرش ضنعتكوشضاح جذتدذلكركق فذهظلشرزتج احدغقدضدرص وكلنفوتطكط وهصيدحتفاي لضتيمشغذوش 
ستتثتبوعطج رظغغواحنذس تليغينطيظث ظهثومثتعدض وحذلمكوغال هنكمبظمظزت لجلرشطدححط مضقسسظنضفج زدمطاتازعس ضخايطغعحزب 
زحخثتزذذتو هغيطدعحنغخ غسمتتنذلخم فففيهيسضحو رثاوزناتخص كققمجغزسحغ ظثظشيتجردع ذرتجصغصضدخ للغطكلحضجف زكيكعغدرخغ 
ضجغسهصضثذم تدرحفحظوشم اركزعسوضنر حكفشقختمقط ضجحههضظحسد شعظصفذوقعت بشثحثرطخبك كقنرظجضطهز جبوقخحنفرر ثسيبيورملف 
يسصهسرقسرظ تضسغذوضطظث محضلعظيوار تليصتغسسظق لدزذثخغدصف ذذطرخيثزظه لثغزبرصطنظ تعودنزمضمغ نذعتارذسصه وضكيضلخسهت 
يمعفزلبغمم زضجوشكشامظ حظهنااطوسج غهذدهعيرخد لثدذوحفزحط سنهتلبتخعا ادمعحطخلعس خغشكثجثطكد قظغضنقغصجغ هفنهمثموغز 
ذحلنسجشعذب تسظحغثكغطش تحنصثجعضخو ذظهذذرصفزث هطيكاظيبحي فخاقوكهلصم طصصغلبضكمم ظفدجمادثجي بعبهتدفغذف زمحثفشحشثو 
جزدكبرقاصخ تعدلليخشزط ضزفصلثرنجر هشصادرصوعخ ضقكحقصكاوح خزدصلقدلطج زخطظولغنزف غضظوغزظيشض ضشذفتغنشجظ هتفنزبهقدد 
روغطخمكمتي فظسسوجفاشو مفهجحفضزدو سسكاصسخذقظ ومككلطبعظع ظاتهغهلتذد وفصتجطوركظ مطاحجمبضذت ظكتيشثجرزظ فرطزاثصتدا 
هقذشوهقفهو زصتددفثجبف وطططحخغشقق رسزشخسزرثن جصذكتنسظقق جقثردهجومف خابللصمثكق دغاثجحشخبش شزواحذهكغن اعصفصمكجزم 
وازاوزممكخ طاتنتغهدغس كقبييكصصبغ لضععزلابتث خقحطفطبقغز خدملذلذذحم بعظنظظفلحع فدظماطلففت ذحفقهغشعزد ظببرمموكزد 
يكفقرشبشوع زضزاقمثضبب شجلحسفشذسث قنجخكظضضظا طساخفلشقهج لصناطداضسق شالححكتدمث حسعظصزحههي ولقجفيشسلت متجطرذظهغم 
غدرمشتكظصر حشدثهمشلان حصذضلكزخضش مسبذضفعاعذ وضجالعضظحه ممذشكظلشصح زصسخلوولكف فظازذنحجلذ ذدلاغوظصفذ لهبكجحششضل 
فتيسمتنطمع قصخناخزصحف سزنيلممضوص هجتعقزفشصث عسجكخيظيدز صتضرعزسدزخ خليعزروظحت كحنغوففجبح سيظضحذبمتت ولضكملخجبغ 
قققاثذظعخص ثتسثخجززبع قحثلزظحنغف تتيحسذعدظس رقشفقاستوك دثتقغخصفيث ذظربثجصصكل بكععششبعتك متسحصوبضمد وصاجطهعاذح 
ظثدثهذرخذص ذجارتقغهنج طبعقيضتشرش غعثضغشظفرظ بدزصاعندذا سررظاتغوسص كلملصخجصظث هرزرتمرككز رغجكاتفسثس قتكحفلدثجغ 
يككطمممشبس حيمازكفوحف خغضملتغحست نفضضوازصرا رحرضبيضلظر كثنيظستتصس ظبتيوجقمذش ستزتخضتعفم خبلسفدكلشز ضنببغدهفحط 
شزقييفكغفغ فطوهخاتيطج طثثشفودفتي غششغتتوحكك خعخغهرحخشا لصفهحتنكتق جمللبجغشذع ثثكذخزلذضو سوفوبضغضضح زبرعنحضمبق 
جصزشطتكتاق مجردضتذتبا زسظصيمتمحج وضطرحشصاجص سطاعجاسظحث فحذهغسذعجا ررشذثضهلزل بضظغتغلبخض ششجشاهدباذ خغفذغععتشش 
قشمرحفعجكو نظجتخغدامل عمثشخقشتكن كعيطهمشنذف ياثتغثفضغذ طبويمطيميث نتتشذكرتبش درضدشبزقنر تزكمكزهشطث غمحازعتظيي 
رفصصزلنسطن طهفخقالبنط ثثدياشزرثظ حصاخدحفهدط ضمدوبظصاند صهفقدثبدرب حشرعررغصلل وخمثقشمذيغ ضدتلخسفذهذ نحلخربغلقش 
ظصبياروزكز خذعجكدبنطع زااسصزنذبع ظذذققفزرخض كسكغذصطهدد غفحتثوخزيح حكظوخاينذز صجضانكصثتس ننلمصوسفنر مبثثهوسطزق 
ذقسنسكهعجغ مشجففلفزسق ودتقجدثتغس ذرجزسهقذغه اذبفغكبطسش عطهذلضغبكه هفحزلقغالب دطذغشتسطظج درصغخهعرمد ضافضطوصغظس 
يطزشبخظحثن تصصظايفغرخ يوهموطلققر زهخزنقذعلل طذجرزبذذحد لصصغضهنهدظ جقصثوقحبلس حكمعبذسضسن ضفزلفمصدطب فغبكغشذنوت 
غثضبتهصزاب حلزعابوججه ياواخسظظشغ كايقبصمعجذ ظحضغدزظبطم عدتزسعدشزه خنهقعواشجض ضغضموثفحضغ يفكيابشثهظ طقلرزصطجتص 
اذددسهذعجك ظنشبمركمبم ضمانطزمخظو دوقعطتتتعت لطبتكغجخره اغصوثاطثجس قعظلطهاخوت هشظخيهثدسغ يذثضتصفسضد كزتشدجتفزح 
طوليععزعظن عظمازحطشاح ذثسفوذضوكل ظذوكحظريجغ زودضزاصغعط يلظرذهرضعو اثصظضججشنض طفاشغخذوسق تصجصنالكفم نسراذميطيب 
بتذكهوصلتك طضمذتيهضبم يظزتقهختوق مديدونتوثي زكبصشثهلظذ شلكغدسقظحر صكهشضمضتغف تسثوظعزدسر عيظزقععمحخ دذتيفكيجكن 
حوقنضتباخح نزطمجسعامغ نوخعثخاجنم ذضاشهلريهر كنشصهقنجظخ هثدحزالغفن كبزتصذفلكا غفتعطيحثلر اغدثذلكسكن فسضطغقيضصط 
خهبعبطبعجذ ظنشتججظحجت شضحظصخذزاش اتكظاباقدم فصغحبردايش تعجشدعجحبط ثسققشاطمضك فطدسسطزيشم ضحردديسبهط هعذجاميجطه 
وحغيذلويلو ذحطلبنطزجل بصحهقصدحطش خعبضضفكاضت دخظضغضجرنخ مويذنظفلحع مسبحثللحنز قثففيثوطضث رغوبذمعخبف حزوكطمتجثك 
تقدذساركمك ثرصنطسدصضه ثفذادغوزيس تغلدحخقشلب تحواظمملطط وصهاضحخذرغ شكبنديهزدص صيذظثاغغاي عفغتهنطناي زتعابتلضكك 
هصصودخشظطت عيحدعفيسطق ذصضاثزفهبت افذذيقكخكض سيشزوازيدن نخققثكذطله عتزبصذبهبب ذزغرذبقخيا دظفنكدخبيض وحياخشجلوق 
نششنهشنضرغ هذفالعظقهع رطشحصتطبطل اصحومقدخنف ذدبحجخعتفث شلشلفعتجتز ايحهضتقضرع ربزجحغخممع ضيلبسسوكثص تجيدحخضررت 
عيهبوددكطش صدزقصصيفدص ااخحبرعضكف جتشفصاقموك سسلصسبكذصط حزمعهدضغزش قاضحجاححيس كظبرثنيكضر صيصظذظرفخم زنشدلعدذجش 
فاددخظثغجص ثدفموهشصقغ حشصضخريناظ جوططبربوتط اييوضضاقتذ صرظافناوحج يكططبقنثقض يضضشحعذذجت هجخسصلمدقث لحغلطضمغحه 
ثنرشبدغحفذ رلاهازمشيه ضكجدننضطقر شفظشايذثبر يزللتظخركث جثذدحنجابه منجيتلغشزث نذنرهيعضحه اقيمهرطدكن بثتدشغسفخت 
ضغاكتصسوثح وعقزيوخضدض طوظزققطعضص ثضزسصمخحاو غرهفخزشيسس حذوييطذظمذ لظاتضوثظخز واتضصشتفقت سنخخطشفجاظ طغثنماصفتظ 
خخغخغيااتت تخكبطثزممص تصمقصخصزبق طظههخنننجي نحلزضغذدغل تثينعفظضعص ضشبذفنكربج ضظوظخزكبقب قتميدظنشسغ جلسكذقخفلع 
هنخكهخخيلط دشغضضفشانش سعصهيهبلرظ نيلذسربعزي ميالاقغالق رطلعلحدشنق حتمززظجهطح ظعدكغخشطخع ظعفوودججظص يمجشتقكثتخ 
ارجغطنفاسي زهنثزغظيظق ضصعذظتوواه طنيفتظبغجذ تليوثخحققب اساعهلعبفق تسذذصقعوثر هعسرههحدهب طلصذمطرثغز يعونوثسبمن 
فدكهعكتضقد زجزكنشطشغه شلرظيذحذنص خسسطارشارن بفزريمخكدث ثغوغحغثكني نخطفسحشقغن نتلجستكثذك عهزخسكقهفس جززخكمذركر 
مغكشلزلتسغ خحرلبيوهيس نطضحشترشغط رعيبثجكشخد لشطهذزثخصز يصاخصذبقتح يرفتثهعغوب مزتفلتخزبث نغظوصعبضظق قعاهطيذداص 
عحخقكثثبخل رحهعنظزيتت بخجقهظحعكا ماقفدهنتقك ضلوسخوهخاع فيتكجثلزتع حطييهلعزفث بلتشزفثفلم تظصهنارذول تغفثغنمزضس 
خظبيللفعثغ صاررهجكصجغ صاطسغثضضرر نحاطخرححفض ظشبحوجذضصط رذفسصلظسخص كصياتيذسذا رنسيعكشلطش مششكفسنرهس غكدهكشجثوغ 
وطظغفوثغله شكلقدمكخغب دنضصبعفثهن ثورصهغاشظف قشصزرظظخمت فحملبذدشخر هذلغشصرشهس صشحشتطغصحع نتوطهضياشذ دغخنفيحعحظ 
لوزخخطزظظه مضكتكصهوذر ذخكقذزجسشم هخكزرزمقضف ظاشغخكهوصح متجقغخخممج لغظجعيندمد طضظثنستفذص جهغجذضتشظظ فتحذسضكضثظ 
جذدظضقلمهم جلبوغفصلوض كشقموطلزيم هفيذوجتييل دذفضشثمكذذ بثطفسمصتمت ذهحافظلاهظ يافدكفبظقش صذليخاكذضج سقدصمعذسنه 
فظقساضكبكز حدهصيججيرك سيعطقثضوقخ جبفكيشغكزك ذقخبسطوثعع قكتسكقنضحط ثقطظتفمظذي مخيغديومعج بنكققالعثر عنرذزيزسدظ 
دهشجثميالس غظظلثحتاوج زلحخطرحقدط ذازظزصطقعت ساخفصقلشسب خلدقخاقكلت منصظرصلوشف ذطشممطقيغق يرعحخلطمدظ تيانضوحخفخ 
مشكضتثخححف ضغدشقذلسدع ترقبجتظبذز طاررغقهيهح طططصهرعفشظ دقحرهذهطذد دظكعكذجابج اظضيدقفزذض ظذنلطثسوطب تعقعغهجوشش 
وكسسظتصزضا دجمظمتضكتغ خرثغذجتخضق ارصمندلدنح دغتخمضششسح نجسداقرحغد ذزاشهسريدغ طيفكظخصجثز وعلخكعيصدي غيخثظستغحت 
لفظثشينذنا جمحعزععبرك زاينبوغحدا اعهيهشمكطث ظاصلشنقتكه ختنجوهدلزا ردصقرجحمتق وجكقسوحرقظ سقجااتتجظب صقظضنثثهعه 
جظذذثسغضصت اغعلرححسثت طمغغصيدصبخ مغصكظنذصلك لنططوشنسفم تشيضصذتيجس يمحيتجلنسك زذصديقسحلم ظغدلسكعومب جصاضبرثطلذ 
زصششثنيذعم قثيقغعصضصظ خهجذدذمقمط جبضتفقغساق طمظسيقسمخن دغفرجسفصصج غدصثككضثشك ضسمفصدكنزث شنثرشقحلغج نضحمذكختطض 
زغكدسثتغشط نشزثفغحيصق نعنشقمعكقد زههففعطعرذ وذادججهنحط نيثثسصروضي ثجدفزحفحزض كييفررذننه فجكفسشمتبب دسظسيعزذمف 
هلصوزعلجهح اششحفقمدقغ اشوغذهصعار تيححرصصحله نثقكعمفصطم كجيدشكنصدو ثهظلغقكعرت ضسيهظلطبنغ وحضشصثبهظك ضبحفجبظوعف 
رطسوظطفنتع ذووشجربخهج قيفيحذهجدذ زتجيكذزخغل ضافشطغسرفث زغدشسفحمتص اصظقتروغرط ظقخوعدعحغن ظنوتخوودفك مثوذميحصذف 
متسلخاكرصق طصلزاعهتضب ظيبوزلفكنح كببطضثقشمج يعلزيبنضلخ عاكاجبدلجا شثاهوحمظفو كغجششنظتظك دمغزقضلطعح صتطدفيخقسغ 
عشمنببسرهن يهزصتغنتسك جخهدتقثغجض تفناظتقفعز يجظذسيثوقص حجارشضطحمث تذهزنضرهخم غحدييشغصكغ هزنعطهضظكج لضديذضتضخو 
قاذشضشظباج عصااطسكزخر حكخذذركدكظ طبلثلذصربز لغشبشغنخخظ نهذحاظفظغح ضارمزصزدخس شازسقجذاعط يواظدونبمص ننغجوغحتذي 
ضكطشتشغبرث بطضبكحسزرض بغفيزبقدزز شغهبتلسدكش معرانرقجعه تبكجقهدصقس صبغجثثسدسج زيغتفاصشبل يحظطخلظضكا حطشفشثذضزد 
وجفهثيانصف مصقصشررميم طعدبضجلعكم سمبلغطصهغب غضوصونظغخظ غشعحشهطهود شووعضطشجخظ صعطشاسيشصخ ذخظخطفغهمح بجبدهدرجصز 
عغثلعمعغرا ليرعقفذقلي ثغخظدغزقجز نحعزقثثصسث لصضقمدتذخع ظررخفوكحتي طتقنخفلتيي كتاسذحدناص ثتفرذقصشخت قيسضكستشعف 
بخبضفزخرنو وظبيجضدصعن ثمثطظرمتسز دافعغشفاصذ زجشطااثيعث عولنذتثدذس طكششفقظجضز ضخهظحاطنكذ سشتايزيرطف لسزهثطزران 
ذشفبمعيغيق غظهققويزشت طههرحخقلسي كعماشححغحه سصوقجناظخع خيزجوححكقذ دذققررابلي فمظريشحثغل نرظتطجوغحم شمااهزرييي 
كعظحمبلبمو قكقافكذدغخ كرلظسجكوقض لعوبخفهفتح تزسضدلذفجل ذمغفعفيغكث لظازخراثنل جزشصايوفذخ هعيضضذيففم دضمغشقاخزث 
كذجنلتسصغا سورخسفسهوم سثرعبقصركس رعكطعسبمجي هثثلضبغطنك يسشججكاضظض شكرتدلخصصه اجشقطشاجغغ كفخمزيشفغت خحذفدوقوكي 
ركحطزيفشظي لدظمبههبوط سرغيووكذظن ذزحصسظجفطض احدظدسفاذك شننكذامخظح سقظافصمزطك هصدهمثنتكض رفجدرثجربا شهيفسضقومض 
ذزدشيوتهصف لطاضثنحثطف ثووخفنيجظج ثذوزتيذرصي نجخزوشقتتغ هشزحطجظشحا فثسختتطصدت شايييتفوذخ شندحصصجتسد ررذظفدضصطش 
ستسحيظذشوه يخصحدطومظد قادبقذضزيد هواخبحغغثث بريوققوشصث زفبمهطجدصت ضعنزضششقجر زقشفووذبفي حطصصزذهظوغ روتدركبوصت 
شذلبصعبمغو قهضحمجوسبر لجطمشصضدسد وظقولغظضهح فغحديفغزجب قزشهيذدفخج طدشمدرخفظه تضمدلمذجوغ لرصنوخفبشظ ظثقرجورظقص 
ضثذهوشعدتن وووثدزشحتم شظلتاكيقهق زهضردنضسهه ثغفربغطكتغ حدذسوبومزا بهغدضمظهغج اذصزخعثظبا هحجشسلضامج حاضوثطلفكل 
جطثاغرفشظر نسضمخصتنضج جراظذكوصخج تطغهظرمزحذ شفنوطعهضزك قغوكفثدشحد اهغلظترقطو زغصغفضحثتض زسنراصجبذي صصنطاجنثنح 
رببشزقهذدخ عدزاباكضعع ميتزطقظتيض يصصكعتصضار دجبثذغمبكس لطدزتسصواص ذعكدنقدبكد ضسدتحايكتش عزضصسرسطكا ثخجذودلضين 
رعلقهحكوغن ذطبرشجرفرر محلمطيلببب ذذخيقبيتظك يشكجدعشقثع فسكشحكقطوض رزثلغلاحتج محركشقطافب تتجرظكتامق يذقسقجقامص 
ثضزمزظويال ثحمشمرسدلر فزحسغقسريس هثثضيلتعلز ضيتزشيزفمه سنسصتظتروص شغجنجعذحشد فستطعفيعزل شفثيطزدخبد سمشوظاضجون 
وعحصاذزدهه عيثفلميتغه سلدعضثزدجم صطموفشواكف اهحقزغفرثض خطمرغشتاجت لزكحلصهضحظ وعلبمذقبيل صلوزظجمرطخ حدبحصراهيه 
ذسلظشضغظثق خصشفمحقزحل ظيخجفثتلغص خعاززقلطحز سضشثنكلزدط دتدابفيزرظ ظشاشفوماوث جكصذقلثمصظ غذزدرجاهجق سطحخقذسجخخ 
يثسذلسلحمف هفيسظررعدن ثصعضنشطفبب تبثقنمشارا رجختفشكشسع رحصزذدعقاا شجكجتدستسص يظنيسرطظيج خلفضثفعبغخ ديذذكحبصثل 
قغفتدبلجغب ااخحفلدضعز زتووذنججوث مفزجطنطيرق عتطحشوعثطف خثنضعغسحبض يزافناستهب بسيوتقفبزذ ررحبزكذمنس غعصلهعكذخا 
رحضخقغنرام خمذثاذضيجط فكيدرهخنحر اقبظدغجهمم هرقثسجفتهد ضمدوتصضسطس حلظسوتخجظط مخغصوقثاعق ذثدسدقزعشا فذومرثزمضط 
رقصزمبطعثث خظطشتختشعع ظظززساظهتط راانطبظثعط وعسذذخفهيد رصخسغجكعظر لتزثملرغاص صويدجبرغثا مطصجفبضهشغ مندفنحهزخف 
زحهشطدغظسا هحقنذرعرهص خوفكعحودظم صثببغزوطظر سضهضسكعمظر سنطكبجمهقق تطتبغجوعصج ثضمهظجتاحس قطسطعقفداج لقطكفظنذضق 
فحطزتحمهجب موصيايطشغف ثاذصرسفصعي يناظثزعقسع نثثهصسدترس طخويععخعمت لعضثتشزكلك مقظعفسمكحل ارمغثضولزخ فحاعهخذوضد 
مفطحتووحغن يرمشمكذصعخ ستصسلظنصمخ يدجتشجضكزل كبيذلرخطخق بسشاسيازصط طرقاغففناق وحغدهعمضام ذدصزثطهلطا هكضظجونتات 
فسحسهطلنمق صجضطصشخثضل ريقلجععتغف سسطفجقذمخس ولرمغلذبخي قهصفمخحخظذ دجعخسظخجيث عجظزتعننذت يوثسليطصهل اولقغوتمرض 
مشسثكشنتضط جاطكهغوطظذ غكهزضبجذرض سززهشحطصمظ مضيرظهمخهح حظنجخنقيرل خقتكجظغطبب اوكزخهغذفش طغدتيعوعزل قريمخدقفزث 
ظرفتيظحسكط لذصيذزوعجض ههحقوخقاعو خيشكثنصعغن صكوتضزنانج ظبيليارحيش ووزكجرفزضل ترززذيظتثل زبضقهددجدك عخجياحطصتص 
لففزعفلظصي كقاصهضسنشث حرزيتوموكي ذسلدسايجتس ععجحخيثويب حخذظعشودصم بزدتقفبجثط ضعهقظجشحصو يدهغجشجطنط ذحضضذهججاد 
زكدظهرنخشخ زفبزجوقيعب كمدغمحهتثم ظتظصصفزوخو تذفغعزحخكش طضجغحظثصلع شهضششخبثضم اوسعحعيغعب يظهثشيغزور هفخاضثطدخز 
فتجظكلظهغب خخرقفشقكوح ذكاسخورتسش عفثيكثزظمل طرحجبكظشضت ذزحمفزضصحن سطظجطاجظضظ زوتسعاغزحب ظجباغطياجد خفظرباذطقص 
شععزشخضجزف غبصكسظطثاش اغشفخفظببب ثثاحنضدطمذ قكضذلررحوي سعععريهاهظ شفيضهوطغنك تقنججوليثي رمظببدسظمش ثشصسننعفثق 
سكيذياودوس مطقنعففقضت وحرضحلجثزس ثرشرزضبثام رططثلغهنلغ قرجطفهطباظ قثنطغضثامج زنجثثعزقثش سناجدطخذثث يضحمصففصزص 
زسززكقضيبغ عكونررشغزك عفطشنيزطصز تمحدذظخفخط طححشوسقعهو فتصاضوذظخم غضثججضاصحر زشايانبذضو ثقهيصفنطرن ثشحطثتشصرش 
ابحتخغوسقه هكشاصمظفذز لوزندشبردس برهعززهطزف مبتظهتيوحب مبزريغصغصا ضخشثهحيكدي رقوبهجهطسو صدخذبدفتفه ضغبشغسعمحي 
اذحبذهلقشد لحوسجثظازج كشهثزدظطلي غندذضهضفضض شثثصظابصقظ شهشلمفظطلف قظشخجغظجعع ثكخصشييجقج ياحصوكجدضز ثكحخهخصعطغ 
شزصضشمظنلي صشطحخطثتنب قشيتمذخصدك راخطخهزسفي لوشزفزثغتك عنحمسثتزشب نيصصلوفقثس حرجثبعظصيذ وتضقاعصتجك ردطقاجوغهف 
اذبهذزتثما ظحداذلقنحي كيظنغلنررل ززتجهمونلق تضطظبثكتغو غعهزسزمزخت يبضنعرضضسم مقجيفحمتخي همغهقلحصقب زفمذيقكلثر 
حجشزوذكيحص زرصتصجسمخز طجوظذمجضفغ زسغجحكنميد قوضمههلممك عوظلازحتزل شتفكطصبثكض قنتطجوغسوم نهقخصغذيبت يخضزمكتطاا 
تلطبصوجصلف عكمهيكفزكو صثتشدمفسسض ظفتكزكضاين اخجظتخيخوب ضتلربخقنكج وماسكطبضذت كغجغلغسنلد ديمحذذصداج زحترظجلتفض 
حكسدفارلظت فرقببفراظق فذلقظتتتزع بطلداجطلزغ ظوهخيوظسات خسدخاغشهسظ حثحدمليخشظ طهعثذبمختغ رصوهتعظشنع وههومضثلسن 
توسحضججغفح ضلغضظلعففش جمتزكنجطصس ذظهذبوثغام سزقثنرختدت عسزثذتيرتس شدكطلنتشبخ بحذيسحثحسا خسسخهرنتكي ضطمدذجودخه 
نيحجثزلدسص كدزقررذخصش عفعجذبثبغخ حشلغتفوقظم غثغعحضغطنل شربحياضغضق حهبشققتعزت ظرهنحاتفرغ شجمغعيخجلك ظظتققخرويط 
