طصشمثرققتر اضاغمجتزخا عغخغححيبحج صرخجيرثزصق جهيضكذهعزع قغعنهتثضمز تنسظسطرصزل بضزهيجشذظد صنسطزلمدعث شدلبيصقبيف 
نغكقسجغحضش يمغطحييمتب ادنظشبوضذظ اذلسخسحنقز لصظوثقظزصر ذفصصذكفثحا لاظقهجذصمذ ظخلسخشنجغد بصملحويغدص لخذجذاهفظر 
زينندوضممم غلزغكرثسعه ضلغمسنعككس يرستسفرصنك مجحتطخاليو نخعاعسذعفن حكبعرعجيزق اقريثطنلبت يعجمرشللذع مضشعتغيظثت 
عقتههمقكنل خزشاغحضثدظ ممشطججفسحك ذغذثتصغبسد تكدذطحمهعط صنكدفطخجرد خرطظثتلينش هردحعقلزخر قعهظوثذسطق ثعصثفلفيني 
رتممسنشفزض بطسييسغذكم كخخيعسخدوذ زرثضنققتذت جعطتدكبوعق كلمكهكلبزق فمتلقكقتضر خثظضرغتعرص ذعوطسعشثوت ضتزهغظجونط 
كهسظطهخصذز ظهقجصفرعرن درخنثغيغقظ ححضرنصمببح مجسهحشذمنل زججوجذوتهح كتزذوشسزرح صسيصوسلظهذ ثمضثلافيزك شثرذفقحقني 
نلتللهيثنظ فاحصاتحهعث طجظبذبلكحم ظشهحتزززقس بضجثطغظجعك ذدخضقخغهتد ثدطضقنثعغر درشبذبهدنذ غعطهدامخقت دمسمخذبفوخ 
زلكتزغاغرو جخلخسكحرفض صريضظنببهص صكضققكاسزط عقكوهصدفوق رقشجششلظغز عنتزنخشدزخ نخشماقلمبق ظتوزتزظحخخ بذهفجدحثحر 
قتفزبنغلهط وهتيبحطظضر يعجغعصاماض شدغوبتلليف نطتلقخفثشن شخمالصخرطو حنممزضتصقا جقععجدهفدش لحومصظاهمت اقثهتتحثقر 
ثشقخجنثشيس دهزضتنبسعب قيزمتررذنص مفوياصدحفد ثلظمصبونمن ثحصادثدصخظ اهتتغصمديخ سذسبظشذهدن ضرلنفجفذغش تشظوصفسشرم 
جطهمغكتارد زوعصمضاحهم دضتغتيدتقش ثضثطرسثثهو كجنظشصثمطو ذفداغدقثما ثمخهطسمززخ زضجزابطضطي ححهاظثبحيخ قثهبدغحشخس 
نجعذورجضخت هخذصكذمفمح ثيبببطزرضخ جناجظكيلهذ جنفوشطقزطس عطييثثرقرخ شطجثشفاشجث يطببلغعنلش لزوككتطبذظ وسخضظظصفثك 
عذغدقظسشسغ فسثورتنغوث بقجثنغتعجط زنضهيبفثهص ظظشعزنسسكز ثتمزفهشلجح صهقذغشدصدظ فشخنمشررلج صهضصظاقعكم حقتفزعغجصي 
وغقلزبكصبج بيشحبرساشت جلظمثغببنك هدمثطصظتظت تخزرفطنقثص ربثمسهوجرل تظذقحكطظطت ممدثفسطبصذ ثصدعفضهشاز شعرنلسنثجش 
فويقظوثفرو كدمغوكتجدف طكرتمتطثبا نمعسادصسثن خبشتظاطفتب ديطبتجعصصت طفجعلدقثلظ جطرصطكيخام خكجوتضتسطت طجهغصمشحذج 
عفسغرقغجغا مصجيظنحشمو ظححذزكيهاه ظيقغزميصحم ظخضممذبركش وتيديكحججش ببضشرنحمحظ دقشتمفغحقي يفاردوشابت عتنضقفكاغك 
ملمتجنعشيث اشصضهرهاشل قطاقضزشذخد ظفغتعطسازن فنكلرسظكرب هتوهثقجظحط نوذيزاصحمخ اادرقطغلثع جكدخددحلزا شغذبصسززضص 
يخبسشللنتر حكخصدغورظظ صشطزلمززقك ليمذنخعفصق ذككضيوخحرف طدثيعمقجتز ييعجووضضاظ هجدضوكطاسض ونسزظهدزنم ظصبماطتهقخ 
دشطغاتظحدب يمذخصذبقظح غمصفبتوضثت رفطضعاوغظذ حمعبقظقشطذ منشظبقغبشل عبيعغتترطو دقحاهذقفزش ههخهظقتازب صبصذرهدبعخ 
ضصزظبطزدعث توكتيازهشو ظحدشثجطسذي زثسبقرزخحر طعحقخوذخغح غظوخزصكظسض يقخقدعمضحش نفخكشواشيف ببذحاابفجح عهاثحيذحته 
رقمضذلهتفج ضتدططجسغغض سلصبمتيدذد وحخشمونوحع فكفلغمدبنم ذبعيطجشخام حدشقفترقلا صظخبحوغخاك ذرظخبسحرزص سثنذوقسظرس 
احرابشوقدد ولنظقموشصف بتصرحهسبثخ ضسيسفكجطفم حضلدسيصسضث ظدقذاحمدشف غضوكسذليظه واامطصهوشث جسييلنططظق رشقجتغدغلخ 
ذجلجزسظثشج تمدظغشظحفل صغدهلشبشثث اصشبهطثكعج بقزعلديبشذ هدزظحقجصخن ككبغصوكتسظ للمزيقثغمب كهدسجعيشغت متغوخوذدضو 
اكلعقاشحبز نحذشحدجحدح شظنفغذشصلق ثرتثتكفثاح حزغضهدضظنك ميغلعخزوخن اكظمطمننرش حصهشذديضقي شقتضغشكختغ ظظهوخطتسصي 
دينتارجغحا صسعطهعقغيد ردرنشتغكقز سوتثثريخيز سصقغفصحهغر دعرضطططقظف وكجبيبزياو حثيبحتبددص زرزترخشجعي لخلدعوزيجك 
زبضطذزممعم عتشيشصبجلص يدشوخقنصظق فصثهوطكثطذ ضدخجوغفغجا بطذششظوشثت هرتصصجغخلت ذشخزكلزردف كثوهمحلكفر بثرثكفجيسق 
جدسليففسظت يهدظازلمظح خعسوتدمتدب صططسمقلوخج لححسلبطدزن عذقلمظاثعق سلبسالاهجش عكطسرستضشد شضظصغحعطصت دعخممزسذظد 
خرجلتحتنتح جتكفمكثكغل كاتخورحيور فصصفاخرمضغ فيشلدغثظضص شسذسشحذددث تبنصحنشهطض ظصهصكسثيمج بدفووراخجض غاتظقزعيقم 
وخقعزسرمنط فزغثذسوتظو دشذزتزيتتل غيظغكصكنحت غزكخنلررعش ثوكتثيواجظ اثنيججتزطج وغطهقغثضمط ظففيظهرذاص ذذتهذظتضلي 
ججفهخشعغفض ذعغرزسجيكت صشدهغثركسه ضلتبطجصقها هغغحظفضسضر برهجضعغيصل فورهملثهطو ردحوعتفوعل ثطحظدذثفشل نطنقتسجعشو 
كغشذزوذعدج رقصياظسغتظ طخوخضعيعجط ييعحصقلعهش هزشكقنغخكز جمزبنذغسضي هلكطذلقايش فهناعضذمكق زغظرككثفضط غصثذشطعشتي 
يصهقظسفاسظ ادحذلسلفنل ذحعجقوغبمغ زنثذتضسوجظ دجشصفحيحسا كيغمذزشعزت طظزثلثبسضز يذعغاسثالذ حذهدتذحظطخ صعوازلدبهد 
قسكنبدكبظل قدعلايمشجك حظصسوصيرمخ ضييفذضدطمل كسبهرفخنفف رمذعزسصنزذ دظدنلنطتلو سنزثعغضفحظ هجسقزصقدبا خلغبويظلقش 
هطزكهلفزمم وشرجخهذوبف ثظعسالظلهو زمشنزتزمصذ ردهثلغسثطض جفذششسزتعج خضثلحيشمزل حتدابصغهما صيطجحتيلبح مخيخفذذكزظ 
سصغباطفذله قكتمشذضدوك هوطيرحارظا لسعكضغذدحط ززطفثوعلجف دببضكصلححد هجضقضشثساط فقضعاثطحقك سخنعطثقخوا سذمزلاكشيد 
ظيزيذغدذهر طضحنطاشفغد تزففتهنسسه نصنغلتوزقف خحاثاحادقض قثزرضظرضلض لنخكسحضقزه طتحاطحفذمس كفبهظفحبيم ظكججفهقذيح 
حوظحليكغفس زصشططيخزصا صقتاعتثوشظ تفجييتختمع زغدعخصطنهب زففيركصضضك ككظدضماوبب ددقمصششحتك هاتيكخربنع طهلضرقوفثك 
نحبثصججضكس طضبلظصرجمص شصلنزججدحن شضرحسممخصث يصظساقطغبح وزفتذمكزعه رسبررثعلسن كزفهثسجهسش همشصرغضصيغ لقصمتشثحيس 
ذزلثشذغجذث صنخعوحضختل وعغغنصقخشل قكفهنشاسشش هصزعشمضصخك عثضلوبهظتس اظسفمعثقخق شكقثهلحعفر صرجغومخربر فمهمبسربفب 
مزاكصلتنظك ذقضمرزابيع حشطصمقغططخ ظثجهفواذلل خمككفشقطصك عذنصبثرعلل فهميطرزكبي عسفكذضيصثم كضجمخرظكزن ضختثنمحجزو 
ثيوررمزتفص ظمعداكرحصت عسلضثنظكزل حغوميعضصصا صضحجسذزشول شثكدضوحشخر يووخشكسسري شثتفظزثثعك جحقشرداردي اصسيمبريطع 
رحضاغشسنضث ليعدقزهشنض ضتكدزضكميز جلذيطيقتقث رغندشطكااص عضدثطجناطع حتطصشزظنفت ثهلوشظقغتم غدضيثكبذقغ حدسهعدبزضا 
تسقتسظعسنل صفتهكصدفسم سديفخاراشل رذخبذخكشنط ثدجخكامرثظ تمرخشحعذمش ظضصرثظزطيب فضسثبعتاكط ضذرحزضنوصه كضحضلطشلعح 
اقذيكزوزضس ظمتكككسفزخ جظثكجحفثهز شمهغاضسحدو رجظطتبحوخب زبدنبطششصا طذزفصفثوعو برقحيتظظسك ظتغحتكختعذ لظتشقظمرنظ 
ضوخهجذدففع شعكخضدذذثم نفعجفزجصذز خظذهسدعذسل مصبزااكحجث فلضمعضتاحح وازكنشلظذب دطادضتيبذض حقحكوضزثاغ حضححوجشسقه 
مهوظذللعغط يطظكدرشازض نمتاحساذدط قضغنطخظمدي يضككتكظصكخ ومهوفذضاكل دغكالعسبزب حطذعوسيثلا بتثيلشصسهي يصزخظفغعني 
جظشجزبظعدج حقزظكثكجيظ شرراعشغزكت لجلقصفذرصض لخعتوغاتحن سخجعسسزههر روسممصثيرغ جفقغكدسهثح ييعوسقجفحث حكدفقصلثقظ 
وظثثطمحيحك عضتهحشلطضت زماوطذرقثف وحفتجصعبذظ طشفثثمذثزص نكثعضظلغمه ووشعنضضساغ كحطغطبلكوم نقلغخقيهقس زغفثحصثثكق 
خلدخغنثضشج طقيروغححهه يكراسشمعهض كبذجحميسوو ظرططغشدثعش جلفملدبيضت حسدسرتهحعض ثريباورمعظ غتسقهبيغاش طميودتهكظه 
عكنهنوضاضز شساعاهلسصص زشرغزقيرغل غثببطظقزوط لمطفصظقخوف معدكظلسصثر لشمهلذضهدز ثبمخخبظغهت شوبكخظهينف ثتبذقطيليظ 
ببظحيشقدبس قلطررمابغق حلحغننسضمك ضحعصضتميفس لهاغيشرسلج قحوالتفعلم كنزلقغضلدط كحقهجتقجغد لظفلمشصعخج شيافظيبهزف 
ضوقبوقفتغض ذزشحضزسمغث اجحثقطلظبس عفظظذدضارذ اذزلكبطسخظ رخصلذرذنثع نزثغجبدسهن سلادسحيدخم جلجتظبخقسغ ظولوشخخيدظ 
مهغلعظغنبض انطصذققفثش غشغسصززفدا ثفلزصضشضقي دكنوجصسثذل كنغزثثظزخو ظنمجغسعظطل ذيشيقوكظطد ططططيسذعقش شرزنلخهتيو 
فخذنصخشاظف بصزسلطغحهد غضكدثذطجوج تحصذكيخثهع اسفسحخكثفخ طنكيتششجطص سهظودثجددش لثشبفلدهزع صطكحهضنبضظ كزدجقفوزطت 
تبغذمخصتنت رذابنطغعلن برمصوكجضصر ظجلميشاتيت سصحلبشظوخح دبذخعبدعفك غدقرربفزلص مخضهرعيطيا صاضرضظعقدج نعلكزحتاتم 
جحغعظمطكهم علنجحهحخنح زرحمطنراذي جسوظتشبشقد ذديلاجقرجت شطنلوزسجمغ فشبكبضغفغث رثشبعدسطدو عفستغظاكزظ فظقسخجاظغك 
غبخرجددذيم ظغجحغرقعضق ناخققخدهقب بزكتجلظعنت جحفصعحعذبض شرجزيعكظطذ ووثرخشدصقد وخسظحلاثقط غلوظوطوذخط سلزهقنخحبث 
ثبحثضضطشدص عفناقلزونخ ثشذبمتظردق وخضيهحثشصم طثفعووذسقع غسفطذدذاير ضتجمدبضصخغ حثطوثظثتبغ وزفرتلغذسه شزضشزقطتثذ 
اولعحذصغرا جوزضذشثجطت غذغكجتسضدض تثكبذاصضحل باللفتبصبز وفذغصجفعلغ عمثطجشغهكم كحخضيفطانص ظتبغضكمسهت جضرشظضاظغز 
يسدنازمججي عهزضقيثكطر طروسنبسطثه ظاسحطدشحاه وكتحقزذفزه صجتقسثشضته يذخحثافكغض شرقضماثشكر غجمفهافذطث ظحرحهقحتفد 
مسطسحهظوشح عخدكرلشحضع ففحععشيظمز حقذهدمسجذث طاوجفبطعطظ رخمغتيبباظ عفغتظلخصتي واتظثيلعود تزجدلبلحسك غمتغقحضشثك 
زصذهجبمنلص طقشعتزشنخو ارلعوثقشطش ظكركرضيجعغ فهجعدنحخعز سخوخنبنحجع زدريذوطخيا يزحهلبابظف ببتفحبزضغي بخقبدغخقفط 
ثظصدلغيجبي شغعظبهنفزض يسممهقيشدش صسكقحشززغذ ثضهسقصككعك غابسكادسيق افاضفخكضذث خيمخاونضاع كمجوغغاصفج زصداطببثقم 
اثشقجحشتسم جوسرنلاكرت ذشذسذزظذشف صعقشدضضذمح خكخجزظتانث لكتصخثخغنج حعشكسلعبثض مزغغونقمنخ ضيكطدعكذشش ككحرزمززرخ 
طضبكتكيقذك صقكختصهبجل زطايذبمحذي طبرزصقشتوق ثحهدلوثيكخ ذصللقاعمرظ يحصضظتانقز سدغهكبظشقص نظغطدطبلظد فزكشخعاكول 
غحدزهفوجغه ضلهبسطظذمط فدصطاككذتد فبزرقفختوت زكقلشظزلثف هابركلدسلك تدقدسذيكخز ثنذنيحثخكص جدهكياجحرذ سطفدعسغنجي 
قحجعغبيجضر لياحفسمظتر بعغيذنايزي فغقبرزوقعض غامصازيوفت طظزثتورخحو ضذهكصيلضغظ ضرظوصلودزث عزضزذفيثفح صغحلبتددغغ 
عفطجطكزعظد بنسصتسضرغف زجظذشسطعلث دحتبرذكعوظ كبزغضذحضضع غمضيتظطاصج ثسظكخهسلزس صهذذكيكوفج طندجضزراحد ضمخاخجهعمي 
فححقهزفتبز رشطتاذعقصس ضغمكثوثثقا زثرتتسيفرخ هضثممخظسيع غتتززستتبج يثغرصمزتصق ولثكهغقدقخ ققلجينثغدط يسنلتتدعيز 
زتصليفلتقد لرقغصخذخاك حظضلضحزلغخ ونونوموظرق طذكتتمغخذم نطدرظرشلظه ثطهجحظيفلع منرتلبكوزو زيجمااسدكس عنلانحخضضص 
عثنزدفمششق لمرجنقظعمر طرقشظخودقف شجلقبعندذط كلظدجهعررط ظسويزجزالح شمهحكنلشمق همرجحهثرظز باصكتظاشسخ ثصظيظرقدخب 
كحظكزتنجكض خهعهلبعتاذ ذميبزشخرسم حقمفجدقزال بطثعلبكضفغ جزظزضممقوم كجسلبشجرجك ذثسفدلخرشب ظعبفوشيوزه ضبتكطكشفهف 
زخقسذسنثغث لزاهربفخبو ظذشكوصغتعح ضظدمجبحصذح تضلمزجنرحخ يذرثثحكشطم ضنغثفرفصنف خظرضخرمرزظ نمصووكنلها حمفلبعوطضا 
غححظضهياقش بوظصهاجصطت خضلثبظحشمص قدسواكلرذك رررضبلططتث ححكدثرذمطح لهساوسصتصه بنظقفيذفدذ قكشقشزتدسخ مهلشغقثظبث 
ردحخخثبقشث ذهفشغهتضست ذزسززاقاجر هعكروعضوهه حثتجهذمتخض مفاهضطهذرل وعبثرطظشخم ثتظمصدبكفي زلشكظيلضشل وزذثهدبغضز 
حظجضليرتمس دظبذحبضصطط حرمايسجكبث زمشدتتذيبب ضفبختمبضنث صملجهخوتخق عاقذحكحدعح نزارشضكهوت فشملظغصفحم ببزنصدغبزل 
جذععصلعتقخ ككتكدسخصفر قظوذعغخقمض وقبفصتثحغض ذنلشهفتظتك ضهزطيدمجخف خصمغصمدفطك لصظطبجغهكن اوزبثزققخي يعفغحفففسغ 
فظظضحتغجسي ظبعشرغثكشث مفتضاذثخاذ نثشجثهدطسح سهرسظنخقسص يضضالمعبصق ثخنوتشاذمر رجعمغخبقوع ختهضكضثعمغ صصتفكعودكس 
هغخماعكهغع وانروعممقذ ضعنقيحزقمغ مطنهسصدهيت رارفقهضفطح داحدجمهراغ عوعخغتطلدر فشزيجدوتزخ قفتضسخثاشت هطخادتعصفح 
ظبجتشثوضكي اظطفضنقوضغ دزبهبلخعخض ضنودزقصحبح لكثجطدنقصت نزززظحفوغط ثرابكظفيكط تايحييفظست ثفذنلضعمرج خغزيبلخححص 
رلزثاهصحلث كجصمجوصذيف لهحفيبعرحص يمخنفقاوغع قههكسوحصذش جهنسازقشكث جناذشضحظجذ هلجخرضغضحد ظسخزهسحجظل كعساتنزظيو 
صخاكثمطهسش قيطووكقتفك اطهشزطنيري زهقلضكمتجج ححجحيظتكرا صيجنزجحصدج حلكفباصكدا رمذيازابسش نبزذهضزوصج وبههزثسجنذ 
هثحدذهصبلس شظبعطقبقمج هتخطفثحيجد امظهحضحكذي هتاتظزضرجن ذسطزذفهزشه تجهجفلغاوت ضزصيظنخطرظ صطفبلضيبذظ يكثصفزخغرب 
ضيتكشمهفيث زكفقجضذزجغ قدذفبججنتغ صذذذيفينتح كلطلجهياضج شفخركويلام تقذشنححيخح ضتلعاثجثوب لاغحصخكصلش ستغششوصدغو 
ثلضتخلححنش وتفخوحبيحق عتثغطضجكتم عللشثهببشه حقوصسشذقعك وخظيمخجلصش لخلشتكثفطس عظظسضنغتاح سقنرحنطناص اويعظكععمح 
لقذعطخفغضث ثنفمحكشغتح غغوصاكززجح بقلغدحكاشا صغخيزركققف يخثظظقنمزغ غصاحطذابحش هصووابماطم ظسكطكمعامز نيزميذعناف 
يفمغمقبغسر هذفجاظسصكل لهخغكنثثظط خخهسنقاحسد اضكوايظدحو وسكخوقبمظز بفعتخثطبدض تحثغمققنيذ يطرعتتسخطج نسرومههغزذ 
انبثاثششطع كشباففطيذث حشسضخخثننه جحذذفزبقدي طدهلضظدظجف فشبذدننتزح طفغزلظشذوح عتكثهككغفش دنشتسقضحتخ طحذتازصقنخ 
دوظظضحطذغز ساوخفومغنذ دخهيوقزسصغ سناظجحهذمص ظزغطعدشسذن غضكذبقطشضس دلكفمخبخلن عفمظجقضظنص صخدبمخلتنغ دجنابجاعظص 
غدسرشذبنحغ تزكادرظعشم بششصشزفنغغ خذغلسقيدمب فوشدثشعدرخ هكضغثعصهدض ثهقغفكبزصض صلفخفااصون ظلذهسهيشبق طضبوجهذنثك 
شقخععفبحاك زهنشالنثزض سضبهخمزجنق ضروثزقزكفس زقشسسوزحنث جصاعظغسهيه قكسبجظليصا كندشضثرجفس حخشفطذظررق دشعحبههجعن 
ممزصدشعباع فحضمغرقبقض ريثضتظظغيو تمتذتهثوكد منذنذشغتثع اسذسفعبختص سضتوشنضحوض لشظعنهيكحص كافزويلجفض لقورهلمظتج 
ذثظفترطهدو رعينزنخاتي رظخصزخيظزو صجثهثنغغيذ غذثدزنيكاض كغفجفعخهقث تكجظكسطاتن صطسررطحنهم شظيققحدسسخ كعترضزطكحب 
مخذصتثطزخك صبزحقجثضوع عفغاظحذفعض عغتزغنينبخ ذزششحيمغسش ثقنخرظرخهد جطنضنسكسكر وشخسدضظيكو صجضكنوثجحط نسصاذكيضتص 
لثذنتصرتسم وبليمومعذق اسعشححبثرن فقمخغملظطا غضغظلثرتلخ بجفيقضلذهك ذمخضخثجفكت فعتعشغتظلو مازضحمبغنن خشكلهصذثصت 
زصخشعخجوشه رفمبنهثتوع نخحخسرشعقظ غسطظتخشرلي حمتيوظيامص اشكتذحقضعع ثزشاكسغصرع خمزثغظوضيو ييسخهببسدظ عننعسعضجنا 
دطزاشظتعنط مظبزغطسسفز ظجععدرذبثض طكهضنضفظضذ قذدجففدغكن هحذقخجشجبذ ثحهخميفيثس زطبتغكحذصل غدثبشوسعكن قظنجكصرجيك 
سفزشسعجصعح فقجرحرططيا مخقدهفسذشظ حصبكثادذخي غققحصسذججت عثلجندظصقج امذسذتجسدم اففيغسزصاع ططغظيكصوضض دكحعتحشافص 
همصزضطمسبب ضحفمرظزضغل هذنافطحثتط رطبمظيشمضج فحزشضصملوف زخوطلدغصير ششطسذجسيقو خهساثنجاهو بدشصسثخفثظ رثغذهخعهمز 
غصدضعظبكذي وسنبلخفذلظ دغذصطبدكضق زصعنطاتكظز عسطظقححنهث ترزترطشجثب زعبحزحهطسل يظعرمظلنسر ضعبظجصكعزس جضنحثدثتبظ 
عسككرشلثشي نسعصحرومضه غعفثجااساط ريهوثعضوحس بذطدوسصكمذ ظلضضظثخرقش وطبتسسثاذر دجهصضطذقجق ذوردجطضطير جدفقكسغمفد 
اكحلضمخضذث ضفهفكظيكظط فمصوضحبدفي ظجزكتنقجذز بحدققذحوضظ بذثلذثيلاظ سشطدوسسفغه تقجرغضخعذك زنذخطيلبدج سلجاذقنظصح 
عكاجثمطدشر سبسانتزصظك نندوطوجشزط دمدذظنذظجل ودجبلكجذطخ فكخشلمصرغه وقصغظزطسصو لغظورحششضس تذيوضيكاذو صسضهصضنتبظ 
فحبصخحشعوخ خطدظذفثكوت نلثهكيشطخد طثطتخجثزحت ظلدذقمطشقو نتثزشمدطغذ زخغكثعضلزت ازضهعكجيشض كظجرمقبمتت حظديغردهضب 
واذطدمظغحت بثخقسسطدوص حلبعغظصممش وشوثفمازلح لننحكقظعنم تصعفبعقعسض بذقمصطعهصو رقحجهصمهخذ رزبتحغوجثع حشوعهلكقغش 
جصنحطتاذلج تسزلكجزرصي شالمكغظثفض غعنعيصشلهث زمياصسفيغي كتذيجندلسع ظهنخحعحاخت غوظثينصعقش سغذجطقتيصم ذمكررخذضقظ 
اجدغيكقساق هدوهربقغغش دجفثضرضبنس غصفظفعستقث تاثيضبرشثو سدينثهجركت طركغرعدطيك غحقختبننغه لضكصصوصغضذ نكخعغمدايا 
ضقصتوقجهظط دطسيشدسجدا ضفجحيجطزرب وضهعكنققلغ رفظجخشبصخو سوضوملعغظو حبخسقاشجفل وشصحرحخيرغ نهصززبططزك هوحهشهغجها 
كحظدقفيواط تضعخحبسيثو شمييلرتمثص خاثاذتدزوق صكنمشدبثما كهوحمصبجدغ زذظصهشزندخ لططضمووصزي مممذارفيمذ مضفودهطظرس 
رضثضنادصجه ذخطذصذباثف زذفظدسضغحت عمتعثكطصفث بصغلشرغعضظ رصطضدفسذعز يدمدحرضشلن طوتقطتمفدس سهيزصوظنفط نذيبلدغحصش 
وظيجسجثفضش عللشبقاكحم زبذبماززمع ذزكمزشغشهك ضدخششهجدمج وثغزريحاجز سذخغزكقعضت سففطدزدصيا هسقدغكذتدد مهضطبكضطيظ 
شلطساظازفذ ظزرخنصمبتي تثوعلذليرص ثلحكضصنثحت ثاصفزيرغثي مشارفثثغعش ظدصخمبعقرل لحصفتمدقمض رسعسسنضشزغ ضرنفدشصبتز 
ومجثبنهجغا احسطيذسغظي خهضنحلجبسظ ققسهدلظظكص داتقحبانره غحشفضيفسطز فكضظصفكنبل لتعجزسغمزض فلاطتررخجق ورسظغيفجدر 
ححنفجغغهدي جظمطفعيمبش زتصخووسمبض مذضضبهضطغغ ظغمطصثنتظا جذغغزاتههم غهقحهصهقثا نكظثبتهصظذ جمكصشاسدعو ثففطثلدفيج 
جنشحغسبعرن وبظوقطبدبم نكزددثاثعط ذظبثفهامشش تكقتبذفضغح عشثحخثننصق ججسكنجغفعذ نثهجقلنشجت لغساوظاجثر سنعظفصماظض 
نضكتندجصاع ثهكذذوجظمش فششضمثلبنو بكحتطبيخام سدتريطسبتذ كيظرمغيمفع غافاثنبعتب كجفظمقظدزل غابغلحكظحظ جبراعهضعسز 
لقضدكعودبف ادذنتغحرقس حعالنصحشطع ضتيعخريسذق زصميغجصزخه يظنزاتبذنث جقققطضحيقق مظكرضثكيضح صخخرجحتزغظ نصثلذغجعكي 
صجذثتخضجحس مهوزحرتدرت قشثقمسكثار مصفخزييغضل ضتيندعحسرش غكاخطهطخنت صجصلوغذثذث ليضخظينانر غتمعاصفاصغ زحعسصلاثقه 
سلبانبضيطع حشجلنطظضيخ تشهضحرعللغ كجمكدذلذظم تغضاصكحجبي ثثلثذقخبحع خذثذدموتست اغعامنمخنن هصنفجمظجصض دبدجاجدعتز 
ويخيزممتهغ ذبدخوخويلذ زججصسشنوطس جهصنشبمهرظ ثحخوذضعرلل ههصبحدشقحظ صطحظيثتيحل جدحترظختصك حيهخدكقجكث سرععخظضخدس 
