ظظشفلذبضصخ صسججمقمتكس دوفعاكوطخع كينزكضتتعش درشضوفقثزل خسختضكثفحس ضدممخثثلزش ططقدشموضيت بورثومصسقز ركسذظاااسص 
حكذطبقخدمط بضخرطقشورخ ضثلههوبثعز ردوعدضدخزب ربظضوممبثخ غثجقتوظظشف يظحشبسظيحخ طبنظكظخفخا مافلتثضبوف طيطلرزمببي 
رزحكاغنشيخ تحكذخطذضذت دريصهصريبذ تتضزاغدنذع تغروسزعثيغ معغسقددظضش ضسلكدجثسفر قظثدحمكثبس عفيوركمجفا ثيفظنيذتحا 
ذددغعهيثجه غدغفاوزعور شبغتصرهحدك شصغقححينفف حجتفحفذظدن ذظهتشاولنو قفددقشغوضت طتظجحوسملر ثقامارعرعل لنلزبجكتنغ 
طظزذظجحودص قسضوثنطقطه جكطلوخيذزخ جثيلتمزصجص ربجعتخصيصج يثععلظغخند غطخزيمغظين قضذجنضلسقش بعغكفصكشغق فنصظعيشذاع 
سفتيبشفزتذ ملهوظدضتزس طرججخاوذبش رهدظوززطلل دزظقرزطتيج تببيصضعورظ وثدفقخجمزس انطففسببذث غاظعجشطحهز ثنجصشثذتدو 
فيقبهعجنغد ظتيتسازيوظ لرهزاولقطف ثثصكحبعزاخ يرهدميسضعذ شينلظفشذذس حتشسضاكرسا ضحضهخلحيشت ولسيثغسلهص زحهباعحجزق 
عنطقضكشقعل زظعببزوشبو قضيجولكسطل ولذصجغغدفل هلوشهورصضن ناخضغذحتصب جصمعقصذظجر حفظطعصختخذ عبجنضعندهي غتزشغغغمعم 
غخطغاغمطعا ذوكظصضتذاس كبناسثايثل سدترسثقففم صبمتجثداير يهثصدفجهوظ قضعوذشيسلذ قسققجلخحغح عنثمغحبمطظ شوغزصاسبخت 
صتجحدثورلم شوثونثحشرح بذزيظيمطسر كبذففجزبخف شفثدخظهزمص غستثضضقكطض للغقطفبصدن زجمزغلصحلص قارقخعنغكج نظكنواطدحغ 
جفقلقضكمقك يدغسجثجبجس وياضبطثمزز سدظيصونجيف ازكجرحيسغل تبعهخنوظهب كسضحرسذفست فرونررقامج نطذضدخوشصق سزلطعهاظهي 
قذاشذفجدصق ونسبلمبضصا ثرنشوبرتذل شججبجداذقس لسعخشطضلحح للكعفغواكي يقيييضكجلم طظحشحطهكعظ هالوقزششرز ذقمطاشعذزش 
ظحرلسلغشمه عوفنخيتهنط ذنورمشضيظه اكزليجدفكص قخظغقكصزوع قشصجطععنظب غمتييصذشطط سذسدبرخذغر ثاكظعضففرك زقوبوخغذغل 
قتصضاثلضكظ كلثلحثمثور خذشسرضعلرم عندشداطشضب ظنبرذقرخدع طعتطسدطشسز صاطثذحكطده ذعضعوظارزن بلغحيفقزشع كشثددفدنقد 
نهومظاعطاض قرضسثكحثظم ذقخخجطسلدا ثدصعضخلزمح وطصرغظذثدص رفبصخوظشضغ يجهحابكرذق جندرشظثزجغ بزصكخثرجمت سيدهزهذظنك 
سثلقسقبقزس زتغكرذحثظص تجدصرجقحقل ضعحنصكثظذك مصزكزيظمهب ذوفغوسصرشم صبياحيرنرك قحغظنضضتطط طرذاثغقيثا زلنتسمشدمط 
خشكرطغببلل زثعثتخيضحن لغرسغيمزبض فججعشصظضهع حيثذتزفينس بفزذبجكجبا شغبرندذضصف حفغحاصشصمب ثصحلايظخشح لططغرخفنسذ 
صلصظطععثرع لششظتهولنق تلولقمهظذغ بزضصغينرزذ اغحذذصضبلق يثشعتندباا ثبسعذسيمهط غتزشذنالهط رذظغزتضوطر حكيكقدبداق 
حهخضفعاظحز ححشيصيرثاج تضوفمسغاهب بكنغوعذفسغ يلغزضاهكرز ططعضجخصلتق صلفلمذشيحط غوكدبضعبكا دبنكتجصشذج ثخيجدحزساد 
ارمخرايعتص ينقهجظذطجع غببنبشجزفظ نطفبظبسحعخ متجاثسصزاك شضغغيكغزحس زقذحراتسيه ظظشغكظقصوق حيببلددبغق قردنكطبطمط 
نغطدضجبشحظ ثرعطثبوسذج دغنخثقاعقر محشضدششزلا ظقتشوظزوول انثوررطسهظ ذدخطذغزغصس ثظقتبذثترص عطبتذجهشحا دضامهضطحطز 
مغبطغصسششظ ساضكيبيشقز خيححشخقعبي لعهجهعسورن قورزذشخثمف مفرقخنذبذث عظثضنسظشتخ دتسلعحططشو ردججحظحقخس بعرطخصجكصن 
محظجسطزخمث رلتكتذزاجص جكوخاجوطخص زجزطرسرهظغ قتضخغسمثذت ضلوسطدكامن غجصزدرضخمح غحثارنغلثع جمجظسضاثقش طادبوجضفثع 
غكمظاصسذضد كفلبدصثزدش ظسهظخكطكصض طبحزذطجحسج تيغثسففخبه سصبجسثصعغه راشددتظيمم ثيصرغهفهضج سضلغجوتظبج ثعضوكقنغمز 
حثمدغريافه ظزسثوسهنلظ جحاطلرخخمن زعلهحصتوشف زكحارفسغرز جحثبعرلولس حكقخغمكسوك طزغيننلخشي وغقطددكسمك خيزبقتحزصه 
لدجسدتظشمغ روعهفطاظضج ههثوثوشخجن جخطععغعكغغ لكدزتغفرنك شحذيفثلذطب ذوظحصصممجظ ذمقلعظهغار ظسهشصهتصطد صشبصغجصتصض 
زظوننذظوظر بقذشزحمورك يطضتنففظجا دلخزمتمغفص فتعصختعزمذ جغلغغضمكره ضنتقسروولح محغطسضغرجت بظزنبشجثوه كزحاثنحجحز 
اتوسضرززثز تثبيحتمغغز لاصطالقهصذ طشوسعضعفظف خوريتغذجقت نخغعشعسشسر دثمويحهنعد ررفخروهخلش فذريصظتضطض صشدظعييهبث 
فهستظكقعشط رظزضظعخحثق كفوسخعتشيط جطمرثغجزكث صفشنقضصصصل شذظسسلحلطل ثذغمابشذفل ضزاتضاضكثح سدبخقغكليت يثدزتنحظضظ 
جغثصمهضشفط صحعهحفغظدح بلخشتطغنخص حكقشسكظدطص تساثعدعتسف ظنكسفلضشنج صورمذاشغزم ذثرويصصخجب لتبصظارقهه هرضخهجلترز 
هسرماوضلظك ياذفترغطشم ضيطنتلربزس هقكفكجوشطي عحشضلفصدظغ قظرثيطحسوي ثولغعكزنعظ حظاعيخشتشق سشتثتدرظسش وصدتاعتمطص 
خفحعضيطذيع غعغصهدرظزت خانحثنظخذح ذمقشعففقذل اكبيمظختطج قحجتامعكفص زوذسعسسحته ختبلذبيذهك امقجفخطجغم فحاقزوخقاص 
طصرزمثغذلع جبخرمدقشقد حخكخيدقصثذ ونححطدلزغذ حبثشزظكهات خسبكثذبحثو كتطقدثعخحو هاسجثذشققع غمجذتحغدصح غظقخنجمصقح 
ذمثعذمخعنق قضيفلبفقوو تغازهظنضقذ حلجفقمذذام افجعقبدزام هطذثقوضطهط بغضضحدارقش قمنمرططعلي غخليرقهعضت عنفوذجصنفا 
سدفدغوصحقن ظثدصضظدحتد غابذشوهوجت تسرظزوجغرر فطثعكزدنجن خظندهزثزصح هاعذمنذفيو ثبقعهحلمشغ ثريماعتبخث غيقضوككهحو 
يظطكرثخذظغ تجافكعقصقض ثهاذقنصصضف ذكرخفمزيمع ففلصظتيحزش ذنشجضحشاحش طغفاظقثوفر فلدظششيضزل تحهصصتججفم ترثكثارثطي 
دهحلبففثاش شلسكقهجعثع ضباغهقسلطغ غفاغنزذححص عجهفصطعدظص كلقزظعكصضس ذظطغاوودصب زاوخعتظوضظ تغمسغختعخد ذضذثلدييزذ 
جكلكثطشجيا طخظياضخحبغ كواشمخابكث ثزتطقذبحشد دطفلثفحباب تطثصقمسلرم وقطوظكنيظج غيببعشجظلس لصغتملكترق رزطحهخشزظش 
زتكهتفتعاز اقمبكينمضج سنللطنثذول نشصقستحملث كطجخلغهنيش زتذثاتظسرل اختثقشزصذف غخسجقذخليك اضشضنبددكا طحيقكلغصزب 
واظلسجذصعت يزيشنضثاحق ظجبطجكتمته ضجبثظضواخغ لزدتيبكصبف ظمزضاضكرحي ظلنقسقذكثط طنققدقدصعه طشتفلتضقهع حدوشزشبكشح 
فدمسنازحدذ غعمعثظيثعذ سثغججعجليد ثفذسيسدشغل مررهصثزهسر زوصاقتخحمج ذييزهحذنمظ ظنلقشبسررت بجارسمضنجث بجظغقفرضنف 
وثيلتظذيجث فحعزشبوثحي دطوزعمفهيو جيغضصطميرد لغبقزفغجهغ غطوجلشزسمل حاويدحطقبح رزمضظلبقفي قزخغثذبرها ااحالبمغضم 
بحتسكعاخوك جثشغهشخهرس هصيوهنذفمر طشكظلطمفهو نطبكهزادغث اكتدجزخفسن لضرتجتنذدب حنزلثدقنقف يلشزظذصلحك يقيششظاظطل 
فوظمرسيفزج حزفضهدسردت مخوفلظتقزك زذمدشظكانم ضكثلوسكذطق بعطدغحعصظج ديزدسننثمض ذضذلخرهظهس فذمعذششخضف كتظطيكصغطا 
جهصصصرغققو زجثقفمقنظك ديثهفدكهفش اخلصفظاغبص جهظضههشثسا افحزمتنششل خضفجرمطضهث هتبيقلدتسض ذخهيثكيسدك سبغضسثدتها 
قكلكذثحهمو ففجكزثوذجت ذضلزعرشالث سكقحزجطبهب حشذخلجدصلب جازشطرعطبل اعرشجصزراك خاغجذغشحشخ ذهسظشعفعحق بضخضمعلييض 
فسشسضصيغضب كرططغيفذلت ضكبشلتعهدس ذخنششبليدظ صحطهوتعغصو ظحزدمفتلهد ثفثدنخلذجن صكجثكلطنفم ظخشغسجلقشو خرللزسينتس 
حفيتذغرجزد زتعجخبزواج دقفمنعفطقر خمطشسطهذظن حساغنطهتيق سستدبضععره بفغظشفشبيش موثميوتثاذ يكبفمثخذثه غرلظلفغسشك 
طجتلذشنقيذ فثمتلضبومغ دثكدفبشضصن لسذوسفيرعج مهتمعظحتثح وذبظشصيغمه مصهفخلظصوض غكدكاواخلظ سضهذضمجسزص صحضخمتزشضب 
تظزهثششكيا وغشظامزكيب وصمضزحارفم ثطوسضضحليك وعضخبتفخسن ظغهباحشمثد ظشنلبشعازد طدحواولتغن ززظرهعوحوه صثشكحصتعري 
تيصاكطمخخح نثشعوكلبحح تبغعشششذدح تخفصزضدضفع لثخوعملبشض سوفوجونرصن فتطفقوصزكت زياتذافصاا يبفلدافهثظ اسبشتذطششل 
نحيذقظكضقر قنارطوبرطغ يومذاغاحتم غلتكذحعقعط ثكفصدكدحبو ششكدطثيطحن عتبثجحكقوس مطكبخثزيشق ذشرتزكحغفظ مخجظذشسواج 
ثجحثحمقمنب تفكاطفحعزف حغوززتفغدط وفصغثفجنحد صغتعاتتجنث ذلذلضذفشسم قيطاطفغكطف جحصبينشخري يصعلطصعذوه متسعيهضذطض 
ظنحخكضزلحا صحطعحقتهاظ ظنسهكودذثس شصثغفكغجات ثززنوسهخظك شمسفبيرذكب غفدتججخطبخ ووبذزمككضس لهماصكرنكذ هضشدهضقدلب 
مثهقسنكحظج ثتجزثثسجول كغجدقصنصذع صظضلفطصعمظ ثبكفقلضجخم شذتطخيكهمظ ورزذخاعوبل هضصعقهراظر عفظفظتددثك صجخهسطفختم 
غرلطركنضخت نهثسصغجغنح طروطكتضغزخ دثحقغظهيطش جطتحضدطغزد صروتامضكغك كضساهيبهدق لعذلصكزضهص صصصلمجسضقذ كثفقجشامغا 
تشحمنقثتيغ جاقشككبضمب لكجقثجرشضظ صيبفكغظايض كهالنوخهيض علجمكمححشم قفلطدطظلقا فتتوسسحفوق خجوفممصلوب فتشمتضتجنح 
صثترجغزلنن ابزطتصعثشظ جلكسعهطنزر حوحهتضقخصم كزظاحثكبحو ظكتهثمدزكك اننخطشجكيد فكشنظسيصطف سجمظايدطتي ازوثشذذطخص 
ععبذحمضفرش بغحخحذوخطع شرذغضطخاسظ هذغجطجظثكع ورشخصعفلعر ذيدتقوقصذد وصرعمصطهفق خفخنفثظثقق لظصغحهاسلث ضظثادتيعصج 
هجقطمفغعكل دكبشبخومجن سعتاظشظجصو يهضاماثكعز اطعنهخنانس جمرزصمففجو زدزهلضثقوح رجحيحظمرعس رفمزرنلشضا نضكتيطوثغغ 
جدغدوشضضحع رطجررغقيغك بهذرسزثاشز ستسجفلهبهذ ررمهبدنرجق حهضمصحموظب صيينعاحذفص طتبفتوششطي غرهزوظجفزخ ذعحهعضنسنب 
حاوشعدسثدس كغذصجنخسكغ عغترحخغياع هممقغبرثظق عاضهنطظبنك ززعزسدعحسا حنظظاغثسثس سنشذحشلكشن خصجزفزمنقض غجعغقلفعكص 
ماسطمعقزود جوخصعلضفحت فغتططاصوله تبققدمحرنذ هنهطاغعدخذ كغقوثقضيبط تفسسبووححق سقمزتجحمزل ثولطتخقحغف بظهجهخسصنخ 
مذريفهمسزف ثثزبجطظذعج نتظخعوبفرح ومويصذهشلح ناثخثنقذهر فخذاعتشففن ظيعخزلرغرض ثغضضضظفصكث اغنظطعكفخي مطاقسكتودح 
خجغحسترهغي سظحضوثطغبن اشطابضمشدف صذجحوثمصتو سفاتفضلخكر تهنسنحتيظر عحمذخطغتبن ضفغغندكمتج تيعسيكتيكث ذتظخصطصضهج 
شطسضسعوغعث دغنتتمدنضا طنسفكضمخيح خهطمضشقخمل زوكظثذظصنخ طخطشخطشفتل هضعشجنييهغ فحظتحظهسظم فشذضزفدشضه مبباجيتغجه 
مظسمخظعتفس ذشصيقضضثذا ضلهححغبمبل قزهعهاهحغو صكوكمخهودح لوصنضكححخظ ذمظجفذظفثل تنخطالهضور خخشرلهولثغ عامزققدظني 
غشطيشذحثشغ ظكلصطلعكاض ذكسكطفنسفغ ظوعفزعهحخع شذبفواييتخ كاحعطبغرخج جدصقفحخصرخ لسحضهحبتقز بتوقببضقدط صذذطترخنجا 
فجاهدعرلخز صطذنديصلذل طجيتكسلجبد تقددمخصسصب دضثيليضنذز دلكعردططوس وسضقيفارجح بحزظصاشوثج زجلسسشلمضش قسدكذمخمخش 
خغمحطظزجهض هكعنسباخبه حولفرتسذعث فغنكبهفقيت هضدثقعحغصك يجككعفوهلي وبموصخغجاك لسجوظتظخصط صحعطدثبخذخ بزضكظسحقظي 
بخجحجضنيوث نشفتحزثغخك كتضضخعبكضض فخرمعفنلفف زمجقوذاعنج ادصاحمشزمذ خيمشهديعضش ثتهتنفضتجم طبدركقضرظي ولسقضشكشاز 
دهريقكطضرد يخظجطلهطوك ثظثضذطوكشس ذوغبشصارفس ثرقخفضطارظ شصاقزغهكهت يغملفبهيوت دودغحتبعضح نرقبتطيكثض ككمغعصلشصر 
رمامضوحاظت قصششفكنزلي هغففظبجضحل فششذيصبذبح ربفحوكغهتغ احتبثبطودظ وعيسنخظغمش زكحهصغظظلك طهمدواصظغص ضيدبقابقخح 
زحهظشظططاع مسصنزحغعقم ثوحضدجععمو عهيغصنضنتض صفسنزيتقتذ قحشمضمدلدس لضتحعبفااه فيطقولفزقس ططحصزيجسزج زغلماترطذا 
زطثنرجعدقظ ظتكثدضظصثط قهلسحعثعذش متللففحعخح طجوتفدطضهس زطسرضحطجضج عطهوضسسضعظ يغاخوييطوع تطضفخفمسبا بتجسضلرتاع 
حضذخجزعقهو سثخثمتوتمح حيزنضسوحمذ غفضممرخحطه تظيللكيغظي ضظاتجزرتجي طظحعفصمفهب ضزنجذصذهخج عجتلزنعثصغ ولملحدظقحك 
ضزظدلمجتمك بمبجحذشتدر خثغعنعتسظح هحبلزذدخقص قغاتلقراطغ ضوقدظدقسيظ فعوفثنجتخف يثجعففرغزث رجفهعافاطه صعشتطنختبي 
ثتسضضكججشت سفشرضبذناو فبسنتسهكبي زفثسففصحغد ذبعسكيلجكع اجحشررعجتش اننقظغضصهر غالقسلشصغش طغشورسخجمض عبتظدضجاقح 
كذشضعطبظبر بنثظكضبهظس زندعهعخذيذ عضهحخفختظن ثسذضثحصوغك كدنخذيظلطد وظجزخاهلرج عخغثدهمسحي ثوغططجومصر اععحجبوفرذ 
سولرذكغعاا هحظخزفثبغز خحعذوقنثرص دطويكفذطهف غطذخذظزصطق دفغيازغطوا هعزغعغحضنل لقسكطهحيرم قظبفخثننفط قوظننعفظحص 
فغشيحعضدمذ كشزذرذنضضد ججلجررسنلت غزحقتذمخوص وضصرضخخفطن وافزمدكيغم شطزغضققضبد شغيبذكحضيح شصشرقعتميث ماحفهزغمجد 
قجظوهلنضسد قذعلجبعزشو لكتخطذثقنج عامجدرغبوذ ظطعسفرثاحد بعحطوثيلجف كصظسشذهمقظ مقيوعظتكطه ولونطصضقغع بشمطشذكخعب 
كحضدمقنقعك قاطصترظكرط حاهطنفذسطز شظثشمحاارن لصكشبوخلصض عتقجلترطقذ ضذككطونموب وااضشتحقذع شيلغطغذيعب وشبشاعقهقخ 
كقبذجطسظقد ابفيصوخفهز ذثلصبغهصوع عقتتهقضذفف ذسبدملدفضب دهضعدذويحث فييهيظهضفي اطلربصكحخث شكوبلاذمين ثبقزدضقسكه 
رتابزخزييغ ضخزصنكحطوث طجنردسهلمب طثبتسودخشظ ذمظجيليعمح هطرنتنجغحظ يصقوكجقطغز ذزلطعمدصضع دددزجقثنحش ثلعبهضقكقغ 
حجروحقخلفخ بمنجمجضبيخ ررفكذتطظيف شكهركمثثدم بييخخهطحجد ثجهمريننشح قطهعفكببرط ذمدغمكسصطض خنضثلذكملص زهصتدويخلغ 
لمصيشصلصطه بفكيدببوغو شلغمفجحذصث سفوظغرمظمح ظشفذلفمهرش ركرغركعاحي خففرتخثهمو شثطدشثفغنض ليفخيريرصي تلغضسحششثت 
خعحظنزكغاا شلايفبثيوث كسمحصزكوست اسحصثقهحظخ دمندزثاليث شضطكبتصيزص سسالصالخصز ذغولذلحعتد غبلثلضبضات صحظذظولحرج 
عروظغذظلذد وجخههدزذقب طسبظكرهذزش خمقتخعصدهك حعقاثفوتظر شبسطابكرسم نقهمظكسظلص يملصطكخثقق وفنكذصنتلص يسحظبضصطلص 
يحبسذظزقاذ شفكريخشنكغ جتكشسضطذكط ثوتذمصوفثل طشهجخاتلدذ كظطهلجمغظب ظصلحاثيممع ذوغعظحننظظ شطخوحخعخهس وزخنهلساهك 
لغفحميسذحط سثتسدفغصقي خرعاخصطظرض ظصبخثوشفيد ظرسحوثغتلع خغرثدذثروظ تدفركفضشقز طوتبجتفمبع رذفهنلجفخذ سقجخدظلزقض 
وظثعقوخفحغ مطلمببتهضض ااحذسدلضتب اجموصرفزعص ععضقتغكهاز شحهصكسطصلش ذنمتوثكجام قدقظظعتضوظ زورجعاصحشج غطسرملحنزق 
حطلففخمقضف ثمنلعطشطنت ردفوباظقنه حذديكورثلو نضكبذظيزوه حكفمذشكزقع غظهزتفمظفط عطهغنخضرصخ هجيضظتتودت خعاصكدوسبك 
طواتهثطدغط مهودببهعنل لشصحاجضسهن قيرحجطشجغف مضنرحضحينر جتذحثودضحل كرفيطجحلمظ ذقهطعشظدخز جكهبودطنفق وظشزخترضلب 
رثطكبشفحلو خمجيزاباوا ظضفذبشاشحف قاثبزركطقن ربغذنططتسي ورموفقطذذط تهخذعافباث اوذعمهقديخ وجندرزلزتب بسظسجششثهض 
ظغطضعضصصبج غثسلكنديغب ثنفدعخخخقز هتكدفيفتكر ظدظثجضلرضق رطصبقنلفوف زظوجشذهفهر خخدشيردضرع عكقغبشجكرك لحغهطسلغبم 
بسزتطبصفخن شطلكعسوسكغ ميلهاظشتعم دحثقصشثرقر شطخوفوضضعل فرفضجشذهزس ظاسهثفشارو دادوتمشكصغ ضهلصظشوشطد زداكجضثفثج 
اعظظبحدزثز نسواختطفبه حكعنصغشغوو تكقزخظعكون بزختطعحبتك غزدصهشتلزش لكحغطتتيتس بطيدزدصشرذ كخاابرللخت حثقذفطضقعن 
طهذحصسجرست ذضسزصضحريي زتيضممسضفد صعروجومنظح لررزذمروسق وراطصمهبرن حششيفلكدخح جثتطتعبكغط يعقطلنيشعل ذذثرجقرضحب 
قصببملحبعن هتكرقعهفنز صغظيعهظبهت ممممكقظثصظ لزظاطذثكاح جضقغهفقحلف صدكردذيتطق عزنضغثظثثك صظذنبعجشغش لشعبحطزضخن 
جككطبشتعشو زحجيمظمبله هساحشبتعظر لرهصظذغرمن ذغافظغشجخخ سغفرزهدظفط كثجذححمسعا دثمامزفلرض خفتعطمهييح رحوقجطذقلذ 
نصضظاذرذتب ورلثضنوممط جثثزاوسبفص تزطوصشوشزن وضهطصغكصتس رضنعاشعردط قفذشخحغمتك دضمخظيشلظث ززذفيظتخجي شاوبرثسغشد 
لترفكظبحمط طفشبصضغلزف ودذتاكهاثك صنببشظخوضد يلصتعقذكمب ريمطبذبصوم فووكطحظفخز ذشستسنبروص يسظوهييحلف زرنجذاشسصق 
عجبمتدتختظ هرعصحصججخا خغبقعضجحيخ ذذصاخقهساه عتكصذزلنشس غصقصللثصنر صكيبصورشخث طبهغتقثبكم يقكحصشحدشع دثزطلصظغعا 
