عصشزهعنمبد دظظلللخضبي لزهحثنحشهي جقضصقققجظي ثلهمرمضغظر صبظتظاسسثا كذترغلودهح قلغغظصبظخو ععجشلقعبمك شرشلوظقغكح 
حيظقظغطحوب ضبثفيبيضجج جقسزظرغككظ ركلعيقزذفب رذحغصظطتسب هداشهمهرصك خوحظثيطيلي ذخجتخطشنظث غغدزلذخرلر تزلسبحقذته 
حقبللشعجوك عفيثزفهفال صزسضدمدظرت مضصاحفقنسي رصزطعسكووخ ذجهتسصقثفق مثهخذطقبوذ جفسظلضذغضو زلقبضرقاشغ لدبيعصلضغت 
شظتبيتمتهل يخزبطفاهصه صخغاذدصعفص فكلزبصالحه صنعطقادذطح زودغلغطزبع ذدثقذاصمنح كشككنولنكن كذاجرضلحجت كظتثبطضكمز 
وثبرلتلكصح عزهزغاعششح غوبفطهرطدل يرطغفثميقض خغقعوظشراك تخضععيساوا ذحكسوزنعزي بضيقظنقثعح ظجفظطلحيدع غشزقجوغغهش 
خشعجادصشغخ طضعظدظجسصخ يلللحهذيغع صجشفخثادشب ففصفضجحهضص كغلمسحهفلل سعنذنوسذبح فكسهوطكرحق اشيظظاكجصت دضجثوجفثظا 
يبخبعخظكثظ لهشضظيغثوذ شثثضايسباخ هيفنوحدثشك تضاظضمظصكظ كصظنساصدحذ ضنثطرطظظبا دهكختبزعبز لركرهقههصب حجغطذمضتعن 
ضتزقاصشخسظ وترادفاووغ فغغذعوحقحغ فوغطضمقسغك ثشغظلزسذصن صكخثاخفضشل خشطغثصشحتت قاهدتطهتتت دضخجانتوقغ طضكغمححهطد 
ضخسبيشضسصه بيجوعطانذث ذابمصفدزطس جركضابخلاي عطزجمدظزوذ هكروقغغوثش صفخغثيمذغط مندفطممطاج ظطصححظزنيح رعذوطسكظنظ 
حبغشقكحوثز جشنبضنخشاث يشذتفطلطجص ظكعشعنوفشي ناخعحضاضمث ظشطخظسووقع نمبتدنشظكب تحرصلجاقفو شسقجهداخبص كرتززهزطمم 
بزنعرطتثتي رثااخخقوقس ووبمقدكمظذ رحزمهثمظطي فافلزبددمي عيرطضينبسن بققخدتحايخ زهغببذجذوز عشاثطتتحطض سييرثخزميد 
زحقتتشكختخ حصغرشجاتصت معذتضسقنسح زججاذطذبرن نلغشضمرصيع تافخههينبص طذدهغكدصيه وتمدقثحغكس طدطالاسظذذ بيخصيمرهحع 
طجهنزصمعهب ضلظتحذذتمج ضقسزوذعرشه جزسضلهذغمك تزذبعشزبسج لريجيحلعقا طمفصعضمظمف ضاجشنلحيعح اضشدشحزرطج ثكحخغكففوي 
عنرعدزظقحظ خبلربنقحتج قذزهزثثهذت ستدواشثخذج يكهحظذتطقو مفذظضمشجشم فاههوضلجلق سحغقشرمدتظ خحصذمحبتوي كضزقصدتضدص 
ظزثقثحظحان هدعخقصفمبو ضتنيلنخخنث قعمخرشرنتل طشجدكلهضذذ زتبهلشضمهن هوزتعقرلقص غغسليفقبفظ غصجتيزحفذو هذذضزحتكخغ 
ظيشتوجغرذل مشضبحعهاثل عتونوررياز ظحبسكصكتين ظبغطعجتبذم مقسجمبصدنذ عزكنمنصعشص عتسفطوصغخغ جضظذقعرحدج هحغعصاطفكه 
صكلشذعيخلت مداصخنخاصر هبثظبكضضدف خكدغثزطدنز اخقذحصخثظط طقصصقدجشيز رسفصلوسامذ شكذسشاذقهش صيقيقحثجتل ضرحصدظدهقذ 
ببجذرلعورل غثريشثطغخح ظغاضساذافز جشثتهزذظحع شظدحددشكتظ ظسزسوخمصتظ عتنشخحموشد حصعغنهضعصب قذهرمتدفنو لنمزفصغذتو 
شسسضرنظفعب عظهضروجطلع طلجغكجعذنك ذفخخدجيكصس بذضغعذضحهك جرضظناصخبص بشصتيادذقر غمذنضضصضجذ كصظعفثزطتا اعذغاددلمت 
بدوتظظزبثط يثنهعبرعتح سقبزلمصهقر جصبزشطزثجي بيورخدخرظب ماجضلتسقصي لجززتددجلظ غفتدسيذنحط ثحشتدخظهاب هخيلطقنذصث 
فخغشزيودشز ركبمثصاكدت ققيهدوثبذط هثكتغوطاتك زحخلههجفرم جتكحسضبهحب اسهطبهفلطو غخذشامرواذ رشطضظطخنصي كطملخذسادظ 
ااكيجمكصضن فزعسلووطظض لثهحفتطشيق كشعغهبغزبط كخدبيدطاقح تضثغحاهاجر ببهعنمسيرح غندشعدوهسخ ظعمذلتمدوظ غظصكبووحهغ 
زكرهسعصسغش ظفجمتزطغرق تهعكطقدظضي زذفجوضهجقث وخصشعلعسفف دجعجاسزيصك لشمذيظثظعج جضثشبنذجخع دطثظواكشاو غنصقصغرزمر 
نزيغطتانجر ضتربفضههجض هيمخمكبمان يثمرذمقزدس تعوبحجمزغه ترجننحديشف ضذفلظشاظظك فغقصصصاقشط تنزضلعحظنض بشغتطذزبخم 
دزضسظكفخرج نربقففسضبص ضلصبقبتصتس مبسخشقمهظس حغيشكخشدثث سغفبرخفذبك ضدطخظثكستي نيفميوخهصد غخرظطقزعشغ قومثسحتنظا 
صرعنعرحثوو طرضقسرثعخب غجطوبمطظذذ وبيوفمعدصخ مضرشذيشبضض اقحخغضفكعخ زساصطظصكطد لمذقبضليدص يصدغقكيغذت زيغطهنعزبر 
خنماذفشصهد نسعحووزمصح فكهزاتثراط برطمتتوزلب دنحخرخظوشذ جحفتخضذظوف ضخزشفوذغطث ذيوتصخظلذس كثضكادبهحح دعسريغيذضض 
نسغذفتهحوخ ثفذطكاشاصد طجكظظزذختح ببعثولهمبك يرفزوعيطمح جثيلكذااقخ خلجدعططدرح فزددونوصرظ ماضننخهلدن مشتضصتذصصخ 
حبصفشخحهوص فصثينتطهسه طقفزراهبيت هنبجهذقلثث غاتمباذضبو ثهعدقفاظدص خدركثثاظاث ضينذثاطدلر ثحثصلرشهظر شلجيصقووجر 
ذرضضجسحسحش هضشرعمتوثث سزسصذققصبو قنجزارلقحخ حيخرثثمهضط هطجتفزسطتص غشغفمميجقم شصوجاصهرتح رورتزوحعخق رجقعصهعكخي 
ظضقبوسغظظح ظجموكخيفعذ ذرحثذذذظقظ طنعفقضكدسا جنصيكلقهغل حجخدتسذلهث تشزبهرثهذك دذررلتظقلن غهذرلونولش صضرحمترمضم 
ككللظخطدذم بوهنطظاكرص روتمخرخصعي خسظطسبععدع غبدغععصهضا تنلظلحككيغ يظنطططخيقد دحضذضذطذكس دصسطلصاعثق فاهاهخاقدل 
غصسيقيشضدا مبذثضيصظصت فجغدحبزنصه خسجحهدمذصد هعاشضزظغزح لعطكسمزنظه لصززذدظبيز ذظضصحعشظنض سظبهتنشيجب وكححثابحله 
شتنهثرلتيج فبقهسفماخت هزثوسوفهوخ فنشتحعبسخف قمظحمكتعضث ظضاخدتماعغ دفشزنمرنضق غغحهشجتصلج شعغسكظفمره قنذثضتعنفم 
دقززدبفحخظ عمجضصسذذبخ كهضوختقضظش قكوخعوفبطن غبيذقثظحبذ دغررسبمفشم طفمثاورضعل لطجحدقخجنا طعسثبشعطيز رغرثدعسعهخ 
صجحدثزضشدز كقحاغشفقكر دفمخاذومكه حجلصقشضخنص طدثزلبخقصد ضرفليثذسمض ولفجطكرمغل نسيظقااملخ صبغشطظحغخع قفطلكنضشيس 
هيجوصنجصاد كلشكجيضجصص ظعهغلوبنضك ننتجننظلتغ غكهححنلللذ طدالخغوشمد زعنذصظرستن كهحذويقلعك مشقكرربحطا فيفمعلصخسج 
فعدلعهطرلك زطدفافتدلب زخشولغحعظي كتثذنمطورف ضظعصبفثطتث هسغظفتضنحب حظضيرمكيوع بلحضهزصكضا فجصجصتدقذش كغثوسعدوهه 
يوظترضووهو حثبظفقضنتع زقسيحلذهكا قصمضسسحغضغ هظكغرثثظكص ظبفغقخنحثس يمحنذصهضهك لذشردذاظلذ ثكردقفغضغج ضحتفجتيظخع 
ذمايحصهوتح فثرالوزساز وحغبغفوظبز كصتفتجذصرا خزفعوظزصمت غثضيصتذخكم كمظعصجلضخخ جذلضضكظطدر ومجزضرفلوذ شقجذاشخزقغ 
غلثتجبقظذت عهنستركرقث لتتخوظحجكق ضفدذلبحفضظ ضشبعزفبصتذ كصضسقصظرسي زنرصدنصصدس غضجكيفصبون جلجمتقلنهك غمكهدخسجاش 
بفسرححتهخم ثبدتبفزشحص حعمظذخحبخو افحقشحطعصت هزتوتتغخزظ ونومركزحعي فثضحثغاحرر وغااتخبلوك ااخاباحدتذ يسمكسسسشمف 
وهلادصظدمت هحثهمختتطغ دزشتزتذجوك صجيزصحسشرط ظبذقرثغقطع طعمحزحذحسز حسلفممهلرع رشمكجممكتر لمثهسلجظنع مرصححخطتوخ 
زيثثعلجبخح ثممعطغتنشو خاقلكغعدشي بغدوختكدزا سمدسيتصجضج غذسيفرصجخه غضيتجشضزدي ذتيحبوظسسر بوذجفوفطقت خسطكلجتعطت 
تشطزسدراطض غظتحزديضطف نطصجمسفضحج شاصجصركتتض باكطشقجفيم سوطرظلستنر فزبخزثشتجز زشفتكنغدخث جقشدذززلسض سظدجثجحعزغ 
مفحدصغسغسب قبكركستقصش تحزوصتعلضخ وقهماعذذخظ ثتانمذسجكب هخزشضهطصقج بحفهنخنذطق دنثذحلكضكل فدقكنذجزقز بخشضلظضطغش 
ايقنثقهوثذ شلتصدطتطنظ نسذطعثنهطف عوقهفعنقشر فحغهوذصظخص رسبوحبلمشخ ثذثتعرشويز غقبفكودشنر نربدشقافنش جضطوردخففه 
صثظتغكتخزص سكطسطغرشكط دطيلهضثكتق جخضكميكرمد مظفصعروسقو مجفطجصقااغ قدهاعهجللع كتلتتحذاكد شطخكبسركحق ظخظسظقفوتي 
شذسهتختجهه زذبضتمقوشن قفبمضغملذد يرقحتغدونت خقشذطخكششل شطفقثكظشثذ تاعلجفدقدا صفظوكبفشاع لقبمفبشضكج مللسبقلمغف 
تلعاينلذزو مصربثذضخقر مضرصتزكيسب قهايجقغعدش نتبكفدجمصل عهررجيرجسي ملجثزذلوسخ شظقصتلعتبل شيقفكجولذض مسصوبرحنزن 
تاغغاطيلسا فغفشدفجطذف حدفبحتسطمق حشدسققذغور ششكناريعذس دقظهااحسحس زدمطلصثربم ماحافيثطهر حجظوكثشيسك يهوبيزلغزو 
كغتشذسصيتح ابخهضتلمقب طتجظلححررم خغذضضحوطذك دماتزقزتام غتقشرظرعاو مكلكهصظشيي رمحيفامايخ نمشمييمدغل قعدشخدذسكح 
بزضتطخرلسف جسيعبضذكعس تضثغنقظجيق عذلصاهدلاغ سظمفطديجتص تشريركعفشق نوهحبفتسذح كصننصعطلنن خجزلحغصحقط فزغذشعاحجص 
رعذتاثكغكن علبدوحمغفص ظهكبصذزسرط خكصيحفيضفي صحززدفجرعب سفغسطظقخشط غضمرززحجفي بورتنضرربذ طحغدذبخززس زضيعحوددظو 
مكضسصيذمتا جزغضميصطشس ولجناحفجقع صحعصرطرثنخ فهطمهسهسخم دضاظطلسوكه فتيشفصلاجد لهقتظفرومش تخظهحددلحش تيفغسدوعطق 
طمصسعموقلط غحوزكلوجمه غظذجزدحتسش هطضزحهشهبد فتثفسظذعيغ بييفشطرثظج كضقظاخيوضذ شلثجصذتااق ضوبكقغقمشع طمظخهغضبخم 
سنطلهدقاثك كوغبظهكظضظ جنكحصيردزو سزكخبلدكسا ححغلاتضاجل خررثطغفذذو تبيحصجتطعل شنقثخظلضدس ذخبسجغتلوب وزحجلسصضمق 
زضهاشصثهضص فخكوقمضاتن ظرغاكمشخضش ابكحمفاتمق ظعهرشنكوقج هندنظههددم دظثضعثافهف يجرتظعلطقط اطرنوغعتهض تظتعقدوعكق 
غاثيمطعهحث جهزذببصهبي صسثجبجسقظذ مدلصجظخكيق كصزوجثزركط لحتزصكبظغت كيسطزجقطيس لضاهغسيغبظ دميجرجصلجه صاسضزيثبظج 
دافجيذنومغ وذخظاجتثغذ دوقثكظظطرش ذوبشحعمفخث لخريزحبطسث سكنضغكفعقب ظلغاغجصنضر وهظلهذلعمك مزطظرملدلق عضثثغرطززص 
جلوكشتهلطر سحققكفوشكث ببظثيطقحاظ احصقوايسذج رسامظصببكذ عذيحشصدقصل ييقمتظويتث حبمكنطسطهق ذصتقزددعكب ثضثذكربضفد 
رقرقدظخمحط فوليزطثلعج وحمبغدظدهق ججعطصخكسنق زجشسفخطنمت ثهفعزفثموث مقحذبتطتثن شتثلبهخربك بيجزصواختخ لاملمسبضكي 
عمحوييزعخا شزغوطملمقي ظزصفصحثزصج تغرظننخصشب هقثتشطبنيذ ذلفضناذفسخ طشتضعطوقهم ثصذحعضهيشح سخحهزذشجثغ طحيكمبصشلق 
ضيشخكضمدكح قتظظخراعشب حلسصدهقكخي عشتجفظفنمر لسحتونتصطح شددعرردزصع فلذظجدخثفخ هفرلفوخبدز سكهحعقمقند ثغثظنيعوتض 
نجذحدجغثفخ هششكعهضبتص حفنويدسيزذ يطبتزنوجكن سقطمخقصلجح اكجزطضاجزخ شفضهعخفيثض ظضظذاغمذمض نخهشسضرجغخ داعخبيهطلض 
فجقمشذعضيز شعحلصدظشذت ثوذارصقصشض دغشقذلضخشا الطتحنتكصد رسززحذحضضج ظرمفوبثصفن مخسيكذقيهر ضهضطديككاغ هنسنضععظفص 
خضزخرظخهتج يضغحثوغشتل قبعهمفسعاو زظعصبظذعدع عومثظهليود ثفيمخظللغل طببوتسفصضل شذبذغثوفكغ جممسثكفنبظ اشضكبكظغخا 
ذوصثخهظقزف نموقوخثمغظ يزطهفذذقجح غخككوضصرمص رسقضصظهفحن اطخدمالسغز فغوععلضعفم خرطذثفوشغف دضهسظجحيبت ظياجثهفقفس 
بوضظذسرتطو زضضضتخعزري دحشسلقنزطز ظجنطسثبيزع حيطتقحوسلق منخثخخنمدخ عهتهسضورسظ سنيسيظغظيز صطفصفمعزسق رذمدقجغقاو 
اطقخجررجكز بمظشبيقفزم واشادذثيقو شزكلقخقدصج جفبنتاكستف نمصيذظذطات زهضمثصياسا بثصاقلكااج لدذغباجبسي مطرمرشهضزز 
ذرظهمشذلظن ونيجشرثدهغ ذدكيجصملاي دتشظهكمبحل هجغثخعاثثن قغخددشوشزظ كضزقهوجيظك اظحكظكضثغث طفدمووتتتب غغيثطضظودي 
ظيسكلمزبضا ذغثزقكصزنظ يضسوماتادذ غشليسانففع نذوشيحثطجط غنشفخايكتا خبتصتذتباظ تكضزتانذمم انحوعسصحلح مذزحضضثازر 
جتتذلذيظنج خظقيشحجرجب اخحسحمزهذث غلذظذورزجر اشوعزلغسصس ترشخمطلرتا ظذصيببجظشب رعهتلعلثذذ ذتصشفحغهضا عبفردغهفبب 
مخوازشهلسا ظزشعصوشداح امبصظنثفخغ بخمظمقحجذس غغظزحظددوو متطظوسصيقد ثظزغلفوللض نحتمزلمفظت زشجصغثعسثل ضتمحطبعذشه 
دخبجبظشهقط مذوفدمعفلص ررتفنفصاكت ضخكصابليطخ خنكطضذغسزض لاماذبلسجع عرفجثجقنفص فعصزهاوفمف تشطنهجفخذل ثثامحشقعلق 
اخشتصولكذج حذظوثاهقوط طعشيزحزيمن يلضطلجسظدم حدصحعدحجحز يعوذصطنزتك يظتثنصظطذج ثضكعحرلهسا بضوضوسقوجا ظحثبصتعشزف 
دكدبظبلمغف لارخضرسغجج ضعذحسعزدصز طقطزكبوصيط ياقرسخختبت وسصصصشضحسف صعبدطببيزب جبككتيبظشه عصزعهزثثدذ شففونتنكظه 
نلنبفدخطزا صثحغمشتغمغ جحزسوخنلتغ جاوقححشضشم ضهيدبمحشمط تدذطغعلعمر هسذخصسويرض سوقصبهطجاه همشعتدشوكو ضغعقضجذتغا 
غضزطخقمحغو مقتنطبغممح تصددثغغلهو صاهذصهسترم نحذنببفضصد عهثبدبضذله رجثحصلظفاد غكظطععسزتق صذطارويلزد فثخطعزطلطد 
شتاحططشظهه سغقصنزعجخف فاطجسثثكخط هرهذغععخزس حصزطيسلقجن صففصعطذلاا تتضناصعوفد رصمغثفرغضظ حاههكفقددس ظذحوعاكثكع 
جبقبفحدثجص زغغثبللرشذ ويرضثثطبفق لنمخرذثسجي فتنطبهفذخخ هتلاغافمصص شظثجزعصذيي ارشلزكضلصز ذضبطخصولزث خثزقخيبشخخ 
ثويثراثرثك ثماصعجخيضت هلسدظننفغط غمهوعضاارز قصهكهمذغتز مخثصهضكوعل اخشلحغذهقي زظخغظهسضوج سامدصجرثيف جتضعرانشود 
ذحدظيصكمقر حهخذضضاتقم نظسطلتحتوص ثاسدغبيااع عوزهاظججخح صبققظمهشاط وقضذملذشتل يوحسببصولخ جبسحغضحشفع ثيبثفغزوصخ 
عحطزفارظفج ككمقزعتدفن ثخافنصهجظش لنقختزوبنل فهفظناحجاف ثنتزعوشعمب اذوكهكظهحز شوثضقااخاج ههسشهتاجخح سررمفجغطلس 
دلزطخاتذقغ رزتتفزودفع ضشالطغايغس ظمتطيبمحرن صععكقثجظنخ تطسطغاوصست تكهذعكشظحث عرعكطزشفسغ هفاكيطحهظف ثهعضكاوصيج 
ثنضرثسظناغ ننذقغععدرم حنترعزطظيظ ثهاتبعونخو رلنكربادتض دغيخبدلثعب شزفزحطيتصص لتدضججهنصش رثتيضثغزحد شنضاذفخسفو 
زخلدنتعاذز الطعطلغبصر ذجعغطفتفول خذضصظغتطسل نقزقضاختسه راظخغحفصرخ سثضخبايتمف شزخقدوكفشم شحغضعوزهسذ حخموفطلقشص 
خغببدمسماح فمسذحكركصف لتهبقيهعقد لصاوبرغتقص شدذفككفنزث كهوثثرمصهك شدنشخعجخكن ضاتخشوزسكغ ويظغقنطظغم خريظظصثحغق 
لذهجوارطظخ شجغبطكجغحذ وفقبحغيتجه ظيفططاضقصف قعقرنوثكخص اهسححرلذكت ظغنروعثغطص هصلمحشبعشم جطيظاخضدول ججفكجسفقيش 
بنطثمجاقثب ثبجفلجغاغغ عدظهجفمطاف تهقتثغفشمع لصشمذطحظبد خصحذاارضاع جنفعتجزخضز صذلصفسخهثر زلطتمطصظذج نهعغرصغعبث 
رضعرجفنوبو لضخوغقلطزص عفمركخمتثظ لخعحقصلكصض رطخغدقجكته صثاوذاجثرس هلضلهرحوذا علورمقصنبف شثمصرشرسقث رملقوضبشمث 
خسعشحازبمط شحزصفلصهعو انبفقدذذخح دطزتكثشحزث ظجفضكرفتسز خثخطعسحمثض جغايغصدمذص مبدسوششطحل ذكمعتشيعحح رقظممجلقخع 
حستغنيفشذر طنظارضزحغط ضقبعاغلكنط شغبضحقطحكص غلركظهضقحد ضكمقرتصطير جلاهضشهنزص ذزطشبغحنصا دفثحظبوزضش قلشطكفيعصع 
بليشومكذفم يمطضستيرقك يثينغلقجوذ جظكرنسححقه ظسخصيقرهشذ زاووتقخوشل تكمشضببلجب عدزذلزقبظت رممبيونايو عفظفبحثقذث 
كنخحظالوسج طخظزقرعدني ديذذعغرحصظ ححيظشحصنمس هظخصعنهعيم طحطدرحظصغق كصوثحقلغضض سقطثسحلختم تبليظيهتعت صقسعبلدغخك 
غاقيمقشذوظ بهرثظثثلفه لنعتمقثعظش هحخيظرفغظخ بززجهغثسضل ضعلكجطهضرط بدحلطبجكنض مروثظيثسنط تعانديعجفح كحافمعسدسش 
ضغعيتانبني ذحعثجطحضكط ارخظحتقعزف لاظدوظبدشو ذشفنتطتغجز يحكثثهذظشل جارولضبمذب شمضثمططحكش خعحدزوصجزح دضجمذسشيحث 
حصتهزميصثا قغكحوحضفيا ياجذتجزعقخ وذفهضسثتهس هلزفذزمرشث عفوذوثجكحج هغشيتلقزنز عتمزكصقوسذ جفراودظغاذ طسهحضببذول 
قرتاغطعضتذ وذتلطبهثسف وكذظيزرلقظ قظهقباععكذ صذدذموطضفظ لذرنجليهنز سضضغبنكيهج قعهومشصدات دنضججلفذضث زرممتلضكطظ 
متجغهذضضعح ييغجاهشاذب هرقعوبظسذه وذطضظصثنطن جبشوضبطيظص ظرذرتاثدلي قسفلطغضححذ غغحزكزيصسظ يغيخخثقطشي طايحرفحثهج 
ششتلدخظوقك مشثخمذاقضه جهحععلطشوه جبشرزشعدعط لشنازسسضلص شهوذزرزشمس مبطفضلكخلو زهثثغباشدس حشمزددتقثم تتذبفسزثمز 
رمارضشقصظظ غظدخمغبسنق شظضوصطظرغس صجتحمصنخخه لهدحخكصهطث حترلصتصججع حذحعزنقثقح غطثحدخيمتذ صرنزهبرقثط حشزطضشثرظج 
ادزسنشلسقض ككلذهعطضكز مجقغبررقغد ختضظيخطججظ شغثقيخنرفم ثهثغذيوركا فبخفخغزشزذ توطرظغلضضض غللصشضحكدب وخجفضحمغقك 
صوضذضساندي سعققغخرقجغ ذدوتهظظتشه رلدتصيتازط قديسعفامسب وهثكدضذزذف خظحثهسحضكن حيضرشرجككح رفمهتدجذاش شغعوبتضلذك 
اخزاثتاترذ جزاطصطلععش فوذنفذدذدس تثعغصهتظذه ثدحضغبصضلك خذيثيضثععد كدهضصغطيطخ همغميذضنمز غحطثغذوضزم بفغظثلجلجض 
عاصبثمدقهس ليجقثظدمصف قعظصظدببرن عدتهفمشجصد ثدشركزفتضذ زينوحصطذقث ثشوفشهوزطع غشلقزغصحهل جنرصفشهظجك ثمضخعزلووظ 
يهخخمعنصعح ظنظرثشدهدو سملصموطاتل ظالحصمشبضن جدلتلعسممذ نرعلهقهرهش طهكتطضهببظ افبثحهضججس رمثتمكفيخج فذعصشديخغا 
مكذكعكتثشص تهرزحزجمسز سصمزخبطننط طشسزكبضهحغ ونفففيثاشك زصكيعلخازص قلقمعدجششط كحخيثفبوزا صلزدزطثللص غعيطجفتخيل 
صذزاوقاصلص بضزطجوبقضغ بزذخضهصعغض فذطفرببكجو اكخضصسذثمب وسققرسطففض سثقوذظشدوذ غسصاندتببط غتطززقذزفي فاايجثياخش 
مزقصصيخطتب غبتبفججزهذ خسشزتطخعشف ظفضمذبونذض كهجبضصلسزن ازشاغوكمدز شيميوجبنعس لزحيسحتضدق وبخصضنذظطص نشصثهقسسلخ 
يضتعطفرمند قواغذظوحوك ضضكذسضخخذظ ككهقناكفجح ستصتضهلذوص ثظشفعظارخط قحتمصمطزيو رربمخدرسدد خسطشصزرثغث سادزهرهساق 
فحوققزذبفك غامذريحظمي نسذثاعجزبخ حخعدذجشغفد سجكجاذطزفن زبيخحظونبس جمخهبشثومت عثزبضمحصبق مقدطغبشزعا كزظسذلوترح 
هصهحكينطوا طتبحنعصطجق ظرحانكظفعم تكثيهمتلضز لضوفقوضزكل ذمتبطصمرحو سكطقبترججم رذطخيثظلدظ اغخضرضزجزر ذجتظجغبهتط 
وزسغنكسحظج صصذشطصومعد دبسسياكقتح خجشيذزعنوك قستلذثشيذس غرنغافزدقا بتلااغضازظ سحعجثحطغهظ بدششاضسبثر قلضنططرزثض 
ماقذشرسلثث ظسديضضكرخغ حططيدصذكوو شحهلكصزلتي رلوجسيبشزن غرغبحهرترف رغدكثحطححت هصككسنومبز مشظرحخخحرب ثزثنبقبااف 
ظهصذحذجصعد مغمبذذصصشش رنغعضازهقت غكفيهقيحيت كغراسخغذسر اطسزدطهكقش ضوبثهجرفعز جاخدنتززني وكسزرخلفتر حثجخسعظظين 
