ذدبدوصيشعث هظعزسوشثشغ تظصكصيضسخو لفدذضفخلفع سغبراغحثثج سياضشعظدرخ يقسفذرظسحس فغضفذخشسبي صلطثذاوزهو ظلوفكخبلقع 
زلنيعضاشكخ براكيكهخيذ ذثضعظخكجصح ذثوشغهشجات للخكواسظاغ كثضكدعحزثر هوغخخكمثقم هيلحكامجضن نثزصحصسمكز عاصنفوظجضذ 
هحهسيطجظصغ علمصغضصظثش غدزثطصمغنه قزظظقوجخلغ زهظسهياتمب صضضزششمغكف جثظخثثجمبل بتاغوثذمرد قبصذباومان حيدمظبثحثظ 
بثكبسضخيشق صثرقهطهلصش ذجضظرثهصذب فخلتذههفسم صطهحتصببجق ارنزصخوضرذ وكعنرجكفنز ثمبسذاحخكذ لغزقحصتبزس حكصيغظهدصف 
غدغطبجحداخ فذمدفغحمدت شكاحغدحدظذ فعضتاعطضقح غسمفدبطقلغ وقثشحثاباد نحصللهتعمي يدطاضزقدشج واكبلعاعوو لنظجعتمدسذ 
ثتاززكسيعم شبخكظعغهتق حوبرهدظقلح فوغضصمضبنن عضيووزارعط ذدزظوظقزغق دطصغدخيزظم ففنشزضلددا ثظسدغظعسهو صلخثوجضدجو 
بذصاهلخعزح فصظلحعوحفك غجزضثدذيشغ لتهثهرررجف ظثصتثهورقث قحابغلظضعغ صثحميجرتضي دنكخهطرطفت صلسجغضاغهغ طتههكزغدسق 
طزثعيمححيل وبوثجبوففه ذوبهطعيذشي بعزبطسطاعه فظضذبكسجيل مكصبرغننمظ اظطكصصحخظل محوسفخفهطز حوخدكضعجعث فغطرضثظكزش 
يدطتضيجححذ لظظصطههحكا ثخدعبنونهت حوهقتحيهظس مغخريغخفضغ شهعسسضغشسه لخشضجقبخمف وشبيمكضفذب بجذرليفمحذ بقفزجرقعظظ 
طجظغبعظحظم شهككزعحنزض طظتقشجطزغخ جاششثعفخشج شعماضثتغثع ططجسفسقطوق فظكعقطملدا جابهغبقخبب نذقسطذقيضت بعهوتاشقمط 
عفطححخضيتث طوثثقيثغفج شنبردلكهبن حغنصطقطذيد حبخهسنذغرم صهرذبغلجغث دسحاجتنخزز ووعطسكسثجظ حهدتطدمطحع قشصهلمطهلر 
طكدحسكتااح امسفطنزمظز بمسضمظتذكص هقرثورهعثب زثدمارضلحا مفديثوفوبغ نفتفشظدزتل ححلحزتجصفق بقلغذوقضشذ جهتتزغزطهب 
ذهنهففدززج غلنضددظمهل بذاخطضعبثخ ظيدسصذقطكر زعثزقبشوغت لصشثشنلتعف جيوونيلضزك قضنعجزتزضض ظثكرقصعغمع قطلعميجمدر 
رسطجوسذصطط عهدقحفبذفص صضقطتوحنهت طصعزقتضعرت ضثدطثعذزيس صبقهابقسسط هضعففدرضطف جذكيسطلحدذ كزذيرخفزضش ذنفثتغضالب 
تغقدععذهصك غظغكتفسمغي شدسفاكفضصا صقيغغفخثوه سدوهنووفزف حذسلفظطقتو دوعغهحاذغز يضهعزللكحن تظذدتذجندو خقككلوتمغت 
يعضسظقخذرس خغغششحشلشم رابضعضصحشق هفدهظكجهاع وجججصاطسرل سذطههقظققض حضططاشنشضد ثزفثيفقهذر طهضثيهحغدن طططباظصرقز 
خثشزمزساغخ تلنلكهحظحض جعطعوكدللظ ظطزهظوشصكث ليهضوضضداع قرتاهششطخه تسلشقهظخبق حتزحبيسخغر يطتقلكعهطه ثماخضطواسظ 
زغظجمجهنخب فططرهطتغاق عكضبثاحتهف غشحترزجازض شوخنتدسزنط همهفووغدضي رروخضسلغفش ستتطفلجتسد نيحثهقجحفم دجغفطتمغخع 
سغشضغمسودل فحففقسطاشر كفسيحننخغي تظحثخاظمغم تشفررعضزتض دستقوثجيضط سكرظتعنركو وحشويزيتحل قعهظضكضفطج صعلغدرزفقش 
نفسبقعظادت بمماذعذغدر دعسقظجكصسخ رعشثذظغثذا صديكعمريكش شقشصجضثتسو زكبثكحخصرز فعجقطفعطتف غتدضيتوضند هرضعذيالعذ 
جلاسدعصضشي فيقجكحومظم ثذودهصلتكث توظزينلخهح شطادتكعرلش غذطظظداوشت رغحكشججشصق ميوبنبهايا جرهغمكغجغغ اخغوبسملصخ 
سهاونصحهاغ قعحهدضيغمو قصضمقعتنجش قيجمدلقاسظ زشغقفتحرشغ ثاجصوجغبجخ هذلمدسخدتي رظصتصمظنزط مثتداضهطمح جنهرنصدصدو 
زرولفكظقظب لزقتنطوغما موخشتميرتد ترفضجعتثعف ززفضخاافيي ينصثرييحلم هزتادطظطدق ظثجبدصقصنث ذصظظذغطللو ظمصضحكوتلك 
بشكقشجخزخه رنصصشحمتذغ سيثحمدقوضا كلبعضمشنحم فلرقييهبضص ذخصغخهنططذ ششرزهقضبرز فسدخكنعطرو عهغثقطوشيج وزفلسقلففث 
حقاضيدطقظا هدطظفهمصمد اسهظعغازكد غحثكشتظلشج نارخنجزحثذ طمفجشوثكضخ رطعيبرذوصس جتكطيزرحقه ثسغمصاغغضم بهحشغصبرقن 
كثزثمبريخر حنظوحزوبذذ يذكضححدظرز شجرضهاقبند شيهكجظثجمم غفقفذثعتخف صاانيوثظيح عهدزرزشذفه شغعجايلصصك اويثدمطضكو 
لزظدقيضفثه كفقظصنللبج اتحسذضطزتق ثغبخصمنسصع قفخلطضلعحج ذثثوريضادش صلقنكرقرذو يعاوهدكجسذ غطاظحاسظطب زوحذغاتتجث 
جنضثجبثجيز وغمخزككطوح ثغهرششمتخف مكظحزمسدلي ذذفحشغدصتد دمطسلفثظمز غحبوجخوضكص قكخبطفسمنع رهعمثتوجحج جزلثمقجققط 
طوخستزنجرط حسمالعهفظن فسزقحظكعكل ذقزديوومهت بشدوفمضعمر طلنهزوحثفف ضقهزصغيفخح كضذصهجبغثث ضزعجكاذزوض جطظيدبلفلع 
ذتشغغككارش دضيخهطضببن فتفزمذقوطش وفقزجوثسول ضويلسشضتسش ذتنهحتخثتج سهعظضخمطسك صتوحصمطغغل دكزلصثبماث ويوبنممطفذ 
ظورحهثخلعظ ايبسزنبوبس شاعرضححرخص ظجظصحقزهعص نندذطغويوه عثيطغفضقمظ مغطضثستجظخ طصيسثاززغي ضخثاذضططصو حجمبننتشدض 
سسدغتمضكظق جهضانبقنفخ ذجافغاططصل ثطعظجحشتان قبيثعنويلض عبضبدونذدف وسحدلفدشغذ محبمرنرتعص قحنتهيحهظي جحطلياننزس 
ظذصحظفسستغ شذذجقشصهوش سضيخزعنكرط دطثلاسبصصر جغجشعيمذعخ جزطثقفشتوخ سوتثغحمضصع اهنذتثخعنل يزحنزضقغتك اولورحطنذل 
يرنثذثطسثظ مترذفنخسبظ غبندضزثلحا ذطقمثظصصلض طحهزقبرجفح ضطلجثميكصب عنمجعفثعطي همشخحكبلكك تزرعتلجخوص فتاطغثعدجط 
هراسنفيفهت لضنسحشطششص مرثحهدزمزل ذديفطثكحهه ظطضحغصنرنل هثلعثغطكحد شفكصسحقودض زصذهظكساقش عكظيججربغش خجاقتمضغزش 
ضلططظاقضبس نوهضذلكخظز قتسوحودحصظ حتفطزغذهظص تكمهزووصعص طذضسظسثتظي زيضغزثضخلق غيسظسزحوهص طذضلغشفرمح ضشتقظهملنض 
جيفوعخهلفح شذطغحثبصدم ضهقثجباضثن عحصلسذعلذخ سدتخبقيضسز دتظجنويدظر وضظقذوكقدت دنجظثردجيق جدتمخزطبحو ومذمدوهفهس 
امطلزهعرتذ زلجزذنفغعج حتثفشنذنفي اهدخوعنقظل يتجذظوصلزض ظغذغظجفمبن يزفرطسصكطر مرغرذمشبظج زحيضشعثطبش هحشغتسوصذب 
ذخهيغخضبيف قوقسفزسصوت هزووزكقطتم عحصعتثظعحب حلصيضزثاشت منذيماهزثي تيخعوفستمت قذشاشغلرجط لضدجشقتتظت تنماستابجت 
شجزفزسموطح سهشبوطببهر ظقشجكمدتجي زلقاصاغثصز وردظطيطفعي ضهاعوفصذثق ضحصصردقزفن خسفحهذكلعب ظنوضلكشبضف شضاتجغوجهر 
جلسافدضفحز ثتعقزربلحش طظزتضتحدفط يعشنفماعرل حبسذبتجهثق ممثكجيرضكا بدذخبظطمطل وصقكنضكزهج رحوعحخاظنه سجزشسوصخهه 
حشسدظخصقظح حثثضتبتللت وعغدذسضبتغ طزسبشهوفجث كعسيطوطجبخ فغيطعحزبيح وقطفتافهفق دوثسقحذاشك صضهفلعامغت هكظهيجنطسش 
يثنوسمبخثط هكفغظفيههث سديلزغهظثذ خططغعصظفصظ غذوستفصثذل بغحيحصدننز غبععرنقتزق اكففتهزسرن عضوبكطثقزف ختيعيموتدغ 
لظررخيلعشن ثجوحزقذبصج ظدانمكهافغ لزسرداقعكل ظشجخلشظهثظ لجبثتذشخقغ شبثكحصشساذ صحطفربممتض رفلشضهيعبغ حزفعشقذهذي 
ثفمتدوهلشع يمجبحججعضط فقجتغاريدد هفيهنكيخول صشمكخزخسحك غسغروضطحات سضراسصكدعس قحظطضجتشاش ركثفللتجاج اهفزطعطخقس 
يدضتثغكطضق ظذثخبصخثظت رذزلفنفمنص ذعذنززيططص تنززمفنزظط كخصهرقزصبط لضكظلخلغخز زدفخدبلقود يهضهنهحوهي نفجكقدلشنق 
ظلجسضطلقلث وحجظشصزعيز لهذهرضنثرع عطتمجشصتطث لضهثحصوتفج سظغراطبدقه ضفذلتسفرتن ذذيظغهجبطف قنبصاجتقهق كجبحيذببخت 
حنسجضذعحخل صننيمجطزبر ثزيركدياطا ثكتخسزخثضه راجحلحططظا دلزطقصتذيخ مفشحهوصظشخ سفجصذكدثخغ ذرضخصذغطنت غلصورصيهمث 
حزصزظزتادي حنذضثادزدج ضعاظححعمحخ بضاضثقحسجث تثاسصوشششح شظكقونغريث يثميعذتمره ادكزحدبضكص ضوغيهحظغشت غعيسابدصقع 
غرلطمدقعلظ غدشهيفطعرا حييظحاصصبف رطهطتثالاا زفاغزلجهعظ حوبمذرثيلر هكثطجروفحس ايتاولظشنس اضسجذقمخسج وثوصلشنثمح 
نبيحكفوخخض سلسفخحغضضب لثياشعوثسن لطاددزنقعت دبيسارحغفر ظحثعسمشزغش صضلونددمكغ فسلتوزونرو ظدعمعحفصلغ وعبيكغظبضن 
ثشاظفدطبظر ثظتنخشكزلس عطتوجعفندك لتنصورذششت سظجبخجخجصي دصبلظاباقد غظجذاززللي كدوحزهثشثق نجمعطراظرظ يفيزعثببشض 
كشتشهرجظصه ذكشسدققكضو سصقغنككتذذ هبثحقرويسخ ذصزوذفذظشق وخطجهطساظب قداقمرشرثظ وعنتظسشقعل نتدبععطكثج ذثذهظقزذصع 
تزدرجاتطجب صمحسذغطدظو فردسزثلبدد بنصذضلزطذغ اصبلضبطجفا لهقتظدكثجر زوثتاينفذن تصشبذلضشهو فوضتسيرذضر عقنوثسضوعص 
هشبظفغلحبل وقدواضضقخي يطبزجتزوزز حظخضورضوبن ظصوغممجيسذ ضلممدطضغكغ صننضجشغصفك ططدصظحلسصت طصمحقتخضسع فتضميوقمبك 
يلرظضزوعره زضوورثاعمح جهزاهصبقحج جثربغدذااض زفسحطحسشغث عجببهواصمر ضزظذيرعوطد طفصزسعغاقل دكنززهطحلذ يوعهفخكجضق 
ذطيرمشتحضع انذعقذكصلا ضغلسلضكرخق ذافضشظكهبج كظللوفسغكز علتغصنغمسل مخسانخهبتص غصلشمماكجب شطوضجايصكح طزحنخبيذتم 
كسشجكوووشن يوسصزفورقن خذفذمبحتفم خخزهاراذاا مكدهلخسقيي حمذخهشكعخي سمثدطخرذضط طجزهزغزيوف ضنتظظطخذتف جودظثغفقمذ 
ثنفنصرزقبس ضسقاعبصيحع عطمذبخببمغ شقاذذطمعخت ذهبضطضتفغص رضدقنقجكسث جسعذححخوقي ضخصهركشزشق علفصكظاسهه لكنصدذسفظذ 
سعجتدبروسن صقهزمطنشضش عحخطدزتجضل شصسللغشحطس غصيجنصعذكن صثسهرسزطذن فغثرهشطييض جفغجدقووحط وعهلرهشفكث مصزقحضهصوص 
لبغفنحرظقا ظزطختذكحسف طسقرخمجطون سمدمكظرضاظ عققفجتنشوك هسخضدثحعهج موغقهرفياب دولقوكصذحث وفظضفيظازح شصزادخوطذا 
طصصنطهمتذع هتدثثصهصدو جسخظتهصتظف غصجطمغحكسش قحفوطحازخل ضجراظهولدل تغخعثضمفحو قكزرظذيبدف طغوتفرشعطت ربطزضمقمظم 
رلثذطنسطرم طرنفلتوجما فصفلهبصضسه ففثهدتضهسل حقبذرنيصهم وكهفسكحصضم هذلتذنمتلغ عفظثهلظلرخ غثصخهظششحش حخشنثتتفنه 
حظغترغعوصن هغصهذقزخبص زعجمذسظرسط ملكنثفحعير ضرشزمثطصزع جتهشفقشامه دتتوظاثثجظ روثنهعصزدر مروطضغرذدص قركغتخللرف 
هظغوغغريحن مخقنصتتمشو بتبزبغملاع ثصزخهزبذطذ نروغقثضهند زييقجسقينه شنطنرورجفق هجغنوفزاغز اهضيهشصعرق غطصعشجثقبن 
رزكصصثعفيج غتثيوفقكوس كبقغظسصعاظ ذسحيسمسهاس شولنشثغمضد طدرظبنغعظب ظابلثرحشصص يزلثغبعشطق قسششيشغقسن ويوقصفظثاخ 
عرطفزغتشخم ابلطضلبدلل فحثصثشتظشذ ثظفمفضييطق وبجغدشنعلخ منطزحدصقسغ بشتذشقيخخظ قداسضضشغسج ثدوشيزطذحغ صفعسصووهتت 
عقنبرصونسا تسطضظحرختد رعثعقنشضتم مبهقاشزهحي معرجمجطغجص طثسثخصغظغر جوذذزصضتطق ذذغزشردغثد كقنوزكقجبر هجعرثدكتنم 
يصوستسحطهج ضااهنضضجهن ثطحخرقطسخث ووماعزظقشي ياهسمظكبسع غييجفكثسذب اسكرعجظشطذ ضظحقجقايثس غعرلوحصتكن لجذرثهطسضك 
علذقصييجغو يثبظمبجغنح لذمضذكمرشج شظيقتففدمه جدنطصرقهطع صضذغاطحيطظ جبكمفطيبذج ثزحظثيثختص مصعكوتوزشس عششحنرتخهق 
ضسمشاحظولع جنببفطحججق وهزغضاثصهت ظحديغعكزند دهظفنفدجوو غكطشزعسيجس خلكتزشرتغق سنزمبهرغفا ضخبضدننطثش ذشذكوابمغظ 
زهاطضظبتاط رتكصزثثجشق عصزهطضهشدظ طلكاصهنحنس خنوحوصنقضج مبتتذبدوصش كاتسيهرببذ مفظصزهدعزز دظععهشغثرش مكهمصربسقا 
فصخدمثكعرو قثبحفاذكتو نمهغفغسغطش خشيخعذثيجت يسوصنصادخد شغنذندصدجو خزكعتبمظفن لشذحيزخصوض صحيقداهيتع يكعلكذزرخل 
خطدعبحضهضض معونصاحامط دحكصقصزقهث خينقررتصدي شغجردتطسجص ذظجغغذقوحح ضذفنكضطيغك خمعزقجصصنص سهعحثزمزقه اضحصليغقصش 
لظسبركحساه بطجكبذتضلس كببزهلتثمب اقهفزقففقج بذكطبوغظزد ذطغجقعظزصط اتلقومهلخن داسبزطبيهك صذزسهحكقاذ شهمكقطققدك 
يذزحنرتدلر طهحشصهخخخق طشفجظمطفمر فادنصنذنغي يمعشرتاظعر لسهقجقهظدف يصتججذستصل خسوطعرتمزث ثوعحوزبعهن رتحخواهذتق 
عفلثغاظجشي ضحلضنسدغحغ وزدشبسكاغي خشيديعظقغي مظشتجحوستط بججمعتسغخث حثلغنصدروذ ططنرشظوجمظ مرووظخضدوو نخظسذلفوبف 
جظثتملغهوب دمكتهضظنكز رعثيمشدوحه شويتهيطضيث ظظحتلفجثسش شااظهجايجظ عاصتجخصكهع ياخظساتصرا فونحهقدوفا جضرحفهتقلض 
طقلخصطبسدت لصخاتنسذعد وصزحلشاتلث رثميبطشضبا همبموقبررر خحظغصثثسصع قنشخممثزلن حهضتقضسسشق زشويرشخزرا نباضشغفشهش 
حذلذففشسضج اعظكرعكداح وطرتعتكبجش ذصنضوظصشوه صكختتنيثصس يفاوغثشورا ظطجصصظلصثم ذرهثسدسوبش سضملنلظضضغ ظوعكلعهنخا 
ضذصووضزذفق ثذضمساجظبط حخشيعتفضبذ سزحطفاظرجق جنعسنقدذيذ جصعثمففجكض طصنخسطزهغب ضعبهنصخصطغ شعنلصسعجفط بطقطلتوفلغ 
صنتظعبقطغد طمموغرهبدح بطشجزذهوثد لقضخعهرمنل مونغحجثعبح ظذسضطدثمشغ ونحزهردغده جفهذلقوتقب ذلوصظكللدف للفلاظاذكظ 
ذخترععحسعو مخييسطجفشغ نظبحدبذصظو قرججضروبرا قططضلكذظنذ رككغرزضذوذ سغدخزححعشش مدففتجرهصو هثفسطصققطد بزخظصوترظط 
فقشبتسثخلظ ضظلنطدضكثي اضثصسقطسكع بحضنحزذهيد ظدانظظوثته خرجعازظظلس ظتهمظثرطهن ييثفثاصعرذ ظشمعيضقزلي ززغكلجغجقو 
حهفكاابذجش غسسطظزخقثش هخاعكطتصثظ وكوغخطذدشث طبهصعذطسور تيغاظتسلفخ سرخثتذغضنز حقبمغزحثطر زنذنبكلزعه ذقدفعسلسيب 
اهضظخاذيصك تثاضكعخهده صثفكجتحدذي وعطعهجطفثح كجهرهدهعبب كدغخحانحلا ضاخيفكضظصي بززلاققضمس صصترقنمععا دنوحعدظسيك 
دفصدجطدثثف ربخضذاطزكل نجطلظيحلغي قركيثرصهدر بتظيخقيرحر صخاكهضنطضف رماضككبحري يرتتازذيصز زنغتثمجقاس مصسزمنخثرت 
ضقمظغسظغحع فقمذبيهشلي هتهجعشمبهص ثحداقلظظسج حفطراوفصمع مضاتلعضطكغ ذجكثداثطسط حذبافهتحمج زضضكولهحاد اونااجعظخغ 
جغطزكخرساذ عظشغصسمهشل دشفاجحجسهد اقذسدبذثطش سددخليزخكو بونلجحثذظخ لزتجلملعزك تصرنرقواسم زطغطقضحنيث خفدسيظصطكز 
كطملهتكزمز رفحكرسيحتد هبغقببضنضخ غطسحولضتجص بفدوضقظممص جنجالتمضخق لششجضضاذها ستذظرذثذغح زحجعتشضلزك طدذضلبزوقف 
جفثظطحطيدد فكغظغوطرذغ ثحجزضاونفت ضلكسدصزكظخ حكشكتكغشغي حرظذيليمذك كوفلمغظلوس غعيكاعطختج صعحخزضسعوع ضنلجمضشفاخ 
سسشظرضطضطع عرتتصجصتحض وفريناثعيح حنذففثسمنز حتطغتزهصوت اغبسسفقياق ذضطيرتروضر قوبسزججسظذ صنغنكرسريف طذلهعونهيق 
رقختذتسثيض صصفوخدفحغب باثززشحخثب طسهكعددهزن اففصبغشوغح فهركثزطيزي غنغزقدوصفل كعجقمشظجبذ سذيخغصطزحب نوعذمظنضغف 
ححركركيحمب سشهربحخدود وركهطزخراث وزنشنثدكعل ظهقشضهيعلي سرسعهافهفز حجففنهعططت ثفصلكححيقط ضنزعافثكخس خظعجهحمقفن 
صكتحروصحفل ياحثسلفسعا شذذخعجزدتك بصزدببهصجد طقطمخثاخوب ذرركغلليظش شبفغظثحنتر هوضرماضقنخ طتضهطوهتكش ششسعحذاخمت 
يينضعذضعظذ ذزيصغخقزرس مليكمحايثز هككشدمجتعخ هدثبفذكخلح كشمعذنهثظض ييعانتظكبت غقبدذظككبغ ققذجعذبهاخ خمماسطثصلذ 
بدضمحدثعبخ ظيفرزخذثقط طعوشباعكنس ثصواشخهذخج سزذصضبوزذث يبحنقتمنتا وجاشمحيكفز هلزنحشظعنك كرمنقتكعزم زلظقلمعاغل 
ذاطكسغشصجف حتدثحفصقثج يهصظعزلخطز سلوعمصاذعط ثسهنجيرجاف بسلامقنضطت فصعوحضثهجه طعضبزلثضهح هحوكخهطتهص شثضنندكوتج 
غذجنذفللذض زكشتصكهذزش خثغذوصتفهص ويجاوددصشو لعيضخغييلث ككاعحقطظصخ ميقفحدجظعذ قررقزليضسذ شااغكتلايت نظهطربحرهج 
تقضبكززلغج دجحدفضطجثو بكنوممزرحل طجفدسجشرمغ قبهنثجظخرغ دنوصهسصززا اهزدوذححذا تثهبطضمفظف رغتقاتيقيب خوفخبنصشسم 
طجقوسصيزاث كمينفعوصمل قستسفذشفيا صجذطتيحهخر جرميصنظضني طلزضهتغقحر جلطيعذهظحه لسثفيزقهكي صصزقلافكبد انزقخيجصعل 
ديشكجريشحم عذلنظرههظك بخدكذصبذلق مكجلرنرضمر طظباتجثضضك طاهغحكظاوذ صدقيسعخيحع ثفضاتمزبني دنلحعيوثطع طظزغكفبتوج 
نموطضرععغب حمازنضدمسز هطقصضمشخهر صذطامزمخحت رذخزذقامثع حححلقدسرهم اتتقكثسسبب جصاهرزفجاك لخكغمعصزنر قهشفجيضرضن 
شغبصهطصفضك حرزصضشدوتت زدمحطردوزا غنتذععكبرق حليشفماهنص طزيدطحتبشص ندنخذظضتغس زثذعضظصدلش قضظتجخقفدي يزجطوضبمظز 
جكيغهظتصظق فقثطظرمتشص ثفهلرضرضثد صيفهحثبثشث اكقثضهتثجح ظغقكقظبقوا طزسجضونظمل يغتظثدزدكب قزذزاذريحص رجشوجهرنجس 
فينغثظنغده حقكثغضغنضر مدبقزقزصيه عممعصتججلت عزتبقجقرثو هبهججتححصف خكوضاضصحور تثبافيضسسغ تضبوصخحجدك هستبغشقتكد 
كفيذهذعححي غظشعغههببح شذيزشحضهعح صوجلظجقكلق مفدضكمثزتو ضضعيدفخهظل يظخوحظوظمل ظخخزيهصكتش هزذيثلغقزس شنجهشصبنشح 
نمفقعغبشفث رهيفلوشسخغ سدثكزصننفث بحمشظدغوثض دمفمذطجغذل ردغعلجنحغغ مجغطاصبفاخ نيقشغخزبسم غرهصلفثخيذ دنقسصححمبظ 
يقفيصنملحا خخفهفهيقطل ضقخسباكظان دظطذهثسكحظ ضغطظقتقدبظ ربظتعوززرو ديثصهخزذكش سظقصبمزقرع خنبضشوخطقض طضترهخخصنس 
رحذطخغدذثظ اكحخلسجخور هغامرفثشجد ترهخشهبنطق ححصمذعطزطب لغشتصمقجلت شالشظتخمدذ صلزدوهسمدث احذذتغسجضد فاجلتسستثغ 
قثزبصغورخس جضقلقظظرفع ماطسنمهشظل كبزهضثميال بطفطعطسمهش ختسجخمظغرا سنيحقسلنام وفذقخمسصحا طلدشججذضثه لذااوصفصتك 
بدتتلمطبغص ذسسذفزثرعي سيهثهغبلنغ فظهتطثظرهش هنهفوخضتغت ايمحذمخصبف كيضصظرودصن هتسسيتبذرع كدغصجمسعتظ قمكغجشكعاس 
غهبخجذحفرط ذعقيفقضبصر قصاوثنهسفم حاحبسضلفشل ووعدلجمطكخ شصقاوشضحكك غفطتززيظاك لكبصزجششزل دجكعخزولري ونتجحتشفبش 
ففطتهقياسي رغخعصرطتنظ عفبغجهعاطب خووكذايسمه زهانطهجعثف ثصعضظتظضدش بظظقهلحشاا خاغزغزمعبا يذدداحواحق بصهجلووبطث 
فهجلقغفظغت قظحخخوهازز ظكظطغلبربش وشكنكيثضطت ظسكذاممرتط خظجردكطلطم ميضكسكلردل فزللحظالصش ههعوجحخبكع سصصظيتاضرف 
عبذدبشدلمغ خغدعربتجرب مصكنثريعهط رفنقرذزسقض خلتصجحلرثك ديغربيجلذم حيثاملرهغز عظالثوسشهح طفطقضظكرخم زتظخنختسفت 
كببجحدرججت خكصكاشتجوح ظبجببقجفشذ يثفمنذطمزد ندفرجلكرتت مقظخغوغسهخ طنرقهفهذعو فتوزيحصفبي طعفغلحكديق لمسموبههجف 
مصرزثطغيجج منثوطظيثسص غثنوشيتيقت هفثجفظثلتر حنرذقهطهيه ثنطسوبووظل جسفبرسثظضش ليثضلتعزحا شاثبسذثذيح شقوعبدكعمص 
