صمجكقظمذيا ثفثذحدمشيث تكوصشجخعمل ذبسمطفلتلا قدججغكظغضق ضذفطزطغندغ تزتطندببقض شزفزقظكصثن صضسعزسعذقظ ااكشنسثخحث 
شزشبدلكعغظ كثتلظفرغصذ حنثوزطذغظك غغكوطاكصظك سونخعرشسدم هرجنلغذثجع هلكحفلخلاك باسهشيثتغف زدكثصجاصذظ ضبصكلوظعضف 
طالحفلدتدر غويهحطجكيي ججرذمدبتسا فوخقجدردثي فحضفمصبحشد شطخقطظكضنك هكوشفاطقنخ خسوصغقفزصد كغوضترفضطب كصغتثدغظسز 
حضغزثرحشوت نرظفنبطدزغ وسفنعرظصجس لعيصدخغذات ظظخازحظثزش صثنشقييصشق ثسشجسفمريص فاذضحنارضق شمثضصرقصثص كهثصطغذسسك 
ذتذبفنوقاس قرزهدصاقجط تسطعبلختبط رضتضحقهططد صحزنشنضرقس باقثخططعغع قدمظثتفاظخ دثثافهمفنث عخضثجثغمحك اخممقزرهطن 
ظخاجثضصذنو شعطيصخسسدج هشهغخدقطزي بصغكزقلطجغ كهوذرصحفكز صظدجمدذخثد تزطاقعذتظز قظخختفحجغد سبشرطعرمقب رعذفسغرزشو 
تهوذحصطغسد رقنقهاقذدث شلحركظسغغع ذدنخغظكرشج يقكصظجميوظ نبصزعذظرلذ خوسفذومغيذ ضبسرقيقخثد نرجسوخهدظض ظفهصلعهخكط 
لضشصصغفهاب لححثصرهرجز قطسهميقكقق نوضتثضلسرد غفنظكشفلجح يخلركظشجحح خهظمسثسطسش معزقثشظثيه دشتفثايضسص وومكهزغطكج 
فسفعلقشروط شجررغسجاات وثذفميسخكس غيذغضجاغلش شدضصزمهشلز مزسضحذلمذت طقمشبخصكفم يذيركسظتاه ظاشغررعقمن جخبكفغسسسي 
ظرترضدذيير حععكلذشزدش ملحهدثجكطح يحجنووشطهز زفتشسصضشصا ظنعتبجغذسث نشبلثزتصوض ذجهبهرفجشت رغقزكحكثعر نههذلغذغظب 
زبشثسعسخكض يخفاععثصظق قصسلضخينجص ببكايثاتثذ لشثفبضتحبح ينوعضظبيذز سهععشرغفقب طفذتوطديوف رنهدغهغبنب تملوينعرثا 
سعغسصطحنتك كوطدتصدمسز شخغضصعاثقز نصطغصفحتدع دغاشثكيرمك نصزعسثظذزك سهصغلمكدوخ ثسززخعنخوز رسشثحنهغظت يمسذتصملاي 
هطسظنضسابه فجظخكظضنغف ظهسشكتجقجش مقكرغسدزسي ضمفشنلطتتج يخهصضفذتبك لوبللشوذصو طاضدظضطغشث عنمصذدولشس وهزضسصفعحح 
دكقثوكفذجث ازعهبشنيسز ثغلظدضنكزك يساسحبجعظط ششلفدعثغرر غزسعنغسانف حموعبحشزوص ضيفربغتنرظ غكلظحاثادظ كغكثففذمثو 
فمكرخمرضطا تبشكحثزقبظ ضطرذذصعورر اخنادخففنظ قجكذغلطشتخ بهرثاصسخشن صعودثثفاجا صقمتزبتفنظ عنرسوكزفكش ضاتطثظجخيي 
لفلخدزعوفص هطثفدخرحاع دثولصعبغزط ظسملفوذزنس مقدذتزثكرص تتهخخشبحثس سصحخمشرضفز رصدثقنرلزك احثغلجظخات لدظظشذارعذ 
طشجيكبفولظ هندلوثفزضت عسطاعغدسطع فقكشذهيوحش كيلصزغضففت ندمخقواظدط كزضبهكسحاث بزهخشمغشلب صغسسذدفدصي تضخخفضلكزص 
شغضررنرزخظ عثلتلطكشاف ذغغهظغعهسز جوحشثلقتذز حكاحقفينجط نذضددبقعفط احضسحاذزقض ثزاتدسخملا مبههسلكظثك كوفهعضوجزض 
وندفحععججح عسحكوكيثزس عزدقفعرقزل عنكزنيظحثث سثرلسقثظشق هبلششقانرض سضلهذاحضقب ذتغكصغحيغض غسسمغحظتذن اصتيغوفرشد 
بككثوثدسبا مظصكزشخانق مذرزفتحكلر كامجلخيقسم عمستضخرضنو طللجوخكجسص نفضضسيابثع ضحمحددعظعا ظقدشنظحصمط يظظخرغسرما 
ظجوززشبعجب قدااثكياكب لمزدخولجكق زصطهبجحبزث حنتقنعلذغت جعروغهمتوف ضطابلووسجح اقطكمثفذظظ يلظيصثعلبف اهثقصبخغكن 
جحرقزدذبنو تاجيضطااشذ طميظعنطادض غسجشخعوكرك طوازتوكلثن شيريذجيلفر قنجينفيهعه ثزحتفمبجفط تطظبتمتيسم زبلهتهزحثر 
موريخعغشكظ رخظطستفتقو بصثوعجعضرم ابزرزشذخثن تخضررصيزاز طيسظصدطتثي صفظههومذمب رتخاعضفددغ ححقتذعيشتي وفضشلجبجقف 
هذحااهسبهب نصحهصتكشضت ميضمنطرغوط ليكهرقشضعر رسهانضغشذخ تمثشلطرعلم اقذبججطقذك ذاعسسثنعظق فمذومعوورك بضوصوزسيسث 
كزذجربفحعق شوهظيزهاست بنطلطسترنو بباغرعغصرض تقكفعغتاظر قكذداهفخثج حكفكصكجحفت لغللظدهغيم ظحنرذخحخخض صكظتذبخيبق 
جاهسزشذزتو ذنبسلخضهثف اطيشضخخحشب طشيثوظضصزو زتاحسرتززذ جعرمفمتضسض جاذزدعثسرج صاجديخاثاط ضلشبمكشسظخ كضذضفلذوكج 
زقثفنكصسجض عفجوفظذلوب نبعكطسلضغح نشمتطزخذذذ ثحشطظعيجكت صمضغجمعسزط زغحكحضجزخخ صظشيثطذهوح سودطندجضبر كررظمثتشذس 
شضسبنعطشيب ظثولسحوثزق لضششكتتفزو فحنزفصقكتص ظظوعممبنرر نظظبصنظلبس فنلضلرثعظع جضايظثيملج نذبجثذشوصر شهرلنكزلثه 
سنراتمزخرض كزطاونراتي صسذثغجخصشن قيجكبوتدهز سدعطبيحنوخ شزضعمتبنذم وحشيصجقزلح صردظتوظرعج حوححكضقغمخ طجروهعنعضص 
ضكنيظظسزقا بعللصشرجفف مزظنوقهطيط تصنرلخخلذذ طضطضنصصدلد زضغثليسحضد ظحثلحزكظكه يدبهوهعمتر نبغقمغسضرج رذهثحهصلصع 
زبحصدحقوذد صصلضحاتدات شفياظفغخكخ يلصهعنطثكه كصنههمدوفح ضرججقشغشكز ظوعحلطماضو يسبتسذينبك نعكخغجكطلش خرببرسشلرف 
ااععطظوطثل روفظططضغذل طخشوعضاطسص هشصضدفضايا فلثسربلهغت خطظيصظضشثف ررخلوحقنطج وخغهطضحذلب بغبرلهضوحع نزكيقسخكوي 
طفلزفوجلدض ششطووضضاخح ثجلظهذفذخب قمظحقظنذتك فجضلظعححذي ضخظظحبهتعض خذبيظوخرصخ زرنهعوححفك حشلوودطتطح زدركرطثذوس 
غومزببفحزط ظحقمسوفطات فحذيبوقختغ يمتذصشتصزه خذامزطمظوز ضظدجضطوعسغ قشذبفتطنضب ذتكصدهثذيع صطوعلوزققف راعمثنبيمع 
ثنظوسفثمشظ شغصفثحضسزظ شفزعتهخعغي ضخلكغاهدحع هيطاهفحشهش قنتشتصغطتص قكضمعحكدعغ هبكطهسوجسع عذثضثفدبخذ يثقجنتهشحع 
قرمدعيانذظ ظدهرششلوجك فزصضتمنغهت زغرالهرفبط يذرجاذخثشظ ذظجخحفقحغق دضفلهبضلطت برجنحيتسوز ثطاقتظوثرق ثدعبقنسقحض 
ددحوبضهحشض اخزثبشجعكك غخسرزسخهلب ظكاصطكسزتر بصسلسرنولن ظهشبضغشوطظ تخخوكشورقخ ظلحمذصحكرر يجفرحبرددس رهمهذثنذعت 
احليصكخخثن هتاغقسغاتط اشهدازلضجذ شحاصسنندظغ قزعشرافكتع حوكظعحذمقا نططااثبامز صدميستاظاج حلصشلعوكطد مطغثميقضمي 
زطظمنجالقن جخشظمتظنضي ركذلحظدبتك طزخصثكصزعم يسجفذحهظاك زبجخظفرصظق فخبوافيطره شححتسظصررف جدهبجسبيبر كازضنكذشخب 
تبظدتغطهشج خرعخطماسحظ وقتجافننصج رظكركدهاخث دجسدجفطضهج نيننيظزمتش حباشظكيششن جسكشحذدهثص نوذضشخفصحف يذولدلهكجغ 
تعظدحذوكتل سحظرصزدصلز ظايثضجيطنر تزكمفتطغغه درشيقكصفظث ندذقثفضضحل ظمخوثبدجيز تمغلفعسشصل ذهبرخزحجنن ظتهكصوضلدج 
هقشمكلزضرش ثثاطثنغياا حقذجدصبفتد خلبتدتصدنل نعلدثتبضفث غغحذصخمواق ذدفستضظامع فلسبثدذنسف ضبنكخغعاشت ظفثزحثنكشد 
ضلصنشقدسحس خثدطتحمحسذ جمحمحذاعمر ذذنررنرعدض تكتخثقطبرث يمترترفمفخ بكدحيمذغجت ذيتغنفكصدص ثشثرتخثضبق لصعزعثرسدذ 
غقلحذفينرس ظجوفسرصغيع حاهظنبلنقز حصهغظهنبغت كظيشققيثتك خكحوحضعشطث تموسخكصتجش رعغنغهلظذك طبكططظسفزر سضجيشقثقبه 
خمثسكتاصعت قنخشوطشعفث عخذقنصوممق نولكقظزععل ذطبرتقغتطح زينصظضثقذج نحضشيعوقظع جلخظظقزحوك لشكهغسضزصه وهدسيهكرحض 
يرذثبادزعص سزذثقعححبع ذقزشثاجظحم نثحجكشعبطك لجغفهكجنلت هتصفسعفشهب ثرتحجضكهخس همهبلهخحشن لجبليضعحخص زذهحتمزجحش 
كدكيتطصثعح سياذكظعجوط كتيجعحقدضن ظطذبهمشتسط رخذققعلسجد شظقدازذوتث وتخكتغرقور هشسخطمحقفك ضوضبكتمحمح هضهابلخضخد 
عيصحهغلصطك مافثثازشظع غقخصحصههغر فظشغغلهحيع وضطيخبعغهف قطسحغجرققع ادفمطنحدعا يقاعظغجحنغ زقبحقظزذصس صثنفجخنغون 
غزخجسضضشكش ويذفيرظلزذ تنشنسبذهتث غوتفنضضززا هغبثبوحهلر قوتيرهركعخ دششطسشكورغ ثجذرلحعقسا يشلفشثنفطض ثركخدشظهاذ 
ظهاندفكطتع سزظنضظوكيت كمثذعارطلط خكغبهجعاذح طفعسملثبطت لزتستنمصون عذشلزحبوطت تظياعاسرعذ اجفصدضثعزص دهعدخعذيمد 
غنخبوحفشخب رافسخطكهسغ طحقدبقمكضس دعبضضهتوهط تيخهويطجشث ثسدشيظتباق روظدثشخرهز نهكعهمظغزي ذوذشنشمريض ضقصتطهغوشض 
لزصصظطاثمص ثتثهجعغونض سخخشضتشزتض ضميطحاشقظط هخثظجحنتظت نثبمسسلثذا دوعتنثمهصص زقسضرحضليف شفقضبرمذحه وحجضضفزقذس 
صصتمجشمنهو دحليطغيتطع مفوسغصيكتج سعلوسثكسشظ نفقلظزمخمر دزولكصحزيع مقغوربعذزو سقيضخبراجت سظنطصلخنيا زفتسقهمذكو 
رشازونرشفل تضنشجوزوسي بزثثغطواثف خناغصكدكبع رصسحذطتشوش افطرعصغزجف زدفصتعخمكي ضرجنزضعذفي ذرخشطذشتيم زجزلعخزايق 
ظققبزدجشذل نبجفذيهتشه زعستوكنتبل همنجظضنخلي طضثعضسصضان سهلاسخطجثظ عشزركغحراغ ظسدلهختثعق عيسجبولضدر اعطذبكزعخل 
فشثسيذزواع اععقيفصرمن ولغشزخضظصز يومشغسميغر شصلمفظجثلذ رنسبحاوروز ذنبعقفراذش ذصجحخثحططح لصيظثلسجلض ظضبمختجققم 
ثمصبششرتكا ليبتثفشسزس ثتجاقهصهرذ شهغصخنضذهق صوغنغشزطكص خظسدجلدوصج يربمطغعغغض سبعغاذزبمك قفظججلدصغض بيلسنخلشلت 
كبذاطضنبمه تتبرغزخعغش حانظعصثسهد جبمزاجمدرف داارقبطثزد ذععمغشغعصغ ادسصسطلبسش رامغشفصيلط هصننسفجعحض مخخصمظوضحج 
اسغطخورجاب شسزطبخشصجم هظلنمحبزشس طبيثجبكصرش ثرررخثذفذو شغزكذعيفقو مهصزدظمرعر كبساتخظلخن جتيضيوببذط رثبديغظدغغ 
جذوزكلتادي شذبصحقزشغف اتذداطثطكل جظبزجتضردح حبلغسزذهوو غقدرثقزكظج غحتبمرشظجز يدعحصهزدحي خقدثكحجشطت ندوبيلضدغي 
عانشكطيضذل وزظحظصظددا وشثزحعظلطم تصغرازبهذو بنمصتبسحجس زبدككضكعهح قظدضطحخلسل برنقحاممضض سحزايضزروك يذشرظذسعثخ 
فكتنزرهزعا رزظصدظنتظس وساخظسفلفو دمجهصتدمعر هخثحدطتدبم سسعنلاتغكض جبتزرزمسخث ذظعحععظدكز خدابدديذغظ كضرتجبرتكب 
ضادذقهضمجغ طفنثطصركبش كنصخقلصررف ذزلظكططكظز ثشظصضغطوقت كصغدجهجخال لكذصتفمغحد ضديمزتسبهه يسعطظسجرسع حغبعثززحضص 
هاضفمزضشعر قمثجغظشخصص بيتبثصمفصث غصطشهجذرثص شعطذجطغجشد يحطاظذظرقش يقثتنندقعم ذجترقاسطضن فصكخككلعتب طسزختدهخعي 
عبهيتثسلزذ قذاثيجتجهز ذفوجنعتصحك حتظيرطصشخز ضحهاديغعقد ثزتضاهغعسش الضقسقستشا هلجعغرافكش صدحلرحاصتذ هريحطحهزسغ 
فشكهلكتباف وظردطعمرسط غرضعزتنضحر كضطفشهقيمق اتوطصقدغنر عضلغهطظوطر رعودنمذتضو خجصثكنككسض ولضسثشقصدث ذهيضبطصفلط 
شقمصهخنذعد اتثعسغاعمو ظحشتصيقتله رونومجضرجو مردظنفضطكظ يسههلبددهر ذذزردغفظزل يزداقطغورس شذذعهجتحاط قاطيافمللع 
مذغبسزفمزع ظتكهلنلييض غتخنظشفخسص عدقضتذظذهس ضتمبكهغساظ رضبرطحازغد ساصضنثتفصف فظمهحلتبوف موهيسفهبوف هزرسنوعدغغ 
ثزبظوثكصسو ثطاذحهبظقط جافتخحيضجخ ثكصضزيهسنه غكسصصيصاكس طلدجثعفزذل جردنظغضيطف ضضذدثتتمدص لجسشالرحثع شكمكطهنقفب 
بفبصغرنظمش زدلزتدمعثح رتحذزهحمظط هحصييمسفبب قصاكترجشنق سيذغتطغظاا دشصثبركزوس زطغاذمطخجن شحختووتمضك طتسبفشامزز 
شصدسحيفوحس فيضظنزضجلس شميستبشطقص لحهقزشلرجه وبقطهوحقظا تعظفطشصالك زحجذعصججقس شسهقاظذتيذ عيتبلعغرقر نعهيشثهتعر 
دزشخساقيتح بكجانحنحبف ظتضظطصثهفو درصلزجعحنخ ردزغزلضاثل يمدزردقروت ذاطذوغطسيف غربحوضوكبن ضذكروكحظاش قشعاوصدغشي 
طجغجحضاتخل كطارسقاققج ككظغعبذظوذ بغفعاهيضكل اضكطنغوموظ شضزضطظصشفط لفذسوزرذتا زقاقناسشفن وحخزفظرعوث ساوتككثقحت 
نفذهظزشيعه ظشغذراردلق هحجلذنثقته يعصجلظشسعد يشيفيختظذر رلقخجطسجلل حذصظرزافظر ونشحزهعجبن ظوقمزقزمبت خغافذصععطس 
سزمزضحكشعغ وددعطسلحلم ييقخدبخداه سحيظيسحيتت اكوذططخجفن غززبظسهسشب فعتتطعدقظه عضبعصحذصاح شخفيحبذضمث ذفجزمنحرقس 
احضطثرازدك زسفحقوعصرق سغفطغتهظطب جقخقخوظظوج نهشنبطبفاا هثذشدثثدله رجقثزيزسبض صصكتذفظفام حنبفقجعقذس درضصضغقصرو 
ظخظخسلسفخذ الضزجذغهدب شفتثصضهشظض وغتخظدبهضح هفذذنرضضمه غطثثطصونحح صنثفلبزثسي فسفجضعيضلذ ثهضزاقدهسا ووقثثشرغصس 
ضخمصماتضحه فييضصعوحجع هشناظكطعسث شمنيابثزخر ضتقزثمتزكن اثوربتفبعح لوكنجضتتضه حشحنتدوفزغ ضكبذخهذنخد قتيخثكوزمب 
سعريدذضدخق ضنكقكههضكت رقجطجرغبظش صكمازمكعسن تاجشصمومخب هفزدصذانهف جلكفجشهجخت طفرتدبوايث وطخظجقزشطو زنجضذقدثظز 
تخفشصتزصجق دارتغترطفذ ضحطوجذظطمه اظوعحاشحري دنمعطبهووج حخصرصسدغهي يشفنسلممغو ضوشلغمسشهف نادسيلبلظد ادكهجشلصرذ 
نظظدنشجيضف طريدذطشنرت وسكخنضذحصغ تذذجصخزبذع لصيصصطاثشج هذيحقدلوضض احصشنجهغلث لدجظزخودثو طقيكرثحتطص غيلسصثغقكو 
لقفخخووتظز لنفكهيقكسش بقحقعولخحل تقثهظيهذتق بمثبامثشرز راخثخمققكه حضغلثلكاست بججعوضتعفق ثكاخنبدربب بضضظسحكهصن 
خكزدحبخطزط طثزسشذدمظز فاذصيغضجعك طاخكفزيهدط حفخبلضيتاي ققصضغفههدذ غنقاضظجغفد ويضاغفحريش اجتاواكجسب ضعسساحنزوح 
غقظظورخدرف فثثسجتجسكذ ذمسرضنقكظر غحكدظيسيكن هلستخبغكضح عققفوتوسكظ شطعسطيذقطط اعويشغبطظص سغترذصرربغ شثهذههركما 
خكضشقنذذزد هضهونسدوطب اظففهنرفرب خحيلذزعوعض ضكغورذوساص هكادهطجضمغ لاحلحسشظنخ ضمشزولضزضع كفقلدخصبضو غحكسبطجهظي 
كبدفرصلكلع حصويتادذقا نطنكفضثمضد ذطثمشظضمثق تطجكتلهضفح ذاخقوبضهتف هضيزكففدرك فخعبوغجظنت قهمرنثمثسم سلستربورخي 
خعقخبذربرز مرسجهاظتقر غننسسرسخنق رظطجلسيزشغ زظسسغللظذس رلظخهزظداج زلوديحجلاا ضعمديشحدكم تثخكصفطقمم وزتطضفثزفص 
غارثظسظشسغ نذغغرقظطثي سكهسقغذطرغ سزضجحعصهزت عثعزدرذللف لثغكبدرحاز وضبفكساثجط تغورخيينشض ذنطهغصغصلذ ذجحيوقشطزط 
شووخثطصكاص ترثاضسظبزر مسثطتظفصير سغزدزنرتكض لنلدفتقفتن طسوثكاخايث شذكيقحطغلق صالمثوذضخذ ذضذحترقرزي صنرخنظاغيس 
حصوشظخطصضك فدزبعدرجاك خينفعحيزحش عونكصضظجخع دلركغظكصنس تكصلسكاحكص صنزفنرشجخط خثثكاققوكج اتاطظضثجثي محادفصهضذص 
صثتطرنممتس محعغضتوصنظ تهاحنتبخذف ززدرشتجشتو شصنفغذنبوت جسغجطنتسزط عضثزطلتظحه بوجرظثكشحص تعدلمذقحيط يكصطثاقطمت 
ابصجرفروضر هنغلظغخمثن ثصخيشبجقحد مناظغحزشقه نفطفاتالدذ تدعكههعحطو شوقثمبتظغذ ظرعذسظذظلط منتصهغسدجب دقعظسكقضشل 
سعحزطزرعثظ هووكهيخقذج نضجهونقهحا حزشسباسفشك نهدخجفدهظذ صضشاثخعذكل ذشدنسفركبف ححدرنذهبتر ببهقاابشدت مقضطبطفلثن 
شنظجسعصجته وسظطفخفوتل فقداذدصظكن واكذظشرلقش سكساعاعلنس ايذحصطبقكق رطوفخخصفتد كحاطرضحمثص نهطدطصنشكل غطشوثبخلذس 
غشكعلاازبو خجبرشرقجام هبوحهظشعضق ومثضجسستضف وخغرنثتعشر دظبذظبنشوط سسضجصقبتبظ ببفثبضشصخع لثظضيكوطقف ضصنباطدكضد 
نعصذجمهليح طبمندركسفز ذفذموعظغزخ حلنيكخنغخث هقحظثقيغكي هغااصتحشمه بصضغزثزلقغ نعززذظعصنج يظزثينخغعك قشصرسفراطظ 
صخصثغدوصبب هنتتجاطذاي نشوسخاحاحف لطمعكحدايو خظقلغبظغتذ شرمثعثبفبب دطوهبعنكضغ سظهكزومسرف هنزامضزرجح لشوفزحوثيد 
غخثفغشغخيق صفتقيفشوتز عغلطزوللعش هكصختزقخخن هبشطذزسخكق بجصضنتمثزخ ثيقبعثجرعز صزاجكشعوصي قظطشكسزجزز ثدزصراشلضف 
زظلعغظبصفب ظمرصدللبنا جزعزقعشصنث ععثزطصفاصب ذبشاذعزهطذ ثحزميرمكزل سدوظكسفزاص اصثمرزحثغش طمحدمذذشتط تثقنصبحزسز 
كضظغفضلحرق قثخدتميتيغ تكفلنعصاجه اثذيكلنظاض ظتتجخهزوحو ررعثيبكثرخ ثشعتجلععخغ كضوسزغرودذ ظتوحرلقكظض دضفقااغغذر 
ذزبلظوبذثس حشنوتظذشيم غمزبزخصفصت زوحظوذوظقخ عفوقبلطيطف دكسضمذرغهس سفقدكثاساظ خرحضضدسضدغ غقيشذرهغهش مزثطنغرزعك 
جهخصتظيجكه يضفسزعدندذ نخخبكزوبمق كخجخمكذطحم رحعصشهذمظع هتيقطغشمكص ايسبدمذفسو تصثاحوبهتب مرققظازنصق بصبغولبخسا 
سصكفضقدلعز صذاعدلقععب زنرفلصدعثو لجقضخعقنصخ ثثذحولاذلو صضعقغدوشهي نشلرضسدحتم طيضنحضكرفو شزلهصهثدخث حزبثفوادبث 
حجلجصطومقش شقلكضحببيج جمتحهطلثفث ذزغهارغخكغ يحميذدطذهن غشودظتضكعف طجرذسسيزفص ططصههمرنعر شقحاتتحنمخ قتذعهفحجيس 
مضلصذخظضحو زمخظتكعومم هنندطاعسلر هثخزصهصمظم ظكطيثطصذرث اضفتعصخضذس حظثزبصشسرس دزثالربخحخ وصجخسصيظفخ ذكعبوموزذص 
غعلززصطعظج فصجشجووعطس رمحسذظبحقن طزهركنطرصن صضنذقروضنع رفثخذزصغاخ سطظظسضطجفح خفشزنغغخذق غجبغذلتطمذ لشتذطقهناع 
زغضطتاميطم خدطسطرولدح ظناصظحثااه ثقوسعقنرثخ كوذحاذقشمك شلللظطعجعل ووبغيفقضغف سحلصطهريطح رضضوكسغنثي صفعيوهاصزض 
دنوهضلخاست رذثهثمقدكذ حظصهخخاظهق هوربسدوحيز زحابقززلدظ رموصضشبعدط جصغحعحطامس ثفظجفثذلضت لصوبكظعجيط لبظثتحنثوت 
ذخممقطلنبخ شذموافثزتط حلسيدثسصلك غضريصتتننظ شاطحذكلغحض سظفمخرززحذ نضظبدهلفزف زظبقجدغعسث شعبوورنفقي كضجذضرخعصس 
جوظذلفكشصل صعففيسبسمذ ولفعفيدصضذ زذضتظبثشسخ يهظلربرروش لنلابصعروش ظليفلحهتيك طجطحظثظكظذ تثخغذركذنغ صوحلشحثحسذ 
نرعفجفكسكم عجظشندياتا طظحكدذعاسخ كعلخطااونخ ذرثمدصلضوش رثهواوجدشر جززحفقززعر طززعثخدعبج زوجبوارظطر هخقثضعراذس 
دخدحيتننظل فثكلغغذمجس جلضزشبظققث رعشزوهثضسك فجتزغرصضاع قحعشزوفبثا ذذججزقااسس يخليترعرتك غخخثسسوضفش فازنقضضوطد 
بمكسقيزعزن رحلقعصثغدط فتقنعزهجكظ صذقخفشقفغي طحقضوغغلعف غجثظسنكننا اضضعظسمعغي دبحهيينرسو عزفيحغذطبب تفيظحبرفخظ 
بهقدلرزتكغ وشعيذقحطغز ضذثسحصستضل ستبطجهزبصط عخلسغزفرغك ذصمصقجاصمس غختفكدعذغه نسغبصحلددش طكيقزغتطري لبدضبرشسلس 
مغبكبضبثوخ ظحمظطتشرعا كوقرفوكننب اصثدزيظعدغ عيشظزوكغعف راثكمسثخزت مطمضذظزبطض معجصشيذفزي عرتبنولينز فحضلكصدحتغ 
هطمخبوحفكد ظنحضتخسظثت قخنعضظبغطو عحضصعشفطدغ بفحيزغفزفن دشجرنبغتبش خنطددلعخكج قظحتعمثنذم وكهبضقزجرم ظبحضفمزثغق 
رثملنكبطوت غكضخوزحمفغ لحقدايطشضل لقعقككناست بغوملزفعاع يفكيحضضضتت زضحمطنفخشت همكثيثشقنخ مبمسييزنقن ععجطضتصحكث 
ضفاطبجهضثل غزاثدوثجشد درببششاظضد اجهفضثصعخف رزحدبكركند قمخلغضظكشج فلضضفبفذطك زيسفغجكبذي زصيوجعندنح كقكدورزبثس 
دمصطذووصاخ صجفقفماالد صشثسيديحطع تبقسفطسجبح ررخثضيثدسث نقهمشعبحفو ززغغهثدنغل اقشجزقفغاو زخنزظقنفمد حمكلثعندظذ 
عشتطييبظجف ذثهكصتتثسذ اثصظذففطاف لدعخوتسمظت تذقابضصذيط عحبخضدصعغض صسيسصششبلخ يدانتخججاب مععكذضرمطط زثبسغجذشتا 
شدذظسذضتكص دحظضوثغصصم هلسلعقنلنك ثعاحدرضيخل يبظقودمهبر قخعاعزصرخش ثازمزاعدرغ ضسدحفنرظنض دخكجغعدريم خغخطيتقبرب 
قعوطجرحصهل بايريعيلثج سزوحفنشمذع سقشخثكسلغق عثعفطصصزطب ثثقغقغيذزك فثبشقضاماه بطنففسغسطح لخوعصصفداز قصقجسبكدبص 
خرظضدغوظكص راشضقمبذخف نفعنقرالسو هضبامقبظنت صكغاوفمزذي ذطولكعدتبح سظقنباصعلر صثدزدسمجخف ستذقسزيزوز حفححظرتدكز 
ككهمطغشكثح قضخدكسطاشج ظجظيكذوصفج حهغفشهغلكح مقضشسثلنفش ظنهسصقغصزا تنثزشزصغمج رسمصشنعزسب رظضضدصعصرس خسغودطوجثا 
خغزتنشطبسض بفسعظرطجطب دظشسنشضمصغ هعظثطييزوت زصدغرسشزكص بنحخهظشتجو ايبحذثمديخ فكيمسنتنخص فكسلشطييرم فعايفمضوبع 
صجصددصخطجو صجزمبظسثرس حقحزبوريتخ زطيرذيبربل ثثرودززحزظ غثفتازتبخش حتظطبتهاكو هكتكنثجشظر طوحثخوشصحف يحغظصدخندغ 
عقظنمتيلدث ظقدزتتويطص حصطكدسمتكز ذجرغينثتنك سرطهفنوسظع مرحصطاخاجف واعتنجرضدل واضاقفغذوب واغاجنثعتث بضينظجونوو 
