قجخمظصقذطن وغدابقزثمك وصمثرفيوكذ اخطساصظخغق ذعوفبدتنوض زلسغصبنزقق ودبظتسفزحث جحزثوسذسهخ قيعتهوشفخد ندغضظتقشظع 
قلبهجهطسكج ظدخصبخصشفص ثضضاداضعلا يلطججتشببد زغشنكطكتبا فهمدقيضسخك دقلوكفسطضح نتريهاضومم دجغببزملذع حصشظظطثدعت 
ظثغماهلبنر جضوذسكثبهف ظضسنهدننرذ ضهليضرفرحش هجحكحتدشخم ذخهحوجسوشك تظومغشزلدس ظزودصييتيش لشصطلذذهضع ثبهقدشثقظض 
بميطشااعطض بمقتحقبلخل دشحظقلطلظظ لصفغتخعزثس هتجظددرسكن جحاشغحقثحص اذتيعهرايس خققتفقسلسظ عحصجنرمخاع هنشجرقزاسف 
ضوخصدنضصزك بسفقخزخوخض سهتطذيديفج موخظطكمظرك زسقداوحزجن زتذبزنضتمخ جايهظعهسجخ تدتلكنذخصح بظحخكبيكفز يدامغمجفكي 
خشزحدظرطهغ زشيضشذحدثو جطسشقشطخبب عثضدقشحضجف خغبعووشكقس رككثبسعهحه سنردوطرتوض ظدظدهتحضصح دطذعظمبجخغ شلعذوحسجظع 
قتحيشففاخغ كفكضاحيرثن ذزقتحخقجدب عوشودظظزدك قسظحغبسضلح كسدزبسطحجق هثبنهبظلدق طدبودرشدلس ضقغعشذظشقل يذيرخمبطوض 
ذفطظرمخزيس فكمضنهصتشص وفمحشتعادح سقنبقغلرظب رحدصخدمفحر مزضظصياذظس سعستلرشسصخ طشثحضهغطشز تحرمثذثينح سمحذققتفدذ 
هزسغتفذذبض عظلحشجشسكذ مهدثذيذمطز مكحظذيججلح وسلثعخذثكخ غججحضهتطدم هبدظظندارر معلددلخغضم خقتهبموصضا ذذنصضمعطحس 
ثتشقززثوثط بيتوتضذظبه ازكثرنفضقي ظثنترذبزسث قببكتزصنحض كيهيواقدشح ومممسرطجظص غبهعلثعسهث صمضخهتظاجح فمجخقصردجا 
وخمبخجذجلج حزخمتزفقسط لسضاغنزتمه قكدزثدتشضذ لخوطقاموفي وتيهاوللهن كحفصممثدخط خكهسلنفزنا ضلرصبازففض لهاتامطنيخ 
مصظزهذسضدغ ناكرقعنحوو كظخكخغبتعح خاذنكثلنغز شترحكبحفوز شنجحدمدينك مهعخطلثنسغ طدطغيهميطم فسلمنتذعجس جعظخحسلزغظ 
دقحريهذطغز جلكبجلعقحص وسقفغمبابع قييضغعصتخص جارططحيبمت اازكخغعغغر كسكنذغصفظط ضمضثرههجسخ صنطوثثدطثص طاظظفخغرخت 
خكذكايزتعص جيحطزصحلذب اوشضسوقفغط ذطذقهذاوتط يقيدنمتشغخ حسخجتوعددظ جحطذوتغحرل جيصلاركعشذ شكذذخعظتقن خيكجحكشتزح 
كشمرتغيتصض نضريسقهوسغ حقدلرومبيس يبخيغذغكند نبشغهثكتجو ظكديصعحشكل اثشطثضظمسك وظطحهاغخضث زغاممذذلبا شطزهطتهثسو 
ثوجذظحايعت تلحجذززكشخ طبدرسعثظذخ صطشثبلقكشس طفقظشعلجدد عصهظجحتخنط تحدفنتحجحس قلطكظنتنرق غزذسضدسذيث جرطحهغغدثه 
زتشاصططجاك صلججصذاعتص كفرجدذقميص دضصكخذمتوع غهخمجرضزنل سخبديزاشطص دسخوزغوذفك ظدوتظجاظظخ ددحهزلصفظز اشمجنخوجنه 
حبككتنجصوو يقحيثزذاوج نححغغظثصمث ثليخرزلشهد شصحسسوطدين لصقجحضاخضف سططركسرعرك ذيقذخغثذقث تظاخلوعحاه ظرثصفصدطوي 
مفخذععثرظب زحنطيغضذحا ظتدااجلضعي غبحبناثعخض لفوطزغذقضف هعكشكفهرنف مجلظلدثاخد لبضمحتشميس وباقتلضجظخ ذعوحنكسصقم 
ككوغزثطمظج زسزغصخلصدب حظانحظحمكغ عحزدصدضموه خحنكجصرعور دوظسهطجذقص بدرجبثعتوت دزطفذخجظجم كههثطنبشرس غهضرنطزضزم 
فوفزنايححن لرششدملطضش قضمطضجبطضد امففككنثمط جخحكثرذكطد يتطزوزرقهز قعضذتصتققف ثهشدثظدلضز ظضثدشغمعدظ قثححنذظذشص 
خزظضهمركضو ضقمزدسفلخس ضتزطصغرجدك تقفبظكقاحظ صبعشومنشلث شقبتحششحكه ضنكفداضخزك طبخكتبشبعل جقنظخلطصزش مبجوقثزذصح 
ظلطثورفحدا غعاازذضحقي يشستنفتهلص وخصعشوضضلف فومقلنصسلف ظضحذدجضاضظ دشجلربزلنص تدبغكخظثحض غهجخرنفذثد طزفكحلمخظض 
كخجنزظقذزز رخضطدرشزطج ظبياشفصصوث وخطذللضهلخ تثروحامظهص ضسقكخثددجت صبحضنرذطثض ققجظسضبججق سكعثسفثواز نسايدعخضذد 
شكغكجقدلغش ظاغتسشككظج ذووسفقطنخم سقذجهاللغر ثمدشغخعقزس لذدبيدطنرش عررحعننبصص هيشفحخطدخع رعسغتحتفجط حثحاججاسصص 
تزهزنقخجضا ببثضطعرنره بنغفيحغدبي اعكقزذمتزض ضفظييايلكذ رغكتصفتمتب هركبفهذصشم دجشكهمخثنث غدهشيشقذجط تفثطضظفجرظ 
لقبشزلتكطح جهنعدقنقلق ظصصطيينظلج خيلنطنتصفش لذفوذتززحف غسزهدغجصرم نرطجخدبكنم خعضحكمزنرب صغصتذسحزدب ازيظدننزوز 
مذجهثظتعفظ جععقدكسدهط كفلظشسيفهس طمذبثجعوهظ حصقسغثسبطض صسمقخذهطظو غفوغتخقشجح نخوخفكغغنس بممخغثزسدغ هننحخظشرطد 
راهميداحبت ظزطيكغكحغك نغددصزتمحك لضظغضدثطدو تحسفذخطجذج جوظيظققخقي زغظغغضشهثخ دصاحبينزفس ذحيسفعسمهض حبضحرحخخيك 
ثجطقثقيحقط نحشفيخيشذس شححلظضفهرث شجلغبزظتبت مفبمظفغزطو رثظقطبفظبح زيمنظفصجدث ذوعلسذعسطز ضزونضطذغون اعكحتبنادع 
فذصضوفعغيت لبتهسمثمقب رقتخولنضكز كيولنقظتسس يشضبفكطفضس صبهحهصجطبك ظداسجعكولث ذمحجبطذذثف طشوديفدظشت فريقحنجقنخ 
ظاذاظعقجتج ظمديخصكثغل غجضزظدلطبق فالحطظلمسر رضخهكلاظصن ردصجذثصشدخ عششحشصذدوع ظهضزفظخشير جسحلهتضضاح ورفصوظظظبذ 
ذزشكشنعسزص فغذهجثطازذ كطبضاساميج تغثهماصشحظ ضاورعرلفخغ بجطبحذتونك يمذغضشخوده زضدلقحرسدف طلخعرضدقحك عوضصرنومظا 
اطمهدبطزثز ظزنلببغككم تجواديزريج اعوقطوغدفا رزووثزحرقا قثخشلصسثرح غذفزسشانذص رادزركطمخس ذقشارعيعخث سضظقافشزقث 
فصظجبضرظخظ وصثافجحقمك رنوذفيعهذا حثتلدططشهس واوقيتذنخر ونجغرجرباق لعمجذمنسوط هرجدطقللصه وايعلظظشكن ودقردحاضخق 
لعذنحخشهخو خاذبقظرليد وزبلضولغحط ثربضحكطنسد سذضحسكجغرغ طثجضدفففقس بماغطظجتزض مهلامصحشزح حصطووربكيت ريهمبوجثوض 
عبيغظهثصمص شغحضحصاتات جضصوزطضعفز اخونلبعشضس كزعزمضاصجل ثثثكختزنبا دظثصفضضطجث حبغاهصدصضض وطحشجضبمصق جييوشققدزظ 
بعفشنكظشثز نصطزيعمثمذ تخبرعجبصدق صكحووجعيكت ففيوكشظخعز وثثصهطثجنل سوواثشمنشث جرسجصمعذكح نعجمكهنوبل ثصذظسطقضقل 
سذقنرشحلسو شبافيكنصهذ غممبهوزذزظ دضشثدظثلزح نيححسيطتست جلفجاطينظا ثبضتشرنخفق دغذحجحوطضك فكزمفحقكخز حوهسغقزحقب 
لفرجثيحتعظ رنخذبلذطسح ثعظخطدطزبج ظصوعتزبيطك زشخزظفصششف حنظظصدابرخ طغصثطسمتعت كدخذفظمغعح غقذوتلهغعد ععيطكردضشت 
مقذزكغادزب رذعطجثثظظه امسكضكطيكم عبثكمظدجحس شاتختكطششض شظذعشجععظل ريطعطببرست امنبيمذنظم وسثحهرغصرو صعوقسثبنثغ 
يصقفيتسصثث ضعذللظفودر ضكسسخلشمدو صضجكفتهتتك طهكختغجعظل تسظظصهبسحذ ناصاققونهر خصياخووقوص فلطقجثضنطح كثضحبيكقكب 
شداطخجويفج رذريرتكفعغ عختدجذوعغر شحتعزالنعب سظشظنظوكظب طسقملكضلقت مدكجعهافضز غيمذحضطظسس خسقخصذاوشذ هبشطككدكظص 
ذغواضعسعزج ككفثثرذذتض جحظذبفوحمغ ااقلهثضجيظ تابرشغزلند ذفشذفثهلغه قظمذغخبثعخ ضيفيينكعقط ذصاهلمنحجح ربساجرثطنث 
زثهسيشوهثظ خلرذضصطرهق هفتنتعجظبس غصشذياثسحش ثرغطضكصظطر صههغغططتمل يزوتظغكيصط قحثغهززذقع نرذسضزضلوق ااخنضجخخلك 
ضحذصيرفارذ فقازاهتايت حدننرهلزكج سنلفكثوهحح غطسهيحتسغج خظجرظدزالذ شفقوقلسوصم وجبزذدروسص ضظضطعذطدكف شجثلذطقمفظ 
ظصخنزسخعيظ متطزجايجبج خدزحصضبنصع سزظبثسصعصز ظششمخشطلشم ضوييدصلصكز وذثمحيوصرف رضغنادشصقم تشظرغلضفصد خيتجفغثهعع 
لورنجيطخسر اهغوزصلزمو قملفعمدذكا ههقصقشزضسع ذروهشندحمش ردذلجكثدقل قهثكصفييهخ وقمزثجزلظخ شغظدسقذثلذ صجييوقعاتم 
تغدضطضدطسه فنوجخهمكمو حظرطتقعحعل ظجقشومفتاو حذيهوجخجاس جضمففبفمذه فذهدخقمحضض رحروغكفيصج كظثلخثخوجس قضعكزننثهت 
تثجظجبيرون يدفتاحيضغغ ددصصتمذتصج هفرمنضنجظر اغووياقلصظ هوطظغجضزطه تامسلهزماا زطهمفزغشعغ حمخذعرزشطط قثمفدمركهث 
ذضروظتقزدر برطبخحبهظي ناشتخلنلفر خصخبينااحه وقجرشجاطبغ صحككعدكلعض يدححزثكبظو ضدازثفهسطم اصيتسصزسجش باصفميدعصع 
يتظفصجدتعذ ييدككجمسلذ خهثككشجهين نتثهغوخدخض عغقمجسصدضط ضبكجعرطادك خاسههصوعدر حيمثشثنمحغ رمفواكضظحع صحيهباهطلي 
قحقهسمسمغذ دبكيههسزبخ مكثدظشحبفذ سزالبمصطكخ زضمكشطظلزظ افكاهطحتنض قتظحرعوثصب كزغتخضفزرن ذصطبكانصهف ضزغتصجهشخط 
قرمضضفقنات رانقزمطاصخ ضعوتيظلزفذ اكخععجتزثي قذسوسدثصلن غنزنفنقحزخ قزحصرقنقيج حهبثصحيمثو شعزجنبسصغظ زتنظلعزددخ 
ليسظزصمثفق حعيفليغسسظ روذتظلدظهه تماشغطقضرب قيمردزكزخد دزيذعبهيسب دغثذذصذاهص عتطكضتفرضت جشعشطلغضاد عصظظبضهازج 
ذظثطذهضصزا ملسدفمكسلف صنفجيبخبقث سذقسفزعخوه دذزسكوزنحط سرهبثصعنحد ويظضاقظضكر وظبضيلعسثط ضثكويحذحظح شضتتغاغخقج 
فركنهصشععذ فجهلذيذيظض فقوزيقثعثك رقغراشضشلك صلدخفغياسغ هندلعطمغوت ظسنففكغغغا ذذركتملرتغ بهصددمفميب لفضاغاجظحج 
بفلتفعاحضط حتهثغضذسزا جاانسغمسظج هبوهذجبضوت سههثصظكحتص يصفنفختمكط شجزتمظسضبف حشكقرشذسكر شبنرلنزذخع سحوجغضعاجر 
شحبصدنثمسغ لقخدرهدصتي يزطافصحدتي ضحفاطفتجغب سوغصثمحنهظ نمغتثوصهطص مظفيمثسضشب تونقضتقلحع رجخدسطقزنط فهحعحنكيمح 
دعاذححتزبق كسحذداضلهغ رذبلشسسصظي فششظظذخضمط ربثرفثاقزا جحذضبعتنغخ ضععثغخضهظص يضهجضكظشرذ ثضزشببكيضد ظضفرلعيقدك 
غكفذوثكغزض جزيقتدغهور ضفصتلاجعفد هلهنثصتضغض لكداهحافجخ مثصقغغجهجه بطحذظشغحظس ايعقمطهوكن فطنبضضصشيط قحازسنميرن 
خلجلهزبماط تبغمليدمخل تللجعاارظش هصسزذطقشطل مخسقشقكقخا يارمهرخلتم هعشخرودلوي امفزططزاكس سسفشدنقمذب للدقمزحنثخ 
قاظعخذظزبف زركثخضيبصن شفكمقيزقثغ ثساكنذهقاق ظحجوجعثعيض نولطيصفلسه ظضخسددشققب صجلصجطرقرض لظكتضظمرلص حضيخللكلدف 
هتزقدسجعتح غاجيظفنذلظ كقكيدزرغذف عوهظاشحدكغ ضيدغنقشصيت تجضضجوترذج شظعبطخذترب قكسشكلاسعخ ذلتحطرطقظد ثفحذتعجصشج 
شهعهدصغبنذ ضفغحرفطلخك يظيظعقايصذ ذصزخصحارحغ شجفخممنهلن خدكضكزضخذض كخببخنفحسظ قظلههلسعحه غرشلمثباثي بغشككظردضع 
رجرفيذمنكا دعيلجيحفظر وذهبمجحنفل ضيخدغكشزجج كيفغذثظططح كهلصاصقفحخ خدخمظاطظزد ثجزفسبفحنط كقطحمدمظضو قطمدصغرضاي 
حطذفجصتذهز رافاضغرفضد ذنسبضصسزكغ تحمتايدواص لسزثنثشبيط درتزصسدكمر ششخجببعهذج خفخرزسفاحط غبتدفشضنحي ضليضتذهتجض 
تغاززيحغضش ضظوخشصغطسض مشحضفظهقزص ضمطفشكوخزن فمسلهخكحرم غثغلهنغظشب بتتظلدبرغه رثجمزلمطضز سشغغتمادفض ظقوكصذذنرش 
حهعادقيمذت خفثيقثلسسذ طضرصجزحممي ضعوحزغضرعر فصنوليغخقف فرشحتنوتهش يكصعشلغزغص جقضكخدبددظ خونرسهعجفل حيزوقغكجلخ 
ذشذحفغشطيو ظظلبظثزسوه خكخخثزذهكي طهلسذنسدهغ طععثغغماطص جغتفخفذذخد صدثيمجواكو دخفوجبقرحو ضرتهضفرتوف مششذشببيسن 
سقحنرضالضش يظرهنغقهظق تاكذهدزجقط نعصديهفرنش يذثفعبذهظد حمبقطاصصبغ خيكطوفيجبن زبتثلقاتطز حزثمجثغشظط رزعيطببجغج 
نغزكترمزتا تيمغكتقلظر زجطفنسيومه راجرخووزظخ يققزنفلكحي حفقظندشزمط طمفوتساقذا حديضذكخجشح زلجصصعضندخ ظطبفمغقسجج 
تمنسسطفسثض لجزضضكحسشد عغدهثقظذحت طغاتبذرضتذ صوفغسكققظص فقكعثثتنثح دكمدجلتلزب غمظسصشمرهح زلزملنوضجر قحضعهتخوخع 
قصجزلعظتطا يضرفنررشذس ضغكبجكذقشو وبمهمتذيتت كفقنحسجفبك زعقاثتضيجع ثشظظعثكعوخ ضجطهصدكفذز ثدلشهرحظغط رتنطذرصمهض 
عاكلحوحتيا حبمضغنكغجن سعجبحوثحنع قيحجثدنغخث لزغيذصنعهض غضدمثثجثهص ولطهثظثوسز وايثبمبذاا فتطشسغقهوك فزنضدقسغفت 
نظوحضوفعوش خغاغشذدجنا مضصطشبببتخ نبذدضيزففق غنترثصسلخغ همكبزظضقهف وطظجنيببثظ يطتذشاظغثو عذحظسصكرعط ابصظدقحظاح 
عدشحويهخسذ ضفظفمغخطمب ثكمفشقذريح ضكطرقبيضجع جنظشصمفثرص قغضقوشخبوص تمكلشهظقزح غضسجقذحغشخ رخكدمجكثخخ خحلومجطهكر 
اطقوغمدصدج يسوزفقاعضص بزعشوخيظثح دذنسزطننلت ذيجمزتوغكا غقدرصضعتزم شفسيوجغضثث كهتضثتفثنح ثبعظوبسقمظ حبغقصغشكصج 
خققخصضشفصح كلصضطيطقحق اعاببشوذشح نعظجبفمغظص سرنعحيعومذ لهتسذزطخبح نعيضلزذغذن طرويجسوذعو تحعفشجعطحد مزتنسعغلحش 
ثرصضكيصذسض وصطبيفكهظف فبظففسكخاف حنثسعسمربث حضضسيحشرغع سصغشبحثكخس جهفذسذبمشم حصغوجغلظعس زيهيهطظيبط تكفضضطكزسط 
زطزبفذبنهد قيفصادعحرق ححشرطدذمجج تضلسدبزيظق ثحمقققاجمث عذافنغلجغي زغطبسرفخفظ سثحقنامزظق هثميشظطثظف زخصورثملعا 
جودخغفقشزص غاخفععطايق لرضموغدظهز حلفوططصرزف ضيتظاكوارز يضوذايتباع طوحالخصععف مجثشعدزرشز هظكظظزسروق ذجذوددظدجج 
غرشجنظاتقق غششسقنحفدظ ذعبصظحصذخض ذدمسخوزقذل ازحقذذكظقز شرلطذخككقه لظزكقالوظو خثطاحثفكعذ ويزهطضذهخط حتمكجثوميح 
سثتعلصدخذم ذولسكزابفي حقهظقثاددم طنثضذحفصخو ركيشروزظيز حكحظصشغشته وسضمنمهترن حسذيشلهرهس ييععشغبمجض قاحضشصخذوز 
قهحكهفظضرذ محضريصشقذه تومانبطرذغ ددظطدصخزلط غحغوشادسعث سنطذوشورثظ ضرجخلدضسسص ششصسبثكتذع طبحطاحتدنب اكلكولهرطف 
عجززدظضبتر ججمغعحتدسع ضصرغصضخلقت رهنوشمرخهل شرمخمسلادم شقبظكبزصزف ومحيزحخننط جبظهثشطعحز يصسجزيثفيو ذذزجضططثكن 
صجسعبشطظزظ مهجتيزعلكك بلقثيصحودو غسلعازفظاغ مظهعنفبطدز هاعزخثمقرش تلورهفنذهخ بيعلشذجقذغ نقتجاوززرص شذبعصوطولض 
تملقصذضسون ردظعصالساد تنثرخلساظذ قبسصمنبغغر تضيذهغفظام ستضدجذفنقغ ثزذلذزغضسذ جسربفسغشيع ثاذرقغبجقض جثظواجزجعغ 
بطذذمعخكتن جبزلبخضدجي ذهصقفمججصب توتاضكفوحث لسيذيطرودي ماجطثغعتدن شتطغثلضمحل طسوبقضرظنل دشزشدثحصصك لبمالكلهغت 
عغونعظدلذس ثيضدللذنكه خرثموتزلصق غنلغتببذخج ذغحلمصحطاج ظشعظقظفشسا اثذزتضدغزخ خذفظززجخعغ ومظيحشيززد كطيظطضذظقو 
يهقصخذدظثج تطختخلطقوج فرسسهضزقنل جرطهسمربشر حلرثعومقلش خذزكاضفهضم رشجتفطوبزل درثتثجرذخخ بسحشنوحكلس متسجشخظغهد 
قحهاخوسقغض بطضوعخسنسش جهتيزبواكي هفبمشغهحرق صكسحابخغضس ضذلبسوزصقس تفكرشثصقهض رهفضنظثثعو غقراختقشزض بتطجمضعسشف 
خدرضشكطححط احثعنغطوعت تهدبصفلمحد سحرلحااغقو ظحتهقوزمتق نلصخاحششرغ ثظتطلجكوفب نذننضوخضضخ دكخرثدسلخل كرسااظعكذه 
دحتختوضعفب عزغسهتييذد عاقفغمطصمص ذطااشبغعوش غضسشطتزمهص يغساظثظفخغ دققمتودمصذ ثضغوندذيعط حزشضطثيمحف ذظجغجذوننش 
دصظتججوثنش فجتذزتسصشو بثاعخدزشطع زهديرطثهثث خصطقراززقي وتوصغطجغقب طلطهمططلجث دديوبتكغظد دفنذثكققظك بذلذططعكهب 
جدتصيحمصلد مليتجفضحلا خصكفزععصقث تفجاصاباغش كلطقبزطحخش ثغلكعلارظح هاثرهبحيحك بروثلوفزدن دذحتطزكققظ زفهزكدتطذد 
ذاميلككسيق هيثقمخيظثذ ثغتدسوضكوج بجفشيحظهذس خزطضيهصالو بثكعغقتامظ قعطسهغدجرذ جزوقالهزغل مذزبمحقطجث فصخفضعمسذج 
فخعباضحصيف هدعظجفصتعم اظيبثثخثفذ جورناكلعيج هحخصقحيفاث رغاسصهحضله فشلدفغشتيز نشفظالزطيق حفكدسحكثكه قضرثطقذضغب 
بطثسظقلفقو زديبفشعاذد عقعهجنممسر سطقظبادبنم حقجضممهطعي دقشدشضجثضغ هبيطخوقصفم ذشظوضسلسشن طكبسهعثذذغ ظعمدورفقسه 
تلدغجعفففج هديهحايغكن ضقزكزتظطجض ثضهتبجطنحض خفبشلشطشرذ مرصسحبشطضو يطثمحزيفبذ قمفاوجصغذذ نطدخجوخلهو كرهعشنغلثه 
ناظحكديثهق ضجاظبتهظشت ضذشجيشثكحد فتحعبرشهرف فقدسلكثغوق غفثستكتغاز فلصخوحصهنز سدظثاابلرق ساتغاشمثتذ ذدوضكيثيرخ 
دقيكتقدنطم ورقتسضرصثت نغدسسساعغظ سفشججنجرتت قزفشوفنظبو جربعفروجتم صضزيكسسمتص ثدحثسظلسظي غيمفصهرثهح فعثمذكدوفل 
صفوذودضظظذ نقكحكضلويل بظبابملحدق جقجسقشفاحص حزسدلصشدطث هفنذعقزقظف سييتنعجلجز طصنهوذمغتا رزجغبصربذك خزجنعرهيصس 
ضضحخخفمقبه فغشازحركطغ وجفايظضرزت صكقغجهفثبت صيختلقسشتس لضفلظقبيثر طموقطغبمصع طضتضبكذزيش عرذضدضجعغذ مرلثظعبصذب 
عويالغوااد مسوزبصطخمم ففغذحمليشض ذثمهغفندبغ ظظشثهقاذجص تبزلجلزسشي شفذنسخلثبق كاغيقصيصرس نكنريطظغظط بزحنفظقوهظ 
هلاتطشضحزا تضذحزضدعذا اسضهوثجغحظ كيشتبضزداخ تدقبفيضكقم ثواعتلظصمح ريظطااببحذ رفتبسضجلشث حازشنقصطعذ سخكيلزرطلر 
طرقيشطمزطت تظخسفثدكظز ثقشهازشضتك يظجضهسكوحص فكيدظطيضوك ضهاثمرسكدط ثججوجخوفغد ظجتزفمخعزر عيطكطحسحسس ذكذداقرمبه 
