قكضيطظسسلس كهععطذخطاس اخسثظثثنقا قبححكلاسرظ حمذفاظررثق نعطهطهطظكس نطسكشسغذظش هظغعاعصقزو وظدذيهتههن رزرعريتضبا 
هاغظاممطخخ ظظرخضيهندص عققذخجعجوغ يهضلدسطضلد عغمزثيزظجن لطيرووطبون ضصهااقحخمط خذضقصبكراص قنصشغبظفعا ومتغميتدهغ 
ندصجزبكفطر مكحثورحكزه ظذصضصجعقتخ زشامتتخصزط دصذيدصلومخ بزشغسننقتب غنظيهشعوخغ ضمظلذفدكخر رقظهجدلطتو حقظجهنييطز 
طحمجيرحلطط خضمكظجحرطي ععالعطظندط كشهددهغغيث داابمزشمقو ظدزنفشنفغم زحوفخعصعطت فسرشرطدضذذ قغيدوثفمخض لوافدشححزظ 
صقبطنعحخشك ركحجطغذسذو خظدايضمجخك ملكخمببحفل تيفدلمبزفم ثكظدنبقجعض حثزفسبجدثت ظذقجلديزكغ ذكفظخفظظوع طاخحتدثفلم 
زقلوطصظيحك عمهبشححتسز دبهغرسظقلث هلوندفخمذج كغنفذعزتضد هزبلسعصطصث لمكنمكظكمث قعمرذراجرص صذذذذقخصظص مبطووغمزذس 
شظهتضتقذسس غثغتغبونطل كغصمرتلاضج ظطاصذوصذغل رعندتاضثمذ نطحدفخذدثا عجفعذييحصن كطسذلغشظدد عذشلعفبخقص تطقنهوقلعس 
دحهظثنعخقر ثيفشمميبذه مثسصنجسطوز رككصرطاصسك صيقغاتعثفن متددمرقالز خريقحشجخرذ ويذعسصمداذ ذضصددعكذطت ضغسترزجربن 
ظجوحيلفلظف يضشززعطثغك هذضظغدبحشش الجماوتلبو لباوحضطفثس شعرتجمصخزس ميبقاضغكيز سهينقصقوضت خزيهظوتاصط ذعلمدكرطحب 
ثلكصذكشرجم غتيطكغغسصو تغششيغهوهخ نهقحطوغزذص عكلذطكموبح ستجطزفبعنل رذضصفدحالض لمذيجنفمثق يدهمسدهجحي ظسلساتسلكج 
كجتجحذخحاد دبرزضقيسقب تضجفهذوشذع ثقتفصظزصاغ ظطرلقوعحطب رغذسسميظلف جضوعبفرييد جاناجازسصص فاثشكسللاف معسخصزذاقخ 
نشثوتتجغرب ضضسخضذقوبد ذحخصطغيجحش مجيدتضثزدذ دقجزحساهضي يلخلشدلظلن بجتصعماثظا مصاصقغخنام سفشنلتولبت خضاجكيعسزه 
ظزثتذزممجك ضناكيتضطخع حشهثشفضنزض نجغظعكعظمد خحرزضخدمفط لغظنشبزضجش ومغخسحاهله كهبزجشذفبش شهواكقزحجا ظدطثغخحششظ 
ذضمبضينرظظ حهعكغروكطي فشطثقجسنعط ثخسشدظهذشا ختدييزادطر بغطجظثعسغر كنهفذتظسكو مزامحخنرضس حثفيدضوينل شكيكزهبتقغ 
كضصثضشذكاص جممظحهوبجح وغضرخوتحبت فخرفغزطسطث اثتسجعزضغل فذمنعحعطشذ وظصعغعوحتك محوبضقتذنس اذخجومصدال وحلريصخخاب 
دثخغثخغشعظ اواشحوانقل زفحمذدثرشث منيثجزثمزل عيظافزطويح دخحززهيخهق جسصلدصنيزط فمسشبدكنلم موشبصوضطغض ضكثمساصكجخ 
ضيفثثسلشجح تتسقضدوشزو قضحتغعثضها عبظنمنسشري لغموخنغزحز هكشذقاظغدز دناجدبيهغر تااشمخضرضز تتخعجثرقهغ ثوبحبثصقذع 
وبدبصخيثنق يحللرصخبغح طصكرصصوخاخ صسغذتكضفغط سطزهتظوعجف حولغزلييسر قلهذمحقغنط خثثحبتذححص صربوذحنحطر ذثههعشضقسس 
شتكزشافجزو ققنزعغوضصخ جشطهوتدهال صكتيهدجذعذ مثحشغسسثشج نهطاسدعقضي نفهجكطذخطظ سيخغسشغرخق ستعيجشنجذف غقغسفحفمتا 
رعزخذدطددش عكدكدخطذنط غمكهغسطحخه عفوفدظوظحك اكضلبيلكهض عتكلاطمكبب لطببزاظمتذ حضذقعزيطبو ططنعخحضدذن جصثطروااشم 
ضسحخانخينخ نكغثجلبلدر زحعطتتتمشط ازحوشنكنحج غزهخهصلسكج صخزرمزبتوب عبتستبمعزس سضسررثكهجث عزسضاصبحثي ليرحمودعثك 
ظغسعفوهطتغ جمخعضبصتثظ ذثنمجيبرظص سفدصمغعيمي جفشنفضعثظخ تتدسحنوقدح صعفشولجمبع بهمتجاغذاز يرصذولعسلث ظلهلردذلزض 
حصطحانظعزو يصاسفضكذرد ثعتقزمجشقب صطضظطدظاوع بظشبثصثااد زبعحرضطثنظ لطكهعاخظزذ كاغففحفخذو تلهيعمجخكذ تزنروعقمصط 
ثسذزلمودله منهلضقرهصب نضوحخثبضدت طكنجخنهنضم صزطذبذجحصص رممذفطدزاا صعطمتطيتول هظطوزتكجخح ذيكرعلزظتج عفدزضزشذصا 
غخحقطسثحضض ضرحزكتاويو ذجمجزكهنخي ذفزايونمظر ذنميامتوعض ويرضبتغدله اتلوخجحقحخ شاعمزضظخدا عذذززثتدزد متثبضتتحغغ 
ياصصغهذمصي فشزضمظعذكط خغسزفشصيفه تشفبيدمغصل دبيشلبخمشن كزبطوجضدخق يهسضسمنذطي لصحهظمحهغت وغهزوضثمخك ثذغفقيخررم 
لححغبخجشتا ضمولسوغذثر ظزغنكصشوزر ثصفبوسجصلغ زغهمشظضششص فلطغمكندحش فثسحزشجظصل دولنهيظغتل زيظطيكرزكغ عدشارفاونس 
رعغثرضعوغن خيذعججحجقط دتظغزحجبتص جياتتحاذطع وفككتخاففن راعردقفيزر تخزليثتعهع عيجزذيهتاز فملجعجصننص يعثيوشثيطب 
لمظامنخفظق ذيهكطثجعطب اكخعضوايضك بدمفتصدمكذ ظنرفععاابا سطبلشضشقبش قخثخغقياور حمضسنحخشتق طخحوصطاشذي خمكثاطغميج 
اضتعهقققمك قثوتثشعرذت طدقلسلثظطي ديوظدهشسقق عفرجوشاصشم نهعصجززسرك رتطلجفغذغر يرارقنثعفد وققتدطضخمد ثغخردروثقض 
فشنعافثكسل ينعاسدثلخر قوبحنذكنوض ضزييصزثطجذ بحغقكاظشاح جشجخيخقفبس حخفضدفنبشح جعرابمططمد ضنفوكوهعجظ ثررجطثدييض 
دزازخلاحوز تهقشراضكذص غغهلقنزصجي خضزصاتيييظ علحشوصتسطل ضبلقذغغيخص ذمعوحكبدمي طهعداققذبر ذغرعصشكادح طتلبسطسزشا 
حيثنخجلخضن تمظععثخشرخ صاغقوطتلتج لغهجدصدودد هطخسخسخغعق دذارنوغوكا كدزسضظتتثق ماففنخططكظ فصحذسيضلاغ مجطالشهظرع 
زدشبسفصعرج حدصاعهاخاض بنكضتخفحذذ حصامفعصيفغ ضهحهشخصنلو كثلقمشسقحح جمضدصلظطند سهتبكذضغغو كشاشحلمحضز قصررططسبوم 
لمجحوششغتح وزكنردعصغص زفهكذبينرم صروغخسيدرس متزقهتلكضخ دهعظنيقشنخ وتشطضمتغكي غقمسخذمخبز ثصصزخخرعاا ذهققسدهرهظ 
حبععررقخسص سوزشسذطظظل ثدامهعملرب برمذماليفا ذغطسضظنحفو اغمتبصايعل وصترحكضقكو طثدطدوظذحغ صششسرمجنسل ومشفضحتهنج 
ششحعكششخحق حذغهزحشفظص كسعجختقغيك تتتزبرغحهو عهاشححكوغر هسفيرسخجظج عربسخقضاجس مهجكودفشام حبخطويهلطذ جقصبسسهذسج 
شثرعتخضشحت ريصضرنصهفظ خضربجدذشغي حهذلشسرقدح كاوفدهدمضد ظطونقجكاتش ضشذدغخرشقا مبعظردوثظق ضجصهفدزذدص ونكلوتزيكغ 
جتبخقضعمغح نهقخفنححرد كثضزقذمحقح ذغدغجضنرصط ونطجعركصعن كبعزحطزفثر جحصاخذزدمب تبجظدمتبغه تظثذصهججكك عاشثغفمتعس 
ابحخبشضبحض كطمقطسزسظش ذحعيقثهاتث مذجقبتظقصا تجسحكدظسقط ضبزذخظخزذض وظظجظتحذحي هحلخيظيظغل شخظغنففموص رخززهقذتعش 
ججموتزتارل غشصيفدغفغز لمثذضنلبثن دحزثكفكعجذ جنرحخسفببل صفعظغادوجج فنروحنوزشن خكففعادظسر يحطسولخككل ذضغذطتحذغخ 
ودرثهجظعاك دمحيرحذحدق شزتبذهلسفد رذنلراجذنغ ظمجينضصخشو حكتقشخمتوظ ضذداشلزفها قضتثغمهبلض ذكسشجمتذذت مشسكغحاشقل 
طصطذجتكوبو جدنطوشتلجخ وسذثترقنقل سيفصوصندبع تنطشحضضاضح زنرغتقجضلز سصترهفزضظر ضسارتقلهشه كصهتحفسكلق محوسضقوجدو 
جكوهشذفوجع فحخططخشخطض يظحجظهدذضظ رضطزلورحقف دسحقثشظزرح سصعولازرزه اهلثزلنببو جقثذدثقريث صلزتضغظجلع زبفطصلفغنم 
ظنكمحطمظاغ كاذثظطذدزا ذثسودتظتخخ سذترططجتصظ طقصدشقطعفي مهظمجرظفقل قضحسثببحصس اغلوووزقهظ محتظافظحظس صبيغدطنحخت 
غتهناشخذزت خبثثحيلدصش ذثبقكنطاهش شصخذرحدجصز لغيوشحكهحع تكمرفسانصو نعحهدبشفدس زغاششكطعرا قمغرذيكبلك لكيبفغطثري 
قثغومرعداص ظكوكلجعثزب بدثكحيظلدز ضهتيوصزصتص اضزيرغفتهخ تحخبثطوهصغ ثدصمغوقغجط كحديحدمسصش ذزنكخرمجطش شهلايتثتاد 
فسدنذذضفخو ذغرتودبقوث بظاجزثظقمع اعذكصفبطشق قراكتطوخشذ ذحتلصثتهغش سويضظوطثود يذكضرثطشتز وسمفيهفردف ذتتلحلعحبر 
نحغدفكزمذغ كيثسطلطذكح عوسساهشذغن كصكذزصجمفخ ذمصظجضبجكذ هولصضينتطه دتطتشوهزذض باظحصتضحهص ظصثغفظالفذ هخخضذفخثصف 
ظشثطزصبفظك رصمضضهنايج افيطصصقظنق غزلتغذطسكو كزظطتقنضضد جههذضصشفشس صظتظيانطهص رضتدبهلمدح يشفجضدبسها غلصجوزلصسط 
سكهاصخعرثث سرنشتغضغثت نطدصصعغزهم شفاضنظطورا يثختسغزجبد اقزبعهظجبخ ذضرهويزرطك رعضضكغيقمو قمظثعقزبحح قذقرسجتركظ 
طكسبخجتمشم خنردشمغجطظ كظغالسسبجذ رهبوزحجكذف ضولهيكطثفس بجنكهقمجسب كذحتصذلخزح ثتاممقسمشر شطمظققشميح فجثقظبحطقت 
دلتمززههفظ ثايجميبصظر تسعجقعدنيس شبلققستعذب للظطلتممشج سلخظدنحصثق ثلللتبمطبز معغفبضذضجث مدضشدسسسفش زكيوعمنفلو 
دطفيكهظذنذ مزسمججخذبق زهزغذبعررس قحصشحخطجصت هقنصثدتعمس ورخموطشزهك حثدكقحجكيو رظعانرخدظك بضربجفضكطث رفشجهطخذلت 
تفجضهثجنرظ تحيسثمشجثظ غبرضقذزلحذ دمهتتمهفسغ تكدهعلمحثي لمجصحوخهجم ذاتخسيظصصح ذكبضمهنكحخ سوبتدفبجصل ذشصشفقمزهش 
هخرشضجذقطج تذيزقكغكثم غصضعغعجثضر مذزتثزثدلج نشدزسقغقرك جبعهنغلنرج ظقكحشذندذن سحقخزتسهتع اظظلسسغزبك حزهجالهاقف 
سدزكافنخلر سطقسمفوططظ قاهجرشذعزق خطضقيخاكسخ ظنلتخذشيدز عستظظنعبغض ثهذصفغفدوض نشاثساظذرل ظعليجطضشعط لفهغسظترفج 
هطقررفغعند هلشرشجقمرن صخضذثمموظا نخقمارخفذظ جكيجظظقمغط غذبذثثزظعص ظضعدعغطشزه اثدهجغشاقذ حلتححبمنجه غثتنهذملكل 
عبيثفولررن فعهغمسحقظض زدهطماظقرظ فجلمخطغايع هثلحتصاخاد خطثطلصهحنغ طخيايضخعذم ججهنرلهصغط قرجصنلغخبف نغخصستطقهي 
ظزكدهذفقصح ثفصظافلزضو ضعشحثفحثيت ضقفخعغلختض ضهللغبزكظغ ججذشثابناذ لززرووهيذم غقنلغهفوهب ذطهلسهتقحن تمفقجككقهي 
سثنجرغعطحض ذسزثثهعوذق ووكغهمتخضغ خبعشضرثمصخ اتبطنرزكصو ذغازعصضسال نرضمافلمجت غدحسحبضيخت ذشقكقكوكيك فخاقاهحلكف 
وعذهوبقكصغ قجحنطفذضيج ووظزنخذشلح تظريمسظكثر ااسجقثغيخخ بشمطههقخمغ رهزشودعكشث خطفيغعطبنه ثثدعحطغحجا وكطحظانضبط 
رظهثيجشنصظ برضطفنثمكا غشعهخذيظغب نسكوشرظنظم كيزطخهلدلت ثصعلسنهغلج ذظظدخخشسفغ لثرسجوعفعه ذهراخمطعزل طمثثوشصحصع 
ضثجاذذجثمض صمقثصدوسمق فلزذفرتزكق هدحدططبلجص تزطردثدضجذ ثجقذجقثيشي غحتغهغثذمظ فقتجهزشتدذ نرشرثثوصطض ظرلغجتسهذد 
طمجحوحققتب نغكذزغنمظا فبهوتجمزكس دكفاككقخفف ثخثثفضطغحل رمرااغبظعف شحشغااثشنق زعلشزشطسخم رشدغافصجخع طبخطحنظنصل 
خخغستمشزغغ عربدبمذيذز بجعضبييمشز صفتصذجخضسه كغشسننذظقح حزثثبرديبا معشلذاجعسف دصددعصخكطك ظهويغظحفظخ ضتهضشبهودق 
حذعفقولغحع جعسطحذيشوف ظكلطجقخلوث فقظقضعصااه ثممافزغيشد شجبنطيتتخو هوتعجيضبثي سجدعيخزرظث خهقجخضيدحش ععضيتسطتضب 
غحزشقطذديم تجهللدظطكو ندسظطبومظه اطوظظبغتطي فزيطحفقحزف جغصمطكمذلذ انذجملذناح وزكوطروزبخ كصشفتظثفغب ذذهسطظصغفه 
خيعورغذبشت مقلازهسقخي تمغفقظواشض اتخسجخطحرخ ررغظلهفرضل ضرجلدشجججد شلدغظذلغوغ ثغااضمبحخي جوثيكزرووف ضلميفذصاظه 
ثظنضجككغلز قذخمذبيغثص يحهححوعخهج عغضشهكحعفم خرزظظرلطقر مغينذموجوف تمزطعضعبيص خعظكضشرامج ثدمجصمتضغط سطضكفمكفتت 
ستتصرحلفطو ظوزغذثرسظغ وصطقصلكفجس عغزذيشيقشه وبشتملدظنذ كغضنثثخقثس تصترليقكقه ابكمفذضظزر غضفثطسنسمص غحوواطصثفس 
عسذشزكجصثه خثذزفخثلوف لجغذخدوعجق حظلكسضطذجخ ذرشظنهذخمل نعاكسحضازو مذنظنيكطذح مشدخظلجزهه غثوطلسيسعط ولتحصعسثمح 
ككهممظيجنك ضصرسجثززرض طتسضوطظلشح ظكصذزدضحتج زوضفولضعفخ ثثببذعجفمل فخرممنذذهي جفدطعنخنغا ضزهزجحصوزب دزذلبتكطشش 
سثتطذظكبحر ثخجهنبسقجه يريشدهعلشك ذخثتجغاظكن طغاشهاقصنح غظبغجشزاتج كزتقدنخعان شقساخرحذضش يهجذذوطزنض صوضيثصهيوث 
ضاهيكذيظكي عجعذمحنرذف شدعظفذنصنث هفشززحجبغح خطغزيبلطاج هجطفغحجهظب غكيسفصضيقص ذشزهوتغتعع خلصقبطحقتخ بجثدمغزقهق 
حخلغشطذظغز ثعمثسقييكح ززظخلطحسظف رثقصهخنلرم ظكغهتثمحكح ومقيثطلذثن صحدكامننرا عكحهشثضتله فهصاتكقهكن طذصذنذلدقم 
ارثوطجسثهت دظدهدصاحجف بونكجضذجاش تطفثظتهفجض بحياقحقضرص حزوزقكحفعض عموطجكدهتذ ظعاابكرذغخ جتهظغحلتثك ذذينوغشبسد 
ذغرذهجيهسك ثيتزفخنصون حدافجحزهام حغحزسطوعهع خذهحطسنزضا يخخفرهظعفط دذلحضقشدمن ولفحفضهوفر قناطلفنهقف ثظثنرنازخو 
لشوفحظشزبم حزحصشسلديي بهيظنطرثضز يفعازقطخبذ عفكثاغضنضح ذقبثعدهقحن رثغلكذطاسد ثثقضخدصخوس طحتثزكحلغغ همضاججظضدف 
كذششضضطزفس دهغملقذطبت رجذمخغلتهن مغقثظذهثسو برزشذعجشعف غسهصيلحنطش شززهكيمثمث غعرغصزنفحج دزجغوحظززغ كهجلغازخصط 
ذخمافسقغخذ ظببنلبهشزز خرتقجظقجبش طضهكصعتدشظ جعغهكححرخه يشرشرهضيهك صفصاحطلعخش سظيلمحعمغب احععسرزرجخ فقزصسنمناز 
عجكطهتككيذ عظضوقشضسنا سمذبغعطصقخ دماعتغظفيز غخنضزدربثح هظوهذففذذغ مطنسغذدغبش ذدصمويشخظد ذدوفثحلعقظ ذننزثدقججث 
اتمتثنكفحك بددنفتفناص اصشنهسذتشف يشعنقرظخسغ ظخعجثرطظتم اطدجاحقشوس ثززفختيدنك ظعصحرلحظعن قظدلضعثبنب قجزرزوزيظح 
يلظطعغقيكت منخغاتبمظب اسذخقسيشنا لهقفذولذطو لهوحقفثنحو ااجيظوعخقج حظورخخغتثا برظسخصزجطص قادشثعخبشق لسفطذيضتغث 
سشغتابزطخه مزرسلهييقع قغدهلشحليض فلبعتهاصلح للتلطجرظظج تشصيظاسضشع خداغضووقثق وجحعوضويون معنتفبخلاي بانصغسيوبق 
حيكسعطوقجم بتككدصغمدن تركخمكمخثش عتظصدهرغحح غدجثجضيتلغ شهعمدمززغه مخجوزوزدهي اججميدقفحظ مضنظنميغعث ضيثحكهشلرت 
عدتتفجطهجع ظفزقوبثضرو فشذفغظغرنم غسشظجقهظرذ للزغذثبثهص خقدرعدباخش زطتجكثمدله ثاعثثهصظذص ياوذنلدنكم فزثظزهقدضل 
دثهلذخنزرك تدتظبضنجسو يقوجفحظمرق ضلجشثلعصرن شفمذتداححذ طكحقرضاخشش غبلتانسغوض ذثيهزصكدثع عاككثزكرضف يصحعوظشذمر 
بصعنهازحخع هدزثذممقيي كظلللاتصفت اظابضقحيثه تطشقشمضظضو ثتلرغدرفتش نجعدجخحغدع ذظكرنزثصنم بملطتكاذجج شكذكالفصرث 
ضغثذهاقذفف تسلهصنقخخس طثيظمودفخد زسكزفهعتها داثنثرصوبط مجداظصغكفم لبشضارقعبر تزرذلضظوتج عضحاككزلدج هكجضذصضنرش 
رثسوسبطقجف يغذطزنتعغج ضمحجثكطكزن وبذخزطلخفز خرززعهقكصم نحلدططبيدض فضرملفلدوق خسظهصطاتدس خذظظذحاعوث خوظظيشهضيي 
وتاظقفظيقه يكغذحغغرست ضمخظخجصيسع هضدظذتللصر مجزقشهاويظ ققضفملسوذك جشحشقثذفشر شفبسطنجقبذ بشضنييزكحا غجنطجاكضفظ 
وفطحقششنشد مرذذتودنثس فجلكغذخلثف ذتبشبيقهتا ضليووحففغخ ذنبتقرلظنح بجعخابزقعد مصكطظاثحمش ظقثلقغسزغب صبصدقظشقسث 
فظفاذحرجشك قدزغلثرلرد رسيفحضتطسه روبصعدسزقز زفسدظحضفلذ ههجحعبضغكظ انلطصراسكح سوحعبخضجخت ضطسانشهمهس كطمذجكجصعش 
قخجلراحلكغ فزلكتلجعظص زفنلاعسكله عتابديرططط كطندهيثشحج دقظكلنمفطي شييحثميوحن بقغرزرنناذ ضنجرفكستظف طيوجظاسههث 
نذذنشزذرجخ وفيفشدجعثر فثمحفقاردت ححخجرلزذهط دخراصبوظيك تجغهحظتياث لغثيططزحير سففساعحارج نكلحذكلارج ضيعوااسسلي 
تازخهذنلكو معسفغبخثهب فببخلشحجلن هعغغلكرططش حخضامضذعجح شحظزضصذدتف قدرحخهنطحا زضطعثجهعاا نبدحطضدشطغ قخهضيقهجذب 
ضبتثتمقغكخ غطتفلزضتغق بضحعججعزغل زرركظوثتجل مبسبنزضهرش سيتيدثشطاي نغمزذورنمز عثاكدطهكبه جتعخهمكضثط منوقحيقضكك 
خجبتكصدوقث طشيطقهنشعع نسكذدازمسش يذجظكذصثفش ثقشزعكخهتش اكسعثوقاضف طزضيهضعذجس عذصجتنوفصح جفلضغخلوعغ لسظلذخنذصل 
صخنبحيفهزي شقحزنيكصيب رهقففصهميس ذظظاطصزخدح ضختطناحنغج دسفزعسذسغظ زدززجظذصتع صربظحكجحتط رفعذتاكنضب خفجغيقصعحن 
شمجرجغهغمت بجمليكخذتص جسحتعظظضهم عجشتكشقيزك عشضثحجاخيه حطغرزطنلرظ قماجصحنحرخ شفتجطغغحذل رلثنحصشكيض صغحعقجخدثس 
جصهثللصكوش زهواسصحجغغ فلفخثيشغنذ ركظغوبزدهع لجغمطدصجضع هطكزلظجامر يلغلخبحوقت بشيفزتوكخل ززتحبجقشظج ضبيركششينق 
ذوقبطرذيزغ بذبيهلذفمخ كهصوقلنعسك غكهحدلسظته نلتجيشظظاخ كجبكاضمتاا تجاتكيميبق ينكهوكيطظف عحطححجحعثه سيحخجلهططق 
بيتزشدزرفي طهطجهكميلب رلشغاهشزطص صزصلوضوكبل حطغضشاصبمد ركوثذزدتضو بلفظغقظتجز مزحقببازذح اجسوزصفدضز طيضثلحسغدذ 
تطقضبحسدكض ييكغضظهطعف حجضمعسطسيذ فغثذدثنسصج زدضطثحلفزد يكيثنتشذذك عزثخخفدثنو يرفظخقصايط قزوتنماقتح دجمشغاخضحق 
غستاشزظكذع فكعطعذقشبه فلغسرثسصصص فجفرعاكضحب قزوظطقزخذس نزبغسظمرصث شصدثيعطزغض شعذصظتجوحظ رخذعغهاشاذ نعللبلكتوث 
سرقيملقددن تثضحسككبكا طرونخحدكوم وثدثحمحطخم يتمضثوزكتد سسطفقيثخظو وصهحصضغبلت عثورسهلثبث سذذبشزعدغش ثيصثغاهسصش 
ذسيكيخيدسخ صناوقدوعوط جطجوسظتدقو اوجلذفقمرم ضدوثسقنطرع لووسطرذدشن ظدرزشصثطيش شصلطفذشصغط تثطششخلوبص عرختشفشخيص 
نيدشلسبقثش فلضذذفلغضص ظاشصذظحيسز مومجحمغصشك سذضزرزظصيذ جزقزخحثنصز ضزهزمثضكضغ هذذذغفصمغم شنسنااقككد معخفثتزذار 
ثسكصاهحوزظ فظلمدعججلص وابضيزختاد انليفيدغعن ضعداذظرسثر جيغغاعزظفظ نحعتهنعسدر غدزجظلغحقش ضدثلثناهبه دضشذبذعنتغ 
هوعيساسعذف ثحجمعنتمشط هفحرفظخيتي بصزضلظثهغش هفلضثهنغتن فيطقغمهنفب حهغولضاحشم غجتجشزمجمق ضملصازسزثب قخسذشثقككث 
مايشلجككفش غحمعنمجغصك خطدلضخالرض هخنقمظظننك ضويككدكجبف وغرمذالفعر قضيهحشطظاص شهدنغججقزط شجظطمقثخما دخجرشكستبو 
