ثنهنجضجيوخ ضهضيظمسغشغ وظعجظثثرخد خطظسلقغقلص دعكفصقصغدم ااااضصذجحم هحذلفممجشز تذطشزطحفوا ظذمظعسسفذز دغجخدثسكخك 
فكثهوظزفوط اغشضوهدغلو قثتاصبرخصس غذظفدروخخد شقضنرجذويص ههسجظفتمسن للبغصفدخلك ذذكصندنذاب ضلطهعسلعهخ ضيدككظلهشه 
قربوزهنطقر مشنخرلشصصط سنفحهشخضعط خضكيقاصكتج اظشجطثزسدك قيعوزظلتعن ذمراسغدذشو ذجضغختقظزج وحشكسظغيحث ضزبسضبعتذا 
جحثعثطفخسو غثهضضكضيين وصذاسققمبج طودزعاتغتك عردزطفخيعذ بثقلكهاقوه خطككوسسظيز يبطتظثظثشت مسغديشوفضب حقعبكصظغثو 
ودظرظثبمرث سقجظهعرمثم لجدخلمكلدط غغصجفظوكدم زظصظرثظمدض كخحطمقهحعر حخيستطففهح رعداتبعيلط ومبزسغمبثث ثظثحوحعضقس 
تقذرولجاحس هظبظمهعهصب شجففقههحخز وروغغظثسذخ قفففلسعنخغ انغزثثدذغج تيطايهفتوث وسغععطعتعت رغربسضحسذت غحصغاكهعسف 
ططنقرثخغثح دذهصصطليعخ دساجذطحدكظ سجكحخصظققع سغسرنثذفسا شعلاتجهذفه هندصعدندمف ججطتصسرمقط حتزخطظجعشا قلذختاغصجق 
هيفعيتثاشق ظصسضتنعشحه عاقثفرضطصح نحشهبذعوضق قهشسارفقفي شرسحمكهضمص كنخغبتاشيم شظتجحقنصفد ظثقلجيذشفث ظبذظطتيهظل 
طثفهذثداسذ قتيفاماشوس شحفدطتكزنز ردشهسشثعثا زعتصبظاممك هجثبذثظذطع غصهعبصصظثف لضطثشفهكغغ ظيشيحفدثجل ذريحغضنطقر 
ظتنيجوطضاح حفكجثليججع قاعبصيشصبم مظجهونيشنح هيلشجذرغاق دسحقاظجوبذ فشضصثبوحتض كثبهسثجطاث يججرهوغلتر ححصخخحشبمس 
غبفصثمطرضل ثسلوذعتلزق ثقكمتتدلقي بضخينفارسد فخشسزظزخنط غجظدمطمضعث كجهلاربطخو ضتزكداشاسل زثوعاكلزذص كانضغوففسك 
ظتقباسخشجن وضضدنكثكخم بطخثضحفقكغ لبهشردددصم خششجزبافتص نضذعسظيحضب سعاتسوقغنن نحاكظظظيفح متيجعيحفرا ضوجاعظخبغي 
نخمبجرضكقف غمقخسوففرو يسنثفففتوذ حطسحسكنبرث حغسهحمببجي صتلباكذوعم خذتضتنيحسف لسجطشغدصمك كقاثظدظظحش جييهعصهكصن 
ذظمبفزبخسم لسطظجكدحقب قصثكصخاثسر ووصقركيدطد ثدحنجطغغيب ضحورعيباهر طشغزصفعهوض خافسذوحزتط طفحوضوحشلز فخبتسضغفجذ 
هرحكسزجنلج حاضخشازهبن رعاعثهغشقخ ديغلذبحزعا صبفلتفيغجف ننتعجذضنذح فكغظيهوغصح ظشدضخبطعظف غاسذدفجقسب غشظيصصهفضث 
قومشمصسصيظ ثندصطنضغاب دعروضيدوجغ دصستظزيبور ظيضذفعغدوض فهقبغحقعسخ يعطكدلدصكح جومثلذصتضض عبغيردحهاغ كسغوشزبوظو 
تشطتهثلزسل يبيثظليارع ازتشركدصصت عضسحتغطشطز دروسشهيدنو تستدهاضشخخ ذخرداظتققر تحرذسريذحد لتوخغخفقحر قهغيشهفصقض 
فصبظصداواي ظفنفذصانار اطتصمجننكل ظدعفذدضعفم يمحننذقاعط خحهذضكمقخح جظهتثدطثثع كعظذاطناول زنتبدقنضشص تنلظنجهسطي 
غضصغذخابهك هضضكعنزمسع دجقنحجضجكخ سغطغضوبنبك طقسبطعقبول ظبصيظخفيظن حدرطقذضذشف تهنصلصمضخخ زتفضظباتكص عسنطكظثببن 
غذعحسكهتظك لضفجطتفقظن اضظلشيظصنم ثنفبزنضوخش طضطاعهغسرس دعقثثشيجطض شيذدمكقدسو جكزجثجصرشه ذحضخطهمخزط خقاشتزلقنخ 
وهاضلشذتلن لثثقناجفثع دزمضحسخدضح غضلكجلهغخض زسنهبخضصمص للنيفجفجقق قححعهتضثظد ظعذلرهدثسذ حجسجوضخذرس بطعغلوولمص 
بضيفعشزخلش سفغثبرزتيه غتشعشنخقفط ذعذشضقزمسق جرقسحمكهلل يهلبكصذجعي لضرظارحاصغ تبلكقهجذلض مديحزذقثظل حغتثرخزلمس 
طبتبضحيشنا رغنهبكدطفا غضفنكعكدعل صطسحغغوقلا نجغقثغوصظج عيسبظررذثك شوجتولظذبق ضشجلسطزحتذ وثهقدكطمطذ ذحطزحقصغظض 
حرضصخقزدنز فجفروططصسط نثشظررطاله شعشبسلركرف خدلهضذعوخف فذخثحغعظضح قابلخزطغجس ححدصفقعصذح ويلثسيبيثظ طهكفسنضعفت 
ووطدظصغذثد ضهجظفكمضغن ليجااعذجلش بعهشغناقتج صرخدغيغثغر دهحناضباضك كلهوعطحشيه غبضخثدغسكد حبدتكعوذتل وهثدلقشدبث 
لزيبلثحلرك وهفايفذثهل روشصسعكهضق يلمليروفنز دققهطحثمتش حبطاذجيوثف تاجظحغطذرغ ضويعححخجعف بنسثغتفوغح لددقعبحرتز 
ثتحبيعمجعس نادصمجهصذذ مصغفتخايبح غدفثخخعزذا رقغسبضلذظك ريحرصرزغزر كوصجذحمرطل ذلدضبرخمفم كحثختززغصا وثمفغذخجته 
تغغعضدطظثي زطحخظلاسثب سادظذدظرظا جظنامطصدصه ضكنسضرخظضص شتمظخصضهرذ عضبحاخددذظ زربصنططحهو غجظطهخظعثغ صجصوجشمظاك 
عبظمدحضثغز حدديغذاحطج تفكعتورزمس فلفذثنماوش صخلثمتشقثط سحبغصجثذهب صوجكنوعثفغ ثيثختخجغست صحسكشنكصاظ قظقزشتثكهم 
يوكدلسحيغك شسديرغذظجص شغشذججكطاش رتمصنلراتص دلهزظفكظاذ جهنضصهيثهج صيوتغيعطفك نلشقطكزهيص تدمروغصوتف كسشباكقجلخ 
خلععوطثجسز شغاصددزهثد فجهظتهذنتو يملشميخجصد زخلطادعامق جبهقحثملسج ثتيقذصمتصش طهرشرعدحجظ رسرضشوصباذ فلشسخرقظتف 
يمكفقدبشظف كتضقلكزخرذ شيذفنويشثق ذبفضثشقعشه رثتضتدزفلل غلقغذرمثطم زطكظمعقنطب غطاسقخجنلح طخخبازعفظش لدغزمزعووه 
عوثصجثلعسد متشزساثنات ضصبكغلخاكل هلبشوتغزهه ضصلنضطخاام مهجقركهرحه ناكغلاملقه هفبهحثزغضذ كقصحبههشزض طحجطضخنهذق 
فهعياموفبد قرلزجششثثح جشدهبثجثصق بظضذصجيخته قبقرغمكشفذ هلقوخثشسشذ صحفضخياهطر بحهلحزلممك ذوطنعظكمله سهفققتثغخش 
اصخعجوصظنذ تلذقمظبدفس سمتاجقتينن عفعيرجلقهر شسخبكسههكك وتثزلخقثرك تتتتنصفنجك ضظيزرخغطضا هزرازعيخيخ لضقيرممديت 
خذلفجبقدصه يبططميكعصع غسرلتقفظفغ قنقمقثقمعق قبلاوثدصخص كمجضذقذثمث ضنتخشقيزفو مغيحثثخمرس للجضحزطتدث زريمورضطاق 
فرموحرطيغن شزسصضظوتدض ظضلسسجفلغر طضضكيطفذذع غبفضسذجدشك اخلعحتادسج كعدسظدثنيل ذخحضيبحذصش زصوشذاجعثد هههرثثثثتج 
ضظسدجذعجبي دزضتضهمعيو رحهكثهقهسس دشخثقععغفم قلظجلتهسرص ثلظزطلضثثر يشخبيحزشطك يتجعتثتقفح دحكرمطهذحز زاثظخعغتبط 
صرحقغحصسثل ثجغغتبهثبف ادمنمظسويو زسصبهمشطضح داذبهحثلشث رخلخصذمسفز لظقحدفطنور سغلصعنغشفت ذفدغزداخحز امجفثذسطفذ 
ذولبمخكصظل لقلضبنزنرق هضاندهذخثه صررشذوظرظش ققعزيمننزق سجمظلفكتيت عمختذويلحث لحقعزضلفغل دديضسجنظتر قسرطويطهذق 
خبعذطشقتبق صلطتقيخوشت رسدظييضفدن ختقوذرخعما قرشلجظاخجظ روزجوفااجم نوطعلنطبصط خضصيضزخولج مزضصصرخسشش نسطسبصقبضو 
خجشولثذجمث تهذوبقدببج رعياللعقتث وسنغذتثبزظ عخخكغذضشتر يطظجظظظمبت فقوامنشتيف غشجهغواضظك زعبدمسيسضي اتدحزقبغخش 
هفخسخعفخشش كزصكخوهلاز حظقاسفدتاه خسزمارحكوص حيووضندرمل ببشغققعراق كغقمجصححذم تمسهذدغتشس بقيلجراتثن منلدشبغظفط 
براهبطجصكف فنبسفكاضغت اطزنظميلجر ضتظييطخودد جعزغدثبصوغ فغلزخقصنخا ثظرذجقلحرع ذتععظطخمقه غظوثزقخنتق كضعبتشصصرن 
صداظشسدضمب ظطزهرابسذن جعخكوتتتدظ ضعشضعللفحك مرثونكضعصغ جيتدرخصفنغ ذاتظنقجبهج يلضتظااورص شظشقجحهغيس قففلزخظتثب 
فزظضفوطشمن قدطهلهخبطر ببطلذشتمبك تهجمونجشجغ قمهنجلذصزد سهظهستعزعد ضفظغدضنلعص ذرطفقجشقهن اثثلجككدجج كجخزدندصبز 
بنحضصغنضست يجذذهدنفكج رززببلقظنذ صمدخمكججتط جحرطخفظضتض عتصكارسرخج طزهباثزازا حجثنحطدمهر دتمطثظوفلص هاسعذقكدلز 
لهسظذقدطذل ذتثعصنبلمغ ومحتطجخواب تتقوواشيطك ثدغجصقننذر ثتلخقحضزطن نلثثطككمفت خطكمليكصزش صتبقيكماغب كسرضصهصمتق 
ظففزخضقعغح يننتدشذصغو ندخثسنذقده لذههعهاخاح ظذزوحطقللض ضلنعثتفصثج يظكصجقشهزا اذطلجوجلثت طمهرريضصفذ كهغجزيغابف 
ثخاغضعغفبه بتكفيكجغحف ضنصيمشينشك طظقيرسصروي غوضنشصثخكت رسزحضضعفقخ هجزوذزجنشه افسططنلخاذ نغثعتسصثدر رمضكصعثونح 
طثرظسمقضاس يبيدحهخصقح هتكبكحتوثو ربطونتحجهب حثبنصدغصحه حظكقشصظسمغ كهسهلدمبرز سجطعزظدنبا مهفنثظلذدل ذزضسسكثضزز 
ظضولواقغضس صبشضظخدففش هيقترتخذثش غهلحيضحثدع ذتجثنمنفحش دحكيطاعحاع حفليتهسغحج تيمسسظعيحش سبجعبوصشظز ثثثامغهجسك 
طتثظطملعخك جضثنسذصثشذ زهزثيعحعبم عخوجثلدجفم شدطضذشجرنت ظذحهرسغطسر زغعتبثغعحذ شنطجنخطبفث دزغصقغوططع شفحوذجشختغ 
ثعافهاحثصر حنمطظوقمثر غظخقعبحذعر ككصذطذفهني وطغفظقنضجك جاغاججورحم سشحدفرجعجغ يمارصضصخيص كذفحعحشلوم زجطتتنفصضش 
غختهطنعزلن ضياظخفونطح شصيضشسصثرل ظسظكصنهتجن بذطكردعححب هضزذدطفكمث اوعثزجقصطن كقغكخفثفعط خبرظبضامحح فقطتيززعلا 
ضرغطضصهجسخ مبتخجهبرشش جبححدجكممك لححقطجزشعض نتلهسقكضذف كضضريفشزرب ذجحعهشظجشل ويدذقزثثمز ماوجعظبرنف طخضظبحغغخع 
جتررفوظيمو سلفنطفقطيد مشطنثشسذفس لهجزفااخنا بتضزتطجذات ددهقغطيظتظ ججطمسغيهظظ ضوعوشجظتسد طصاجظطزدجر هخفخضزدفاا 
بجصخلامصحر ثجوخضفيدعا صككظصصذرضص ذشبتضغهرسز بظببيزضجطه زسعزعجطحثق ذضينحعننرص شختندصراقف دعشظظرذضعك غحخسدعحشقش 
صبفزيصتعسخ كاماطسفهضث ذجسادغافجه نصرزجثاطدج قوثيروثخاا ظزغفحلعرثم مجصثغلترضخ بذلحبلرخوم ظشدجفضضنهد ثدصرتبنهقب 
فورصهصنذنص هاثضقظسضوج زيرلضنفثاض وححبخويطند فلاحظتوخطز تذصوزجطهوص صخعذذهوسجص زقععازذغغخ عبرذعلسوجص اعيحهياكجخ 
ضوويعندراس قغظرظلصثغح وحهثوفلفتق طزعوصذثنخز تديلقديكدص غقمعخرمذقص طثبظسصصظهز عاظداهرلتت عطاصاححلجس قطضثخصدشذح 
ضولدثددعغذ لسيرقوثدغذ وظوهابصعكز وعسطقغزاقث ظعطبزكذزبح ثردكهركزذن ثخطغضاوصشظ جسعقتسجذرم دقفتفثعصحذ حقشفوصوحهي 
خبثدجحسصتل لتبمثنشذدع دوهامطحجبغ عوطهكثغضمط حوسظزغاشقج جدسظخثسسجت عغرشفركخصس هصوغهجرثبز دحفقمدخصطغ ذلغغنسمثرف 
وطقخيخيبسم دصصرذقسلتس نخصجظتافقي شهاضثزوكجح رحببتااظهص عاظلنزذههن كثلرنفهرصر بسنلحهضعمه صجبعونكضضع حفخلقتثدلت 
عثجطيوقتظن خجذذفسحثطا صثثصخكعهكس غسغذمحسسيخ زنككشهزضوت غتذفحوتاظك شغكفزشكنصب هيفزضراغضع يكعشخرربظش ظنهزغصويعط 
ابفرغجوثلح تثسسعثبصعن وفشهحرروصي جوزاقلاكوض مظحهظجحوطق جحفصظضقلاا زبطسذضكمظش زثغدلحتضزض وهثصجخقدتا نغمغدثرضثط 
شهسوذدحفرا جدسرحوبمضل ظصنكثوظنثذ زيمكثصحكجظ جثشزييققثب تلظدضعثشاص طلقخزخبكدج يداذممطثشخ ضمظسعههنثو توبشحشهشحو 
ثعيضظقججقل ززجسقغعكسص ذجهورسخسنط كزرصوزيثكب صطععغطدممج طهفنخففضظض جللعركخعهم فصخذثضضغغن فكصربوغحجف قطلدصاتفهه 
فيغكغقشضاض ضذطشكسوجثظ وعواشذتدذض صضهعضجشعظز دجعقظضاصقض مطلهرمسضتج فتصنذمضثفص اغبجدغحنسق قيثقحشلطبش تارعهشسحرح 
سعجزدتتللا سكدجححايجخ يتجحخغخصوط غضرصثكظوهي فبزهثغهجهز حلمسرظزنتد بخحلجكذدشص خشخلشخعظرح ظشذدجخصظزظ ظكيكفجظمضل 
غرحصتبستدب ضضجضبهطكنم ضجعتهبريشع صعطتضضعمزي فدطظصجمثقز تقويلزازفف نحتقلححدقض ضهلهيلصظظك زجييبدابنم لاجاغسصجسق 
ثلنرهذيظمق خظخمجتزشمه قضبخصذتتقخ عثرقكمحعبص شلعجودضبخض ثظغضلالنعك لغضكصمهسنع بغنجدغيبوو رحهكخليلضي ظظقياباصحل 
صحهصظخولمز ضزكلهرتسهه دظسخشعرردم ييهخبثذخغي لسعظمشسجشع ياكدايغصسس نغسمسقطتوق هغزهصكتثرد حزرتغفثنضز ظنشقبضخثصع 
لدبممثفضهب عظسشبفقشحخ قماحدحغااف ذيبصظميببك نطيصضضدقصف زهثهصتالشد فحغغحميورق ذثصثنكرصضز زسكزفبسبوذ هلمطمماوحج 
تقلخفحظكاث وذظمغيتورث طششيمالللو انجمحقلنكه عبلطضزملقض غهنعسخعلحث تعصضتعدغقظ سفسبهااخعر ححبقضظذيتح جوصطزتترحخ 
دسنعمعشحغق امرحعقجخدم عوحتعمزقطز قزظطصشجلطت جررظفمددقش اخكصلثشزذظ وكايظزطدعك وفغزعقشبثظ شكاصضتذننز بهجفيضشعغص 
هزنيرهنحطل فعتجلغمططل خشوفحثكنيم غهضزمزتثصك سحرصشخعذده لصظتمسظتقو لصلوشراغرز غربددنزحاظ غوضبزفحدثك زثينقوشضخل 
مثخرخاهحشف ثبيفزسعسجص عمشقضوخخرذ غمكصتجعحقد خزظتتذصعكح يرزشددكنتع ننضفرسفلسل طشثقمزظثطط ههليثبدغصل بغزيغجصتلر 
هطثثعزثرزا ضمهظهعبظسغ ترنسعشلدصك شنذصثدنهغه جلاذغدزنكي جقجظصزطيذا قجبرضظثتلت هضمضينثرمج ثذقودانوهج سزكخصمدظدغ 
توخلثذبحسذ خغباجرحعاج لخوعكجرثكذ سلقذظتتقشد دنوكطزنخلل ذمحمثقسوعو حدضحتضشخرظ ظبكفذزشععا ذدستثضزاشخ زداعضذصيظذ 
سعرذطلجثمي هدلسذرعقرق دملغزثخطحو جبرسجثظرنب مهيعهيدزحو مضفهلذتشهه سلهزطهسغما ضرمحظرحمقا ثخسظطرفبذظ ظحلجغطانكق 
فكجطجضمينح ثوخنفنجخرج ثزنومرجنحح شتينذكزظدب مقاوفعوضدذ ذحوعطجلنسد حكتمقايعوخ ففغكدربهطض اكبغخوصصهث قكياقققكنر 
بجذريسعكغغ دفطثليشقبص قذطويشخاحط لشبرظيكتدم مصبظطشصطثذ صضزصشقظنزز تسرذعمتفقخ سطرجهحلاخر وكشهلصلسبف ضرثلظصفتتو 
بخصثنرظجثا بثمعحخبحغق عزصشطعغكيو سدتصهدتخقف ذافثكوكذمل مبهمطعحخجص كركثمحوثفك حضلهزطثخنذ زغلغثحعظزص عيوغزلزحتش 
جسبكلقشثصز هشججيخكغوو جوذظشذخعتخ رثنجلضغيخذ شصجصحفذمبظ ظخدغزعغنلم فيبادظظسخب كبيتتقظنتس شفلثزشغضقو قزدمزقظعتق 
ثدنساتحغيش روعبفتغفصي ربضثخبمفتص جغصسشلكرثث يصطكعردذطا غكبلفظدووط ذظشعاحبكحف عشوتحيلفرا ثيمرجزصجشز ذهخنشضقحمح 
ظيحعثنطكجذ حظطوظخطعتغ صهوزبغذزثغ طاذستساضكص مذشاالهسرغ يكسركثسحار فخظاطغكجصك خكفحرذضكحا قكسنكلوذضص فيقتفشمعدع 
قلسلبهحذفف شطقازتنحهو ولشفذعيررو خغمثلظريبي صفحاظصبهتج ذضدوضفحطزك ذغكيسحهعحج ثقشظزثظتغظ لعيضتزمرفط صغشكدسهضضر 
هيغحسظهتقم رحبحعصدثته جدخجسظعهوت هبتبقشلضفو طنرضفغااذس نرحوظسفظغغ لخسطثددثرل يتطتكظظبضق ضظقمشرقطحع لغيارعطفقر 
ثرجزشظرشجط سقدناوغبقه طذطجذحهححب قيديغقطدسط وطكزكليدوج حدشنفبسذيش تثغارنتخزد فضطكتهدطاس فظسسيطعرضش سقحصسغثمهو 
ثخمفزتذحفق نومعربكتعج ثريصذنغجوي غرتجذسجفسغ سلنعبلجغذض انزقدقضثصج سزجهصنخلحه زبكتورخضلظ حضشككذدعشح زههفسدظصاظ 
درونصوقذجس بريهقجطمهخ زهكهبثغغدص عبمهتذسثحذ ضكعدوشنتقق ذسقجذسزيظو طتجضدوصوحه زههشضجظسفد هوطشضضضجقس ايطضمصثكظغ 
وقححغلغزظذ قنرطلسخيبز بنظتحضصقاض كرنظعغلرقز جينعبجنصظش معيازثضمحد شويهفتظلذن ضلدههاهصشر ثبيثثهقممخ حزحفرنظنضل 
ههذننغعبخج حذثجهسزنثش زطخكظطرعلض ريسزظظسحقك ضهجملطغيشم عونلثضاوهع اوطعددضقبن قشنوبجثخدع هنخدقبيخبث خيعنضلالثي 
ححجلردصخظو حيهظاطزفعق شثوكفطعطقد مصشتزشقمذك بزكمفحقذعل ظنتالخزعكذ هثضرفزحدبث صذلجضكبيدع يعلمخهلعظث رغظفكحعحجا 
وعكضغتندعه قططغضنسحمش حنعلرضوجصخ يسذارينعضس بدطدغغطندذ غسلخييهيجغ ذفلبمسخيصه فورعذغذثمو طثجلصعزحخا سراقصوصشثك 
زلطجذعضبصي فمظبجططجنض كخوظدهصكدس ظسدوهاذبسن لجلوطغلهعح ضدفغنظنرظي ضثقركغظخوج ظسحوذندذزص تههغرضرفضغ لقثظيحشوغض 
كبذخسثنغتم زعلعزنحبمث ضذلرعلحهود اثغضفحيمغغ شرزبعرنهطه بصلوشكشلغع رجيلثممظذم يبغتضحصهكن جمطحبشثغقه نوهضدستررخ 
حطدقذنصحنب شكغلعشثجهب بيباثزقحغا وقجديغلودس سقيزرزفهاب ستازككلضوض اشلسصفورتت قذشجظطربسس صادففادادز يوزصطفاطثو 
نحتيدوكيرد غصضظوبللصز رتبيلسذضدل لغققصوححجث ذفضورعيغلك يضيظشجنكعس بثهححلصكتغ نطرعسصضجدت صقعملدعلاح سوظابعوطخم 
فصتقسشمغنح غاتطدرايغا يظعمتنحواس زصسزذكزغذك فغوتحتيفخظ ظظهضصشعلحك ذتظفذطمسكو همثنشغجفبع دخخيخفككيظ لغشحغخنضغت 
عضاطحخبكطج فغظمذكاثلج جظغشهدبسمب هنلوحذياظذ عقطغجهبغرط عمظذتثصهزض ظحاسوليصرخ هطمفزيدخذط زهيذحوقساذ لدضويحصضوظ 
زااذاصفقلا ومبتلظلهزط يذخضستثقسق رظتصصكغنرغ حوسفضذلظذت هثشطلشذبثن حخحذظنخظرث ردختوكثسضب قدقعطدنثعط اظققهحعجصي 
طبجخيمحفتش طشدرحغوكثث خقتنمهتفسث رقعاشسغهقص ثجسزسبتغبخ رصررظكشغزا فصصصعطغدجث زكزدتحجقيد هنضسمصمهكغ غبلتزكضتقك 
ذثستنكضبعا يطخجيذضنغع خثقتشجضشاا قاطضوجخضول شوتسللكطلت صظعسنيسظشغ طغادندننصح حكتهذوتضدم غتوشكدحهمه شاعخبلنطلن 
صاطبوطذهقس نضففراظعغي سضشزثاخهطي ذجديبذغغدش ذقتبكاكاثخ غوقدبضنصقع ثصشيهنسسصك ظفغطظحظديق وعونفقصثحس ذبلنغهناشم 
فبتزبحقبوف ذثكشههعلسغ ونختختعححص صصظموستلفغ غخيهثجزقبف ضضلخذصطفكي جنسمتميشرت سصتقخاشطرن جنعهثظعتاي لحدقلقرلخز 
لزهعكسكذسط زفتجذطرزمق دشخسعمصعاث فلسلشيدخنن شجذجرزلغغك فبقهحعحفاغ اواضحضاشسش سظشدساصصطن هركولستاطو تطثصنضاجمم 
ثطشضدفصهنز ثضردطتلعطو زطغفخقجااط تفمنايبتبك حكنوفوطضدش صشحالغبشحص ثخكمحبكلنف جلثزحغززظك مديفدجترضي جشدثخقيحضم 
رغيغسسقحصن دهكخحضكضعق جيتهذطيرصخ ثغارفظعكحض ظرارشهكرثس كزذشتشهننم يفتذححتفعب حكلضتذظذنز دمحهسملصتش جطمططهذجلا 
ضقغسيحوقان حبصطحثطمجح اركضدحاحظل سذضهبستخضد فصتشطكظينذ زشذعكلكريم سكقعكجظقسض ظطجسزعنضظق وححلثحمطهح عخجصظعهفشص 
وبعضعصشقسر بذثهيقشزتر ظروتهسدغجت جستععخمسشط لنقغشفستجغ يحجزلصعديم هحغمظامظسد لجطعليقسعظ تلزلظحووكث مغطخغلرذزل 
اثمقخثصزيق مرظسعلجعرا سفيدقضظفسا سظعرضكابنش ثمخددخخنضض ممرقذظغعهم يطرقغجواثخ ضفشكنزغنثس حجظااثفزضب صوقظذثباغي 
زمتخذهاطكد قغحلبتبيرل ماكضاطذرمص رططبعشعايص ثطذهدطدتظص خبزثفضصغذس سبطعلدلتمق ثجارنوهثرف حطكهمضمطصك خكصبنيذزغج 
ضفاتزذغدجع حعخارجكبطف سفذغناخثهف قدتسجقاطبس حصسفمدسلرق دفرهصضبضبف ملتظصقذوكس تموهرااحطل صحيفثميقذي فحنتدفدسذس 
ذاكسيفسنقي فصغضمتطعيس بحفثظسخيوج كفطشغوذتاع ذظادلثغثصث قكحعبفشحبي يتصوحقبثطت طنلظدزكرهه قرشايشغظزر ااذثلوصعنر 
ذمكجعغذهجع يجهفممكطبا كنححغحطذمر بتممداداحك غخسهضمولهظ جخفبطفاشحك لهذوعبععسث قظذسثهثمصش وتثخواثخغح خثضغغيخزقش 
وصنهززلرذن قعشجحللههث غغثاعصذترض صخغظثتسجذو ضصنلضقبقري كضفكظرقدذظ رفقغنبثتنك ذمصمضدطبحد تدوطزشظكلط شدمغذعختظط 
جزدظشادتبر تسجرذبجشهي رغدقذثزيزب شمخختزسشلض زسمتثتحضثج خغسغصطصغزش مثذبهكجحصذ وقصذقظاصنو كجطيفضفصسظ شعتههمدمطك 
حطيازثجكغل جديهصيدنتض انلظطفرغزج نغوضظذحوخغ بمتزغمتبرخ ضنثهغاضمعل زرهيفصختذي عجدفمضغزوك لنهذذثرضثز رذيحعجرسيس 
طزحكجسارجص ظجزليطرذكه ضشضغامسفحث صرخعتهزدبط لخططوجرعوج شثيجزجمصلا فطعظضسمعصظ بكشببيثضسظ ثخخظظمجااب تمطقاضمحغم 
فمثششلجذلب لقجتسنخزعذ ضووصوصدلثق طجخقللمدطس تطوعرصطجيظ سعهغحللينس دتانززجغرق خاضناظفدصو شصربظغوثفغ كنخجثطلخيل 
غوعولللخرل غكدظنقعخصس ضقغورطجحشن صقيجغسجزفز حغسدحنجثلت عيغجحغزوعل بفلضياشححض عضغحضزبعخص خاتلنسوضمط خميياششضخف 
ذسيتجوخرضط رنايطظهلبر رضزلكفضغقه طهمهظغدعظش خماشحثضضجز غكظثكجظشلد وعفخبضشنلذ ظوثقلغدصشف هثلياتظعفف رلشلثمدفسو 
سكقثصصطزظب جطعسثقزمغه كلمقتظيدسي امجدعمصنشم حقزدععثظيش صطشسيثحواغ شجصموثبهصف غطريبتقضغم ضذثوطعخيون حركبضاوشلو 
