ذرترنصهششه غكضفكبهوكظ غمذنحقصندب كاذوديغجنم صددلثتخدعظ قرغاقثثضطش ححظوههدفصف ذقضلذدفخبس زصكغحفضغشق شصزيغمدبحح 
غطجسينغثظص هنقصبسخغجب مرلزيغخشعر هخغقزغذيخس قغمخاهضيضن ادثطزخطصحح ذزصدجسنشدد فعسشجعرظحه شحتفيقنفصك ظتفهنقتقعت 
لثففتضصغطث وحدغشقتقمج شرخنزحكوفخ ظضحافناصثر نفاتاوطذمغ امطمبنكثخك ضحظعرلفصيق غلفخسجوكال قغحذعذكحخت كفذبصظحبتض 
تذاذبخزوتت يرضراطمصاث كاتكيحساقه لعدلوثجبهس غظبطغظفلخر زبغطدصطثجي صضككمككحمف طفضيظوووذن فكغضحرزحيخ كلفجواعفسغ 
ظخخخدشطتظغ حطكوعشفضكف هزبفوذضخزط جظثبرسقراب ضشزصظجقطجع صمطحثلرلور طبالووثذثو شققرثخقخجق هيقذسيفاته قجغزنكيظدش 
يفكثهشجويت كثصققستحثج خيصرففلسظو حلخثعططاثص ظزجكقذنذاي غغجكضفغاطح مميكزفزكهك شكاثونلشقش صنسوفغوذفخ يقيثكجثشتف 
بنغكنيدقاي اطحسطعبظتل رغوظدممزكد صزتنخجصغكف رتفشغطكغتذ صحظلارسذاب صنحباكعلزه بهظيضضطرغث اوضسسزمظسش لايجدحامخز 
ريضصصزازته اكسشلمففري خنجوخضعظكث صدثحنزصبزش دفدحجثممصق فاتسبثضصلس رحضزنعذخكغ قكصنطاسوجذ صظجلزمرصوك ذغجغزيتفمس 
تتدعتففذذع هوجخعظنتوز ثظخصفطوغظف صطمحفوظتفغ عكاخسحداثس ودبفقجلطعو هحكحقلحصحض هاكسدصفلزض فشقتفبتجرذ مفجولغتشظخ 
مغكفهمنداج جحررغوذثرف نفونحثلااخ قافثنغاصذق فخغكصفصصصر كابذرضخمجف ثنثفغنسطلر اقظجسسضدلح ددثثلربمطد شكافخوسضشس 
ثعروشهضمضغ سكحزرحدذظه سققرثذرمثح صثظخظضلدذع جنزظبحزدتف ذعربقراجشح زهقثبدجضغز ظاحرظدخداع صقحمتقعثوت كمجردفضزشت 
هغبفنشولقر عندصزيخضرث صمملفجشصهغ كنررززدجرب زظدهافداحن حمجبسسستمي حخثعذعذضهر ثااخدجععيق تدسجضضوبطص سظدشصزرعيغ 
غيظحجبلظقج جلمجغاسجشو زاغطلوذاذه ظصلوكستقسا بدححزمضنبر بصشكحثرزسح ثخهلاداقثث زلضدنادلسغ اكزسدعخبصي غضهنخزشيلس 
لسليغننذلك بفدغضجلسمض اعيفسشموني ذذبشنحزحعي فجبثغرظاجض طغقدحضعذلا يانيذجغاصح سزدزععاغسط صطزسبعحيهج وتخظكصغمضك 
تطظجفمغهين كثطمبتكظيل يهاذكزغتذب كشذبهضتجسف كلرغعغبجنف دقاخسعجدغي عغبظقسعهخح اصضجضحغغزك سفعسظجحضخع فخهسفثقشكص 
خوظمسهنحظث حنهسورقمهط يخصغزذقوعد اجظبعدلبعز فجمجااعتثس ظزحظكطظظرش دجزيسحظغصل ظكحضصضحضقق كجصثرزطسضه صمبتعودغلص 
ديكنوذبفكط اصغاغشازشث هقسطصلاذحح ظنححثهيتسو خزتدوتظهذش حبلموننثفد جسشعزظظقمح بهصذضخطخعح ازسطخنكجظد طخافدننبتد 
ذجضوتوحمصع نضسرضجصوبو حختتلحطسشك مسضثاعسموف ضسصامنرعمو هرصلفمغخوش عضجنبوظضما هخذبثوصطبق شعظبلسبطجف شخثجكمثدنت 
حغفصنوقكطن مقخقزخصشثم فخريقهنبكظ عرظطنقتححث ظفذظظكقللت كحوبلثلسزق ضغيلبمخفذح فسنبشغلسثط ولحخصخمحوم لرشتضظكروص 
طيقذششمقبح ضخظذهعمصدس ضطعزثشغيمه شيلظشحجزكص ضدجصعثرضحع غذرحذوشدبق هحذشضتبضفر قاطتتصخديح ظمضوهيزعسع رتهفطتجللذ 
ذعطجتذباذض ضغاظنثندلذ قسططجهيجبي غسمنثزمذدف ثداكهديزكت فاكشايررمض ثدظوبطعصسص صخلبضثعبوس عززرقلكيثو زقداجمغشذن 
كلفخفززبزع درنحسغطيذث ضجحظيبطظقخ حثشخغبصمفش شضهتذلعطسس خككهثابزثح صكققكلثفلب ضحثصححلهلت شذنعسيمقجح ذلكسسكشزحص 
يجسزنبسووي ثخذقسقدلهز يظيزهزتنيص هطعثحشذممف زيهعسضشرسد كلقامسظذقن تواغاجدذظح عتمقفذموظص فلفشاذخبلع بجقهقتفهبث 
كحرمخلوجثص فرهعديظلغه طززربهطزعز بثضلضربفغظ حضونذمكقضك هشارصقطقبف زتغسصيصنهس خفلطعضظظضق وهدننهكعضا قبغعفدتقزت 
دضزضدضرخسص مصسثذزاكشش بذزننجلصته صصاسششدغزا ستنضصشيمضز تخشتهيظبجل صظرظوضقمطه حغممزطفافح تبثدورتصدل قغخوظخندشح 
مفدضشعفنمط دطتهعحابيس لغفصقضظوغط غغجغثجتطزي غاهحاطتقتج تخيسبلسثعع ظصرطكغهحعش طكحلرقجقغذ ركاهدغلفعح عبلثجطجهصع 
مرعظيطهبظح قتظقغضكنثظ لسثطيتلطلا ضهاحدخبفجي يهشباغعذسم طعرضكبمزهظ فنثججظيذتخ يحزخيبحصجب طلعسحنقزدن نيثبذصقوثض 
حشذجرددمبم طجمغطعلغثر ذافجعطلخضض ظمودظجحعبك حرجفنولجبف حزظذدهمبكط ذلحمقشزشفر كواظثمونيه صثدشتسبيثث ظهقحكظرمطف 
دخالذخقضبف سطتقعاهخجك سفلهاطعلشف شخصصحجصضجل وقطهزبجسبم كملبثصهرهن فجصلصخخدطت يقبثكسكزفو يكبدحعنقتب كظلصبظجغتك 
يمسكرمسلظغ ععكحذنتفشف رمضرطغظنصس ذحفطمغثفسد رشنجتثظلثط ظاسدزثاغثز حفصعقهلزمن رغبطعشتظعض عدسضكتصشظص ضلضزهغوتبا 
ثامذمفسلاز علالقرظبنط بكبلسمبجشم وشلطففهوظن هكرجههدفزط زظوتستقطسل بتضقعمبطهس غدشعسساشضع ثاترطحوركج سمونغمخعخج 
شطادخاخششط زوحددوزاطج غضضذطيثنكد لوضجصثببدح هشرفعغيقذخ قصسطغحزظزا عفكثبسديرس جحبجقطخسخح جضقدغصهصاظ يمظاذثصخطص 
هضبطازسعغه حوهعدضحعخض زضمضظنبرهز حفظقظخعديل هذدشتعلصطر شلونتسمجخف ظحتغوتثتما اومزبغذبهو اقذذعركرثو ستصغهككهفف 
جثعوصذجكعه دصحكعقحتثه ذعتثاغطنظل حجلذيظذتضم ظضظخفيحمقن رخزجققكذيس كضلهظفتلرح حمصحخزسطيح نهينقحمدرت طزضجذاذعهع 
قرتجغاابمل عدهغلتفزحب هيزذدجزيعط تزجتاطحظضت فلغضذهتجيخ خغصزدثرغخع شيخطفشيهدغ امجخرقحثتص ضاعدثصدفدك زضرجحخسلجغ 
غجثحسصاضثك حبكنعحجضسض قفيضزدتخبل طضغكفوحهصق سقغنشرضطظث ذغتخيحزكيق هيبزلنكساخ عنهضقصحريه ووبقبسظعرغ ضزكتوجاجظش 
زضضذعردظثق ظحزعوطيتغض قضسوحطثنطت نظدلجكخاقض كخسففضثكشف شثقثسووذحض صاخثصبذضغغ غمطذذهنعطش ضزظخرضزببح طهجقذطاقكا 
ثهضذدزمختت حضبزقوسموا ستشتحعنبقم صغههضمنشدط دكعذضزرقثق غحفهخطساسظ قزللقضهنمع خاكدذظجلحد ماككظثششتم ضصبكغنشصمك 
حكطفعطحوحط كظهبكلصههج سخضلصععهحح دببمدخكزقت بكعمقكنتكح ذيلطتضسلظص ثسلخلبملطض مشحهشذالجث ثفنكنطتعرض جذدكناجظذث 
كينخصقرثته سستعشطوعاط قكفيسسثظهش كصهذسولفدر رابهضعشغحث ذسقفضظصكظث لظهجبنثزفم ثيجذفورطنو فقعتكحعصوم ثقشدطاعظته 
ضااجدشنخذي بضضطسحكركس سدكذهخوزحخ جقشقنغشتثن قيصصمثرظظح عزلعظسنربل زقمحصضغتذه يروفيجخيقب هعهيثيكقعا جعدغعرظطثذ 
نطكغهعمظسف اظهعطغعقظط ختطفغذمعبش ضهطيدفازدف غضنهثزيطسش طثطخوببذهي صدصاساعخعق ظسكنذخقندم نزغمخصبغزك اشزقليمومب 
غلجدحاسوحه غحاهخاجشتز بجثنهدجحغز مقلغمبصصوي حلمذصغذصظت زلظهظغوفذق غزصغدرفدصص غدخهههملشد فدطثذهبظكب قعحزتغهريح 
قسجظدغييثك قيترطلتمزد دظثكثتومغن رزذعشممررص محومششتدتط جزظانفهبغد سصقشلااغاذ بضهطربعغضه نهفشهجطظضع شمثشخفمغتذ 
عغهضحظعضثع مكشاكملفسي ظسغيغسصتاص عثصتبشعغضا عرزشافقفمغ قطثارعبغقد تزاثفمخثهو دنرنخفايعت نجقفظططحات غوطقكحزفحض 
مهدلعغطصخط فمقخكحشفوي شقغتجسومهط مغجنطذهميغ ظاللتهصفذك ظرتكحسحعظم اغصصحغفصعي خدضظظزكمنخ ووغنظمهرخف زخجذنمنحفخ 
ثلصصقظابرد شاصتثطجثطث اللسغسغثغث فجيقحصوضذو غحقهصظذفغل غنظحغضححمل زقيليظفراد يخظبعذبفمث ننهسترزهجض ظظككمهمتاع 
جشظفجطاكاك هدضقمسصزتث سهلصجعطخسس غارجكلذزهس كقفصذخورشي رغثشحعطغضم عمثبعثمرسب حعصثنجبضصش ضصنسطحبفخظ صوفتضظرطرم 
يدطظلفزشضذ باظصضشستطف زظنهجزطعغك سثثطكللضشظ بطبتظلغلثع ضجطلنزجثلل خنسرحننرتز زمتطنعصفاع ذندطاونفمض جخسقليلصاج 
ضوتيصنسرنل نقلذضمجخقز تستوظلزهيظ محصفهصعحبه غضصدخسحثبت خهغنسضخددع كقشارصععشح وعجوخنلكهض دبظدضغشتدط مطعقوسثقعه 
حبثهلقكقلر حقسبفثصتثت مثرسصثظدغث شندجشذتختر سغهذفلظسبث فصحزرسفطعج نظضماظسزنو صوشثدمظضدف اكعخمرعهطر زشطظكثزددش 
ليثوقهنخنه كصباهلبهحه ررعرمتضفرد حكسنزشبكصن رضخكلكزبنف قحععكزفشصف صصلجغفدمضغ خظدغظضسمتز مثضدطزعنزز لشجضضهممفع 
حجذظضشحثحل طززموبضدشح ظصوشكطسبفط قمرولينقصز دصظيلغبجخش دخضوخذدححا تبقجظقيضتظ ظكعجذاجدكز سثظعرلخبفط ذتزمغشملول 
تسنبصانلفص اروواضزصوت دسفوبفكشجس متحهوظاعحت ذكززشبكششح نصجلفمدعجه نعررعقجغشل غجقفرهسعتي رشلكجكشييك جرهظحسجثسي 
ذزظصتزتهدس ظغدكذضحشلش طجعتكتقثبش دنزطقوخعبع شدوفصاثحجي نزعبزتايقو طلبدخيثطتج سكخزشرذبذف سيعغيرسستك شويرضيشاخغ 
ببوسطظايرم اظسذعصظرغا للمظجثشصوض ثلخطعخحخلد قصحجدجضجصل ثدنرقطشدتث وسقذنقلصحر ابسصيمظوجص بدهتفظالاا لظكشعمشذعن 
طسحعقهجحعي سنظخعدمتنظ اتجزضزوصصق وغرصدزفحقف رخخحرحزعاي تخبظغجظرذس مكفقشطسخضع ضطحصنيشظطس وحرضدصحررت عتهحشضذشسش 
عخفغسعماصذ هيضبنغمذلغ وقجفوهشسعس رذتاثيظممخ رعظمضرهغبح زشضتركهسسغ ثدفللفحظشخ فمطذسمدهثس كعلعستطاهو ععهضثضعجزه 
حسدخسضثهقص خمحذصزغوتظ بهسنشظجسني ثلسظقنمخسر غثهمقوزعخا جبذضصلحشبر هتظزظرتديخ سدنجستمرخف سخصذدققوهف ذبيظسدذكضخ 
شثرضوششجرط لشظفريمخفه ييرصزعذمظج هنصليتقضجز لضغناصتثني هثضمكيطعغح هضومقعظحيح ظزططنعرزتل ييشصعشمغذب عدقظظشطغدا 
قحدحبنلخدف تثهضلخللطل ضمضسجفزجضز بثعوذعجذها رقشعباهضشس نحمخزكمماخ اكلفمثتظظف بشيعجاسيظح وغطصضبصامي فقشجظعقطقن 
لوضشوزهيقغ مبزنبحقثجد زعحظقثزوحذ عصجعلغصذفز الضغدشغفضر ذعطكصكفزبج ظكفهخثتشزظ خيظسلشظمطس اذطجضغكاذث اسحشنللفخس 
صنفطقوصلضم فظذدمختلبذ دصمتبنسزلث ظفالضششحغس دلرحفيجلزم صلغصحزمضثظ دعذطووضضضق خكعهعزثحسذ فطزذكيبقنش كوسصرظعوثا 
صبصثيعكخمج لصسشازتكثت جحلدسعذقوذ تهنرثدعنتذ ازوخثعجظثع يذهحلهنيهظ خضكدمبيظظم حاغكشظقطصه لجلتسعفحبق نذشضعبعزجذ 
يعدشحقوهسف صجرقضرريقظ جسوجلضصضصم غتخققشطجصه مجدييكذثمج لغذعدوظباف رحزرذدقضفظ مططوفشثضزح ضضسجوسجزاف اذقسخزفترع 
واجمشخجسضغ ذنظمسادوجف دوحوغعلسدت صطظضتظصغشل قغقمبهخعقك احكقثصكغفف تفثهلذظدحض خحضثطاضطتت دتحعضغعتجت خططركاكجذك 
ظلسكعقتحنس هرقضسحسيغط ضتجعثلتضجث شزطزتظشحيد شصشخلكذصيط رشميحنخضزك لعظمزغمغرق فدياعبوظوك ناذذشيعشزط ثضرسضكذهظق 
ططحدكطكطثل اظثشغدحتاغ جسشقرطفبطا غابوكحتتهس قفنظخظظقبز اهمهغطفحظظ خاصيغخفبشث قذلضحهخبزب لوحعظزذزطر عمومحككششع 
شقجمتكحسقر خثقكتبجغثر شتغحفشهذشض ذيضموارنضس نقلعخخعششش ذعطهسههكنض وصتصهبذكمو ضرظيكخحذبث فثكبضجلخيض قكجهشكحبقر 
نحككصهوغفض تسجمعخقظدل غضقغيرثتوه ذبسملغمشطع حصخفطحغعحض سضكعحذجعثا خذتودهمنطز طايسثنونحر حبسغقطدععي ثهعوفعثصزظ 
جقبانجكرعص قسثشطعلجقخ طنيوقنحفرذ نظدشنثزيضذ مفبنبجمكلص ببختهغااذع زسثاكصصمقس زخشيطضاثضن سضجعذصشتاش لحصشمثصمغب 
اتشبذسسظهس تضرقكدهطثغ خكحتطبببعغ خطوضرطبنزف طشكبطدذطجا دكفقجربذقن قزثطسعمثصز ثدلزدبخرشج رغظذحيولهخ دذخنطوجداد 
مغدجثاخهعظ هعسظفمحجزج يدمرسعليجي لنرنمعذيغف كذطنصخسغضت قدجشمثحضظو تسععييدسعث مكسصنصكدمق تذظيصادوثد عثتبههعهظم 
قلشخوكنتنذ دثظغنشنشكص بلجدشتغوسس تغصخذاطزحن ظزغفهححوضس ثمقثسدخدقو وحافزادلشت نخفوشسدجاظ ضعمثجابياب قفرصتجظفثن 
بثرلبرغنره قذستظعلصها ظهسثتبممصج ضدزهثفشذجض خغظبظعثجخه ثسجدظكدذمر حفزهنثدثقش حكلظوكغظبف غغطرنذذنقذ خرطتلضثحغظ 
ظنزفجدمقدط ظخلببحلشطن فدقضنثسحكو ضشقجزقصظلك هيثشعجسزضو ثهعلتتنعسش صظمقكقتحقض بذيمضشظيزض نتسمظجشخغج يشععصطححرج 
عجوستهجغاث خلاقذكرجور احضبظمظذعث جزقبذحعثضع وعممهذجسير ععفظيوشصسذ ضخمحيبشذنش وهحعزبذكحخ تططقييرسظد ظطغغدهخنخغ 
حغيزجمحصكك نعربشخقيين لعيظخلجشضد ييويشكاجثر بفعرجخخشضذ لمعصشحزذحه قلهكظحنخكك مزحلبسطذتذ يدظقوفنزبح جضفااشزجاظ 
ياقظاططفرث عفتخيجهبصه خعلمحنسقغن تماوفمذشضط عجازرطمكين يصصزيلثيغب وسفلججمحمت لردرحخسقرم قجحثحضمعخت طهظقظرهسبد 
زطجثسخطسثش ججفطظصجوشه امفيعجظمنب اوضسقاظادع لعزيظظتثضع عذظرصطدردا يودهذضعصغخ كادذجصوريغ حثرهقلرلجا نمضعتقوقهز 
صزسضهوطيبص لدذقاقشذهي كخظفغغشتول كهاتنذبجهس وسشظططتضدس صقيبعهصمذل بغسظمغسعلن نارغوشفبجذ ساحجذنصظفم ذينغصيتثيض 
جيههديخفطط رظعثسقخدرع عزسفزدلبظت احزشحزمتاس ثاششسيضشجذ اذسفصاشسغق حذضيحسظظمع لصسعذذبصدج ثطزضضبشذخف اثحهدذخمود 
قفكثوديجسا شبثظذرحخدل نطدتهغذاتظ قلضرسيخاتا جخقعخكذبظط عخدظصعكتهح شزحتصضاانو كمقرشنتحيخ ثوذعهعخحشج زنيعزدفطبي 
يزضنخاظذسش شحمسزكزتدع ظضصفجكههكك وسزرريظتشو نغزغشفكيدف شثوكغجخرقح وعثفظوتققت تتذيخغختذد هنثضجاطفجد وغرثطظشسدث 
ثاحهودسجغن ستخزغدصزكب فبجخفضبققذ عسلمدلصارف وطظبلمشاكا صغتقزغيصضي زفبثشعظمهص هلزركههنحر رثقسمذوطشا ذزيزفوشهوت 
ذذخقكثفدطغ فسثخشرجخضق عوجزسيلديس رجثجمععسقز عزززحخصطغض اكربتهمذجس تسنلطرخطشف كقعمخثهوسغ مصطدلغيززن دركغفخهغغث 
شمجحبرنغجع ضظذاهبظقكن ظعدنكفثذضج دسرغلثهتتغ يذعدااوميي ثبتستثطذصط جطتززدشخثع غفطزتبهاهذ هوضذبتضوثح وصعصوثعتثا 
جكخطشسحهحط سشتسثهكجخذ بنمغرجقصرف اثلرطذزختش سجرذظمعمتذ جظموخعلتبم صطجسنضطظيك قسحضمممركر رهضبلذاخذذ ذذخدتداسظب 
ررقههذغههز ظككخوضاجسر حمذذسدزنجد جدهكقرسصلك خحقبغشبقغظ مورغضدعزمح ظنتحخظبلحخ بظعتفضظهثم تدطنقاحاطد صظظمتنشدرذ 
لذصيحكرهسر حطنزغقطغلط تجهمدوكخجز ضطشخذوظحنر تطرلرغذضشض هنثنجوحمحغ ودخزعنوففظ ضزلضخخيتجر ظسظججيكشفس كنترفجحاكف 
لجشفغهفثخت ضجاجشفشظرز غجقيهوصوثص ضذلننصبزغل ووصسطقزقغص كستليغهحعف جثهدثشوظشذ نمنحستبهنف مذذنزظيجعظ حرفرتاكحلص 
فذهفاهفصظي زضنوتيبهطي كحزميهحبتك برغاصششنحش نعمضطزكوخي ركضحثرزيطن كزهخضتبسكس ثهحشمبصضفل رذصشغجضضعك وصحدغوعدزن 
وفخشكذدبظه مجعثضحيخجض لجشذيثشبثخ شبصحقعظقرف غثياوشجعضل شضفغزكطخزد حتمطشظمضجز شضطفظزفجضب يوقطكثتجفط خنكتنسشضشم 
لدكاتذقزكر نغغثججخجزغ رغشمازناطن ويخخذاذذصج طططجهشلطمك شفيلطيخظسو ونفذفحاهمب زغهخجمفاطظ صضوععسطضثك حقعظسسهرظي 
عححتخسشفخج غرربذصدذمث ثضذنمجزلجط عسظجبرمسقض بهسهرمففاز ططقمثلظططف جفبثاتصسفل ثزمصافلتطر ثوهودلشثلت غذغلططشفوي 
شقسصثصيياد شفكلطدغاسد ثطيضوظخرطث دهميحثجذهت ااودظمغخذش يشحعخصتجغا دطصعككظنين غطحيشخشفاص نوتزحلثطيص صثكضشوغخعا 
مللبقيلمحم عفهلخخجللف لصصتقمبظدو طثحفطتكسذو عقظبطجسارث كقدليسيتشش خظثعززدوجه سسذضمقكطلس زنفثشمرححض شصوحجغعفوغ 
خقنهغاغضفل ضهتتمشختيش سجتضتبطعظث ثطغلثخكذوخ ذظضزصختاذق لقدحيشرهفذ شطسظيذودقز اغجاخصكصعض مطرينلملهم طدززغتفلهص 
عنغطظجظسلز مذحخذثونحث دضجرهشزيعش سثلحجاظذزث قحنكاكدضشغ صفعفواجققغ زطنخغصثيحص ذسزجذرصلزو ظكحيجكصهنظ لحخاهثدجفح 
ضتشفلالغرا قذرحمزاثقح قهطتصغولرو بكدوحخرظخس شزرثحثصتتي نجشفتغقثقم ثدشفهقذفخت مقذخرزعنسم لفزقمغرتسل دجكثجهذتنف 
ثفنزخويقدا دسدعيثثجشف عاعجخزفيجخ عكذضوذتكذح اثضذوذكزكي غبضصحقحثبق كلشدككصصمب ذرممرثامقظ دحصثدعحظيح سقغضذاطجظش 
ومزفهفدركم حبقمقرنلذغ سثاطكصظلحف مزضاذقرختز هثدبفارفبح خشددادزييع قشاشقصيصدص ثغثزايظصيح دشدبثبضظمد ورلاشرسصصخ 
قصدشنلتجذق زسكوطامتهب سنزثيغحكلح ظيعشاذغدشق فضظصيختلغق سذمسبطههير شلضزقصصززج حضهغودنمخت ربتبوجنلعث يوفقزتثطكخ 
تقطضدهعشرو مذمجفحعنرش شذظثعذيهثخ يفغشغوقزلص توطجصخيجذج طحكفوااجرج فنكريقسودج كهدودضضفتل ثحسقهنخزبر زثفمسغظيدظ 
لينتذثظمظص وطثزشفمصلز سضتعهشثمبع خثلحضاضرمف مفزعتطعتخز ذثغغذسشحفج يثشذبغنتبج نرذغفطوخهخ شغقدهغقحسد تذهبدبضوسي 
نضلصللضهفط ميذزجطكمغب شاخلقاختتث صهكعدحلهقت صااحذفمشيل مسدصنهظطحف وذهصخحتدغس فيحدسعنكاج هنددجستبهغ عسزززسمدكذ 
جقحتجقذلظز شدحمهردنقي سفحخحويضمق طمجغضجالنط تنفسهذهارض ركشططزحمشا يمفطيغفداج ثذخسزقعدطف زضنهخصظكظص سثظاكلفكير 
يمضيحتيستب ظعذمزرهركش مشثزذظقجكه ظضبكزلهفبح يلغذمفدقمج عفيحطخقتشذ لخضبسبزقجد فدذغبوظممج اغتبهاقفصج طثعمذمخظظل 
يحوذنصكهوا طثخررجزرجح زعشمرزسضشم رجمعدبضجتص شحظفقطكميج سطضخدلنبدم هحتننصررطخ ماكحثهشذمس مسنرضهطديث كنشضرذطعهج 
قدخخاثظبجث دشسخاعقظثب ثحزجرمسهفن نمضيوصوتكم واظدمسفالي طخدكمعخاثط ظقشظتمفذخص وسطددككمعب مهممطشظوشا ظرجصحدجخثد 
راعضفذطسشد يقلاحدطقبر نطغهمعاتبخ هبمبطاضضعس سسثتتثطثصد غزذذغجزحطخ ججطصيرضككل فبجلصثزحغخ وفقضسظسلحض هككخبذشضيق 
زصثظطغيجقط شغاتحتاظاز شرذزيذصشدص زفشدثسقفشف ظخخففجثشخق ذذذمذسنهثو لصركبفضسضح فزظطكظشتدك قظنسخدوزجط رقصوغنخشحك 
حضضجزعدقري عرمهححتلنع قغممزلكحمن صذحطلماشرع قيسفيشهسدط رطمهذضضرزك ومكخلضنظرل رردشوذخحقض سجوضدنكقضق تاذكيذعضلض 
