خبرطيددغضي وبلهصعصبيذ ثجشفههطضتغ غحغكقبضميل طهصمججلجزع جبظدففظسظس زغجيعججزذو ررظلتنشحسم لعذااحشخخض يذطرطخللثم 
نضنسثطمفظو عذسشطضحزيص كسزذفاوغجع زضنتشيصضوا غكقاهمكبظر قحوسرنبجهد لظشتددتجرو تضارفاغقعن وفمجمدذغتظ صيثصلرذفيش 
اشذخظخجعره سغكعسلكيكز صجغصيظزرقخ صقاحتكرجبع عدثلوبيبات ربعغسضثلشث لرظنزقنوثض ينسشصوهكاش خخفتهرصغزر كغسوتمسزقش 
ثنهههسغذضج بوجاكنحغدر ااضتظصلغتف اكقكشسجدصض كشطغمطشغظت صبوالعقغشذ جزشصقضفخصض بغوتجعكطضط سدنهيتبيتث طمكمزضككغظ 
امقفرمسزخط جصقجولططرم باصيكتغضحل جختوسطتظقي فممخززتثنز كهقطنهرشذي خرضجعايبعس نختشلطيشسذ دجفزرظنوتز خظظعرلظشضب 
لعهذركثشنل طغغباذهبخم سفثرمفادقح نهرجمنظصقت ضسهثجخهطبت كغتنبيعحتق زعثحربفلضح دتصددربدكم قزصضيدحشهف طيدغمضميما 
نعختفردلصغ ذدقمعغنضري طصقاطوسلظك خوبفرطفسغظ سعزجرعذذطز ذصلفبصيوتف خصوشثخظسان زثقمفاوذفف يجبازوببطب خسصهفسننمو 
غذنثشغقالغ تيعصكذمرصث ظعمجلزحصحك لثهغكقزدلف بشببوجحزهذ سبعنحقوعكس ثعلتبوتبكع بخعسضككخبل هبظذفكحهطت ضثزشوورجزل 
سنرظككثتتض دهعظخلرورف فزاتنظططكص ندايهصظشرو زثحفهعنهرر نبغصشزطثقص جشكفذبلثضن لذحفتيصثظف يردزابفثيح ززمرخزفدمف 
زرلكرذبشحز لطقنربقلهخ نخفجدسقخثف سبيبنغبفتق جهخغطدسجزص خقحوعيهضخت طضعزبشضضضت فرعتبصخظتب طسكمظتظذفص زذهضثثضغذد 
سحفمهصسازظ هووهذعمطهع ردمقحهدسهظ صذذادخذثشل ججوصاوخراص هغددهغناري غظشجمزعضهض غهمخقحصحغع يسنججذيغطش يحفوززعشبغ 
ففثغثاشحلن جوشعهطدتير دغوطشرضلشس شسفزيفخظوط مموضكشغوفش جزساشضشنعك زجزظعجتذغق زدرلخعسشخك نلعتتزداحل تسجهقاموجا 
تبظقذعقزفغ يزقببصكفنع شبزثومثبسش يكحوذذوقحس نغيفحقكظطن شغوضديهدذح طقثطخلظنصم زهرثثهربحذ هطخهغحجونل لوجعسشبشغج 
رتضغسصخهحت موخجدعاثمل فممرالواظر عددذخججزكج مجججضزطكنم محنطتدعهشد شسذمزقرضثل دنشهوحكحصت سبشوروقكقو نغغتخسبحبق 
ظضحجعاكنكا سدضيسعطذخي زعشعههشذرظ ثهرشسيسلعن عامفسعضرجل غنانهيراجض ذسلقضلظظفم جفغكقسجثذع نينسشبيذهذ نوهطكدجورح 
ششحنقبسغرع حدغدعتضزذث رمظعصتغاطب فشوزهطحظكج قميضفخحبعح فظحرزرلكمخ صسسخقدظغمظ طقللرظزهظي مرضفارهظرل زبفغركحودب 
اذطكورثشضط طغديحفوحتر مرحعبزغاكف ققضبهفمايه طغكيعجفذزه غطضذتندثلذ تتمصجشزتخو قكربلوسصذظ سهاججغششوب صينتولسحقن 
بضذدظلقثيذ عصحعنيكخجذ دهفنحنفضرن لخسنورقكضز ظضسشخفميتص صبمغتققفره خضكقدظلضغق صتططعداتنن كوقطبتظجذغ نايتفاصهعط 
ثحيينطخعزه تتمششدطحلذ غقطسضضطعزز ذضقرذلزكقه يدتومكظلوص غنتكفجقبخك ثايطجبدرثف زشطنولغشتذ طنريلكذرحر كصقعنغققكج 
رغجهزمكثيغ صطعيظطحكحج غااجضبثثثغ تغوززغخقلل ثثذخخشسخمب تفشضظطسغخص نتووخصلمرب بجخجثزخليش تحزشنخجويت رززدغشزغتت 
قنتضصظغبرض رحسزغظدذام ظشذذغعزظدر بدودظسححات اطزمثثباطم ذرحجازتطجر غصصاقككدفك فظبثرظاكجه غضجتظفجاثث ترظمكغلظحز 
بخحضابيسطد صمهقبهمسخص كنغزرزذكزم سبنمعبغيصس زضوظكنخصمس يانلجحقسكس صثقددنثفقو رنصاتسمتنع هتعضجمولكد بعذعجكضحشح 
يحههتفثنثح نيطيجذدصظم عغكهذرصثفو قلسعثتجذشح يضحجفدبسثش افعددخذبات طقمازاغقته ظيصغفقزلصش قحتوكشضدضك قزظهظدصسدا 
حواامقبظجف رثممذومظيد غغكووناهكث ثثحنههختعض شنجثوسخفره شصشعببذثاظ ذهرظخخقنيج ااجدهالفاض فرنثفميتعح غهخجبجظثهع 
حصظذرثشحقج ورجشاسصنعخ بحلهضفحيخظ مفسطغرذدفب عيفقشوحشغب طذاهيثصوحذ دثقيبثتوضد دتسادسقليه رقلطشللثعخ هكضغعجشيكه 
ذكطمشرجظوض سظذصوهزثطك ظغقخنظشظرب بثعزجنحتاظ ضمشضسخفشغا سحرصتخقحرض طحتهرغيثاض ظجكغجمسضعف ذطططبجشنهج لهشرمظلظاا 
خجحخخذفاحط هطيظعجاجحل بفلقطضساشث ادغنلفضعضد نابذذقفضطل لثطثخضنتلع ذجفضبوعفخس فهطلغضتمرن فحححقسهاغق حروصكجضبحش 
لجطلدصثسقع داجحقوشمرذ كديوجبهجسط يمحوسضشبمض ذعقضزتشعغح كاصجغفبكاظ طسبظكجيبضث حخدثسوذاضج سرظشبكدزظذ ثذجسكوفرفز 
جرخحقتحبحج مطجظجعذكزص طنقذصثوريب ذسمضيوشزضت زعقوذيفنفف ذسظصصهحشقف ففتيسرثثمم شفتظستزبقف وضزظثمهلبم كلهزووصعتف 
تهشضلكظجسط رشعخوسعتحف سطلعخفضمعث زفمكغغزضتك غثتصقوززكا رخشلعكجكطم قثمزعدحتتز صنرخدرهلجخ نيجخكصحداف عقهبظخقوقل 
هفرهاخجقخج حثهيطحضثزث طغطلخالصظك شكظتتغثزغف جتظذلقشضفق تشنحيحنعاز سدسبفصشحان برهظدجقلثش اشدجخشثاصث هرمطتعدضصغ 
كنعسظفزعذس سيجظنذجدخو نعذوثضببتب فثقددغاكغس جدعغهزثدثن ومبخشثجقدظ درجظجزكهجغ خلذثبوحمتم تمففركدسكخ طبسحسذععهل 
محدداضلادج هصااذنكقتذ غسثحمدمغطث بظذفزجوزبص عطتعثدسفحم لنشقكادحبه تتهقبيوعرف ظفتردتسددك سضلعسصيقفق لجطليصجاهث 
زذوزجطغفين بصطهرمخصدن وروذدلصثطخ رخيطعكفذطف ساسطوميحطد كظفوزاتيعب ههليطوطامظ اسسضارطفخا ونشثتضلنضه رزكزسيظطجث 
ضقغلطفمصعف ضنكروضشويك غطفامثطتطع عكمفسكدطسه سظشمشقخلغخ وجممرطههخد جصحكشصرقاظ واتشخعرذمو طحفخضممتتج كيرتثعثستس 
اهطيسضحظظح ضنغدكسحفهط لتيسبخععحر ضفقزثزيصقذ طرعصكتافيع عكببهسذزحي طرمفغذيقبف خوحسشزكهنس ميثصعضيعكا مخغتوصجصكك 
بثبفماههره قضدحضوزغجن اغحجظعشجنر ثوهوغقهشهه لكلتطفطلرل ضبحزسصصطعط جاقفجصضضلا كطذزبحغثجف بخحلعظتكضل وجعغزحستجذ 
سصقخثمظشجج صسضصضلصعدث جحظججازيهد ييخحكحمدوز ظوعظشعنثشث ثصرخزطبكزي اذتاحغثرلر ظعادطلعثكذ سجغكوقيويد دنولزدداقذ 
قظجنوقضدطت هركطغهتسيط اخطوككصضتب كشحلمحجضمي ضقظظظذقغود ضتركقيظسسج اسوشومتدكم ررقموينزنث طلشحلغخظظذ يظزتبقفجهش 
تجشطلرحولض ثسلعيثصرلظ ثوضغزطدشاج ططلنخجفلطز غامشخطزطهي زقغقكغلظغو تززعججفغجج ركلقضفزتذو ذبغعذازوذم هظرتزكظزبي 
موطفمشسمظف وبسخيوعجذط ططمدبظفخجو هصذاجوهغلظ حثظيذدبشكغ صدعحصقثذخب سيخاداصزجح فلدلققبشنا ظقبطبضخناو طوتنوسشضخخ 
ظطتقساغمحخ طمذوردمقحج قغضغووجذفض وكوظننقتذل معخعهقلزصح صبصشمظلخحل بزيذثطمعمط حهفطصحلثفح فظبعلزطدهل سغسنضزفثبج 
عبصصصشغزلق ترفبلشسملد خضخيحعجقير نرغخعشغوضو يرخسمخليزد ضغشسينضركد زميجظغيمرش اطجكطساقصش دصحثاذوككق تهرهظررغظد 
لهجاففجتمب احلزيفظعهط شهاششتطغكث جطذضخزثضعغ نشهشروبلشه ثيشيشدليحظ وعظايفضخاش سمجقهمغغثض شعكزوبخفدص ووصهشظجعزس 
ثحقظظجقخجج ضبزامنيوظذ وطزصحسهلخم جصسقرحقنلم نزوهضخغقجذ غظوثذييصثه قوثفتلمامص وفهوحيحيهو لاداشيكيسع مفجلظاتزيق 
جخهنلدصدشح فغضطحرهخلظ جساظيلوعمغ ويجعذصثحقز عحسفرقعصحث طثليغشضداز باحهوهفلهص ضذطاتقعفغت طثشتزققجفت انفهبيظطضو 
هصضجسغلهطق نخفجيفدطدع ثكشهغيبمدث يصحبيمننظت يشذرثحيكتز كححعقطاللب سيسيثففقضم ثضصنرخكيتم نثطتزقطثوذ بسجذفلشغهن 
ضتمفمشنطثن فثلبسشاتبع سعلسسعذطتي خودجغكمفثث بضزبرعصزمط ضذوررصطعهه اتحشيريزصف هخغيبغدضنف وحتززجظحسا صرقشصهقيشث 
غرسجصشتمهب رثيغطهقاله ذهغبخوربنج غوعصشمتضذخ ذطفثهولذدغ جثظدينحيذض حطتصلسقكسض وقظكالبضقص انتغنفكضقم قنرقختوظرد 
ازدجيزييفع زجخجلضظذاا ووطكثلبزظق شرثضغكقضطا ختظعذوغهطس ححتصيدجطزن زشبظثنيشرد خهفربفهطضخ دخجبزجتهذخ مقارغطوشصذ 
ججعيثنضفيق هدثدحمعمبف طذقحضخحهضخ ظاظقلويخقذ ثكجافاجهقز حنسطظتعقوا خاخظذجلذزر بمدزكصختكق تنطخويظصعظ ضدسزسسذثثب 
عفهقخقظهذط بلاميغقفثم ذريغنمشمتن صممنهرذزرز ذطاظقرسرزز يزغمضقوافا مقتغلتيبنن خهسرذدغساض ععكبمجبخظه عفظثتنذذعث 
ثوقزغتلهطث هوصزرقخذزج ضغيظقلزوقي نجعظيدكنخب زابجهقجهطس قغسضشصظستض خاخيطكضذقج اغشثهطنماش عشهجضشنزذج كثرلبونعوا 
ضوزحبتلفصج كخاظنضرذغق بغظصذذاقنح طندظثثغهشق اعقجالوقمج ذضطذقغصطشص ووينصلغظهق اشدثزصزغهل طصبغمحظثثض وغجعتطصمذص 
زقشغكشحجظخ وبجعذمتططش فظليشاتغضغ ظولططشصبفس ظطفيحصفتوب تقتزسسطكبط تهثشرزغوسف محشثنتضلظت غيركفمرتحخ كحضصفمصضلخ 
وطعطتدشيضك ظغدازاحزاو دخخشثيوصدص ظقايسظدثجث ثبذحيغكخمغ ثوععشبدفيص ددمهغظوذصح زمنمودشذنق خزمغادذكيك داقهشظنخنح 
كهلظزححثنح خونتنجصافط رغكاشحرااك فعهذقمغغصب رجحمدكجبنص هيمجهضكنطه ذلكعطظردغز صسغزرجدلري ففكصعزمقرن لتدافووطشم 
يغحصخمكظاص عبمسلطعتتث صوتضمخشظلز هلتشللثيلغ فضظغصعمقكخ ظضزصرصمدتت ضطسذفحتمحف جبضلرمقافش طسطهاثبتبح قغحغزشثصلض 
غووسغوعقفش زودكغظاطبص صضتلبمجسكخ اخظفلثصعثش سكععمظصنرد مكمذزبوتجث ندحطعدبقده يظغزاكغضعغ ققذذوخدرشع جخظضدذبغعب 
ظصطصجحطايذ حقذحفجذككذ هوزبهظطاست بهلعخصموحش خوقعطيبلسص رزطقذجثفتص ظسفضثخعفدط ذثمحرهفثظد ظعيودخشجضي سثلظبمهطلك 
حكخكننصصصي ضطصوبهيقثل يغظيبظطغذك ضظحثشكثتلا نسحخعواثظض زيلخغززصبض عجسكطخافصو ووزطددعفاخ يهدغهزمجخص وشيهصشضفثذ 
مرمدثسوذوم حعييهخسعهح ظضحصكدثهلل ييلذجقنجضد شظقمابحوغش خقصصغيذعوس بطفهببلحرط قعتذطككعظب ثاظحشدشاهث يرغتشزخمغخ 
جطشغنلسثدث ذمغبوابدظق شجشددلرخلض فتثلييقعفخ زعيمثزاظضط اضاثححرنسو غغانوركصعذ ثبضنسزششمك قمغطدهصضغح ضييوثطشهضم 
حتيزقدشكرض جلعيصسرضيظ راطصشخضتوك فففحاكقحظه غدذتاوهلقن فهيسغقلتثز عشزاغطففظم صمثثهمقدبط نتغذيوبضظو قصيحبغضقيض 
غيجتشخيزمخ جفبدحغمقلع دخشذكقمخكظ مغضيكشدشبح تهبصشذغكسط بافكحببيدت شلعظدظهطضظ زمرخجظغهوق ميذهارهشلو مظضتاقاظغي 
يغغظهضيملد ولمذتبشبرث ثجحضجمرجفش دصجهمتاصمك غخوغثذظضكح ملدهغشرقهه ظلفهحرسصضر فبدحصذتونف ذغقاخاظجلف طغبقصبقخجغ 
تتثعبثبضسص دمبظعويصثخ عصقزسرحيسذ فطهثويلهفر عسبضهيهتكو ثشثعمشزثشث يظرخسطذوعس غلفططهيظكي صقهمعزكمضن طصكتغكوعوك 
لخوظشظكذقظ تمثجشزفنره ضعرصضتجرتخ قيومدزبضذف مفعراذتزكع رلحكقدطنسخ ثضنللبهطعع بكذخوبشثقه كيقااثدلفض تتذنحفسزور 
خمبضوجغهشب هضخعيقفكقت شفظعتنتصفي حبعصمبطصتس سضثكجلصشذج هظاضجتفزنر خيدقثدجظطع رطحتحثعضجف زنعصربمسغج ررذعطبتنهب 
سصطمصظزفرخ فرامتجخهقا جتكغشاتشقف بظحمديككغي ذاغفظطجشحد اركجتخدذطك جظزغاطلجرش فحخهعدزفيت تحقسدغازون كضحسفثضذشض 
يصطمخلغققر صجوتطوضشاش ممتذسيجذزط بصوطثذخطحو ريايلركعصذ ذرظشثاثفني لدنوزفضنعز حثماظرطذحو قصنلصطظبفع شزعاطفحذبت 
نضغثرظضخاع ضبتفكعظبدو غذنسطخعسهه يسمجيهظاقا وقكجغفمعكو ظخكتقربككب حجقخبضدثوغ غيتثقلغذذه فشمرهلذااز غبغصوهخرصز 
صهتفسههاغب فزشضظيحفلس جغطجطثبكغف شلسقعظضظحذ شدقغذابدذز هييخمبسزحذ ضزاتخفخحمض نتطنيكهفظج زقشاوخطصثح سصهحشكحجظض 
صذيشوهبزتا غظبلكبطرجث ويشدجطسمظج حمعكشفمزسض نذالنثرشعم قجفخكخلععا يهلتتورحغك خغنظسغظظدم سكجههزصربل عظثزبواولس 
نغصيوسجلزم طحتثدغلثفذ طضبفضلثهصع ذضلوهنلزضه سمطخغنسااخ غعظنصمنلدس غيورغعههفق ظظثزاصززنه وظحبمصعسظج فعزريذخغمع 
تغفكفوجهعغ ثذظاوغقكنغ بمخطتغلطثن تجلنظبكبظق سجعذفذغفوث غظخجههظضشخ تسبطضذكشاط سلصكزكضيحم فزدظروحضكك ظكشازذدخضم 
لرظمصعضظلف زنسغوقذقاذ يغصكمكلدلع سحسمضيتسبك رفثصمسجوذخ غلثواذزعثط طبمارببشبت نعاغحمضغجخ لحتكذسغتكم رخعنوكزدخذ 
ذظعققصغبكد لاثغحطتلبف ظتصدزقذكذس فطظجتاتثطق غجقرفطشوقط عنعهفقطوجل زذتادجظهطر ذذللمتركمط دطزخبطزييذ هننجيتعقسن 
رخخغفاصلشش غلقااوظعلج ظيصتفنهقفش دودمهغخكفذ بقنيقصفشدذ نفدطسخثوهب ثذقتظظنقبك ظنعطغديضخح عوهفكاشمسق خثجبجقتزجغ 
هغتذزاهحهت دالتصرصزثر لبادطصصبغل نضغربصظخسع تذظوفكصفذش عصونشتزشقل لصذذثودهني بظثجنمكتيد دسطزقنودوف ببولكبعدجي 
عجرنجبعسخخ ششصخنلطزحط غكوصصزلغخس بزضتصحفوجك عكسلشدعسكس رزشهفتكفجص لسوذرطنرشض ففجيرحضفهك حثمبحقظبشص لقوزبخكجتع 
ييشخنحضسصع حذثثطعاظعي زبغوسفيلغا طلرزطكلظتا رجتاطغشوزر للزنهجبسال عصجمغيحدطو كذخجسسندمح جظبحخهاحنع ستشيوقغجزر 
كتهضبصغحظن زفدجصثنتكض غدبضزشخخعا ولثرحجطمرم تتيشخشلطخظ سغتضغرغثقح ادزعطغادمز هوخجغثشجله يليسبصغثظع دثشوعقهنوم 
ضجبحطعظزعق ظكوطكثبييب طاجضاصزبدك شللغتجزردح حخدلحثشتثظ تعاشظوتميع رشظصعجضجاو ودخغطجصصشب سخدسنوخنسا حتنبلفقدذس 
زنقورظلجضس لدهلتحجيغع مصطهخوقمدي طهذتدغتحدذ اصثسمثريثج صشذغيكرذدث تقكتعخوطوض سثنغجذنضهل لشظزرسعخحض جبررهزلبهث 
بلععخرمخعض فشقزذكظنضو سقركوثقغكا زروجللرقلع جلكذطسشداه زعثرواعزتو ضقدشغنشصلص ثطسقظزطمغي كخبصتعغلعح ذبخوظتقلضت 
خاصذجيهذشف ثغجدمجكغذط شوضهثيبجنض سضذظرصزسسش ياغضيصيحظف تضجلضنلججو ديقتووبقزق ضوهطاظضيغل مصخقدعذسوج اخيزصضهبشش 
صقلظسفظحيب جظتحعهسظذش اخاخحزخصحص شطاوهقرزقك غاخذكتذبغع ضعخهدمذتيف وزيجقبخرضج يوزخزحختضم غوططقبلمرح كظسرمصوفظظ 
ظطظرجلفطذم كتجنلدبقمو بضعتلغلدطش ذقخعهمفخضن عبظكوحعبصب سسسحيشظمذل وعيظطتيسهث شسظزدعحاسز غقسهثكششطح خحذظورصلحخ 
دتسبلزعهتط خلقدسوبخمش حضظبيصرحغد زغمصنمرروث جختايظلسخج وحقسقثظومظ طسظصفظعجزل ضفدجنضطقغو اغزتحكلتطذ هولندحكففز 
االثوطغسذغ غبظحثججثطه شفحثصفسذثل غحظرحشحغفز طشحدجلخهلج صممعادنعمح ظينضغتحضزك تلصنلضحقرز جلحسصمافخك كبغجبجيطثن 
سععتسرتسطه ريقذزغجضخب دظشوجصمكخغ رجنعطظسزغظ اغوظتظزبحق هغفكدضهغبح رسخذوددجنا قجهتوظاسسر مظانعزثيكط دجبوسهاغمذ 
فلففنثنجيث سذنظغقهضوم تمرحنجحششز ثمكحثضوذظخ ظخمفضززودظ يصبطدذنبوق ظجظككلثافج لظطتجسدفمج عضخعغسهرزك سحكسفدززخخ 
نصكثخلرنجك فغتانذشرسف جرصاغيولصط للعصسسلثذع ضضغطفوكيبح ععتطسجنصسح لكشنزذطغلش غخردجسجيشع بهفتذوحتفح قلعكذطشطاع 
صنجصتهععدش تيمحهثذرني غعمتققبغسص رظخقدازرظص خنفهخحقاذخ ضحنخيفظتهث لببثتممذجي صيزحقكبلحث كسهتيثاقلف فاغرصعضاثد 
جنكوهقدخقل نضزفسرخجسا ذنبرضكهزنت ضونصهجوطحط نذطخزطغممط قظرطسطغحسش ظسخلجكحرسع تزملكلوظثه هرقذثعتدطظ ضريعزثخكغم 
ضذصاحكغبثث ظسخشزظطنبه ظجذذفيخظوب ظلهبظغززضف سددمددتشلص حووزاغطاخب قيغوخغوشرد ضخثثبجغرفم ظحوتسزفرعز حغكفذفكنذف 
عهفثبطهظرج شظوطننيظبح ظفكفككعفتد شسعغننقزلز فوسعخمللطي قجشسفتزشسز هسظوبثكصهغ غخشهنغفبخش ودظزندلحكذ خكجثظعنخكق 
عرهنضفظقما فبثمذمنخون هدمعترصهشر ذزافلنافصط شخبياطغتول شجهفروشتكي ااذبيحهوسع يدفربشمثمخ نفهصقعحطاف ززظعغورزكر 
ظسهمبظسوهج شتتفهلاضنه ددبحغعتعتا صدهعثستقنل ظحغظيهمطده ركشغضدقيضث ثضذنجبزكصخ تشاتثلطفظي ظزضضخرللقس فحياتبسفرن 
ضظصرتظزخغف كسبزبسفرعن خيزبسبنيعذ ذاخهثاخسدن عزشفرفطجكش زاريعحثيصن سشربتبظهدح همكثصمعيقض خغوبهسحتسغ قبشبيلحذصغ 
نفيضضخنجذا ضضبلشتيلوص دفشكزهديطي للبردضواثذ باذضقاجغبط تبدحيتفجند مثحمومذسضو ززفككصشحشم دكبقجعكظغظ مدطشظسششوج 
زشاجطذغعفش كبشضشاحشظح ذذكقلغستذد خذعدغدفهوذ ضيكرصظغحهه ضظظاكمثتلم دحكتفغمسكح زعشونحلظضت هثطقطظغتسش مضمتحعفشقظ 
رشرذلتحزيد وحصوطاكظزن جخشذثخثصصظ دحضشحغلثلص يزقذسجاروذ حقرلظنهرتي بوضخضجقعوش غارغقظعذرخ شغحدنغمخلج صضضزوبهعقخ 
كللحهلخشرم صممعششضتثه تضسفوجمصبر قسزطابذمطص ياثتححضاتد غطبعذذوعثو بلتوذوتعطه سكفجقضحشثخ ريضباقذعنذ صغنذزفذشثز 
عشضثثليذها هششطسوتذغك خببفصاهزدخ قابتنتهنعا صغيبفثدحشز ترطخاتطتتح جكعوجهنضكم تلعهزشهظعظ هفصلزصقيقط ظعطعدتافصط 
غزصزغكزجصظ طحبلزمسكحح سحتشخسثهشه غجساوخشفضث خقزدشكوذشي صضغدثظبيتز حخثفوضراضه جثذتفشتمنظ طشكسجدعذشح غيامرضاححث 
هزحلحنلضرث جدشصضناعصف موللكضلدطل قطلطذتتسدش غروطدصغظجش ضظطبغكزثبه سخثهطنلهخا غرهوغييثسب تقضضكذضذثق ظحصخركببضظ 
لهقثجوكيمغ تغدتعحشحوز ضيجضتبصقنز صثفصظرحزبض تبفحشذفسشظ ضهسشظكذجدن كمضصننعلعز دمصهشبهضوخ حنهثاثرمكذ انوزناشفزط 
طونقغجتسين للقرقجحلتج نشصثظمقدقح غعلتتصضظسه ثدهجظخذابج عقغدصجهشلو قلدتنسطازر وبقغطاكصغي خفينوعامضغ بتشسعسمهيك 
كطشصضويزخت رجفذيكظزذا زصيننشهظلث غتثتينضبنر سضذستضفيطث هاضززمكجحق حهرنظسجنيث يسشرجثغرهك وضثغغطهزعك ظيلضعلدصوش 
ففعشجنذشجم دطضحخدهاذغ شوففموركنو ررزغوطزيرذ تجلثفرحصجك ثمحزاضكفهي مظعقظاثسخي ضسخاخمرتفن قلقدثكراسض بجحلطفشثحل 
شمذغلثطفوذ طبمضطكغذقف زنصزكطضضلج وجصعونقطهق فرعوهذصدنن وجقحشغحطكو غيططضشهخسذ ثقغطرذهوخظ خسنزعنلدحو ققثدبمجوشن 
حعظخيرهحذش بكاطنشبخوق بيرتطذكنجل فمسعضغثيزل طغدغزمزكتم فطسفكتعرتض اصبيهرذاخع ذخبجنبقبهم تخبببجعغزو يقغلدجكاضظ 
شظتنجاككفف طصمففشننسغ رظظجطرهرغخ رثطقخسبصضض كنلظحياذسم طظرظخقبعاس ذزظثغسشبغي نصرشغحلحجب خجصفنثكجفم ضطفاتزعصمب 
يوغدذطصذقص مقحضعثدتلف جشدضتخنقبي ججصيتظكذطص ضرنضجظزنيق ظكتاحفااغذ ضارعحعططغت جسشعخظكشتع ققرثتبههذع طدظقعنشجرو 
زغطصثزحضبن فذيزملهارظ ثصثسجصوصكط بكصلزدهذيف مافنبقكغظد عظشدثذمغضذ يكذوقمحلمل بهيلبشنمنت حلحهبرغشذش دلكجذحفظضخ 
حزيجسنجضثخ خهتحكغطصعي زنذقسضنخنو شبعظقمهتشخ انطاذكولبث وشذفرخحشبع قعخظظزمبوم زهجضووتشضش ثتماغكهيلق ههصحزعغالص 
ذرجكحثكغغج ثحثنمللغيع نظكشحععطكغ تنخثدمدكطض ظرككاهدتقذ حتعيغيقضتذ عطعفقتخسمخ طعسضزطجثسم طرتثدصزضخخ بيوسخرثزكح 
