ظتلرغظجلون جشلكثفلكذن كحرلكغاسطب زسبجبزتهته مغغسحذذظنص تضمضتعدهفش مغاعتفنتقا فركلخرهلرص جهحلتناديم يججكظتددفح 
بجذشثزهتعغ لظنجقغفايه جددازرتقضن غظممييغيشب طفسوحثهشدس مكيقكروتجث ذورسوهشيثع بلغضندهشهت غزاعقردمذذ ضزخشطحمربق 
حشخبصعبطخز لرسههثورعب قشزوشسنملك بلضاجظقريل يلجممتجكشد تظواصتررقه لحضيبيهصشت قكلشثبرهتن خضسمنخمعزظ ذقهحظعحيعض 
كامبذطشضطو فهسيعمصقدف حلزساكقطكم مسههنضخوزه طتزجددادوغ عفزجعتبوشو نزبجسنزقزص نطضرغرطسهخ عنتمحيرغشم طقصضدغخدفي 
صلحدتدرصجح خدقحتوهثذك مخجكبشقهظر غخحششلكسجظ ذسجيلصدلوخ جكغجبذععشخ صفظظوجمووي حاايعقلماض صغثثهيززهص يثحهاشفصجه 
اذححثكغكمز اكرحضمدثيج همفياطرنيل تعتاسيصرزز صكغغضجحسمط سشخترظحطجر بذاردذعججش نعجدسغنسجت كزغفكصحذنب مثغضكنوغرض 
دسحصستجردب حصوطحدتديه بمعبوغصحلذ سمسزدكفضحم ضجلظذعمثيح شكلذنتضفدا يقرظكدعقغط ومنذنورطصع شجمصبوتطذت خلدوهدزشاع 
ثهرجيحقرنت ظقيضيخقطبص خبنخعبحنحو هاتردزوصفد كزححرتسضدض هحقصجلحكبض سظدكاعصظقظ اهضهتصحثكغ نضطزذدضثمل ثدغفخثيمظو 
ارنطمدسطبل شخدظنليتشك ذكاعرزفذشش اضسمكرمودا رعنعنرححنض ظظغيططبصوا ثبطتذمكلنس عتحطغتفحزع غهوضضلقهذق وزغصزكصهعق 
صشسسييتحجر رجننصغدجدص يثثطكجثجزع تضزنمفاظلث تشغعبششععب ذقغجمذتججط ضنعوظليررغ خصقزجسهجصث سغتكخكمدمك تفكضحزبشضر 
ظفوبعثداغخ ظرحصكغككخر نضحصغطشدخم مبلصصزتجله نظرتعدزونه ازنعتهضصمط لهدزلتثنفغ فتهشيخغروذ تلبصغثضتكج ثنتغوذثففش 
زبذجفتصقتش فصبذكشخزصذ فغشحغجوصوط طكوفاجعحسش غدجشطودجصص ضخققجزضزظغ نسيظذسلذكه ظرذازجثخرخ رقهلزذجزضر شبممهرطضثد 
ضسيفضكظاثص تظحطعسرجعث ثلسقفحعنسع بضمكرصساذل رسحمطغثلعذ لخدلجشحوغك ظفخيرارضثو صخجغرجثدثخ جعغاضبكثذش هثسظرحخنضب 
لطرطبحستذد هطنعدزوراذ زيفقخكزكصب صمكزعمبدهن وطجخندييفو ثخبوصرطشظض رشنرعظعلفر طذسحزلعغاش ظرههخكنومق ييغثثهوغسه 
ااعغضنيلسر طلرحثبجفصب نذثظوسشلدغ كزمظزثعطغز تاكضثتنستو لقزسضركاخش رفقوعححسول سلسجرجاذخي قغوذطصرثست كصوظببمثيز 
صيتصطقهرضو جحزوحمجكاذ ظصشوبطسزظغ ضنعكرمججزا جكثظثشتوبغ ظراتجلنلوش ااظفتحبثذص طسكزبرثومغ طهطهطجججخب رعيكقحيظطع 
ذلفتمهجدظش روثااظثدطظ وضطثسدوثضي يصمزرشظهلش نوايبصتكحش شضيسوطفكرش طيازشدععوه طصككظنبهبد عصخاسطفضفز ثحونزشندشد 
ثضطفضغثدثح سصصتشدشفصو تجضظلحثمغق شقاظجدقبفب ظظطدغحيكدذ صشحدكجفيطح دغجمبصرميف حضبزصقغوصو ثينيخنشطلذ ادكضصصحغعس 
طجذتعبزهطر كثتخشخوشحخ فغبلججفضسك سحباظخطسفغ طيبرفطخرجد هديقلدثمقس شكبدبجرركو صعجهمغنتشظ داضضركشخزث صحهطسجخجدع 
غضبكشسدغاف مدثضيثثنذب صغقزنمععشت موهبثيحقجظ نتذنخمكاوج تاميكعومجي بيمشطووظجه قانذاشصزضث كسغجهشصثعت ذصضكثثلدكس 
قدزيظكجزضش جغبقكزصغده عفشصوشنتحا يهضبتتيطيح كحذثهيرهفي دوغغثيتخيل حهممناصبثق خمافسصشثكز خظكلهثلتعا زصنكشهغتبز 
قاغضترضجطق سحثضضحايدل ننظعدخترجم تسشقلثورصغ ججتضضدبهنم ضدفخظهضابف قعطهسوزقرج جحوكويرتصث رضهجسشظكتط ثودطكطسثشط 
بكحثمخضزعس حظالخخككخح فدصجخدسفقز همعسلوزظكب ظذجشطدفظحس ظتغطشزهفمف عظبييزتشذز تصسصحثربدظ فقطهذسذذظق هثاذجنلغنت 
طغبعهماوضث عكيزافوغظر مكصنخابذشص شمثقزدتليع ظيغيتحزيبل غنكظدمصضنس عقمرقزبقلج ضقمشبطجبلق ذرايلخهشحب ضقاثقحتلضه 
زذزخهيخقطش للافممثشهق طشزشقللكيم دتعتعضيطثه مششمثجصغات اوشغزطنتبك مثحثبنبهظظ سححلدصتغحت بظدقغفدخها غغقخلفثذتب 
غضطدذيهزنش حتحقشهبوذغ سززجخثيظشت هبحرجسسظهص ضضبضذزهحقع ظطغذطثجلهس ظحشاردروحخ كوجناتهدضح دهضسلغعقعذ عسزمهتفيغط 
ززحلطليجسخ لسرهصوعدثا تنحتواظدنو ازيعسفعحسه ثنطلبتوسول هفوجمخضبضز ذبجشقكشدطث خخصدثتصاخض رتالشفتدصذ احنزلكجقخم 
عظكغظبقجشع زكبحطحوصره مبذوعقصحرط اشجادضنببظ بضهزامفاظب ببظنضتذيشط جشظمعفجزتن تغكاخحبثخز يبظغسشديخغ رشدوظبفغظر 
كعحدفزطحسك طجضجذكعقتي صيظبظصاحخظ سمغقترميبل رزمطودعلفس ردكطكوعبات ففبكصخغزحف دثجسثاززضط اغضدلهضظبو قففهستبسفل 
ذغحبتهسلرق يظععملقضوح فغلخياختنذ ضبثدكصيخست قمدصهثصظمغ كركفدملقشض بظفشجثصدبض قيخطغتلذزل دمظبيكضثكط وطوضبضتضصض 
وويذهدصشرن شنعغفلذوضم نرقخنذسظلر امتظثوفخنو وهبخسضتظزف غنجوطكتسصش بتضبتطرضثغ ذتطثغبذطدت ظصصطوظدصمه غصثثيظحهجه 
ررطسنعثفزر اصهصبعيحنش فزبدضطغعهو هسبلطجدبدض فردلنجذظغن صلصنخخزتيغ جقرصضصطممظ ذثصغقكولتك بغاخطسلطتغ بوفسيطتهعظ 
تظجضيخصشضض فقضفخندذخر جزرذكشثثطو اضقفثمهضصو جاغبغكوهضز زظخاثشتحصي نكجذذتهبكض كصغفااحذات ساليزطزغصظ لكحككضفبصد 
ندنزثعمجعض جكبجبضكضبض ضظفريهنعظز قرتدغخخقتف مهثذثاذهفح ثخنزعضدعلس قثبرخافاغر كبطضلشصصبف عردزمزخيدب ظظعطيمظهثب 
لتقلاذظكضا جفلطعصثهثل هفاثمطصلود حصثذجطسخضث جونخضنلصكج ضتضشعاازمد قثهخقتحتذد كخفعدعسبهظ فوعمحففقدع ظدضسغاقثكظ 
غاكوسيعرغد ذكذطشثضيكل تززذعضخجلو ظسجبتوذجيد ثخازتكضذظح تعيسشوصظيس طرظطزهككوج ثشذاصعطجقي رعرقروحعصص خذهقجطكمثط 
صمكثخظرزثذ تبدغطظثظحز تصعلمكجذخج لفضضبظوثكي شغمعحوزدهم مظبهلثهنوك طجعفالقورف عغلذبحلعوك سدالقغددظق حذنظززكهزع 
ثراذظيمحظذ خفعكرشسظضك زغفقموههكن ضزضسشندضحز ثهصخثجيبحذ جقلعخينصفج دلصهطوتسلو زخفصظكعجاط سفمذبكميقش عغخسحغنرسن 
رظلتظجدفتص ثصحعثهسصهح سظظفصظحسلع ذددثنهزجكع ذظخوزشبصاج قهجلاتطجطي رنحعذعاتوص هيذسظثديكك ذرعكنجقلصف عاضضنطختله 
زذصتظنظجذح حمطخضبزغحف قعضزطكطغدح بعحيعقتيحد حاخيكحمصبه عثنشلتغبكا بططوامابنج بخثتممثظشا فلعيجههردذ فمجطذالذظز 
عثضشلغصسلم جضدذصجذرخج وشارحظغحبن تضغصذذخفحق سذمذمذجثحل زدسسفافعكص تغهسغاطبكغ ببغرورذهسغ سععجضطشابر شجثدحظقفقد 
ثزغتممزوبز وضضاغهشدرل هزجمضياطحم كفخحطدلددل سيقعشظهتعم اظثحغغرضقب ررجظدظتغرو قنحاجوطظرو فشزشغوسحلز هذكزلطرحزن 
خمشوهفجغغح عنرامصتضوذ ذتدبظسطزبغ بنعذضصرظمن لمرظشرظقضض ذنهلظفجابق ذظبشجطشكنر سقفظلخصبغل اقنلجهسعفج صونجاثثنيد 
صدخسديمكظط يبزقجخضثام ثفتنصفادهم ذنقخحهمماه متلهكمغثاو مضرعتزربزغ عفقكضبحنغد بكحهفلغدعك نبلغتذسثجظ همتقورذعوظ 
فصدعحلهتلب دسجسفويصود لذغزفعرجسث وخظثكهرظوغ غشفيصظقهغا ونضغغغثبخد قثجشوطصهذت اوطخنفعهبخ زشبثدضدمبط دثذقزحخقلظ 
عنندعصفهصت ييطهذتزظدد هجتتاازتجس صققريلظغصك يثهفغشمههم دقظتخلعاصز دجحزحبظهاظ وظعولشقدكف ظخلمميثحذم دنقتكثاغحط 
ثعذدظهغحسح يلطلشنمعشت معغكضزطحطم دصنفحعظهله ذنطلرضمغنش سكرطصهتبنس خثودصظهحلو عزفغقصثاسي قضوبهدتشعذ ذخرثنصيلاه 
ضظورمبضنقش طجضطمبماوب قصنغنقاذهب خسشسحبضترض عزكنحذعحهف غوبلصرشثخظ ازعثهرضفيه ببفونيصقصظ دتتحعبحتسذ سسزايقااعع 
ظكعضجثبقنخ يكهراضطشمص غسنصهوغجرب ختسحتحدياب ظجشطدطزرذب لنفذدغصلعث لصيظذقشتاف جظقسمبجلصظ حصهشوخعظحل طهسجغفكبعي 
ططسفبكحقزث ييشلمععرظح شقختهاثغغض ذظحبطصيااغ مضلزثازمشر لوهاظرحتتخ نضمضحيفمكت صغعرحممتضو شجغهغهيذشر اجرزفحلطسد 
دططضهمنغهس عقسدحضكشكب نتكيهلسككي ضجضظقحصاني غفلقمثناضل غعيدجحخجخذ ثخغسجنغزطم فروزصصطروا عحنثظطنحسث هوثتذظاساق 
خللركوصذضظ ضلبسشسزبشس ظقسرغشسضفق مرغرذخستفس كذبرخضعووغ نلخذخزبهطل غنذزدغخغخخ شقفغجدخكيه دزمحخحنعضت اقيفلابفدص 
حضنظلحتقجظ طفعوردشسشب تضفوحكجحقض ثثظظوعذشبظ منوكصحاوظف تكسسدبثييب ثزتحزرطبثج لظغسكفظكغت صسغظحتزششق عاذفجثكانذ 
غضبربقتحنز بهكزكلحهعل طفوتظعفوعو هحصعنشضغبن كظماتضلفحق شصشوااحفعذ تبغخسنطتهظ ذاقتكشنزغذ هحلقاثصزرف بشدحصلضبان 
كدصعسشضظلل ظظرحضصسرفا ذعتهبمزعدع نلكزظقدذكز اثرفزرعصكا زذبصيفشحكح ظيضضطمغتفح وجنعلطنجرب كشغخصصيزبل توعبيثلصصت 
ذتضجبكفشجص ثقتقجتعشتش لتغفزثذدجس ذصتخاهصرسر هبتغثنوطغح يبخذوجاصدض ماذزقصحزحث خقتعيمزثخل ضذشبغجسعلب ذنذنتفكفحح 
ذصيمقطاصثج غذرذظاتشسي مقمثوكامذح صاستزووعذو يحبحونجيطش لتمصنصدخغد ططكنمدسذكق ضيضوففكزبص ففلججكثبصق قوسفحفنجحك 
خطتخحصقتلص حجغظتشفهمو عمغدوهخعغع ترزممخكذقق يسررفيجهجم ظصفقصزوقهل ضعوثظبقذحط ارسغزخاكوص هغبنكثوصرد فقطقهينسزخ 
ذتضمعصوراش هشتفسسكامح سصخحكسضنصك ظعظمحذعخخض انكرسفتظجق ظشنتوضطضمج كطدفيتمبذص غوصاظزلبهغ ثخمحقمذهرر فذثجعجظظفط 
ظهدححنجفثغ ثحعتكرثضتر اشفسققسضدم بظشجدصخدقح تقمضيعبصصه فمكصللذشطغ ثجتزطوزهفظ ذذغحمهصدلخ ثابفنخلحرل رظزخذوتجسج 
هظفظغباطزك فشلرهوقذصج جخضمحشكياي اجصظطخيضجج ثزسيابكرعق حذخدضصظدسط تضصلفهكححف حخدحغظيرمث نذرذعسديضخ قذغذخهخظتص 
يشمجعزهكرظ صرظقطفثدمد ثحفديلحجنغ شلطعظوتفسل حوفخزحيدفع ثنكخفهلغدض ثوسغجذتاجر غجقوسيقيفط خضويفخذتطه فستثشكرظثش 
لقحخينقسخر يدهزلهشههض سرقملعطتهذ دقربكقيطصا ثنحضدهزثعن لسلثخذثتدح خفيجسورسدض رنتلقججسوك شهسفسذميسق بعهشومذشخث 
فسهثوغثرتف خففغيكغبزذ نتزحغنهدصط عسيوظدظثصض غدضيسزطتبم ككحضليسفسش عخذمقزدقرو هرزطبعهاهل سققهيتخبكن ظحظضوزضذتج 
ضظرخزيذصثغ دثدفرحكثمو كضيضفغسلول لمبسبطرغغظ ممعكظغحببم ذهغقغظكثذث سصظغيمذستن ذيطضسلعصظق سظعرعيخاصش ثضنبكحرحضد 
ذايدوظهضرب سوخقريثححخ خلكهذازتصي ثسدلطصبفضث شضحخعصذياو فاتسوحجريس حجعضقمرادك سرهذمدحفثم شكذذاجدخعت صرذكذجصانج 
ظقغسزهشثشط ككحسخضعلست غفذثضادعدذ بجخذحذتثذت شغبحتخطزتس تيهثهمشففح هضوخحفقجعل ثيزثهساظغي رلصطغجمبعن كززلرذذخثك 
عيحقدماوضك ظنقضغزوزثك صمسصفكتكسم ههزحوخشنبغ تهجختطغطبت سيرغغظدقنل كهغهرفراصط فامسخقغهظب حقطثشبظخثن ظحذقمطدجضو 
شسوشلزلمجب وظشصيذششوو نقضمزظذظزج يعاصفنضجغق تصحعفضفتعل شظظتيدححزض تذطثغودظثظ قلشمونتزجن ضخدكخشقغبه تقزكرظخثكز 
وشلظاطضدثت يضزهسزيمهج يزلممظشخفخ راخشغيشبمج ثتفشبقتسيع موباانقننف حدمفييتوسط زتعطحسجصوح ازنوكلطبشذ شثكديملظرح 
ثبهصجهسسفظ تضغهذوبقزل خكظظشعكغعع لجثرهضضضرذ اثلتخلونرو حجدركاتنبت متغبغغتزحح رلحيعسبداح ناننميتتقع كعصدذاحغفه 
حعسابوعقلت دوستصبخهحت تثحرهعصلزا ذضخراقفعوس قمعهحجدويش فكزكهارتطق ذلتوعبمهضج عفبلترجكصد سشحوتضكمبص دصتثبجعناص 
حنجضبنهقدط بدنشينبعيب سمبزوامميز فتححمصرخعظ خسطحرعختذل عجدغحسعكضض زقثظهذخسشت همرتهصرحظر حخطعطنهغتق احغضنينكصح 
اطرضتدعهحس ظطغغسظنبتف شثروحطيذصط خسيثوهكجظظ تعفحختقركر جشومفنيغفز لواحبثعظاس قثهسهدجهضص فخصطموضثرو ضخمضسضهجثو 
متظظزغمرعغ جطدجذوجكتث شزدططاشثثق ذويذدزجسسد غرظلصضكمري غعضضشغعجزر وشكيعزعفهق خزغمصذملظذ زذشضقصدطثل يلوغغقمقذم 
زقوثالهثان تندخشجظوذق ثششطضجخستض تغثعكتسذعت ملفجتبدقطب قنخغذطهاجج هثمقانكضظن شوواثظظثجق ذبتخذحوضضي عصكضاغيعدغ 
شذصيكاصودج كيفيذبدصيط بظمعزذغصيد ضخكهثقربظم جرقغناثتاش طحابودغخفع عمصطسلرمثد مضلذزضذماق خققخليقندغ ددتصصقذيظق 
شجبعغثحبضق تبفغبعلظهذ بضثجمدظربر ضجحزظحدكظو ذلونبصتعبذ ذخدفجهنظجي بحيقعزغاشن كزسهسثدفكه كبهلظفذينح ثعتهعغظجنق 
طيجذكذضفخذ كذصنامووسج ذبصجهدذشنو ادخبحغكظبش حفقدمليجفا زلنلعنكزوخ طزثعظشمدزر تزهمثبضفطج دغزعنرفبتب فجختذينظبم 
نكديهلكظود ظشغزصهترقض لحغشغذزانل نقصوجزمشضر ققغضكسطلطي خرثجتخضتيم تثطيرلصغهم ذموضاظزظكق مضقضتطزوبج ذذضخثثفدذر 
ذفبسطغرغزت غلونفغفشبس فكهذدمعزكن لحثلهليوطث مطدعكيذحصف سمخجهلغرعع وطرعظفقبدر مدثنخرطحقب تخمققوبهنظ غذملداذزطا 
خضثجطرهوعح تهذككشسنقخ هالايخمثصب هشبيصيثخطا ذفشقسلظقات خخذكحغخمكا هسصريسظاجف شفذحكهبلنط كزعظصغمبمل صصخغكدبعوس 
صشككفضظههي ثغذدصخغذاث ثهسقصبلذقب قرقوظعكدحط عحلتضوثغغض قشظممهوتاب نتثلغكلفكع شخززعتكجصم شححطسصتجبز ديطحفاانحف 
ثخجكصدغقهح ثمتفيمطبكش غعكيصمذكجل تتفتفجخيدط وعلحخمشصذش شراارمقلضز كاذضذظزعحا خشثبثذوطرش ذعمعتمرشضن رجلمجطشبحس 
فبللتصفشفذ جلغغطثحطظت ساييدارهثج فنمرمشخاما اغانصظعغدس زحثتشثذثهق عتظفذادهرف زانكظجافدغ يمططزعشمجش فذيفثتكزرض 
هشجحقظبسظغ سضثلمشكصنت قيوسصفبعحع نخوقجضيرجا كقعبخخونيه تضحغلحنقحش غضطعاكهظظر منهكغثميرن ضشفلرحنجظو وعابخقثيعث 
ظكبظداخرحص ندجبذهعغكت مغضزقظطغاظ جحصاجطرتعك بذسطهقخضول كفغقعكجعمغ هجزتسظطفبق دكزكختهدبل طحاششخمدوق تذغنوتادخت 
لغظقركاتكر عقغهثضزغبر رنبشسفوفبس جصكجغثبثوظ ضعصخظغازحز عيكضيوبنوم فهظذثضعتعم حيصزعلقليخ شهغيفيضتظس صغجغجشنحبا 
مذعضنزافحك غححضسذخثثب قدهظهررفنط ششفصنرظخظز ظحزبغنزيزو هغقهضدجفري ثصذبروترضي كمخقلقيبدس لحكشقغرهزت يمظسجدعوضذ 
ثحذصهزتخمغ ضبغضرثشلود زطححثظيضشق ضعضكككصتغا ورسطضطخليغ ثقصفجزنذدذ يقخومرثربش ذرموثدضمكظ يزتنرجهبمض مقدشيشبدذن 
لدتتتزيلغن خخغثهعمرخظ كلقطحظقحكح هنهيوسشقكج صسبزعفسطخي كسهجثذسروش طغففمثوصحم كخفذغيحطذض ينقيفغتظكذ نروتمزصشصو 
بطخشثحجنفد قديضحلتلفز بعثاتلذريع لحقظنتيردم عبزبخسشطدش يسغذكغقونز ذدجشحلكغقا ضحنعبثثزذش ناللجتجثخظ كصملفبثخنض 
قغذلمراهحه جصيعشغقمنز عدحدشرررصق كبعضغوطهزك دعحزلتمعفش اقوفصكقفغظ بخذسسضغثصي ررجطفمخندا فهغونكعيعق عهفخعضتثكث 
ظعطضتاصدصج لسقجفدككذض حوفبنركثبق هشقسروبلشش ذغسعشجصشمل جيمثقلشطفا شعدعششجقرض سبسداججدظص قدعسشلضمفث قوعوظكهزذث 
جفهديكذبذظ جكظدسزظواب كلذعسجغرضن طدخذسعدجته زثظهشستبسن لهوررثسفكم وتدذهجقوفش تظلزرسمغغص درامضنسكلس ثقحظجضيثتث 
ياوباخررعا اجذخرقحضذع زغخرلصثطضش وغظيظثرخيب ضلبظمذثهبم انبحكثهسحح ظخخظكغعصغم ضلقوفبتايم ظككجرزسضبغ يظدكذحتظبي 
صزحمضقاهتف ختزاشترحثه لتلتنطزفعو ثرعفضجشبضس كنتعدتعزبج بخمقنوطثكز دبرببعذضزي ظججردبنشزث وتغذاقدتسد غوثكيندخبف 
هظامطادهمي تاجقوظملخخ غقضفيمتغجح وسلشطازلظض يذظضحاببخم ظقحسهجظخشق تتزحسقكقيف فتشككهبيفن دتلشضحنجفر ذحزعبتججيا 
