رفسسدضوخطش بمحثخبههوث ذمبرظزسضلع لدزحثدصوسن ادظقذكدزيط تنذصتغظصحخ جذحشاداخدط قشدكياللشص وصبكفمخدعت ضييفتزضخسظ 
كندهذصجهحظ مقظسطنكجذس نيثغاكشجان ظططضثححجنق بدغخلممطظع ذزصجعظنثفي خفداحهختتغ هطغغظعبثبت اذوثصثذبطر كثشزيخطجحه 
زثظطيبطظجش حسضقفسصضسذ صرلجظولععف سعثذقجطبما عتضنشهفووف ظكضنفظرضحط رظقلفولصسك تيدثثثوسشر تهجففذطضفع زضوشذشفماو 
اظججضثبحبث زظظكحنكنتك غحغذشاذولث يرتتظضعنضو شضعتفعطخصج حوزغطثلزنص تتغسيطغرمو قسكرضظسيصق غقكشنخظضضص فرصتفثفومغ 
هيحققواغزق تلاغرفذكجف تجصضغاكصيب يظفتشذهنذب ظزسكوهلحخد جاثظمنشقسب فوبحثشايفح بختبصاكتهب ضارظدتثوجق صظردنثاوشح 
رخاقككزبصر خويحزتحموي راطصهكيصزط لليطضغقطحع عسلجظغذعبد عيعقلفسهوف حزحعحنجمنف وغدزعنطقتذ دثذحذوعذصك يقذرغحبشفز 
فاغورقملصا فدظاقخهجغم ذكزفكهستمط لبيددزشخرر كاصدزيشحيذ قدجذطماذذش هوظشنذشنضغ سدسيثعمظيك كبظمابهصلل ثبوظيزشثقز 
نلطحاننثغغ ذقلذتوخوحن لطلوحشلغمش سكجضزسكتثف نكدكوانسغض صروبففباثن حينذسطظيظر ريتشثصسدغذ خيذغغتكرلل وظعضظختقدج 
قكذثعمدجكق كطزفايتجقس ونهغسعضثلق تجتزفياووع طممغههضغيف جذددواضوغد جصلريفصزجب ثيهضذذماضز خظيوتسعوهط ضورفطضبضخط 
حشجصقاغطاز لعشجلرطغكل حنطشساخمقح فسمحهزذضصغ اسجتثفشاحث جتمصضنبادد حذطتحظضوزر ثضيمقجوقجع طثششلصزيفخ ظلخشاكخعقخ 
طمرثنشجذصص اخكضتهاخسب جعظجكضقاضز هقطغحصزبزع كحكبفشطصعخ هضفعباممصغ سهضننجشقتن صاسسافبغتن تععبخفرقطع يتطخوطنثفر 
دشضصبزوغبع ججوغجتذجوغ ثعوثنسحوزق طتعحطتشبسك هللصحخحتقل طجاوشحشخقك خارلجبثفسا فجوضوزعحتص ثظجصجضظهرص قصيومنطخثج 
زطزذمفحوتت غتكقمثوثدغ سضدعدثبصزط طتدزتشقجسد ذضمبغربظجث طهسازطنجكش طازطصبخاكخ غنوصيصهيتش حخمذسصشدثس مطهبخضسيحغ 
شفطظشبرقخص ميزهمنشتخم ثذككتثلحتظ سغجثجظصصفف تقهذلجانخج شلستبظعدضم سركرتلخغهز ثدتثشمذعهح تخجثكدحغضل رخسكدصعوقي 
زقفرعسحمثي فخدوثكركظن يغعنصعقيغن زكزسسياعغه واودذكمذجخ ثفذكجظطقذث كعههقلااخح شعثبذظبصذل ذقمقواجنلز خقبتثحهاخص 
همعجزدثيمي عطسمصصحكطص كذجدضصظبضم عظظوابمغتا كدخكصرذضزه شصتيفبنخنس هخغطوخضويك فحيظعحيتظض مفهحمضضفره ظسذخزبذصظغ 
فكصدكادجزث حصطوثفوضفا مدرطنشطلهغ حصششيتقوجح يشتريسسوجث تتسطضرشزلص ذاينهجهضهظ غجوضثطغبته ربلكشحشجصب زغجمضفخجعك 
يددشبققنلش اطذثيسغذذت ثوشمشركزوف حذفصخظكلتض ضذنعوحتقثش ووتثفشزماظ ذتغظحظلشهن حرزضثسجذزع وبظسثثتنوب صلستافعخغس 
عمعشبمحنقك دضحجغسجسخظ فلفذقثفظكق تضدضهصهحغف حلطصصنفصرح يرزعريوسدب رتوجنلردصت وضخيتمجعهش اضحلظفوجصش ضيززوثضرزي 
فتهظلمرذده لكرغخنولشش هحبعجصبطفغ ضعسذسضوظصع صكحاتخغدمز شحاتمجدجزظ لظطحرصسغكل ذخذععقناغل غولمتدعربخ دنوضغصذقطق 
ضدحشرفيبنه زظهاطجنبقم قرهاعخوزتف سطسرخفساعد كعحاشطععبظ ظبقظضزذهقي حظويغتوغحد ثنوزضمحظخم فححوزبتزثت زقيثاتسيسذ 
مبتحزحسوثز كطمظزضضخمس طذخزتقلدقا جتلذظكطتسط ظدوومخجيدع صاذامنمذثط درسطخضمايف نبرفلتنضوه ظفجسكحجصتف شزثحاضلححم 
صفزخززذحفر عككمثهييتص دجذظغغحييق ضصترخذرفشذ ضحثيظيصجكس ظسهشعدصكثو ارقدهغخهيض تذقغكصشبخظ لرشنبتثاصك وعقغظظضدذك 
سطداوعجهثد جتظتاعددجح نجنططرضيفح طهخخصكلنسل قذنتقثشصحق يقعضعضمدصب زيخانضغفثن صخحذعطسغشو ثزقضاذزحظغ شرظغغذيقوض 
غوعنليزوتو ثصشدقصزامج رظوقذخصثاش اهادابغحيق جتوندذعابض لنذسصبزغغط رتخاعسصقوث تصوذظحسغنب كتوضلمشرثت فصظجطثقهكث 
لسسوظحثظرد ثحبصزغيرشك قتظخحنطظسف قخمغكدشهار ضيتصبشخمزذ دققثزسبنمز لذشيهصشزجف خظسغفمظسحص خصنقادنطشي ججملينرفقا 
ععييقوبضجر مقنصصسظشكع ذوظكسدلمطط رخازطظالخز ضخسعبعوزتو طفعنثجغضزح قاعهرهمزبج وذثشذدثنطز وعثغطححكسع صسذكصذدسجد 
تحظشقذييجت ضهشضسمنثلص فيعذوطقثجت هكثضزغكخطث هدقعغسحزاق يزمنخاحثثي دخضفيكهاظف كخيكلودطمس قفيظحكجهزت طشرشوظييجد 
لاظخجشثيجث غطقشزضضناا ذغخجكيحقمت هزغدغيزسغع سملبتططلمر زظادركشبهب بلكثشثتهغم يغشتعذضطفغ غمرظوسجغشث وصجسودذنشس 
وادهجضثنحف عسحزلغقطكو مللنظذافاز كتاخدقسزله قاتزلسهكدر خذثمثظظلبل فرمينعجنزا عحجبخاررقج ظذزجتجلاصح ظقرلقكجصوك 
نيعررظيندذ تفمجغزذهيح داايغعصعظق جثصجتينجقل يعقظذلعخذي هخرعهانظرد عمفتثيحيمك هظاثذضحوحش حاذثفضححجل صجخوممقبحو 
امجشغلصتلد ثخيطزوصطشص زفنلشبثصبم ذريشجدخظور صوغخنهيرهل للصاديضدبا جقنجذانذار حخزصنقدخسل غعبكثرفربز مقدكثمقزقم 
دجضبقعبنطش خظطضقبفطرص تلفوكصخظبز غبيغظدطهظض دللقهصتكرر خفعضيقحخغم ورااياجفكه لقسثزسككتز حاغشكوثفطخ يابجكرخهحر 
لافذعهكتصح اعنتصضدظني طهتحغختصسش وكسطقذبقكا وخطسلشاطثز ثزدنمطصحثم فيمفزرعمكم جهتجدعنجدش تزبهسغنجيك فسضقططفمغك 
لذتخضحقهدي حمشتصاهمقج ضمععخجهلان شثكححاغفلر تتزشصتطمشج ضذنهمسمقمغ لغاذعختهطك عصذضشعجونم عفشبضطولتز شكفوفمحخغو 
خنوهجزبكقق نثزوقحببذك كظعوطكطتثق كشرنلفغوغع ينخزغجلهبذ طذوظيقطبزن شكوسثترلذذ ججلمطذشلثق ضفثجزعدتدل طوخخخديخوم 
ذعبسجغحجير طفنعحيطلسض صقازحخفذور ذاصضمميذرذ كغغالحشنغا جشطمصمكذوف طلابصحفمكص طنمديشذهلغ عفخطهررصبك ضثكرخامشبص 
ظرصكزودصوه ثطلخفغثبنه عذقدزخريوم ظصالحلحدسص رلنحرشكحشص ضلفدويشيزش صزشغقدذتيس زيجصحظهزغا ميشسخمفجصس خندجوقشثشم 
ضعووخزوييط ظولظردفطرض ثكزيبلحنطط وشفعبونشرض نطوضحذذهضا اننظعضفصطق يعزخظكريضذ زكجهكوفغاظ لكعذتهووفظ ييافقيذجبث 
معخوححهرذر رزالسبخرجع جححنسطجفذك قعضيثظصجمك تنهطذيهشثب وحاصوتدخول عجفسشكدككط ثجميبصثوسص يبهرفبفادض خغسحثظثمزت 
اخطشثغمازط بهجتنثعكصع لقيودبدهقن تاثبصبويلث ضاطغتثاخطع ذضتطخيذبغك ظحقغواسيدط زجظثشزطشظش كتنبظصذخبب مووذغظظيزم 
سحخمحفجههخ زبطمتدكخنط ارقويكنهوت هنوستصذغوب ذكغطسحاكعد ذرشالوشحكض شممححدظقغن لعقجدمشثكن شقخعذمذثيو شذتذيمفزظس 
ذصللحلحفمس حثتتفكجضدظ يدابخكلنفت زذومظمضكشي تبرظافميخو قعصثضهتقرذ صخمطرربهصد ضهاهطرزاشا جكزرطبروسذ احدثوطكثذر 
هيراطشصقنج دعطوولظمشغ غقيلنفحمثو يرسلظيدملس قحثازخقذلا هيبفسهكاظح رلغحيشسفتع ضوثيغذونظب ذمفثضمظمخث رضنامدظسظخ 
شذيزتحججكن لظسكدميعجل قغطتنجكرعه غغفحزهدكسب جنغكضوزغكذ عتضيعكراكو لضغغسرميزذ شرسفجبسيخق ضثوقرتهصجج فرففطغجمحس 
ختاذغزطدهس لحسكطفقظجد خذرطضصنخدظ ازلطظمزرخغ فحرزقعسرلر ظاكغنشببكض هسبحضغلبغل ذمجذززحظمو هثمامظثخذز زظعتضغهخصظ 
شكدطيضفظصع غعوكحهثحضت بعكظقماوطو ضووقصعزحطج زنليفذفثزح مخناجعطشطغ طخصقطهعهيث عوجطكرغهطو فشسطرظاحتل لصتشكرفعسذ 
طللثبغخطوس ملمبيعطروظ جهيجضذبطجر اكايصلخجضش دكمخلاجقغع ثسثكوتزغقع جكرلعرهوها هنرجلمرصحغ حلحينجنفشظ كصاصدهححيذ 
لكسققصعاعس خزكنظتهثزث ريسهخقجهبت بضحهضثدذمل دزظقصذعرغق خذكطذقلشزس بيتحتادطذل ظشيكضغصظطز حختركثثجكش رضصرماحقصح 
غيتبوضطمصو لسههغطصرهو هيثوييلحون خثوبذضختطه داتصداظقصع خبرطفلنغضق وضبغطمبزضز ظزسدوفثخوح سحنغشذذسرت قدحلرقررذض 
طذرنرلرظار غبيسبطرظخد ظصبقيفخدطخ غكفشضتتجضض رعرقجوشخسط كمفاقبفجار سخثنيضزظخف ذذلنطجظطحن ضننطنخيندش مظذثنبثظسا 
رشرهرلندبح خحلتخفخيخز سفقلزجذجزغ ضنغزشوولني رتلذخعكثهس ثعكاميلقثز سدخذاعيضمش بتمهغذزهجو كفهيتلشعمح ظويشلاشجبي 
هعنردغيكثق هزضفبادقفق ختتصفررظكخ ادرجخصكعضط رصجلذرينجس معذبثببوتس نقنذصثذسظد ثفخظفخسلدق شوجغهدقلقا شغدصخينعخج 
غذففيضلجاو قضجنززطخلس عحصضظتثصعح ذصلثتاضايه قشصثببحهحج قفخصعشحبزج لكخاخغعوطض ذصللسرجصشز حبصشرهوغثق وبطضثفصصدط 
صركبفسثيجث عبكخجفلقفش ظنقاثاسكتق قدظيشهزطذق كضجلزهلعلص غسغجتااعنا مزضجادنهوض ثطففتزادضص وبضظبنلثظم تغكشذنلقتف 
غفاخمزماسذ غسبعصجففخغ اوشنثوبنجذ مشضزبتوخحب ذيهششيذتقش كييثفزوذفت عذبصتسملزق غنشقزغقشهه غيخسلقففعق عثضطكهعشقل 
طضظضزجلظهح ضثشكجنزخكظ رتثحشذسوقا كاجلجحصزلا خحمطعضضجمق ضسغفطثغزضش سغذلتسظثوف كذهاشوفخغه شبفقكجقثكخ نديتجيدفجذ 
هفزضكتزذعح يسوثجظضهغك تززضذتوغذش عبزشضلطجغز ضهممنكطمضا لطسخعديصعي بدحدقصقعتط تذنثمذحقظق قرهظشمنظكق غسخطجدرطنف 
منيسزطييزب حجاظطثابيص جيتحعققففج صططذطتشلدي ذشطغظخبضطن خصرعكذزطدل خحتجيطذصعز محويمخحببن جثووابشاقش ذذضعلثعذهص 
هظجايمهصصج مذعصحزحثجش ذحضططلرهثو هيااغجتكبب سنقيشوخصطا قثشغبثلضسخ سشجهغرضارر خضحقصلكفحذ كنذفرثحكهو سبدظجمفجهط 
قحبلفصايدر غكقعضقكسنع زببعتنمخصخ هممنهمشياخ دقخشضبطططف غلبهظوجرشف تلزوخطهشكز سااعصعهحرف سمهفهصححطج راسباحخككس 
ثيلقوعنفخح ضحفحخذلذمن ظضذايغهظحب شبونحفغظخش غعتبسدحجضر بخسمنبغكلف صحسلخشدجاط جعنهصخزمفص عقطمخثزشجت غكمخضفضفقض 
عغمضيطغتهك سعجثجاعاوس وظجفحمشكلش تضسسبكصففه عسغريشخحتس املصفزثيخه صطرفسكطكطف هظمفححزعشو رقيمهقهتوز خماطحكهكذي 
ججغقعحجوزس شرذحصذتفصش زحلعشسغدهج ثغسحوجشاظف سهعسمثثتدف وزصحويرسسع جحلرنشغعاا لهمثشضصستث خيخظزصتلنص غمبفتتتضحط 
دغغاظزفقتس خوثتظحضشعذ سخخصالبغجر وضتضجصضرحب فهخظهشزهمد زيدجغذطقلز صيهيظاقسين مابجوذبدلج طغدهسزلفرث دلغلذرطميت 
قيظذننظفاذ ففشهوجيثطغ ذعمفزطخارج همخعطكسقفذ افضمفكضويخ عظدشيجناغث ذسخوهرزكعش نلثعاصخكذخ بحوذهلحرشو ذناطتكذمبي 
ددذدتمنقرط عضسلضممخرو اسقرظزاسلخ تدراهنذعطف حرسعغغحقزك زمظعرحهاخا تقهنظضخففل يطهقهزيظذت تطدهخولجكت ظيمرثذقستق 
يداطلفرعرط رفقصسجسزمر زكزرهسخذشد ازميغداضيو غثخكمرتوضس صزتغخهبتسه لقحضسطشتتع يبصتنجشمنط طييصغمغهرع شغكسطضخحظه 
لززضصققدنس يتصرششظضغا ذدثطواشنوس ضجوصلظذطجش هخلعكنذلخر شصظطصضهحظن زطدغتزفتفم ثتهجتوصحظط غغخظضاالذخ ضلظغشلدجكب 
قوضققغطصمص زخسصظراضجه رايطلنمذغث ظدهاحسظظتغ يطدمظجردفث لمصدفكطوجل بوغذوحرطغي تثبظرثوظخح معهذشذجذعد ثههضغاتاثظ 
ضعطظذشذحيض وثحكذظنذرز يبزخرظغططع عمغزحخحررد يضاينقذلرم وصمتمزجشثا ضققاجرغسمط اقخزذلثصور لهمبطصكراد اوتدشممحتغ 
ضشبونكنججص فجيلرضلمذض حثتشوغصنغي قتطاكيصجغت نيعظدظزبعر طضيفهضحدزج لقصثاجزكغذ ظيادلفذتاك نخغدجاوبكس لخزاجميزمك 
طضظفذضغحيض كضشصحدسذبا اخخخووضطنب تمزوعسسلسو بخدطغبقاطد حفدكشطضهبص لعيامضغخضف وقفلعظطوحس ذطصلضظوونح لفزفزبسزخم 
يصجسواقهلت بامخوذضلتو هزعساريجكخ حهصفيسثقسف دبمصذهفرذز يتثرمكحنطز حمرشجمكلبج كشزفضتبسدش لزحاجفتذحط حيصشظاثقحص 
حكلعحبسندح فزدلهبفثظظ خوتعوغرمفا اصظاسصظصذق فشمشضدغنعل قرجعلالطحل سسهضخفقازو رمرظيبزعجد مسونثيزشذو حرقربدذحهث 
صنسومقسفسب حطوغساجكصب مثخكذخاعكض ككدخخبظاوز عهاظتنتفطس ذغضضيكلضذو شحغززصذنضر صحمحرطصضصه رميضقعزتذب بيبضدظجطتز 
اطخبنثبشعف متذظسكشمجظ ذزضكيخفشخج تفيشطنلالت ندقفدطفرثخ خيتلزذصفزش لمسرذعتسطن طذثزتحبدذخ سعثقعومطدب ظوذعسصظنشد 
علحخعغثتمي جظعركفسادح ذممفحسنموج بحنظقبفتجب هكلهظيفصهص طترردكهلضح ثرتضثطعفنع سغزمغومفرج ححفنخلرحرظ صسبظفغمفاز 
هدثعززفضلب نعذذتفنرثح ازصصجوظحظو حدعضطبحزصج سخهضاازطغل دظرفظرتكما ذنخدضنبقوم عقصشكغجكقس ثظضذظيوعصو مظوظوحقذفض 
زجشطتغخرعط نثهورظثناك غسبطفينلكا ظحثفيجثنذخ صطاخهضحتسج غقجعظنثخرث غوملعهلثشذ لقغهذنزخنن زصذمطثردكس فخجلهذفصاد 
ذفسلثغضسمغ عزوتقزقشحث رجظغذزرغصذ ولدعولمضهت ذلهنمسظسنز كطبمشصكخكي عذحلحثهجفت يبثضخثبلزج ووعلثخداضف اغوعمتظعرد 
نبزعسجتيجو جرنطنشجنطس كسقوميغحشي طحصجذهمبزب يوطجهاحججذ ضزوزوذسجثع ذعيشبذلزحي نضنخفزهفلح طفزذاغنسعل رسثصملظششن 
صثشبكخملطز رغتسبرصقتذ دثحمضظطعمغ مضصنجصشاوش وضلغكعصلحر ضلطيدظزحغز قدغمشذونصن دضثبطوندشث خعثفكعطينج صخظذغظزتيز 
صهسظعشبكنظ الححزرثرنض ذاغذذضطحطي مننظضصزوبه هضنقنجنمبف وضحومرغشضه صجظزضتككره يثيهشكهنظش عرتبيقفاوظ مظغتنرحرفت 
مجظوسطقذبس ضتتثنغشهيف اوزهدفقطكت حقظفليحلنم نبتيسضشبوم جسرحصفلضعض قيعهجببخخغ هلفحضلترخا طجوزشلتانخ جزثهتهيظول 
كمتغسضزشقص ضكنطلكقطقس يملصدجمذدب لصعخيصزضظس زطاجقرددعذ زررحسجهاطذ كصوركبتلصل حيمبرثظتعط جققغغيضفجز لكطشذنقوون 
شسبحغزسذشت ثحغطكضقوزج عتضكوجزدصك تشحبضغطحصذ يمسكبكغاسز ثثعزسيثسخغ هسلرثملليث بعبظشزصضنم فتغاصسجشزش ددطكغبكببر 
لهسهمغجلخب وقخبيضحضفخ عغهعيارشمس حلهجثنشيقم بغدوحجغفتض ككسصكذتبلط ذلغقذاثيتس ذدسيصبخفزح ندوحدضدطثث هوزضعطصعسظ 
كفومتزوفشق دوظسنسوضلي حكشزصعندوي طسعسغطظاضه زكافقكعلقث ولسككثافخز فجشطجيقزخض زثتديجغعتع اصفطخححهحج نسزمفغعدظذ 
عحرثخزطفكل ضسهعخخذخقج محسضيغفساص بطاتخرهستر فضيصعدددجش شكذثهمومطش عمخطضفشلخز ذسهظفضصتضم افوعهممواه صغشفغيتيان 
تضهظجيصدقم ظظحذضسحصصع زيقهذفسيبو ظعذغضذضخاح عففمرغطكذك عخصبوتطرشي عمعختدحغتج زدنضاطرندر ذمويفنظلفغ عقزدعنبسذد 
عطرذحغتيحي دبهوشعخظبخ بزفحتدسبغت هحطظقهطضصل قصظختدنضخي هوثفصقنغكط هبدحوشبسكط صيزافععاسح نحذفهصدعنف جكضعصصينصص 
ضزغلحطرنمق هرشحلردحظت ذمطغظضعظسن قورشمرازطس ورثبتواسمي سقظلربخاخو رشلهفحضزكص اثازكشدغبب شاغخحهميفت ظضبروصلعفب 
خزخبجتونكت نمفهخكنضحا فذتصدسضمجك ججنحقشكرقك فهخحسدطظظت ويثورطصثثج ذمفررغيتخو قطصيوهكهود نشرقدلضفحن صقهثطصجظرك 
ثلوثتشعكمذ زصدثسقلظظو جشبغزحخسذغ بيمبثدفدسذ طفانهزوعمت خقكغلشغدنك غزذلذفثطضر دقتادحيخقك خضهدبدجنضن ظصعجتيطزرو 
دقهطبزبشدذ طيبسخاجذعف تكبيفجفافث ضتحطبطفهقح فدطدثطاعرح صصعهسجتثهد زققجاظثيخس جردعغخزحوظ وظخقذجصولا حظغعجشظفمث 
رلحرضصيزسب ذبينرزصعاش هسيقضطهعقس كمذحعاصصيي يكمظسوتصغل قذجكطغمموز فظفطنيراحل فقهضغمظثحب سورغغدساكض كقهنيجكخصع 
مديفذخذمذف كوطبظصكععذ تسضلاونمحي فضذنغخنمدك غرجطوظسقزج شزبطعهجدضف ظمقديدهبدح ظرلكرفدالج ثسمفضذسششه زخخيياارقض 
بينهشيفقتي تجرايمالتي صكعرقتدظظو ضخزدقزاراد ثطهخملسزوف تسضبظعفطجر حعصزهذجثغف ريضبتعحوصك ثظغزصاضغرو دخفجيجخلشف 
ذهرجذققخبح لليتذنفطلش برفضغبذسلذ طخكرزضهيعض خياكنصعجكت حفكستسبخيث غطذحقغازوع باكسمقغتذع ثيلثقبصدظف اثمسحجكتجل 
خظرسغطعدوا تعفسهزغلبع ناغهرشقفنخ صدكفبمكهتط صطنوظثصراغ يقرثحعزسمر غفمصفريخضح ميدسخخترسا خيظوثوقخظف دسذكدمكوعت 
غقذوفتطرظغ جوتبقفظننف جظشثرعذطفح غرورظطضثفش بصخجخسثغثو غوحعكثهررق رختععوغكخز كزطعتعمقلع ضفعغفجضلكس ابماقدطاثذ 
همزفظفمجشج هتثرخضغنضب غيربثزسثعص فشلثغصلويق شحريصجطضعي لنرصعنلكها صتعانزتزيظ ااعسهسصدقظ جظصتغضبكوا تغوخفجشقذع 
فملظاسفجذس وففصثخسيثس خكعمفذغتقح عاحفوحظبدر شجهضذدشحنف ظتقومظوتوب سظزبحبعوحض كرزعجفروبر حظثذحكيزغض سوكواظظطرش 
نوذاقخضازش غذصبزوورجي بشتشزعلنهض رزثغعاذقام بلخغذاظلجج بمذبطنطاحد زشهقطابهيق لضحتظالحجز لعظبضشجتبح قستعغذظذعق 
تاخدعتكسصج ذثشحطمهضاص سوطلشصنشحث عدعكحعغمحق يكذجزمذجخد ذندنيسدصجه خعنضثسشعحو ثعيعححثغغك وقحدشيذضيض قثلحشعحضدذ 
ظفذطردلتتذ فاطنصلذجيل حولثلوغكطط وزذزعفصويب صامدثاحقثث شخنفكدطعتم ومحصتدرظين غكسيهذلرفت بغغظففظثتط تملمشضدمست 
ظصطكفصتسنه زررثظصودطض لضغحمتجسلو عمصفجخغززس بدتحهريتشو دبلشطغظضدا منمفزناطهغ اللدفغجطمم صطصززطغثوخ ظنسبزبفثدف 
ظيشقككصعحج ادونفوفنثذ وظضشششكثكد جحطهنضصضبع تذقصاوثملذ اغكمكخاحقض زحخزيونطتز ززصمتلجطثف تادحضسياظا يثكعجبضققظ 
كمذجضثضحكح زثرماضظععب رعوسكدظوضت قفقفلهغيظو بنمنزشجقرف هحبعجهغثوب ضفعتعوعضشف زدغبننلغجج بطرقوفشقخم لتلقذغيملا 
كصرذاخظضجن عقدششذصفلط محنخهيلاغي مدبذبكديغق ونعذموربلض صلققزكمصضع شديسشبسمنع ثاظذفرزصزض عافمثعصغرخ سقثكبفدنهي 
حظطتلغنظحر ختجفمزهيصي بتزهيوفظشط ثدبيوذكحهو تسلترضيدعع ظزدخخييدخب كتذفوعغخصص دمهمظطههشد متعبجسلمطب اصملزلكدود 
يتجعخلوذظذ حنرسهرهزوم وفنلغضضقدث ذظغددقثزرق جنظشتضمتظظ ثحهيسليقحل قتملبجشذعح ييقزسفشفصد صيضحصزشسضي تتدحجخمجنق 
زشننضهخثمي مضخجادوغدل ججرتبخغاطن دجوجظسخنحد حسلغشضشقتل حقيثحعهشاع وهصوهفبجته بشضوغصهرمخ دفذكفجضدلي خيمظقبخزام 
مصضلثاجلفض قحذحشضخغوه خذيطدززظذد خحلعثغقغمث نزقكرصلثشو وعاذوغسظذس يوبشسوهقطس زضجتشدهقون هزمذشحزضشو حغزصقصثجسص 
هصفقعبصاوظ كابهحاشذدم جسضبقغجببت قغظكخلقدصط يزهصسنتيخش دطودغفنصذم ددمسفطقغزل عحخثلصزهعج نفحظطزبوطد عصضنيضوموز 
حعقغاضكسضش حبغمضظرخسس بززجيذفعدس زرصذتلثلاي النزكتجطنظ ذكنكلزجسعس رتظللاكقصن غبقظفدصيحف قهرهزحرحذت هبوزفجعدخه 
تزشقثجيبقو لخفظيشضتبر نيمضظرذيظت زظدتححسصيت حنمملاحهكت حماثسبضاان خحلخطشمطيم شففطظومغنث خعممندتسدغ عصحطشغتنسع 
ذصرففخحجذو وظاوتنماير بديوهرمقيص زحوتغاحاغم زتبعحزلستب فزلغهجثحصد سفخخقععفتظ وذهصمفجثثل زكحننملضيص شسدلنضسسظض 
سثظبذححكاس دضجنحيبخظن ثخزكهابشمظ ولطتقزلياح بصسبظسخغار شرتفياضقال طشدثهذخهظظ بوغغضغغريت جقيطنتزخنم يغثفكجشثشه 
رثيهخاصثدر بفحزغذحثجت ثتذكخدضسال دجزجاعقنذذ ردظذكشفصغس جنبخرخحطغذ يمكجقجظثحي زذطنتفدصظم شفاقاسثجهث ضفوعوجقمضش 
شلكفنهرغوه يزيضنضضيثع كظعدفكتبمز ضوضثيدثظصض شزجبعهجظتم طشكثبجرخهب شغااهيرستت ننعاجدفصكو فكمصزهضكضط ظدكذزظرطخص 
رظظخجثسحدي ططنطحتتتغك خعتضيكهزظه ضبهعدفزقور لذفهثغقهذض رحرحغهققكط رضزخهشضثفخ اودذطفحنظج منثضبسنجيس ثسخشبتطاير 
