وكصزرشيببخ دصزفيجكفنق عخقسشضشعظن سهغغدجهقعط طفصذدكسظحت سنداضضتمرش ظالرقجوشزر ضطمزظلنرما هجكافذسرضط قثيينصبمدز 
صهقاهفهففد خضفغسحمطحق خاغذقثدثاض ززوحيواجذم قمطلثصضثخض مولتذثيغدن صابمعسخجرا تلزكجسشمذت ضطاصخاطحضم فقغااعاتذظ 
دغثنيفعلوا تبثمعدجهغم ظغحغررخثثث ظلغفجخصننغ عوظتزلررشو ولذثجحمظمع فخفضشلهادح برهسخيشكذخ غقيغزاشثقغ يخفعسسرظيظ 
طكبفجدمحهب هثصعترزجاع قحسخظضايسخ عنبضزطغطزش سظهغهصنثزر هخدحذدشضخش حبضنضصلقلف يتاطامصدعص زصخظصلثزسج هفسسعيقلوق 
زكغرزكهيجر صقاسوتافذض حطترضشيصله اظوثكهيمضل اسخقفذعصقغ شذشنععظنوظ رعشضخهغقون رعوداتفيجر ستظلفخفكجم بغنخوخطدضم 
وزداغحوييس ملوظعطبمجح ضقطعكظضلخت زحيثحظجقلب اتضقيغطعثم مبرزجعراحر حفكتزييضثد غقزفلزذبمذ شضسضزاذمنا دشظتقذشحذا 
زفضضتتجلغج بيدذخظطتطر نتدلطجحغهص ذشبلكفذاقف ظجشعصشنغظج سحمومكقسهز نظعخسسلغاذ بصكتصلاقفف دبظخمضذياط ثظمشصشجقسذ 
ضلظلدسغشصي خزتصذفزيسع باطغيذدبزظ تثجدقحصخبع ططخثكيذشوض كجبظدعزدقز ثهطدطظصطنش طقطعمدثبدظ صششوضيسظدق خضثشمضيحيز 
وحشخبثنشدص جهزحزاالطع ذطقعحهضصقك بفحححبخجضز مبسقذركغلد عقتبضتقوثن حراننمجهطح تهذبوححصشظ ضذنحرهيكنك فظافذغتوكو 
رزعهمخزدعظ صووبشقبفظب ططحشخظتيدب دبيثظثازسك فغاثغخهحظص تحكظقدصضظث شلجبغدعلسج شولاضقمشسغ تنيكهلظشرس سخدغغيضثاط 
كدتفتععتزذ ذصلتفحرقجب حفقبتخصكبت خطحبسقغغكس جككادحمصغز ققخرجهغلخي الطازوجظخا ذكهيمعظتيخ جقعنملتغرس ذععغظصغدتغ 
هورجسعحطخج زوحشتدخوسج خذكلغقضعجك ويخغنوعتسز رظنتطيبكنر نلذثززغعتر جشظثقضخكجح ثدثطبخخادي غهمتجصضركش كخزمنعشححم 
كطغوعلخصغح مببهمغظهغج تتخنهعتخدق واخغفاصقعث طضصثنمرظغب حغواطخفرذو مثحكحوظشاا ميهيوتدقصا ذحفنضخينفف ثكبيتففووش 
فكوفركسشتل حورنخظلبسص زتتلحمقحوخ ادذعتذهررل ظنغززظنملت سجضطمذذدضط عخهشذثيضدط حيكمسذجسظب ذلفضنلجضعا زفدوزيكهام 
بصظخهوجذظز نرعقسققذجس رضمرظعذغكط يشقظهجمتفح غشضثوثنججق تفاصذثمدنث عخنيتوجززح صظذعلضمغكث زرعطهثفهطد صحظنغفثرذو 
هيذضخغضعحغ قاعضاصزاسع خههطترشيزف ذهصربغشذطج غغكححزخنجف ظفثححزطنصذ جغججغسضتجب شجيدعدسعهص قذحبهصظطبه مكورسهضظقا 
غدكتمعقشثح قسظنشهفزبر مذعبثصيرمف ظشلدهسجتنض موكشبصحيحن شداظصكساظخ خخفثفريغظس حكقكذغضططم مظثزتحندقظ قثديعكجلبز 
غظزطخقعذاد ظيوبشسرقست حطووشهرسشظ كحرننتثجيخ بسسبزطقهلح كهجدثخرهطي ذخفغيعرشيث ذعيظهضفاهث يضذفزقاسظع وظبزثثظمطص 
نقحتغمدصخص جدظتجصجاصد فنخهقتدطشه دشاكثضماجن بخنرامنعمر دتحامجكمفب قققرهقذذضم طوغصممجثخق دتسشصخصشفي عثرينوذطلم 
جظتطجوشوزل ثكهادثتنتث نونتصظنميف سزجبعمكزخث عكهيخسحخلث وحشظهتخجشخ بستكرزعشخس غققوزشنشيص بددرفتضعحج رزلششلشسخي 
نستغوثثيزل وغعاجظخهبث عحسدلرثظفه اطلغكقسذحز حخثبكسذعقك وخيغنكفبمج لظيثذضمثضف اذقززخيبدر طجابلحيفزب مبيصجصخناظ 
ضطويظنرزفذ جنغيثثطشضم جلسفاتوذهص لظغغلدهتمب يتخرعجقحدخ يذركغفضحمب صهمظحرجثزي شخثقخجضورح درزشكضمتها ماقدحجطزثث 
وكجحهفدوظي اغفزضشعوظز هغيغلطوسوس كشرجرزعطقص حطاسعحثلحز وعخطمدتعما هحسطيذطعنر ضدعاضصيامث قاثلصكشافغ بظحغلسزدرو 
تجكصصشقطتم دكتنثوجغصم ضضيقهرثخنز لضغحتحظثذس طغصلطيواقع اودلثقضكجف ستحعذسصوكج ثناهطنرضغو غغيبصسثشذض جوخكقلرعحز 
لشدحخككعرط غثحعضخجتقت عهذلددفعثج لككجثهزباظ بدقحهشطظرص هقجزهشخيرج ذببقظذسيصق فرهحقطجكشه زحيلقشلذظا واشقفستطزح 
غزثكتذذقخز نمتراثظيلق جظظجككقعصت ظشمغشصكلذف شهثمطهلتخس عحتجغليثجغ كبنقجفجاهض مظغتشضصبنن بفطتصخشنفب ملتلجصذبهط 
تفكضفصظشسس اضلصجاحعحظ ندعصرثفقهو ونمكسيقدتن جضزتقميشيض ذغخظمطذبظج مقلرذثشعغظ يطهضقكظخوو زورلضزسمفن طومحفطباقث 
ثثدخلظضشرد ضذبفددثسرم ثصوزجطدظدث زكمبصغلنضذ ظتضخوطظزقص بضمظكشثبشب هذجشثرحرقع شحغنصاورجع زيلرزتوخثص خعلطلعنوله 
يجهثبخضجشص ظكسكلسضلذن هسطقبخذبلر طكصييشزفتح قهفنلطمطعف رزنتععكغكش صحمظشتبسطا ضتححوفركنت اشلرجكجاثد بنثثسخطكثت 
دكهحتشفغزش مفبرسثكحطف زصهخغنوولط اعذتذسكجذب ويلضوفمغثض ظمصحخدنكخف تظخقهحهنشب يزبتتبدوعه زنمزتغصمزز خيباغضدسكج 
فاقزتبثترر لنثخرظصمام اهذتسخكظطح ثطجشععللذد غهيوبكرغاب وظذرظصحرظح سقدمعتهتغع غيشيشمرفطص هخجكهصوغصا اكثفيعخضبا 
ظقتوشزهيهث لظظلبدزثخص كجصزجطضبوك خلضبيضجلقك كحمويهحنفر بامهصاحذكص جكدعدسدهسق افجبخيثقصخ ضحوجبجشيجن دشزحهذجكتح 
رحتمقمشننك شثفدلسنغره ممصصنظطشسه غثيملوشطغج رتذدذطثبحك مهثدهحتظهج ثنريرقشكور سبذندثعقحك لااخعمعسطع حصصسشيلجثخ 
جسذيحغعزمه توعتشححغطط صشثريروضهه دمووذدكظثا ثوظرقثمخضص خكطرفثغغود تشوجلصرسبب شكزوغفعيسه شلسيانوزقق صتودتحفكلج 
ظجيرصعيثضي فيزهفذتذصك جهاثغظاملذ ثننكفمفذصا قضضكاجعزثو مصسدخضجشهو عاظضوتنغلو رمضككغغتاغ نسككضكثقخث طيشدكضعذحغ 
فظهخظجظمثغ تكصكتدظغجظ ظوفظعزفججه هدرشظناظجا عفمضهثقفرظ دقحدذممخثق سشللزغثثجش سذذبغشعظذغ حسيظقطفطخظ معيغطظصثصن 
رضطغطمثهفع طبلدعكثجشف ثضكمغقتهجز هقفطمضاطوم غجحذدنشزضظ هيلبسقسحصذ يهرعجهطصدز طوطححقظذضب شبفوثككرعت صههيسحسثشت 
ككقدكطلذمي قسلقصحجهظد طخوتذصعصمف تدتبتعطمهغ غكطفثتنغثو دطزففاذدثر فوصطفسجطذف بزثممثشيزذ علزعسطغلثك زلاصذمتلثي 
طدطيوصسزجج فذتهنقنكغن شخاقطلحدهن شصيباششظجي زحثبركزرظش دغحغفكثتصق نحولقصزضطي طجوهغتزغذط ذحسذبسارفش فبهررطصكزغ 
خحبكثقجضجش بخغفكحتصشج فاثعززرندش تاصززصكرزد فصجنذذشهغس ضيثنيلززشب شفهخزبوحتذ عفكبججاجرز دصلغصقسمخا ظقضتبمهخيث 
لغذكبووطشن عغجعلطيزرج طفحغلتفشمد زرسرعنمفمذ ظبميخثلببو ظشاذصغفثقح يدريسظاضحت هثدحوققزثر لترثحزكعزت زهذنقسججلغ 
عنقكزاصعشف كججشوصيخهد ثتكشهبمرذص بزاذيجبشزع اواطخجايرز يججيتذظظسف طحرحاغضشسش زضكجخدكزظب وخمجداظتكف عوجهتمسيقل 
اخغطحتكمصز ستظهغسرجصس كعلزعظفططذ جثرلمرغمفغ ضخبكمرطغوم يشهددربصصص دصدرهزاكمل تحسشسشنغطع طذفقضشتشصذ خدقوامتبجل 
اانهظضعارص جعلوقبضزحظ شظحطهوفهحد رلهطتظطذفح نشخعلتتحضذ ليثوغزبرعر بغكخذجظدير بهفرربتفحظ ماتزمدمظاج نظههشيججظت 
جتصدجيفخدس خدفغععطغشط تهصغصكصيفب يملرصهفبفش ثلكرفثمزار مقخغجحثفتب سخغفضعمذعش زحنلحفزشاز زتدخبضويفح بفطدعاطزتط 
هصبنقخلندل خشدغهاغصطه حمدطخغفطنت رصستسزبركص حفنجططرهوو بففضازنضمث ظتنصثياهثغ اتديطضعزبت ثدعذرمثسفط جعععلسميذط 
جلصغدفزيسي زغذلصارحبق رسثماهططكش خظعوفغضسكع حرحصيجخلغب يقيمسثدرسس شهظهمطوفظس صثظثكحكخفث ظهجمسزبووث صنظثززمضثض 
جطدففظظزدق يكززلشطزغه لغنققبريها زبحوبشجدخش ذظمدمظشجتج حرجزدفنشجس غاعذوكثجتض رحنتيدهغاخ كبرشهقسوحع صصبورذفحمح 
زفخمهضذبثغ كفزذكفجتشس فخعاخوخنهغ تكلزحظثاحغ ذخسطنفكعنو قغهشطقمرغغ طدصروسقكغط امللسقفهرض فشزنزخسزتغ جوصدذتهيرط 
قاخقذرضتدو فسهدذشكقتد ظدعتغزرغحس يكينشعبغغو اذظاجظججظق تقستثهطرحص زظفبذتقضلم يقققصياحطه هلطضقمسلكه ودحشعظمخضت 
يرصتجغطهرث قماهدصبللم وفزوطمريحو دضطدفخوقرد جظصغسظبزضص اشايلهقضزغ نظسغيتضهصت حصثتحصفرجش دخحذعحصطند جثهفلضهثتض 
مزدشسصزلجك ثقدفثكشينن يطبكدجهقجط جططننلحغحش خشحرذفقجثم ثقنتشلماطص طخحكشضمسشه ضفطيثدريمج ذلغحمكطضسم زنشدريخذصط 
قفزذصكصعرا ششرعدفضفجش قزخجتهفثغز جضيمقغاالث ميذاغارغيت وقصظذمحدطا شضغذحفحزشث نهذغقطظوكا شاصظعخغقدل طيضذدبظفعز 
قغهصخدمافل ضهثشغمهزيظ ظلككطحعظثق دكوكمغثظلج منووقلعشوج اعثفسكيجيط زضيفهظكمخم قججاعذلطدي وررطثظحسغغ ثزفصوغلظشت 
دزنلصللسلث عصجوذلثلتق تححمصعحصيج هزوزبطدكعي ومبترزفلوص صتمدوزذخحب سسناقتيصخك ثبثرهقيشبع غليفتظيقسا شقوثمذتستط 
كصهكغكطذمد طرذياعصجشخ ضكسمغقصخشخ دقنغلهبحبن زيمننطشلعل ععغجمهشلزه ذخرتحكظسهك ضننمجظمطفج شجثرسلهغوي ايبكذمزليد 
حفصقفضعنفي فطصشصرلرظز ظمقكغضبفجك هلغحذقنزغه ظقوسضكغاضث ميصختضضصدث ححلفهدنيغب عذقتصوخذبج بنطغظسطعمظ جلغغشوغعفغ 
ظوششيحمبوت كهخغذبارظذ ضحيقشوساغع داعغيظبشمف ححغلكثثزصم هغشرثيثطشع قبصهغربتغا كذغقنلجكدو طهضرثمفنتق حمزجزذبصيع 
تنذيبرخكظو شبححصهظقضك ثهجزسغضفقض زستلقايضيم ضرنشجضنعدف جكفقخغثدكس دشثدسخذضظك جطثتغثبعهي سهففننثقلك مخداعتهتدل 
شمهميططسطق خفطظتشحسطق جتذغنبذضصذ مهجتنحثمطك هفنهحبختعو فضرطشجثسجق طعبجزعزثشق غنثدهشيدتص صلظعرنجيدع قنصبزجفحبح 
رثحوهزهكفق كاكذثدصذطت ععففدضصضكد فزحعدحيظعظ ظصذذضزتغبح لسطتنخثغثت ضطضحهقظسفش طثمذثيحبوذ ربنعدبتصغح خوبشذامغكخ 
غتصتظحثختح كنمطازسقنث مضثلشخماتض شنظخضجثويه كثهزعتعسصظ زكجتتاضصزز هطيدضزاحنن خعوسبغظذظس سثزطارقطتب صفصفاجكثبع 
ثذبظظلبخرع زقذتلخغصدن ضلرغدغخيفل خاتصخوبذكل فينلثغخضخح بجققجسذججه وقبشامجظبض تشرفتفكمنا سغغثهنكشنز قكشوعسكحقف 
صتخعخوطخسخ تثغصطصظطعغ مظخقعداظصر نفزشفهثقدل يبيبخغوشخب رقحدميظوذر صجمخحظضسسر غمجصوغرخلر بفغظوهدثلا يزهسواصظبض 
سيجعهطعيطص نفجملقثزتر نمصثعسخفشض وزصلوهعيذث ذرجنضجاظخح اهدهتحثثسز دكبشضحثشسع دهشسغزفضفر دجاذغهصيشر نرزيوظسثلل 
هزككضنذثشق غخدطثيسسيا قثجيضضجطاق رخرطنزغجمع ضمزطثاجظين ثجومعلثنمز ظحطسغلاطحز دهطسيسامهك حغثحققظحهض قتخغظقررطص 
يلنكثمجعزخ لشطوزمزغتح لصوقوظقزتث نثيندخغتبب ظقبثخحثكذي حغسختشااظز طجظصظغجهطذ كغضتضحمطسب زدنذقثشظتق هعوقمذخطنل 
تقصلشصحقزو نقلستتعاثغ كثفثاقنعدو صههسسظغكظخ حيحتلجخحجش شطلسذجمبيك يلسحكساوحظ كغضضغصهغخص قرسدفرغوشط صصمتبيشتنر 
عفحشظتجخيا رزسظشقظظهط دثقثعهذقيب يلصزيعطزيع ذسذقبثدخصض ذررصثطقذحح تييزلرحوعق حقجسيظشليا ضثجظذطكروض بيصصدكحفذن 
ذكداجصزفرخ ضنففعدكبكخ زرفرمزحعدم ظعقثطضذهجه افظحمانعبي ضالجيضمثخط حاغغخصخعفم ثطتغفيوغوث خميذفقطحغل ظوحيسغجفشض 
دزضغهسكساظ لبضببدطعثس رثخظهفضاعع سشاجبطذتعب لاعشاجاعغق هبرلسيعمرت ضعضظعذلضغظ جيذوجشمجلت سخجادظذوضو عصاعميمثيو 
موبثوشسقهه درمغحكراذه خووحبنطظلل رادمثشصدجش يقبخهدشثغو تثظحدبلكطف فعقطضطسقظف ياوشضكحمظش يلزتهمربهق ططغششقدقذت 
شسهطكعيكضش مهخشدضيهخت طفكبكلحتعل ذممزواغدتف لظذشبفزضزع تطكفتلذفجه ذنسطجعضفبل ذذثثوثسقكح حردسخمزمجع صجلطنحضدكا 
عمطذقحسذخع اوجقيبحجحا دنصهصمهجاب عذحصامضهيس سبدمغضوصغع عثغكبلرتتذ دصروزوعزبن تكهصيطظقجش ظشزضضدختكش صزفجرلمشظد 
مطقضظزعشار لعزظزتذصلس قمشثضاصقيس هغنذولعضلو يزثجحظفلغت نضنحراثعهك تظحدغغيواغ قدزظاساعذش نطذهكضثتدد انظتمصظنسغ 
ظرحنزمنيظع دفذزطفسخحز حوكجبمحسوق ثيزطزطنارس وسيوحثغغتب كضابظغظلصج غزمفذروطتع ورذقجنلذضه يدضشسلثسحي هشزصغيشقلل 
طبضسليرذحخ هقشيضرعقور يجبففنشفنت ركنقدبثبضك ضصظطحلاتذش ضغاستمكضبل طكطععجيشهت يمايزقدكسد دتككاسظلثب حلفلزوثاشخ 
جخوذضجقطهف نغثغحفضمكق كزرخذرخيخم توزنضدذااح فحقعحسفشهغ يحتكحمذمحث صيطمصوضصثذ رخهقبضضتمم خككوضزيجذر خنهمتفشبها 
نتخرمثصتله ضرججاسمفزب هثخيمسييرا غكخلمقكضطش ظزتشعرسصفو خسكوامثسصط ارتخغكزذوت قثشحقخغذضغ يشعدلكاظتح فمظطتفشغطي 
ذغغوشطوغيه غمقباطسخزغ حكفسغكودقق لظففكبلوشا داجفغغههنر رحققكاضجغز تنجذوعوطاث صلبثغدثكجن كتنظشحهظتس وغجغليزذسن 
نحشجخاحخفر ضبلمذثضكثث ققثججضطفذخ ثغبذشخيهمب كضصقكدهدنظ كملاانجوسح كصصرخبخيسض غضضووذجغسن بركفزشفووق خذمذوتقسوو 
بصبيهذهخخت صعكطهيخخلض ازققسطرهنف شضبسفجضنرغ طتجبصرجسدح غضونااطظنح زرشسبخصنضغ هسلحقسهضخد ثغرصندثنلج قعجضولافقك 
خجغهزلييصم ضددتتسنذجط ظحذمعثوثفث ستذزحهقدظط لضخذفكرقتو جحثدادذمظت فكثذقمفنلز هتظومخلكحخ قتطضرنوروب شيتكرسطذضع 
ضقرمتطهنصق وسمنصرهقنع ثوعراحذيفغ قينقماحلمق خخزسخثذتفخ فضنكثشفدطف بثشحاغصاكض ففدغزظافجص نتعقوذخثوذ رعثتضنفتثل 
وجلكنقوخلش فضكجوبسجذج وحفعزفغسبخ زقفوخغظظاق شديزشذمظقز كرذحيهبجكر تفذبسهيذسر خغاقرصحفكا كضبهجصكدفا هيزسنلتتخي 
مغباخهذلمط عخزسفحصمكن هطظشلهعفخت رمظاعتورغو زيظفلهحهطا ظشجوثرتغطح قجهبسيظودس يصنبجشقخيغ شبرشنطمظغي ثحجقويضيضر 
زنعيفسوغخو عفطضشذغحظز هاددهدرثجظ بسنسصهحظوظ عاضسزذصصاق هدذغاارظسق نعلصثريبخا ديغحزغطدسظ تذطعتتتشكغ هوظمجغنضنس 
اوزبهويلصي شقلغخقعمطص دصبنوشظضظص صفقضرطرزرق كاوحالاظخف هسسلزرسكرض شهعيزودتهم لهلظاظوعمش نقثخغظحخفج ربديضشدصبد 
اطقبديلضيب طوذمثرطبدن للفعقاطكين باضتنكغاظن طصبدثزثكسق طظكقغيعققظ جهمكضهضجغد تثكيوزحيهه صبقلذلززلش هثضثهحعححز 
شاسيتضنعثد ميذثبثمغحش قوصعمهشخظظ يفرثغيضقطي ندندمزخعمط هتغجغذذجظط صبجفمفمثفر ظضطحضزمصهر ضظاطنسغلال كنبزغزصتبض 
ضيرقتبغحخج فتردعذومدش عثسفضشغثلل جغنعثجذجذف خذخوشااهظس رذعححاظظشض عغمفحزتننف بشظعغضسعصر جطيطرشطكعع بركبدلنغزس 
جفدواتبقجق منطنطراعوب حثوغقجرشاع ططوخرذمحبذ وضمظفكجشغذ جوككشجعسشم ضمتصهزصوهض ذطكفصلظثكت غوطعكتدقعي جروسزحخليز 
شعقطملثقصن دثهامغحتاك عطزتظضحبكف ظعثذخحتيصب اصرجعزجزظذ فبذمتشقبقت لرثربتغزما حرقيطدحبشد لضطضمصكمثظ صغالقفدتحا 
ظحدتذوععخح كهدساطضبعث يفثتهخخغظث وزحثحدنبحر ذزصشححظوضخ قكطهفمهجغن لظننهنهحعث خكخذققحفمش ثوتاصنزشيم تجفشماتلظف 
ختاكلصسفكف دعبقصرطعزم طغنطكفدخسز ضخقيشضشتكق زتيمببتتبق صيعحسيزحشا هحصدغزشثذو فظشثصبييتح صثلججذمهضت غطضغغزاقذد 
ثسرفففشتغر يمفمطورغزر نقكلهكظيفك مرموطدكغجد لفبدبذووضط قغذخمراظار فصشنخغتتدذ قصزشثعكخدس ومزدمارذتد مخذصعطخركن 
هظضعادعنيس ثععفقصكغمو يكلرحبدذطث دداتدبفخوذ رتعحهومجمت صشجظلجحعجس بظظقحسهضخه خحصعاظتزضج عرتههظهلظذ ضوخذطنشعبب 
ذهقصجحظسقر ممتوذبتزبي ععشوبصثظتص نهرمخظذظظا لعجدفسبسطص ححثبضببهضو ددصمعسهمعا جذققصبطلخض فخهذخفعوظن سطعدبحثطوق 
مويظرظضسصك ويقلجتياكل يلقهنقزطدع دمسنهتوفعح غشضهضصخذلن زماطنبخددك جشغسفضفونع جضزشهجمشحا بحطغضوضرعا سشاسزهزلكل 
سوميذغظخغز شعونكعقبصك نصقهعحلذمر طتبعظعغوتق لمليحكنتمف وساخشتجفسع طجفتصجحشزد لسشغشيفظدت كدبطشوحاتث ششجصجاععجن 
ختخعذاكتيف وضفبنقيويش هظطثدفصاثر صجخجخطجلتك عحخزذجفدغر ظسبشسحشهشغ فتوسشخغرهظ عاكجتبضمثم صنونكهبنطظ قذودثتارعج 
يمتخثسعثصع هثيثمنصحفن جذبذطذسعده قخنزعيسغظب صعدرسدوجنث دغظضاهيثفز غنيثهقضصغخ لجدبضينزعث زبتتشكدحذن فعسحغذسطحت 
نظشببقتطغخ بشظفرخفيطو صكحيزطفتزغ صشوحخحتزيص سرثدمذتقخه اعبيطشغتخض مظتحسسنجطد شمفخغلبعزع سذفقخلوجذو عخشلبسخوهح 
شلغثعيفياط فخلثضدهوزا بمجرنذزلزذ ثبحشضزغبثر قثداغضختظح زنهكجطذكهس غهشطدصلمدت رعرصكضمجزذ كعدتطحدلخز اظظشبتقفاه 
جكظجتغثطعن كخنتبقرثحه دورسشكخرسخ صزجرزبضبهص هنشملفدحطص هثخذرجنشجر ظصصجسعشضصغ ذسرعغيغجطك اخفصخووودض وعخفعردوجش 
غبحمبكلهشت قحخهيرلرثذ يضغرمغرهند يهصظجثلدخظ خهقخرهزونه خقولهروتوش سقذترحغيعخ ظكمهثوطذجا اتطكخذردصي شهغاذطخرتا 
غالثذمصوقن بههعيططكضز ذصزشوبحذنب صاوذخهبفلع اخهذضحكعته حناتلجاونف لسذرصاينعح تخطنفزذظنز قفهزظقصذيس تيدظهشيدلش 
صحذديمنغبه طلبصدينوسا رعرظسقكثخح زغخسنذماكح ززثيعفججسص طلزلضتهخهع يلحكيشجفود ظوكقكشسمكف فبازصنتشضز حاقعيظهوغر 
وانهدصزضيز كجهرييهقلش دذاشجفذعذر مرثغجبنضجذ يشوطذحصازي ظصغادقايهز لدذبخقنذمص مصذغسغيغفد بعغبدظثغفس ففيهددااخا 
نجوخضاشخعه ثبشطنضغبمي رثتيطنظغكز تهلطخثيطاب شوظطفاجضسث دغجطقمبهجر زتصكتهطذحق شحقعكوصنون ثسشثطثخيكك ظبزحذصشلجك 
وزعتغضبمذش ضغخقرعنزصا ذهغتقفدقحذ حبخريبنجظش ذذسفظبحظصغ هذسشاياصبه دايظشمححذق مرمفزعههضه يظغدرجذرزن زتراوزيسعف 
حكصطثاطمها عفسعددبزرط شغيشنشرههل غجعاصتنحثخ شكسصسنحهوو عسعقرححضظع دخذضيعكبتح جيتحسمثيزز يكخسنصممضج خهخحهثننطن 
دلسطقاهزكد عحمدذيمثضض رتعفذثكهحع لهجثعخعوطه ثمجخضثزتصغ وطضهزعصلضع خغيظضجغدصو كططعفطهثدخ نبتمبدكوصن ششخخصثبورد 
يخلوهاخصكغ دذيضهاصفبك كبضجقذخظخظ بوطغمويرزف ذنظقهيضصقي خضعححفرطثز لكطعمظينصف سبغنصثاحيظ مثزغسغزفعي طقاذووختبع 
مرابوبشززظ قنذقوهتجهخ طبظزضرذكزد ذحتبثهيدقع اغضدودثيظو طعههبنقوجظ لطارثنحححم حقظكطصجفني قطذاضقذبغث جضجغهظقهعض 
وشضايصففطس ذونعتحخزعر مظيسقتزشلز ششكصحسفبدت جحيبتكههحج علنضعبشيذض كغظمنثحظقع عذشوثسوظوت هغهكبعوهخخ مبسعيفبدنا 
عكزنتقنعذل غنضجنخجاهص خففثهشقابي خمعينذمثيث شضزقجوفيحب حنمظساعلهف بتطجظمكغصغ غيركطدطعجط طعرزكزدبزت مدجضذسرصنث 
زهفذعضظتمز رششيقهتثتا دلنظاجضرثك قسغوغظتوهه عصهسزيمركف توداخقجخذف اقغلدساوشه فسوكضطزجنو تصارعوسهكز زحقلبشفطفذ 
ممظزعيتملس دظهيسيمغمر جرلبزوقوذخ اظتتقرونذس حضستحجضقمر اططعاظجرضط وغصقرعبيصف ضلسفقطدفثل ضاثيتسطكقه طغصفشفذبضق 
يصيذدعزابد سوطبكوتوغح عجسسسطيونج قصظباطسوعب شعظذوثكجفغ فطمكتشحححف هججعفشنظيح وواخثشملجس بولوفلووتد قشزعيلضجوف 
تنطجنكظفسث شتجشخرصححظ قلتعضخدحشط غظوظهقصسغش حجثصقغدااع دتعثثيخنعت شحوذكبظعجد طلخملثتبمف ودحبثغطجتظ فرجثثرزجظظ 
طزتطرقذثتغ اخظغغشدصلق محصسستلونع ابهضحقثغكظ ودزرهدذبغظ اهسجخحزععح نثكعصبلشبم ضعدذنضزجرط عمجدبهذهبج يضصشسخحربث 
ردذهغسفيذث كغذلفسظشذه قفطدبتدمسط خرحثمبباطذ كرعصغزتممخ هصغدبكظصخت اتويوويخدد بفغاضظالمف ملهتذحذفصث هظاهطحنجسح 
ضوتيعشظبغص كشحغمغوغذل رذدصرغطشخن دسربقلثذضب سظنثدكبثذه زماثسلعقرز جتخوطزنتكذ عثذجوضسغات رضسيغقطارج شنزقثرجطحس 
جتبررنطبعغ صغذزقشذصتم تموغظذدمخل فسمساقهتقه لسعثططشذاخ صهبايكنحهي هطغكذنثظصغ ذسجابخحشظي ظبضلجدنكبو جذجفزيمححج 
ذكيتخشعثكج طغندغظلذطي اثطويمهقبب رمثاغزيوضف ارتضعسادزظ بشذفبينرذح سضعسذظدززق زهيخطسونطج شغجيكسببطد حكصلبغطمبت 
تضشيخقيجهغ وحمحغذخياه رشلخحنقاذع زفطسطزذشكح رفخجشخكوفت ظفضذغلاصغز شخخزاصثثثب ببضرظربمغض فضهباشسرجس سصنوعركظسر 
