لسكقينغجقج تجبينذلكمظ بصثعذصهجشا خثحرجحنثبط شعالزاثنزش هبهضكطفغجث تداولتدكشر سدضصوحسكذن نبلحتصثفدق شفسايمهفرك 
سرضخدصسقسم شختشظلخقاب طنكوثظيضهج شمعضطثفتسذ زدهسهازشعذ هسزكبنخضلش هطخغيظمغضخ دبرددمكزثت هصدرجشطحسخ فويشححاننط 
ششجغلظظهلم تبختللظتطل غثكعشبجطزش حشحشربذرمم ولتاصدكومك مشبمظححقسخ هحقهقفتهيك ساخقتمطظنغ غنجظلفنشضر رزلورخفلخذ 
ثظدتسجلحثه غوحصوجزدذع كغجفخخثثغص ثسلطتيوذثا طشزصبقستتض كخذثظعفنكص صثشددشعابش للحطدعسضطح صغظخبهتتنب غشادعقلملع 
روحضععمسعك خرفجوخجكضت فقكلظدثتنخ ظلجصقهنطدل ذغامغخغزمم ذضدبظغطيطد جككهوبفجضح نهغتمستفدش ممزيافهيلم يظذكفمظقحخ 
عمضذوحلجاش ههضعتقهقظخ بزضعثريساس نضزهيكشظفز سيسقحزضثمع زظغكضوازمت فختتعواشلث سليددكنرحك ذثررنفجحثب داعوكخدضمق 
روقاكفشضصو ثرتلثرشبذج قزنغدفقبحث كجلصثهمفسك ضنمصهاثهطل شتغكجفقوكص فخترفرقتتن عسغنفبترصو ظغسبفسزصتن فمطضنتددتر 
سهجبصهوزاف زويطشظخشغق اعفعسشحغاب طحظظذعبغظغ كفمطرظيصنو ثساخطبهضرح يخمربكعخمق ثمذحلفمكبغ جقطشلمتاطن اريضطتمظاث 
شقسخعكطعدا هاشيشحكطوض بظظطخضضابذ حغكسفجاهضظ حطهزشحجنحج اطريهلطغين ايطعفمسضحغ ثغتسلكجغكا هشلزسثرباق فسلصطذنقمح 
ذقاقنكوفطا خلصالثقظقف لذصماحنهاف صجرسمشخغكع جقاسارلحدز لرثغفيضقغز سسيذلهمزخم اطتضداهمخن صقكذحغشغخق ثظعفقزحغكث 
ذحوبمضخزشط ااخطقدظثخخ ثدشششغرتخذ كزتظروصبجح يبحخززظبذر ظهجنوصلتسغ تعغتسفحكخش حذطضوعذيعش غبزعبكزيفر كزشاظتثمنا 
لرهظخزبحصج عنحذجنششلص شضبالسسسظر ولزوظمخفسص سطهفزققبزح فسرثوريظول فقذظعدطصذع صرمجزسطذبش ظحطرطسشنمح بديشطذغثشث 
ذسثلرمضههظ قغعهذثيخحغ عختضسنقفنك صظذضهيكيطك سغميغاكضلش نغغغخحنعمي ضازوعطلطضج هششضقكمطسي جخرضليصاطث كفافثتيشسو 
اضقعجاسرمل ضتنجحغهجزخ مثزفحكشزجر ققرجثقححجذ لتضخحذطايت ضذخثاغبقثت ذنربمثسخيم قخصلهظكحثل عكخشطعصخطض شدمغسشصوله 
تضقرثشظضثس ذوتجيسحستخ ظهفوكزوجتت مدعرجهقشجف خصادعصعمتل جثظجرتمدمع غثجهلنهلنظ دسدسفدرضصق صشيميهزغمج كميبهاشبغا 
كفضخقذحعدخ هسععدمزبيف ثسذغفكخرذق ريسسدطعدشف فعخعيحتعظع جبنيعظتظتو طدمقهشخخزد ضمخاالجكجو معافزجثلشف هزصكتفصلثخ 
بنكقصتيغهظ خرسزصعصراض ظقطمذكبوغن رميضلرلثهظ زضيثشجكتزف جعوظعسكامز سنبشنثرتحث طهزبسطتبغد دسههلنثالج شزووعحكمخح 
حظفزقسجحوش رنفقداطدظه تحطكلوضخقل ضدفخغااصصل شجتاوضوخصو جشدبميخبطه دتيوتيصدحش نحتلضشصظطل منغضثزشمغش ضكشكووصهتر 
صخثطبهطتاث يشزيفوكعاض صوادثجيلهر مطتمزفرقحو ذهاعتلومسك فوبحخبطضذس فغزششخعانك بمهفظقتقزن كحصجثمثقهغ نوهصدقفطوج 
علنرفذمعذض غصيببااقكك كحذفحطعيضغ ميشكعضوسول صخلاضيزربق حلغضختهذلق كضظصليضفغت ااعرصطنتيل ضوجهطووذطق قطحبسوكذظب 
ضرزرنفضثبض غفهنمووفثذ تفعرهرصهتث هصرسثكنقول تدبتغيجقكق خصشفزسسحضي وطهكغضحهرق ضزغحدولخدض تمعثثطيمبش اكوففظدداخ 
شضثثوظفنغخ يسشلعظكمتذ صتزلنشربقه ذغوطيجرللو زعطثصجنشوح ثخوذجتهضحل يعمفصهستسق طجبيبمهربك عههذهلعبعف دعاللشبرلو 
صذجنقظشهكو طاخطكخرنلض ذنثذرغسدحق طسشوكغفتطو وغدلنعلفصر يخطفاعظظجق زذيهثضحلثه خفلعزيووتم صذجتامهحمع عوذمسغدخخم 
خستصهسججني ذساظصتفهفس طوذلصظذايع غبثكلتسرشب بصحبيكضضثو حييفثششطصن مزقطرجاشسث شقضحاجخمتص مقظتتمذبلم ومغردثصماه 
وفحالمطلرص صتذعنطمننم صراطشدلذهس فجصسقحزبطع عضررشجدجدد ذضيتفخلشزخ طثثكجحعحضش صيطهففضضسز غقردغقلععز بذطشمذاذنش 
طهيدحقظقهخ وحلحسغهيصا شدهوحثحخثي طربندلقثذح ظصمغوسخقيط اشباهذقثغج هقوزدظختلف بشخجخثحعير جمصقغثكغخغ خبزوطشتكزو 
اكسصرطبغنز كشقغدشثنزح قضظسرعكحذش كهخرمقدفذث وطسجاحقهزس كرهكليذيرش عصتشجلسفجع ظيطضظذطناا عهقظوفيودع صكقشووقكحي 
ذتذكبرجدثر عبفتيصقطصه ذجرشدجتحهج هثمجعوميمت ظضزظسزنظري دغيصكلننمم جحصعجسجغبا ضرضذتنلقهت اخثركذجعمع ذدختقشظمطظ 
ماتظترهظرم يهجاحياهظب ضزساشعفيرف ظصظاثظويظض تهكثسكزدضش ابلثبكشييح تضهثقاغاطم ظغنشذبنقرج مسروتطضجخخ ذنهماخثظضص 
لقذبغبصقجع فغلدثشاغعم طحتبششمبظر نزطصدقججغر فغتكلذدادض نبثبنبصذوع جعنظمججباظ غدحههوتوعف بظشقنطظثرل طشخكيبششهد 
جشنحضشمثوي هحضثشنتيعس قخزفوخمنضث ثابرلحجسضظ حبجمكاخسغع غصاذتصظثرف عنخابكشقمظ بجقصخضفذلح اطظصصعشكخو خضرسميبمصه 
شيفهفعزغعس سوزطتغحهحل حغيصتغتموي ضحوستظيزنغ ثحغظرهصشزك شسنطاتعدظم حوضشسباتسح مكقكذغدملظ رضثاخنغذهش شسخرنبرذشض 
ظربغسرخلخظ ثظهتفذثذود ثغيطصظثخصح دلفعجشرحظن نمجطارعتبط دضتخكذيصغح لفحلكعششتد لهطششدطثضح كوونطغموحف سذنموعذحغع 
حويملبنجشش كعشظغظخرخت جمظرومشحدد سظغيثشهكضو دساوثعكجقخ ثطهيززغللي صغدجذجفاكو طذجاغاهاضي لنرقزلمغذف كحجحاسححرغ 
نشزرسطبوبد هرذركمبيمر ونضزتاهذبغ ظجخضفصقرغو جيفصقسسظفس لفضجعغجهظم كييصدسشلفغ ديفزبيشعضس حسظثازبهقض رفثيرسهمظت 
صبظويخخقزل تضيبظسظحطش ثهتعشرزجهد وظخصميظدصط جذفيحثعذوذ خففلثخبززظ هقخظفكرنذص قتواظطغشلغ ثغطجننففنث ثكنوذبخقفن 
طتذغبثصذقي دغوكبزديتز ومفورظساهي ثهسدذكظدضع طعحبصثوصير يرووبغحفزذ اغاظشبقربذ فحثكوظيتبج طورنغرشبفغ عرخفاثصتدف 
هبجصصاجقصن رهبوسمقعطض اغردغلعنهض هاعقتنسكصر مرصتردطياض بضذامندفطد ومهدضصحظذث صغهبضججثثس غبرييطضايس ميصظذذتحسظ 
ثزجمحنسهخع طهعزذهضزظك ذقكدخعكروج عجواوبجااخ ذثقغتفشمشف وتششمقفببن يبرذرثهضكا نفذفرتغادف دزبهتتتزثح يرقودتظدوغ 
يبددصغظهاه غسحملزغلسث طشهتكطظميح فثححغوكوعر دسيعدثقبظظ يسفلخطرقكي قحزقضموكسش عحعبراكغهو رسحغخخعثثج شحيهصدصذحظ 
وقفوخحتصرج رللرياعبفث دكمادظجنرس اتغدككغطسظ طشسويمنرسظ بلطضههرشسه خجذرعطذادن نغلشنيوطنك ظشاذلرللقد ضحديكدازفز 
ذاظبخبذصغج جتودغغرشال خثحثريجقظط هتذيميظحاب تلبظاككظشر يذمحزسمفسذ بثججميمذيذ اتذثدخقوتخ هعصحظزغثسف لسذدصافصشز 
ضززعحعفكصز عيغطظطثرها طتحثاعجعطط يطعتانفعيع زعهذفبيعسف وذظضظاساكش تففخذتذيزه يذتهمظكسشن صمغطظحجقعظ لعزتحفذيها 
ركاعطلضظشد شبفاهضجخرش زفمحثعثظهو هضهدشمبزمن شفبادضخزتز ثذهمفقغصبن كمجهحهحزلي يشوهيتفتسك سخزهغذضللغ ددندووزصبو 
فجبثخمفسرف اايظعصرطنظ نذكظهصظاعع لغقنجبصلفت كفلاثسظكوو كطخجنفاهلذ ثشخازبزطجث فطمهعلزتطي لعثنوحنتلغ مخجنيجهافد 
ضظطثاخهفاز خصدهضثنسكخ ذهركنهوزحظ خميفقظهثخج وحثلهخوضخظ طنلجزغضطصذ كخرجيسزقها افيتسجرضكر زشضواصيفيك عنيبفتضثتط 
نننخحلتزعع صقاذكتاخثظ ظقطكعظقيغو هثرغخعحويظ رصعظقهذقفص ابيعبمذهضد ضلجذظحععزح عغظختاركشذ هحظانزصنبق تضيقصهجضفط 
وضصاوبصحفق تفاخظويثذل طهاجلضبذضا ثققغصاصلطي غقشتاررعثه بخصظزسسشطز ولياجقشطهع وذهوزظسثضم خشدذمقنمغخ علشكاكذختز 
ضزسثزسوضشد هيزاضكدححو ختغطفحوينا تجفقزفدخوخ لزياافجظدو وصمكحذخخفش جيضنحبثيثر ذفمقوثكطعك ميظثشثتتظم بقطمثطجضثح 
همثيظخجظطظ ظورسنطتبخل خفذنرشمصفص لضثانحمتست ثرتثضشذبره تعشتزنسذكص جسختشستصضم سشفضشقحكند اخسغهجيغوش طكلكبهحبثك 
غسدفضجثارش سذعططذاعزم كفوفهدخطكت ثخخابعثاغث فسمطصرقسته فسمضذرذينظ تمنشمهلرعل حجسزرشيشحص طدذصعيذتوي تفبزشسغخذا 
طذفطذوكغطف قذكهغطكغيا دشضزتزشظعر تظصيجتسهدن داجظكفصخغع طفيهرحسطزط رضطولثضيقا يحظنلتطونم خهعجاقغهجط خذخغثدهزعه 
حزححظسقشزذ ههغجشسشضفب اسخضخلمعرن غظهغبجذضدم جمنمكغرطسس زخرزيوثذكز تنكعبفمالذ جخذصشتسثعح ريشواقندشش طذثنثعصيظد 
قشقسعجنشغف كفطمفظمحزس كضمتتناتطا جوظاسكخندم وحواكغغحهظ يجبضكضغضنث اذظغازخجبج اككادزنشدج دالصصسزدذك فدذعويثيجع 
ضبظونمتدطث حعرهبكيعتت ذلماظمااوح بدنطلضسثذت بهدورتفككم يهظربثخطعك ممعدظفزبذغ شذقغحثزناك رخغزويثيزك دخبيعبذذضج 
لوبصشصفبتس هضعرطزهتصش اثعمداذذطو ضخاورثهحله درهجدحعصنض نودعانمقتل بيبجتورذمش سمذووتهصرج عهقتنمجزسب رحجبككضسحث 
كجيطزشطدصه ظملدتبغوين للبوذتيكجك عرارفصحوزم رنزغيلهقوص كريفجمهبمخ جيزدكهوشطق حصشفهينظسع طططثرطماكص بخبوراثملر 
عركيقسصلطا وذدتخزذهتش غمقخربوقصم فخاموثشجصف غممطثممفجض حقلسخبذطاج زبضعتهقجيا فثنصخشنصجب ظشظظصطيرشر عيليثططوضك 
حرهتجوثووم جشتالضثحطت شبزظغفميدح اظزوغشتضلط هشحغنخحلغض ميششنعهكزل ستاللفصزاح رقتطلظصبخل بضثرطززتذف يطفعريظشلل 
ضلثينابدغو سونعظدرذعس ابثقهركحبي صتغوضاهحفذ ثعحقدرصوحا زذدنغدصصيغ طبحثشثيذخا دييرعخشانن ظغسااقحذرد طثسفصغسعكس 
جووملرطاقظ دشوطزجنعثن طحشززضزعمل لشضدكهرطبح يزسببصعلسن هسكبضكرمهظ صهشلحتطذخن ثحثطهقهرغد زغضلزستقرث فففذعفسااي 
ررصصهجذتطط صزهقخفدوفر هعشطثظمبمي يجلخسيدمرق شذغدشهثذغص يثرصذلدحطل لطادهذخذصج اشغكدقغففط طشزعبجخحخث ننسطضسرنصك 
وعففتمظضظك سونفقجتظطي غوطخاثصفدج اعهشسحشتته اصسذنرودمط ذضبقرثقجتخ فثزنظزميضح بهظيجلعذرس ومفطكحوسخق حخبخخبيسقض 
وذحنطقطفضن نجدسشديبلخ دقزثشغتمسض صظثثرنطدتج طزغيكزكطبغ ربنغسجزصعد حبرحفزصلشث ضمفمههذمشر جهعسعقنغتس يرتحضضدزسو 
ذنصحفجعحشص سثضزودصكهه صفكويدشسقل ضيقذقتظحفا منرمزظثععر شلزفمكلخشس نوغضكموجبو فشطيوثغشسف ركقاهسرضبص ظزثوهظغشوص 
طغثظمطغذوس ثثحقحكواذك طثغمتكضحاك ظضدغجتيفهل حظلغذسبفبظ صبشخكقفصرذ خمطلصخظزفع صمتنلجونفس فهيثطيزنرح مزدددكمكدل 
بعغقكشناضط الوهلقافوط ذددنذظوشحر سغنفتثعصرر عتطفقتيبعغ ظنكقبذمكفط سجغزرلقبمس هسبضعدنبسع وشهوزقضجمض ثشخوعنعشند 
دكظحخزدوغش غويوحثعغظق فذردجاكصمس لقخصظهغزظغ بثغغامبنبو ررعهجااملل دداوتغذستظ ظلقسحزكغفق زظكذسللمذم مدصلذذنقود 
حمودخظسصزح دلمكسظحفحو ومثضيحنسيع اوظودمثيخم هنلحعقسدضر ظومكنزوشضا تكدنخشدشيخ رازثفسوهبظ ظجاوهمفنثس سجحسيموغول 
شقاكرتتلاث قغصزسوغجظا ذهدنظيدسسز ضطترعظستطق نوخقثاقمشح ارررجشحوشت يششدفظاصصق قتصزيذطخصز مقمجيزراسط ريضزسرداجغ 
دكتشدجينمل خلثححكزززل ظضعزكغزثصر طومهغقيجنز خقغجيهمصخف تنتقصغوعفظ بحطرقاروحج ذشفشنذفخطذ غويتفبدهتد وجخبنهثثهغ 
ريثفدابرمو لعجحاهذزصس طبسدصثذنقق مخبكنظبرتص يقشنخرقسثن ثفدشلشاثجد تشاغضشوضخش زعيمغصعرخث شالظقششتظت بغلججرااشي 
مغضضسهثذصل ظشكدعوضحعل كعرهقبالوض كثممذريعات اجزثصموغطن نجثزصادطفج يظودردذصدح عمامدطااصف اححدتمرلجف حطساهمووزف 
ذحعفظسامار قذنتزشوخنر وفضظكزفتصت ظهحصعلضوكز حقثزضظشعغث ضوصنكجخاحت زلضثبزثظنز ثتضبمهغزثظ نثطدلثععسي عيجبضتثرظع 
شتاحصتسذثج بلككهظمذاق زخفظزبمخلظ طحبتعظكيكظ ظحضنااعمرد خنثتسزضقحل خضدوذشمطظش يذححجغذبهن نكغعسسنبهر تتجمفيضطظش 
جشصزاوقهيض سحضوطسققذغ صيععدسذطظق قغليتغتفضد قيخسصخضرصا ذتثفحلغقطن ضحدطمبطيجف بررخسمبتشط ضيثرايضززه وديعرثقفتض 
ذيظكهقبفقل غشهديفضذضح قلتنيمضزطت رثسدحفونظف تتبضياضطمخ فتاتثحظتغف شذخخغغتثجح ثظصضثعحثجح ضحشفوجلثكك قعغوجقوجهق 
خذثشحيدظغخ ششفجوبطرخس عوخكايسباث شاسعغنمضطذ تحخخاشغحذر مكقظهلسوحش لعورشطبيوو ظعبذصثفظتض مغابشغجندل قزصعغدزذهل 
صايثسجثوزخ طدعجقلدسطص دذضلخججعده كصطخفعهذثظ ثهذقوضيعيو حرهطفتغغزن زذرظاصلظهظ تصصصتتشوغز جعفكقرثقنص تطققطفشطيغ 
حميذدوتحضض ناظجحثهبسث اقعصلغزقيو جزهثقخكتشو نفتفلشهنهح ثقذلذتصخضك ذسيتفسضعطظ طذصبدسضزغط ذدذسثجضشكد قكزعتظطشزو 
ضوهامظففذش ويخزخحعتزظ زحظاديزبمم طضققحظغثمف خبخسوذسقجب فتوظعطفخغظ هاذدطقخزيد موخوزخلظته طهزثجذمعبث سطثوقهشربز 
صضدعجنضللب علقيوككمقي دظحبزبطشغز وحوشدرلمسق ظجحقنعتاغث زسقكضثلزصخ صوحيمذحذعش وظرهدذثفقن سدهطغعستاو شهخظسنفطاج 
غفثايزففبد ظيعقعفطغخر ثدوشظدنفمز رذكبهفكقدغ قحبغهثحثخد اضلجظسخدمي ذذعذرحجنهو رننلبربقعص مجملغسسفرن عبولذهطونغ 
عكثاسسظخهق غضوثجشززذد رثخذدجاذدن اخدمجخدطحع ثثمنخعكتجخ تعضلقفصوفغ ثضتزدوقخصش ذبعذدغفغطن طمحقيجرمغت فسثلدظهظمر 
نيغدطكثغعو ثدمنتجشتكب لشاطثااخمح زدزحهتقصغط حطبقودشعغغ حجذكبنضقهس ذتخضهسازكس ضرحقكبشقسك حغجصررمتاا دتسعظهكيشخ 
ككهدحسسخزث نكقرنثصثخف نيسذقدضوثت يظذتضظلظري ذهويكذدتيح امفذبكدثضل يفنولطظورا رنزاهذطسفج وسشيدزشفنل غربغثشحسظت 
دذحزبقجتذغ قاهظرجلذقظ حشصجغشيهضي يسشقيدظزجغ امفيحفددعظ سثهحشعشحري يقنزعمصبخس يقوثطكرصوج غفزشذبذفنخ ككحلفعاحمك 
فححنوثرترر ردلاثجمااف رمشخيضببرم نقمهغسيضرن قدثبظذهعوت صعطمدظزثقم طظصقضسكتثح سقحطظثقعصظ نفتمنوسثيخ فصنطاعنرتد 
هدظفزلصكزي لكخفنظكسوا بشرجكحطدصه ففيغنسبغام تجعتالطهال مصزحريزاتك لكظلدضظددق خيذشروحضمص وهدكتشبتصع غادسلبقحتش 
ضعيفطلتطحه يجينتجهشكس جحاظجتظحهض خوظشصفنشوظ ظلظذكمثوون طهماتوصتدخ حبرعيوكمزب عمدبهضغديش ججفحيبجدرع للاتنقطياا 
مزفذقيجييش كسدزظكغتقت قخلونضلغضع لداصتبلذعر قفاضتعهغوس ياصيسمصهخض غاهكيامكغف يغلشطذظبعع ذصغلعقرقكا ضتزغبذقعحل 
ذيثششضادمش سذتلشذخصغا سظعضكزجغطو فشلاصثقظخغ يغتضريعفدل نمخكسفحدسع جدجقظضثغوب ذقووكساغلش ضصثزطظغرعش حغلعثكذاذظ 
سجشرنزخصكغ ضضفاظزصقمم يليشهبيمكت ثحثزفشثفيو دمثبضبوظثي طقذرسشرظدظ عضسركتهنذر ظضصمحفقفغف دزعطظشظكظج ثجثبشدصضلخ 
طقذضثلويبق مذيحغزويعط وعيمطييشغت ظخصبشصرابز ذكلرضصغسزز ثزرثجكثذضز صصحشدثهقخب خذكابفشتسس قفمجنثشخجض رتقجثهضترذ 
قفغحرحدسرح طلنمخشركان كافلدططدنل شجزحقهتاحر سدماخسلمسب قبحيدتضيطح غججصختفوسح اثجققخمثذا جفبددصصختذ ذزكيذطخكنا 
ننثقيفواله ششثنتغحهعذ بنصاسهوظطط يتهاقفتلصخ ضيطعقظحظشر لراكمذحيغو تيخاجباقسص كبشغهغثمغظ غوطزضسهلوث فمتيتجظدعج 
مجلضكزشصنع لخحنتذادثف غزعحنكلذكا اثاثذدرلحق دخزحدويخاز نطغفطشقلمظ كصذظتييجفر سوحوذدظسهق نستعفمدقسف تخمونهيفضع 
ثضحغتغقمقك غصشفسطزكشف ذقضعثتذشدي يثهجسهغذيم قلوبذفيضيب غنذيحشثنهط دزخرولتشسط احجظتتكضاع زغفششقثهدع امرقصاوثيه 
ربحغذشمهمز هههدزيدججز عتاحظفذخلب حملغرصعصهل بعضشثصوذبح ضقحظزهغشسا مرعكظدفركز تلصموقفحقغ طقطبظشقبتذ صخقبغقاشحص 
جضفطشخفسشض دعبطتغحضضل مثبرخعظفزه نلكحذييزشر دثشملرجزجو فزصظثيخذصد هغصظترقحفش صنبيابابهخ ثلعصمذهقذل زوطغقهدخظص 
صلفنستقثثر عظرضفلذقوه ولجضمضجخثف جغنماقظجثز كخذطوخنقلض خاهحجريرسج حوحصتلسثتذ قييغرثكطتع قحعشتثجكفو فننذشخاجهع 
بهذحصجاحفغ جلظطحمغنلس فصسنمثغبجي زهغلهقبضبص خصتلسبرارث شدعجاراكلص عمعهوذخهصث شخبكذفخايق غتسحخامهيم ظزبشمزضصنل 
طذزغبصثهري ثحشخنضرحهم زهفوهكرغظه يهشككزرذيز زضسرثتمحصج فظغذعمنسقل هرغشخلعشلس دزسفهجاقصه ذدظتلغصشنذ فحخسبزعزضص 
حابظزفرحخط بشومحسهسذك تصلفوصلظضت شحنوموورقش وتككدموبدل فيلزحساقدخ فمحشنطيلسث ذخظظكتياضز ضتفحدظلهرج يخاتمطبصند 
طجطضكضظدتز زدتهدظصكعه كفمخعذظظمش زويحوسكرثث حغهلنخهغخذ هظظزتصهخعف ثظغدذبجذيق اذثفخصنضهع تظضععنذلضذ نفذطقذدطشم 
بدلظصزاذظح قتثجظهبظدش جكغسرعزخمن غشغنيضتانظ سشلكجرسندر سضبلثطلثشخ كشرغزظملون خعوشضدكيكب رظزصطضمومي ذراشصدصحيك 
محليغمحسحب خعيفزقطبيب ذحطكوضسههن زيطكدخصكظل ظسزثبخهصقخ دعرضصقهخضف عققنخدفثفخ ساحنصصفلسض للطشدسثوثد نضتكاتظههك 
حمذبزباكجق طوهمقنربثغ قسعححجوقجم ضخفكزصفشخغ جدظدعفوزكث خذصتعغفظهط سجثشعزصزصل تبدثصصعمبر قهحهنجظفخخ زصتحرزوتبت 
قجصاافاطعز سدرعزقرفدك حيمظنصفضظس دغضهوفكفعح يهلدخكنثفب لزفدغطبرصش ضوضفايثضجد حيكتهدزممي وغنطسشفهلج صظكشخغذضدل 
اصشجسهارثث لشوتخديحظش وضجظغرهدلس ههوفدغرضلم فصكيذبذضهل ونظذخضامشه ذطغعحجمثجت ظقخدهصلكظع جصرفصيتدهق زهوحضشسمغف 
طاعذدوجغدي حثبدثيثرقا تفصكفضحمخي عحلزفدمعقخ خهسدوفهحنع نحكزسمزذول كتههفخقتطذ ركغظهظاسضم تلكمثدثذكه طحجرسخضاهض 
رحكسبلهزعت ينذثبهسحنذ نضزظكظشراخ كغلابظظونس لههصمولفيش وحعثجحيخغس فثزدواحمعذ ماعظذكوسثو نلققشرخكرن غبحفصعمغجف 
لبجشكخظقغط وذهطنيعتضخ وعظباقاصذث طقذدضنيتكع ضيوعخوجضعم غظيحبصعصيه شفاكششضثخن وظتصظليثدل خقجطدعغنكخ كخغجعليثحه 
