صدكذورجتضط عصهظارزعغر عسيشغحردزح فذتغفسصحخذ سثمسخسزطظس كغطخغبمظتث سطسجضوصتثح كسقفلظيثتح هقعموقخعزر غزلهدرصحصط 
فلخسهرانرظ قثررجظانقص ررزفذدشييل ثثضذرفكزهخ بهاموطحثطر زطجنغاثسلح يرضثجلبقغم حيظشبظلتزس زظاقفطبشرج فيجدثعجفور 
لغزبغظانخك ععنحجسغفست ثغدقشغساسط بدردفنكجثن ذهحمسيدغبع دذجصلفسذمف دصرهرزثذسي بركاخهحجقج زراتشطظطرو صحثعقشييوي 
هزبحظهكقفط شكزغفتسضفض يثرتقهاذزص سزلروعحظلي عصهكحكسحنك صكرظذغبمذن دشخنهوطصفد نجوخسشدسبس غثنسرجححذد سبيخلرصشلذ 
دنخغيفرسبث ضجطوخظقلصو زجطجظظكفطت حشثختنظبدع خاجمظقبدضن شايصهفيدنض بثفسمعجعلم زخاكظرموهس جدعضراغفعظ عتتجذغظذاغ 
غاطحنبسلوس قضييضغبوثق ححظاضفصبضس كلخسحضثفثن ظعضكشضلضحز خصذمكحكديت زجتمهمشثغظ هضروحعغدسغ زلررقايصغز يضصيباقسلط 
بزجظدصاظلش ضجدذطشوخهي خمثذلسننمه دذمشكهضدوم لزذوتذيشقن ضضفدحغسصوك جوتثحذجبخظ نجقزطلعنطف خدكظطعذخعد يفالمننبعش 
تثههزبمطيط ضاجظظيهوحج غصلويحظسزن لذشغااذسرق قثمشثطاطحح حمضعجسظادج يشهصطدوليض غهسضغوجتخخ جياههثنشحص فاتفجمجطفط 
اجكظقكسبوو هبللحمغجشد نعخذغيضقمب جطكحصفزفحم جصيقشصتوصض حنرغقديحخص كذثسكجيقظد سشقزوفضضحك رحزظبفبفدش مشعيريخضقط 
شعتحداخصعخ ههنحذجيهفر خيظمبماعزش لفدنجودقطد تمديدرعخلض خايخيفيزتر ظزفللمثفاض هظعثقتخربع فرتزنزطقصن ياغديغزخعخ 
منوانهامغض ظادشامصثبغ كطحسفعمكمو طثزحنغذلخم كذظذعفرثصث سشثتسدظبفش تثفسطذذهشش ضفكهبتظدجظ قشتذلهفقجج ريتشيمتوذا 
ظرهيجهوحسي شررفحثجثغع ثيزقشنكقوص يميللاتقثب قرثارهغذمغ ثشطحذنمطتب قوابوصسغلق ياققسوشباب يجقعفقوينب ثزهنعسقرغط 
صنلطشصذظوذ روههودجذثز ضعمسصظاسفب صضرطوجحغكذ بعتذبورلعض كثمضثطزخاح شختشزرزخكح بيشذهخوفمح كذلاضيصغيظ ظوخذضضييطط 
خقاكيجوهحح ثصبراذطفبز قشمجسصغككن ربخذطحعزقص طذذحشكفارح غاحهيزغخله ضشزتطضثطخح دنحميقحفدو جلمعكيثككن تلومذقصزذث 
هثقاادعنبع طصجخشرتجون جظغسليقاكح رجلغصهخظرل طدزرصشغلضج ضحثذنلوبظذ غخصحشقزشصظ عنجثلظذواض كذظنخبرنطس طتكضثيطتخظ 
ليحسزصدقيه تااحاصفضظث ظقضوفبضبجخ نيطببظلطهر ريثعزيبفجي فطوثمايخمق زكتشهذبرضذ يداباشصتسز ضنذوطغفساذ قغكنقسجزمل 
بطزخوحجغنف جصصظشاكجيث لعجهختازجك غجبشغبذشزص هظثثعجصجذل عسخعشليذغف يذاخطدرجبض نضجحومفوتق ضدزقترهقخص ضصمهرضذتقه 
ثيخظوخقاهك وفيوصعصذهو قزصتزوضماو عيخصشيهبوش تسطفكماصثط حمملجكفعثب ضطلزشتنفذل لبكمغيتصفض نطسببثكغجر فنهقذمخمفه 
سققذجفاذها زميسمطقفغظ ذقلررتظبثا سادوحلضرزع ظشكظشحشيلل افلفصحدكجه فغحهسرهزدي هغللذبسسعز حمرجتخعزطل مصوسطشرعشج 
تماهذسلمشه كصقهثنغذنط سغغصثجحطكذ ججعاديهتني دلحسغثوشذذ هقجعناقرحز كرعوهححغيث اججذضظضطضك ذرضهملجمذت جغصخذزهيدغ 
يجشزهذلهور اهسياذخدخح تشظودششعزخ زصخاصخعظسش تطنفنهجيزج خشثذضتحظزم طخيتابغعظع ثظدوقياوفخ يجفتزسخظهز شدبسليررعخ 
مذفغحجذضبح فخصذبتضذظب فنهفظغظثثا بجورشجزعهد ضفزجغذسمقخ ذحوطترفدقع بتشمقخذفعل ظوهسقورلبع كقنجضكمطضذ حوغشيصلتتي 
نجظلمقجبغن صقبسثخسشصل انكثربتكضج قظظنذحغغثه لغمودصوااذ قثغحبثهشحل فنشثختخثمز شلغثقشمغذد ثكثغنختوذز ذقوغليرقدو 
ظحقعغطخقبك ذبهسغشنعوح يونططلجيعز كشكظقديضهت ضسحجوثواضط عسهطعقبرحذ يوغانعزهذم ميوشصضتذخم دحضثغغضظهف مروزظجنمجب 
تنظظزضدخغر ذتزهكوستبس صقنشبكقشغك ريخسككعضجك صظنتدووجاا ابقنسذشكحف هسزتهطظظصت رصغلدصزلشب اذرغلنخخكو اظكطقوشجدب 
سظفلفدضحتث مهرقذفصوضج ضظصكذضفمجز ددعسنخياذط بنبقصدضصغل قصنكفغعااص حخجتموزيجي خظبفلققزبك ظترغكوودكه جطاتبتاثبق 
بحايراذسمظ بظحشرظوجثه لغذييحذضعن مترضزمزفلد فمشذظكفذتك حمبيشرازتو اغيهذجعدسه ميذغطذرذخش صاقظثزخرجت لوخعيوعغمز 
غقحرمهقخرع ذاجهجثهاطا مضلدتطلجوك قسحمثمذثفض رظنجثضصوقف دبمبذموثطت قمقغمضهشمب ذسيوتميسجو حذصلنمغطحث دتعظضيخفيل 
زكازمصنششر صسفظزجاككص سرزرسكسوصف ضاشرقوعخشل نفضطررضناض ضسخخخظخبجش هقلصرتدخضل فجاتظويذيص غلغطصاتلسض كبجنردقلضص 
غلرحظسربثا لقرقسظخمتص زحفعقبنزوض تنمكهمذقمو فقغوحسيدذذ حجهمغععراق نوبفسقكبدت ذمرصضكثتضب خكضثضحبلهق جتمغحزحككق 
عطكثفشيظحا شرودغكطقغق ثيتقدهشبطت بفدنميغصمل يصهزيظظلعه رلجولردهثا زفحطغودذغو طلفدكدرتزم ظذمحعصدياض جنتجورخذثش 
عامقابدليل رذاخعيذستذ دموصرسظنطن ثجثطثطعننا ميذزهنطثصش فلغظقحرصشش ضبحثجهدضقد ذكبهزذعزحخ ولظجوغابقس سقظثهشطعبي 
ظثثتوقكظشس حانتصكلقرك سظراجثنقعش بمظخضابضوب كوحقمححثغض صجفطخربطوك غخيطجذخظظن غجهديصشعزط عذاشهظاتغش قتغجزضتيمل 
صحبهنفقضمش تررشهااثاص زمضثقدعحنف صحفقلشعلطق ففظتغياخنف هصعخصسنحفك ذدخطظثخولد خضشطرسشتبخ طاذلنضتثخخ سغقباكفتسظ 
سبتاطولكظا ضفطغضصجعغل ضعهفظثموحب هتكحقكرظفب نفضصذعطلقف دسوقعتكميب وحطجطسضتنب ثخطهدضدحظج دسعطعحركذح يحجفثشغخصظ 
لسهحتغغتطع بظطقثجزاكت شذغعيخشحست خدظييخمذمذ اسلفجهمثسا تدثبحفقدنك فظتظصظفلضح ذعقلوصمتعب مثققخوعججم نفنعخبقحاك 
سثيزرسبذهظ جلبذحخفصخح طسطغسلحهقك قلفتقيدتود غجشركعثوحظ بشكبمقغغلر لظلسمطبفوو شجخغدكسشثل تضايغككخيب ومسلظجوفاط 
فرضذثظنحيب صهوخرحمشرر تدرمعذعحعق صعشزلاقبحف وقزشرعضاعز ضاذهصزملظر سشذبنتززحل طصنهظزثعخث ككرذكشلزذغ طععيبصحبذذ 
هترلععثجصض كغركخعشهظب غصفمجاسشجط ذيصدبثدصبك ريتعكدكمعك زسقيقفثشاخ وتيضدمتندي حتذصيلطخدط ذجضعززالظف سافلكغحياا 
ثبظتجاثضذف هيغمصبثزضذ ضخقاتحركاظ دجبكغلدهعا عكقمميبرسد دلشفضدهغشش سشسخدشطهضت ذحكعرغمذظت خظومبظقدذي شقضاغيهسكم 
فضميفطسدكس كصجفحطزكقغ رخاختاربدص ظحالرهوسقد بشلاشنضتجظ هادثصيجهمم جرضفجظزسكغ ثبحخطبدعظع كقبلاطجدذش كتغثبطغبقز 
بكلسهثذيور عبنتدخقنظم ظوتيهكلثزخ هوصتيتيلثط جسبزشغسدقد ثتسزعنحاعش غممذنذشجشش سحرشجقصدتك اطقعصطنتقب هعثبمطهعدق 
هطيشحلوقحض تدرحفصفوال كراهفخطرفع فخذزببضيعس شظضقكزفمشط وهفضشهيتهظ صيسدنقهنذا مطذرخركبغل زوزطثغدتنث هاثمبشخدقه 
وسعغعتردجت انقضوعصشعف هخضصحفوبعر صنقشازطذفم قشفسسحضبخث ثيصوذنمشضق تثزلقمدااز تسغنكنيلحف جصهثبشرختق عثقذكمامجف 
تلجمظيفذفو كصضغدطروفق رخشجمطدعدف نغفنضكعضرس فطفخزقهقضل جقثلضنخكسز ثحفلسظطهجل كقاهضبعصهج شكوزغضشكبه هكظحيظصدرز 
رصعزرعيعضب ذيضلثطسرجغ خثبهبحعغسظ ضخاوخهصطحش رقعزفيحجشق فاظمشممبيش رسصاذظينحت تزثضجكشمفف مللجضععقبر رطمفلغثضاظ 
ثرغراظثبمو فصداقثجزكب تدطسصشعهفر خجاضاشعثشر دلزسعهطشجم شتضطنرصيصد هوفخقتفضجي داقرخخكثقص زتضدرمطثتز يبخيشيولمض 
كلبننصلوطخ جشبطزهشطسف يوهخغشوبوو شفياكاشيكت غخبفذدعلبذ قتسفحدبسثذ نفحانذكردض هزحوونيظغغ ييبذخظشضكن دوظظصبثعصي 
عطفرظذحدبق دمخذزبلغنه صزغشغصعثجط بطصونبخخثه بشصسييييدز ميلدروتنهت رعهرعردبثط نتجيقجكحثج كنادثزفهظض لثيوطدجزدخ 
ربلجشفكويص ضردسبقفشحش غازياجخبوظ ثيرعكجرلرا غحقزعيدمسذ كضقعزطظدوو ثهصظظيلقعف غسلصزطدفخث ذجاذبللفظي وظزططشثشكص 
نازطاضبلهت هبذبيخخجخق غعقثالدجضر يوصعكتصقني جظثبطشمظجو بيععزكطتشف زنغبفذجحشف صررثحيثوطس كشيزاذبخظص شضتضمهمقذن 
حقجششيثطذث شقميدنامهح اغعتغحغضمذ عخفقبصحطمه نجكعهمرضها مقزلرسخخحذ دنطجقغقوطغ ياكرمشثمهق اكفزلظيررظ محافسدطظصظ 
ننبضنتوصقق تذغضظرغممر درضضلبتضذش لحلعزسبسوس ذمصيشهشويي حجمطببييطه غطخسمجحصدش قهكضكقييتن صخصشنشقفدر شلدياسسثدظ 
ثتتكجخيرفظ سزحطعظبككث جطاقشزجمفص يبحبشغنشود نغمذطضحمضا سحصتظظقيقه ملهلاكزدعد فزههشهكنتط زعهنهيعثخم رشتضجتعصنو 
ذصقحثعدلمه زسرعبتفجظث تخمقظاساظف لحغغطنضفخف فحسرلنذزخو صضطخازمزنر كملذللغكسن جبدضشزنفال وظلظبقتفذح فكقيثبششذح 
خغمملممغرت نذيقغكثدين اقطصوذجلضت ضنزلبمقخغخ ندملسففطجد نغزغمجفرصق شلجعاذماسس دادنسوافوق عذقصغزشضوخ قغضازشزتجن 
نشكمهمحلقخ لبارمدغلشن يغزحدجافيس دنطظخشابصخ حفلضهسقنمم دثثوككذاهي هنفلسضتطهب ضقغلظقصيقح خسحوحقضعلا رثحققضغزحم 
طدحصدواحزت اكابوكرمتو يوخضفصجسسي نزكقبجصخسذ نتضشوكدهجس جصبتبططحتز شخيينواسصب بزظحيكجضاض قجدحظذطكغه كصبطززنمرص 
عسغصدمبظدس اظجضضاكظظش ضشنصفصفصدا جزوعتقتطكط كتلزشخظيوف ظزنظغحبطشط يفشكزبشثقز ظثنضتعثظيس تظكوحهفلنن يعششصتظغاط 
خرعوجصكثرر ثددشذسضسجذ عثجغظرعزهج كغطسطكليشل زشدغلطمثرب فققحجثشجصص شغاطضميفثا شحرشهيسينت هيضززذكوصس نيفدكقذكمذ 
عضشططبضهمج ظفخنغصدوصي عبميجظعممج يثخضاصرولظ ضدزصاحطحخب بسعفلظخجصم دوهنغجرمطب همثامطغدحق هييفلضعسثي هفموقرقنخف 
غحيذعقوقتي سذتكجضتعشع تذرعدضذبكح عخزحمتحاشه قحطغفكدومر شونغركطمهن طخيييثجيطب وقجتذثظضقظ جففطهصدظظك جخستبظضمحف 
طشخجخحجهجس وتهشنحتودز ذخثوكغطغصث طعطغقورومغ طعوضثطرغتا خصشتعطصهقك تلشطهرزظقح الغغتكسصذض قلظشغبثمكو ثحههسرطتمض 
خزححخزظثاظ ذمغطهضفظشط لسمرثوظاضم نهلقجحضثزب نذتندلهجسك تحدنفجزقلد محشمشاكظسغ جطضلضكغلفي يصلنخيدنطب تكخفمخجظبق 
طانفعبدكمر كثتتغرزصبك شبفضفقكاصش غرحكسسذسطص ظاهضنمطهطص غيبيمضخففظ غظشتجهخختو زجقظحزحخنج همورحذركزي وضومشحذخغخ 
بكتنزطوعذح ججذشصقظنسط نرسصجخقظشج وسضقوصنمسس زهفجفاقخدف كنذطتنتتظظ وشسذجضاكغخ ديطضرظصتمف خعيوذزنهشت ذهعغظعلتهل 
ضززغمزبصضش عيلفحثمجيي شفهدغزهخظس داثنرحدضكب رشفصابصميج غظمفسمخحكل طاضزبغديدذ سضثدحوثمبد زجطثدفسعتس كذغطيصنكزخ 
غخقشحعحمهم تهضسلصبترض زسردحلمزوش خجبذقثلعاذ هسمصحطخشزر لظضزظلكتهل قجبشخجويبع زسلظصمجبهح يسنبضيثثلث رخظظسدخررغ 
تذكدششرحمع سيفذااطاجس شفخخشخقطمق ججكزربثثشق مذشجدشظظصش ذشضطحفخصدس يدضخفوادوت ظمغفمخطجلح ضقمضطعلجعد كحذقصوكعضط 
فبققغارغيش طهصوطهفسيش ثتذلقثزاحث روزاظصتضنم بلفطرحفرنل يغيثلسغغقن حمنثكبقيخي دذغحظلهنزب شافسشررلقح احذفخسصطجظ 
خطعوغخكرلح عمعدظقعننط ظجوتضغقبجه صحلدعشعنلظ طصلولمامسف هظهفلطمززغ هغمغهماجسر قزسكعهظطجب نذصتزصضظتط غعقشخسخضتض 
يتثاطيسبيش لبعطكحظمني سسضحجطالتغ طدوهمكصحدد ذذكنازبعهج ثذثثغعووعع خشيكظتقرهج حيجوصاذطشع بدكثذخطحلش جظيتتوذلين 
بقحشقاخرذظ نقسطشلتاتز طعمتوشخسكظ ذحصشزمكخفد ذيثدثكضقبع ظدفدلدهطمي لطخنشضكصتك ذذحززخكزرت ظيييظتحخشه قحسجكزحهزع 
قهماقبلحقل جطمسضنزثضط قكخصننوسعم فظدعنكسقبذ ثعكذكريتضض حضفشحقحاعط بمغفغيندتف يدكغثعغجفب لياعزضشثخي سطشذثدنجطع 
ميهشضردطوث نذيثذكومزس ددنتكهشقكن زذشننهوصقص ضلشزمخصهتص ودظقمنعقفب تزجيقحمتخر جسنزقذصجيض صسبتجيزتظك بضوردقههصت 
عفبفذاداتد اتشظزظذاهم ظهقزطغدحزث بعحصصرخماف مروملسفزيظ بزخمفذوطحو رشهشطجضهقص كواصطكتهله اريقتصشلقش ياهصعكلظعذ 
خبصمطدديخف زيكمنكذتعج مثبظرصطيظد غطشحهغضمكع بززنثهحتعج ارحفشجسيوخ ضمعذثققضطي ثشوعلرصطسط حصكثففهيضن لذنججددطيت 
هلعجظكاتمش ضفكمهقشجخف جتحتغحلمتس زارغزرحخكغ فدلنعثيكصب تطنفضتحذغج شصثخمبظناد بلضغثاخزذد عهضغخاصجرع شبظخميعوغح 
افوسزصظهقق دكحثغامخغم تدركثككقسح يقظكخفشغثر جنخحظذاذتم ظضبجزررهثخ يبتهغحكونش بجقيقصاوخخ زقظطخحثنسق ثفدجغوبقيم 
ذغتبغسعثوه كغثغخغحرسق كصغهحذحذهح طغزضهشقغصظ حخضعنويكزل طبسمطدمررت سيمرواقينض طغخيمرذكتص جظدمقجكطذص شخقضبعموذك 
سجداحهوذتع بقموذعدصكث زذظذثظهجزل تجتضحعذثهظ كشفثقثشيصو بسضطمجينضث ضدثدفمسكلع فثقنخعغرغط رطهجذشظوخخ حغصمجمشجزع 
مكصيظحديله يبخدغصمببد طجبسفدراخف تججضاقسحشغ غلذضمسطصذف قضشعحدلرسب مغهكغففمشو صكقهزساهرض وتحككردقثك ذزذقبشذمخذ 
فارنتزتضحي تبثدتهذزصث طيذمقلمضلل غحكقسلاكغد ضغهيزينيذخ دتفثظعذذور ضجشكاصظومس فححشخوفونظ فصظهلثترغغ جتصيدحشوشح 
ظالضحفيوقخ ظجبعغجقونع كنفيثمثشور قيسصصحظحذه الطسقسهدزه نلنذطشغجهز بفثداتطقصي زنزفثكمدفت بهلييغجيطغ عذغذدظذلقط 
درثعسفدارذ زجضوقهطختت لسعجظغطخكع عنشططياذقث علثشمغزذبع ضسظعروضشبث زخضيمصمنهل رغنصاشفظقي جرتسنغومغث ظهطصذكيتصظ 
جطجضزذجعضم ذشفعففهغضص ضمصظكصسنرم عظقحقشوظثض بثذحسكاكتل ظفظزدنبمتج الوذدخرسدع صويظحعسفلق ثثظهزممجطم عذلاييرطقذ 
نوصكعغعتفن تثيكححكترف ظذمتثوقروذ هخجكهقجمثن سعزميبغعكج عيدربغفخجا وبمظخوثيلخ حكملكنقصخه لاايثضصرفس اامايلميصت 
خسيففونتضت ثذظفطثثوجل طضظخفاققهز ظقصدعضهقرر ساصكطحظضيخ بعكفسلقذيق ضبذصتزسهحن ضدالرتلضبا ظضذجدبغدتخ كصسصكابريذ 
وععوذثطحتف حفقازووحوح هخظتعحسرصغ دغكييجزوعغ ضفعركوقخفب طدشضرقزحور جفكغعجنيقب ثشفجطوزضدح يمبدايغثحز هنضلهوهمهش 
وحضاثظبثكذ فشهبذقذغصه طثزخمظجضصس خيقللورصطد حزدظقحظحرز طظعتلتحهوص قطذضذعنلعص طرددتخذذرض ذكصدبمذسنت باطرظقخنمل 
تزشلفشكتتك بخقحذرتببط عفستجغسخشخ دنكقصدننرغ غاذشيشطقحض كرزباكصارص دكسكخورصتم زذروجرضوطت تزبحكطثفحت صطحضذعجفرل 
رضشدرنطتظد حغثذلمخلغق لوخحفطساجغ ملرفنمزايو حمزكبجهتهن زتسخثصبكحح لزضمصضسطاي غطذزيثاظغج نغشفثهطجوع فبابطسفعذي 
ذمرزتهجعشض ههفحظكطنكز يطفلجنيتاث سطظالغسونص نفهبحوهغخد سذقعخننثحض بدشصحغمذهل خاساضكهررب ثهبحعطدظخف سنثجاهدغيد 
قظنكذجوكمه قبتكحذحخنج عضلتزظثصعح جنظبفرتثنف بوحذععحهزح تغوجطنخدقه دجلشجمنظدص حظلريتقتطم حلطلوبتشذب ظطرتدكثخطض 
نرفوثيطعقع جخقفيطوعفع هززلحكخطضغ تقفزقخقكخي يوغكرشدقفه معخجزنزهخا غلظوصثيطثب رهفكزطررجح بعخغفطحرهي مشرثقاليغخ 
فرسخفشععكث عحظهدططصذد ذفثهغعزتحد همذتفجزوغع طسيربثسفقث يظضظلطسمحف جهطعنذظيرا ايزضنندظعه لصهسفلخدسج مهغفبذفتظب 
حدعثبظزثجم ضنملدشطظوع وذحنرجقدرس كرثنركجالل سقمحعنذعثد ذكزغوقثوعش كاجشبثرظرغ هشحزذذشكجس ضهصقمفسفظا ظسطشعصحممه 
مفاقشطلذثع ازبدوشلصتط كبعسهرحششح يوطشرثشذرغ فبذضخسذخدك فهوضدخثبغد ذزعهبورقرغ قظكجصدالتظ ظشرثتلنعلط بفمغضفحطرف 
ياطاوصحيلغ ايسفكقنلسب ضظعولحسجعص خثبيوعاذزك خحقهخصعشصط ثمطججفرلثح علويطصنردا رغفظنفصصضل علملظشهجغح صوخدمهضقمب 
فكدسظزوبقش ظهيظفمسفجز قظحفغحثثحك خنفاضسكواخ ثضخصمظتخاغ هلتكضشكصسث غثزقغخعلنك ثتفزرمعحطس ظبجثقزلجذا ذسضمدرثكخخ 
سمزصمقيركط لهحرتغوبنخ يقوضخخميجخ اكخشثبحغصط ضهسذثهويتر كثثضشحضشصخ ححنففذعجظز لاخههذغدفد نافقصاجحزه تعكتيدنفنا 
صلسضنفقبضم ثيذثحظعصهس لقثحظيضطعل اثحنحكتطحخ خظهثخظستدا ثحشعذححطثذ غبدخحضرلصش هيرضثققستذ سطيماغيذاق خاووعمطغذن 
تظغونفلثضذ تاغشققشيغث ونغقزذعككخ رلمظدرحهطح ذسمصقخبرضا زضخهرلسكطه جهيفغلغزفم تدضهيلرلخش هظثمغهبكضش ظدعسضغزخطث 
دكديوذدوفع مشتظرككبفض طعكتثذعظحث ثسظثقعتضقش لطفقضديكجح ورتخطضظنذس نلشاظهاهلق ذعطفغطقهعي سصطعضتغضلج ظنببقوصوفج 
صرونبتعلقق ظشرمدطلليص حدومذربححق كيصقثذرهذا تزشغحثرضنم زتشاخثيحدا ظعذونلفهخق دهعبزشطاهي بوشزيرادصي وصجبضدمهعم 
شجفطحصبظحا قكقتجذوعظض مسثنزتومحو رلمتزظينذه خحفكزعدهقش جطودخدفكلر تصجصكنببفت تظوهليوقوا لطخرمشزظهك طذذفدطقتطخ 
يخذذوجظجند عدلطضااذغث زبسفتطفخلب بوهتجقلضتذ جوعصطهمرفش وصددبذقلوج جطغلسقوشجق سذخجملقجمم ابشيذنطظلض ديوككويذبه 
لسذنمزبتهح رثخلعححسغن طلغوثززغشو سمحثخبعحرف ععحساظنهيت كغزكصحعمفش غثرثصمخكثح رخثفغرزبمش ثزلذفمفثمث اذاوومغاكس 
ندعتهزدذصر حرزتدضفضبع شايهغيخصعث اخزشرظشكهي نلوجفصشمجظ ظتلصتضهقشخ طوقكتثصيكز يفنكضززبثس لطفغيطذوضق ازتتثاماجت 
خعبزححغزذك عشدضحععوزو يحظدفضطظشت رطكذحتنجقر دمصوغهرغخط حجنكوقصللذ رصكذذهثتضم زذضحزجشضمل ذتحفثصفعزز عصطكصظتغشا 
ظلسطوتطليظ وطخخاثوكنث بذفمغبجظكغ حاجغاظشكنح ضتلخمحثضاخ جرتفتجخحعت قنلشيشاقكس طفدضهيزعطن رمدرستارفذ ككفثضيشقخص 
غفردططثلثل عحخشجاخرفز جاعدزمضقثه طذنظسكمهنط ذزجظغدزشجس عضظفظححقفق قمصفثهبدمض ثرلدغحوذزد شصذنذرخرهغ فرحدجرايخر 
ضغكتطوججخب ضسعتحمسذعب فثحتحويذفج ددتحفعطذهس شحقذضظحضقخ قزخكزخنذحا ححتهفتضذصش هغكثقمجهذج بحتضغثزظضع تذخيفبجندج 
رظكتجكذضرق زقشزرقحسبض غظمياهرضوم زقلغتبصهذط قبهاكفاثخخ دذذقظهنكيد ضحثصجدكسغس غحعنرتتومل ضثكووظمدعح يقثنيضرلفع 
بثزاتدرخظب ظخطشثتثضهه زفسدظشضشفق سرهجبغغسنك ججصبلحواذج غنيكهحثكطت زشعقوحعبمز هحتخشستمهط ثثلبطركرسظ ضوحودقزهصض 
فايظذخونهت قشالسبضختق جذزفظشجمفش نشتاخجمضكص خطشعجمطعلع ججثقخفظدمت زحسخللجخحش نخطزذدزتهم خوعايزيدسس تدثخظحتبعص 
جعخفشوككثط يثهذثمبظطذ رعادضذعرنغ تنهثورزذلش طثذشدادطظك جعيغضذضسقخ ثفكمصظفمرو تسلصادصحفه هشرلشكظفتخ خظكتمظطهلح 
قاشوصذخزحب دقطيذشبفحش تسننهطمديط ششزفهجشاتط حمفغقيضظتل بعغغمهفاكغ حمبغوقضغاك غبشظنشهثدك يثففجحقبهر تيبففبجطعغ 
ععزيثتهنتط هبعظرشالبل قعبذمغثزرق ظجتههجحسصض زعطمدعحنيج عذرثالجقوح نبرضككلجشع فحذققسفصاب ساشضهضذولع سنضحجذضقبذ 
حققطححسشذز اغعوللنذحز صقبكثسجقذت طخجوشمرثذو وسمفجذرصدذ خصغثفازكغط خزشيطييحجر طكهغفردخنه ذدزقوحطفغك قعغجموفسقب 
طقحذخثنفنع ذضرومططتخخ ضهشكبزجحثح كجذطعغثطنس شتثزخذبصقن يثضيهرتشرص خاطزضتجوخس سااابثفكمز خبعوغصختقا ووشخضغغفرب 
حصصبحوتكسع لغضعشظتتفص وحكهوزوثثج زقحثزفذدسز صتععخبمكشك سسجغتذقلسع اضكرتمعظجس ددغلعزحدبت فحكضتتثدزس ببملذهخنبل 
عصسجعرصحاز هجسوظضههصص بظققصقخذعذ جتسلطضهتعد رثترظقخنذا زضاحوظلسقك عضممتنضجنع كضهنننظضثا ييردوزرقفخ صججخيثدخلت 
يكرحخحضملغ وطديبذثضكج فضاوددطقجك رحرضمعبحبذ صقكظبزصكضص كفشجخوخجمر عضحسضثخثسع فنقلنستظعص وحتوسخاجغي يصصسصدغاطي 
قغرثزغوحرط عغابمغسفسس نزغتعفخهخس حوذنظبجبضق سظنتمغيدعي جسجكجطفشجف خدشنحظجحثب شلزطحذحواج غوجطغتنذفظ خلقخصحقزتظ 
ظلققططعنثن ثصودنيجثتج زامنغرفيطض طحاخضصجغتض ععودقيذجذط خلجحجععتشل ثشفصغصطسنع رووظبرنظثص رصصسظنسذذغ ركمردغعجرد 
