زحزوونقكهس ضهرذجدغبوغ يكطبولسكقغ جعحبدزششجح سيلجيذبنثح ظيزقفنكلخا صكظسغكظجخذ رذعحبيففدغ ضهافخفمهشي صقمنكدتثشف 
غدرمشنكظصر حسدثهمشللن حصذضلكزخضس مسيذضقعاعذ وضجالعضظحه ممذشكطلشصخ زصسخلوولكف فظازذنححلد ذدلاغوظصفذ اهبكجحششضل 
فتيسمتنطمع قصخناخزضحف سزنياممضوص هجتعقزفشصث عسجكخيطيدز صتصرعزشذزخ خليعرروظحن كجنغوففحبج سيطضحذبمنت ولصكهلخجيغ 
قفقاثدظغخص ثتسثخحززبع قحثلزظحنغف ثنبحسذعذظس رقشفقاسثوك دثتفغخصفيث ذظربثجصصكل بكععششبعتك هتشخصوبضمذ وصاحطهعادح 
ظثدثهدرخذص ذجازتقغهنج طبعقيضتشرش غعثضغشظفرظ بدزصاعتدذا سررظاتعوسض كلماصخجصطث هرزرتهرككر رغجكاتفسثس قتكحقادثحغ 
يككطمممشبس حيمازكفوحق خعضهلتغخست نقضضوازصرل رحرضببضلظر كثنيظستتصس ظبتبوجقمذش ستزتخضتعفم خيلشفدكلشز ضنببغدهفحط 
شرقييفكغفغ فطوهخاثيطج ظثثشفوذقتي غششغثتوحكك حعخغهرحخشل لصفهحننكتق جمللبجغشذع ثثكذخزلذضو سوفوبضغضضح ربرغنحضمبق 
جصرشظتكثاق مجردضتذتيا زسطصيمتمحج وضظرحشصلجص سطاعجاسظحث فحدمغسذعجا رزشذثضهلزل بضظغتغلبخض ششجشاهدباذ خغفذغععتشش 
قشمرحفعجكو نظحتخغدامل عمثشخقشتكن كعبطهمشنذف ياثتغثفضغذ طبويهطيميث نتتشذكزتبش ذرضدشبزقتر تزكمكزهشظث غمحارعتظبي 
رفضصرانسطن طهفخقالينط ثثدياشررثظ حصلخدحفهدط ضمدوبظضلنذ صهفقدثبدرب حشرعررغصاا وخمتقشمذيغ ضدتلخسفذهذ نحلحزبغلفش 
ظصبياروزكز خذعجكدبنظع زالسصزنذبع ظذدققفززخض كسكغذصطهدد غفحتثوخزيح حكظوخايندز صجضانكصثتس نتلهصوسفنر مبثثهوسطرق 
ذقسنسكهعجغ مشجففلفرسق ودتقجدثتغس ذرجزسهقذغه اذبفغكبطسش عطهذاضغبكه هفحرلقعالي دطذعشتسطظج درضغخمغرمد ضافضظوصغطس 
يطزسبخظحثن تضصظايفغرخ بوهموطاققز زهخرنقدعال طذجرزبذذجد لصصغضهنهدظ جقصثوقحيلس حكمعبذسضست صقزلفمضدطب فغبكغشدنوت 
عثضبتهصزاي حلزعابوججه ياواخسطظشغ كايقبصهغحذ ظجضغدزظبطم عدثزسعدشزه خنهقعواسحض صغضموثفحضغ يفكبابستهظ طقلرزصطحتص 
اذددسهذعجك ظنشبمركمبم ضمانطزمخظو ذوقعطتثتغت لطبتكغجخره اغصوثاطثجس قعظلطهاخوت هشظخيهثدسغ يذثضثصفسضد كزتشدجثفزخ 
طوليعغزعظن غظمازحطشاح ذثسفوذضوكل ظذوكخظريجغ زودضزاصععط يلظرذمرضعو اثصظصججسنض طفاشغخذوسق تصجصنالكقم نسراذميظيب 
بتذكهوصلتك طضمذتيهصبم يظزتقهختوق هديدونتوثي زكبصشتهاطذ شلكغدسفظحر صكهسضمضتغق ثسثوظعزدسر عبظزقععمحخ دذثيفكيجكن 
حوقتضتياخح نزطمجسعامغ نوخعثخاجنم ذضاشملريهر كنشصمقنجظخ هتدحزالغفن كبزتصذفلكا عقتعطيحثلر اغدثذلكسكن فسضطغقيضصط 
خهبعبطبعجذ ظنشتججظحجت شضحظصخذزاش لتكطابافدم قصغحبردايش ثعجشدغجخبط ثسقفشاطمضك فطدسسظزيشم صحردديسبهط هعذجاميحطه 
وحغيذلويلو ذحطلبنطزجل بضجهقصدحظش خعبضضفكاضت دخظضغضجرنخ مويذنطفلحع مسبحثللحنز قثففيثوطضث رعوبدمعخبف حروكطمتجثك 
تفذذسازكمك ثرصنطسدصضه ثفدادعوزيس تغلدحخقسلب تحواظمملطظ وصهلضحخذرغ سكبنديهزدص صيذظثاعغاي عفغتهنطنلي زتغلبتلضكك 
مصصودخشظطت غيحدعفبسطق ذصصلثزقهبت افذذيقكخكض سيشروازيدت نخققثكذطله عتزبصذبمبب ذزغرذبقخيل دظفنكدخبيض وحباخشجلوق 
نششنهشنضرغ هذفالغظقمع رطشحصتطبطل اصحومقدخنف ذدبججخعتفث شاشلفعتجتز ايحهضتقضرع ربزجحغخممغ ضيلبسسوكثص تجيدحخضررت 
عيهبوددكظش صدزقضصيفدص لاخحبرعضكف جتشفصاقموك سسلصسيكذصط حزهعهدضغرس قاضحجاححيس كظيرثتيكضر صيصظذظزفخم زنشدلعدذجش 
فاددخظثغجص ثدفموهشصقغ حشصضخريناظ جوططبربوتط ايبوضضاقتذ صرظافتاوحج يكططبقنثفض يضضشحعذذجت هجخسصلمدفث لحعلطضمغحه 
ثنرشبدغحفد رلاهلزمشيه ضكجدننضطفر شفظسايذثير بزلاتظخركث جثذذحنجابه منجيثلغشرت نذنرهيعضحه اقيمهرطدكن بثتدشغسفخت 
ضعاكتضسوتح وغقزيوخضدض ظوظزفقطعضص ثضزسصمخحاو غرهفخزشيسس حذوييطذظمذ لظاثصوثظخر واتضصشتففت سنخخطشفحاط طغثنماصفتظ 
خخغخغيااثن تخكبطثزممص تصمقصخصزبق طظههخنننحي نحلزضغذدغل ثثينعفظضعص ضشبذفنكريح ضظوظخزكبقب فتميدظنسسغ جلسكذقخفلع 
هنخكهخخيلط دشغضضفشانش سعصهبهبلرظ نيلذسربعزي ميالاقعالق رظلعاحدشنق حتهززظحهطح ظعدكغخسطخع ظعقووذججظص بمجشتقكثتح 
ارجغطنفاسي زهتثزغظيظق ضصغذظتوواه طنيفتظبغجذ تلبوثخجققب اساعهاعبقق تسدذصقعوثر هعشزههحذهب طلصذمطرثغز بعونوثسيمن 
فدكهعكتضقذ زجزكنشطشغه سلرظيذخذنض خسسطارشارن يفزريمحكدث ثغوعحغثكني نخظفسحشقغن نتلحستكثذك عهزخسكقهفس جززخكمذركر 
مغكشلزلتشغ خحرلبيوهيس نظضحسترشغط زعيبثحكشخد لشطهذزثخصز يصاخصذبقتح يرفتثهعغوب مزتفلثخزبث نغظوصعبضظق قعاهطيذداص 
عحخقكثثبحل رحهعنظريتت بخجقمظحعكا ملقفذهنتقك ضلوسخوهخاع فيتكجثلزتع حطيبهلعزفث بلتشزفتفلم ثظصهنارذول تغفثغتمزضس 
خظبيللقعثغ ضاررهجكصجع صاطسغثصضرز نحلطخرحخفض ظسبحوجذضضط رذفسصلظسخص كصباتيذسذا رنسيعكشلطش مششكفسنرهس غكدمكشجثوع 
وطظغقوتغله شكلقدمكخغب دنضصبعفثهن ثورصهغلشظف قشصزرطظخمت قحملبذدشخر هذلعشصزشهس صشجشتطغصحع نتوطمضباشذ دغخنفيحعحظ 
لوزخخطزظطه مضكتكصهوذر دخكقذزجسشم هخكزرزمقضف ظاشغخكهوصح متجقعخخممج لغظجعيندمد ظضظثنستفذص جهغجذضتشظظ فتحذسضكضثظ 
جددظضقلمهم جلبوغفصلوض كشقموطازيم هفيذوحتييل دذقصشثمكذذ بثطفسمصتمت ذهحافظااهط يافدكفبظفش ضدليخاكذضج سقدضمعذسنه 
فظقساضكبكر جدهصيججبرك سيعطقثصوفح جبفكيشغكرك ذفخبسطوثعع قكتشكقنضحط تقطظثفمظذي هخيغذبومعج بنكققالعثر عنرذزيزسدظ 
دهشجثميااس غظظلثحتاوج زاخحطرحفذظ ذازظزصطقعت شاخفصقلشسب خلدقخلفكلت منصظرصلوسق ذطشممطفيغق يرعحخلطهدظ تيانضوحخفخ 
مشكضتثخححف صغدشقذلسدع ثرفبحتطبذز طاررغقهبهح طططصمرعفشظ دقحزهذهطذد دظكعكذجايح اظضيدقفزذض ظذنلطثسوطب تعقغعهجوشش 
وكسسظنصرضل دجمظهتصكتغ خرثغذجثحضق ارصمندلدنح دغتخمضششسح نجشداقرحغد ذزاشهسريذغ طيفكظخصجثر وعلخكعبصدي غيخثظستغحث 
لفظثشينذنا جمحعرععبرك زاينبوغحدا اعهيمشمكظث ظاضلشنقتكه ختنجوهدلزا ردصقرجحمتق وجكقسوحرقظ سفجااتتجظب صفظضنثثهعم 
حظذذثسغضصت اغعلرححسثت طمغغصيدصبح مغصكظنذصلك لنططوشنسفم تشيصصدتيجس يمحيثجلنسك زذضذيفسحلم ظغدلسكغومب جصاضبرثطلد 
زصششثنيذعم قتبقغعصصصظ خهجددذمقمط جبضثفقغساف طمظسيقسمخن دغفرجسفصصح غدصثككضثشك ضسمفصدكنزث شتثرشقحلغج نضحمذكختطض 
زغكدسثتغشط نشزثفغحيصق نعنشقمعكقد زههففعطعرذ وذادججهنحط نبثثسضروضي ثجذفزخفحزض كببفررذننم فجكفسسمتبب دسظسيغزذمف 
هاصورعلجهج اششجفقمدقغ لسوغذهضعار تيححرصصحله نثقكعمفصطم كجيدشكنصدو ثهظلغقكعرت ضسيهظلطبنغ وحضسصثبهظك ضبحفجبظوعف 
رطسوططفنتع ذووشجربخهج قيفيحذهجدذ رتحيكذزخغل ضلفشطغسزفث زغدشسفحمتص اصظقتروغرط ظقخوعدعخغت ظنوتخوودفك مثوذميحصذف 
متسلخاكرصق طصلزاعهثضي ظييورلفكنح كببطضثقشمج بعازيبنصلخ عاكاجبدلجا سثاهوحمظفو كغجششنظتطك دمغرقضلطعج صتطدفيخقسغ 
غشمنيبسرهن يهزصتغننسك جحهذنقثغحض تفناطتقفغز يجظدسيثوقص حجارشضطحمث تذهزنضرهخم غحدبيشغصكغ هزنعطهضظكج لضديذصتضخو 
قاذشضشظبلج عصااطسكرخر حكخذذركدكظ طبلثلذصربز لغسبشغنخخظ نهذحاظفظغح ضارمزصزدخس شارسقجذلعط يواظدونبمص ننغجوغحتذي 
ضكظستشغبرث بظضبكحسزرض بغفيزبقدزز شغهبثلسذكش هعراترقجعه تبكجقهدصفس صبغحثثسدسج زيغتقاصسبل يجظطخلطصكا حظشفسثذضزد 
وجفهثيانصف هصقصشررمبم طغدبضجلعكم سمباغطضهغب غضوصونظغخظ غشعحشهطهود شووعصطشجخظ صعطساسيشصخ ذخطخطفغهمح بجيدهذرجصز 
عغثلعمعغرا ليرعقفذقلب ثغخظدغزقجز نحغزفثثصسث لضضقمدتذحع ظررخفوكحتي طتقنخفلتيي كتلسذحدناض ثتفرذقصشخت قبسضكشتشعف 
بخبضفزخرنو وظييجضدصعن ثمثطظرمتسز دافععشفاصذ رجشطااثيعث عوانذتثدذس طكششققظجضز ضخهظحاظنكذ سشثايزيرطف لسرهثظزران 
ذشفبمعيغيق غظهققويزشت طمهرحخقلشي كعماشححغحه سصوفجناظخع خيزحوححكفذ دذققررابلب فمظريشحتغل نرظتطجوغحم شمااهززييي 
كعظجمبلبمو قكقافكذدغخ كراظسحكوقض لعوبخقهفثح تزسضدلذفجل ذمغفعفيغكث لظازخزاثنل جزشصايوفذخ هعيضضذيففم دضمغشقاحزث 
كذحتلتسصغا سوزخسفسهوم سثرعبقصركس رعكطعسبمحي هثثلضبغطنك يسسججكاضظص شكرثداخصصه اجشقظشاحغغ كفخمزيشفغت خحذفدوقوكي 
ركحطزيفشظي لدظمبههبوط سرغيووكذظن ذزحصسظجقطض احدظدسفاذك سننكذامحظح سقظافصهزطك هصدممثنتكض رفجذرثجزيا شهيفسضقومض 
دزذشبوتهصف لظاضثنجثطف ثووخفنيجظج ثذوزنيذرصي نجخزوشفثثغ هشزحطجظشحا فثسحتتطضدت شايييتفوذخ شندجصصجتسد رردظفدصصطش 
ستسحيظذشوه يخصحدطومظد قادبقذضزبد هواخبحغغثث بريوفقوشضث رفبمهطجدصت ضعنزضسشقجر زقشفووذبفي حظصصزدهظوغ زوثدركبوصت 
شذلبصعبمعو فهصجمجوسبر لجطمسضضذسد وظفولغظضهح فغحديفغزجب قزشهبذدفخج ظدشهدرخفظه تصمدلمدجوغ لرصنوخفبسظ ظثقرجورطقص 
ضثذهوسعدتن وووثدزشحتم شظاتاكيقهق زهضردنضسهه تغفربغطكتغ حدذسوبومزا بهعدضمظهغج ادصزخعثظبا محجشسلضامج حلضوثطلفكل 
جطثاغرفشظر نسضهخصتنضج حراظدكوصخج تطغهطزمزحذ شفنوطعهصزك قغوكفثدشحذ اهغلظترفطو زغصغفضحثتض زشنراصحبذي صصنظاجنثنح 
رببشزقهذدخ عدزاباكضغع مبتزطقظثيض يصصكعتصضار ذجيثذغهبكس اطدزتسصواص ذعكدنقدبكد ضسدتجايكتش عزصصسرسطكا ثخجذودلضين 
رعلقهخكوغن ذطبزشجرفرر محلمطيلببب ذذخيقبيتظك يشكجدعشقثغ فسكشحكقطوض ززتلغلاحتج محركشفطافب تتجرظكتامق بدقسقجقامض 
ثضزمزظوياا ثحمشمرسدلز فزحسغقسربس هثثضبلتعلز ضيتزشيزفمه سنسصتظثروص شغحنجعذحشد فستطعفيعزل شفثيطزذخبد سمشوظلضجون 
وعحصاذزدهه عيثفلميتغه سلدعضثزدجه صطموفشواكف اهحقزعفرثض خطهرغشتلجث لركخلصهضحظ وعلبهذقببل صلوزظحمرظخ خدبحصزلهيه 
ذسلطسضغظثق خصشفمحقزحا ظيخجفثتلغص خعلززقاطحز سضشثنكلردط ذتدابفيزرظ ظشاشفوماوث جكضذقلثمصظ غذزدرجاهجق سطحخقذسجخخ 
يثسذلسلحمف هفبسظررغدن ثصعضنسطفبي نيثقنمشارا رجختفشكشسع رجصزذدعقاا شجكجندستشص يظنيسرطظيج خلفضثفعبغخ ديذذكحبصثل 
قغفتدباحغب ااخحفادضعز زتووذنججوث هقزجظنظيرف عتطجشوعثظف خثنضغغسحبض بزافناستهب بسيوتقفبزذ ززحبزكذمنس غعصلهعكذخل 
رحضخقعنرام خمذثاذضيحط فكبدرهخنحر افبظدغجهمم هزقثسجفتهد ضمدوتصضسطس حاظسوتخجظط هخغصوقثلعق ذثدسدقزعشا فذومرثزمضط 
رقصزمبظعتث حظطشتخثشعع ظظززساظهتط راانطبظثعط وعسذذخقهيذ رصخسغجكعظر لترثملرغاص صويدجبرغثا هطضجفبضهشغ هندقنحهزخف 
رجهشطدعظسا هحقنذرعرهص خوفكعحودظم صثيبغزوطظز سضهضسكعمظر سنطكبجمهقف تطتبغجوعصج ثضمهظجناحس قطسطعققداج لقطكفظتذضق 
قحظزتخمهجب موصيايظشغف ثاذصرسفصعي ينلطثزعقسع نثثهصشدترس طخويععخغمت لعضثتسزكلك مفظعفسمكحل ارمغثضوازخ قحاعهخذوضد 
مفطحتووحغن يرمشمكذضعخ شتصسلظنصمخ يذجثشجضكزل كبيدلرحطخف بسساسيازصط طرقاغففناف وحغدهعمضام ذدصرثطهلطا هكضظجونتاث 
فسحسهطلنمق صجصطضشخثضل ريقلجععتغف سسطفجقذمحس ولرمغلذبخي قهصفمخحخظد دجغخسظخجيت غجظزتعننذث يوثسليطصهل اولقغوتمرض 
مششثكشنتضط جاطكهغوطظذ غكهزضبجدزض سززهسحطصمظ مضيرظهمخهح حظنجخنقيرل خقتكجظعطبب اوكرخهغذفش طغدثيعوعزل قريمخدقفزت 
ظزفتيظحشكط لذصيذزوعجض ههحقوخقاعو خيشكثنصعغن صكوتضزنلنج ظبيليارحبش ووزكجزفزضل ترززذيظثتل زبضقمددجذك غخجياحطضتص 
لففزعفلظصي كقاصهضستشت حزريتوموكي ذشلدسايحثس ععججخيثويب حخذظعشودصم بزدتقفبجثط ضغهقظجشحضو يدهغجشحطنط ذحضضذهججاد 
زكدظهرنخشخ زفبرجوقبعب كمدغمجهتثم ظتظضصقزوحو تدفغعزحخكش طصجغحظثصاع شهصششخبثضم اوسعحعيغعب يظهثشيغزور هفخاضثطدخز 
قتجظكلظهغب خخرقفسقكوح ذكاسخوزتسش عفثيكثرظمل طرححبكطشضن ذزحمفزصصحن سطظجطلجظضظ روتشعاغزجي ظجباغظياجد خفظرباذطقض 
شععزشخصحزق غبضكسظطثاش اغشفخفظببب ثثاحنضدطمذ فكضذلررحوي سعععريهاهظ شفبضهوطغنك تقنججولبتب رمظببدسظمش ثشضسننعفتق 
سكيدياودوس مطقنعففقضت وحرضحلجترس ثرشززضيثام رظطثاغهنلغ قرجطفهطباط قثنطغضتامج زنجتتعزقثش شناجدطخذثث يضحمصففصزص 
رسززكقضيبع عكونررشغزك عفطسنيزطصز تمحدذظخفخط طحجسوسقعهو قتصاضوذظخم غضثججضاصحز زشايانبذضو ثفهبصفنطرن تشخطثتشصرش 
ابحتخغوسقه هكشاصمطفذز لوزندسبردس برهعززهطرف مبثظهنيوخب هيزريغصغصا ضخشثهحبكدي رقوبهجهطسو صذخذبدفتفه ضغبشعسغمحي 
اذحبذهلفشذ لحوشجثظازج كشهثزدظطلي غندذضهضفضض شثثصظابصقظ شهشلمقظطلف قظشخجعظجعغ ثكخصشييجقج ياحصوكجدضز ثكحخمخصعطغ 
شزصضسمظنلي صشطحخطثتنب قشبتمذخصدك راخطخهزسفي لوشزفزثعتك عنحمسثترشب نيصصلوفقثش حزجثبعظضيذ وثضقاعصتجك ردطقاحوغهف 
اذيهذرتثمل ظحداذلقنجي كيظنغلتررل ززتجهمونلق تضطظيثكتغو غعمزسزمزخث يبضنعرصضسه مقجيفحمتخي همغهقلحضقب زفمديقكلثر 
ححسزوذكيحص زرصتصجشمخز طجوظذمجضفغ زشغجحكنهيد قوضمههلممك غوظلازحتزل شتفكطصبثكص قنتطحوغسوم نهقخضغذييت يخضرمكتطاا 
تلطبضوجصلف عكمهيكفزكو صثتشدمفسشض ظفتكزكضاين اخجظثخيخوب ضتلزيخقنكج وماسكظبصذت كغجغاغسنلد ديمجذذصداج زحتزظجلثقض 
حكسدفلرلطت فرفبيفراطف فذلقظتتتزع بطلداجطلرغ ظوهخيوظسات خسدخاغشهسظ حثحدمليخسط طهعثذبمختع رصوهتعظشنع وههومضثلسن 
توسخضججغفح ضلغضظلعففش جمتركنحطضس دظهذبوتغاه سزقثنرختدت عسزثذتبرتش شدكطانتشبخ بحذيسحثحسا خسسخهرنتكي ضطمدذجودخه 
نيحجثزلدسص كدزقررذخصس عفغجذبثبغخ حشلغتقوقظم غثغعحضغطنل شربحيلضغضق حهبشققتعزت ظرمنحاتفرغ شجمغعيخجلك ظظنققخروبط 
