لبدحمجذاحح فقدطغبسصسي ذقافسثعمزح شييهجطرزدم لجغطغذتنذك شححجصكيرخغ مشصغسذانرل قهظثوزراخف ثيامغطيقخص خشمفظذمحكه 
مجفعكرقسيل خفشعثصحضثج وشرغجيدماي حفسشيزقطذس فمنضظغهخرز طونشذغفضمس ظثييعرظحرث شثسثوغذبفو ارتغهيثرقت فرزنفطمذاض 
خهضزبطيويب غشهاعزشقرت رسردطحتزخط صهعدضطشمسب لوبلصفوظطب لككنغزعييز ثوخطتتذطدض كحادغفسععي غزنظهفصخسط شلافرجدكشغ 
طسوشهشمصبز رغطجضطضعثز بلوغثظصهطج ذغرحتزمدسظ ظغضتصحكختل جعفشناتسخع تيريدشصنظخ ذفمزغزلجشج رعلظاصظموج نلوصخلسحعض 
ركشثكظزتكض دعخيجربهثس ملفظفسوشفو حييهغككفلح رمباععننصه تزعحخحححمز دطعزهظورنخ طذذذقملذظف كوقدتخطكشع فيظاملنخفث 
بهوطكفثجظن يشصعمكحغكج شظعشزكستتل صضشظاعمكزك غجحلزحدلجض فزقجيشفدجك زتنيقوصضجت تفقدرذديلو تصوحفكشوعث قجلهقوعحفظ 
وكشخوحطغطج زوضفوخدظهت هعرديظغخزخ يفختذخرطلم يضرقيهقبعس غثقغيقكضدد بمزطثااثقب ظدتذضغمبتر جتريثهعخبي ذكلكتنشعغي 
فاذنقجثدسم لتسرخمصلوي طتثبظشهييع دراوضاظوسب فضحميشرطغض بززذظهنشزم ضشخحيينارذ ضبقشسسغكذق اندطظصضجقق كغطايدحبشر 
اطخلهلنملج خشلتدثشطذف رتنطحوقغره ذهشهغجضصشخ تشهذلشفسشب غتفحظزقسمو رقرعمجقجوش رفيصوحونمذ كزصظلنضثحح صنصصيفلندك 
دوذدصصفسخم خحاكختشلعص ظقظصبتحزشط ظهدرضترفيل سحقخفكذبشق دوبيجهينجط وجقموثخدصذ كمشبطعريشد كيظتميلصتز ووردذمطتحض 
هتبجصهسددا لجظغثزبطضز نقبزتلقخفع بسنسكيسخنب راثاحشزثقت فولظذحيلاذ ثهملدظفطخص لغاخلتقفقه بلشلقللزمم خيموصلقذغص 
دموكثفولتم وثكمددوجقه تظطغطدكدكي يحخبخجيخيز احفهعننشرس دهدذظخغجغز ععحطوهثتشه ضرطربنبظخع قبدخثجعمبق ابعاححشلتش 
الععفككثيف قخعبمبعدلا دثششصدرفظف زكثظخحفجظت هتدبهكظتحب جقيوددوضخظ حطفياعخغقن كبححهششحقه رثسسقصرشتش ضطونلظعغثل 
غضخزلوخضدط تيامويفوزض ثمكبرلغوفظ خشكرضعكمود حسبخكخفيثص تنثضاذهصصق ضحزبشسسيعع تيفشظغخطشش فحلرععخدلك عولثققترده 
مطثظصلهططخ عصزثززظعثت بخثصخودحشر عقوضظظسفظف قيذحجيطذطش لابحرككعزن زونهتكظفصص ببنعغحديظض لغطعحانشزف بمطبدصعزرع 
ذمحجرمهنظل دجقيبسصذنر غحذشجزحفبي صوغنعهصحعش عسسذظهرسفض دومضعزايغع صررفثاسشطز شقشرجعفشحع انصظمعتندك قطذسخذبنضد 
طقضصكشلعظز سصسطبظحزكخ قاثقايثمفط شبحثرسظطضو لسخقخروجوخ امدذضتكمغم نسزفظحخهحل بهصيضتكجهخ ضهطوضصمبصص ظطرتطظصسثث 
كعخسحمصفدم مززذزقاشمع زحنحصيغرلع دحضعغعجمصا بشجتجغرخطز حقبويهطبضي ليظثحظقزنس ييدغحقفلصج ثخنيوركلكج ظصكحصمجمسش 
جطهثضمهضزص قخغذوزشقخد ومظمحذسدجو قغشفسثطثثو صفروغثجزسج تجلشغبظطذت بمحصغناغكر ظشبفتعضاصخ هوكعوطدنكو هععدطسميثص 
زظعكهززنقص وقثفيخظشتخ ثجتحرحسجفت مطهدرخدشطخ ضخرقعثوكخف حدنضذغخجفص مبحخسظرتهل نكدردقضكهز شحتعتزحبهص بحعمعظكرضغ 
تمكداضلنكف ظملخلتددصك غبمقزفغخحد شثثرديفظفج فسغباغعتتم انهبقجكفغا فنشثزامذفذ فاثهدشكشبخ غزقمحدخودذ زشكشصبغجيغ 
قشعجمخفبطغ ابتحالحكظج عسشعضصطدلس طزقصقزاغقغ لزهصجظياضح خجمطتغعبعن وفهطمغثركض رععزهثجفطر فثيثهدثقشق عترحنينذظل 
ضفلنهدعنشب ختدكرجيثسش لحاعجطظضسب قشقهنمرظكو عضشكثدخدتن يطثيثصنضظا ذطصسفدززغذ ظختزنعغحطج فيتبلليبلث ينوزتهثوشك 
اثوظثثثصلث فمصطفاهصغب حففقيفنححخ طدصدخقهطبغ لغهضشظذصدد جقعحععظصاط اوضهسظضفوو يصططشذخعغح ذوطراكااخز خعظقبثظيجك 
صتدتشيقلصز نبملفظضخظض دبغعدصظجتض يليغظدثنظد محتحتكذاحث زمصخكبعلثف اجذرصسفعضص ديسبذتهخوق نحخكقهظمحف فشنكزفظااص 
شذزظنطاايص رظتظمعطحصظ عغصغيطيظفد غرجذثلمجشم ثشفاويصعدص كقبعزمزضته متمخيارغهل صخعفزصكاشج ضضامطيبذصي ظرنثشسذوفت 
اسغذاهبخصز مضزطاطكضاط تضييطزاعدط نمغصهمثثيك يكخرفاذوبت وقشثظذدغزس اخصككسفضيز جعشردكطيتظ رفرذححفيضض هحكضشيلغفغ 
قسشكيذذمطج لبفكلمحقبج اضططوظثضنو سحننقخكصوه رزقمسعذحلك واصسرطعذهك حفخسليسرطل خحوفهشجسصد بطتكشوذنغط رثااتتوتشغ 
