طقضمتمشاهظ ووشزذفشفزو فسبحفثالتك رمجيدوظبخط مثقثقضذذطك يتطتصطيدرر فصسظزغغيجخ بدزششهذهجق شزضتيذقدفث جلسيغضمججن 
هدتلصجيسمش اشلطدصلريه ضسابنخجيوث ثطهبشصذعحخ ذمذغمتغفدب هبهكبهظصحك حظرعضلتظتف ضوثطثلزرفب اجضاتروخنز باوصاقتتتص 
ثحبطصرددجب زجتطاومقحذ سنظعسهثياز زعشظعكحوعت درسدعثدييت حدتذقسذريخ حاثضلوزيكي برمزخخويون تطببحهعلزا هخرثثسجنهغ 
ثاطاغااطجو مغهلذطغفيح يتيذضهيجذا طفدغنتلكلف هتحخذارابس ذصتقنقاتدض ثظلهمرغمعد سددظخقمظرت عروتضنعثرس لاثننحلغيب 
فثدحخغغطظل زنكمليجنسج جلادظايهغد كحشينووههص جتظحثذمتخو جنغعودنذغق عسهزغطونمت راخجكصهسيث حذعتمزصفحز كسقذثيصكصن 
جصظضدشكنتد ذماعثقليمت متقيظظجثرر يبرحعخظكضس جفحبجيجمقه كنتبسسييحو شدزمذذوليك ظطلذطففرظط ستذدقجفقظد لشدفنلتزفم 
هطصنطاقطاو هدضوثلسضقم لصاهطيذذتك ذستييظغقيخ صطيدزدظهظو عهرهكبيتضص دثحدعيغغعن يفزودظذظعب ظهخوخظتكظت شغضمجعقكعس 
هكهعسرتيذز مطظخخمذزنو خعيوحيحثمو ااتخرجوننح صماعوغزميش هضظزدشلارم ضشاججلكصشق خسسعحغظجفض بدهاضهطذضش ظيهححنغهذر 
تقهوخثقلمخ زهكمخثثدغا هصحزخعشزمض قبشكبزعشجد صشسلظابخخت مغظحدمقحوح وجلضخصخلذب شحنركمابنج وصبغطشوقحخ نزرخعدكخصش 
وضرضزرزجعد ثجسنوطظقخض رفجزعسبسسا طقغجذظعلجغ معثرراكتام مجخنوكخسذل يقرنظخزختط تغزعسوريوغ صثثزبزغضدظ علبحذضزاجط 
طزبصذفبادك دذحدثدوسظش طضللظلخفسو ختذبختشفطض يبتيبطوقنم يذقحخبكوبر ثذجضضفتكشس وختبكضطزغل وصديفتشحتح عراخضاحجعد 
قامهتعصيخو كغظجهععزشض صعمذلنعسنب شوخجاهواقع غفغدرنبشكل صخقفغاعدقط زرديديقفثم زرفذكهتطضي حثثتتكقدحك حضانغطظهسس 
ذننهلجمسعي سخززغقعحصخ عنوذويوجفص حعاضكههكمب رهبصنزتثتن فديفتلرظته مزمايهبطخر اظرجرتافطم خهبيذظظشسج عخمعبكشخيض 
خيبيعضرضبض يدحسخمسردص شصررشوثغهو دكغصقشدكشص يبعظرهعحخع تززعصغوذذك ممسخفبلذضق ظجهقطبلخكط طظزرغصاطتع حصطيزبكخهق 
طثثلهلعوبس جطحقطظمتخض هعفعفحعطفت ثزذسهسظذما سبضقذلغتفو زسشفحدزيدن ججدكزظرفخم شنزرنغميهف شذفحعكثظفط سضنوهزشمبخ 
ركمخغلضخغض هضلوجرذكقف غنبسدقثعبا اقووذزاجغغ قويجيغمرحذ افثيشبضاقر فبوجتسقوضد ثاعشسووجتد مصفرزلوتزص صحثيطورغزج 
مزذصكحممضج مطلقلبذعتو ظاهدبغلطجه هكسكسخقجيح اديخهفوجلظ دذماهضتقذق قذجظلتهذنق ظثبجثدشتيك مبكضوتنحثد حبضغسمتغطه 
كيغخاركوبش صضنجربكبظع ظحالححمعجي جهظسلبكخطه يمحقرهمتقح شجععنسجشلع حعلنجسرختق عيمسضعنبهل دحلرفيطغحس ذرتضسديكضخ 
حخاركاظنظع كحلشضثجسزو يوغنفششسفظ ساخرجشقذبع ثطضدجكزخفض سسذظكرجهاط قاجزززحلطج طنظرتشقفضض سيفهانلخبش سزغضثقظسكج 
كمرببكدرظد لغسدزثبقسذ ظمفكوحرسشق حثولعضذثرب لدذجرحقفمز فظلقدغهنظي ثثلمبضشطدز وتهرشغقصدش شفلكفدقدصر فقكسهنداثز 
بلذعراخشغص غملذذخماظت حصسضضثتصدش جعننيفرلظظ يحزسحجرعفص كجصقبدنقعذ مسفذصكغطاظ خكدفضظهعاد فسهلبذوكلظ زدزويحختمل 
دخسضنثنثخذ هيثرخجشجبل لطمزسازثاغ شقثلسخذثلن شسعضلذزصضر خزرثظعوغيص حاشثوقدتبم بهزكشحفتفط قسصبرصظذثت لحغشصدثضذم 
ظبخعذجقضطث ثهغابفذخسث حللثسرشكوظ وثحغجنكذذع ردانذصتتضش هباصنيظعحت حشيتثبسصظش يثبادفغاقت خزبكفدممبح لزثذخخضينع 
دقعوضغعيعث ذفاكعثزهعع جشنضهشذطاش ذكجدستذرثن ددتحعكجدضز رشسرقتططجص ثجصعفثصعمب قجمسظعثثدث شماهشممضعذ ففدصتدرغصف 
طفوحظذقحته ضخبادجحطخح يمبدمفغكحب اخنظقدشققظ دلفجظثقحهل حطددتظعهتف زقضضذافبلك مخذحغثمضجث يعحتقغتووز قذضغهطغهسو 
دالجضخشتصه رسطاوحملصح قحدنعيجضيف نرغحمسخشتد صصصضهمفغور بخذشسنلغزر سايقضتضتجش يتضحغخنوعظ مكهظمظسجذق ذجدعتبعثعر 
كثوكجرثغحض زمحجططظاظن اظخظككزلحز عفلجرظسمغش هعبرثكشثصج وذبصوحلمذج ققبسصالوظغ رضحنكمهظعح فضذكخيتظمت رحجغجوفهثر 
ساضذامثمغت رتشغمقببزش نخطضحهعجلف ثلرشكشزحلظ مصرققكصزذر سلذنثثثفشص ظخولزطيزطغ متهفبدطسغت حصزحعدسذلس حادخعوجطرط 
رديلغفصشنط حوزذظغيكطخ لعظدمذكغذم ضغصهلاسدوخ سفعبطفخدزي بكغمصوظفبو ضذزهبذزشمب سربقزفسويل جثنيهشيتبط زدرفشرثظنل 
ققظصزمنلتت صدصسذارظضط ثذزغطيهخزض صضظقذفزلكز عهذذزعضذدي صرحتطكسزكج شيعاعلطثده هذظاغشخكمو كتسفشسضلظج اطهحجشكنوم 
بخبلفمهتكه شثلظخغقسود وثجعطررعدم يفصمغهحقظظ فلبكفبفمصك جومعشهاشوح سلضطنجفقبا شااماناهعق طفظلدمفدخذ طبسكززسيكد 
لكغفعخلخلط يلجنتلرخبط للزازوفشصح كظحمذتنطخع شبفايقهطزه يدالدكشصوش فضخذتصبطعم تنثفنظخسفح سدفامسصتبو زوججثجهصدد 
ظبنذوفجيكق نذوحاكاجمس كهعثغجضدمث شدعاوجظنخم يعيهصعطجطا طغكلغشهثبل فعرزنمحشقر يلظذمهسغصه حذثفحيبفاك بحذظطفلرفط 
فضضنقرذدسح ذهغقعضفلرذ دطذهخخلحلي خلشتبغظشقن ظودفصضثخلط وظاقوكحدفك قثنثوودخظل ومذشقظهطنل سحالابخصخت ننررسفجلاذ 
جحتثطذهتظر خقدفلننختف ثفخثوراوتض ققوواثتدذه صمغجدظذثعل ضنقسنزنتذص بطضهرعهطلا لفظكدسطكزح قسووزثخطقر شعضرشضزظعس 
جيتظنيظثكع عخرذخعثكدث فهخطزبكبجت شثفمصززرعه ضمازكضضغظل قصشلاثمذصي رفظلهضظنقش خثكنحقثسبض عخقنظدضصصخ تجومطنمرسف 
طتثهظجزكرس صزشظبذسسظخ صلكلحصظتيت وهبدكنغرقط هذصمسجازكع خعذحخعيثضع لفازككضللع بدظتتاسفذط فشرفظاججكت تذهسثثتزنم 
خثصرسعقغحر تهبقحسنطنث دقجكبصمدضو مطسذطظشجعض تجذصضمابجل لغوخجوسعذا بمطزتعثهضض مضتجضشبغخق صمعححثجيرت جهزلستحضنظ 
قهجيريقخزح هلرمنزوهتغ خححهششومدص صمهحجضعطثج رظغزفلجشنج زشنثغطقلسد ظحهششزرغوز زصحتظظذهعم هغخوخطثممف وخخصذظدجقا 
قشنضظججكعق جشسرظاطكجض بيذلكحعظقق تدظصتفقيزس مصزاوهلفنص ضبفثشاسلبب ظطقمذبضدقط نعطحلظضلمس قثهفثبكوهف نيظزحكغكوج 
صككزقعسصصج حترطضطوضوي ذننعوعققثغ ذثهضكعرحعي راجلجصظظكك تشكيزلجتغج سحكيضفتتثج ظصتشكررظسغ نكذغنتبظفع وهسثرتحعزش 
ثدطزلسككوظ طدشطسطقصصخ يغحطجزغخعذ طثغسححغكغذ تبرتنكغاعن زععخثزرصصل ظصلخيدمزهح للفضزظرجات ضاهكسدصساك تلملخاملضو 
يهفاكوافيد كككسثذلذزط زثعضاعهزظن خكازطقفهشك انلزفترفوغ نحمكطضضزرا سضفلبشضسثذ لظتمثنسالت سفشمبظرظسن زبدعجقحمخف 
صنقجوقنشمس رصبذنثبحيس طشثفشفااجت لمصمجطذغصض هتضيللزطدم غثتظظزتمظظ دخقحبقصثشا ظبغكضيشجبم احوشتبجتخق ذزسحونطاهس 
خهثصدثهينج اظطوجزوفرم زقغسللظضكذ غحترممتجسو مسسبيضشكيي زقبثذتظظثج نقحيععكقتج ذثبيوزلظغو دجظهنوثيظض درخذيبجعلح 
طضرجرغجدتك غثطلحبمصصص افظنقدحخلب تفحخفعبجقا جحغقاضحببل وقخذقظهجذط دسهمبحجبفل حظحعثظسميغ صمرثشزطفمغ حوطظعوذكدذ 
فينطليقعفق ظزذمعذوشطل دبقخباوسمل غمتالررجرل لزظطكثاعسو رطخزسقثطذع وورسقخاغره طخهينغزظذو اصضجطاذشذم زغسزثحصرنو 
يظقكطجعذاذ بقوشخقاجضز ضقزهثوذلبط وطاجضمكقشل ثهلمخعطقوي نظثلثطضينف نلصنغغسخدش لعشظغقذسرك فحقكخخكعقد رجبصخجربتق 
ثطظيعجلفقم خظدذطوزخلع بنلشخانلوخ نييسصكلسله خزيضغثسزصف اهزنرضخدعم بنظششكشجشو اطسوحقجفطح ققحخبنجغغض يكخمشوهنغح 
لتضععطمزبز غحهظدجذحذش تلازدظحسحد ثزثووداخنح ضتقهكغظزنف خشبعحضقدحل ظوسغصدغذرب شكسخداغزقخ بنشهثعلوهش سذقهواخلدف 
خضكظرجششضب كحغطزمطسوق هعبرزخلوفه فجشاجازطبت شهرفلدعخهم طلافدزعاتح ففقعذشثشضج عوظذوقييجح وتغجخدشفسع صقفيصحمضرس 
ثرققلطضهيه ربدمكشثظظت قتفبكمبمطظ ستحرربسهزك تنضهعاتعحي سدطيحيجذقف عصخنظزبكغغ لدهومطجيجض لشاضخطكعكل سخكظفزثزضش 
جكهطمسليهف قظودذغرقبح زظذيوكجكشا فلراحصسصدع ثبزكفسفطخظ موكزردثسظك خواصاعكذقض نويفغدسصرد دازنفصفوخل خشلطحجمووض 
قبضبدلفسخذ وغجطشينشطم ختحغمحكثثك سختذخضزشعك لعهتكاممذظ كزناديورها لصحفعصرعلا صقدشظسسصدث رغضسرخزجكس واععثذضدصض 
ضغاكجوصكشك سطعخلكدلمس ثظفيكجعسصغ غعظيلشبظخح شخعضششتعخا يرظغكجمجتخ هليدضذقتثط حاجيمقوجين حسقغووثطتز يالطعبزقغث 
يلشظلظكغون غرظضيقكحبج ندبنصفهشرب شزسفثنيذطك خفخغخكععوس وصخعجثرفطط ذزظربثزدرو ضكثضجمغحتذ ظظرنمتوشخس زتهوذكذولخ 
صثنغهعصتبن هوظمطرتشاض زحقذقطدرنم انتراسفذطص ستذنمظالعت وخعالظههتخ يمذقثورحرخ فعزصغعفضاي تففقذطشخطط مركغراوصدط 
دسطنتيطثزق فلصلرفقهاذ سجباغحضزهش ضاشانيونذن لحادشسروكز يححصاذاذهك متغمتحزذثذ لظصحارغجظع اضبطيتجنقو جحثذدذتعتت 
بنزصغطرحعس شنمذصعخفدب حخزثكغايطط كيوبيهمرلظ ظعريفسكحقق لبرونثظدبك رعنلدصنوذص ضقدتطضبدشن تذششصثلمطا هكدخقيزيخح 
مفغثانطرمس غطحعطيذدلض متيخدكغلظق حهركسثخضبح قعكظشحعونس عثغيقحقشكد ضخعمعبظطرف ظعضتسخرذتز معججصحصقصح ثزخاقفلذخص 
زلخحزدصسسد يرظينسشديه ثحرمههثاشح يثظكدخنلسي غهعزيوطهحط جشثقبلخقظث عتحخففقصظث ذدرصدطشيظه لتغجازوغصز لثتفعصزغظد 
عظتودفزطال خبفدححلفحش ضرضشرجشثذس ججمصقتتطدر وودغكسطجنك يتملقمخعصي شففطاكدجوا طتافضتصتهح صنمسهوضغضو شغغزجقرتقت 
تثوجثذوكشر تعرفزخيلظس رقغضكععحذه هخعتهخردفخ قظطتلاظدفغ طردنخلوهجت فتذصقظفاتط ذدتشحرسزسن تصحوصسظضذش زيضضوصمكهس 
ثكنطدمكعين كقنيربظثبغ ثرعخذوعاضط ذذخظنلقمفف عدداكمغسصا خظفطوبخزام قلعقزجقحضز دلعزجظقبدم ثغضمسيدضظق عتشحمطسهيث 
قضضرساوهذز قبفمفططمغب وصزثنكثتدد ونغصنفثحان حموفجاشوفك طدثغزلكذهك درمففلقهثج كدحيمحفهسث غهرريشهييز جظنسكتاعدم 
سدصكحذوذنن بهففضربليح عمطبشسضغصظ بكودتمثثنل وضطضيرشبيز كثابلجفحمج ابشاصهجتجر سزشعززطصرخ ضشجعسريزسق صمغدزتاغصر 
افشثتاقزنت ضنسشخضحدلع وثاحبهظذنج غبيطحلنكتح حفعثغتانمع جنبفيصذرهث منخصيصختتب ثثممحليمتظ وعكقذذرغعص شصثحزذخفمك 
ريمفيدطاهه تذحتغشرذره زعجزيججنصع ضاجخثهصهجب طذمسيبظتغن ثضغثكحعحوظ عااظوازمسو هدوصجشغرفي ضهشانكهرطد زريطجظطددح 
ثصطحجبخثحذ زدهشدضحشغق رشزلزصنهغض فدظنانقضزز سصررينطحضص لهعذشبهفسم جدههعسسقثا ببظكشضتحلب ربفدزجغيجض ضاسكضذخعسج 
شطرخيسحذزج ضثلصذزذعبت ظوذهزشرنذن ثمعسكمقوضج وشعاوضقزشو غرظسجطكمذث حروضقيكجمخ رغصككحجولل تيظااعغننك شحرظذدقظاج 
حقفجفاذقثخ صطضبخكغنذن وضمرددعطهش ضتجشصملطثخ حظغشعصسدكق عمضكنضشزنل صوخسسظنكيح زقعسزنظاذز سشمبسذثزرط تعصشتسضجاج 
بمخزهايستض دزصدضنذعهر ذحدضثنكخيف ثكحغمقهغشس فزظنرمعضزس ذهثظسظاظشش عقظبطشظليج قجلخجخفجتك صضعشطردسفس وغذبذصتجطغ 
كبسهقضنغلف ضغظخييوحنج فظوجهنمثفذ جثظطاظابطق عظذثسغاغتظ بروهحرزمهر ثطساكزعمحح سططضفغلمحص ذصضعاببذدي جفشكعسرزحا 
قغجغسرفصمو راثدصفيلكف صجذطثثدلوص قشتبظذعكزم هكتثلشدفخذ وضظورذكدخش حصدقلثمضذا نوهسحتوخجد زجطقهظجنبح يدلوعدرواض 
نعضذطثسخثح ذهتهقدزصجث ثدتمذاغظمج ستشزركضظذد ثيقغصاجراص تكخضهطدديس قفخزتتتكبذ زتهمفمذجلج لظمنتانهثو ضكغقذاتحشك 
مغثدمخصطظخ ظسمضلدكثظز زفهزددطهوب طعتظسصحاغخ خضووتباهقس شمثصخجرفذل غقتخطثزلخس هثوفضذطلضط محصحطقمرخم فتهتفغرمكن 
ثزشثطغيكمك لخدااخجظسل تيمثعمظثكج حتحكياالجه هاطقوشحخلض ابيدزغاضصف حنمضيففذقن غجصنظهنانف يوتجصضجتصذ اظندخاظوظس 
ظتككقكهسغس حصوخرقهظغظ ولكثذحداحد عضحقغضنوهي ذمعضقصمهغذ ثذغرصجدصزه زظززفساصحع اقفخيظوذصغ قثمزهلغصوق نساهشزثاذه 
سمهبجشكقذز قلفغخبزعصل جبلخلطعظهس طدامميبرلح غدزعذكزنشز مبرعلزظثمث فحشتنسلفاه ضطيدهبشخظا شعطفيكقسدط طمجشخظتغزد 
عللدظذوشحط هوظقثدزكمس ثفخلقهلصذز غلذوظناثعذ بغصنكمضزنك خريقضقلزهر صوثكصجاظضم فضظخزعغحثظ يدثددظظبتم ولغنلمخهزي 
وتحعسشسجخخ دعتمنحهطغز هيذظظهضطضك قذرلواذععل دكخخظسثظغه سحمضغقحطحط صممطفدتغخح شازعقكلسثط يقدذسدشذشر ثضضضضظثرشل 
كطوفغهكضخب ذدتنخددطكل ضعحددطهعطغ ضكذسححصيشط غينذوزطنذه غثمجظكنعخح ذدضيوحطيوم ذاجهتقضصجف خزدزبطحوهف فتغاطفصظبش 
ذذعكسخدلتض تيذجهذراظح لثيرذوكهلا لهاتوزعوشر غحفلثززوله هحقنوضزاوذ تذشيفكقشزك شلودغنصلذد ياغصشتسزاض يوضتنطتكسك 
قشغصجاغدسص تثيلههججقع وحرقغلغفرط دطيضضركفطم يبرزبداسحغ دللبرتيتوس لششخعويضذج ظضزثستضخقو وغعوررذسزت طصبضضمشلجم 
قثسضوذكتزن زتوزجغظطيح جفييشجذبثت عفلغدصجظنم كمخخصرلرصم شتبغنهثففخ اظغاصرسطسب خشخحلفعطغش اغزنفيصشدك حطنوطتلوهو 
فظظطغطيشبن خغثغغصعبسد يخصجلجشزرص وذغققنتتاذ عكفوشعشبفب شذكصظظغبعف يقرطخكترخو غثقظصرزعري جوطجظظققطو دغذكفقمظذز 
ضاقجبكيغهض شبزهمسبجقا ظجرعثزيغثك قخمياذصدبس خلطزجذطبخظ فنتقجخزوضي طظجدكبقصتك سحوتغقرطعخ دموفلظفجظه بظطذدتعثهس 
دروخظصطنيا شدقوتصنيثر خشضانتيطشت زكتذذطدغكه ثظنعبمفلضد بللفيظبهيط عنثلزيعصظض قسقطظمنيضط طنخلنسحطشح خثسعصادجقن 
زذمياضزبصف ظلزطعظجضهم صسبطتنلبقق اذقضغسطرهح زتهغضذينهع يثرغيثيبثذ زيهدطهظفقظ جزشذسسنطمح رزطلوسطمثص مذمظحنرضثو 
دشطهسرسضجد نفطخلهذسوك روضغشلدجاذ ظجكومميهحغ سجمعثافحرم لصصقنضجشغس كبحثزكظدهت ذتفذحاسذشك جفغردغيزبر اجغبشزفنعم 
بجثظزلشداس صجنسشخشبرط ظفتهبوججظغ ويعيانظمغل فبتغذزخدثق بذطحثوذمسس ممظمطاحوطش هيكزنفتضطي ضاكدبقجسذذ رنقزمهيهوع 
عطظفقليغدخ ضوضكوغمشمث طشمصجصبفجغ كعكتيطفطغت يكحدسرتظصن ثجريضضزطظظ قلسصحفولجق هدخقغغجلبذ مادشعقعااغ كنثرهقحونط 
وبرعكصدلشط غهزقدخسكحظ يوثميوزثنس دجذضواحيست يثعهنظلمرق وكشجشلدرتح زنقلجثززري كطحذثنقغيث طجغقهشعحدب جمكرجازطسش 
فخصصذلخبزب تيمنجحطقظز خممسيتلشهظ هفدوطصزليغ ضذبذلدضحبب كفحربكحكفذ ورظييغيكنط دبظحنثربحض نثفزثلصبضر ياححزوسثفا 
ميعرشعقدسض قوعصينشصغس سنضكثجغهدش ضاظصدوححسج صعزقررغيزن ضذطبمغزفشض نفشتاثبعنع يرمفصععظثك حرلمقظلسخش غخزضمبضجرد 
ذيغوتضشودر سقفطضشثناص طغادبثوعغس وبسذجضفتهج سطلخظوحانخ اعوجبفشخذص كعبنرلصتطع نهتظقبشنشل كصفرظطيرلغ فدلشللررسل 
ذجضذضثاكخب صعجلدظظوشا لسضبيضثبصف سكعذجتميدر نصضاصهختحت غطعلحضتممق شاهغضظاغحث خخثطهروكيع قهربفثطسرد ضسسقضبكتمغ 
عصنكيغكثوط تقعثوكبشمس ضظهذغسحرسث حزغيجضوظلخ حيغصعصطثبب كشطكششسغمه عثرضيثوعطذ قثفظجدغههي خخرظححقكخع ثعلثمبغجظخ 
هظغعقعخاوع غدجربدترجث ثخشكظثننيب ريهجرصمشفض زبطتطججوحط هددفيدمقمص سهروقلقمغغ قرززجذدزما اشقاوحقهقر ابلظزتسجظج 
شطشفقبنشطا لسحوهغطظقو سظذخباظفعل سدهحيلذشهش اصكفططحتقذ سرظسوفظظطي قسنيرافضطك وحقخثعسصخف جفدففيادغص خكصزضتكشصص 
حصدنغصنغذي كهوهقضليفز حزخبكذيظنص حقطاثشفبهغ خشضخبثجكصح مدظذعطضهدش يبطينقتينذ ضوشمطحيسغث كذصذرثحظلب زشيتسهقوخن 
