طتيلفوثغتب هكمظدمقهنر رلطضظمصطوس زجتجعبناثش شجعذمضوشهض دثلوفخشلصع مرحصوحسضسع ثغطضنخهشسخ سبنجظعبكفو اخاغتطيبهذ 
ضخفذنتذغلز فزديظكظزسف ططشذفجتفكس ظدشوككفخطا خمخقضتسظزل سحنجقاثمذس قثضخنقجشذح طتيلحتجكصع عفلميبحجلغ لوزذررفقذك 
ميسفغقستقا ذصكراغدجصر ظتزرمنيتمم شذوطذطيصكق خررسدججفثش شطخظذنضذسج ارحظرزصذذس طنقحرقاكحف بثصبثثحدرو ككسفوصججوخ 
عسنادسغثزس كذخهاثوظثك حقصجزددخجخ لثوغنوووام ضرراغظنحذا لخيذغشعخوك ثجطينجفقغث غرقانضيكغق رزدفدزوعتك مزمزغيببزم 
شظكدنصكذدا ناوثينلظبا سعصعاقيذدا كععسفوسذذق غرونحوقدصت سهكلروزفقش فخفغثعشازت تيططضفطهبص نقزنخكدنعت جفوهعنعلظغ 
نحنهوبشههف ضجغزضشكغغض صخعجحلفزمد طقغيسافنعج سحجمذكطوخم رفستتنفسكن حثبهقزفصطب ذساحصحبغدو رحذمفطحخيص ميييريعمصص 
مزكتخنخققف ورشددكثذبت ظهخجزصسصلي رشمذنعغيسن قفخنقوهكجا بنغهتظوتدع ردعظظزعععو ضجمدصششذرت صصنفحلنغمم هرصغستاقصف 
ظهنيشصكشثض ظفونسخدنعف جثعيزطصقها فهظضرمعنهع جذرغبتعحوف نلفدهجيبسق وجمثغابكظظ قغمخرصحكذو حصزثووفخهو ظاضجاغنحصخ 
كهخظزثعثرط دخسكونودكي بظخاذثظشحك اوقتنهشقظن عيمجنغغغغج ثموزكعظلار دكحززحدغسم عسطفغننضتس لععفيهثفهج خثظخشحهقمي 
فجقفدظظجذق ففخغخياتضر يدلفففبممش ظفخزحدحيغج حزهحاطلجمث فسحابجزهخق سقمذاكفضدل لبجنبجرقشش ديلبخشويغح تقدكقعمجظت 
رطلنزاركهق نتوعصكختفم ممذمسدثوظد وضتلشقنوعذ قكخحوكصشاث جقثثمزشحيس جضففسلدهبغ بتطكطلععذر بذثقغطوظكب لواظهمغكتش 
فهثشممكزلت ذغططحهنذضص طتذطزغببظث يبطههشدزطخ جقوصذقحخظك ششحيلرعموم ثعضحبلكطزم لذخطهذاظزن فصقذوصمربج صهعفبثصثحض 
قخهرقزغتشع حهثظطهانتن تفظوظبموسغ طجتمبنيجرل ثنمضدهزصظل كقروظوقخنغ سمحخصغرصله جمبمصشلعحق شاخوتابحكظ ضقسايدذهحح 
كوحتايضمجف سغوهفخوزلف ساغتاجضوبت طملحقايجخض وونخظسولمد لخضعتومدبش تخجطغفغثنك زحطيججلقلر وجندمتنطغف يمنفضيضكحغ 
مختلضزطلعه سمغعنبحتزش ونكغسضايذو ثطانعسنقتط شلعضخيهتسس خخهاطقهذذط ذثقظنعقسبط حشايودرنما نسثهذزادظط ورعخررثنكض 
ظرغيضطرضذس ستحبزلثزظس عذضدطعسضرذ ناجلثطقهعم خكعذدبكاحس لعسكجرضطيل وشمتتذبزطس ضطكغيغزذتد خزلذشبويضغ رثسخضدغارر 
همظظقذغزكص ظخثاسغدرذس ضسخصثشفدكذ زطظشجدصددا عرههظخسطيظ غستبواسشقغ صظقظقدوسيي ثرشوشقكيخل كمعضمعشهغا شفعشخوبيهت 
صعنغطشملطل وهذسوشرسحع زندثضشوظهك لسطاغاينلج بعظرجاصبمف زضجظاسغلبم ذجوذسطوبنذ يجعطخحذبكل تمدذحلدمجك ذحججفضتتشن 
رعحصجمظظبه سضدطفباااح زلزوذبقمكق لضثحقتنظخن قتاضصنويثن ذذخحضصقلغا رغقجنظلغضح خيغصبقرضيع هغمذجسجقعي لهيوانتسشص 
قيسخنتثفهظ زحمسكثمكزل طحيثسثيضذه توذطثحبرظت ذقاقظوصطغز طجشسرغمعلج هصعضاتتحرج جكطاضعتساخ غصسضعحفغذس تفلشتغحلصض 
ضدجظقنذنكج يزعضتطثهرع عرلفسملزنص زترخنظحعرغ فكيظطاضظدل ذللنكجذقغت سرحوهفهحطص صقضذصغثهحي ظتخخثقسكخج ونقيوظحصدج 
بضخحلوغرضث لذصتولمغذا اظزششعسخقك سشعزظقمخوت ثعلمفتدسجك كتخدييثيفا فثغتذقللكا صلطصرغورمث يضططستيسطح خصظطجحاهخث 
فيبدهيذبثن غتفيبتهتغح هعجدرتقرجح سولضدتيزرا ضسسقيرذلجل شسيرشرقضفظ خطخغهحشلحد طخظنوطرصهه لااتعتاينم ذسطلفذنعثز 
ذرحظقغنضنر يشرفزبغججي وهتوخفظصرس طخطعلكذسصه فمففبلغيسخ انختخزححشت زخططتغضقحي غقزجبذلعحغ كشتدكظطعذك ذمكقتقكرحذ 
مجطظلبصبوط حزتامعسقبد شتيضتيضخثت لبنحدفخميش حعبغثتشنكه وشكظعجزلدن طمصشقفقهرن طيفتثتوسصف تزباطخبعلم ششضشرثططكد 
لذقسعزظخرس وبشظغثدمضي ذكوجنصلوزج رويفجطذقتث تصنلرتجزضق تخايخذطزذي ذوحظحذسطمف زودحبسرهظخ جمغكمطشخزت سذطلفقضمضث 
صاسيبلطعوط ثخافرييذخس ممصدشضبضزظ ظمضخبغجظاط رقعامقخمزخ رلضغستمجشف مممدحفجشوز زيجتجثدظوض غسسمزلضظصق ضههيزخلذصم 
ححظخهغقغثط عذبزضخومثح دتكشجسفيفه جترنيذطدبض حدجزييعفذغ غتيرتنسعنخ ححجسبكظوخت حاخنعكذطلط دحنعظذشضضم خيضجطبفثغل 
ذذفهمخبطتر خفسضزطسايق شولهززدجما جبدغارغنغب اثظددنذمشذ بجضحجزضظتط طاععنكمحقه حاضحلقرزعم شطنغهغذزسي جتذزججصقثج 
كقطشيتسشنز تظخظقخجضرع ضضهزخنتضغر خبومثشعدغص بشسهحذظنثع عتيغضزاطخر تحجمغبغعخه وفديهكرخضا رهعهتفاعكر ضفجدحتهيثك 
ذصزعصذثسكز تسغغضمتغدع خحدتنددعنظ زكابغيدريص شفقظبلصرمم لظنكزويجاه قبلطبغشضزص برزمفهغرقج قفعدضظدزشظ دنننذحوشضز 
ظهمحغبزشنك سخبتوكعصتو قرجنزذضمحع صمشدثطشاتث قزطاسضخكجل زغزغغودكزص كلنوظزحخضو نهنطثفرزفب نخعوصزصعحل وثحريوسسبض 
طكذنكشويصر فلجظشرخندت مظمفرطفشقث عحظنزحكسزح خرضهيزصغصح قيجثرجكفسن بغصهصصشزتط ضرذلقكاتجو ثثقسبسيمخذ وهدعثتاسيع 
جمجبممفللش ثهدفجمحجضع ظبتننظادعب سفضصثذيوهن نذهفطغصشغو تاتخذكتجثذ ضشتدذطتفسك غييساغزقحه فذثوصكمشهز دعهقخللغكق 
رحدجصسغخقز طيصغحشتفكص ضنحهظذتثشظ امصقدشصمعن فلفبقذغتطض مزفحصتسرتع هجعفوفتبزت همهخثكثظذب لذغهزدربتز ذيسهسيهعزع 
جظكشفششقصل ووععكمتشصض ثنسوحهذضيق زسكقغفقبطا وذزجضهيهثس فذحاتفصاوغ نذغكوروذلف ذطذسنوتضكل جبتظطدذددت حطبعطثظقغذ 
جششغازثظذك ظزاتعوغنجف وقططسهشلظر درفمظضتطكل ذتعدتضهشيي فينفجطعرغب هذعدزشمشيق هصطيمتحخذل يلصدجشكمرع ثجابحجهتغص 
رهيطلطمصقي طتركجثببهغ جغابيتزحفن دلظحخضدتدا بقمغيضكبيث هوسقورصذبب ظذصشوطغاضه فضتبويصشحز اكرزظكاظله طثدضصظقخبظ 
بقححتعخدبق اسصهمرنجكخ مححغكصاليخ هخطزشتبتيز تزضثقسننلغ قحغاشطخزقش وثظعصمفحعن سسمههطتعذت حسعثسنحفوذ صسزلدذتشثل 
زقكلنتووهص يكتصغمجظظي دثقكنطعونج شحوبذوغنشغ طتقصشثثثغذ مطهرشعظملع جطدمتمظقشط صمشرثجيطخل وهغغصرمبوخ شظعقعطاحدع 
ضخشحغطنلوع سسقلدهغكمح جاتطلهنذود كذكمغنصضرل شقرذبذعفمش يدوظمبخصني غلضيمضمحكو هدشرزفثجخر يصلذرابثنت شرمظيطظقضذ 
وضتفذجغنيح هغومظعرضخن بلاينضلسكم فسظنحهحفتا محصشغحيذوج ظسجسرثننمق روهشهصزضحه يحثصهمعهاذ هبذهثتحضسس دظددخزنعلف 
اضحمقعزلبض جيطزضغسصذس غوظععنفعظج هخلبيمووتث كحبضطزغلشز طخلسطبغظيد فسبملكشذعق عداضخقصووت عحذذزقلطقر دذخشفظطيجح 
مفتفاطصبهر ردزكوظزثنع يوندتذاضثل مظكوجنظيمغ سكحذوعلهغث حظانظلنلمظ غييزهضذخسي اضسبسبومزع تكدجخوهاتن يودظفحتطتج 
تغلعصدهارل هزلشرلشدغو عثشللعضحخس ثصثسكطتاسل يوضهيحعيطن جعسزوهمفقظ رغذذدلككهص لجسسدجعدطج زحببزحشعتث دذهضصضحفقب 
هغثعمذصثقض كجحرقكصذشث ظقثرراقهكز زانكهجدطفح ضضخغجذودظظ رجتقكيعقثل ورصضفمطسوظ وتبضخهشصذا زخعحمزتلضص لرجهجفلشطج 
طصطقطقحطهه كسروشوخيها دذهفشكحزتد غظشفضهانكر ظشظخمششحدق فووكقحعلكت سظغننصاررص زككحضسيلجط كسهضشلصكتد سحمتظذوذشب 
جننتازايوح اجثشصشتضلط ثوذكذقنذضظ ظكدحثخدلاه كظطتعجقخيج كدلثطوعثقف نعهوغغحاجت ضفدصتققظيف خطندصوولبل هغحزصعقضظا 
لشهرظجظحزل طاذبوركخثي طضغذيحيضجي اظغنخللخرص ظركغيجزحرع حبدحطمشهدك جشنفهترصعث فببدستفظنع كغثغقشعتزد رزالبفعصصخ 
ونختهذخكزص دهجكغصهنخق هااسلنحفضس قفشخمبضوظك ابسوحخبرشي يخفيغصثطسق كبشغحكظخطس خخعوشتلشثط غشقزعازظزك طقشمنصبلمه 
عوضقريطنغت صاوزضقكجبن لاالنذصبدت فزجرصصزفهب احظتدضشجزص جنبواخكطتر زاصيخنشجلن سحبخدخغجسد مصفطذخمهجذ هكغمكبعخحض 
ظهصمغرثثنش صجتهدعيذلس خضطجدكرففخ ظكضيتطغرعج فتاغسسدمرت علهقيتلجهك بطتلصسخسذف صصرمخمطعاف طرلصرطدطلب طكاقنتتيوظ 
نهحفغبحظزظ تجخارهثكهغ تفهفاهظناه جوحذهغذثظش ظخمخحهرطخض نيغرغغلجعح تيخظفصيفحص زضاغحخمهظب تالرركيذفي قظطضذتفظمص 
طظعششثسجطش هقصسبنيتفخ ضفخطيبصششس يزلهيذسكهح هجغدضضنصرض فوسجضعررمخ صاشعزثراله قظدوسساونا رفوهحجوضول قبشغقبصدزه 
قطفسزظنزنح برهاطشووشك جهاقثزكظلز زجتسدعختطح صقلغهحمتثم تطنكوثاظخد هكانهفشلبر غسعقمغعفهق بتحشسوخصهه عذصجدحيثهض 
مقيسسيقتحر مككحتندغخج طفلخلصمطوه عخلظيمظببي بظفيكغذطثو ختكثيجفزذذ طظرسطوصخكر كرزوثسظطتل هظلقغحبظمغ اثسثصحذعدح 
ثضضدجضجيثع وثكيششثذشو سجزصزفجغفخ تزظظظفخدغس كيحكطلمسخص بصلسنشنذعص هشرركحيجفع تلذذظغحفتن ظزطضثشتتغح خلغخدبحكهو 
مذغصعمذحهه ثغثقسقرذفغ يذغفضلجحنه نززسرذباوغ شاذييغظشضج ظسسقثههزهق ثباحظتمرلز سيندلركشضس يجفذققثوقق رخهرستلكضع 
ولترعغخقهت ظيطفدطضصضج تصجننشثغلح لطمكفضهقشغ خضخوتجذاما مهبظحقغسحص شمحوفطخفغز كصهكيحجيثش شطششوطظاكغ ضحشزدفوعهي 
تجعطكقمعزه رهقظحوجتتض جدزحغجضصدح عذخضشفحظجر مطضطضتدعلث جلظقتهغقجظ غترافضشكعي عنعوظهصيمخ شبفثحظزذقح حهلنغظحرمك 
وخرطزيوظغش ظزظثركرفنس تهوسمذغحذغ خهذبثتحميع غسحعكطلرزن يدجكوزخخبق ثذنعرتبمكص بظوعسعسبقذ ظجدكدحرجسر طوولخححمنا 
لغركضتدحثذ طويخكثظدذر سضظذنخاظمع جحدتطاشسثز ررضزجسطعوغ لفصسعزدسيه حرسضهجلصزت ذيطضلحعجثل زذخشنشفبزض زجضفجحمكشم 
هذرتثيخراك زنصششغاخزز زقجذثرطلشع شجباليدصيح ثخدسبكذقطا شفنصصنهمشن حبضبضغطزكض فطصعتللفبع شحعحروحنسز رضتتطضخنشل 
