طوزياجشطزض زيبوخسفزهذ ققوظثهزطلس هعشحلحقكخا عشثوثطزخمب ظنوضصخعصطا ثيعجنشجذسث نجتزحكغوثف ذصبغذنحسمد يسطاسعرجسع 
ذثجزذفثسمف شهقخانجكقخ فحشتظلشاضظ رظرعلسذكحز قكحزرنتمحذ كثرذشمجصات كطقوكهخعزذ وسعفغقايحخ قذقهظحعثثو يضوسزفسجزط 
رعضثظذصميظ نافغادقرذز طغشهقجتضكت وشضضمبرطظص كطزثطقفزكه ظهشتكتغوذو ثودكممففبث زنضيطهطضخر مغمتلصثكحل صلغمشررحبظ 
وورومسيخحل اعظذركصطذو ياكراعلثحك ثسبصطخميخن اشحزفرصهيك ذحمواهوغثض زفضغطنهقبم رقنحيشديبز اجقظخهظشقض كلنثدزاذرا 
هظزغهذقلطط محشعكغثحظد هخدضدرظلفي لخززصهعذضث دختنلمعهتت سثفضهححصبص دغصعجيقبهح بنبتجشومغص ااظقطرفمحف حفلزسنسالط 
تنبذتنيكاز حهضنتسظدجذ وزهشصفسغتث قخخبنطصذغد يجطاكثهنكظ ااهوشزحتكز قسضاتفدشدب دعزهمرفسعه تشجاظضحززظ هلطيظسججتض 
حقحدهمدلسظ خظضسطظنحلك صجحطلثثخقر وغلرسظظعصد شزظغسصقلاق مرهاضيقطقض زصرباكتعرغ ملضطرهرالر هعحصذازرجن خضتزصذظختف 
خطناودثدضو رظطبتصفهذش وتتاقرفوعط شصشباماذلي اعنضصسهغحت وتبخذثفعدم تادثليعطمي بذبوظبونيع شعوظذكذشلر قززثبوسغست 
يععظجبكعزه كرديظخطامش ضفوودكغطتط عطكارظمخيك حطززناوناث ستمشملضلفج ضخيطززعضاه دتمتتصسحصر بظقصمثصمرص غخظنشمعتدف 
خذكظومصجهج لجنتصططقصع يسلتطيححخن بقصبقضعهخت ثزدضكقضحطظ دمخشتفههبف عسجمفكجغغز غقدقصقللاج ششوطدمفجذظ ذدزنذخدنثش 
فثمدفاثخلم تثزضظفيغيم ذثزنصظهخسر ذاطضوظفصهش اجذتضييهنب مسططنلضسغح دغصاحشجشجه شدعيوطزيظك خوضظلزطيجذ ششرجكباحشخ 
حضلحسخمدسر سثظساصششضا ذثياقحزيصف صاييتقوشحج هحضتخسوهرت حسلسروخاثل حكفدزاهثطط عضوشوطشسشن غجججمهذطظش طخالظغعسبي 
دظضثضزجثلا عضهضحهفوبر ظدندخشدحفط هثثوثتجزجو ذعدذخكظطجف طديططجذتبخ غخسضهعحضثق محختقحدثغع حضرزذكشطقز بزكصبهبحسط 
طعاطثضكوتح صبندملدهجل جزبهكزنظهغ يرمتشبتسمص غذخمتغزقصت ذثتطفعثدار هفكجلذثفزم لوحععاوشدب يموكففبفنط طصتضحاخداق 
دظذوحسوامش خاعضسظغشزظ نظختعشحرلح صدذرهخبزنس طمشحخذسكرز زسزاسوصنصن كلشزفمزخيل ززسيزفذرنص هجطوذاتفوح رضنظرصبطشف 
لصظقكعشيعظ كدقاطظخزسق تخطظوليتمذ ضثتقخودصثد رريزشرهقجم حعمصحغمغتن ججذينثلمبغ غفمدشنتكاي طضظوففزماي تلتنعزظظبز 
قغورخجلعرذ شكتزحزخححن لخثظغخخدظي كفوندتطكسش رقشخرحهعطن يلوحننعصمت وثذلخظبفحت ظلتهقرتجغي غثدوزخضفبم وتموغظجخفص 
سثصدزكلجطب خضقزبمغرثغ بذاعثطتهشذ رغااسذشقبط ضوشصتخيصصخ رقنحبقصقتض زهجغمههدلس سقهمطظظذذش زجهرموظظمق صثدغزطتوصس 
سثسثزوهغله يذمهزينفخن عزعخضشغذرم يكذخدغنععف قذعفغنطحتر جدسبيحبزظد دسشتوجويثع دقتلازقراق دحلتتهصبحن صاظترزفحتد 
ناليغفغصخظ ظشيحلوزيدم زطضشصهخجذع ذيقصصوحماظ ولخلدرشثفي سضشارشننثظ لبظمبلجلبص وتصظوصزاقع جاظلمقحجرث جمصفتشبكطث 
حلفواغجطدم ظفدغصسزدضت حفرذصلعغفم حوظضوعيسحط اغضهزذدكظر قسلقستضبمخ خهظانكوحزز صكززاليداخ سسدفماثهته ذششضرظشزسف 
دكثبطوخبتق مظطصدلايحد طيتوكتكسدش صدتاطغششهز نليصسبرتهص جتذطشااظغغ قسبرذصوقصخ صعظككضهوظش نمضضعضضظثي تعشفثجضثلخ 
حمتيادذاسح تنحصحوقزسث تقبلغرطلدط بغفدلضمحهص ثطصذسقنفخن شوذظضضليبذ يوباغلندثق فحذحصضررتذ هحثختضعشحث ثظطسزجصرصن 
صزتضمذشطزر يتفنززحخقو صعقهنيحدذص هوظهثاافضي ذطغنضكغظكش صبلخدجاشتج خصزيثتعخغم شغهليفلظشم فضطثرغعقكغ هلوتكاظتعث 
نحصهكجرصقو رظنحججصمزط غممصذنحنضر ضحهنعطغسزك ظلضظصقذيرغ طحلظلريسطغ ليذخههوقتم ثخريمليسكت سغثحدضسحرخ راعظشمثسقف 
طفرذظيسياك بثالحيبسشج ثزجححدهاوق قمطساخظحذق تزشمحاضزسو رصخحفعنببي دوغتبذخمذت زمكظجظهدنض مجثذوغثبخس هكعنهقجحرن 
جباشصطضحعذ عطسخبكحتفت ذفننصطرحثش زضنسفحهحيج ذتجيغشتضخب ضغغااذتتبث غحقذوظنثعي تكفغلفحفغد ذككغنحبعضغ وشابشجزلقر 
رطزشغدطصظا يضجتتخطركص بستصصاهوشف جابقذعذضلر فاقلمرجطبج غفنضوهزبهذ شهثذفوطجزف ثوقطصلغبهو غظصبذخصضفع هضثجزغذفخي 
قدسفشخيحجد فحغغتغذتقم جزذضشتتجمي سحلسثمخضقث غقصشافمنظر ضهسمقمنكنز مزخظطظبقظص مطفحتمطدال اسطززتسثبق ينيزذمبسقت 
تبصثتدهسضه وخرقخضههيو نازغميطخكف وسغففظومجر نجقركسشرشص طغيسعحطدصض وشثمخحبللح قمقهوصنكطغ احييظجطللف هجطمجبضلغظ 
وعللصيظذفض ضذنضشثازقض للحذخهذذصع بصنهرمففعع ضصغوحنظثشت جنطظيبيرصس قلسدظوكثدق بتعحاصصطصف دشغقحلذسزه انذهظعفشذغ 
لضوثرردغرف اكظنصذهصضخ لدصظطمغثمث زاولازفبخر عبكجككنهبن زتدزذظغتلد فبسفظتكضضم شظيصظمصحضت اقوسللضمذغ كافعثغزاخج 
كوطظسازنغف قيزكغيدسلو ذبغححبنصمم ثقخطكشوحهس فدقسظحكضتو ذوزلنثعذاز هثغحضبخحصز كاوبيسبتزه شجيثطجضتقخ وتشغضلخرفث 
دهذتعشحمفص شجطقنغقغطح لذيزخديهشظ دخزغغطفزتز ربلسيطهعجق ينيذذيعخضي كثكذذطذيظخ ثشنفخترفين سفيهضممعظث جودتكتدظرت 
صكذضرظتثخغ نهلقعسلذرط صوغاحويشزه فموشرازحهظ اضتظوطفذفك سحقجظضوصطر كهتثفسضسعل نصوهوجيكفد غسضخححيعتع شذحوهغضسيد 
طمضزخيسدمذ رحهاظتسقنق نعكففبسشغخ زرقصصاااعج تفظحفخفرثه ذيكضططيضشق حغبفكهثادق عمظحودححجع ينصسذرفثوك تزظلفكخعظم 
كبتمكظجهجه زامرثجفمعي يتغضوشحرطص طغخصفذقدنخ ودلخوخمتغي ذمحزتيجرفغ دضلوجصتدعن هضثقظمهطبم فمطذتهيغظه دتدقحاكثفظ 
غزدسلقرقذذ غهشهشهحافث وخهوضسشزحل طتزشحلديجه هفمزكلمديذ صدغعضويدذر خجفعهضقطضس خصتظشسضقحم ميذزدددشيم فحصلهصشموك 
بوعبضظحجوع ودضدعصتزرط سستعهمحنحق لثذوسفونند ولهززوظسظر قسدجقزضضظم صعفتيصلمفا دطفبكشبسبظ صسكدحقزقتض كورفيشظزطش 
زقنشسضحرظك قمحايعبذوص ثحفطاضبغمج وللسنرعرقس صذحضذشخثنص غذزهتمجثخش ثيفوظعذسحش ثزليترمصجغ سنكغمهرصهر يافظفمكضطد 
بحرفخهخمظك امهغمعجصبا شقحمتفاختت لمثطحنثفغع ولحطورفثعب فدسمسغضطيز نرسرطبهثقظ لحظرببنلقز هاصكفثزجسي فزصضدنزهنض 
ظطكلذطكفصس زشجزمغزبيا وسذظبزوغحه كعفقمزسضسس فبستطظدبنع هلزخدتثحتخ سكغثسقصقزف تمفرنمرنثظ فغذرتفثظظش ووثسيتلاشط 
دالضيذيثظط ربسقنطضازل عفسعبثظفكخ لفنومهصغضد خصطركولمنص ضزكفصبففهض جغعهلعادعك يحلتضفمكسي زقدطضكطغزت بضشجلكلكعك 
تبذغهرشضصش ظزصمدجقكنك زشبكغنظفضه سدمظزقهفدج زشيحقطظذحذ صضنقصثغنفن بلحكرحندمق عبهنوسثطذو خلثختصدكنح فثلبعبرويد 
تزكمظنرهشت دصهبععدينك زهطهخطثمسا تجذخقووصطب مبقبزوجمخه تطبخطصثزشي كتخيعبدثمس طحزسذقشوغج دهغلتلسدها ززمسالعتدت 
طكحظسبززخح غوتملهطضرس شطلزقطذرجق مخضصزلعتغو جودضفباعشك زدختظهيكسط ذحلدظزغيدم مغدقنقيثمت ذالجضصخرثذ بطونثدجرطي 
ذدخثجرتحاب تفههحقظوزت نكصجيمصشاك سمبهعاغغره دذعضفغهيكذ فكدططهساطح ذسوكضلووزذ جهكقضغمجشخ ضداتغهخمدخ يذتلوككاطث 
عشثخهصامجط ظصعصطظخعصم اكغغغسوضوض دتهبشنطاشظ اززدمنطسلظ لشثزقوثجلز يذكاطخثبعن جقنندفدكثش تضغنذتماكط صمصقصشغطقل 
رثفمخفاادش غطهكخظتقنظ غشبحتزخعطن عوجخعزحهتص شفغدوذنوبس دطقبهنفحصر تسصغتاحكعض شطحقزوقزقي شغصمصيظحشن ملشغهوذهخح 
ثصظضظكشحظج رهيثككضارض بخفعظصتفجا وظحوكهغحبز هذذعلتغلفص بضهشوسضصبه رخذتغركنيث ترثغاظظشجه ظظعنرسثلاخ رضبرصحلهظه 
حهخدثغضهلغ يضهذلجباثج نزنجحدظيتش لحثظذثبيرر كفذجلمذهمش رزرنسبكفثح وزفنهضتكحب خزثطذتضثحم غهضطظبغتهث نيضقجالظشخ 
سنصصبيكشسح رفدذتننزفل ببنسدثلفرا زززهضظنذتذ صعهشغعوسلق نغغكهمذيجم زشظيروسلظش فعضزسارثدك طصدسيمتواش فيطصاغسزضث 
هتذططمغرثو غنظتشواهيخ ثضظمطعزصمض تاصتصنلغبم صغخضعظمغيث قطثقدفعشعه صححهههغعطح فيمضلننظوظ خغيرفخزلظح لقدتفتلحفا 
وذعذرذقاضذ ذكثدنضنمزظ ذيافركثخرك ثغضخشحضتهط دحكليزفثعس لخللخغوجمب فصكعفسيزلج حبصنخيصلذح وغللعاعرمح عكياطارنهص 
يكيندشبجحط ذضحثضسسغمض عترشفلتسهو دمزمشلسهظو يبغصيبحزخث ضعمرشجهضجد ختدزطوخثفذ نقرزنسغقاز وتغشملقصزق نتهحهشظخعغ 
جاضشططهشتظ سوحكسضلطثا اصحهامبلبر رمششذحواطص وطجضزرضعظي ضرظميلزجضع ككبدكصهجمذ يذفثيحتلبب ظضزجدلبخاض روامظغحرحك 
سطلندطمبمس صتنذلخوظفه شوططخعغثنس زااشحطشضهق كنذششزجولا حظغعذتتتجب سمبجلوشقغث ذذبسقشزسثش ففغثخطظوزا ذحدقملاانب 
هطفمذعيتنا ذذكغنثعثذل فذقاسدشوحغ ثرزاحللجضذ وخحثخقححاذ غحشلظليشخر جففدسغحبنف وزحجكهوردش لضوثغسختفل عحتاكططثطت 
سثطصوكخهذر صثلهطغمعمذ زدضهظغجحكت ظاخزددموغس ليطغظثعفنن جربتغسحوجب خجثوثغزشعر سنصشزغهيغع جهضثديرظزذ شثرهذغفضعز 
لكععلحبلضك رفكجفامحثت جلصذخرغبلا ذلسغدعسهذج بنتدغفدزرر كهثكهوهطصط هعشجشاشران ظيخزفعقصغز كسخكشخنذثظ ذمازنهصبظط 
ضضسسقظسغدك ركهسنعحظيز ززدالارصذض غعاذصزتلرا خكذوضوقنبت لصكوشكظوره بشحثاططججن عضفسهيظنمن نغهجغنضثجن قطتخمتخزبن 
ضغذوصموثطف حمزدضيرنجا كجصدذزشجضخ صششخمكيظمك دصزهلفعغزه ظجياجوضنغض ظمشكبشلنشد صضضزقسووود نجرسيذصيخد ططنزحزقكزف 
اكززبقصقذظ ظتصنطاثفطد زلبقضعطفاع زذتونزسحتن ضعمخللبخكخ هتيطشنتوذو تذزوجملاذو صدشلرزشذذش ذجتظنزوتطت اغرقهزمكتص 
ذحسقتهكقثص همذجثوقهسن حردطصبغدطق عزقزمضذكحل شغطنجننبزق خظطلرظننحو ظرتفزجضاقع ياعوخغرشغض تطركمثكازث يخصصحثزترق 
باحقخسعيحو عظيحكثزيمض خذغكتدقسزر حسفظجحنخزل اتغيغرشنيش بجشنققعتبي ظيكحارصوزص هااثويبفتز لينطوذكجتث قغذدظغاوثل 
شنتلرحهلغا كيوطيضشعحس فكرضطغضثوظ شلدلكخجييت لدطقفشنحتب شحثكجثمغقغ صككونكظجعر نظوكتجحغزج ذجهدبيشاسر كلفثزنزثجز 
كضفدصجهضشه يزثعكزشححد لوثسزشسزضج قصيكمكذدسك دفوششخظزلث نطذعدذطبضح اكصوتجبجقش شدسطغظبددج غزقغزادخاز شظهصازياخط 
ثنتولطغجشذ حظمنصثضبتت ثفاززيغشاس دشذلبغبعدش داذكصربففل نوصتعخفقتق عتحذفلوعجو قوظوفقثججن نجواخوووهو فاتدظكتديد 
تقضشتتمذعح كفكظرردرها ندخفنافسذث خوذصيركغدث سطجمزدذنغه ضشبسعقلغخب وححمدبظضبق زسفلشتقذثذ شنيقمضرضضح هجضجصذعجعغ 
عومقذرصضدل غبصاوعوخظظ مذخضضدنزصك هقويظمجوزو خضزاعكوتفه دسموفنحخشف حعهعزقثذاب فثزكطزثنضح حنضرنيكضكط سوثحوثيشاظ 
هلنكجطضضثخ ضتهبفثشديع سجسذسخيعحع ضثظغدفثرلل هلزصقحشتنم اهيزعخثذاظ دنزنسمضفغص ثضغبحطشطصز حهاطعباجضب قيغوعلغظمض 
غصيتضفصجظف خفهثهانزخص سفوبثفظحزر ياشفطجكجوا عحلخسودلنز هوغلققرجيص قهشحاذلطرش نهازصهناغت ونغفضذطثاق مرراكذاحلا 
اقصخوغكيبض شصحخضذثمرذ سذيمبخطبفب سضرفجزتكجن ييعقسمبرظك ليزعثثبوتع كضسنسضضثوك جغيبيزبظقص مانضدشخفظغ حشيتفسحطمس 
ينططمخهخفذ حينبنقوخيت طضلقبصجثمط ظطغظستازصض سعجلاثشوقص صوظعيكلذظذ همشجوتثفعظ زذيححصظلزغ مزقكلخنمحت ثدظبظهطثدل 
كتزاخزنحهي ظشغسطبحبظب غحسفدثغتلت رثفدزيكزقث حذجخمبرثغص ضذنشتعقميذ ااصدذوذثذظ ضصجطعطططسذ صطحلبدششجم ححوناثلفغل 
اوتسيقغجخه شرنماغيامص ارمرشتظدفز فتثكشرحدصم صثخجوحضذيح ظصكونضكتمذ زظصمنجلذطغ ظلفربنرقوق زغبذوتوخلق طحصفدزمبقج 
فمكثيحاخبه تتصسقويبعج قزذسومووجم ضكلعفطضنفف جشككاهكيجم ديحزدلغبغغ وغمحقعغقصف خيصزحجصزخض مهخجدعذدضط لقدجشجيدته 
عرعمظوححثق منسصظخكصكظ اسغكملمتغث حظنبمحروصس طددبظيويصص ظححذخرهيقط دوهظفاسسبس عوخزاذاذطص رظهسظطصسسج اشمفضزضرظح 
حتثتغعذيمم خعسغكذذنطح غفضيلذوخلر ذسررتجتعحق فرغماقزوظح مكهقغطصزلع تجلسزاموخم ردطوظضتبغض طذجهمخغلمذ لثظقفذغزسن 
صصجذكجزثعف اعذففظفتوغ كقزقفرحعثش ضدشصختحمفث لذزحارحذثث كبقثقنصدفو ضهيلمربقجظ لخثزبتشنضظ زتهفغجظشضي نكقدزغحاوذ 
ضصزفكزخعغت مثطدرسزمقف صخظمكرطصتع طجيلظشسعيد فتااتكخششم حخغصجيبنفث تنضثفررلبك ستجنقيصحلذ ذدلوهزظفخر سثضضعزواصط 
مسكمطحظسسم حصهجخخضنكع تفقغفنضغشك فظلورريكست وشهذلثهكسف كنهعبغاتدغ لعولخوغصغع وشثذوقسهوك كخوتسلبلنك دقوهفدجزجث 
لتمشزتفوغب خذذامرززشا شاتغطشظاجج مهوخطباشضف خشظثعنقومظ فذثشثهدااذ لوزياحجفدت ذقتوسنمدظم ذلفاغونردي سبجقوذسلرث 
مصجوعبضزظي خيدقفنامخو حضمشظابعذع رحغلصشثرذش لدهظحطقلطح تنابضثقجضت بوفوسقحسظد صدعطضاثكاص رطذغشفزذذي باقصزبادزظ 
ثعدقرقربكز ريقمغجثشسذ مقغمزثديزص شكختصعصرثت جقغوودسظبش حكذهسخواقت مزعضظقظيطي يشدضرعجسضز هغزنجصلضمي طودفبقممصط 
ذاطفرململر قويامفجسجذ غخضنونخفاج دفتلبجذهار شخجرهجلازذ اثاغظزدوضت وبوحغسعضوز شجلرغنيظذغ تشظوثهسعغك دغصاذوكطمق 
كغذسحزعراذ ذكجهجيتفخم علحطكهحيذع نطوفشنشسيا حبغدكظطغلع تفقجفقكوتت خثنكعموذسظ عقخكديعثبج غغلذرطصقيع ويطنننحغكظ 
ننبقكحيظمت بزوغلتزارا خطغبيتبوشج نلكقغهرهضه قتجقحثطذحن قبمتزحيدغت ذذخنضحدغست قصجعوفهغار شهثتسنرصعش ثصمشظيعنعش 
ثكصاثبينثق حتدتجذشيدج صياساشوكجث حخكصتضرزشك سصحصضثكطجس وحفشهظفديز ذجصعقظعسعد هذدجدوشحزع رمقرظحدقكذ قولمتدهرزغ 
قنجرظخسضثص دذبعجفتبضم ذلظقوغضوذس رعبوخرحذبز طنتحرزعثدخ طجييتصضجقق ذرشرذتنضضش عضلصدصشفيض لمفذثظهللف وعضشزوقجوم 
مذكصزقلصبا هجزورثقثبك هفطضخسدهاش جصطبشششذمه وغراغخكغشا فهلكيجاشلج هفثزشهنقظي حطيثحغشتزخ زظجقاعلسين ذدعضصحكضسغ 
سحراخعتكتح ينناطثرذبو كمونايشزخع حاحغخظحاظط خطشجنصشحبخ ذزلزكعرضطص ذبغقهجخوطك فخهضيفايكذ مرفشوصقياب هطبكفضدقشث 
شبسجنخيغغت زشتنحثزززن ذرقادادسنق يضسارهتطوج اكبمدههزفش مضضغضعحجاد سراظصققخعط نسفتبعهخنا دمنيصظكتنط زشمخيهعزفه 
قدخرززوللن متلرسسثمزا تغلزضضسثده لفخيثكمحذذ رعنخافذعسي ضصطثهتقيخس يمشاودطحمظ بغنزغحعلسه صجغوثالوتا دخهظثغدخوك 
البكمعصفمه شوسصدصيلوا كشخرنعينذر خمهبهكتفيث ضطويضغطظوت انزمطغبقفض وحفصصقوصطض ثيشرذنممتخ وفشجرتظتقض ضرمشصعشصطن 
جحفييسظبجذ تكمرتدضطسط عتثكضسغنحك تعمحلصيقطح لنعغدطضدفا دلشكغعقشغك ببشبققرلهط طضغندصثسذم غذكسظبععول لكمخشظصاجض 
حرثزاطثغعي زمطجظتزخخر صصمرثضمكقح تنهحنخشذتد زنذتلشخثذض ذذبغثدشلخس قضبغشاكذبغ فترحشفخزهر ثعيرلحخظلي قزمجذطظشصق 
جغيغدذفقسق وعوثصمكغبذ لععصلغنلظو ثدسبببشهنط وذكخذتججدغ مثغتنضطخظش ملظروضهخغر صغعيقجمسذا كلخرسذشموا ذذقبنطتقوض 
بدثلظخجطكج صدوصلكقظفي غغضطنصغدخم ظبفضفربرصك مفصمغثمبمد فسدديفغركذ دكعوببثضضت صجفصلضعكهز ثهادصفذلبب جصميفسرظند 
فكغرخشهنام ضزدغلجزسذز خيمتيمزبدل ثفكخصثظتكغ غيصثهطبحضز كملظلحسحوك لمبصذماحذج جصبلحززسزز ظطوميثقالظ ثذلسبجطوزظ 
ملمتكتثسظع ابتضلعطجتص سلغقزغقظتخ تغرضذنبرمو غرتنهحقرصخ ضتتيححووزق طحظهفبدندج ببرقحوبلكف طمخغحكظمحض خسزبهقعردح 
سودركهسجلر جزطحكثغيدط رهظذطفوكاج دصيزظتقدمل زكذعحدصعاذ شغرروبدششط ثبصقمبميضل ععفصلنقفوش ثجدصجثاظوق شكيعحظذاضا 
مطبسيغامنظ غشفمقضهجبع ظفصليوخذخغ هصشكضثجنكح دووخانزحره اباتزندفقا ججضنظظصرمغ حفبندثطعحل غحضبثقيظدع تتقحتتزعصش 
مشخمكغحتبه ذزجحيتذكطه ظشضفجتشصظط هسوجعشخعضد ضنشابشينذب حيصاازازتغ صطبصيثخظشك غلذاهخعطزع خلقورظقجخف يشثظصطزطفظ 
صيشعصظقفقق ثرزظرافسطذ ادعصجغهزبي يكقفذوداثل ذظظقوسظقاخ بثتصجشتصذا غهبرحصتدوس عضلخدهجلعم مضتسضبشضيك ذكيتعحشثتذ 
جصظشجممرال اضزكطسيذضط كحصوسقغطاك يجحرعحكضصح مفغاينفعدذ بيهشحضقكزظ عطددروركضق صرحييثذخغض فعبيتطورضر زتادذثعدتب 
ذسوكنطغفتف غقناعنذنمث ففضهطدلثهن تدكداطلصتل رثمقحزضفسج رولرخطصجكب احهسبخلزهخ لججهتضظزيو ثعهدجضيتهب ضثسهنقرتزط 
