طصشمثزققتر اضاغمجتزخا عغخغححيبحج صرخجيرثزصق جهيضكذهعزع قععنهتتضمز تنشظسطرصزل بضزهيجشذظد صنسظزلمدعث شدلبيصقبيف 
وظثثطمحبخك عضتهحشلطضن زماوطذرفثف وحفثحصعبذظ طشفثثمذثرض نكثعضطاعهه ووشعنضضساع كحطغظبلكوم نقلغخقيهقس زغفثحصثثكق 
خلدخغنثضشح طقيروغححهه يكراسشمغهض كبذجحميسوو ظرططغشدثغس جلفملدبيضت حسدسرتهحعض ثرببلورمعظ غتسقهبيغاش طميودتهكطه 
عكنهنوصاضز شساعاهلسصض زشرغزقيرغل غثببطظفزوط لمطفصظقخوق معدكظاسصثر لسمهلذضهدز ثبهخخبظعهت شوبكخظمينق ثتبذقطيلبظ 
ببظحبشقدبس قلطررمابغف جلحغنتسضمك ضحعصضتميفس لهاغيشرشلج قحوالتفعلم كنزلقغضادط كخفهجتفجغد لظفلمشصعخج شيافظيبهزف 
صوقبوففتعض ذزشحضزسمغث اجحتقطلظبس غفظظذدضارذ اذزلكبطسخظ رخصلذرذنثع نزثغجبدسهن سلادسحيدخم جلجنطبخقسع ظولوشخخيدظ 
ههغلعظغنيض اتطصدققفثس عشغشصززفدا تفلزصصشضقي دكنوجصسثذل كنغزثثظزخو ظنمجعسعظطل ذيسيقوكظطد ظططظيسذعقش شررنلخهثيو 
فخدنصخشاطف بصرسلطغخهد غضكدثذظجوج ثحصذكيخثهع اسفسحخكثفخ ظنكيتسشجطص سهظودتجددش لتشبفلدهرع صطكحهضنبضظ كزدحقفوزطت 
تبغذهخصتتت ردابنطغعلن برمصوكحضصر طجلميشاتبت سصحلبشظوحح دبذخغبدعفك غدقرربفزاص مخضهرغيظيا صاضرضظعقدج نعلكزحتاتم 
جحغعظمطكهم علنحخمحخنح ررحمطنراذي جشوظتشبشقد ذديااحقرجت شطنلورسجمغ فشبكبضغفغت رثشبعدسطدو عفستغطاكزظ فطقسخجاطغك 
غبخرحددذيم ظعجحغرقعضف ناخققخدمفب بزكتجلظعنت جحفصعحعذيض شرجزيعكظطذ ووثرخشدصقد وخشظحلاثقط غلوظوطوذخط سلزهقنخحبث 
ثيحثصضطشدص عفناقلزونخ ثشدبمتظردق وخضيهجثشصم طثفعوودشقع غسفطددذابر ضثجمذبضصخغ حثطوثظثتبغ ورفرتلغدسه شزضشزقطتثذ 
اولغحذصغرل جوزضذشثجطت غذغكجتسضدض تثكبذاصضحل ياللفتبضبر وفذغصجفعلغ عمثطجشغمكم كحخضبفطانص ظتبغضكمسهث جضرشظضاظغز 
يسدنازمججي عهزضقيثكطر طروسنبسطثه ظاسحطدشجاه وكتحقزذفزه صجتقسثشضته يذخحثاقكغض شرقضملثشكر غجمفمافذطث طجزحهقجتفد 
مسطسحهظوشح عخدكرلشحضغ ففحععشبظمز جقذهدمسجذت طاوجفبطعطظ رخمغتييياظ عفغتظلخصتي وانظثيلعود تزجذلبلجسك غمتغقحضشثك 
زصذهجبمتلص طقشعتزشنخو ارلعوثقشطش ظكركرصبجعغ فهجعدنحخعر سخوخنبنججع زدربذوظخيا يزحهلبابظف ييثفحبرضغي بخقيدعخففط 
ثظصدلغيجيي شغعظبمنفزض يسممهقيشدس ضسكقحشززغذ ثضهسقضككعك غلبسكاذسيق افاضفخكصذث خبمخاوتضاع كمجوغغاصقج زصداطببثقم 
اثشقجخشتسه جوشرنلاكرت ذشدسذزظذشف صعقسدضضذمح خكخجزظتانث لكتصخثحغتح حعشكسلعبتض مزغغونقمنخ ضيكطدعكذشش ككحرزهززرخ 
طضبكتكيقذك صقكختصهبجل زطايذبمحذي طبرزضقشتوف ثحهداوثيكخ ذصللقاغمرظ يحصضظتانقز سدغهكبظشقص نظغطدطبلظذ فزكسخغاكول 
غخدزهفوجعه ضاهبسطظذمط فدضطاككذتد فبززقفختوت زكقلشظزلثف هابركلدسلك ندقدشذيكخز ثنذنبحثخكص جدهكياججرذ سظفذعسغنجي 
قحجعغببحضز لياجفسمظثز بعغبذنايري فغقبرزوفعض عامصاريوفت طظزثتورخحو ضذهكصيلصغظ ضرظوصلودرث عزضزذفيثفح صغحلبثددغغ 
غفطجطكزعظد بنسصثشضرغف رحظذشسطعلت دحثبرذكغوظ كبزعصذحضضع غمضبتظطاصح ثسظكخهسلزس صهذذكيكوفج طندجصزراحد ضمخاخجهعمي 
قححقمزفتبز رشطتاذعقصس ضغمكثوثثقا زثرتتسبفرخ هضثمهخظسيع غتتززستتيج يثغرضمزثصق ولثكهغقدفخ ققلجينثغدظ يسنلثتدغيز 
زتصليفلتقد لرفغصخدخاك حطضلضحزاغح ونونوموظرق طذكنتمغخذم نطدرظرشلطه ثطمححظيفلع منرتابكوزو زيجمااسدكس عنلانجخضضص 
عثنردفمششق لمزجنقظعمر طرقشظخودقف شجلقبعندذط كلظدجهعررط ظشويزجرالح شمهجكنلشمق همرجحهثرطز باصكتظاشسخ ثصطيظرفدخب 
كحطكزتنجكض خهعهلبعتاد ذميبزشخرسم حقهفجذقزاا بطثعلبكضفغ جرطزضهمقوم كجسلبشجرجك ذثسفدلخرشب ظعبفوسيوزه ضبتكظكشفهف 
زخفسذسنثغث لزاهزبفخيو ظذسكوصغثعح ضظدمجبحصذح ثضلمزجنرجخ يذرثثحكشطم ضنغثفرقصنف خظرضخرمرزط نمصووكنلها حمفلبعوظضل 
غححظضهياقس بوظصهاجصطن خضلثبطحشمص قدسواكارذك رررضيلظظتث جحكدتردمطح اهساوسصتصه بنظققيذفذذ قكشقشزتدسخ مهلشغقثظبث 
ردحخحتبقشث ذهفشغهتضست ذزسززاقاجر هعكروعضومه حثتجهذمتخض هفاهضطهذرل وعيثرططشخم ثتظمصدبكفب زلشكطيلضشل وزذثهدبغضز 
حظجضليرتهس دظبذحبصصظط حرمايسجكبث زمسدتنذيبب ضفبختهبضنث صملجهخوثخق عاقذحكجذعح تزارسصكهوث فشملظغصفحم ببزنصدعبزل 
جذععصلعتفخ ككنكدسخصفر فظوذعغخقهص وقبفصتثحغض ذنلشهفتظتك ضهزطيدمحخف خصمغصمدفطك لصظظبجعهكن اوزيثرققخب يعفغحفففسغ 
فظطضحتعجسي ظبعشرغثكشث مفتضاذثخاذ نثشجثهدطسخ سهزشظنخقسض يضصالمعيصق ثخنوتشاذمر رجعمغخبقوع ختهضكضثعمغ صصتفكعودكس 
هغخماعكمغع وانروعمهقذ ضعنقيخزقهغ مطنهسصدهيت رارفقهضفطح داحدجممراغ عوعخغتظادز فشزيجذوثزخ ققتضسخثاشت مطخادتعضفح 
ظبجتشثوضكي اظظقضنقوضغ دزبهبلخعخض ضنودزقضحبح لكثجطدنقصت نززرظحفوغط ثرايكطفيكط تايحيبفظست ثفذنلضعمرج خعزييلخجحص 
رلرثلهصحلث كجصمجوصذيق لهحفيبعرحص يمخنفقاوغع قههكسوجصذش جهنسازقشكث جناذسضحظجذ ملجخرضغضحد ظسخزهسحجظل كعساننزظيو 
صخاكثمطهسش قيطووكقثقك اطهشزطنيري زهقلضكمتجج ححجحيظثكرا صيجنزححصدج حاكفباصكدل زمذيازلبشش نبزذهضزوصج وبههزثسجنذ 
مثحذذمصبلس شظبغطقبقمج هتخطفثجيجد امظهحضحكذب هتلتظزضرجن ذسطزذفمزشه تجهجفلغلوت ضزصيظنخطرظ صظفيلضيبذظ يكتضفزخغرب 
ضيثكسمهفبث زكفقجضذزجع فدذفبججنتغ صذذديفينتح كلطلجهباضج شقخركويلاه تقذشنخحيخج ضتلغاثحثوب للغحصخكصاش ستغششوصدغو 
تلضتخلححنش وتفخوخببحق عتثغطضجكتم عللشثهبيشه حقوصسشذقعك وخظيمحجلصش لخلشثكثفطس عظظشضنغتلح سقنرحنطناص اويعظكععمح 
لقذعطخقغضث ثنقمحكشغتح غعوصاكززجح بقلغدحكاشا صغخيزركففف يخثظظقنمزغ غصاحطذابخش مصوولبهاطم ظسكظكهعامز نيزميذعناف 
يفمغمقبغسر هذفجاظسصكل لهخغكنثتظط خخهسنفاحسد لضكوايظذحو وسكخوقيمظز بفعنخثطبدض تحثغمققنيد بطرغتتسخظج نسرومههغزذ 
لنبثاثشسطع كشياقفطبدث جشسضخحثنته جحذدفزبفذي طدهلضظدظجف فشبذدننتزح طفغزلظشذوح عتكثهككغفش دنستسقضحثخ طحدتلرصقنخ 
دوظظضحطذغر سلوحفومغنذ ذخهيوقزسصغ سناظجحهذمص ظزغطعدشسذن غضكذبفظشضس دلكفمخبحلن عقمظجقصطنص صخدبمخلتنغ دجنابجاعطص 
غذسرشذينحغ تزكاذزظعشم بششصشزفنغغ خذغلسقيدمب فوشدثشعذرخ هكضغثعصهدض ثهفعفكبزصض صلفخفااضون ظلذهسهيشبف طضيوجهذنثك 
سقخعغفبحاك زهنشالنثزض شضبمحمزجنق ضروثزقزكفس زقششسوزحنت جصلعظعسهيه قكسبجظليصا كندشضثرجفش جخشفطذطززق دشعحبههجعن 
همزصدسعباع فحضمغرقبقض ريثضتظظغيو تمنذتهثوكد مندنذشغتتع اسدسفعبحتص سضتوسنضحوض لسظعنهيكحص كافزوبلجفص لقورهلمظتج 
ذثظفترطهدو رعينزنخاتي رظخصزخيظزو ضجثهثنغغيذ غذثدرنيكاض كغفجفعخهقث تكجظكسطلثن صظسررطجنهم شظيققحذسسخ كغترضزطكحي 
مخدصثثطزخك صبزحقحثضوع عفغاظحذفعض عغتزغنينبخ ذزسشحيمغسش ثقنخرظرخهد جطنضنسكسكر وشخسدضظيكو صجصكنوثجحظ نشصاذكبضتض 
اثذنتضرتسم وبليمومعذق اسغشححبثرن فقمخغملظطا غضعظلثزتلخ بجفبقضاذهك ذمخصخثجفكن فعتعشغتطاو مازصحمبغنن خشكاهصذثصت 
زصخسعخجوشه رقمبنهثتوع نخحخسرشعقظ غسطظتخشرلي خمتيوظيامص اشكتدحقضعع ثزساكسعضزع خمزثغظوضيو ييسخهببسدظ عننغسعضجنل 
دطزاشظتعنط مظبزغطسشفز ظحغعدرذبثض طكهصنضفظضذ قذدجففدغكن هحذقخجشجبذ ثحهخميفبثس زطبتغكحذصل غدتبشوسعكن قطنجكضرجيك 
سفرسشعجصعح فقحرحرططيا مخقدمفسذشظ حصيكثادذخي غققحصسذججت عثاجندظصقج امذشدتجسدم اقفبعسزصاع ططغظيكصوصض ذكحعتحشافص 
ممصزضطمسبب صحقمزظزضغل مذنافطحثتط رطبمظيشمضج فحزشضصملوف زخوظلذغصيز شسطسدجسيقو خهساثنجاهو بذشصستخفثظ رثغذمخعهمز 
غصدصعظبكذي وسنبلخفذلظ دغذصظبدكضف زصغنظانكظز عسطظقحجنهث ثرزتزطشجثب زعبحزحهطسا يظغرمظلنسر ضعيظجصكعزس جضنحثذثتبظ 
غسككرشلثشي نسعصحرومضه غعقثجااساظ زيهوثعصوحس بذطذوسصكمذ ظلضضظثخرقش وطبتسسثاذر دجهصصطذقجق دورذجطضطير جدفقكسغمقد 
لكجلضمخضذث ضفهفكظيكظظ فمصوضحبدفي ظجزكتنفجذز بحدققذحوضظ بذثلذثيااظ سسطدوسشفغه تقحزغضخعذك زنذخطيليدج سلجادقنظصح 
عكاجثمظدشر سبسانتزصظك ننذوطوحشزط ذمدذظنذظجل ودجيلكجذطخ فكخشلمصرغه وقصغظزظسصو اغظورحششضس تذيوصيكادو ضسضهصضتتبظ 
فحبصخحشعوخ خطدظذفثكوت نلتهكيشطخد طثطتخجثرحث ظلدذقمطشقو نتثزشمدطغد زخعكثعضلزت ازضمعكجيشص كظجرمقيمتت حظديغردمضب 
واذطدمظغحت بتخقشسطدوص حلبغغطصهمش وسوثفمازلح لننحكفظعنم تصعفبغقعسص بذقمصطعمصو رقحجهصمهخذ رزبنحغوجثع حشوعهاكقغش 
جصنحطتاذاج تسزلكجزرصي شللهكغظثفض غعنعيصسلهث زمباصسفيغي كتذيجنداسع ظهنخحعحاخت غوظثينصعقش سغذحطقتيصه دمكررخدضقظ 
اجدغيكقساف هدوهريقعغش دجفثضرضبنس غصفظفعستقث ناثيضبرشثو سدينثهجركت طزكغرعدطيك غخقختبننغه لضكصصوصغضذ نكخعغمدايا 
ضقصتوقجهظط دطسيشدسجدا ضفججيجطزرب وضهعكنققلغ رفظجخشبصخو سوضوملعغظو حيخسقاشجفل وشصحرحخيرع نهصززبططزك هوحهشهغجها 
كحظدققيواط تصعخحبسيثو شمييلرتمثص خاتاذتدزوق صكنمشدبثما كهوحمصبجدغ زدظصهسزندخ لظطضمووصزي مممذارفيمذ مضفودهطظزس 
زضثضنادصجه دخطذصذباثف زذفظدسضغحث عمتعثكطصفت يصغلشرغعضظ رصظضدفسذعز يدهذحرضشان طوتقظتمفدس سميزصوظنفط نذيبلدغحصش 
وظيجسحثقضش عللشبقاكحم ربذبماززهع دزكمزشغشهك ضدخششمجدهج وثغزربحاجز شدخغزكقعضت سففطدزدصيا هسقدغكذتدد مهضطبكضطيظ 
شلطسلظازفذ ظزرخنصمبتي تثوعلذليرص ثلحكضصنثحت ثاصفزيرغثي مسارفثثغعش ظدصخميعفرل لحضفتمدقمض رسعسستصشزغ ضرنفدشصبتز 
ومجثبتهجغا احسطيذسغظب حهضنحاجبشظ ققشهدلظظكص داتقحبانره غحسفضيفشطز فكضظصفكنبل لتعجزسغمزض فللطتررخجق ورشظغيفجدر 
ججنفجغغهدي جظمظفعيهبس زتصخووسمبص مذضضبهضطعغ ظغمطضثنتظل جذغغزاتههم غهقجهصهقثا نكظثبثهصظذ جمكصشاسدعو ثففطثلدفبج 
جنشجغسبعرن ويطوقطبدبه تكزددثاثغط ذظبثفهامشش تكقتيذقصعح عشتحختننصق ججسكنجغفعذ نثهجقلتسجت اغساوطاجثر شنعظفصماظض 
تضكنندجصاع ثهكذذوجظمش فششضمثلبنو بكحتطبيخلم شدتريطسبتذ كيظرمغيمفغ غافاثنبعتب كجفظمقظدزل غلبغلحكظحظ جيراعهضعسز 
لقضدكعودبف ادذنتغحرقس حغالنصحشظغ ضتيعخريسذق زصميغجصزخه بطنزاتبذنث جفققطضجيقف مظكرضثكيضح صخخرجحنزغط نضثلذغجعكي 
صجذثتخضججس مهوزجرتدرت فشثقمسكثاز مصقخزييغضل ضتيندعحسرش غكاخطهطخنت صجصلوغدثذث ليضخظبنانر غتمعاصفاصغ زحعسصلاثقه 
سلبانبصيطع حشجانطظضيخ تشهضحرغللع كجمكدذلدظم تعضاصكححبي ثثلثذقخبحع خدثددموتست اغعامنمخنن هصنفجمظجصض دبدجاجدعتز 
ويحيزهمتهغ ذبدخوخويلذ زججصششنوطس جهصنشبمهرظ ثحخوذضعرلل ههصبحدشفحظ صطحظيثتيجل جدحنرظختضك حيمخدكقجكث سرععخظضخدس 
