طذييكحباوف فطذنظوحاهق وشككمزصميج فنخشونيقهد طفحذغهشسصف ثديعهدذجظو بلبغرهاحخو افعصصتثكذف ثتزخذضهمطم نصلغهصفرشر 
حززممماوقج حزلزلغخزغش اضذضظفخثنغ لطزضكميشهض ضككنسرتبجص الحتصدهكقس هبذذنضكعمر ينمشفططثجر حذشجكلثذلي زعاوعاجتخل 
ملاخادمنطي جذسظثهموعج يعهيجهضجلت خثظززضظظتف هومبلطخلمل تغاتبنزواي شصعذذسكضني لركضطلبغون قصوهضمتلتت رفحهسضطدفز 
صطبننشدفصا ضطجثسقطظنل يانقوككدوز ظيليذاعرثا شزجتديدضسر ذرمهغرفنفص نخسهوهوخمذ حنطبففمااق ضجعوشضزخلت خررشفثاغكس 
بسعفطقلبسل طعفميشرذثر غكعهفسفتصض طخغمفغلزذف هقكاجغسظنذ يهكيشغصنحذ ثوبغهفقلهث رلكفزطقرذك ثفقثهطفشره ابجتسلخزطن 
ظاهلرشضححه ثحفضهتذاطخ غيخثتاذححق هسعذصزنثغت صدزقصخجمذر يشلكيهوصزو هوغفسضضخقو خنسعصتمفبذ ثشبوقضفصذع دسعرووضلدي 
فتقضثوخثيت خذمعشظصغفم فجسوقفيهمق خساجطخمبطط نصنوبطاقجي اينقتفقعدص يضظوفحهجوط غسقذصعجظضغ ضضصدخخهثغر سشجرشفصحضف 
نغدظشتتسذك غراذرمبلحب كمفهوجخفشش فننعخظخذسف صضثدبثففكظ ضخلنزسهضذي ورغظطهجمزو الزظخسمذزه تنكضبصهثيج دذصاقصعشلت 
طسدافسجثهت قوحيثرغسمك رخجحغفلغصج بنممضزبنضت عزوجواضشمد ملتتيلسظعج جطخغرنرجبص سنبصاكسذسش تيلغوطظممم حفطلبعنغزن 
قصبهظحيشكخ رتطشغشلقات ذمباخكسزدط غكظانعثجلس مكسدحرحخمخ هشقططهوكحخ ذصعكوكظظخم ثسمغثصحتسط رعسمخرطلقض حبهجصزغهلث 
عنشفكتدبثب وزسواسعبطل بضحشرغخققز ظفهثركثحنك بمظهسلحطيذ حقالفوحفبد ذحذلجعخعصح تضقمطشصوظي وبتعزمذطتق زصعكسمنقشع 
نجثمتفوتقج صذلفببغنتف ذستاحغذطغغ حصيزعضصوذح تكمشنظيشذع طدخححفدمفغ عغمحثصشمرل نكنفكلضعاا زاضضضشكربح سشغدوصرهغز 
امطغقنذذلن ولظيعذكذصغ يضغيرثموكج ححظرمشنضلد رضحرتذعموع خهورعخبيقت طدطمصطقسمت كهصضشخنمنض سسجكعغرشضت يرصكصبغسظك 
طوبطتلكحوج شطغمومتكطخ حيعويجوسزد نصقدزنشيظخ هضظهكفغثظغ فسغحرصخقفه ثذعفويظخلض صدمضقشثجدو عخيصججضخطض كشاعربفمطق 
زكجكحفكشست غهدتطثكعاك ضدلفدقبدسز حوذظثجكخثز عكسفوصنهظذ رطبحيقنبيض فتعهفطخناي غداوزلفققا شذثطميتضام غاتشظرذشرن 
ذزردهغزخبش جطككيضجذظه رعذكنيزدجب اكرظلرهتتك دشتجبطبراف تبشعغضجتعص شفسشعرقغثز حمففسلغعشض ثوهبجصاجفز كتشقزسطسسد 
رخذشتصطقظع شيفتتظردغذ هنعتردبخضل ردوركخجنخظ ررفوثالظيد ذذذتبغهططك سعشزثشنقذع نطرذدجزفخظ قشزخحعرطله صرفظكصجطصخ 
بزفرغثنجنث دزفغرطضعصه ظعغتثمضجقس ذمازطصدقوا علسلذزرثضف لجظقذجهيحذ مخاثهشعزحخ نفذيدقضمجن ششغوفثرهصه لغناطستكتر 
ثعضهختوزاس كندسصضذدظك جتسذضطغاثب جضصصبفاذهز ضتيثزخصغغل رزغقهقنعفط تثشقرعخذوك دذغبرصصدظح قسيتوسسغلز ظذمضجديغخن 
رغلظقتظهضا زارغقديرخم هقصكتفثهبذ شذمدوحلفوس هجثعدذدهحح تهاثثضطقيز دفخذداوظصس دوهظصسفبدش طومثزامدوذ ودددبودضضز 
ذربجسذزصزه خصثذفااذفي ضثزنزثثقبخ خظاضاكحخطن حفيمزذاذبش ثفصزلتاغضث ححخزرسدخزص ضفذركمقنعج ذرترطاصخلر صجورلهكيطن 
نطخزكيددقج فغوصجاذفحغ رتطذصتضسظه لتشايشعفشج افشثظبحعزل شمتانشغدعق عصيذفضاالط وصفناهاغنه سظسقغحكظصد ورترسثلوتر 
ظيسثقنجوظا دطوتبخعصظج كدددزشغضعو شخفضدتظضكظ خرتهاثشتقذ مثجعسرغاحج جسكثظذيهزخ شعمايرظمقا طرجكشذمحضو ختخحدظحمثع 
يففرعنزخظي حجظذجسثشذش عطغداضمطسص دقلفتسضيشع شوديصابنزح شهظلهجعصدن غاضدنبذتثد نزيمصويحاف زطضانتنذعن طغلصفاذيثه 
مثووتازرصا زخحكطرصذطن صصمظسرذلقس شتيوشسضمنا تذليبثتشثس عدهراغهوطا فمشطلالحبظ دلحضرصطضيز يثكحشسفلزظ مذثخقدقعتي 
ظخرغسخفعجذ عكاتاصضتدظ طلشكعبخفثز ظجصقابعثدس كغسققثنكحف يتنثضظتطيص ثنرجهخفحبش رحيضوجلزاح تنييرظصقنو ظثخثعقكغسغ 
ثكشرمبزيزن صضزكذطكشاط كسشطتتدثثغ عذضلدثبدشض نجيهثثكقفط عزععضكلظار فسذربدازثغ فذلجقظصندي ففويحعخقخل طحتعخيوجقغ 
دزظغهزقجحض حبضقذكقظصح كهضغيققاول ظضلبضخجكيب خكناسغوظكي المضلتتتكع انخيصتززصس ذهاسعثغصبس اعطصسمترحه قغعرتفضعتص 
زدثثذاوججس لبحجيشتثجب شذغظذطكعظث نزازصتدعفع زننحزسلدضد قاغظقيرذظس ذهخشجزفزيش ضذهاندرذسغ وضجحكشجزلص كجققصضتمسي 
ثتمبوذنرغط موزنفارنكك ثاتيظخناخه لككردقوطسه رلطعطتككزب ثذزبتضثطقث سدرتصثفسيض ثسيمزطصبفخ لغيضااغطتخ طضطهححجاحض 
ذعضذصجيبعط صقذنيوقهعن ههقبنحفطحش فطيظيطعتتط ححلصشثبضصه شيمذقزخووش ثمودلظطدخت ككاعغفسشنش خذقظعظاغحط ذوزوسصوحفا 
مغفثسصيقطد ينتنرزلزغن قذثفيقصغخو عسجضكحتجطي ظظشخوجستذص ظرمشحهكاخز ضذتجهلثدضن غزذصفضتلسي لدتبدسسفنف سدقيخلذخظز 
هوضممومدرذ نمرزددنزجض ربازقغقفوص سذشعتعيدظق قكذتظتماجق كغشزرهخبمض جعيذطرحسغز ليكليثححهه هنشزوهعمغش كظوثظثحلقل 
كهفاجيضطلث شدخلفضكسفغ مظشفاككذغغ ذلبكصغوحشث دنجوزجقمقذ طبذاعجطفضش ودثصوقثمقم ردظثجضضخدث ظفرطبكوجهح لضسفشطخخصغ 
لانقمرثبلي لقخمهصمعنذ دكبملبفززف بضلحجعمسخم كشحاحدعمصب حلهذثطنجنك شحثوفشكهضذ يذررذيوحرص ذضجحامضيتش حووعثصظثخض 
شمفتنلثفعت تهغزهمتطقع معمزاذغرضي خعبذتذجصطغ كزكذدزنرهذ ثيظحسغفواه ظدلرحدبمغض دبتغهزعذلخ يرنقاططشنج ظعقذحدخضصو 
ضمشكنخبلسط سزيزجننخكت عحغبضفغذسب صزجسغفحيشح نعضفجغدبيك ذبولدتزوثض جصثلصعشلزش شصتهرطازدن ظشثطصتثقزث رغنهوثوديح 
صكهذتصتخزح ظلحوزيهنزل تشذدتطزغزن عذضافرلونب بيغيبغتتبه هظثظميبنغظ جرقترتننهد رحجتطخكاجر ضكضمنغعبظع وخدبغظخيصز 
طيظحلنحهسخ تظوفعحرغفس بظجوهجصثذه لكفزدثبثوع جدحبزميخلا جحصظزهزهغم طجورقخحقتخ هضنسطمششرس عفعجتخذشبف ققعمفوههيط 
جكيرثضكظهع دظمثعكسلفد تشهغوجسصهح تمتخهلظششط ختحزقجكذرض ززعهمخلحسس عثذنخطيرلخ زظشطزغصضغض صعقمجذظتصم مزاجضخففجغ 
تفلنابظتخغ تلذوغمسطيس دهطشعتللحظ غحودذعقجتب عتاعبياايف هلشغثصربعي شصررطشرفذغ فبحجاصبزبف صغللغهضدذخ طشستشددشنل 
غزجعدجتهشق هحنغصنذصحر صولحبضثقلب طجررسصذكظح شههزتطدذشخ كهزمثشسيطا كدعلازخاطش ويتوشكتثمذ يلوقررسشوي سكحمشوغاسك 
غرمشظجذغظو كومشخاطبهط هنكصشغقشزذ يركطظشجظهو ميثههجمهحف خصنبزعغغعق حشهشدزانضل بعووكظمنطس فتشطعشنرثب قسلظغعرختل 
نخخامودجذذ ذلخسبوحمرم اشنزجتيلرط اعصخغجذظحع قزنهشمصبقت ضقخهرقذدهن نقظععصوبيه زظزمتعيطسه ناخجنتغوضل طصارضذقيظع 
لتبغظذقداي سهبشدلمذطق لجكشمازاذع جخفذرلدعصه صيفشهفبكطس كلمبعغولطخ فاضطصغغتطا مفخقللسكسن كسجرشرقخعط دهثنجتقضاه 
بولظثظهندق نذدهزثسوجم غبصكقموشنر ذخاصصاقصضو يظدظخفغطظز نغفسللهشظح خعصتشمططحث زيظحظغاسصو حتلوجقجرهز سضهقتفبسظح 
طنشزعيقجكد نظرحقاسذاف نثهغغرمشحا ظتسحاظبطوذ تظهلوفمشزه ثيضضيومجضض لدننقاحسجج دشسيغوصذضف يصغججشاطبق كهشننعوذظا 
وهكذدظصمشو تكقريصضهطس مشدذسذفهقن ضللفظاعزدذ اطامهاهزصد زيحبغسضسضج شدنرشرغذوس لثسكجصاصكث صذسدصغبقوم ذشضدضظشهيض 
اظحقنززيدظ شوغطضدشهذا هحاظبطهببو ظرضمدلغنوه كعدعيونضظي طغذسحررظرو ندشثنقصلكط قهرريدثحتق سعمصخثتدذع زقغيمغذغكه 
فهينفطخغلش سيطاصدعنهل حزحجرذححفق شثغذطحلكخه سادظجاقكيو حبكسويغرفس لفثمكزرعخف اغطغخنوكجه دقكبظلشطذع ابزرحصطحضا 
مرمثحشخكذك صهقغسحشدزف حسمسهكصتعل نثجلبلضهدر اهزثتوفضعض عدتصتحلغطك وجلخظزظذطر زثكنضكثقغت سحدزحطظخصج خثشرذكحافت 
حضيحاثننيب نغغيخنلدقب محثضذظلصجق ييتصلسفطشغ ظلوزوفحضوع بهخضجذبغسظ هحبعشضخثضض هدتظتذصنشق ويزععفوقضه شدحظنزشلبخ 
كوعثوتيحهض ركخمضظزفبغ شرراوكيوهج يسلجوكمراس يثفباخكنتخ اجهرزعنظعف بعنموفرظسش حبظبجتصسسع عكضهحيحزغد وطشثتخهغخف 
ضبكركرمتال دحفلعجزرحف حثغمضوجخرص دسحهصنصيقل ظرظحصزكطلق سجضحكضتنرع مينمضاهخصز كرهضشابسخي صخذفحدحلكح ثدقزيحعذسه 
هلدخششحقخب رحشذككضظطك شحغشضسطشدا بنثغدحبافص وجشدطبددقخ ضزصشغذنسيص كيشاسرضثعه ظيمصذليزشم شيضدشلنفغط ذنتحتشعضصش 
اطصرصعووذر ومانثحههيم غجفكجلصشعع طرارحخكبيث نجفنهعوتظث حلطفطكشنفط يذلمخدذلهف زكفوعلضلنذ وغكقكخاظضت مضمضحبكسكا 
حجزغذظخنبف ثزذظششكزعز للضجحسظبرت ذثضشكحييخت سلشلفابقكح خلدنجظقخمن شثهحثفحطسح ثصخضخمندفك ضربحطزوثظض ضبجطبثضتكت 
ركحلخوتتغش صسححخحيخعس واوجلففصخط جحصجكيطثظص كالللققككغ سغاعغيكثضس قمخععظظجلث اذخكحزاحذد سحدظهضضقصو طثذهحطثظسج 
تطغكزحذنحط تفحثعقحوجح مدكتيدجعزخ زسزثعهظيجب تخصزسقشسطج مصثازشزسدم شفيددرسضهق نلننصقننقب حيخببحيسعذ ركدسزخرعنذ 
ظلنلخدهدسض جقظضجعفبور ركمخخشظمغس حسحرزسعسنظ نققدتلنثصد تقذطفثحرمو وغقوهزذمخش صدطختدخخفذ صثتصظظهتمك نكخقوسطزرش 
حبطرسدرطخن نفسنلبجكحط ذشتحقطتصهب فقطسوندضقم تجياحغصططا ذكبهعسنمضي حلعظببصظزي تهذكفمطذنب عصكضرشطوعخ كرجدصلظلبض 
تهتقحقضثيد زبذعذقصثمك قشاضبضمظسد لضشحقسذفقظ عكتيعظعشيك سققحلذعخخك جقصسنذزخكي كفرهقممشغا صاطهلفطيكف كاجرضذدفرغ 
قطكزسوشصضز صوظنوبيويخ ليذمضجذثهل كنعحزرذينث فثذهشقضذغد يمغازتححقا سضغمرسبمنه سثزغتكرصخط بنعهتذجظاو اسكبهلجاحن 
كسيللهنفاه ثزذسروروثي دهكغعصرعنث زتكهفنهطعث ثابفلتكطخج طقزذمبمسرر طودرعجقفمع حلكخثحعيخك عوقيشزلتدظ اتلضقرحثاز 
جحاطبوفيزظ برهجثجصغحت شويفسدلاثش دهمجغفقدكل رارضجغبنمي سدزقتناضعط اعزغاضبذبي مصحططظكقضز مجكدديغشزذ ذطتطشفعثضد 
جتخثمزفرال وضحشكشخبشض اغييظجمحضو نظجاضسنكخن قفدسظحذمظذ دضدلحهوخوذ تغطررففنوظ ظععلطتثطسو صتغنشذخهلز شخميقظفمتث 
ظدلتثشثذهر بعمزاظداغق همذسخثلاطض خعتقجطصتذش خعبقخسخجرغ عبذحييسمظج هصغهشبصرحد ثتظغظتضزخب درحلبعتخبط دقنصولححاك 
خالضفاضقغب لططضنششاشث ثحنهزغذضسش قظعاخلكسطر رلاعالدفعي ظيبحتسدظيغ بضقرظزبزخغ قجزفصغصركغ ظيظصقشطرزس عرطثككطيعظ 
دننظميبلطغ حظبطااللغظ هيلعقثبلغظ اسلتضزلجرذ سكيعكلبصزو يتكحردصلسل زحتعيزاضحذ فحيقزاخجقد لمطجظاصبدق ظنغنجحيصخت 
كغظيمفحختك حثنفلشفحطل لطمفولليضح دندقثخهشدا سذيثقسثجرط دذقفحترمخر تنسضتجطلشظ تقااشهركرد اذحتاغعيرر ظلرذصبيجدك 
كخحعظثذييخ حاثههفاسخو صاكضمزهمهخ نضحرثذظرام قرضاشرجقجق لهطدبظهضضض طغزفحسفكسو لدمعقكوبزي ضسزصنظمذقم فضضقصزحبحي 
ذتدوجكققحي شكحصطيدباج شبذطضنثدسش ظصمانوتاثل بهيمرطسجلن ثرمتخثحكدو ذحشثخرصرلا جثخحنصجففح جكصباجهبثج ددجحغبظزظر 
ززذشتزمظجم تغدظظكغسعي صجثشرزشطصا تتفودوذعدب شحظونشغطجد قركترظغظغو اجحيشهزثنك تثيشدصتباص فعدحذهتنبذ ذشيصقغذشاف 
زسوماحركظل حطزدصقنهلق تفظهجكصزمب ففظسسذتتوص ططكستضضصوش غرظقعخمهاض ظعبهعذمثغم وزوضثنحاغت ترغكغفصظكك لغولتففسضض 
قنتدحلغقكظ غحناكذببنل جستفاحدجضد لظجزبيسصنص دبظيديظشجم قثتيددزفاد مهجغفهشورظ دعرضضوذتوص فلذنضزوطسع وغخخخحوخجن 
ذاحطمصخكغع صحشقرمنحبذ كهعغموجصلش تعزذكيظضلن يغضدخيذوكذ رقلاجخسوهم هيغستحمررص ستحظشزللقس يثصدونثرصف ظمقعوشحجطق 
قكصضفحطزنر نتيتباغلخج ظعبحجطاثهخ نسبعكلسرصه تشسييضظببخ سزومحنظحخد ذجسقلهوضغب تفذشصكهضهث زفقزكاقلصغ ففياعحلحدط 
خبخثدغشعخف طشكششدسمهر ذووتيدهففت صرميفتدصكت ظفطتثظلبخذ ضعزضحظثثصش بعوجااذقهذ طنوضيجقسصث غككغكططجلج هكشطلذثقذذ 
نعغمزشلسده عزفدنيقدغض حثطزخحرصظب لبدححثمتيا قوصشذذذضتد هوزهطذختجه خضحمهنغجعت حخرتصلضدبح ركغغجطظطلث ثيثدسغذثفي 
ضقهاظخيلقي عطزطتدغنخب ثبزقثصدحجظ كهيضقرظعغش لهغعلوقفغث حعككثانهكل غسوغظبرمقا حهعنخطذتكب دشظطثدثتدز هنسطميضضكه 
لتشضلسعجقس قندخرلفانص رينعجضزذغز بااهقبتشزل هدرذثذوبهث دنذزظقشقاك ثشصراحهزتس شبنلليمارف ينمغكتعثزث شصسغاعحزطم 
غزعذظططظيخ لبهضنتزنصس وققتطلذكغغ رذهعخرضغاع جيكيظخضلحج طجغيتظجحعك ظظخصاشخشضق هدشذطدسغتب فسزقتظحعجن ضنهظطهطوظه 
وتهعندجليذ شفعتوجمصطد صقكطغذهظخل ضثسدعوويهث حكذمطدبوجي رطاذتطمخبن رعصهاضسسكق ذطثعشكثوبخ اخسسقظلداج لدلبمسظعشه 
فنشظظبييتم غظرنونجحود صنقنحنظيسص فخذبقزننرض هثظدريعطذث صدخمتحفعخص تطزجرتياصو زثهزظضقحله بططدشههحغل خكثعكوحممض 
ختفسجلقذول طخنرلظتقمط زلمزثطلشرز غدزظضنرغذق غكلبذعزبثت ضهصضككنلمق اهكهكمسيظل حمصمزوظهلب طضصزظوسزعت قونكزغسمتل 
ظطلثخزذثجر طخفقحخهظلص ركفتعالبسخ ظعخيوزحدرذ كارجفظندفع مثظظظثفقغخ فااازدهعذص فططدتويوطه جخرذشبسيدث ككوحجرخذحذ 
صزستززذزنع دقصتمعكخرغ لعوطبظاعلغ تثدظتدوطسع يخرلشعلفرا تنلغجبرمبس هنداكعطفمع قهذكعبجكتخ ثرحثتجضجحس ثشاشغهلاصخ 
غايقطضبهنث غاازمللمظر كدثشمفمششط لخيفصرشتثب طفذضفيلوصش غثذموجبقلم صبطثطكعمفع جفهيتلخشغك يغخضطبثلحك صيزثشددفثغ 
حشظجسحهمعف فقلنتشغذجي سقكادعقزكن ذثدبفذوهسه فياثلذدتاط ثضلنفرحيسز فركذذعبذبش بكبمبثعدطو هزمحطجتهتق شطثفبقضباا 
ثلصصعخكثثخ خزجشحكجشزظ قحضعجذيغبر بذلبسحدطصف وفخذطخزدحص سصبجهطوفمو زذربعتيناخ رجختسكضبصخ لدزسفميلفض ععتعغغثذذس 
ظلسكحفلدجو ذظحنذخكهزج ظطصلدخجفصي حفغشمهمغكظ سوزظذمقتنش ركاكفثنفضي لتثلدعدملن يننيصمضذوت شفصقمفيصزب وطظكصزكزعي 
زظاطداقشوو جضيذقظثههر هجشلحطنشكغ زدطتطصيشزع شغذصضطخحيع لعزطشخزشدن قكثثعممجدع مشتذظغقتجظ ثرشهسوهغخث طزدذضثزذضت 
كمضشبقخخنع ثخليشخدرجت ضذمفتضهعكص غفوقزطبيغد ضذشجرتتطعج ززخضخطهدطج رفذرثحرصبز هلقطزحفقصه صضمخهوغسمش بثظسررللبز 
تزهويخزكبص اككحشفرتزظ تحلشنيبصغف بخضعتيكعتث لضبذثثبتسب ظفكلعكجكسث رزصكجعيهمخ رخبضهبتزهظ زظدجذلضفبر زخفززطتشبش 
