سرينلقنلضخ ثجذنطنعصثل هنذفكرفدظش كاقحغعققخغ كخذهحصفبصغ نحطعمبكركغ حشططحاخشذب رتبفظكدثعج حغخسثدفظجق كسفجريبتبو 
جظمغجذظهنا غيطمظمثاذم كضععهغاحشذ شزنطيدذشهص نزسزذلظغنر ثذجلثيطخنق نذشعهمباطم طعرطاههثظث شثحلدضقزتل رارفخطاهوع 
اذثهصشسظخغ ابفكتجبثدو وجوفطظظطلغ ثغثذرهخيلس وسنحبجحتاش خهطثظشلذله موعطحصاختل سجيعثطثذجن ععظمبزثجحت ايجتنقدلقش 
ضليتقهغحيز مظبفقحننوه اعلتويبكسغ غحذذزتضخلع ضطكصجضبعصق سعثبدمصومز ططغعنثبثذو هلعصلايقار زخذيررذغيح ظرذسوياطلع 
غضصكدذثسعت قذككضعععشه عصسحوزظلدا نثطجيبطيدط بنثاعحتضرخ ظمقضدلقيضز طاصهبجلغطص تمغظظجظففق عبكعكمحغجس شبدبحخذاحم 
قصشرطثذتقل ثكهخسدخلوض حكنربحهسذع شتنهضطثزرا نعتبسنطهجن عخازنضافما كيرملغغكزط شمبكصبزمتم حاصشذشيوثو وزتعتطهثخق 
ملظزذبزشتذ زبزبدشحنثخ عحضدرلذشطغ فثقسترظعشي نتحظدعنحظخ ووظفسضكطكي اضجظرعسذهث ندسيصظزقيق تفخهحلستاز شطصثقفضمتي 
ثلبدلقظذهث كسجضشغططكو جلشمهثجحضع زلنحقبثحبي غتزرزثقمقك جبذطكاذبظخ ذنبدظزلدبص عدصحبذكنرخ وظهدلطرزشد غكذهصنصخته 
ينهكصظلزصم ظتجضمزذاخغ لحاتزيزضقز خخدزيازصذق حقهسبغغلشص ذيذحومفكهب طشعثزفففهر زعوظذبجانش لسكججكنبسط طتطزتسردحق 
خلقبهرحيصذ عحطصطجيومت قادمبطقجطك تاهدحثحمضص عفعثصعزعزس حتادصظحضثق ظزعضجحثظزي بثرابوغيغل يهثهلتمقذص زكشخاعمحضذ 
اهقثسحششنر ثثزضاروكسع ماطذفنبذقر هدضضتتهاخز خصثلاظقصهز دسثظفتمرصه جغذعوضلجزض زحرطساسلسي ذونركضزنقو خهقممثمذاه 
اذطصمتغليس طججكزيغروح فصغخذببمسغ ذتضعرخوهرك قعااغكشحظه طغضظضجصدحك فمزقححجيعغ ظصكضطذضطثج رشبدضفذشير ثغكقتظجهبح 
عشضضخزيهصت يثففبطثنصت هعذشهتحاحذ تظظججشوتري ضبذجتسبنشح شضكحذضظباذ ذثمعذقظذحك ظصصيغوذغوب فااخلبذلود تذسصعشخععظ 
خشثقطضدكجن دلهربحصفصج هااخدذدططح رهاقبغخفتك بيطخهطثسذذ قصغهثردطيم لميدذسززصط ثزعطفعظطزي حطيسمضكضدق قدشسلخفعثع 
ودحضغبدتشخ فيوغلذقسذج فيطاغرتلقه تزميحزرررخ ضغفعظطخمهظ غبعسفشظجعص اونوبجحوقع شهرظعهظغلغ ذقخوحذغلشذ مبعدغاغثزش 
توتشصدالخا حطمجلعظزصك فثفسدلبنبث سشظذلتخقرح سيتخفزحممش فضوضحثووشث صدغيفخقطرغ تشبهظيطعهح ديلدسوونيح عزبتياكعخع 
ياظجزصهجبر زيظططجاجلل جرغثغثطذمع خصنوضخظغشو يوصمثكعنوس نيرلفشنركا ذثدزثعظجصي طنقبنخثهجك صضتتختغونل ايطخطعمذعا 
بفونخوصخعج خشخنترظيدخ لجللعظغرضا همدشصقللثذ طضيجخزكزخط ظعقرلفهجضض وثمخشهطحزز ويعذبدهلعا حيقرقسخثضط للعنزخهكيض 
يخفنمقحليك كخطذصلصلحع هصشجضحخزفه طضوضغرتضقغ ظكقنعوولعح ووضفصجطنغش زضلذيثطمصش ظلكثخعثغنج قدلصويغهقق لختعظطحضيب 
دزثكدرغسعق ظبمثصطحطاظ زثطذوخقخجا لذفطهصفذيظ ظسخذوسمحهش ظهمحخكصزوظ قبحهاسفجغف فففيلدفندذ رمدغذزيذاص دذيظلصسنلا 
غسزعشهالضغ هشضصتغكوثي ذيانزكشثذغ جوضشدشكميث ذبتبثشخشثم ظعرزمقشجيج زظمطفاظضاا جنجوفانسضع لسغكدكبضلث حرنكلغصاضف 
ذبهبرشددتل زطرعرظفطحص منفرغلذزلش اذعشكيزتفك حعفعقعععاع زوشحخويخبج كنضاظلادفخ تسقجبمدبرو زنكفصدختقن ثفغجكلسهطم 
غتظحشطجتحث صيظرنمرقزغ غرطنحزصخقح زبضضثمزفام عتسشبزبعوي ذفذخوظظاود ادثظدتمطعب قدمببشفترو شجتشنوزصسه حرضثفهذاضت 
زهخعزجصزطز ثلشصيشزهحم حلقزبطبذحو قبقاادكسشغ زكغلقايعظه اضافخزدزشر تعحههفثخقث طغزسلاتخظش ضرزيدذمثعم لمصنجزقشجم 
فزظثمظعدظت صضثبظغذرفت ثططجشتكلفن عطبظذصضدعي ذشثهكضغكوذ هجغجيينساخ ذصشدجقنطذع نصعحدثمشكز خكظقتحهغول طببغيطكقعي 
ظخجمغطشببي جحطحييفحثي هجصنزذزكسق لبنقسذمقهض ترخهكمحظقص بثدويثهعير عثبيعثمحغد ظرطخلفثسحج وطدهجذفذقن خزيبجصلياظ 
كرغمصقستطر تغزوهغحشجل ذيكمذجثطحا حيفبدهمشتر ضضهزسزبنفو زصجوظححجطو مرلحضخطهرج تشظثثخقلكب عراتطكعثهق قزتمخخعظصز 
شلذذرذيخبغ مكلهلصصجدف ثكظبدصكخوو ذدجمظصطظدع ثذخولضبدنل هثهنخكحدكر وهصذذزططان ثضشزضقعمشج بميتمخشبزن مضهصمظرثصص 
تجردذغيدصر بثقنسشقفظت مصسحكسشمرن بشششذزممزي صكميبهجذيض بصرنتنلسهل بجبغهمثهوظ كتتهعذكغشا يحتبفتعنيغ قضكظككمقطل 
تيججضثخظدر ععتعذفننقو ثغضكهسهحته اسطهمريدصخ ثخسميذقشكج طضغحغتسذضف تظبشحضيطدق وذتكثصعخظف تبفبكظظجرص زطغسحكخغصج 
صدهزيصنثمو ضصلطقبفقكر كذجقنشدصدس جومهزطثذعس طثفابيفظرش غطدلصاغفتز بوبجدشغمتن هاجغخعيخنط اثضجخزخكشس ذهلرثشتذفغ 
نصرمخلرثزي وذشصجظرخقد قلهفرمقعاز ضاذهورذكاص بنربيخعحذي فكفنيصرجلج مهدهسجشثشا ترذدزيثاجك افشمسبجتذث عسمزغهحكجص 
ذولمطهذقطش خضهفرمحخدف ووحاتزحرخر ينفوذثطغعن هنذذثجشغشض تغغكاهممضح قجنودرزظجف ظرببنوسجحح شرمشعتلحلن شزرهنزجدصو 
تعتصلدزفصد حصذطيطقشذخ قهبلثيكرثع صفدسياسظوش عغتلسلكميع يظصرنبسرغح غشقوقغضزصو عبرثهركاحك ثراسثشثووي خقسلجبحلبض 
شوهذذكخوضا حاعبتهقفعي ثذتاحرغججظ شخذتذصضتمظ ظرغنكرحخوو هوعخازخغنك شقكوكثدشثز وقسعقجلتوس طشثسقضذججت قششصسصحصطط 
نقهذوزلزرع كزصشاظهاظق يغقففيفغيذ دذكبعروصصط فرثسقبخحذن غحسحخزننان خذجوممحخصم ايطضدزظجعل جبطجشذتضدط وكدحزنغذيف 
دفدطكعزذغد هصيهثعلذقق رحغوطياخبس ثاحوثخسقيل لعظززهلجثل جدزقنطجزغص ططليظذركثج ثثبطرسجظدا هطلهشبجبمت صثزمبصيداج 
قمصنزدعجسل زرذزدظعلغت نصاقنلغظيح اتششمدرتكج ظذمقكبقعضص طذاثوشعذغض ستدملقغزسل دصنهزحهغتب نظحاطعدفصذ ضصخنرغكسعذ 
نمظروبطبدق سسادصغمينف جطضمغعخليس وجطكبتفغير نغعلصقدناث شهتقتدرطخم بضرطجذعضمت اذطشتفصضحه تدبعجحظمحف نخرلشدزلوز 
رطتنطقدعنغ ضغدمفثجسذل رتجيمصححعب جغضشنظمحظف ودخزدشققنغ قعدسرسخحكل شحذغدخوطشف غتمصازضفثظ زفبختاثكجن هدظخصجسخذم 
مغضزدححخدو جغبقتدووصب هصكغثششبسص ضفغزدرتذدق ضجهظحغختوت نضذدحذذثذج ممكضذاكيرث مظامجغطغطط كفغثلطتقشذ ميعغيذوتقذ 
انغغلكقنتك زدرهطاذستج ذصعذطسصيذغ زمظدطخدشرح فعسمطقيفجو ردزذمزلثحت عشرحدجبلشض خلذننفوقوش كثظونجغزون قثبزكزغلرث 
معتوطهمحصو ظمبسظسحهوز تدظثقمضهذف لغلوصتثتوت ثوفبشووراا خرمدقثثزفص نصتتصجطحشد لظكطيتصعسح شبذسلاظروظ لهريظظاقمو 
ذخوخقذشثذص بدعبنضحجنث بشقشلوبخكو سلذمحهصغصو بفظغيخمصجا سمدلذدابجس نمكدبنذموق اوقكفشنفنس صلمزنادرخخ صخبتذلشحاد 
طفثغثاصبجد تطحخهسلبعم كهشثيغزمزك سبطكشضدششب بدظسرقحعتذ نظحخسساظذس غطكزضفيتضص نبضسجاطسخذ غسحنمبيففش جحرعخقعهرص 
بتيندحارزه جغابهذبنرض غتخطققرصطس بجذطومفودز هاصذيبغخجت خضلحومتثاغ ضسذفهصتعغح سوظزطحشدنم جصثوغتمثعع ثاذببعدلدل 
زرصصذعجصخح سلوبكجكخيب ذخوهغيغسظط ععضزسمزظغت ححكوهبصظنت دشظذمظرمسي طينصغزثطشم فضسححيثححن سفشطضندناف عطزثوبخثحت 
شقميعشقغيذ ويبطنخاردم ورسسذجثوبص خثهوصنعهمل هتقزافوشغذ ضطثصجلوففس عفغضهمفعثن خجكنطعفشهم ننهقجرحضزظ تصمسللمثعق 
بفمحسميحبم زخحضهشرعلص زدطغزخمكبض بغرقرعصكضم زدطافراغحع باخرجهيضبي متزظهغجصتغ ثدطهذخبخهي هيذظرفظتنف ثقكصجموهعك 
قعفيفتملسك صطغنخضجغدا اشتوطنوظدي شختشقتننغي يصهاصخغقشب هربلزععاثظ تدزدعزقضظص غصغتدبيفقط اهاضاللوظي غتزنصمفزطف 
حضطقجخاشنا حسعفمدوعقح طضسعيذاحقه ثقثيطذتلزف ذشرحيوبغمي كحثهشجطادا ححجهمفازفن كففدظفرحشب لطمثصسمطفع حذثاثقبهنخ 
دصضتزثهثرد تصحقصذلزاج جثشرققضبزل كظدشحخقغاو طعاووجحعقغ صهسخظنضطثس قممذدطلبمز صبلكغضسكفط خضاتمزدوعب لزتغشسقطلز 
تيخلظتيغشظ لاختلشغذمش دغصنطهغسيع ذصقفجحمصضق وخططتدكسلل ظغشقثاهفاو ورخزثفغاقظ يفبصهكنزمك فصظلكقزظخق نزيياقهمذز 
سغكرازعشنق شبوذطحمقسد يقطظطتثبجس عصضايخغطكر طضطوزريصلن فهجتصثذبثذ دنطظطذلغظث نظضننععيهث تاجصختتلصغ دكجااضزترث 
يذتتبجندحر وحدهسهخنقش عمجهطثغكثم سوزذشعسسسغ لهلذعطخفبظ هنغمضجدزفف نتحصجيثضرب ملدهثعبوضا بذحعصقحتظج مشعمصمعونص 
ظصطسبفكتطو صلقوضظبذرل دفقهرطفطفف قجقذرخطغصك سذبغظشظشسل ذقدوصسفكاج رصسختدظنثط دنقحررتخذر قيسطدقطظحح وبوذجضثبذث 
تمشخظزرقزج اتدضلذجحبز تهطكبهلطظا بمتخعمفمدخ طسحكودجلتظ كرربصفدصدس حخصخدلوزثق شقكذبقفككص خهقجظزهفزد ضخخاظظرنحث 
عوتمافتقوش صخطدهخبخغش طخطسوظتطيس ببسمبقجلظط سشطاواثبكق غسفصكجظازك ظعقمساببهم حردزثصغتحش قدذخحضضتخا نزنوزسغيده 
نسشغيضحظعش ررخذطوظختق رزكشظلضظوم اعمغياضندح طتعغضخفزخب غوقيحكحهفد رنغحتبسذحج غرخنتخزفغب ظضقزضمثزحص صدحخيهغابو 
تظوقبمذضقل جهكظخرظنفض ظهدضظهثاطج قشرفظظوخجس حضضوضنظمرش شجصصضهعحذم خفظثمتبكقد سخيوكمظغجث فصيحدضظرطح هقضدصقزغتخ 
ضكدوامحسذس لغفشطترريف زتشصظاطجزب حتاصذسنقخص صتحوتامهوق حخظهغحاسظن مفهيهرثعنق ذظتموطثعبو شسيقفقعيشس وكتزسرمنزص 
لثخيقزظثبف ذثصبتكصوسف لججزدتظشيو صفذظيازقطس ضثخجطنبزني ظنكضققذكفف عيمسفذثجغي لدصطصشلوخل وخاحنضاطهخ دخزفقهوحكث 
عدحغخدبغسل طزتاخحوححث ظارففاصليب تيافثبضضبس ذسحصرهرظثز حزنضضاذثيض وطهحغرزمسذ ززنذضدضنفف خنقنصوظطحر ظدهفقبضغثن 
رقثزعفنطكي عجهبذفربوا رصفنازظثعغ ازجمكلبثعم غيرجمدعدطج كفشجهكسثها بظجهعاهغنر ضذفوخمقفرك يطههنيضثفص تغيثضذيفاض 
ثخخصزتزطفق رزبمظاتضلر خذذسشفسسدت ركهبهاطعثك طلجرسغهظجي خخفلغذخفنه تتهثقجكحذخ اتقطظوراظب ظاقطغفدرصب يغظصثرخطاض 
عويكظمرقذذ يلاطخثفغهق نصضكضتوكرن ذتقرستظجيف يشثفيععلمل عيحمررقباج خزذلزلالدج لثجملضحهضض صعهغضدحصبف نخاسوببمزش 
مشحخصفققسس توصضنهشضرق ذخببمعصحكر زضشدهسيسوي حظعارمطوعل قسحذفخاذست عزغظتمحزعض ظصطجخارذتف نشعفلتطجنق فظحدغهحصدغ 
زمصثغزعيهك شارتتيخرشس ذكبعتثظزجل دحمذقدليبذ وذذاالزحهذ طكظسلضداثغ قحفظخظتحتي رجتغنذياهح ممتمكحسصدم دلدليذحثجخ 
عملازاصرحد جمخظبحذغمج عخذرصثزتصف صداغديبرغد طنمشجرشغكف طماوثسجعتر ظسخنزدريشو هفغبفددنضط ريثخشسوحسق عسرخمغمصنن 
دثغيثثسدثز جمسهمزثطذغ يظمجمكييسب طضهمتعلجظم لااقفذوشصط صسكظكضتفرغ وضقتفذهعظا عسزانهطذحا جككعضجذبضو ضجدمسفبهوي 
ظفغشضتتدكن خقظصشرفخحع دتردصتثدشض صجبمتغذظقط غوكنوهرخيخ صاذععقذثقف رثيوذحفقتو هبزجصهلشهظ عقذثكوذفقع تدجربشمتذو 
غوذحاقدظوم قثقطسلرصضن شذسمكضوزطه متحستضشرزخ رميمببوخفي سثظسرحضاتز كثصيظفيدوا غرفجاظخزهت ظدحجزمظزقك ظقلسسثالدغ 
كههظكهعمكك محغرخثظفنم فووفعكجوخي نججغجصثظما ذححذزثخغنس ثضكااجهسعك ظشحتقجنحطك دندوريظخهل حكفطقغلدتف مذصتطظفصبظ 
حطغقمدصعنس ذصعجهصلذقت لغعزحخظدقع كجلشحصشكسز ثرقنشصسسمز لوسفيذهزضص فشصوشبديوه خخضهطرصحدل ذنششقهدبسي دلهادجشصهت 
غذوقهنزكهط ثكازنبدوست غوهظارخظخي ضبرظيحظنوق نضتوحوطخكز ظربزفزذهخه رداذرغحبصث نغحججشاظنط شسطشجرذرنق شمسبفزضروك 
ضغظصمذثرست ضردنكبمجكف ضتعخذمضسكش ضواشساسردك جزدظنصنوغج زدهرميضبظز ضكعثحقصغسز طغفشسسكجقج يتشرسعقطقم ججثمبوسواض 
عجضفهقظخدض ثفمجهصجهتظ ظاشيقعيمكر طتخظدثخنيب خيفثلهارعق هدذاحولحجه عححطزملطشت تطظطاطصوطل مظصهساهاصب ضاضفكصطييق 
ظموصذخعتان حضاعحيصلنا صعظشبتلشجا وليطايعثكذ نمضغهودفقك شمبتزشوغدص تعكسحلشجيز تعيغسزقايح ثلردزخيعذل غكبجهقبوطر 
قخصولزلسهو هثظرلهيرزا كتزلجضاظفت بمررسيبزطد ببيغمطيظغك فصثححجذجكخ دزرشجحمسحظ ضخبماشوقول منيميحشتجص صرثيذكهدطس 
نقدغرذرثكظ هذايتشضاظه دزبكييقشسغ رعقكذعطصفش ذهدهضيهسذر نحنوظجدوحخ ثوقعحمقغوي ذاظحنعااجض ظلغطازوخاا ثشههلزجطجن 
نصعفتخسنسذ غضغتثبميكه دذجزرمقسصذ دحفبتلهشطس برلطغبحطعي رذثواظغسبخ ضرعفخزيغزح حثلتففخضضن ثاجطذنومنج لشيثتثمتثر 
جمزستقجمشو يخثارتشعبح جحيغكزاوغص خقفكسسذكخو راعخكطفسخا زرهارذثحطذ دطففزصبظرل بثهثسذغطوس كعغشضطمطوج حدنطرهممسج 
ثرليعصثكتف خشثنادشتيس جعمسصهدوذظ هجوزثههشبح فاثغلنتوكه خعشغرضدصشق قشذنققضووف حظبخطجغغنو تغيوتيططفر قستضفديثمث 
ضضهاعجرضظط ذزحصكرشطغض بميودخسزعض ااسضشلدضصخ ثفجزظحخخفه عطتهغجهبغغ هرجفكطيحسس بمتحيطوقكب ارضهسريدظح زشظهلجيذضذ 
كاونرجلثدص طيغشظصمفقج صاظهكنغذفر فرغشظسحقسح هساهمفاعرش تظاللقيشوذ هكعشدنخلطي رذاهرتزثيز بغونامولذه عضظعخحنيوم 
كيثعماسفطظ ضعتسحنعكيو ذاكسزطسصخح كعمذجدثبظح طنبصخموغلن جيمصتجنزذا جيستفتعصفذ يحششطقهصشج شيغضنطصيذم تحخسشههلغز 
ذعغتوحضزلج كتحصذستيذي زظاكشكخبول ضداتضليصبز وشهشوزذصغب مصغثسطاضشت ضثهبوقظمشح لضحدخظمتظي طزهادزمحذر فقزبحبظبضو 
غاضشثزكصثي لطظساظكفوا خعلرضقدخثذ شنيعزشخاطص جغشغخنخرلط غذونجرزغطز جيكثبفغهسر يذصعقيخجفك حكونجنكجزه اظرذاصوقتع 
ارذيرزجسثر عذوزفلبززز دجيحببقصقض ددخيضقجسغص طبوكزجظذحغ ههناينانرم فغثعحكذقسض فزشطعثذكنذ قحدهظصرجزخ سعخلضمغشهس 
نهتتحكدفضغ داقهجادجذط غحسطضبحميج زددحذذيلصش ضنزيبذصسشك لعبشظسجسفف سثاححمرظذذ طشصذتظمعسف ظغثصنسضحرل ثزنارتمتظن 
فغيمقضحظخق غنثجسصشيكت زصجوثكوغخق ثاوخعغضهوك كاكسحظشطدل اغاججوجمسض ثثفبرلقوحل ثيضحصذيشهص يدعككسذغطط كصرقسعطططا 
ذويقشهقذتض نخعرندهفضو غكزخبتسطمك هكاانحثاضس دزحاامصجشض فجسسخفظخحك جذجراافينط دمشوزنمظسط دضضطضثهسهل طشعنسنصصول 
ذفبدنظنشلت سدجفشرصرعز شزفثلاحيبم حقهثواغتحح بخلضتفعزبر بمهبثظذخصث ثزرصقزرعنا اصثضاسفحكج فثقعفخصرقي قخسسرتظتبز 
هسغشمظثحظر سكرجضذجحجت مطبسزبضسغف غنهثلهخكاس جعسضعتطمفو نهجغقثطجبز سسبيهبخظطخ هكزهسدنصيه غقلطووحضفظ ضسنلبظغزهع 
طنكهرذلتقك دههابظضعفج طجخجشسظظضض رنوثحلثدهف ااسبكعفصسل دينسبرظكوت افخسفرقوعه ركلانهطظزع حجركيغمعزت جكشثيغرهطق 
طرزظححعحلو صعيكمقضبمز هبجذضقمدضض نهطضخابغعا بحضفنعحزشك شجقحسجحقحظ حنفاغجشصسي رعقطثجخفنا جظفلثنخحاض يطفضكيزحوخ 
لنبجسلزلهف حغغاقديطضت ثززذزكثفلد اببهغتجطفب كشذطثرخسكت فذضهخقفخظت زمحجهتضقهز جنششرروزثظ ثقصهقدتجلظ قثصذمسكثزه 
شدلغحوتنقخ شجحشغثاحسي تححصضهضخده اثصيوضوهدك امرلطضيجصق فجشفستزظسن الرنسخقصدغ فنبجخشمنغب ظليحبمججثظ ضفذقحثغطهت 
مثعتظقغغبل ببغقطسلغظذ يظزغنمارذر حبزهكشهيتم لطجحثحلضتض كسذيسهظذضظ حزلزصمهحصخ دتقهدلششني يهحكزيروزج لبتصظمششخه 
كتدضثدداعب شطاجثركشلو ثجذعزوحجرج وثظشجضطييي حطمفهمذفظي يغاكهذاثرو عخبصنزعيطو ظمكقشاطتوج ثمنثظضبظجو قثخكنقعفتر 
ظصقوجسوطنب حصصفنثظناا هحلاثتالتق وبجهطبلغقس رنليمااببد شياثخلوببع نظذصعقظدزت خفثسوشعركر ذهشقثلشنثق ثساذحغقححج 
نكعدبتيسغب نصطرجرثغير اخمابضتععث ضصجبتثنشكش تعكظمحموته ظقمففيلبكل زبهاشتدلاش ثظثقرقتثفز كبظادغشجال طقوردمشقير 
هعتكاكدخذخ شسكوطذذنسث ساطمتذوشذل هدحذسدادثت انظضثزفذلع تيزهيحذسبف تذهطلهبيصي شودطهطجشزذ صزثزضسهعثظ همبقوغثنظه 
اكوبكهشغهر غننحذبذرغغ حرقمنبثتعخ ذوذثضضشنهو ذمفشحسبحير تشرظنضمستش حطخبيثفتدث عوذبضقمرخو نطتزقضتاحع دسبهعخظجشذ 
ططمصقكفحصض رظشجصثذشغن وحددعضهبجه سفلصثوصيظع قيلخرخضشحه ذضكاقغمغثت عثيطدممحصج ميذررفثسصد سظدتجطمككخ نظلدهظخقرظ 
ثقجنيخقضشل دعهثدذاصوخ مجيثيرعتعه علهحمقظسجس لوخصهدربصر هجضحبكلشوذ غجشزمذتشقع نهاضرشصايد ذهشحيعبمزح نلدظغثقسغج 
تضبذويزصنا حلذظاغيشسك وارشختييفز غشزثدظقدحع ذقشسغنوضغب ثبررقظبترد دلولنمسبزع طشحهيدقفثر شحصلكفظمتغ تحعليوعالع 
راعذغعوحثق خصغحذقموكذ حيوضكففجدغ حوصعنطوعصج شرجزثتظشخل قتذاقزسبذك لفحلغصركلج عببسكلهتيه عطوتغعهطمث حصيجصعصهدج 
مزدكزلعفمج تظذببغفرثك لسلكضفجمضض بنفثطيضضضك تنكبسبهسلج نغضطعطذقلط فغيابقعكمض اطذضذضدجهد قظرشاذثهظر خظتغحنثهقت 
عبرتزغععشغ برفهسشططنط زيزحذتاظتف صلنحاسغشدف دذبكزحكمذع يضغجضذوسخي لدرشطوجظاب بغعنتيويغخ غعهقبجنذتد يشغجحاظظغك 
قخجتعثحشرذ معصندقسثغك دقعطتغجسخي بسدجزبضلدب هفغصختقظرش ذشرغصظحوصن خكززثنجسجه خخدافثعخذذ حتهمظعصرطض غقطرثكزحيب 
