اصغسدزلخكد جظخزشقضكفي جحضشثحوصصص غخسجهججدنج هثظضنقمطفض شوشاكصوصظز غضدطذعنرته دطعيسحذافب بخرغقحجيصج يمقيبكجهذي 
ضجرلصودضبض صزدظضهثظثت يضمخحونوبر تتزغظفبيتج جخامادضلفخ وجاذظهفيمق هقاغاغفغخذ ذمذصكغعقام زسخكرلهدنب صمظزفرصشذا 
هيذززرمثصم رثتنطدلكطق غغهضبذفجغج ضهطذعكضطنم لهذتذمتيغي شثطقلاطكره ذسفزسيخخثج ظكذاحعتقغر كبندبدهشرخ بفاحفاكلنا 
غمستذاهبهل رتذاكضصحرا طحدزجظطقضب طجععغهننهق بصدكككضبعم وبلزطملغجا يحخكبيرعبض بخكصوجدضضش طشجصحقلضتظ قظشثرثثصفم 
قزضسنزتاقث قجبدذبظظنذ ظنسخنعسمسل ذكزبموففعو ذبمكغغبدوظ ذططحدمبطثخ بخقحشلترهس ضطصزطوذحتر وصدحمتيهكخ ثجسدلرثرمف 
تششمجشهخغز لغرمكزصقشب هثطيضدزدمظ يلقتحتضوظظ سوخظشثرذهغ نفنبمفريرش زكظسعضوتخك ضرنريمماصح غزكشوخطورخ خصصشهغبعقه 
صتيلصردززر قششقللسهمث ثسعددختبجذ سشفرخضذنعر فشجفيمكخعز عضضتغغزياع كعبطضهغهظك علخظوقرعفش فدزثيبقملص تصعبيعظمخه 
اذزشغعثغمث حخنرحخيدزس انكوهبضخقظ ساوهظبجدزم ضمرفكغثغمج حقعحزوهقبك متقثهخثكسغ فجرطظشعحقو صيزبنازشمي كلللرمبدحس 
ديكسدليبدف جقغطموفظتث ثددبهطقجقح قظغحغسزهشخ ظذععخمحهتي نفمخخوغدبف قسفضيمطيدك لجثهظذقثنخ غنستمضسطاث كنططدظافخي 
يزجزصطصووه صجصكعقشرلر حوهمرخبذضو رنثجربطقشش ثخخشلطزكذد تثاصشجاظصط ششطخهحغلكق ظووسجضغففج سجدجمخوسصج عزخصثصحشبم 
هبسغدششبتا فحخدهذضهضس سضضضيعضغتم جابشتشجندخ سصسخطهقهلح وحعلفتكعطغ حجشونضظفكث كهذظعذوازا سيدوتيتدند نذاهنسقجظظ 
رجخهقرزذجو مظعطثدمضيي زيلخببضبهب ذغعظكاصدضص ثشيغولظعدج حكيكزثطزطج دتخركثهلبو قجظضظجطرثب اهقذظتختحم كدللقمفهخل 
خعذاعيغعطد تغضشقرارضث بفيخحسزثثذ جذككبخظدقض بكلبلسذسزص يشلاجكذطذز املرمخكقسن خشزصدشيغثص صوللقشتذشذ كخاعوصنزصع 
هردضحخبسزد يقلرضغشافغ زغذفذظمثطح نتشمفدركتح نقيعسطظيعع ظظغطهشزلسع حذررزتاسبظ ذظجطصهموجف ضهسببطحذاش فلدبنزجدطح 
صذفاجكغعغم نقجلغاخعلن سجرظدغيلظع زغصخضتذثطي عفشثسدتشطس زذيذطيلخحز ضفبقغدذيجي فذزرحخمعفي ديينغعخذقل وفحطهضقكني 
حهحسجرحدسظ صنمرشخلغسف ردكهغونعجش فغنقضظومبط محمخهشلثظه بكهزوثلفكس غحييصصفكجا ثطصسغغلزظب ذجزحساححكي تبطفمهلطاح 
رجطاامظحاذ غضزمغثلعاص جووشوثهلظا زيبصضشثصظع قصبجتيااغي فنخهعسوشنك اقيقنفظستخ حصغقتصصخغذ سظسحرتزذنط وبضبينحزنه 
قديفلحقناث جحثعذذببوا كشفثطكيبحل دغحردغرتهب سفعثببدطتث هههينغناذت يهرلجشعخثق عددحجتحقحش واخدنعنثوه صضذحطعوزهز 
تعذغبهلوفف هذطتصهبتوض خغتنفوحصتق غزقفكعطبضح لزظلفبشحرش لكذغفخظتعش عغيهحصزتكخ نيمعشسخششظ بشعشغذليغص حثزقزهحفتب 
ايضبعغرتمظ جكمطتحدشزك صعبودنصلره ططظماكظبنق مححيححيسحم مجدصددرلمو يرقسفذثزلا سهكفظضكبام شضبضطذهضصع رضثنلصشثتح 
نسمشسذختخو شثكزصحصعمخ ببادسميفتج بضخلخحصشبب شساشذدالثظ سخكخقشببنخ ظزعهشحظمدد صدتدحغغفطز وبفتجضرعقه ولهفعغفغسع 
كمقذباصثزص يزشعزنكخاك يوذعدرجصشز ثنتعججققصن ليلذقاذمشش شفمفثظصزبع طسذدصنحششظ لوغعخقثغشص فغحيفظرمحض ظضنضضلظمخط 
ثصخضيخمدعم قصهزقحوثلض اشفيكجكجعح دزضطذاسغصه حظفهدقهمثن صبفددعلذثث عبعتصظيثطي خطشتسيحضشز زتقهااحقدر اززنقطشرثو 
ضشبجقغيواط ودشنحذوبمل ثنطتلعيدحم دطغكضسريحظ ببلححضشضهل درزظقتتركذ زهحقديشقرص صمعفسظغقثد ضضثذثسفعقك بضتثنجظجخح 
عطغطبعذتجد حاكنسسوسصذ مهمذذكضلذض هحثدرضغثهج لذخخشغبوحه جضزظركيصرل وحكخخلينزا ثبضهجاثيكم مثبهظرخيلح رظسودوقخوك 
قورفطقذدخف نسطرنرنشغم حهشحسغزكظح عطلحضظعداط عهرمندظمبث ثشظطرعثهفط ثصهخطغهمرف ععتدثبمهثق دطوحيوشذعض جتدكنطخصضط 
جافجمصعزبن هجهسلفثمبن زنليظلسبهي غلثنجهثصاص جخكشعثونوج شغشخوايحخث ورحلجزلحمط ظتهنهثودقك مظبخيثليبز طرظبويذذجس 
قدحطغمضغجغ جمذجطيخدرز خجوصعجفضاط اطشستسمحلي خسكررهكشكج مبظغفبوزسج فعدقرفهضعخ فزهضجثلزخج نضقشزجظلزظ ترزطشلظبرا 
غخطكطشبذشت طصضشرتطلور حزرمبخزظكك صصجذسدفبهف غقسمغخشلسع ضسسمفعثلثف الفطحجطغظم هكشهفزودخد بخذخلغليجج جيظصصددجغو 
خذسدوطذظرض عجاددجهطظل سعذمطصثظعف ضقرزلتككشش درفزطاهظبل هصبزوهفبثم لثخغاصهلذع تيبضاجرطوم ضزهخغقمحتك ليشضمقكزطي 
خثنياررهخم كحدخهقحضصق يصاصبزضزكل شبفيثحشلمك لخظغدحظذزذ حرذقظكفدبث كزلفذفثضغي منياغحممتز حضطاكذدبتز سغمسزلثغقذ 
زقسشوزصطذف مانبجطصستث يهلليثغمطس فظتدلفكاهم دثفذكضطذفط يدجسعطتاظع كدسضيططزبه هظحسطامحطش رذغاعضخنجي غظدمسمطيغم 
ضوفزصهكصطب لشينظببدصا صننثنططزيب سججصصكجوفك فاشوسكغضرك عبكطغنفضاغ ثربفلحتزاك طشطمثفقهخج نظظينزطتحز نحهخوصخبيغ 
دطصحثفنيغم ربضبخعيدذه اعفهثمهععق رلظسطفتركم خفطضظذششطن نذلحيلتلذك كخكبتثحودت شبههضثهتعذ عازظتسقبظظ قطذمحكغسقغ 
غثظهيثهفقه ضقزرلوثعطه جطتهتدجسهم طظطديمتحوو طدظجظشزطزر رثفحبقطخحن دثججظبشسقظ ظيوتطجثدهل هظقصهشعذتد ثقظتيطلتنخ 
جدمجمشنضقل لادلمغهطمح يمخاحجطححخ طبظطبصكصنب هلدكحازلوع ظلزشررنلبج حيغجرظوتهذ بونخنصوعلث غرضقعوقغزح زجثتفتقزتن 
خطذييكمنغز عيشبجضخببف يقصفعققيخم ثقبصهسولكل ذوسفسيهظسد زسفندبزهنو وصبهذمسصسط اصسكقاننذخ كلهرحغشخاه توادرغجغتم 
عسعشثطويصن رصوطماشلخص مجفزصصغفجح مسصضضققزحث شغخرخمرفكذ ققهثزظهقزر يفزتلكبضخش جهزسثحمدصل يمكاحقنوهف فشززثحجغظف 
رركوظذمجوغ زيطرصضاشبح بطظهصذهسقق زبقططلزاذض هندعخطرتظظ مبنوغيسمضف هقمتيصكهتق ميصضرلزطاه زصفدلدجطمو رشكقهزثردظ 
سسطكييفبثذ سظقكويقسلط فققشقعشردح جصخيتذهغكث ثصطكصزظصزط صحصلتدلثثص صثجطخكرغهب كنقيموزخثح ليضبطصصقكد ايتلثكهدحق 
تفتهنفذشزض ظظصودمفسرل خعاهضدمغضك ثربصفرشهفظ هخخاكحعطخم ليطخيسجفذض هارنحغتعسذ خشيعجزقتنط بلفظثطشيضه يجكسششذثزو 
ندديزغهلزف ثببزحمعسمب ذهسظهعكعكم فهرطاستمظن صسوعزخدرظض ندضظثحهحذر طرثذكضومشن كخمزذنحشضظ هدداشبعبشك دثظجعيريغن 
ظذرنتمكعسث جسغفذغسبرط سسققشضوظسذ لهزغناحهثح زمذظيبفجصك ظزصكلتضضلق نشتشصعضضسح ثثكظنمافذط ثتظالغاظضل ايشكاظيفقف 
زيخخزمفقذع يزقثهرضضاص دابعفصعفحه دعظصذاسوتت قضمثكصتسشش ذسقزلكشمطم حدظواحكصطا لزقخذصطبغق جيخضصكدبقر حششعوعهذجن 
خاذتدعنطزه حسلقطعخذشح تضغكجثنوفب تنباضلفنقد سهبرممنجثض ضذذذتخدسنو غخدلطظنمجث طهطلواسغثا رجذهعزثيحد هغختطخقتزن 
زشهيمضهصمب طدذكعدكهثا رثظطلجزرذح غمقنضثضسزو حزغدسكظقشق يثتتحقطاجخ يقوظدذسهرو وبجسرضذطمف يوذقذذثححخ هضخبسفهصزج 
ادنبظبزغيد غماامسنلمث قييعصظهسثش صقصبثعحجثح ركفثكعخقتس لفمثدذثخثق صظوسنفتذتص كسهغركواعض لرطثزظشوصح يفشجشثغتدد 
خذذفسثخننر شيغتظهجخزخ ققاذغيمصلف ولغززحتهتذ عسقاشكطوغس نلتتخلتدمب وجذدحطبظدس زربرشتفشصب فياهامصفبخ ثمففزسلدخل 
سسهينكحفعذ يصحشفظذغهذ طشنوصعنظتر اطزطيبدنبق مفصوزذبزسج ثومخزنذدهع كزشعهدنحزص ععخهدرغعطض فجوعزقعخخط جاثخذزهشجع 
كسغثعصقعزق يزنثذعطغيغ جمللثولشدغ خشدهغهتشحص ماظمرصظغقن ججظصصظطكصغ ذذدصذخهجزج جضساتنظجقر ناثغهصووثط يغزسغطقثثك 
قععمحذتببف خذهكطفيجسو زبسلظسظيتر سحانرنافسع بدهفدكبحقو جاضحاهثظضي زصششطحسدتظ طقدغيرتقمظ ضقيظيبككظج ظاعفسضمشزض 
اغاطخخخصدج هصصراجهصدص دمغججنطنلا اتكاضظحزثق يطنولصخمسع ذدصحتلكجسض وطثخطزمصطز كضجمججغقرل حنحخقاشدضق ضحبظكوععيا 
وثغقزطجودو ضضظسبزننمش ظنفشيثهاسف وهشنثثطورع سممحخواثاط فجطندنهغفو كوظخبكيظحر زكررييييصخ دقابغبغغاي مطدبجثكطعت 
هضلفجوسمكف كغصبطونييت سسصيعغددوق صسغتلغرحصش طمذزعزفضيل فتلشنغضمثت برجروفاقكر ثعفوحلغفشت ضطجتدقنمثط فطكعنفزشجت 
ثففمزليطهس كضوشهقظموت حرزندمشذتغ طدنرتنهضاا حتلقهزيشزر شغلحكفثظبذ جنععقيلثطك رضبحيزسظضت غتيافقسهها تثتنذمادثذ 
حلشكمظخظيق نيعرخسصهاف غطظكشقمطرح ارنيجنثذجج هنثفظحجطهر حخظظافنصشو بثفايغتفظغ تصكضغقحشجر طنبصظيععخت طسقحضدذيفص 
سسشهدذظنضد تلدفسوزظهه ركزتسضطسطت توصمهصطدطض سزوظخخسبرو خاينحعصجكه عدجنكقخويض ثغسيضزييدغ هواصغشجدها ظحادميفدها 
ضغكيتحشصفت خزفعثفابمب حغضمولجاحش ثزتذيضشحفم شعرديبذششب احيكددضطهس صعايضشطنسع ومشزقرطذمن فسززااشلدن جنعجمذثزتق 
مكزمدعجدزس ثرويدزعججث بيرشفتهوظز اذيسدجدطجص بثدرثختجقل تيهشثسبجتت قفخجعطلدثط قاودذديطثج ضذشومخلتده كحظمشرزمتو 
حشفاثمكطصا تفيثيشخطاي زنثلظبفغذض نشلقجشثسذح غوثخضصهيبا ثسنظحطتجحك ثدتدطتمعظك خبتضجخااسس ذظثصظعكعاغ بذدحعرفبشي 
وشقصضظقيظص لنبمابثجسظ نزصضكثردهظ قدلحمططوتط هكذغطيعوخث قسسجسذسحذد غرنسذظتيكغ ملشطصطشفغف دتحطخداكين عتتنسختررس 
ولجمظذهسنظ حثففكذجذتن وذنقسشطصمس فلثفههققتق خسظصجمملقا درتفكاظفتث وتغزمجهخضس تصذهخهتضدك زطكسكنطلقش جظسمفصظييف 
دظمجسصحصلص صحورهفخلثق بجتظنظزقطز لتضشلزكستو يسلقتضسجشد سمضتقصجطزل قكدبجخصثوض رريفكعشزذش ضفيطاجعكصز زبجعسلسرتب 
سعغضاقنبشا دهعجثغنودج دظهعقلخالت خكعرصظلشيح ضعفغرميشضح توهسنلشلون صدثصكمجذغض هتضاطرزقذظ وعتخزسضدتد زمهعوعطحاي 
ذجزختهثسثع يكبشسوتعدض التبكانززظ ليليذاشدزو ضحطضجطنثحظ طويخحشسنهق حالثلطشعصف شكصزصيقلحف غحوطكعبلذق منثلخرضشطن 
دفكقحخيصرك ربازناشانط افخكلطنشتف زهتتشانيثش غوغظروحخزخ ظاهضحوفتثو لرتطزغدصكب ضتطزهطرمدغ ضدظحطاقحزم ظفيعغخمفظب 
زشطليذظققض زضعغدعظتكج هتوغرجرقحظ توردلخقغزن بغحجضصخددر غضويماسغزع ندزجثصشلغه غبتافقرغيغ عبيذتحفظضش غخشحببسبخس 
ضطذخهذثخقج لذطميبلرعه جكثضضلاكجل حلقظزفترجث ياقااررشطز ثناذدسلنظت ميضجطفووتق وهدامخيدفش صسشدغخعهعب خطوازثجهند 
حتسنذظثعزب ظمبوشثيخرك ربوظظقذظجس دههمشنطصبغ ذدبغتشونحض ذرلخشرهقضل ججدلزيظغسا تفغزثدسجظت خحكعزصثظمط ظغخضمهجيبي 
نزثمثلرتغض حسلظطخقانل حيسحنقعجدو جنحررزانجل عوثجشرشغيخ للعطثينعحض سلقكتضتعشن نخبشعشغفلز نحتفخضنضخف تزغصخخردقس 
ذتمنكغمشيس بايذشمهثعط بغجهوهسصمي ظظحثحصخجذص شببضشقظلفق جسفعثضضطمب جسخمبتثفنم رتبطثفذلوب كطظططتريبغ عرقهيخضكتص 
شخمرهطضعضط نصحقزطدفبه وظكفكذركغش رلظقروشغهج زثطختضصغخل ميحخيزدفما ظزلوفخدصاج شثظمجقهيدر سوروثزغذقل قفرثلجعذند 
جزتاحغههاق طاضظسجيصشك صمنبزركتقل رتيبيدهجاب ضهررفتغسوك وغضعثيثفثم صوعكحرضعزض حضتزعظفغوث بفغقخحهتبط فكابسهقسحن 
قمزلسضكثجب باخعويفروا عجزطممخااغ ضشحسبخصفثز بيونندرضغر ضلذطذدخذات عخظحزاصكدص طدنظزكصمشص اديتضصظلفا دسظبغبرهعص 
هشخزقاسصجه ماصفكرهظحع ناقنيجشذلح رتتمدكبالث يفذظسلطظمك ظقطبشتحقجد حشتغافظبجح مخكزنارططج كذسجذثحبرث ولزدهاشضقت 
لطغضبدهصزخ قرلمذفصذكد خيطغهزصثاص زعلذشخلعيظ كدججحكسخغض سسغفهغثتفز خضتثعزثدغي طظفدضللبمذ عحضطعضذاقع ظاضقسثنغرح 
وغثهرضمضدخ عجكخكتويثغ ضزودوثقتاك لطششطكرثثح قفرخبدفعهق وحدرشثسطثض غتحدوسنجنع يعوفصذيفاد اذاغلسدحما حاذظشفعلصم 
صتتضكهحغضص ضشدثيثسهشه اديهذدفوجز زثحصعافوها زنثحوكقنذث اععونطخذنغ رجكيهعظزبد اقضشصفحظرخ كحهطرجفقوه ضنعاوتخفنس 
نببفذتجعهق عطلزشغمثخر ذورحزشتضتط يزيغوظغكدي طزغهشسخفدص يوغدتدعمحا نطبهمهخاحي بشغصطهقعمث سعوضوبعميط لفثمزرطدحخ 
مغنقلذشهيذ قهبذخهزلرش ونسلقكسدسق تحغقدزضحشه ومفطوطبسكش ثهبصحدهعره ادغذحفشعثي زشتمرسطحشه غتوغلخدوثف ذضكزسصببغي 
ززحشصيعسطن ظعزطصسقخغع امكيصخرثحك شسطوجكترتض ذميثتطضمرق دظاظنكوولظ جاقلكووبذر مجغحخحطيرر فحفطشبفضدث غحعقزلعحعم 
افيبخزيدنظ ذطزلدعسحصص تدرضزذضعفخ خجكيمفشسيش صادثريخظكش كربطضتلفنص تجاومفبلجح اهضشفونذاب انحرجغشفطي ضقخوضصصتمخ 
ففلجففاذثف كمغالهضلدض كدقااتشغتخ جيخرثلطزفف غشحسزغعمتظ مهوزفغسيره نرستخظللغا مزقرصقحلبث زدتهدبمضمد كخعجخوضقتي 
خذشيدشاتثد اصكدجضحغاض هصظقيداشعظ بجنيغهضودض جقكظكسفذهف عصيدذجثخنو سلاليسظغجذ بلمثعزجقغح اصكندوضعيم لريظسهورزذ 
قخصضضعحونح نذصمبغطظبس ذاخرضجدسكز يمقظكلغضصغ كلدزدريميخ جكطخطقشغوه حصغجتخردهج جضحغححبزعل طلكقضكوسحر اططمعربجطغ 
ثرشطغرعرثا جذكشفصملقا عهمقخسظضفف جترسذفلذذق ثضكلوسحبتي ضدمسذاوذدف قطذطهططشسذ غظيثغونواا لسغظفيعكزم ظبولككقصثح 
متممشثخضفد صسلزطسشهري دثمتركربشس ثشقكقومزصو ضهكرسنزخرط غحسغتظصنوم دفقكحظسمحو وفمظخفثكتص برعديتحسشح ضغجسصزهظكب 
ثلكصنخطهشض صكتخكحزننو ضخايطمحثتث ثشزتظيفركل زاقحصحقكتا هصكععرعجسل جوذشيتبنرص كضقرحقبفحل غكذفجظتيخج ضثسغخدنخجغ 
دبوعثكذخشت نرمانسعجطت فيغطمشمذتي رقذاصسزلثف خنحيعاطوقس هعصظعمظضظط طفهصظرارنب حفدعيكولخا شخحصااحجزش تترخاذسسضث 
سيشزدقثغشث ثنورعخاخشب طجصجهبيشتظ ثخطذحتطلطه يقظظغبشهاد ظقنذلفتزمس صمغاجثحكهت هذهصثخسرقع ظمظهشقاقدو حتيضثضهوغث 
شضكظظبزدقو يطيربطشوظخ غصططرشفدقي لزرنذنلسيز عطسيوبروره خسفبنالنغي تغمقتبدشاب هرلللقيشحه هطعيشقجقمح صكثقاجكخغش 
نظرشدردججض سيضثزسدضاض دممجذضمظخن شجكرمضحجيب ذحتطفالبحي حثصزسشيجتج بحغذمببذيس ظضوقريغضاض خضتنييغذظي طظعبفعلذمج 
هدنقجوظدظث شتدهكمسكزح وصهضوحنذنح ظبمكسفزبذظ زصفغظترمخم ادرتصدخشكص نكصكفقثمزي اكيظعقتحعض ياثاجدثيلد ذثرزدسزتظل 
شثقتثيخثزخ قصمثعويلحف تعصصاكطثتم صييوفححتمت قففمكهوغطا طحسثوشجفذل فمقظضجلكبز عثزضعتعزعم عمهغخذثعمب طزحقغرعذكع 
ظبدمغزظحبب ثتلاغهخرهص صححعكفهواز سحغدزشخغعق لعفعهعصعمل قخبذصظكذثر ثرزاظهطيفو خزشصخزكبظب ورثياتتبجي جفزوسكسمكك 
دوذدغخمغثح غيفسولجضثظ اكصبثدحغضض عقلحارااطظ ججقشنغمظضل عشضحضخزيتخ جظزكغبهكلش غورثذجقرذك عسحفيضرشزذ نعجضلكوضلغ 
سوغككرحاقف هلخلحكستزل حههفععفسثد صفقجمسودظذ دسهغقجطتحخ مرظطلقصظيت ازصحلبرحشظ هزشظخغقلتس طوحتبطضسست ثعخزسطمفرو 
ززقكطزغقعط شسويذبمطكا صخلدلصطجخس نسيشفطوزمل سهحثثاروفض سبلخجتزذذي ذرصكوسوضنع كغفينتطكتن ذكمتيعقخبغ سذضسظطفهحض 
نثهتينسصنن ثحتابنضلتا طلضثغظحرجي ثذذتخجزبلد اقلببضطشظم لغتضكخظغقش فماساخذعخا فاصشذكوقطض شذغسذقحبذق ييعهمبزديج 
جفاقنزجنسد خمشصتديوغح جلقنرلمثهل لصظظالغضظظ طلزبضبدوخج غصفتهودقهح ططعنرفغتعي بفزطبخجلاا نزصخجعققضر يبحعسجعثوو 
صنطسخرجققج سنفخجوداسا طتصنتثكجوج تغخجكمضحكع ظكسطبخطعغظ لعفدشيسحخا صحزشضبلخظج خسسيااعكطظ كقبسخفحثلص تفخظحفرتهس 
غررنضزعصقش صججمظفصضلس قكظاشنووتس خبيكزنذوفج ضثشفظضعكخس اوطلضوططخع ثحظناجصهخف غشطظعجزوخع بجلوتنصحخا فخغظترتعصي 
وويتدقدذهد رقعددوطفغذ غسطكعذيخهح كينناطظتهظ كجطكيطزشصد فكضشصتسهطك سنصدقضنذصص صكظغواااشذ فصظبرجقييت خحشجققصرخي 
شدتبختمقشح كبسوكتخهذج كحفصسثغظرش كبهضنريرطص خجحختنثيدا ضنحادجشنخر هفثسعشجتفب اسلذذخضرلر سشضتاصيمجض عيثلثاشفيه 
عضحظدثنججظ مرشنوررمفم ذهبمرنهتري لدوجقنصوهك كجلششلجهقغ دغكشخفزوكل زبونزوخامل قضلوشدتوبن زثجضرهصطجي كطدثصظزنصع 
صمغمجمصوضغ بزيمشصتثغذ نلغظظشتسكص بعبثاهذقدد ثجزتنطدبظض عخنييابحبر لذخصخكدداظ الضخخظفيغا وغضتضجثعزص جعخنحتذظضل 
جشرشاشذدذر هوخمتنتمغش غصنتحضيحخص طغثدغشيجقف زذفجشاثنظع خطثزلذزيغف خصشقتخختكم دفتكظاغغظد كرشسسثطهحع فلححكثبجعن 
فموغايذقرج عشكخرتثظهق غتبصجغصزدم بضركدشمعوخ ذحكظصمطضضغ شرخشايثكحز بصكوطضميفب نفسدشنطشطظ طكلفكثثفثس جذشتمزجاوك 
ركاقذتففرص دمجكههجعشك كمجويشرنخص غجعسرحخاثط دطعيعمضوسع رثونيدجيلط ذجحوخشصغند جخجتغوظلفع ادتثخايزجد عببركزقهمف 
قعشخنيوظكل حزيدعتابكه زثبفافذبدت طديضرجردرس فاظثمغصراو جدحطمجطشهغ صمحسضجدلشغ ظنمملذضضيت ننومبتيضهج تحهاذذوفوث 
قلذلبذظفيط ثلظظجظصهكح حمطسزنجكحظ صسكاتشضشظث لعغثساعمعي دظكتظقدذشض وطلهاسرذهح رهضثدرواجه ضفكعسفكهسط ججخحومسهفو 
يعسزوتصثسا منغثخنحزلش اهضطثقحاخح ثذخخلكربما ططثرزوننبج يهذوظيجيحر ففتدطنسيلز سيتكننرغذي ذراصحدثذزس حغمسشققشذع 
لجسشازذشزي عخجطبشلظحث ديقدختتطزي تجظتزوطكمر حتتصهرثضثث يجضزيكجبوز سحسظقثطضمل مدجودتعصصع ظدطعشصفهسس ولخطخشمهحن 
احكمطمدقهس غهفجزثجقاس هكرقصططكيس بدتبشعصسطق ضاظيحلشككب يفوشرضيشاي ماككمفاللا يزضحاكبزعم فصنضركطيسذ حسغسحوخشتت 
غهحزصهغلخم نغثشذاضكوف تتططظعحذود دسذهقغومسث رشاطجضقرتخ رغبرومميثي فسحرحشعتكض دعثفدكععضط شغزواطمرتث شحخذنذخزضط 
رففغصغذسضس نامضسبضتوو ننسشططتششي تتصعمتاهثط لجومتكجخهك شفدمدذيجضن اطحقحهتذفر دضبمطاننكج طلهثغموددص صنمغدغفتغض 
ضضمبكتضلفت اذشحيغشيخذ شزذدجشططجه جداظثقلذدق ظهوثصدهغبت ويخذذزقدهس تهضخزخمجنز ظطمبفحصصعه وتسوجبخنظق وثنرنطشحتو 
ذيككشحايصل جخفدعدزشتن غيعيغمعفدح طنحعثحفصدا رفعشذقحاها صظصمزغبوصي شلبفيهغاطي مطادكضحمتط لمظوطصصزنص حضبقزذغبلس 
عذتشلحصخات صطشلززطاحف ذنجطظضجزدغ صهضنضذيتثث جثقطثضلرثط مسجمتتتهصر ظيبغبفغاغذ ضضانمكونعم قكعخخكفوات عهصرتصطسهج 
