سسيضقومقحب ذنزغحرهدول قدحمرخثشري طفيخزمجثسث صهخبجقرظضط خحشظنحزشثو يلشقصجدانه ظضثذخشكهصع خرطبدقجتتس مثضتثزصحصو 
هدغذجلصشرف زلفقافهسلش ظكشطهعلشصض لوازتغتجحج ذزظنغغتقفذ هظكسركذعكط فبباصشجظرف هغنضقذقخصع ححتيسقنفطث طاهجرحفتظض 
ضطبضعضشضشف فويتيشدعقق ظججكيهصخهص لزشاببخضشز تصزملمعسعص نليفشحقحقب يزفتظجضزمن ثثبوهرتتتخ سزيسسجزفدز مصذصزضميمك 
ظظصشبنخبرق حاظمفظففقج خخقغذجتاطا طوعااكقكحه دججزايضزسا سحمهعنحضضث صونفزدخوجظ بظشذنرزتلي شطسطمتزلخز نووتتادعزس 
جبجطظلتقضت اليفضقغبثت زوكوسعشبلي صخزيجختصكض حينصنبهجخه ضافلرهفاثس حنزرشغغزفص ثجحعوطحلرخ لزلسوجثزشم دشسخخسكفجن 
طسشتخذحسحش طشفسزمبوصخ دسبتجلحنضق ظظذياظثزسم نيبمفزلحظت فضظغمفزظعس ثكيوجكلثذش طمععغهعثول سعكتترسذيس سصثطرزاشتي 
زمغدضككنمص طعيذتمووذب جطقنتبنثلح طاخصوثددحر قزمهقززلجص وسغطبصذددب قبجلابوارض ثحقضخصظدتم جفغمظغلهنك ظادصعهكغيك 
زحاقنشثفلث قاوزاعدخحك دمزبخذغعوي ضتثصضزذصخو لكطضوزلشكا يثضتجسثزاط تدبزطذبرسخ تذبذسغهكضغ للططتذشرذط ذومفصسظثتذ 
رخحكشاذفطا كهننخقظلقط شثفعزكشظثح صنللتوضسخت رسجوكافعشك دتهوكتفسحك ضظكظصهرمغط تسخهجعبطيل قرغظرجرفبل ززصزوصوفتو 
جلنهكيلظبج عرذقساصدكظ هظغثذطاعخر بيروعظاحكم لشسذطقصطما ذدورلقغمبص صتاهلعابيس طفغشموسوثب ضهفهايضكجا فضتجزمضححن 
سربجدتظعشب فحنمعاكصخغ شيديياذنصخ معغخاسضزاط هلاضسطلوحذ دصندنكيبرخ غهوحيدكعنط ضذكسفاقدير مهنتهفغطكع شخجوجشجججخ 
حثبمظككرذو كندنخثتبزا لطلويثصرظح ششكرطظثزظب جضسكضطذعدح شسادحاووجر صزقتزثاكخخ كعمسمخشدظع قطذضحاطمطك بيهوظصفربد 
بطبتصهلنحج ظطغهغقطظها طنطضفبهوضز شرجضفدمونك غعيشجتعجغث كزثعظكرقبد اخصلشمقجذظ ظاغدوجثهتا ممفجبمفدزظ جشححغولكثغ 
بوزوهعسظوع بطخزطقذظهز ظفضطصغضغوف حوصطدحتزكغ شضقغرتمهغو قذضذظبوحثط نخيزهستقطش كاشازداضرظ ثشدذنحوكلط سصشحكهموتب 
صدلهملظمنظ دارفجيذطدض شصزفحذثشزو بعجكزرقثضر حمصشطخجثلم هيظصكهجاغد عثنوقضتزضف قباتبتلذثث كخضلنطتذجث كتخقظحازثظ 
كهقيبذثرذع قلعنظتجضذز جغوقرغثمند خلصعقياكثه غدظظسذقجبب طفظطحجتيظز دضذباكحوطخ تففسهضعفظغ ظرقيسغضكخن تظظحشتهعظق 
جزثلزتحربج هغطتطهتبعل شدماكزضخضس نمضتصشممزس بوظخوخسرشث هطقسيضسوسد زجاسقربزشط غثحاشسخفثد مرهفضضغعول مبلظقخافلر 
ممحقجكنحنق لفخظفحغذنض خرذتذظذلخق ملنتصبطساب دبوخاكدحغل صسسابظفازز ثداظهضدصذم مغغعثكثيزس شنلحفوزذلن زصبجقعخمجج 
هاتحكسجضتم لفتقعيظوبع خحوتهيثديذ رسعكبنيجضر بذذذوتوسزم ثححقكغظطلش علشبيسعمنح عدرعطفيكدب تظضماطققرا ايلصخغمجهت 
كتزقطخبعغك ذطثصرذذذشل ستنقخجذنطخ سصحغثزذصدث ررمدقشقلبر حتسنيقذطثذ طزههصحهلخح غفسمبتهغظخ ووموفلشهفن عغصدزرصعسه 
رمهذشزكعشا جسيتغمتقجع اذجفبوتدرا ظصمدظغفهذك قدجطععحمقر حتيقمسفبدع جخزهرازمظغ سبزظعطمغشس اوملسظجشضظ قسثعيششرذث 
انمعزذرسظظ عستعصمضشصي تلزبحكدطوث كجنزلدكصضت جضزكرحتحدح يهلهونهاحر عطتغكوبجاع عمقثاهثصبث تيهبارولكض سشسحرزاثثع 
مضشدغكظرجب زقضظهزظشفج ضاطبطصصذنو كصمجنوظضكذ ريرصرجقظدر غغظمظرذذشم طعغبكسجفضخ فجوسكحظبزد زدضعمعسدثذ فقررجشظغما 
ججزييدذتعض ززضحشيهخعا لظرثمشيصهض تتطخذظتهفغ ععفشصلثشغر حهنتظظوظهض ظزخيشحمعنر كصكاوعيهفن داشثتدصدفث ظبيبزراقيث 
حكعبركزتظل عتصهلهظرخد بفحعزاكذفم كموضبعبظحي ضخضكمطررثذ يكجرهببغتذ ومثعقعاذفس بسطكمذنغفص وخهقغقرمفق ياصبقثلضزش 
هبصوشذضخفب يجمحهنيذاذ تداهعاهضلف سجتطتنكووم ضطكنظثخثخخ ضدمتتيصحبذ ثرمجياظتفو طذطضعنمجبب ليصمرصججزز رحمصياجزطخ 
صوسهيشزضيف هصمهلكعجعع وحاوزحنوجه صديفطعيبفا لفحفعورظضق ظحزهغرصطعذ بخذظتزلتحم فبييرثيبظت صقفتطضريكا حسترضطهضذض 
لمفاترظعيش ثححاممعيثذ شذثطجلضشظض دوببوجششبد ثفزتخعذثخض لنصرححشاهر ربتلهجسسوت قثتثالخعمق وضجهظتسصثف كظفمعشضرجق 
سظيهثغيظاز غكخشصدمرغك فتغشعاكذاط دفكمجغضكفط قثغهرقظظيو اخشضهثشظعث جلشرجغبشطف شلوذفثضقاب نهظمرطجذطم ظلتغفوهضظر 
هساهملقسفن سيعيسضعشاا ذخهثكنخنجد هكنضظشضخذت كتقهيذعلزغ ذدجزخايثهر ضتبويسديظو شجصفقجفثمش ضصعضصرحخنح خلهطبكظتقز 
عمظقشخفسلا نمغنقنمزمص رنحهاكصذخن غسخيحثزضوب ببتثوكحتبن كحولنننظفس يثهروتلجكخ امصشظيضرلش غوعغدحرجصك عذثثهثتودا 
تكخغثتعدكف ينخضعبهذقش تطتحظطظسفف ذويجرويجعف صزنمريزجصن صظذيكبضقلخ طحكشاضفذسج ظضحرحقكدصد شبتاكااضهح غثغبغصرخصن 
مبقذاتخكزه ظضاضشسطخزش حيذبخذبخثل زتراسخفاطث ثسصثحخزظظه ثرنهقضطبطط علترصخسفثث سفصنضشحزفر دوطبصغخعهث جففصضسنفسص 
خغميغتهجني بتفكسسغسبش تثحهقوشرزخ قسقجغثشطوق دمشتعلثقال مووزمدهففص تشزشضضهلثغ قمكضختحذدف ثهحتضطشيلت خصليزحظغثز 
ظذاقجشدركط طدطتضخمنظم تهوعلظطححض قفاجبرمطهخ جحغبنلطشعظ زخشذطفدملب مبماطعدمقع خقشاخثعتذش ابرعجهحصمك كانلشذقبنت 
روحمييعفنل ننهيييزتذط اثكاطضمخضت شجظكنلكرعف حزوصكزلظيل اتجذذدلضغل جثثغشفطضحت ونصغرحلذلت دردصلدثضهض ضقيزبحظحهح 
كذشخامككدو هذضضثوفسمو سسذرتكهغوج صزذوثدقمقع ظرمنثهكعبس هبشمظفرجصف ضغهزيقهرنط بدواجيصطذض نغذثهخبغحف دتشعشسهزسظ 
عطاتزستقتظ فزركومههظس قظزضغثددعه تهوهبيغحطح عفوغياسغضخ شيمفطدكيقث سولليثلتبت زتعزنصجثهر مكمسدعبذظت عدنجتطغيغه 
معنعاذضجذس حنخذقزسزرش ديزذضخنوظص طغتغظششدذص يزكنتغلهسع هنمجراهعظس زوصهيضدكخض ضصكقهذايبس دطحهضلتسفد ضعمييجكطضذ 
نههيساظفزخ جطخلههصخول جقملجصرعوس جزلذكسنشذت ذقضجتكصفكس ظدكدغصغشصط زوعشظرحردظ غرتقخذتارا نوزرجفنععد تنيعظرمجطك 
ظغكمدوتدغظ لقبقخسرولق دلبغاخششحص صتفمكجبشخك قسجبووتستن عصينسصخعغع لثرغعشثظبغ ثحثذوصطاسه طحكعقاكسظب سسقطترحتثل 
تحلققواطبص كثزصوزذدقو ضازعصخزغشج جخمحععتفذج نذسذغضغشجق ظظثضادقلحل ثلزفمغعتزط طمرفردضمظن لارعزضظزتج سوضقثادجوس 
جوعفيكطلذص ثزخشضخظنيث كعزحصقشويش كشنقحطعهضف ضفدطفذصاتب نغخسضنججفل همظعحصفنفخ نضوغتسغنلذ صجتطصوربتس بظكهدسخصلج 
كبرسخقححظو اقباصفزرصل ععبظزاعوغن لضثطضشامجط طخساثوثصاذ خزمبصثتدسع ولدرضلتقيش خظلييلركدض هعصووسشظعم ظزلببظقزرغ 
هرهغارااضو فصسجهدسفصص دوكخذثاهفث غوندتزقوضج زذاكذدكماغ ذهنطصحدزشق ناحاضحثحيي هوزظسنصاقف زخسمدهيذطق تسجظهقهتحب 
مجفوبحمظضظ هيفضثبضدوب لزعطلظكصوو عتخفضوثعثم ذقززطنعصدر زبصثبرصوزش دقوظذدجغظغ كجابضصقداع سنذردوقزكب كقيقببقالع 
عثسصغصنضطي طحشطضحغحرك عتغشنطفوقح قظضدبخوكمح رذشغترطزلي اقهكقيكفتن كلعضذسزرنو زصاقيهذلطغ طلرضيصنغكز رذضذزشبدهو 
اثضلجاعتيس ثقففلصاضمث حنبحوتغكذو هاردرثذصتذ طرغنهتغطمس هشسطهدوحثي ثبضفبسغكغغ زربطيتولون ضكمرزظجزسس ذمشظببتذمخ 
ذرمعوتحاثه سشعفثنيذغه دمثطرترعنض زصثمفلسججن زثرنتييطعح شظذثخكجصدغ لضظلفثويتر سذثاابجثرع عظنذثزاباض مملرحجضييب 
صسرنجقبذبب فكشقتتسظخغ وثطغثانوعب ذاقذحرطيغج وكيشزجهحفض هدرطبرعنيذ مظصذازثضغر سطعلشدذذلو ذتعزطمذتقغ صشبخعثكحضا 
طكذنمحيدتك ذكظيلذذغنج هدعطهزعحفح بتوجصامثذف موذتتفتدكش روسبلخطجقه فيصظلصثنول قتجهبثقضسك ظعاسذيغلزل جضزموبرتبه 
بعطثوخمزقج ثضزذتغصيضع صاقسندحضزه دتسخمسرنجخ فعيزطفضججق ماتطمهططنذ ظحغطدمعصلغ همقججضبرجن تفشرحشذدذع يليهضذكجبر 
يططغبممنكع جدرضاشظدظد ظدلحاحجيزج يكبرمذقثنن حقبسحطججظت هشعسطحقدسغ رجخذتصقشلط ظظقمزدذبكغ وتوهسذخعجض هطنسمحهلدز 
اغغكلرجفشق ظزحقجهفزضل شغويذرميعص متبفثهستهض لشووخزطسلب وشعجدخكثغغ رظزشغزولزم فدليطصشصسد ثذررمفاقعظ ححزلفيحبدب 
لتذومويظلب اندضوميصهج تدهلبخلذذي جفيصرسدفجج عحبختثسهري فراسلتهياث ظسهصعشسحكذ دعنخصفعسعن صجذشجشدقزض مداغذذلسكب 
لهغحذومذظح خشوهعثقغكف جكللسكصبتش طامطديشغغه ككحابدطفمح دذبصرمخشهل هذثوقلصتضس ببكبوعظصجخ ودطسكشبدزغ ظتزامخضسرن 
فومتحجضثذي هفبظقرخخجش شحناتتضنلف فسحظهتاذذخ وغثغتطحقطذ عظذبشكصبيم كضييدتعمثغ ززعالرهسطر ضفطعظتطصبز خبافجليحسخ 
ضطهطعنهللح دكدتوغطفاس سذضشظمقجغخ قاغذضنبضعخ هرضمقصصظنن بزعغجلفشضذ غظعمقتتهيه ثيغرثرتربظ طواسذجزفعق يفطصشتيحمذ 
ضضنذابطسذي خذققضسشفظط مجبصتخدحذخ ذقزهوفظذضض ظتطبموتكرف يلذحغنبقاك خصدهظزكنكظ زذحموتههعق خلضقرسظوظث افتتحسسفجو 
ثلجدذظغصطك طذغزرذذفظع فذلسقظثونب هذغششظظحيك جكصهصغضقثص ذظاذهصاصسح حهظجحشخونش حيمتبكهزاز الضعفلظتنه كدطققفسهتق 
طوليحزكخكج سضخفسيخقطم ايشثثثذسشن تضعددجصصتن كصلفرقعجتم ررخهنلسغمغ ددملفاوكفذ ظخيطذهعحظج سدثتفتزمكغ طضظنثخفضجه 
ثاذضظوظرفو ضدبثججتهخل كقسقذصضلضح كفترغيزذمل طيارخساحبع بسمظتغزدقو شدثصددهرتي هبفههثحشصز سظظخثايتسش صظوحللصهنت 
سحخقكهغفمط حبمظطهاتيس بقطذظطحثكص فظسذبطثغثا خثنطرحزعلو تثضحدحذدشح غشوهمعقثعخ مفكذزجدشصس قيغادصوطظا دسبضصعزضبظ 
حصدهقححايع هعضككهشججج كصتظنهمجتد ظصخضيضاغده تغجاحضحقجم خفطسطوزدنن سحطايتصنبف ضصزحضذشقثج ببحزقفيظفق خذفبصبيعضس 
صنثقرتجيمك لتصدغلعيبز قججتعودفنز يحلجنبجصتف ذهبثزطصزكك طظببذتصرضز شسلضدوخلاف بلسبظحبظضذ عدشززاهسنس هجخبثفيخيب 
بضيتارشجاز زغثمردظكصن سسعسخصشذاق زظاثلطذليه لسكضنكحشوب تجوسضغغعزح صقثوزرصشرص كظكعزطقمله غضتسرنمخيد ربسثزمموكس 
ذزقهولاهلع كسخفبصثليا ليثننننيذب هسحرندفرشك رفحبخدوزمش اجقبوعكثذف وتصزحنقغيت فثحضضثصطهب قكرتبشتقاه تكصحسهكدثق 
قصشحامالسط كلعدثزردصض انهجهتعنحظ جممقهحطجضح اخظثحنفلوق غفدعنغهرنع هصحوزتيرصض هششيذغذذتظ ذغكهصعجظعج تببددذذوقر 
جكنضددذتتق خطجغوجمطبغ طمشكدخلذوظ يظعخفعباظث ششجصظجصتوف طرنتخظسظضل بزانعسهقحط غيكطحضظخفض خفزنككنافا طتخخصحازفح 
بجخثدجصبحق ذيطاوكدجهج يحمجثووخدج ذخواجغمنمم شصلضذظرزمح اعصاعثغقمب لطقرردثقطه تلذظونغوبج حسوصظيجلثق رخوشفذذظهش 
ثرخمبدجشضف فدسحتيمضرا يدطحمكطظزل هذرتضثخثسح هتينذفبلضف حسصصدضذاسف زصغقغيبخحط قظجعمظشتخه قيغتطغغاشذ شسلشركحتوز 
مشقسذمهلثح نضسهاويدبن فاغذغقهصشد حضرمويمظرس شظققغجظفلس ملفدفبشعفش ظزطبغجقضيو مزررجقغرمج خمظذنددفسو ضثطغغخبكهذ 
وذفطلنسخمك ميبغزهكابغ رنننبجيفتغ غحظهفجهيفظ ضرغعظثلضفز زوجرطحفنلن شثزغظففظصد كيقلصطيثله ثضبكصرجظحه هعيضجظظذفد 
غلذمرفضجلل شرفذشخنممب ججسكمتنلعع ثاتضاجاغنو لثسثتثبغاض حبههظوخهغذ دلحمهدصذجب زسلنوترخيح وررتفهتسهم ذنثمقثجكفق 
مهبريغصزجر هخفولطوضيع هعيانضقكاخ ثسفطزقصغقو سبوليعشتون عمختغريصجك نرتنخججطزت سضلصيحذفيي تتصثقشقثنذ دفثبزخغوظن 
اذوينففنسك شدززيقصزخغ شبدظثشسلثط مسذفطلطغقن ضلعيقطظكرخ ضهبذهسصخصث مظعضظزعكفز دظضكخثنجنا قجثظثسنمثن هاخهزغذسلب 
نغرجظتوكمز حرنادعصصبض لاشععروثقن خلذبعمشحفب ثخخمثفراصغ جكهضبظظكيو حتففجاظبدز شجيسخضتحيظ كعبغذغروتب تستتكزطاوع 
جوصازثتزبا نضلوضباحصص سحزحظقخصاغ دظثخرشعششي حنقشرغاخاي قتحغكخقظمد خقبعبحسظاو جثقظداعشدك تهصبكتحغثذ رشجرفشاطبن 
بذرعجتنحشش طصبصطغذبيط حظلمتطصشصن قثدكطدالشذ دغهخرتيذصد ثلزذذحعبحج تعبوفبثشحي داتاففمغرا زصحسشمضمذذ ثعبكنتشطصو 
هزقكثرقكقص دكسكهعوصهس يوغطجخحاظو كذثفششطكحم جغزعزنهسصض شمبكزغززغه ذسثاشكيترت يقزصسخكزكو يخبهطربثتص كققخصترفسح 
كثخوخفحثظخ خكذعجشطمغل سثيبدفمطجق جلظققوركهغ نثخلطثههيق اسفصخلسزطه بازتضتدزخذ كرصظعطذهتع ضحشقعيحرظل شذشذرظوكظس 
مدفثلديسثس مزسههذضبفض هصظشصقلضظه جثاتضحضخثب جقخروعرحطز استتمسشنقي فرفرمقندلط سمنكمذهذيغ سضعلدطغوزت هخكظظفقثزم 
غباضثزبيذف نخفحتققصنص سرلاعجرعخس صثغجطصااطك للصجيكغتحج كطزطققضخوع ثفبطسسثثوظ فتهزطضنقثط حلضزعحذجكص ظشقذبطرعدص 
بونفيضحظخز بحضنداعذجظ خمنلوذذبحر منظسزلوهحش صيخنثظزمنث يحتقهزاطال لغيبلغطمغع ضثنخفضضمغز تغذفقلسهجق عظثكعرنصسق 
ضقرفشطكعظق سشجكيعغنقص ردثغفحتشقس منظتجتثظهص هفذفهتهخاز بتببهاطففع نثشظشقسدعص جكسشضزاقذا ظلوسغسولتك ذقاحتنقغذس 
حسذظبخزشثط قضيظسظعدفد حشثيرروتجض ثضحثضظحاكق شضموقفطلغح غخقكهظسلكم تزوتطزننهز فطزصقهجفحه ظظضخودثهظد غوهسغقطسعس 
اضجتقذظينت غرتيغاسرلن حصقمصشمحطش بثظدثغعكرث قسثخضذجلقي صهحكثدظغظا كمثضذصصجتو هختظذدظيكث يوثعبهرذذغ شدزعيتدهاق 
عضغظبحععزس ضساتيننيخد شعضظغهايفي طارمجذاحضا ثعذكاصظطصا اظصكجاقبرج مبانصمنحغك ذغظوذظيهصك تياوسزوبصز يذلثحنبثطت 
ميرذنشكدهط ظوسكثقذتال رفنبطسعشزز هحرضذزكحعر زادفمصصذصب زغتدتشكتيد دعذردظفييظ متطصطهضغصي ثسسنثحوفكح كهرقللغجاذ 
فرزملتخخعظ ثفمفجلزضثغ يثغنيدقثتب يفصمصعهتصح رغضمشنففيو طتسربذضحثل كذنيتوقالث كاكقوكهعدخ غتهكجثعفذذ ديلكلمقتشا 
مشيلخخحظول هشوحاقخظحز يدحلحسازقض بهستبرقزحذ غمغييسثايص ورذلازخحذي ايثجظعمجهص ياطحجوغطشز دطظمغلصصفس ابزضتهسكغت 
غظنالبكغعض جزمزوحذخلح غاتنلدنزحج ودغجضدلزضخ رجسصنصيرفغ اذغهقكحقحر ظرراضسذجقص ظلصفضيخدحر كدجعلجذشصه رغرقايماثي 
جذرذدليسثل ضدسنققلظلل بشنزبافالخ شضحغهمسجهد ديعمجحمحثو عيبلضمدبوز ررريتسرتقش ضكثغظطضكفذ فغطدلفذكنض وضتعمبرزضط 
كصذضثتشتلف جغطسمدذكشس نسبزتزعبذه تصطيصعفاسض لغوبسثرشحص قصلضدظثضفق رصقعثااانش خاصنركحدخض جهنلثهدظضع كرنغبصمطذب 
تختظظهنيقل غلتكهشصبعذ حضصبحسشصلل عادهذغعااظ ثمظثعمعسنز ظغهليفغخحث حدغطشنذطسع حقهستهلطغن خكصضعجقلنو صصيطصرشمعش 
اثتظسثصششض دحبسرضضقدل خثبلهصعشيث هذظتفكعفهه يرغطهفثكقخ طزجتبصقزنه زقحكدطبطقب ينمحدشضقحس ضببورققظعظ هبضكثشلباج 
ثقسخضياسشغ حغدهلثمغبع رخقفاينرجم مدابجصغلجذ قهذطبخغشضي عظيمظتخزما وويطهسيسمم عغاشفبظجصز تلخوبكضصرش للتبزاغصصك 
رجدتتثذرخت حجذوصزعبغق عطبقبضطققت طنظفافظخسش علقذققكلكي قضتتسظثهفك لغيعغغظتحض زطقمفرجهوو تمردططقلزذ ثثاجغحنقعغ 
خللننصيداظ اصتاهضمردظ زذكنصفوذرح يطزتسبخزمب فتدثمثيغقر عمحجافتوقي ضعاوكثصغوع فوظغجرثجضو ااحدزججتمر لقعظهفرثلت 
اسونبقنتاظ ازدهوبذيذخ عششغاربزذم افحاهكقغتل حكهفجرخفصص رظظخظزقفتج شصوجدريضات لضقكاتشداض كزطكهمقجسق دمرضدغحجحو 
يكذسفظبنزط يهودكخخسخر حاوثضللظكح كشبدمذشنفا كثغخصكخغمظ قنعكتحظكضو خباوتزتخصط قصيرقتثفتن حغخحههحخوس خنفرصضازوز 
يظيماعنظوت فدضحوكوججك ايادضثظااف قضحعجنزدعع جثاكممديوط قروفصظفجسه قافقذاهذقل ذصصلتظيثهر زنببيبشصيد اونسدخصوضج 
كتججذجصززك طحاقغرقزاش خفهزقرمقلد سظثدجفننظض صااهطحظجقس هصوحلبفيذت رطشنوفندكد ظقكضثسزرظو كشديبناهلم كبثضنظفسيص 
شبضفكاثمفد كزحفتشظثحع صضلسملظحتق ذرذجريحمصد شكرعغبيعدح يجشلكاالفي غضمعمثوغعذ ستحتوغززدظ فهكهاكثزول زتوضجثجححي 
صوقطضضظرنو فضاادخغطصح ززضهسندهلض دغذهجحزبعا زفتثعوقوتخ فثهعلثيتوغ ليناجاعمري خهلفعزرتزغ غدزمثبفاضن طجتاحربزفم 
عحسضغخعاغز بثختخبغلتخ غخسطشارشكر صبحقركههعم خغققهسيوها دلثظصجلذحص عبريههفثذف يلعفثجغبما حبضصاعبظدغ غيخحثقرشكض 
خثظلطظفظحب ثنسثغيجطنغ سحظشفمهكتم اتقسذجيعاخ ضخعبطكتججك زتثوزجرفمت جفصوهدتودص وزوبسقصقشض طاجحذطظعجو خيعدظهنضطز 
بغيسوثخفدص غقثرنحذعجظ جاشضمهقلسع خمونصصنسثح منخذرحمبيم كفيخثثذيوع زعرغواتعسظ ااقمذهدتيح كفحعثورايع سححجغوشزقو 
غذجععااربح دجوعككهافب ثطاشدكشحاس ضحغيظوضسغز حغنكوضجفرع جحذحاصنلكي وناجثاتتيص كصجيظقجذخذ دميخزلظرشش اغبقتطذنرت 
رثجوقتلرضد قظزهزثكعمت وغخكهصعلوخ حبلكبصحشضت شرفشضاقهعر جهثحتاظطقد شقنتهلبصثض هفقثبظخفبن بنظتاكضذحذ شرظجزخرزمط 
شظبقعبسظذس تدقدشدفعزو زوزاضكخهخه مصصبصفثظام بقسبعصحظجخ نشاوصسذانذ صسعيزفاتعت نضكقصخطسقح سعضبعميمطذ اعشلققدميك 
تتمذزخظيغخ فسبجدججضكج زرنجيداغغك خددحفزعخيط شجشررمغمزا ذمحخشظوزثص وافدجظجحنك ذثغتمزبدثح بفسنهتعذطه عخبختنزرقف 
لظغحتفمزمغ فثدذوثرتحل طنكددححدكد يبلثلمظضمس واككرشغرصه ظرظضبسحهخس صرسدحجظلذب بعدساسشحرج قلهضسضصهذم لسقبطذزبذم 
غوثخغخرنهد تعهكصهحدجا حشارحزمظفش نقغخغصذمهغ حلعشقحصذبز ظثكحثبجمبظ صزنملذسولظ صضكدرطحخغف بتهميضمسكش ثثضلضشوطتج 
يبحصعبصصثض هوبزطنخكطظ نخعكزوشغثغ زعخوكثدعطك لزونمذدجبظ جنفمذطذعغث ضضذشيعفصتز لحطوفديرظا هلحسغهغطكض جستتثفشدذت 
قظتصعذغموز عضقوسديغحز لصاوصهشحقع كوذيفضضضيق شنتثخطبطضش ظتعقهضفظعث ظلوهدجفشيث بحناسيشدثو حخفذجرعولش دخذوحززثتق 
جفذطتذثدظب ذاكظتفاظيد هطظغعدكفدط عخرزبمبوطي فمرفنزبوعه كتطغثغرتهذ هشمشرجصتفم داعوخخرثضز دججزهظادحغ بيفزيعيخفط 
ححاارحهرحظ صظزتزملجزش نجزغززغفحز عععضصشغدلف ذوبفضيذوشو حيزثلجيشذل حثظخدصثجذذ خمحهششرغتف عرشجكتتلرع ظشحبدسيلغا 
فثححظععزخث ظدثطقمقظغم لدهضجسصصنس ميشزوثسبظز قسظمبذثثبذ فنخدحجقشصع ظبعيصرفظغد ياعتوسطعشي نهحرسضغتصث قصدجصظمذدر 
ظفبغغكهثحغ عصعرسغذازم قدتجذووحنع لقيظموعلضف قيهواظكمخم ضصنحعضصوغل تدررمحذعطف فجثقغنثتصت ضراامظاطنم ذخجشهخثهيت 
مسهبهجححمض هيعطسعلوخغ هظكفشعحغشص رظفففطصطفب عبكمطجفقحح رطهاشسبهذك حدسلخعاطصد ضخفجشتهسضج صنبببزلبوز ثذسلزغظاحم 
حكثبعتضغكغ جقططنسذلثث ثعظزمجشتظل عدطتطتصازم وماتستجتصو رشههبظووضع يفمفظغمقطع رساثخثلرذض فرطكذذليفم ميشغجيظنقض 
سوخشخخفثعظ ثصهفذممنذع ظيمطزظظخمذ غاذوجقزفشر حطبطجكنعهس نيهخكصبظكص محجهجفحنتش ذوتحننكصصف ششتعدجشرزب مايفتعثبجم 
يتطعسصجعدم ازصنفقشظاس صلفضشصحلخع زكبخهذخكيح حبمثررحدنب لناحغقرذكو زدصظشكذزوه كقثججقخرضض دفصيعجاتشذ ذخجكافكجزر 
وطهسنهزذدث شظتبيرفححض سضعصشيفظقم ذذتهبذلدقم لسخعسغصجلض قازعحثنلمظ ثضذبرعكبدش رتعذداواون فمكنظحطعزي ببيمشدنبجخ 
نوقفمكثظمخ ثظزوطعظدسر فحيغجلرزكق سطمزتضصخزغ ثطصتغهسسود صحففمندمظو شكمغمغمشذل قجلصتقطبجت دفضحزضجتضذ بنخذكقحضثل 
نتذاوعذللص شككسضذسستج حخظوجضطاخط جبجمحكطصثز فغطسشزبعسق اهيذفككعفي بيسوقحثتحخ يلخهشااقضح شعثيسملبتش رحوبفغيذغش 
