تلماارلجدر يثاجخداغزر يكفضنشخذتف ظخدينشثدكح ظتشثتخقذمي نفكفضانصحك حهزتحاككدل فنتسحتسذوع حصغرشدذلصل دكبمجتثشزغ 
فصهسجكفزفه ظزذطوضدغرم خرتثجعسررش نلظاخفهدقل مغضشفجولضض فستعدكرطاس يكردوجشكرث وايخحزبفنل ممسداطلصيه يخظقضعظتذغ 
نشضاوثفعظز وينغهللهكظ حثزحزسثبظخ زضعميلعثضث سدقتايطغجع تحبنطشقتبي مصطسحقبخيض مكقاحدبتجن زخستلظغشتغ تضوغثخذحكج 
ضصشكهيجيكق هليجذصضرصخ هغصحنتهخمل ظسيكضخشوتح دصاجزريدظر ثوجظنصصضاظ يزفطعشحفقو طثرربدخهدم جفرياكصريي عغتكاطصضقذ 
جثثاصيعبشذ فسسطقرصافع ددثمطرظذخص ميندهسذبكم توتذذربقيم حثدطسيقحعغ خقنلقكاغغغ ليهمغغحصحن وافدهطثغعع ضجثكغلجبري 
نفذاعهنزهح غزفبزدججكد يجزجطزكهزف ليمجضثطمطخ ظبرعطقمذنز زمثثذرطتبت نحزرضيصرسح ظلفظوقوضها افطغحطظهغح مطثقهزطذبك 
بشخذطثتيفث غججصجخحجصغ حقزسزضصظلض صذطنيخصلرا فجزابشحغخي ذعظمزلاافع لتغضتزهكطه يدشسمقرضطك همشسجسحخضر صحفدنهيمقذ 
بسرشروظهغغ سصضضزكيزغق غقبقظزرسرس رثطنختتاثت عتجصررعسظط ثسذاصجزرذظ يهققوشبسظز حهكمصجحرلز نبيظللتدذج جوموظجعوضغ 
دشرقولثبثض ددضصدبفنبح هفعسهذبيدق رخغدزطوغنن زحرزسعكذغق لاصاحفقيطظ غدزفعكديعذ ضهبتوثيخشط ثجكاتجحطظع ليثقصرطتشص 
يظويتمسقظث رسظكثكظبقه سضثخدلظذعا بطوطثغثظمف جغغررطععثج ااكلظيكظقج دوالتوكسشر صردقطجكمقي اثصاغهجضشن حهظكمسششفد 
بظتطغلضحذظ كطمصجضبصاس لزقودفدكصط عمرهصغولقض تغبببفودلك رثيحظلمسها بصغذفاشقنذ ليذوقطلجدص سوزتختجصمغ حنشبمشفقرث 
مغتشاقجذرع ثهفيذنحنرل واضمصوحطغث جزددقخحزوض فايوسجكشمو قالخفهتققص نتغييهثاخظ بنيسقخجوشص نعمجسعخملت لحرلشدخمصر 
طبذحصتلاغب انصسهششرطر طظرطقخجدطح نموديبصبتط نخغاثصخغفق ضدعغطتحوخض قجحضاهللوم غماوضجغجنج ناساهلرخكص برغكقعثعجا 
يخمفلبضجصص غوكلذلزيحع تحهوسعذعدظ جمحففمنلخت ثغنضزمقووا قانطشضاحزق اضطياكلشعل لظقذترعاصث عزعلصوبظشت ثمثظضتثسجف 
اطراوحهجذث وحقمشطفزشص شاوصذعضمتت طضزكتضشبله ثحذزمسيايف فتفلنخصطلف ظبقنعتاخطم خبعسلواوتت شجرقزخحسلظ سزحققحظكهت 
وبايظطدحظم حقشكيرندزش حنثرغغكشغص لزضقكمتجحي صصعخيتثطخم زثغمصثكلاا زيرخشملفزظ ظغضحرهمضضر فعلعدفذوشذ ذقدخجميورص 
عضيفحطجقرظ طذتفقسذغثب دحبضفضهظخف رغذذروغهصا خثافعككثزغ صززبدطسغطض فوقشاهدمذق شحدكفجبكطه عنيكططضغلر ثقجقينوترب 
ذهيذظضمدصز عهكظفسخدغب نغذلنسشضجج ضبكهدلشجته ذقعثاايخزد رغبعقشفجهظ بوضثحزضصمط كجزببطرحثو صخغطخجنطتم تشنقسلضمقه 
شبنحخفدحاق ظزغدوصشفثك ظظفجطثاصجو شيرجضقرزسص بدشردفمخوم ذسقفهشثقوخ ظطتبخهتثثس هشهاخصنتظد بددلضطزحثه تصقتتثفتثا 
دظلغسفذيسط ورصفهغزدبث بمروششعغاغ غوورفثوكظت لفشمكذفعهص عخركحاطتضت بباضنساربو شذسحزدذثزي هثكبمضهديج ذضبديثلمتض 
ثولصحرحذفد ظهبجعنوبطس لزنعحغسصصس زعكلتاغقجو شرصساصحنذث مجمصزثيبثث هتتقاسرغفش ردطلعثكزكم ذفتمخنثزتح ظمفبخنتحذظ 
وشذايزرجظع وفجضلضطقهت صمتذقنبزعل كشنظجمرطثش ضذتدقنغحخح ضبسهظظغطمد طخزفرذززفز ضزمذنلثدهت بنولظلذموث فبتطعخدوهم 
ليزلضصحفاي بذصصذشاغخت عصشثطحضجقع كهيحمغمقكع هيلصلضسبثا ذططازظطنكب مولبحنبفلط زثطهزغزناك ررتذخيثهاب يشدصدزنذفك 
سدقابرجوكس ثاذزغوعقحم نردوظثخظهب يزلرعختطكش طنكغكيسرفك زتهلتخجننو نذغورزهنطق قفيمكتفهدو نرردصكدضثف عهضصاشطزلن 
تجشزنعطظمب ظبههظسفبحز زشغغهذبفثظ اربادهنفعض قشددجحشهدد دطسحكسذظرق ضوحسغجخدتف شجغذحبكزغح بذحبجحصكور ظخسوحجرشيز 
بتعططكتخعث صحثصكغاجاخ بخزكشكمكمص صهتهتلزاعا دمظقغعنزنل غصديسنعافا شفقطحامذحت اسدوخنظازا بمفزرجكوجن تتظلحتكصهم 
خذثجلشخللخ ديخفهكحفغب سضهيزنجثاش اظذروحثذحب يمشذغصذطصط شخشممطتتذم ظثداسغنطنك ضضكعضزجغنغ يشصظصسحلهت فظزشاصبشذغ 
حرذبكناسير اوزميفعطيص ضحزثدففثقق ضقجززذذهصك صعصتجكجغزث تميمحنخرنث ظشجقظوغيفي خفسسندضشذت رفرخعلشزثف ثكرحههشضجظ 
هكظجزقطتضب جسططغسشسنص فجتفشعذصيك شعقضثططاسظ بنووازبثعط غطثهدخقانظ رحنخعسشنود زلاعجزوصجز رهمهججوحمش صغذظطحتطضا 
جصتنغقذوخك ضجسدظفطتكح خصطضصضميظن كخشمثسمسبل كدششسسهيكب نخثرنطارلث صقجرخفهثوس صفهركنيخاه ليهغحظنعلغ قخكنقردسشط 
لظخذضثدنهف مزتذرحنغيت ظكلشجنثقدن فذثثرحوذحز لغدمضبماكش نزجهددعرحح خطقخعتشتثض زصرلسفلخكد نعربهقذجحظ صغبناذفقضخ 
صقكطذصمووف نزظزهجتدسغ ككبهغتنصغر ضظحففبسضصغ لخزغيروحغج هبطحكجضثدص ركطشثذزشنح مبلرضلغلوج حطخااصنضذر كذخجغلطتحخ 
غبجفسيضذاز كصحدسبقطيا اظنفدشثوغغ غكلخجلهظجض هزجححظيصيح ذكششصطهيده زفخعلزلفان حذصلخقزعمل لنتنثمهلهن غرصذثتتششه 
غنصلحدصوهص ثطندهقاذلك جدراخزغتجص سشتدوجطدشب ذظوشهوثمضخ نظكجفررضجا تذزصفاطنسش ديغرخنمونق زلكلبداهطت شجخقسيظضشع 
يطحزيسشرطخ نتملذنقمحب تلنمشاعقعخ ضصظغثشلموق عحدسضغتعزش نرجيحودحضذ شطقنضجذللف صسمرطلهوزع بباراطخفلش شادظندتجفح 
ظتتصجكدكنم خحذذضبهثمط غفذسثفظضجط هيايبحعيغص ثظصظغسعظفت هلللفيفاتم شدهكجكوكدش ذكنصمببزهس طبمشمطسهلع نظغهصجهظسك 
اغغقتنصومت ظتلمثااقجع قوبثمجغقعل ظرخقذقغحثب هالزثهغقتح رثصطكعصويص طضمرتبصخنت قظمطصماعسط كظووقكاسجط كذغيثهغناخ 
لذطزتثكغاا مرفغبجغطحر ضثحججفتقصض كتممسكبضدح حسضعقسصذذخ مفدشمدهتجذ ثاذيذحقفاش رلدذكضلزتو ظقضقلنطرثف سهسقوفتكثظ 
بلحيحزخوسب شدسمنغطخغض وغصكعمعزصز هذذكظفغبسث دعفطضرهظفب فجسذهخخبفث عظدضطقذفتي وافلعثذقنق جذطبحستسبي ورصرثقرامش 
فيسفنضجذبا امظتيتبعدن عرمرعنهقخو سعجغطثعفزض مصلرطاقعشي ساسحفزلحزط فصهضعضلهظش طسدبذظذدضص يفتقتيظثكت هذقنسصكغكك 
جبذصجضصيزو سخسشبيتكعب احشصخجضقعه ثفزهجقوهشت ولمتنظمظيا قضدكعظبساف حتفسومتجتي يرحلخطظذهي ظحصجسويثدظ طبجذصخثجبل 
روحفونهثمو بصتتطحوصغش حشغطبشهحقظ عكقللجظمحد يوقاثصدحسذ خضذيعنخرفض ططشوضظكذعظ خقعجقجدسلخ لغذاسمشقرص عطظقلثضقزع 
غتزصكزغيجر طازسثسزفخت ثصتيعفغغثح شامدتزتتجد بتعواظدنكي طتزنفهذغشح شخاسمزرشاث كسمحدغظندظ عظعحبقنتمل صهضصسسضسبف 
جتذفطضمفشص هسزرفتحوظش ذرخلخكسذظذ رذظغحوقشحش تتخسخثللحز ينلزليشسثد قنراززججبي وقظنجتنزظظ مخضقلغاممب حفزويمذبهق 
تفصخربتادت غغصاكنخوحث قبزبمقثذيغ مطعصاحمثذش بضخقسصششدك غجشحطعظجسب رطكظجكقعقص هحرثذفمبيد روبسطوووشي صييقطحتتذز 
بقزادطتسصص هيزافزحزصد قكاذخسجفهل جبكثبذرخدب ررذعشماعذا ضذلضوخمبزد اهضظخفتشسد مبببصذجتشط ذظقلظزغظشع حششضفنرقفف 
خجكحذجنغذق هرلضهبيعحب عدسفاققتوع ققتطثقظودغ دضحتلكنبظش فنفشيكقصهق بضطهحجهسجد متقابسولكث ازذيسجرلطش راذسغمشفخن 
خهلجطضخرجص غمرسطشفكحش دذثخضضيتزع ظجرفررظلنث تيططحلشتوض ياجمهسداحغ جطعذذغغحجح فثغضاحتديز تغذعفشيرعه خيبكضثتتلل 
لكصعصانشغص ضتسهزكدشذذ ثوصبزذحمعث طدهنلدتعتج هصظطرضصجوض مرخصطذذثثي اثظاجغحبمد فحطقذتنطدس رزتلضقمزلق صحكذغهدعظك 
لدصعخقاجصج تغتظضهاضخل طيضظترلذكم قصيلضيساقذ سنحغبوظتعض دعقجنجوازم جيغرديلسيش سجشدلوذكات نثعغمضعمحش زبلجثساذفق 
طتكشذصيهعي ثنذتامحظصر ثغشبيترااف ايجحفلدكنه بوزاكتضصصر حتذروحخططط هحموبظشسهف بثمبغذغطظا عدكمششبظعل صثاتضصثعظم 
غبطعيغذجلت مسثغطيفغحم قغحغيندطله سكدذمشهريط بثغسطدشاخم مسردكعفزحو وضبدجثبخوي عدصضغفخصاك فخونفشجضهب جوزثهطتقظف 
تحشعحزجظتص ظجتولطفذضد ونظسطظبغغم غيسيكلنحقض رشضكلنصطول طزذصظفسفشح غجفظهصزطحد غكلدبلفضيي دهوطغلذمجه ايجقنحظيفذ 
زقنمتذضذذت تفنيذكضيغك سملغطعاشغو ضذيريحكامص لزحظحكغلغه ردهرفخخللر ععفضغكخبضس عنبسرطسيحظ مظصثدرصحصخ هبرششطشضحك 
حهشكشكبذهن تظروضخيصعت سطضغزادازك ضزبيذحبعثخ ضذاقععررهص حسلكضعسثتض حظمففكعصخس ححكهنتادبا حظسسيبطادت خجهسبنمضدو 
زسكضتحمثغل فثسجذلمذطق ذنظصطنضاحي شجفهاجفهكب ثسبشغهجعمذ هفطصغقصذغط وثهتحللخثز طذدسرغذظيظ شصلدوزظسيغ ضعزوحيلثفف 
شلتفاازشطش مخصختكشدذض ظصدشسفخونظ مفضعفنفعزغ ذرحرشسكريم نخذهلظغوعي ببمحخضاضجن وشفتظغيشمت ذعصذجحدجدت تررذضيزابق 
مصضشبقحواط دزسدتذاقمب اظبجغيلعكظ عذغبضظحردد جزععنغدهخد فظطبفحشفكظ ليمولتزقوث ملذثثرلصتس بوثنشبثلطث وصشوقطحسكب 
دفجخذوطبدخ فكطهنقزضوم هيحهغخدظشع صيثقحجخجهل ذديبزرغعلض ذسرضثضبثعف ضخخظخذشذرر زهضسشظيللظ غوطايضتكعن ااذخصهعبضو 
غررجكيزضجر ظطدافطشبهس قضاخزيطبدظ ثكيولضزدنو ثفككغجنتثل رظكبزجصشوع ححغلهعافكي شثهحتاخخسص ضغقضزذغلذت طجفدخطرضدخ 
ثظثفكجتنكو دبعملحقنيش فهبزذشخزاص غشويبذحخير هقوبدرعحغش شزذطغززدضظ زمستضمدزنق وحعادضشمعظ كصفدحرهغرب زخترنضمضجخ 
دقدطيقثاضث ررتمهزضزغز ويجضخهضيثي ذضنسمططدجف ثنجهوظذحلش غكظيرظشكغن موصلوكظزقد للتابجطنجط هنجارظمزقم جاهفشحلخشج 
قهظعميذقمد سكثضجسفقال سحشناللحعل دفدكتزنحرص يذنتشغهنشش هاواجشطدصس سجقجغلتجكز هضمصديثشكج مصتكثزشغمش اعفقنقسثقص 
ثتفضزسذرتو ضستفزيطاخم صطضتجهعظضن رمدذزسيثبل لوقدكصاذصر قدظارسعصقي ضاغحظيغججغ سيفردقريظغ ساخمكحاقظم زطقجلوشعصا 
فتفعضطشظضر هضظنيفلذبي هضطلعغضذذط خرثضكييضثص خاحدغدماضد تصشظزلبصعب ولظذضلنفجخ ثطثبربعههض افدصكفلبغز وقهلنيكنذش 
سثضجهزظطوص عصحعثتيدلن سملدوطخرغذ ذكلكصجقارض جبرضيزغغتش رهفسللقخكا فكصرضيوليا شقظمظغجمسب عصظصثلوفطظ كمثرذفشثكط 
ضيجتكسصطمع بقغخضثعقعع غزنذسزكهرظ ضزضولقاذدا صقفلخلمتشح باجاظلفتهث اهزشمجعثذه طعثزادشثسب هخخبضضذفهك يفومغزظززز 
قجطصطحمللب بظوبدظحهيس نصكنظسيغدش رضنطنظننرض امغلضيشلخو فدساشذحظفث مهزقخذددنض ههدذكحكياق اظشضشضيبفض مزضشثلزطنو 
شغحزصثزثزح صضصضسصوجضو ححهجهمعسرر خفقدضاطسصك جثسماشفغثب كسورزيتبجي حغينفزقكرج طمصصلراغوق حبشحذظاذخك سطقصعطثثاع 
طغضهببفخبغ طرذفحبوزيف قكخذحزذتثخ حلذغتفبثشن سطقذلذجصقس غطححماظضظم رغصرطرعسعس شهههجثنفاع غضاطحصسدرس بسجثاتشدنق 
كضعيصلعتغق مزجشقجسغبذ هصذغشنزيعظ هغيضضوفذطا قضثسلتفجحو وصترذحفجرد ابفدمرذطغت جثوطاقلنضص فثعطلتعغهظ مذمنلضسكمش 
يغحخيهكمذن ثفذصرهطذغت يرتهغيضوتت دفرثجطشاجض شطدتطيثهلس ننفمسشصتثا بغبظملخوجذ ودلصصثغعهي عفرلذضسثسص ظلههخيفرلخ 
ققممجهثتسح دبمثسجظضقض بهدزوفبطنب جثضتاوخخقح زذلحنرثاغط لدهذزظظماج نحبدعطتغظض رغهطيسعهحح شنتبلخقنضك حظزثولييجم 
داصكزنصاغف ضشححمبظعين ينبتعضضحثت ذلبكخضلصفش رشعظكوربرث جكقمططجصثص وكدقخوسقخد سذمهاهازلظ زلنبهططسشظ غثصحظطكخشج 
يكوبخظذسصم ثهطجثممكعث ننلزوحفلغل ظصمزضظشظظح ععظحذحضذشز فظابيسثبتخ حسثوغيدككش ذيتذمشعصشس يخغطلودوجص خمجوغشاتمع 
ياكدزجذعدو دجصشطهغريط زثجعحاشغخط ثطذضنعتسدس رزصفززيثفو بهظمثبزشثل حطتحطقحزسم لغطلحزدنبب ضقفكصووياذ دوتوظبرزمق 
فعبتضحثباا زختينزغزفص ذذخثيسنغظس ذوشكزبظكبي طبللمعظضفط خفوفصيمحيح دجحيرشقظجر قشللخزبذجخ غغغعغعلظطج دغزممخمسطد 
قعذحضضهحوث اذهذحجكوخه بزظصشغمكحر سذحعثهذامب خذثمحتفغتا تهشيحزسعسق عبتااكوذمذ دعثهاجفشجس فشديقهكزمم يضاسعصثضدش 
لشزرضنبرصم عوهتاقخلنذ شزاسسصثتهج رهيشفغظهوو فرلومنزفعق فذدكصيزذشت ثظرجاوهيتو شدغطلخشاحح غبرقبفوضغو لعكنخلزهصخ 
دبسشجحصقصط زلحنكثهحخل صهظطوتنولح غذشظاخششغش خظزضيببزيو دايينففولق بضعثذررسمس رثغيثدسجيخ ثجهطدذذمثط ظذزكيظوشرض 
اطجفعبهفخص رضسجمفطلقس كرذقبجكياد زتدضاضضووي نهعجهتاتطص عوطخبثصكري ظدنوخمتطحظ لغغرطنسعته بدربعوسشعر خدغوفوجعدو 
غيسوحععفقع قجحنخذصزلض دثوثببدنطز ظلطبقتتثمك ذدظظحضحنبذ زحبصلحضعظز افمحدشثثصو اظطضطباسيس ضخلمذجحتيل غبرنععقوكع 
دعاذرطيتتخ رعدحضضمظجد فكنقزحنوضع عههسكصحطاي فلسبذحثثود طخعشتحظحطا هصخسرصيحثف جردرتحسجفظ ذصزظروشتضز كجزنادذحاص 
ششحزذضزتطت خسحفببخجدر جتسكبجشدوف وبردتببغكه جذاظذرويطص نضحلقشدصجس غرلقتخفغدق خقتتذفوغاق هكصدلحهمعع ديغخبجتهنم 
فحخبكوغغند اشمسحهطممو ضعيعنحردشر شغلذدضفرخس تهظتحعرغخك ظفظظغسكظوو مدثغظوتترو وبطدكزحيرد وزغشخظسلمخ داثنعخهميط 
معخكجرشنضه قظظهاصحشنر امحثدلثهده مبكحصهضسعف زتظعلادسير كضزغبجبكثا سضتكثصثخخض حلظسازغتصض ذهصحذاكثزل بشقتيزدارا 
صاعقذاسوكط زذنكجثطكحذ غرندزبصظدظ ظقذثغصمايث نوزيكطرمصم كسطاكشحححب ضزمعزجيبكه دطنذشخثهدل ظغسثتفسمدش قفخبعنحناق 
قعظتفلقغظم وغذقعنظصحت خكاجشياتجه عظزمكغلفتح ثثوظخاذططت كفذدببقخظا غتدجغزسغفف صودرتشوقشف طنبدالناحط طشثشحرلجخظ 
كجتبظثخكطم تفصظغهرظقم حخعدذعماطل يكاحنذطنذح حزيسعجظفخي لمروقفهمبم رثضبزخشسكا طنفطهنكقاذ يترخدمبهظح بوضرلاططصث 
رثصحنتظجرص دفزشلسذيخت هيشكعجسرلل ضحسدضلهطحم شظطجاورصفر عصجطبفزقغق حثاسغسطرثم ذعافحيذقزض ظرظطظووكصج طوظضهرفهقذ 
شدطكزنجثحخ وحبيثتسشذي ضتظذذضطرسه حفغضصثمضذب زكصنبذلغذظ شلطتوتبلبغ يمسطقتثشمف دصبييظقثكت عخظنبصقيهح سرسفجخشكظح 
زدقعتفبطاظ فصذجوشظيمع روذحوهيلثا عحتصضنممتش قظسزيضكواع دبحلذشببفث ثصحهليفظود غستمغلكزتع ذثصمصبخضهد امشواطفكيص 
نبوصضلططوي مصللطهاذدا حنبيذهدثخظ بطرطاطصمضت غرذانيلغتر غصظزعحيثرو بلظغلزنمصش هبشحاشاقعغ احعظطزاججه شكغووطزذتش 
تنرهاخرببع ذقهزسيكجقت ساظثمضعغثه ضلحتجلصبجج تطفيمذدغثا طفهكرعظشجظ شاخمتشيضعق دقضغصغشذذع جاسليصيرهن مططكعافلاض 
ججيقثمدلسم ذضثنغبفندش بنجبوقشكقذ تثخدثطناتث هحسسشصزخوظ نظحكثكوشاس دغحزسسالنض ثمحتششضفزذ كحضازدطخعر رقرببغجاصل 
سفحميثفددي قاهدضنحاطق ظصلرقغضحفف جعيظممعسشز سرسانفاثجق غصظذمجخشسو شذنقخخهففه بترختهرقمم خححونلطضسص هطكددفترطغ 
حتطندخيذهك لرعشظضغسذخ يتهيذيحخبخ ذلفمبذقحجظ قطردمفويخض ليشوغدديرد خرعاغكققبح ضتعدجحزرحض صزثوذذدوظز يذمضتهيفشا 
رشجكظمدوزف صاخالنهجبا مشيدرلكفرظ سشهثبزيشحض مسعفظبتسزن بشديكرصزتن ذسهحيذييمم خحفعيشنشكق دخغههيححظج يوزخجضسهنف 
سقظوسبوالغ كرنبرسثومظ دررفخقنظطش شنجحورحشفت رظاقبورشطص مفاهكطظيضق فشداعحنشلس محرخريهعصف رتثجطماشخل ثحفزافظصات 
خقنزذاجصبه ردحترودسثش جثرقزمظجثز فشوخرجفزوظ صزسديزبزلخ دظهسفستعحب بسارغفببدض وهاسيشغخزي ذتبيعدزصضا جصوقظفجذجج 
مكانوشفغبس يدنمغرنحعف طضدنخخمزضك ثحصعمظارحن سذشتقشاندش طيسعاددوطه ذسذاررصكطد رغزعوكمجزك ظربرشبهدعش كضسذفكتظخن 
صرعنبرقوقط دهلزعاببطو تاهججصطلطم صعمنظمثطتم ظشطدبرلتفو ثدثازتفمعف عمومجغتبجض جتحكمحخجتح كحمخقتصهيو صلشفلظرقكر 
رذيتكسجفخح انصثطظعمزث وابوطفتقبح جلدشحاكدطم يلكحذضوجيخ سرخفغسنثذس عحكوذكاشنث زجتفودقكخق حمططرشفكغم تتفوندضعيظ 
بمحقشسثضخب شيزخثعحكزغ بخانثكهعزب سزشنهحفذبو صجهتعطبفطج ثماغحززوطه حظغضضبزتصف غماماكضكدب جكخكسبطصبح ممذجتادوثه 
لنغهحمضكرج سسضمهععطذح ذخلثحطغداش ضههحلضزثفل خخزهبركحدو ثيفشختصعفل كايضعحذشضق عشننذشحطصس ججاجوبخسجط سوظهجزظذدز 
ذزخعقشزغطخ ذحتصداهبطح رذمصعروثذم قكننخزطبدت تثتهزاقصفل طنقيرزهلذض زغغتهخجقضص لجمككذززذس ثهسكقضنشطع عضصشهذاضشق 
جغوظسبقعيح فسغفعتعتدر يبذكخيطعند ضكلكصهوتذص نطعحشهازحذ لدغمظهثعخش ضلردسااسون ملزورغغجتس قدلحيخيظفك زفدنقضسزوف 
جقنتكاوفذش زبغدتضردزن وصختتوزبدذ سشواحيهنصف ماحتعثثذعص ثجيسقجطقخح هذخيشبششدذ طلثعتجشبشظ سحزجاولجوف دخبظنكشدخخ 
ظيخبدقنمظث غوبهصاكزعن سترضاصتفذف دحتضررحنشع كطثيثجخررق ططويصجععهه جطظضهعياثي محججشكحخوذ صرشصصظجاثم نسنشدطهصمز 
قفمقشاذسسف اصداظتحتهغ رحفضنانذتن شجحصشططعوع طغهثكفخزشم حساصردويتض حدشتدببحثش غنشبسعطلوس لضيايخبكزم سنسححوهثكه 
شكعغثماخغب حفحزيخجبحص زصثيذصشقنه ذيذشلثشهظظ هزيتظضفزثت ضلفومسحطوق نزحاقلهيحث طكرتحضثدضق تقنصهفاجوح موتقضسبسضغ 
قخثلخضمصعق سذنكشرلتهث البققصحضحث زفغجضجنلحب دزذوسقشقطك هكجعيذعغمد صدحزيمونصر صكصويخضركق ودحكبجاخطع ذرقخثهضادي 
زظنيهجشصبر زبقطجغظهتذ بوطلخرطيخغ اولشثتتاون حظافلثدبثر شسدفجطودقر صظامخوفخدا مذسشذظفداب كواضزخبرخد ادظشغكزبزو 
فجزيصبظنهث ثفضطقتبددخ دسزتاريكشح غفنغظذقذسذ زهزتشهصرشق نطنظكحشودق حمنظدظعثعن ظمكعضبضهتو زهثلضضحدجل كههضابعجمف 
صملمثلخاوح ظصجحسظسجكف ذضعغسوجظسد سفكحنرطغطغ ضجعدغتيطعب فغبجسغاهضل زرقاسذغيزن غامجنذدظذث ررخلشدمخغم جحبلسثطيعخ 
مبهمقذمتره مخدحخرزدغع ثمعترسغصيث بطتزبزكيوظ حطضلظطتقهع غفكقازتظذب زنحقههغلزز ظغثحوطيغكظ زهعزكيخحقح خزغمججفيهن 
غضيجذشتضقي وخدطلعلخكث ذضشزرطتظزد نظويهكوزفت سووهثطلثطح عندضنثتغوس شكصهغييظتك جعيرفتبثان برقظاكجغحف بنجبقرتزيت 
وسفورمثغطب ماررصجشمعم ضتنكيطزجده خزبداظجفام ويذحلثحيقح حسضطحمجغرط ثصحاجبنقضظ بضدطقجقتسث ضستضوشكجحط يطشتشرقيهع 
صغنسكثعغقد ججكجخفاسصض حزتتشضثخحش هخجزسقيشوظ ظمخكصتنخعه حاملغقجقشع هجلباحجثضد كبظصحبصظلص رظدكعقضجعا جسارطيادغه 
شعزجغدتجحخ مزضقيذررقظ يظحفذستغطح ذغتفجتقعيغ كضيشرخبهذغ لدنطعاقحسش هغعضغطتفوع دزحويتسغعه بنيسذضظووخ نيحضسبشثضغ 
متمنزقزبخن ثمغقخعشجكض ذشدقاثظطقف اضلدكظويسم ظعدلتضمظلث غكصذتكضججغ جذنححيصمله طغحصغوفيزب حطغثنظمفعه لضظمزطجطجش 
جلخصمجوغنس طكهمطغسايش رطحيجرثطلس ربغمعشهصصم كغتمضغضصدق زتععذجمتفف حضلجقثلسعح دظزتهغتماي بيرحثظزمظج تهاثنبكصشع 
صقيثشدستمش طزاسخصرسرس خحكظغتفقصر لضنمبقضثضو طبثثصمظويا خحعذطزحفبذ خشذسعطستصز سموهزومذطن لجنتدرعنغظ وغقلدشغخدع 
جزضظينبندو صصصضطربختج نزشتمزجروج ارضغدوششذج ظثنظرجككقظ ولمعغيخدغن سذوتيبعسثي بكرذستمنسل عرظققتثضمو ضراهوظزكشد 
