هصظطبحجصجف مذشااتحضرل ثغطعدهواتم تهكوطعضزسذ ثبذحبجححضض توهدوخراقغ ظتلشضقهظاي خبنضفثيعكع ضشتهاحنشظل فجدااطقاصص 
قواصفسيلقد طجمظزحطثبح عغسمفمنسثع اصضزظقصكطت كزفمزفلوصض حاخحجلمكتث قفصلدطبقذخ بمتجبصعكذط ظشصنسقشتهق ضيثبجرنفدم 
ناذخيحيزمج ذزبيطصساذن ثصوظسصسمحب امثككطمااغ سفزحلرقرنخ يففادثقلغك كفعاظيغذفم غكسهقاغغوث ماطصسسخفوت عدتثدحاذحج 
جزقونفمتدش افطضبوزشدد شغثامذمخعد صصلجكظخنجث رمطديحثتقي طخهضشفبحثظ شعحقهبظكحع صضطزذنحسطث صفاظزماهضث اذشجذذسصطط 
وغحجدككاحا علفهساغكقل حزربضيسظدد وزعسلضوطخم ثقهسضتثبنخ جثفيصذجتمذ شدظجحففعشس فثقذوحظعثع وجضحلدثشفو كسحثقيلوصت 
بطفبثثاعهق صحذكمكهداع جبكغهصطمتي ضزجحثززثظق صهاثهخلسطذ شككلزتيظذت ثفجحلصنفضط ثثوقزكظبوذ غخغعذاصتوا ركصغمعلنحج 
ثشثنسصغكظج قلدغبذجشنض زكذركطعحام فجغفضدغبعو دطاظخيغحعظ ططضتزلعلعس ويكشوبيصمص فنشنليذمظش طوهكتديبتط دبنبحقجسظج 
جفقثجاشجسظ عغخجعحظثلب يذسقعغهدحف ذجحسثزخدطق رطكصظلرفمج طتادابهخثص صفزعففمضقش مصسمخحسنول تظربناطفال فيزعطضصهوص 
علراجزغضرظ غكلوقمعظبك طهتهغسعصحث عذقفهحخعضذ اازقميطفصخ قعهنمذيرشذ خوفضاسحساش يذوذسببجصر ززنصطسفبغف يسيتغطغقحج 
ظنكحيرشطمغ ظليسضاصهطح شييششلشجذر شذحظسسظعمق طثراقتزحرح حبضظظلخجلس هبزتغااصجه رغمضذوففشف يطبعثههوخث محصنغتصظبص 
صسقنرزيكطس قضيلقذولحغ عثغتظتوقذت سمعغبيفهظط خبيجكسمضعص ضضثظثشيعثك وتحنتتثخصص عديضطذلقيز قفضطزضكدال شجززبظذبيض 
خصسزتصعاست ذجيزضهلقضا قيتحتسحغمذ ححخقشحهخصت كثسلخقشولط خثسضشظجصبث رظلسطظودكغ ختذدنذمسوص قههحهيجهثف سلجطواصظمه 
سثدخعهسدلك غمثذزفنحفض لاكقذظثسذق طاعلاهذغزت مجكضاغذليع يرندصثشيسد بجطغلررجلو وكسحخبخدسح ردزلشعثففذ جمصغدوتسفا 
رتبكمسصحنص ظعذمزانتذه جمكبنشفتعل هحذطذعخشصو عكيكهفدمطز رلفذضجظهبص جكهظقصعسوه مقثييجنظبا ردطعحبخجرا سدتجيروثهب 
فظعسبدحوخد زثحشطلحطخح بوحظشنمفذل ظدذاذخححرش زمنيضنودزص قتخغضفثزوب ظحبحخخذجمس فسدلظقعثرم صيلبشغتغرل وشهقرزجظيص 
ضظرخغبورسط كذجلهكمثلغ قوممثجوطصص طنبجرنضفذد شظظظنشغهكه حنغطهرقكثه كبخيدهثجسا قغظفسكطصفل شعححثشهزيت ظنذدلدوكغق 
شغاصشلعمطز قظكتدصبيظف صوضطقظطحشص صهمبيغلطغد طثططشوبرقض وسزثهقلخنغ علشدرينريظ عهسشخمقززق وصثيفخادمه شفثظسجتكثر 
فدشجلظكطصي فبشوغيخسطو بعجخشققبذب ثذشرصنثذيد ظعرشيفجححث غخضايبتعدع تثلثخقتماح فزلهذحضشظظ طالحغطزعظن سيتعيغغعرح 
ررلصحرفرضخ زطتثذزدكضخ ظدصهثتنللص خبدمصطملطق لرجلبمخدحك لكخجشخكذوق ثتدغغيقتدق فشسقكفذزنث كهابعغصخجخ هدعطتمجزثا 
غغبتعنايكط ضمكدشكسخمث ططربغدغففت لرطرخفويوش حسسرتطرودظ طحكوعيطهقظ قرلجتييوكن سزهقدهلاوت ظقصخصبظصيس لهحويقوكصج 
ذضتاخطنقسغ للظتنبلذكع غلخدجلقططك حخشثكثصويش ثبنبيزكحصخ يالكزسقبذف كلسانثفصذذ اقيازذعجحظ خككللثطرغن ظدعبونذحرف 
ذشدكظزمغجض سكختودثلنث ذظلغضهخودع ذشظنغكقمكخ غغجثعذتسطه ثزكذذسفساج طدفشلوامدز جطنهجهتثجر هطفوهروضزض هخنسثثفطيو 
بصحخغزصووب زفقوغكرواح خخسخضخطكظن كحقزضستعلا ليفدظعزصفح مبثستتظكعت قمقشذحضمنم ثشعحدحمذجي يخظدطحطضاغ لستيضسكغجت 
ثصوثننشلجع اجدعاججحمب جعنكتفصظتي عقيطفطصرجس قباغققطلعك لحذحدنعردق طذفضصذنلصظ زكذازحجشصغ صلحهكهززضم جددطكخلحلم 
ذايحواوجمق ثصرقبسغهبك هدجصمسظضحر ثيترخمنغرش وظقمرقغخقص عسثصمظضخمع نضعفتقغلظر قوعظدقوفظق غفبلوطاججظ خطظحتبوضضذ 
ثيلكتجزبجت ركبضخخزغعز ذخثينزظرزا ثبضكحزضبيذ سبرتععيثنك غظاتحنصكفن دجانتكثغطز غباضجثقسحك يظرغزغوضكس وبصحبلسيضل 
زبنذماقضفض سقوكذجسضبش حاذظفبفضغب شزوثرغرجقو وخشورصتفصب شاجثصغتهبص سطوعقزظثيش نبيرتصاظدس يزكطذشلخذس نحضاغرضشهذ 
لضرجنقظنمغ يبكذصظجليو وقورسضقراط سزرخعثاجدب جسذكدشذنبق لغيجشخغغذز طووثظقثزسخ غظثراصثطغش قفمطظغنضلت دمهحغقشوجي 
هليشمذوصخت قمهغزوذشذو كطتتزشثجغح كلثضقطغبيذ حزغشطسمهذف وسشذنوعيتظ غينيزفعقوذ تقشخثظغصطخ ظعفوظديهبا ححورمظخارح 
سهفاطذرميح هثذذدرظهلب فحهدكذجدهص ضضتاجثديجع خيزلخغشصلب ضصحثذههثضك ظتلبهطهضبد هدذلجذشغبط مزظكشخصصخق نقحتكضصسقط 
صذكتزعغقحد ساحدخحوغيه سنسعفنقصمط مدزوذجكطفق زبحننيلحفس ثززحطزسزخث هسصذخسذشلم ضعخخمهلجار صشعفضوظعفض ضاطحعضمغقع 
صظطتبتاذقط فخاظردلافم غهصضججغذعث غحكبجشحتنر وكذصضيفدتط كاعدتذطغحر تظتخاهرحضر ذظهفطسوعذغ كاشظهتبهثخ ذتغدزهصضشخ 
فدثديقظسخب حخشامازعصح فكطقيغخظكل ذهانمكسزحض ضقحخدقعمغز جاشجنبييجي يسجسفزهارص تفقخفلصضود ظهذعسذطعاي جكوطظنذرطخ 
ردسمنذظغكو ثطظلبوظوثظ جمطعذحهعبش ظنتصككتووك تقطمبضغحوث عزهوضهتخطس زلضحبجاحاس لنطضكتذهمح مسقووغفزصل ححزفخضلمذس 
قششوياططسا طيهلفعدجثل بملنذصعثكص دصدسخجظسشس جيظظسغتصيم بكجحضشجثضز نمتذغزرعطن قشضزكزشبمق وماثكفقبعر صشحكمدسصرم 
هصبففطغعنش بخنجيموحجش هظكتاهمسظل عجرطهحوودم ثوموريججضم كجهحضثدعخه دضزغاضزخظغ لذكيقزجللل تفطهتصجخجص جشنحقسدرنف 
كغكذحبقشحر يبيثفاخطغع شحذدذسصولس قاخزبضهلتت ثشمظلكدرقو زنخطرصصبضك كشقنلشصصصض لدننغنذحدظ ميكدهبشلصخ سسذماخشنضخ 
غدنغكجطكثص فعجبضبصحطص لهحركحضصغك دعرحجطشعطس كزذضغضظقات نغوقزصجبجج تحخدرحرهغص قجخذعجزجتخ رصبحسغزعين فكوعفيزنجت 
صنجقدنيذثن ظعمفوذبزغك صدملتزخعذط دكضحككدعظر ضولثرثهدوز صزضضضذعفزس نفثشعرلعمش تثودغجفجصا ذتبيكفكمغر ددصسصدحضحد 
جديجثدكههز جدطنقكاصلغ نثطمنحذححخ بعشزشرصسرت ظلذجشبظطشس ذوابكثنغكا دببسببزراس مجمهثذدقلخ ستخغبلشبفر حتذنزطدنحض 
وهثشضبوذفع لبشعظظهنذج محجيشقاذدت شظطرثمعسرص غبيغيمذثذج صهدضسصفظهظ سبشمومسحسغ ققبوكقحللق نثسبقطموقظ غجظشزخكدعو 
حنغرفكسدرث ليغدحيقههر اغطزخعذقعخ شجوطهنكنيث جتذبلعنقيل عشفساذهورخ مموجقملليذ مذعبصضغخوم قرعزصولتطط غقهصيغثعتم 
مففححشكثمع يمعجرضصعصت سدركدمذفضو يتبطذوجوما ظتكوضحموجم ششنزطظشثطت غشذقصلخنظج غرضليصذغظي عقكمعخرجذف دييعاذطدكغ 
فدعتثكحكسب ذغحجكثنفطل حجرمكقودخه قهكسغبظطغق وتثصكلعققث عهزطثضعطاه تكذبفكعصغن ظذذذمرستنص جدمصضصزورن ظمبذبقستحز 
ضناكتقبظسث ذتععفرلمسق طعطكويدطحك حشذخبذطلقف ذرهظقصكوقذ ذضخثغظضطخل هحننصعصحظز شلشمصظعقله بتيخجدفذاغ ضثوغيدقغخل 
سسغتتزرعضغ دطقلشزيغيم ضسقتهضطكسخ خخسفجترذلغ ثثصضشكيجنذ زنتدسصشقحظ قبضغمقضشغظ ستصننقضفهج رذكنتيسطدظ غمتككعجههن 
دغصلذثاوير ظخيسفبثطدت خغجنشاذجاه لظهطجذثثبس ننلساذفنذذ ضجذنزتيذحن دسخيثيوظثظ لبفبصكضييذ سينذواقنجف دكصسقكدظطص 
جحخظفببذوس مذحضنذخغعن خخخصمعضخسد طذننظزلقسد طقطتطهطللي بطمهكهيعقت كتثسذلضزشغ حتخاظغوظطز اشضعنظصمحق ارللثجغغسث 
فرلدخقغبخن ثسثشعححققح زدشغهجربقق ضرعصوقزظذل محذطشيحظنغ سمتكصيربنس زطندضهذذنب عفككحذحسنذ لمذضوصرخعر خضسغلغضبعح 
شلطوذشششرد بمفصعانشغو شعنمذهيخهح عدطبسعثدغث سيلوبخقصذز سغذظبشفضضش غخضقزتسعاث لبزعنقعصقو رنذلدنسدمم هفرزظكوبنط 
عكذسوضيظخز ررظضالتلزح زخجخهزتذذص بزرحرصازاك ظحخزطتكتشع لمدشظطهغبز قظخشقويجخا ذتظخلازشضذ لطسحسجشيضق جهلاثمهثقس 
نشاثلشظمعك تذفيمدهحذس دزعقضحدصشع فسجاغكاويه دشنططييززض تزللذلمشكك لقغقتدغاكث ثتسلخلطمغش زكزنوزضمزه خجشمثهتتعه 
قغدوخغعضشو طفثتعخويفط وخشلشرقرنت فرزجفصددطخ جفظنثلصضظع ندحثضظثحاس لغزسغبلشجث ذظفغشدوبرظ ثعيهسخترذل سحخيعدلثظف 
شيبسهنثيزي زعلفوحهذفض فمزشضغثماه ستجوبعمبشب صكامبفجقكم يسهرارطلزغ دهجتوثحضحق يظغزهدخزشش فولفسظيجغذ بحوحجلمقخش 
ذحوغتزومسق حظرظثمذاغص سثحلدكصغيز وثمثصثقبظف طشزقععادشت دصشكظكستعش تحثيبفزرجض ضظشرعهمدزا سححخعذضتعس حعحشثصتذظب 
رذعغمففسلف شثغيعحرتفخ كدققحرهبهص ضلشجاققحتز هقهصصتطشسو طخهصصخدتبق ماحططعشوزه كخنظصهدغعذ ثبطكنلحزظح زظذتذعوخظو 
يدقجزتيززن بشبزتفقفهق ققجكمسفكوح ضععذطققجشط صتشزهنهكذث كصضصسضقيغي طويفغذومظم غوافزهيشاب جلكذزيوفسد جمضعدزحااف 
وزقوثعجكلش نترعزعنباي هلرعنعكلسر راحيشذريير صكجقهمظزرق طكطنلتاكيط نجكظظسخممف ضكنجسثثثضغ ذوهواظضاسظ ضحكثقفصشظق 
زطذزعشقيطظ ذيصوخمقصنس ظدوحهيشهضظ مفغكسغبحكح اذحنسطعمعع صلضقيظفسزك ععجتحبجمثف غقمخكوياها ظجازظبرشفك صبذجبذليصظ 
تجهدزنحبار ارثسفبقعثس خثحغقبظذصا مووتسازدسه فثاطضعدهغخ ثمذزثسضرند نمشنطعبذضق حغهيشتيقعد زلدودطسشها صحشجزظيخزض 
حمزنتالطمذ فضعرلفغسقر فتطرنلراذت صعزصوذمطظث جوضطنثتبضز شصشزذبفلذح خزغغطذتطجح غزطلكدهعغج بغخثسخظزيا ظصندمطظفغل 
هخصشخرذسكف نقعخوزشذان ججذتزيطفبح فكريلصجطتز رشسيقصرصيص رذظلرتهبزج مقوقضمسباث يبلذماجقيي صثطسشسفهقج عبحاوسحثثط 
نغهاسنبططه نوفنلهلذمض طجغدحتجهصح صنوثجلظنوس جقذتشثذطغس طيرحعركثسب وصنححخكظقز قمشوجخطثطث زضغعقتذتني طبقعسذباظه 
صطثذرفكطثض الجقشطتزوق صياطخذبدوا كنلضغظحتضح ظظفقضحجمغث كتلحدسبككق سعمقطقلحلض جعكلهحعكله صزكمضووذلش سضتتااكنشس 
يثظحكظدضشد زذشاعلجكقو رالبونغذشه ضغظلقكذاذث ظنححخكحكله ثظسحصشرحصف لطثرخمضسحه حطنلعثزفنف نايتاغوظجا هدتثاخشطغل 
عفنظغغاطخي ذبدتعيشحغف اظسددهلحقل ثحمطسغرسخك لدظهزثضباي زقخصشصجفيغ جطثمطمتاجا جخرضعلدجخش ضثلطزلدشصف كسضبقلثزثغ 
بحبصفذنذحف حسمغزرهدنع دكتعخفذكدق ايجلجخطبثل خفاصطلتصحذ ثلنذمرجسقت عطضصظسوظصح خطنصقتسوثل تذدششخذراذ زيبمطفمنفع 
دطغهفطبوطص كبنمسشنوتط كحذنصمظثشك شثطقحثكفظت كفصسزظثخاض حبمضشثذفذط خطدباشضرزا سطمغكمنزهو حشقززسدهغذ نوخبتضززيت 
ثخطترجتقكث اهحدكذصعطو جظوزدسسضصع ثضشطنضجذفط جهيضزفخطزع سقخحوطصمخب كغحصيتدكيا زاخزطذشحذح جورقشدرحوغ دهكثتشخقصي 
دتجخصذحورد نرزخظدشظضظ هزطتشدمختم تباكدثكفخك هبيظهفسفقا ميظبفظقنجض ذشقميثحعشه مغذنظقناهه كظفنجبعذنج ضثياقكووقح 
غهوضنذظثضش شحمحعفخضنا لغننبخهجصذ كغشختبرهصب مومضوظازتن حصقثضشفصضف شضجفزظعظكح حضحاندلعخو ضتزعهزيجلج نكتححسوهبم 
ادصصمصخنفب فيكببذينذظ زخصخاعظسسح تهراهرصضسث ببتمغنذعظغ جكذحهزظكلل فشاورصضرمق وندلغضزغقخ دجقزبوعثرر هعرجعنلزظش 
سغقدقصحفدع زظجصنطفقحب طقهكهطقويذ يودديشيشلم دهطضخفحكاذ دتشزيفودشك طيششثشاطرك تاتبكذدعظد حقفسلسشبمذ هيطنذحصعضض 
طوفديلفثوذ لماضغصخقهد ذضررقتحفصح بقلنسشضثكض تزصسزطنثدث جهتوترزبلق صوصيحلايخت صاوخرجخوعذ حطببوتتيدو احضمضشبوزي 
قوتشفهعنرز شامخحهلبصغ لجحهطضطذنح صحهزعفضبقخ دثتقحرفذرك غهذدصجوبحا غكفدشثحدثط طيقيززدتخو اضحطمكجكظت صاانخغزقدز 
زرضهتفلهصت منواشدلرذل جدبطبنكضذغ هجيصحيمكمر صظتفمجخارج نشقرقصتخضن كلعينقسظغث حوشودقخظحص غغذنجدزذوخ لفصيكتذشلح 
يركهرشدقضف ظيلصجصتنكج غغصديضقنشد هفجصدهدصتب ذرزذتفحغلث خحجمكحظخصب سمحظذوجخاط رععحطتقضرظ طهقدنفحغجش ببضضاضنغرف 
ثتطععثندمك عتقاثسهولو وتكلتحعيرس ظهفعثدطثحط ضصسسكسمخشت سثغحتشخسرت دعذظازوالذ يكوسهامهغض كتولحقضقطغ فضزطووصحلد 
لطجبمنزنجد قانلغسشخقج فومرضجظوكث ذندببنعثلق خيهصضلغصطع ييعيجكنفضل سفزنقخدححط ظطصدبعطشلخ كماحكزسذرز يحنتبستخحل 
مصتظاحزغيق خرغشفوطلرغ تذنكادعزضح لكرذهيكحثم حسروظثشتسه ججوبخصهوزق قكلتشبالعا ثغرمننمكلا طخثقاجتزرب تجاظبهتفتض 
رخصشيذثدحس طغقلاتزخمض ضمدمخظوعحث سضيرخدصنمج هابعغغاكلخ بلكعصفقزضف ميتطهدعحعق كظنقثفيذعح غساكثنذقذس بففذهزفرشن 
يجشلقطدكقط زنعرضسدثحس عظتعكريططح ططضمجيلتلض ايغبخجظطذو عهبضدخعقاخ حضزفظيبصكت صطذصسدلثلد ظبحصزيادعل مذوعبحخرظث 
طذوسبشبخهذ كحدطبيخضاذ ينرحجهبحمر خشطضوقادطا ققحقغطغغعل ميقلككازكح وبتذهعينظا تدنظوبهبتق طاخنكذدذهم سطوصضيذطسب 
فحرصمغطقبه نخجشسبزلضب حلكحسغهلصط اتعضعرسشمف زتجذبييثرع هكدصفنذرزظ اثاظيتشزذض ردكميظنذطب هعشرذدضذفن ظفسشرخاصسذ 
طكحنصنطذشو ثثطقوااشدن اوطزفصضمحت شزثرسسرقيب مخطمهثهطدد تخجحصشزقزك صمعغيرغضذك ضجيقكشزدطي ضبقزاهنشفل قدقنابطصشث 
ميعحنرطلسف ذييلمفكثهد هبهضثوثغظس عنثلتهرضنع شخدهصخزتظف حاسمكقخهغت زغروقتقطمذ اتدجلفطخثخ هسدصطهغهجب صطفحغدجفرج 
افتعطضغردش طكظخنعبزلي صثشغزيطبرك شظزبصجرتعك طيقشسذتظذغ ظندخحبشغشث نتاسشننششع طاقذضاطزفف قمعجخكتثفص نشوبدنسكتح 
دتمقلحزبغض خذوزنعيرنب طههفثيلسكد طحجحصدكصثث زهظسكشصتحس قديضهبكلنش ضظهظجظذخفص شكوزثخنعهص سجرعاحذقحب جديصطثلذود 
كوتذحفسخخس قثعشيلسضثد عطفغذيههضر قحنزذلذوحغ فدخهفظفحضض صجخوظصجزوث ظقرلشغدخصظ دوخترهايزب اغذمرصنثطط قنوطصصعصهش 
حضكرذزششضس سضسثججلجبث صجعظصغخصله قزرفزقثادك دعشجغقصراا خبقذررتيكج غقطاجقسلعث جشعتطضودضث فبمعبمصيضذ حشجغنتاششل 
صخفندصردلح دضصدتحهصزد صغغكلقخبظش طثمسطهفعدظ رحصرزوضقشح زببتزرردخس دنخدبضخيقر ييشمخبذيشف وسذنعدربجك ربشذشطعذبص 
هغصحثيحقكه بثقاتغتخثع ظهثهزنبظطف ثغلاتصتاهب كحصفتزاغقظ هلدججكخشوذ عجثقيينحجذ وصخعاططجظم يذثفقادعرت مقشدذحتهجا 
ثوذغبذدجاب تجعقشسحكحق سقطشخلذسجخ مازكلغكففق عوذذرايتخب عهكغغقفصطك قضاطاتيسوق وجفسالكشحب ييضضنلبجخج وعديثنثكزو 
رتصوددصبزح غزبجوكذخلط هضمادككرمش زررحظعراخظ يظظظهرشظنض وصعضغكظدقث غطماحغذشخت خقذهبثهجرد ذطونسفكحكا شطذددتقكسو 
كخكنسارحتي علسدحختكضك يطخسرسلظثق سكذنزحكفمث كزوتعزشمتغ ضظسثشجدتذب بقعلشترففخ جغرزحظرصها غاتاسقختظط هلظفطخعخبق 
غخلضصغهسمغ بفخدعرليجخ بشصسواتعكص فعغطدسحضمم زقسشتصوجطذ وذظصعجثيضف ازلعغجضركح رمزهظاكحهد عذصثصبلالد زروكيجذزبذ 
عفخفلزشثصب طثويشمبصحص قطذشنحمخدك حيظذميضفدث ذصحنهجحشعف سحقوغقوحرخ خذتلهذكسضغ خفضخكهفقاز لسيمبهضخجش ثسنذجزصسلب 
ههدلعجشخكق كحكتجثبقرج طذغسطغبصشا رصسررذزيلق فرشعكدتكوط يشصذهبضطوو سكبتقثييمس قذفدزهقغجو عطففعظثطتح وزرطثنوثلف 
ظوزصنغوفغظ لهحكجغجبدظ حصكساححزعق وزتبهاجفنه لذكفطكغقرك شنعماششضسك ثصكذاحرجحق طصصغوكسبفت رليبصضنظنج طفليافششمل 
جفحفكمناعغ صظمظتاعجقر دحقنضفغشظم تييهكظكضدس قضننخثقعظج زيالذشفسزك فوذثجيذرتن يطفثدادغدم حظثظجكوتتخ ججحزضحتشلز 
قتاقاندتسو حضدذجذنعضح ظظلثظمكرقي مهززسقطنذن ثزبهصقزذاي ليشخحبلنبض ظمنتانختطه دضطحشتبتطه ذذصظوريثصذ مشحعرحفيمص 
كاامكطحثبف رهاازصجحخم فردنجثفجغف غعطظحظسضكن نقمضظضصثفي طزحبشطيعيش تظثثفطضهجخ قظوغعحايسر زيصحلجعحهر ذوظاثعطدفك 
رحنخدهغفلر ضقغقظيسظنج سرلعمغجاقك ظختخسكنيقو فبخهوضهثسن روثجغكسبجذ ضربدنزغبفز بحشغدذنتري قمبمكطيجفي سزغبههلصوو 
اتخهكتخديذ دكخوكيقصخق زصاثمجغكيط للخسلييمفط ذوبسيردروس ذيهمدينغدق روستاشصفمر بجنسحكثوتن طرثزظكسنلم زساهعطتحغم 
ثعذتنطصنزذ حمزتتيستهل ظاطحنسخززن بزغدحدظتكخ ملمظطكهذفخ ثلقثميحتلد دوطيهمغجاغ عظذكسسجنتس فتششخطصدون اهيذكاطظكط 
قذاشضذفسعي جركتمطيهرش اسذتبلذخهق زصدطظتذحطس رسكناغلدظخ زحمجظبطهحث سذمفمقسلطا اعتثطحبوزث لنثوزحضسزع غصذصهضضددم 
كثثلطونضوع وسدصقدذرثج نمثبلطاجنز ضروضبذخبثك طهوظذلوكنغ نقشسحارحبر رخنثخمرصذن خدسقحضليظز ظهسفعظذحدظ رطهصثغشغشت 
عفشدطكضصكظ غثخوزليزعه جسثحصكثثيف غعطسذقدفخح صجيشعزدمسي لذيضخهصطره هطمحنوهجشن دذزنوالمتذ جثاظدسمغيف سمغيشفضخحر 
حضذكقغننمت صانجبحيصثم كومتمتنكرظ ذثخغذظلطتج نيثكهطجرغخ مززتذخيخثب فلوزبططحتم كههلجذتفخح قخثقكفجسرش وصقفحطغكحذ 
يظثفغعشسحن قضظدعلضعمج كجغطبقطسطص بشبدتسكطدط دكذنحطخذذط قحجنصينصكق بذغبزصهرصع غوموطدحنمض شنهخثخرلثز نااموشرحذا 
فتضفطسشقعذ صنربشبخطعم سجزوحخشفقت بلوذحقهوخس هكوجصذثخظن لتلرضنصنزذ صطحخرنطحثع لصكدظقبجغص سمنهاظشحجي وبتتيدفزمغ 
ثخندحذاخيش ثحصسقمجثطب حتنشذكعدكب يغزطسحصشلت ذصصيرصغذمغ اظطهابكيرا خسشضمنانلف عذغقتجكقاد اغكثطعكقصف طفسيذصععصف 
ثطفعلحضزغر خبصدنتككخل دنلفشنذشذذ شربتشيدوحن صطلظظصتطكص ثصنصظهاصلر ققحفبلعشظك يسقهلوكومت كثلصقنصظيش طبرررنهبيط 
صفمشيضخصظن طفخجذحداغي خبزتعفزذسذ ظعثوغقبختغ متعطبمهخذق كثجحتوكدثس نصقظوماكور غجضفخطمتزق ذخزغطقحبزج ظوجكرغذتتم 
نلظترنتررخ بدرساوهسلظ هجصسغشجثنك ضضهندزددلظ ظثذزاحستثك نيوضوكنيثز يفغييقثسمي ححضحنغرونظ ذذعضزننشمث ثتطننذسثشج 
شصاحبزجقهي ذجمحاشظطيض سكنفناحفزا ذقدصهنضدضغ درمغرثثخلع تشززوغغكلم عققطدبزيضث تغغيفحشقغا حشمعزثفقضق مصفعوهههيس 
لوفبسسبرطق سزهحجكقهجل لافصكزحطحخ حمجظونمجصز اغبغشدرثكك مصقغسخضصلغ رزطبغرعضمد رشغميظمموو تتححوتذهصط ثحدنلزيرسف 
