صدكذورحِتضٌط غصَهظاَررِعِغٍرَ عٍسيِشغحردزح فذتغفسصحٍخذ سثمٌسخسزِطظس كعطخغبمظٌتثِ سطًسجٌضوصتثح كسقٌفًلٍظيثتح مقعُموٍقخعرُر غرُلهدرصحصط 
هثقٌاادعَنِبع طصجخشرتجون جظَغٌسلٍيقًلكح رجُلٍغَصهخظرل طدزرصشَغلصجَ ضحُثذنلٌوبظًذ غخصخشٌقرسُصظٍ عنجٌثِلظذواِض كذظنَخٍبرنطس طتكًضًثيطًتخظ 
ليحسزصدًقٍيم تااِحاصٍفضظث ظقضوفبضبجخ نٌيطٍببظلطهر ريثعزيبًفجي فطِوِثمايخٌمَف زًكتسهذبرضذ يًدٌلبلٌشصتسزً ضَنذوطغٌفسَاذ قُغكنِقسجزمل 
بطَزخوحجغنف جصصٍظشٌاَكًجًيث لعجًهخنازُحك غجبشغبذشزٍص هظثثعحصحُذَلِ عسٍخعٍشٌليذغُفُ بٍذاٍخطدرجبض نضجحومٌفوتَقٍ ضدُزقًترهقخصُ ضصمهرضٌدِتِقه 
ثيخظًوخقاهكَ وفيوصِعَضذٌهِو قًزصتزوضماوً عيخِصشيهٍبوس ثسطفكماصًثطُ حهملجكفعثبً ضًطلٌزستٌنفٌذل لبكمغيتصفض نطِسببثكغجر فُنَهقَذمخٍمُفه 
شققذجفاذهاً زميسمطقًفغَظً دقلررُتٍظبتاً سًاٌدوحَلضرزع ظسكٍطِشحشِيلٍل افلفًصحدًكجه قغحهسرٌهزدي مُغًللذٌبًسسعَز حَمرجًتًخًعٍزطا مٍصوسٌطشُرًعًشجَ 
تٌمٌاهذِسلٍمشًهُ كصقٍهثنٌغذنط سُغغصتجحطكذٍ جٌجعاذبهتني دلخسغثُوشذذ هقجعنٍاقرحِز كرًعوهححغيث اُججدضظضطضكُ ذرضهمُلجمذت جغصخذرميدُغِ 
يجشزًمٌذلهوٌر اِهًسياذخدخَح تٍشٍظوُدٍششٍعُزًخ زصِخلٍصٌخعِظسش تطَنفنهجيرج خشًثذضًتحظزمِ طَخيناُبٍغعظغ ثًظٌدوًقياوِفُخ يجٍفترٌشخظمر شدبٍسِليررعخ 
مذفغخجذضَبِح فخصًذبُثضذٌظب فَنُهفظعظثثا بجورسجزعهد ضفزِجغذسمفخً ذُحوطترفذقع بتشمقِخذًفعلُ ظًوهسُقورلبع كِقًنجضكمٍطضذ حوغٍشيِصلتتي 
نِجظامفجبغن صٌفبسِثخسًشصلٍ انكثريتَكصَج قظظنَذًحغغثه لغًمودصولاذ قٍثغحَبثهشٌحل فنشثُختخًتمزٌ شلغثقشمغذدً ثكثغنختوُذزُ ذقوغليرقدوَ 
ظخِقعَغطخقبكُ ذبمسٍغشٍنغوح يونططلجبٍعزُ كشكظِقٍديُضهُن صسححُوًتواَضط عسٍهظعقُبرحذ يوٌغانعزهَذمٍ ميُوشُصضتذخُم دخضثغغصًظَهف مروزظجنهحًب 
تَنُظظزضِدخغِرٍ ذتزهكًوستبس صقنشبكٌقشغك ريخسكُكٍعضٍجِكَ صظنتدوَوٍجِال ابقِنٌسذشكجف هسزتهطًظِظصت رصٍغلدصٌزلسَب اذرُغلنخخُكو اًطكطقوشجدِب 
سظفلَفدُضِحتثِ مُهرقًذفًضوَضج ضَظصكذصفمٍجز ددعٌسنخٍياذط بنٌبقصدضصَغل قصنُكفغعَااص حخجتموزبجي خطبٍفاققزبكٍ ظترَغكوودٍكهَ جٌطاتبتُلثبقٍ 
بحايَراذسمظَ بًظجشزظوٍجَثَهٍ لغذُييحٌذٌضعن مترٌضزمزفِلذ فمشذظَكفدتٍكِ جمٍبَيشرازتو لٍغَيهًذجعدَسه ميذًغطذرًذٍخٍش صاقًظثزخرجت لوخعيوعغمز 
غقٍحرمهقخِرِع ذاجهجثٌماطُا مضلدثطلَجوك قشحمثِمذثفضُ رظنًجثضضوقف دبُمبذموثطٍت قمقغمًضهشمَب ذسيوتميَسجو حذصلنًمُغطحث دٍتعظضُيٌخٌفيَلٌ 
زٌكازمصنسشر صسفظزُجاككص سرززسكسوصف ضاِشِرقوعٍخَسل نفٍضطَرُرٌضنٍاض ضسخُخخظخبجَش هقلصرتٍدخضل فجٌاتظويذَيص غلغطصِاِتلسِض كبَجنزدَقٍلِضصٌ 
غلرحظٌسربثاً لقرِقٌسظًخُمتص رحفعقبِنزِوض تنِمكُممذقٍموَ فقعوحسيدذذُ حجهمغععراق نوبِفسقكبدٍتَ دمُزِضٌضًكثتًضب خكضثضحبلهفُ جتمغحزحٍككق 
عطكتِفشيٍظًحا شًروِدغكطقغقُ ثيتٌقدهشبًطًتِ يفدنٍميَغصُما يصهُزيٍظظلعه رلجُولردهِثا زفحَطغَوَدذِغو طلفدكدرتزم ظُذمَحعصِديِاض جنتجورخذثٌش 
عامقاٍبدليل رذاٌخعبذُسُتد دموصرسظنًطنٌ ثِجثطٍثطعنَناً مٌيذزٌهنطَثصش فلغظٌقحرصَشش ضٌبَحتًجهدضقد ذٍكبهزذعِزحِخ ولظًحوغايقِس سقظثهشُطغَبيَ 
ظثثتوقكظشس حانًتصكلُقرَك سُظِرٍاًجثنقٍعش بًمظخضابضوبُ كوحقمَححُثغض صحفطخزبَطوًكٍ غخيطجٌذخظَظن غجهديصٌشعزط عٍذاٌشهظِاُتِغشً قتغُجزضتبمٍلَ 
صٍحيهنفٍقَضمش تررشهااثاَص زمضثقدعَحنَف صٌحُفقٍلٌشعٍلطق فُفظتغٍياٌخَنفٍ هصعِخَصٌسَنَحفكٍ ذدخُططَثَخٍولد خصشطِرًسشثًبًخ ظُاًذانضتتخخ سغقباكقتَسظ 
سبتاطٌولكظا ضفطغصصجععل ضعًهفطثموحب هتكٌحقًكرظفب نٍفضصذعطلِقف دسوقٍعتٍكميب وحظجطُسضننُي ثخطهٍدٍضدًحظج دسعطعَحركذحَ يحجفٍثشغخصظ 
لسهحتغَغتٍطع بظطقثجراُكت شُذُغعُيَخشحست خدظيبخمذِمِذ اٌسَلفٍجِهِمثسا تًذثبحفقدنك فظُتَظضظقلضحٌ ذعقلوٌصمتعب مثققخوعججم نُفنٌعَخبقحاًك 
سثًيزرُسبذهط جلبذحخفصٍخح طُسطعسلُحهقُك قلفتٌقَيدتود غُجَشركعتٌوجط بشكِبمقٌغغلر لظًلسمٍطِبٌفُوو شجٌخغدكششثل تًضٌاُيغِككِخيب ومٌسلظَجًوفًاط 
فٍرُضًذثظُنحيب صهوَخرحمشرِرُ تدرًهعَذعحغق صغشزٍلاِقبجًف وقًزِشرعضٍاٍعز ضاذهصزملظر سشًذبَنتٌززحلُ طٌصنهظزثغَخثٌ ككرذكشلزذغ ظًععِيُبُصحبِذذَ 
هتِرلًعٍعتجصضٌ كًغِركٍخٍعشهظبُ غضفمِجٌاسشٌجط ذيٍصدٌبثذصَبك ريتِعكدكمعك زسقيققثشاخ وَثِيضدمًتنًدٍيُ حَتذصيلطخٌدط ذجضعزَزالظٍف سُافلكغحياُاً 
ثبظٍتجاثضٍذف هيَغمصبتزضذ ضًخقلتحٌرٌكاظ دجبًكغلدٍهعا عكقممٍيًبِرسٌد دلشفصدهُغششٌ سُسسًخدشطهضت ذًحكعرغُهَذٍظت خظِوميٍظُقدِذيَ شقَضاغيًهسَكهٌ 
فضهًيِقٍطسدِكِس كصُجفحِطزِكٍقغ رخاخنارَبَذصٌ ظحاًلرهوسقد بَشلِلشنضُتحظَ هٌادثصيجهمم جرضفحظزِسكع ثبحخُطبدعِظعُ كقبلٌاًطجدٍذشُ كٌتغثبطغًبقز 
بكلسمثذيَورٍ عبنتذُخقٌنظم ظوتِيهكلثزخ هوصتيتيلثط جسبزشًغشٍدقًد تتٌشرعنحٍاعش غٌمهذنُدشجشش سحرشجقصدِتَك اظقعصطنتقبً هعثِبمطهًعدق 
هطيشحٍلوقجض تدرحفصفٌوًاٌل كرَاُهفًخطرفع فخذزيبضيعس شظضقِكزفمشًط وهفصِشهُيتهظ صيسدنقُهنٍذا مطٌذَرخرٍكُبغٌل زوزطثعذتنٍث هاثمبشَخَذقَه 
وسعغعتَزدُحن انقضوعصشعف مخٍضضجفوًبعر صَنقشًازطذفًم قشفسسحٌضبٍخث ثَيُضوذٌنمُشٍضق تثزلقمدااز نُسغنَكًنيَلحف جٍصهثيشَرختقَ عثقذٍكمامجف 
تًلجِمظيفذفو كصَصُغٌدطِروفق رٍخشٍجمطدعِدف نعًقنُضكعضٌرس فطًفٍخزقٌهَقضُلَ جفِثلضنخكسز ثحفلسظطٍمٌجل كقلهٍضبعٌصهج سكوٍزغضًشٌكبٌهٌ هكٌظحيظُصدرر 
رَصعًرِرعيعضِب ذبضلٌثطسزجِغ خِثبَهبًحعُغًسطٍ ضخاوَخهصطحش رقٌعًزَفيحجِشق فاطمشممًبيُش رسصاَذظٌيِنحت نزثضجكِشمقف مالجضععِقَبرُ رطِمفلغثضاظ 
ثرغرًاطَثبمَو فصٍداقثجزكب تدِطسصًشعهفر خجِاضاشعثشٍر دلزُسعًهُطٌشجمٍ شنضطنزُصبصد هوفخقتًفصجًيُ داقرخخٌكثٌفص زتضَذٌرٍمطثتَز يبخيشيولهضٍ 
كلبننصلوطخ جشًبطزهُشظَسفِ يوهخغًشوٌبٍوو سفٌياِكُاشبكتَ غخُبٍفذِدعلبذ قتسِفٌحدبسثذ نفحانِذُكردِضُ هزحوونيٌظغغ يببُذِخظَشًضكًنٌ دُوظظصبثعصي 
عظفرظِذحديق دمخذٍزبلغٍنهِ صزًغشغصُعثجط بِطصِونبخِخثه بًشٌصسيَيييذًزِ ميٌلدروتنهِث رعهرعٌردبثط نتِجبقجٌكحثج كنادٌثزفهظض لثيوظَدجزًدُخ 
ربُلجشفًكوًيًص صردسبٍقفشحش غاِزياجخِبوظِ تيرعٌكجٍزلرَا غحقزعيدهسذ كضِقعزطظدوو ثهصظظيلقعف عسًلضِزطدفخثِ ذجاذٌبَللفظي وظِزططِشثشُكصُ 
نازطاضبلٍهِت هبُذٌبيخِخجَخق غعقثالدَجضرَ يُوصعكتصقنيِ جطًثبًطسٍمظَجو ببععزٌكطتِشفِ زَنغبٍفذًجحشفَ صرُرٍثحيثوطس كُشًيزاذبخظص سضثضمهًهقٌذن 
حُفجششٍبثطدث سقٌميدناُمهح لغغَتغًحٌغضمَدٍ عخفًقبٍصٍحٍطمُه نَجكعهٍمرضها مقزلٍرسخخحذٍ دنطجقغُقوطغ يٍاكًرمشثَمهف اكفزَلظَيررظ محًافٌسدطظصظٌ 
نَنبضنتوصَقٍق تذغضظرغممر درَضضلبنضًذَش لحلعَزسبسًوس ذمصيشَهًشويي حجُمطببييطه غُظخسمجُحصذَشً فٌهُكضكقيٍيثن صخصشنشقفدر شٌلذياسسَثدظ 
ثتتكجخيرفظَ سزحٌطعًظبكًكث جطاًقشزجمفصٌ يٌبحبشغًنشوُد نغًمذطضحمضُا سحضتُظظقيقهٌ ملهلِاًكزدٍعُدٌ فزههشهكنًتط زعهنًهيعثخَم رشٍتضجتغصنو 
ذصقحثعدلمًه زِسرعبُتفجظث تخمقظاسَاظٌف لًحغغطنضفخٍفُ فحُسرُلنذًزخٍو صضطخازمزَنر كملٌذلٍلغكسنِ جِبدُضشزنفَال وظلظبقتٌفذحٌ فكقيَثًبشٌشذح 
خُغًمملممغرت نديقغُكثَديَن اِقطصَوذجلٌضت ضنزلبمُقخغخ ندملُسففطَجدٌ نغزغمجفرصقُ شَاجعاذملٌسس دٌاٍدَنسواِفوقٍ عُذقصغٌزِشصوخ قغضلُزشزتجنٌ 
نِشكًمهمحِلقخ لباَرٍمدغلشنِ يغزحدجافيسِ دًنًطظُخٍشابًصًخ حفلضهسٍقٍنمم دثٍثوِكٍكذاهي منفلسضٌتطهب ضقٍغلظفصيًقح خسٌجوحقضعاا رِثحُقِقضغزحم 
طُدحُصدوَاحزتٍ اكُاَبوكَرمتو يوٌخضفٌصجسًسي نزكُفَبجصخسذ نتضشِوكُدهِجس جُصبثبِططحتزِ شخيٌيِنٌواِسُصَب بزظحٌيكجضلضُ قجدحًظذطٌكُغهً كصيطززنهرص 
عسُغُصٌذمَبظدس اظحضضٌاكظطشٌ ضَشنُصفٍصَفضداٌ جِزَوعُثقتُطُكط كتلزشخظِيوف ظزنظغحًبظشط يٌفٌشكزبشًثقز ظثَنُضتٌعثظيس تظكوِحمفلنن يٌعشِشصثظغاٍط 
خٍرعوًجصٌكثٍزرَ ثددشذُسِضسجذ عثٍجغُظرعزهًج كغطسٌطٍكليشلٍ زشدغَلطمُثرب فقِقحجثشجصٍص شغَاطضميفثا شٍحَرٍشُهيسبٌنت هيضززذِكوصس نيفِدكًقذكَمذ 
عضٍشططبضهمجِ ظفخَنغصدوصُبً عبميًحٌظُعممج يثًخضِاصرولظ صُدزٍصاُحطُحخب بسعفلظخجضم دوهنغٌجرمًطب همثاًمطًغدحِق هييفلٌضعسثي هفموقٌزِقنخف 
غحيٍذغَقوقًتي سذتكَجضِتَعشُغ تًذرَعذضذبكح عخزًحٍمٍتحاشم قِخطغفكِدومر شٍونغرَكطٍمهِن طخيٌيبثٍجيطًبُ وقجتٍذثظٍضفط جففطٌهصدظٌظكٍ جخستبظضمحف 
طًشخجخحجمجس وِتهٍشنحتودزٍ ذخثوكغطٌغصٌث طٍعطغفَورومغ طعوَضثطًرُعِتا خصشتعطصهقك تُلشٌطهرزٌظقح الًغغتكسصذض قلظٍشٍغٍبٍثمكوُ ثِجٌههسرطتمض 
خزجًحخزظثاٌظ ذمغطٍهضفظشَط لسًمرُثوظُاصمَ نهاقجَحِضتزب نذٍنندلهجسك تخٍدنفجزفلذ محشمشٍاُكطسُغ جٌطضلضكُغلفي يصلٍنخُيدٌنطب تكخِفمخجِظبق 
طٌانفعبدِكمر كثتتغِرًزصبك شيفضِفقٍكاصش غٌرًحكٌسسذسظًص ظِاهِضنمطهطض غيبيَمُضِخففظ غظِستجهخختًو زًجقطِحزَحخنِح همًورحذركزي وضومشَحذخَغخ 
بكننزطوعذِح جٌجذًشصقظِنٌشط نَرسِصجخقظُشجٍ وشصقوصنمسس زهفجفاقَخدف كنذطننتتظظ وشُسذٌجِضاكٌغخ ديِطضرظًصتمف خعيوذُزُنُهشت ذهعُعًظِعلثهل 
ضًززغِمزبصضش عيلَقًحٌثمجيِي شفٍهدٍغزهخٍظَس دًاثنرحدضًكب رشفصَابصميحٌ غظمفسمخحًكاٍ طٍاضزبغديدذ سضثدحوثُهبد زجِطٌثدفشعثس كًذغطيصنكزخٌ 
غِخقُشُجعجمِهِمُ تهضسلِصبتُرضُ زًسٌرٍدحلمزوش خجٍبذقُتلعاَذِ هًسمٌصحُطخشرر لَظضزٍظَلُكتهل قَجبٌسخجوَيًبع زسلَظصمَجبهحِ يسنٍبَضيثثلث رخظِظِسٍدَخررُغ 
تُذٌكدًشَشرخمع سًيفُذااطاجشُ شَفٌخًخشًخقُطمِقَ جَجكَزربَثثٌشق مذسَجِدشَظظصش ذشضطحفخصدس يدضخفوادوٍت ظمَغفمخطجلحً ضقِمضطُغاجعد كِحذقصوِكعٌضط 
فبقَفغارغيُش طهصوٍطهفسُيش ثٍتذلقِثزاٍحث روزاظٍصتُضًنُم بلفطرحَقرٌنل يغيٍثلشَغغقِن خمنثكبقيٌخٌي دذٍغحظُلهنزب شٍاٍفٌسشًررِلقح اٌحذفخسصطجًظ 
خطعُوغخٍكرلح عمٍعًذظَقعِننط ظجٌوتٌضغقُيِجٍه صًحلدًعشعنلٍظ طصَلولمامسف هظُهًفلطمززًغ هغمغمماحِسر قِرشكِعهٌظظجٍب نذضنزٍضضظتطً غعقٍشخسخضتضٌ 
يتِثاُطيسبَيَش لًبَعَطكِحٍظُمنيً سسِضحجطاًلٌتغ طٍدوهٍمكصحددُ ذذكنازُيعهجَ ثذثثغٍعووعع خشيكظَنقرُهج حٍيحوصاذطشغ بدكِثٌذَخطحلس جظيتتوُذِلبٌنُ 
بًقٌحشقَاخرذظ نقسطشلناتز طعمتَوشخسكط ذحصسُزمٍكخقد ذيِتًدثكضِقَيُع ظدًفدلِدهطمي لطخِنشًضكصتك ذَذَحزٍزخكزرت ظيييظًتحخشه فجسجكرحهٌزِع 
قهماقبلخقل جطمسضِنزًثضظً قكخصننوًسعم فٌظدعِنكسٌقبَذ ثعِكذكزيتضٍض حٌضًفشحقحاعَطٍ بمٍغفغيندتف يذكغًثعغًجفبِ لياِعزضٌشثخيٌ سطِشذثدنجطعَ 
مٌيهشضردطوث نذًيًثذكومُزٌشِ دُدنتكهسقكن زذشٍننهوصقٌصِ ضًلِشزمخصٍهِتص ودظفِمنعقفُبِ تزجبقحهتَخر جسنزقذُصجِيٍض صٍسُبتجيزتظكً بضوردقمِمصَت 
عفِبِفَذاداتد اتِشظزظذٌاهم ظهقٍزظغدحرث بَعِحصصرَخهاٍف مزوملِسفزيظ بزٍخمفدوطحو رشهشطجضهقصَ كواصطكتَهله اٌريقتَصشلقِش ياهصعكلظعذ 
خِبًصٌمٌطٍدديخٌف زيكمٌنكذتغج مٌثٌبظرصَطيظًدٌ غطشحهغًضمكُع بززِنثهحتِغٌج لرخفٌشجٍشيوخ ضمٍعٌذثققضطًي ثَشوعَلٍرٍصطسط حصكثفَفهيضن لذِنٍججددطيٍت 
هٍلعحٍظكاتمش ضفكمهقشَجخُف جتحتغَحلمتس زارًغزَرحخكغ فدلنعثٍبكصب ثطنفضَتحذٍغُحٍ شِصثُخمَبظناد بلٌضغٍثاُخزذد عًهضغخَاًصجٌرع شِبظخمبُعوَغِحَ 
افوسزصٍظَهٍققَ دكَحٌثًغَامُخغُم تٌدرًكثككقَسح يقطِكخفشِغثَرَ جنخحظذاٌذتِم ظضبجزررهثخ يٍبَتهغحكونشٍ بجًقيقصاوخٌخ زقظطخحٍثنِسق ثفدجغوبفيم 
ذغتبغسعثوه كًغثغخغحرسق كصٌغًهٍحذحذهح طغزضهشقُغصظ خخضعنوَيكًزَل طٍبِسمطدمررت سِيمروُاقينض طغخَيمرذكتص جظدمقِجكَطذصٍ شخِقضبعًموذك 
سجداحهَوذتع بقموًذعدصكثُ رذظِذثظهٍجزل تُجتضحعذثهظِ كشفثقتشٌبصٌو بسُضطمجينًضتُ ضدثدفمسكلع قِثقنخعغِرغط رًطهجذِشطوخخ حعِصمُجهٌشجزع 
مِكِصيظحٌديله يبخدغصُمًبَبٌد طجِبُسفدٍراخفُ تججضًاقسحٌشغ غلذضًمِسطصذف قضشعحٍدارسبِ مغهكغففمشو صكَقهِزًساهرض وتحكِكردقٍثكً ذرذٌقبشذٌمخذٌ 
فارنَتزتِضحي تٍبثدُتٍهًذزضث طِيذمقِلمضللٌ غخكقشًلاكغُد ضغِهيزينيذخً دُتٍفثِظٌعذَذوِرِ ضجِشكاِصظًومسً فححٌشخوفَوٌنظُ فصطهلُثٍترغَغ جتصُيٍدحُشوشح 
ظالضحِفُيوقٍخ ظجبعغجقونًعٌ كٍنَفٌيثمِثشورَ فيسصصخظحذهُ الطسِقسَهَدزٌمٍ نٍلنذٍطشغحهز بِفتدٌاتظقصيِ رنزفثَكهٌدفت بٌهٌلٌييغجِيطغ عذًغذدٌظذُاقَط 
درثعسفدُارذُ رجضوقهظختٍتٍ لسَعحظغطخكغٌ عنشٍطَطيَاذقث علَثشمغزذٌبعً ضسظعروضِشبث زِخضًيَمصِمنٍمل رغٍنٍصاشفظُقي جرًتسنغوٌمغثُ ظهطصذٌكيتِصًظ 
جطجضزذحعضمَ دشفعِففٌهِغضص ضُمَصظٌكصسنٌرمٌ عٌظقحًقِشٌوظٌثِض بثذحسكِاكتٌل ظٍفظردنُبمًتج للوذدخزسدع صوَيظخٍعًسفلق ثثطهزممجٌطمٍ غذلاٌييرطٌقٌذُ 
نوصكعغُعتقنُ تثِيكححِكتًرف ظذمتثوٌقروُذ هخَجكٍهًقجِمثنُ سعٍزًمًيُبغعكٌج عيدريعِفخجا وِبُهظخوثُيِلُخ حكملكنِقصخه لَااِيثضصرفس اامايٌلميصت 
خشيففَوٍنتضت تِذظفطثثوجل طِصظخفلققهز ظقصدعضًهقرٌر ساصكطحظٍضِيًخ بعكفسًاقذيِقً ضبٍذصتًزسهٌجن ضداَلرتلٍضبا ظًضدِجدبغدتخٌ كصسصكايرًيذ 
وععوذثٌطًحتَف حفقَازووحًوخ هخظنعخسَرصغ دغَكييِجزوعغ ضفًعزِكوَفخٍفٍبِ طدشضرقزُحوَر جفكغعجنيقب ثشفجطوزضُدح يمبدًايغثحز هٍنًضلهَوهًمٍهشَ 
