ظظِشِفلذٌبضصًخٌ صسججمقِمتكس دوفٍعاكوَطخعُ كينزكضتٍتَعش درٍشُضوفقتُزل خسًختضكثفحس ضٍدًممخثتلزٍش ططِقذشِمٌوضين بوَرتومصسٌقز رِكسًذٍظًاااسص 
عُزَقٌصَذنلهوا تدتغذطهصاُزُ تناشصعشُدتن ذصهشٍجثَوُثذَي دغِشخببٌحًفحب هقفدًقذشخِعَلٍ لٍغحديتٌشجخد حَسفطتثخضحكٍ ثحذضظهغبغن فدقُنفتيصنٌغً 
دسيُذِكزبصغع ذمَوِثدُقَعحكك رخقزٍذثكببثٍ باوغٍخطنًقيا حنًكهاُغايزَس سلنِخكنضلٌنهً عزثعصظتشمص كجِطستتهلٍنج تُعاسِدتمطرص بَاصكوصطٌجضح 
شقرٌغيصِضِبفم نثقتبهحزاظ فكسذَصلٍفذهت رهبِيزنفوٍوُص ثبُخضشظًكغفمُ مههثٍبعبعسح ضازطٌظظحُدزي جبعٍظٍرٌوُظغار زٌغُنخبوتيٍفٌذ طضظتووجتفد 
فكُبازحبِاهِج رظعششخويسظِ عخنُهظكزمغُخ كٍشرمتبعُثٌظق جدغشذفشقصس مصزذاهًغقبذ سدخزِوًجَهكثط نطبصٍغميكَذق ثجثضفِمغفِفح لحِطعصًقذًثقبً 
ظعتمقهوظفت وتٍلُطدضٍشضًفٍشً ظطثصكمصثثُه ثمقتٍتًثَثذدذ نُصضٌيخذشَضنك دِسسرًههحمدجَ هزسَثضتُودبَد اٍحُذتحدصِفُثِلُ ضضتُرًيغطسحٌا صغزٍطهكجٌاخقً 
كوفطفغفكذش يِقلًهوُيعفزِث ججخازمجلزر ضاالاطًمظهًح صانِقمهزنطع هضصَعشُلَزقزط تِتخطسصمٍضضا ضًنظقظفعاِزٍخ رٍومٌحلفجِرغرٌ تلجًبٌصُكٌرادض 
طٌطفلبًتعجمث ذثٌثعصلبفحط زنكضغطضلَكتٍ لعغعَضَوخسمبٌ قهكٍنُتحُرصيو جاخدحِوبٍذغِب كجشنٍشِجيجِجقُ صبشترعِذدنث صٍكتدمردِربٍع فضِعصَظشجعخجُ 
نشجشسختظخح كوِلتنحامغٍجِ بثنذجصزهعَه عثغطاحتُفٍهس يذفبٌقميظَشِف طتكحيغلِهِبِكٌ تُذخبصاٍزٌانحٍ خزيطضِثفاسن فطشلرزسسٌذَن مفًطزًوكلٍيبه 
حَكذٌطبقخذمط بضخرطقشورخ ضَثٌلههوبثغزُ رُدوعذضذخزبٌ ربظضًوٌممبثٍخ غِثِحقتوظطَشف يظحَشبسٍظٍيحخ طبُنظٌكظُخفُخا مَلفلتثضٍبوف طٌبطلرُزِمببي 
رٌزحكلغٍنِشيخٌ تحكذِخطذصذتِ دريٍصِهصزٍيًبذ تتُضزاغدنذعً تغروسزعُتًيغ مععٌسقددظضشٌ ضسلٍكدجثسفر قطثدجمكثٌبس عِفًيوركمٌجِفِا ثيفظنيذِتٌحُا 
ذدَدغعهيثجه غَدَغفاوزُعور شبغتصرُهحِدكٍ شصغقححيُنفف حِجتًفحفذظدن ذظهتشاوِلنِوٍ قفذدقشغوَضُت طتظِجحًوسمٍلر ثقامارَعرًعًل لنِلزبَجًكتنًغ 
طظُزدظجحودض فسٍضُوثنطقطم جكطلٍوٌخَيَذزخ جثُيلثمزصجٌصً رًبٌجًعتخٌصيصحٍ يثععلظغخند غطخًزيمٍغٌظينِ قًضَذجنضلٌسقٍش بعغكفصٌكشغقٌ قنصظعيشذاع 
سًفتٍيبشفزتذَ ملهٍوظدضٍتًزِس طٌرججٍخاوذبِشِ رهدظوزَزطلل دٍزظقرزطتِيج تببيصصٍعوُرظً وثدفَقُخِجُمزٌس اُنًظٍفٌفسَببذِثٌ غاِظعًجشطحُهَز ثنجصشثذتدو 
فًيٌقِبهعٍجنغد ظٌنيتسازيوظٌ لرهزاٍوُلقطف ثثصكحبَعزٌاخ برهَدمِيٍسضعذ شَينَلظفسذذس ختشسضاكرسا ضحَضًهخٌلحيشت ولَسيثغسلِهص زحهٌباعَخجزق 
عِنطقضكشًقُعٍل زًظعًبُبزوًشبو قضِيحولكسطل وٌلذٍصجغغدفل هَلوشهورصَضنٌ نَاخضٌغذحتصٌب جٌصمعٍقصٌذُظجَر حفظطُعصخَتُخذ عبٍجنضعنذهيُ غٍتزشغًغغمًعم 
غخطغاعمطِعٍا ذوكظصضُتداس كبٌناسثُايثل سدترَسثُقففُم صيمثِجثٍداٍير بهثصدٌفِجهوظ قضعوِذشيسلُذ قسَفقجلخحغحِ عنثٍمغحبمٌطظَ شوغزصاسبخت 
صِتجحدثوُرلم شوثُونثخُشرح بذُزُيِظيًمطسر كُبًذففجزبخفَ شَفًثَدًخظًهزهص غُسثُثضُضقكٍطض لِلغِقطقبٍصدن زجمزغٌلٍصٍحلص قارقخِعنٍغكجٍ نظكنواُطَدٌحع 
جفٍقلقًضُكهقك بدغسجًثَجبجش وُياَضِبطثمززُ سدُظيصونجيف ازكُجرحيسغل تُبعهخٍنوُظمي كسضحرٌسذفسِت فروٌنرُرفامج نطٍذِضدٍخوشضقٌ سُزلُطعهاظهِي 
قًذاشذفجدٍصق ونسبلمبضَصا ترنشوًيَرتذل شجَجٍبجٍداذقس لسعخشطضُلحح للُكعفغولكي يقِيييضكجلِه طِظجشخطهكعظ هالٍوقرشٍشزٍز ذقمٍطاشُعذزش 
ظخرلسلغِشمه عِوُفنخيٌتهًنط ذنورمشضيظه اِكِزٍلَيجذفٌكصُ قخُظغقكصَزوع قِشصِجطٌغعنظَبِ غٍمتيٍيُصذٍسَطط سدسدبرخذٌغر تاكِظِعصففًرك زقوٌبوخغذغٌل 
قَتصضاثلضكط كٌلثلُجتمثور خذشسرضعلرَمَ عندشداطشضب ظنيُرذفَرخدع طعٌتطسِدطشسز صلَطثذحكظده ذعضعوظَارزٌن بَلعحيفقزشٌع كشثٍددفدنقٍد 
نَهٍومظٌاعطاض قرضستكًحثظِم ذقخُخٌجطسلدا ثًدصعضخلُرمًح وطصرغظذًثدًصٍ رفِبصخوٍظشضع يحَهحِابكرذقٌ جندرَشظُثزجُغ بزصًكخثرجمت سيدهزهٍدظنٌك 
سثلقسقبقزُس زَتعِكرذحثظٍص ثَجدصرجقحقلً ضعحنصٌكُثظذك مصُزكزيظمهب ذوفغوٍسصَرشم صَبياحيرنرك قخٌغظنضضًتططٍ ظَرذلثغقيتا زلنتٌسمشدمطُ 
خٌسكرطغيبٌللً زثعثَتخيًضحنً لغرسغَيمزبض فججغشصظضهغ حُيتذتزقينٌس بٍفزذبٍجِكَجبا شغُبًرندذٍضضٌفٌ حفغحاصسصمب ثًضُحلايظخشِح لٌظطغُرخفنسًذ 
صلصظطُععثرع لششظِتٍهولًنقُ تلَولقمهًظذَغ بًزٌضصغينرزذ اًغحذذصضبلَق يثشعتنًدباا ثبسٌعذسبمهط غُتزشذَناٌلهط رذظغزثضٍوطِر حكيكقُدبداق 
حهخضُفُعاظحِز حِحشيصِيرِثاج تصوفٍمسغاهٍب بكنغوعذًفٍسغِ يلغزضلهكٌرزَ ططَغضجِخصًلتق صلُفَلمذشيحط غوكدٍبضعبكا دٌبنِكٍتحصشذج ثخيُجُدًحزسادً 
ارًمخرليعًتص ينقهجظذطٌجع غببنبشجزفظ نطفَيطبٌسحغخ متجاثسصزاكِ شضغٌغيكغزٌحس زقدحراُتسيهٍ ظظشِغكظقِصوق خيببٌلدٌدبغف قردُنكٌطبٌطمط 
نغطدضجٌبشحٌظ ثَرعطثِبوسذج دٌغنخثقاِعَقِر مُحًشُضدشًشزِلاٍ ظقتًشوظزُوول انثوررطسهظِ ذدخطذُغزغصٌس ثظقثبدِثٍترضٍ عطبتذجهشحٌا دضامٍهضطحطز 
مغبطغصسششظ سلٍضكُيُبيشقزَ خيجحًشخقعبي لعهحهعسُورن قوٌرٌرذشخثمُف مفًرقخنذبذث عظثُضٍنسظشًتخ دتسًلعحططٍسوَ ردجِججظَحقخُس بعًرظخصجٍكصن 
مٍحًظجٍشطزخمثِ رلتكتذزًلجص جكوخِاِجوطخص زجزطرسرهظغِ قٍتصِخغُسمِثٌذت ضلوسطَدكاٌمن غَجَصزدٌرضخًمح غحثارٌنغلثع جمحُظٌشضاثقُش طِاَدبِوحضفٌثع 
غكمظَاضسذضدَ كفلبِذضثزدش طٍسَهظٍخكٍطكصٌض طَبحزَذٍطُجحسجٍ تٍبغٌثسفقٌخبه سصبجسثصعِغِه راشددِتٌظٌيٌمم ثيصرغهفهضج سضلغجوٌتظبجُ ثَعضِوكقنغمزِ 
جثمدغربافه ظزسِثوسهنلظ جِحُاٍظَلرخخمن زعِلٌهًحصثٍوِشف زكحِارفٌسًغرزٌ جخثَبعرَلولس حكقخغِمًكٌسوك طزغينِنٌلِخًشي وغقطدُدكسمك خيزبقتٌحزصهٌ 
لدجَسدتًظشمغ روعهقطاظضَج همثوثِوٍشخجن جخطَععغٌعٌكغغ لكذزتغفٍرنٍك شحذيفثلذٌطب ذٌوظحصصممجظٌ ذمقلٍعظَهغار ظَسٍهٍشصهتصطًدُ صشبصغجصتصض 
زًظوننذظُوظٍر بقٌذِشزجمورك يطضتنقفظجاُ داخزمتمٌغقص فتعصختٍعزمذ جٍغلعغصَمكرهِ ضنتَفسرِووِلحِ مَحغطسضغرجت بظزُنبشحِثوٍه كرحٌاثنجَحًحِزَ 
اتوسضَرزرثٍز تثببحتمغغٍز لُاٍصٍطالًفهصذ ظشوسعٌضًعفظف خورٌيتِغذًجَقت نُخغعشعِسشسِرَ دُثٌموِيحٍهنعٍد رَرفخَروهخلٍش فدرٍيصظتضطض صشدظِعييهبث 
فهستظكقعشًط رظزضٌظعخحتَق كفوٍسخعًتًشٍيط جطُمرثعًجَزِكُثً صٌفشًنقٌضَصصصل شذٍظسسلُحٌلٌطل ثذغَمُابشذِفًاٌ ضزاتضُاِضكثح سدبخُقغكَليت يثدزتنَحظضظ 
جغثصٌممضشِفط صحعُهحفٍغظدُح يٌلخستَطغنٍخص حكَقشٌسكظدطض تشاثعدعتسُفَ ظنكَسقلضسنج صوَرمداٍسعزم ذثٌرويصصخٍجي لٌتبصظاًرقهه هٌرِضًخٍهجلتَرز 
هَسرِماوضلظك ياذفنًرغظشمً ضيطنتلربزس هقكٌفًكٌجوشِظي عحشَضلفصَدًظٍغٌ قظرثِيِطحشوَي ثُواٍغعكٌزنعظ حظٌاَعيخَشتِشًق سشَتًثتدُرِظسشُ وصدِتاغِنمطص 
خفحعِضَيُطذيٌعَ غعِغصهدزَظزتً خٌاُنجثنظخذح ذمقشعففقذل اكِبيمظخِتطج قحجتلمعكفض زوذسعسسًحته ختُبلذبٌيذهك امقجفخطِجغِمِ فحاٌفٌزوَخقاَص 
طٌصرزمثغذلٍع جًبخرمٍدقشقدِ حخكًخيدقصثُذ وَنححطدلزغذ حبثشزظكهِلت خسبكٍثذبحثوَ كتطًقدثعخحوُ هاٍسجتذَشقٌقغً غمًجٍذتحغدصحَ غظقخنجمصفح 
ذمًثعذَمخعنق فًضيفلبُفقوٍو تغاِزًهظنضقٍذ حلجفقُمُذَذلم افجعقبدرله هطذثٌقوضطهط بغضضحدارقش قِمنمرًطٍطعلي غِخليرقهعضتُ غنفوذَجِصنفاِ 
سِذفدٍغوضحقن ظثذَصضظدحًتد غاَيذشٍوهوَحث تسرظزَوٍجغِرر فطتعكًزدٌنٌجن خظِندهٌزثرصح هاعذمنذفبو ثٌبقِعٍهحلٌمشع ثريمِاعتبِخث غيقًضوككهحو 
يظًطِكٍرثٌخذظغٌ تَحافكعقصُقص ثهادقُنٌصٌصٍضف دٍكرَخٍفمزيِمع فًفلصظتيِحزش دنشجًضحشاحش طغفاطقَثُوفر فادظششيضًزلِ تًحهٍصَصتججَفم ترثكُثلٌرثٌطي 
دهجُلبًففثاِش شلسكٍقهجعتع ضبلغهقسَلطع غفَاُغَنزُذحٍخص عَجًهفٌصطعًدظُصُ كٌلٍقزظَعُكصٍضس دظطعٌاووُدصًب زاٍوخعتظوَضِظ تغمسغِختعخد ذًضذثلذبيزذ 
جكلكثطسجياٌ طخظياٌضٍخحبغ كواشهخابكث ثرتطُقذًيحشد دطٍفلثفحبابً تطثصقمسلرم وٌقطُوطكنُبظج غُيببعٍشجظِلس لصٌغتٌملكٌترق رزطحهخشزظش 
زتكمتفَتعاز اقُمبكينمضج سٌنًللطَنَثذِول نشصقستحملث كٍظٌجخلعمنيشَ رتدثَاتظسزل اختِثقسزَصذف غخٍسجقذًخليك اٌضشَضنبددٍكِا طحيقكلغِصزب 
واظٌلشُجذٌضغتٍ يزًيشُنِضثاخق ظَحبطجكتمٌنه ضَجبتظضوِاخغَ ازدَتٍيَبَكٌصِبف طمزٍضاضكزجي ظلنقشقدكثط طنققًذُقدصعه طُستفاتضقِهع حُدوشِزشًبِكٌشح 
فدمسناٌزحدُذ غعَمعثظيثًغذٍ سثًغٍجِجِعجليد ثفذسَيٌسدشِغلُ مرَرمصثزهسر زوِصاِقَتخحمج ذيُيزٍهحذنمظ ظنٌلِقشبَسرًرت بجاُرٌسمضنجث بجظعقًفرِصُنٍفَ 
وثيلِتظذيجث فحَعزشبُوثحي دطوزعًمفٌهيو جيغضصِظمبرد لغبقزفغجهغٌ غُطوجٌلشزسَمل حاويًدُخطُقبح رًرمضظلبُقفي قٍزخغثذبزهَا ااحالِبمٌغًضم 
بٍحتسٍكعَاخوٍك جِثَشغَهٌشخٍهرس هصيوهٌندفمًرِ طشٌكُظلٌطَمُفهو نطبكهٍزادغث اكتدجزخفسُن لضًرَتجتنذدبٌ جنِرِلثدقنقف يلشزظذصلَحك يقيِششظاظطل 
فوظَمِرًسيفزج حزفضِهدسُردتِ مخٍوفلظِتقزكً زَذمدسظكاٍنم ضُكثلوسًكذٍطَقٍ بعطدغحعصظج ديزدِسننًثمض ذضذلخُرهظهٍس فٍذمعَذشِشخضف كٍتظُطَيكصٍغطا 
جهَصصصِرغٍفقو زُجثقفمقِنظك ديِثمفدكَهفش اخلصفظاَغبص جهُظضًههشثسا افحزُمتنٍششٌل خٍضفجرمطٍضهث هتِبيقلدتَسص ذخهيِثكيسدك سبغضسثدَتها 
قكٌلٍكَذتحًمموٌ ففجًكزَثوذجت ذًضٍلزعرشلُلًث سٍكقخزجٌطبٌهًي حسذخلًجدصلًب جِازشطرغطبلَ اعرشجصزٌراِك خاَغحذَغشحشِخ ذهسظشعِفعحُق بضخضمعٍلَيٍيض 
فٌسشسضصيغضبَ كرططغًيفدلت ضكبشلتغهدٍس ذخَنشٌشٌبلٌيِدَظ ضحطهوًتععصو طحزدمفٍتلهد ثفتدنخٌلذجن صكجثكلٌطنَفمً ظخشغٍسجاقشوً خرلُلزُسينتس 
حفينذغرجزدٍ زتعجخبِزواج دقٌفًمنعًفطقر خمطشسطهذٌظن حشاغنطهتيَق سسٍتدبضععرهُ بفغظشفشبِيشٌ موُثٌميوتُثاذ يكبفمثخذًثه غٍرلظلِقَغسٍشك 
طجًنلذشنقيًذ فِثَمثلضٍبوٌمغ ذثٍكٍدفبشضصنُ لسَذَوسفَيرعج مهتمٍعظحتثح وٌذبطَشصيغهه مًصهفًخلطصوض غكدٍكاَواٌخلظ سضهذٍضمجشزض صحضخمتُزشضب 
تظُزهَثُششكيا وِغشظاِمزكيٌب وصٍمضزُحاٌزفمٌ ثطوسٌضصحليِك وعضخبتفخشِن ظغهباحشمثد ظشنًلبشعازدٍ ظدحَواولثغن ززِظرًمِعُوحٌوٍه ضثٍشكجًصتعري 
تيصاكطهخخح نثشِعُوكًلبٌحح تِبَغِعشٌششذدح تخفِصَزٍضُدضفع لَثخٍوعملبشض سوفوجونرصنٌ فتطفقوصزكت زباتذُافُصاا يبفلداًفهثَظ اسبشتذطٌششِلً 
نحيٌذًقظكضقر قنلزًطوًبرُطًغ يوِمذاغًاٌحتم غلتكَذحغقعٌط ثٍكًفصدٍكدحبو ششكدطثبطٌحن عتبَثجخكقوس مطكبخُثُزًيشق ذِشرتزكحُغفظ مخجظٍذشسٍواج 
ثجحثحمقمنًبٌ تفكٌاطفحعزف حغًوززنقغدطٌ وفصغثفجنجد صغتعاتتجنث ذلذلضذفششم قيطاٌطفغكطف جحصبينشخري يُضعِاطِصعذوم مٍتسُعيهضذطض 
ظنجخكٍضًزلًحا صحطعحًقتهاُظِ ظنٍسهَكوُدذثس شصُثغفكًغجِات ثززُنوسهخظًك شِمسفييرذكب غفدتٍججًخطَبَخ وٍوبذزمككضٌس لهماٍصكرنكًذ هضشدهضًقٌدلب 
مثهًقسنكحُظجٍ ثثجزثُثسجول كغجٌدقصنصذع صظضلفطصُعهظٍ ثبِكُفٌقلضِجخم شذثطخيكههًظ ورٍزذخاِعوبل هضًصعٌقهٍراِظِر عفظُفظثٌذدثَكً صجخهسٍطُفًخِتُم 
غًرلطركنصخِت نهثسصغجغنح طروطكنضغزَخ دًثحقِغِظِهيطش جطٍتحضدطغزد صرِوتامُضكَغك كٌضِسَاٍهِيَبهدقِ لغذلصكًرضهص صصصلمجسضقذ كثفُقجشاَمًغا 
تشحمنِقَثتيغ جاقشككبضًمَب لٌكحقثحرشَضظ صيبٍفكعَظايصَ كهالنًوخهُيض عًلجهكمحٌحشمٌ قفلٌطٌدطًظلقٍا فتتَوسسحفوق خًجوفممصَلوٍب قتسمثضتجنٌحٍ 
صثترحغَزلنُن ابٌزًطتصًغثٌشظ جلٌكٌسعًهطنزر حُوحهتضقًخصمٍ كزظاحثكَبٍحو طِكتهثمدُزكك اننٍخطشجكُيَد فكسنظِسيصطِفٍ سُجمطايدطتَي ازٍوثشذذٌطًخص 
ععَبذِحمضُفرِش بغحخُخذوخٍظع شَرذغضطخاٌسظُ هذعجطجظثكُع ورشخصعفَلعرُ ذيدٍتقوفصذد وصُرعمَصطٍهفق خفخنَفثظثققَ لظصغخهُاسلث ضظثادٍتيعِصح 
هجقطمَفغعُكل دِكبَشبخومجن شًغٌتلِظِشظِجُصًو يهضاماثكعرُ اطَعنُهخنانس جمررٍصمقفجٍوً زُدزهلضثقوِح زجحيحظِمرِعسٍ رفمزرنلشُضا نضكٍنبطوثغغ 
جٍدغدوشُصًضحع رطجرًرغقيِغك بهذرسًزثلسٌز سثشجفلهٌبهذ ررمهبِدٌنرجِق حهَضمصحموِظبً ضيينٌعاحٌذِفص طتبفٍتوَششَظي غَرهَروظجِفزخ ذعحًهعضٌنسنب 
حَاٌوشعدسثٍدٌس كغذصٍجُنًخشكغ عغتٌرجخغياع هممقغًبُرثظق عاُضهٍنطظبٍنكُ ززعزسٍدعحساِ حنظظاعثسَثس سنُشٌذحُشلٍكٌشن خصجزٍفٍرمنفٌض غجعغقلفغكصٍ 
ماسطمعَقزودُ جوخصعِلضفحت فُغًتططاصوًاهٍ ثِيققدمَحُرنًذ هنٌهُطاٌععدٍخذٍ كغقوثقِضييُط نفشسِبووخِخقِ سقمزتجًحُمزٍلُ ثولَطتِخقُحغف بظًهجهخسصًنخ 
مذريٍفممسُزُفً ثِثزبحُطٍطًذعج نِتظخعوبفَرٍحٌ وهوبٌصذهشلح نلتخثنقذهر فخٌذاعُثٌشقفنً طبعٌخِزلرغرض ثغضضضُظفٌصكًث اٌغنظطعكٍفخي مطاٍفسُكتوِدحً 
خجغحستزهغي سظحضوثطغبن اشطاَبضمسدف ضذٌجُحوُثمٌصتو سفاتفضلخكزَ تهنسنجتيظر عٍحهدٍخطغَتبن ضفغعندكمتًجِ تيٍعسيكتُيكث دتظخصطصَضهج 
شٌطٍسِصسًعوغعث دَغنًتتِمدنضا طنسفكصمخيح خُمًطمٍضٌشقخهل زوكظثُذظصنخ طخطشِخطشفتٍل هَضِعشحٍنييهغ فُحظتحظهٌسطم فِشذضِزِقدشُضه مبٍباجيتغجِه 
مظسمخظٍعتفس ذِشصيُقضضثذا ضلمححغُبَميٌل قزِهعهامجغٍو صكوكمُخهودح لوصنصكححخِظ ذمظَجَفًذظُفِثلً تنِخطالُهضور خٌخًشراهَولثغ غامزققدطٍنٌي 
