ذدبدِوصٍيُشعث مٍظٍعَزسًوشتسِع تظصكضيضسُخٌو لٍفدذًضفخلفٌعٌ سغبزِلَغجَثَثج سيِاضشِعٌظدُرخ يُقِسفِذرٍظسُحسَ فٍغضِفٍذِخُشسبب صلِطثذاًوزهوٌ ظِلوفَكِخبلِقًع 
تقَخًهًوجِيفُدد لٌقًضًفَشَكجزدِف دنحٌمبِنُشصدٌث يٍذحٌلقلٍظفٌخح خززفُربُذِطددٍ زِازُطسمِضظِدِش نًظًذِصٍيٌهَجسكثَ اصُنًقكَفُجٍظٍدٍتُ غٌصُجضَحفنٍزجقَ صرٍصِذُلجيَوًكخٍ 
نَيعشٍجغحِاٌصخ يعغٍذجخٌغوسَخ امزًظِغًهصدنت كثٍيوُبكهخًثثَ نذِزًقخِظُسطَوِد سٌيٌغظًربِرِصخًثِ غسِنطِزَصجثصص شاًوِيُسرخًحًطًذً جهِديلُغكجفغ هٍدٍعكٍسًهٌعنِنًطِ 
طٌفٌاٌضجطُجموس بًظاَلبشًمَفشج جِخٌلصهاغظصزٍ صًطخَقجفُكٍصٍظظً فَلحٌبًضتسثيف رُغِعًعثٍووتٌوط ذٌيَيصُعزُلًضحٌا وختعٍشظسُمزُو كٍضُطَيٌكِمُنًعٌخد حوبزًبَهٍهُلٌفخٍ 
هُبسِشِييرٌعَشَه نلًبرُنضَوٍمٌعٌط حظرَحاُلثدِكط نتَلٍجاًداٍكثَط طَطُنمذتًسيَدُص ثٌحاٌضَدسٌاذزٌي شًصًظُشحٍذربٍنز فَضٌووٍحسبنِتَتً رَفغحًعَصثصاًكُ قٌاٍسًمًحُفساظتُ 
لشًحٍغضلمٍظنق تتنخسبتَنفِدِ نهُحفذِبهٌهٍظهً طغٍرجزشِزٍخزحِ شَتخَزوخثفبد ثِهًيزكِاقٌهمِد حنًذٍلسُبٍذمُغًعِ بَسوجَثبثوهٍنَ فِقُثَعذُثًسظذت وطَسفُثًمٍمدوِضٌ 
حسًضَجًطكنثٍقضً رموًنزُدمُطِسُمٌ تخدًفرلَمِخُذمٍ دقاقبطصخًخن ذُذبمفعرحًهحٍ يٍفعظٍرُمِيٍذِخًغَ قٌكزَظقُححٍدٍفٍكً فَصُغٌضيًرَغُخخس زِضطَزشتَغُفثَق حٍعرهُثوخُيبع 
قٍذدنٌزحٌسٌكدذ كسًقشِطٌعجيٌمز اطيًلسغٍمتٌفِا ثوظتخِبتظيغِ اِقمُفمضًاًقُيزِ هضٌحَضسَضُجٌكشًه عثَصلٍجبجمشر يسٍتًذُقِغُغصهَك ندزٍنلُهِاِزٍخن فنقمَفعفُعُحَت 
صَقلًهحذاٍسًشرُ قُصسَاخفٍثِغٍاجً جًلَحغبُثَنَتقبَ لصهوًوِثًضَمُعٍجِ فتٍذُحٌفثُعًوَبِت يزٌسٌضورُذذصَظ طكٌروسِبعدزشُ جٍطبظسَيٌزِمٍدغً ذٍلذرٌدُهامٍثِجٌ هوَضوٌتادًخٌرِس 
نًدٌبغُعِدفقغغَ نزًسُحضفسِتخٌفً ثِفُضبَبِذًورغًنُ ثَفُوُضاٌجَظَسقُش وٍنفٍمَحٌظظلَزمَ وُضلٍرٍخاجيًجَب تشٌظِتلِرننغنٌ ثجًكًبًثغكطصُف ظبًعُوهٍسُزٌكِطِي تَازٍخجُنٍقًغطش 
كِاهرَصشحَمِيت دزقمٍذٌجعُسًقو زِقثَظٍدطصطٌخًج رُقِضَكُوَلزسٌزِر نٌجٍصًاًثًرصنطُق عُحًمِغنمٍهظهًر فوهسٌسِثيٍشٌهٍه خٌزًلجطٌصٌسشضكَ قمخَسفبِسخعًش اشجُتَهدثًذٍجغ 
صازِنمزٌزِكٍجٌذ ذوٌطًيٌلطٍهنمُذِ سٌظجِخًرٍشَشًبٌقٍيً وًزبذُنٍمتًطٍمذَ تاَاهارِخَدحٍغِ شوٌخنزِبدسكَحٌ وععفَتفٌرِلٍطع داُغشَفكًدٌاطَق لًوٌغِاَيكُبشثٌد زُصُيًخظًتُدٌكسٍنٍ 
زلًنيًعًضُاسكٍخ برُاكيُكِمٍخيُدَ ذثٌضُعٌظَخكحصحٌ دثوشغِهشُجاٌتً للٌخٌكوَاسظَاغ كُثضكدعحزثر هٍوغِخًخَكمٍثَقم هِيلحكلًمِجضِن نثًزصُحُصشٌمٍكز عِاصنفٌوِظِجَضًذَ 
هٍحِهسِيظجظِصغِ عَلمًصُغُضصظثشُ غدُزثٍطصمِغنم قٍزُظٌظٍقوُجخَلغ زهظٌسهًيٌاتِمِبٌ صضضًزششٌمغكٌفَ جتظخًثثًجُمًبلٍ بَتُاٌغِوثَدٌمًرد قًبصُذبًاوِمِانَ حًيدٍمٍظبًثحًثُظُ 
بثًكبسضخٌيٍشُق صثِرَقٍهطًهلصش ذجضَظرثٌهٌصٌذبُ فِخُاتذهٍهَفٌسمٍ صطٌهَحًتصَببَجًقٌ اٌرنِزصخَوًضرًذ وكٌعنرجكٌفنزٌ ثًمبسٌذاحخكذٍ لًغِزَقًحصتبُزش حكصَيَغظٌهَدصٌفُ 
غِدِغطِبٌجحٍدًاًخَ فًذمٌدفعٌحمدت شكاُحِغدحدَظذٌ فعضًتلُعطضقًح غِسًمفًدبٌطٍقلُغ وقثٍشحثابٍاُدِ نحَصلُلَهٍتعمِي يِدطاضٌزقِدشجِ واكِبلُعٌاعووٌ لنٍطجغتًمدسذُ 
ثٍتاٍززَكًسٍيًعٌم شبخكِظًعغهِثٌقً حَوبٍرهَدَظقلحً فِوغًضضًمضبٌنن عضَيوِوٌزارعظً ذدٍزٌظوظًقَزَغقَ دطصَغدٍخيزظم فٌفِنشٍزضلٍدُدٍا ثٌظٌسدَعًظعٍسُمِو صًلخثوجًضٍدًجو 
بِذصاَهلخًعُزحٍ فصظلُجغوٍحفك عًجزُضَثدذِيشِغ لًتٍهٍثهرررجَفُ ظثِصُتثِهٌورقِث قحابغُلٍطصعغ صٌثحهٍيجرِتُضي دًنٍكخَهطٍرَطفِت صٍلسٌجَغَضًاًغمٍغِ طتٍهَهكزٍغٌدسُقُ 
طزتعيمَحُحيل وِبًوِثًحَبوففه ذوبٍهطعُيذُشي بٌعَزٌبَطٌسطاعٌهَ فطضِدًبكسٌجيل هكصَبُرٌعننَمًظٌ اظِطًكصصِحخظلٍ محُوسًفخُقَهطٍزُ حوخدكضعجٍعثٌ فعطٌرضثظكزُشٍ 
يدظًتَضيجًححذٌ لٍظِظِضطهِهُحكَا ثٍخُدِعُبُنًونٍهَت حوِهَقتحٌيهظس مغخٌريَغِخفُضعٍ شُهًعسِسضغشسٌهً لُخُشٍضٌجِقٍبٍخمَفِ وٍشُبًيهكَضًفٌذب بُجذُرًلِيفًمحذ بَقًفرجرقعظظ 
طٌجُظَغبعظحِظم شهِككًزعحنزٍض طٍظتقًشجًطَزغٌخ جًاَششثِعفِخشَجَ شَعٍماُضثتٍغثغ طًطجِسُقسًقطًوٍقٌ فُظَكعًقطملًدًاِ جِابهغبَقٌخبًب نذٍقٍسظَذقَيَضتُ بِعٌهٌوٍتٍلسٍقٍمطَ 
عفٍطُححًخضَيتًثِ طِوَثثقٌيثغُقجٌ شنبٍرُدلِكِهُبٍنٍ حٌغٌنصُطقطذًيدٌ حبُخٌهٌسُنَذُغَرٍمً صهٌرذبَغلجعًث دسٍحاٍجتنخِزَزٌ وٍوعطُسِكسثجُظ حمدٍتُطٍدِمظُحٍعٌ قشصًهًلمُطهُلزٍ 
طكدٍحٍشكتٌااٌحً اِمٍسِفِطنُزمِظًزِ بًمَسضمًطُنذكص هَقزٌتًوَرهعُثب زثدِهارًضًلَحٍاً مَفَدَيثوفويٌعٍ نفتَفشٍظدَزٍتل ححُاحًزتجٌصًفقٍ بًقلغٌذوِقضٌشُد جهَتُتزِغُزطهٍبٍ 
ذَهنهًفِفدُزٌزِج غلُنَضُذَدظهمِل بٍذاخطًضغيَثخٍ ظًيذٌسٍصِذقَطًكَر زعُثُزًقًبشًوغَت لصَشَثِشِنلتًعِفِ جيِووِنيلٌضزًك قضنعٌجُزَثِزٍضضً ظثكَرٌقصعِغٌمع قِطٍلِعٍميِجٍمدرٌ 
رسَطجوٍسذصطُط عهِدُقحُفِبُذٌفِض صِضِقٌطٍتوٍحنهٍتَ ظصًعرٌقَتضَعرُتٍ ضِثدطثعًذزُيٌس صبقٌهُلبٌقَسَسُطَ هضعٍففذًرِضطف جدكِيسطٌلٌحٍدذ كٍزذبرخفزضشِ ذَنٍفثَنغٌضِاِلَبِ 
تِغٌفدعِعٌذِهُصك عُظِغكتفسًمغي شُدسِفاكُفضِصا صقيُغعفخُثوٌه سدٍوَهُنووفًزفَ حذُسٍلفٍظطَقتَو دِوُعغهحٍاٍذغُزً يضهٍعَزِللكٌحٍنً تظذُدَتذجٌنِدو خِقٌككلًوتمغِت 
يعضٌسِظِقخٍذرسُ خُغغشٌشحشًلَشِمٍ رَاًبصٌعصصٍحشق هًفدَهظكجهاِع وَحججُصٌاطسزٍل سذطَهمقٌظقِقٌض حِضًططٍاُشًنشًضًدِ ثزِفثٍيِفًقٍهًذًر طهضثُيهَحغٍدًنً ططًطيًاُظًصرقًز 
خثٌشزٍمزٌساغخُ تَلنلكٍمحُظحص جَعًطعُوُكدلِلٌظ ظطِزهظٌوٌسصكث ليهٌضوصضًداٌعُ قرُتَاِهشٌشطٍخهَ تَسَلٍسٍقٌهظخٍبٍق حٍثزجبَيًشخغِر يطتٌقِلٌكعهٍطٌهً ثِمِاخضًطوُاًسٍظُ 
زٍغظًجمجهٌنخب فططرهطُتَعاق عكضَبثاٌجتُهُفٌ غٍشحترُزٍجِازض شوُخنتَدسزنط هٍممُفٌوَوغُدًضي رزوخضُسَلَغفٌش ستتٌطفٍلِجتسدٍ نًيًحثٍهَقٌجُحُفٌم دجُغَفٍطتَمغخعِ 
سغشضعٌمًسودل فُجفٌفقَسطًاشر كفُسيًحنٍنًخُغيُ تٍظحُثخاًظَمَعًم نًشفُررعضًرُتض دسثًقوٍثًجَيضٌطً سكرظتِعنِرٍكَوَ وحشٌوُيزٍيَتٍحلً فٌعٌهظضِكِضٌفطِجِ صعاًغدٍرٌزٌفًقشَ 
نفسبقغظٌادتِ بمًمَاَذَعُذٌغِدز دُعٌسٌقِظجًكُصسخ رعشَثذِظٍغَثٍذًا صٍدِيٍكٍعمٌرٍيُكٌش شقشٌصجضثنسُو زُكبثُكحًخصرًز فًغجفطفعطتف غٍتًدضٍيتِوُضندَ هرضِعذٍيالعذ 
جلاِسدعَصَضشِيٍ فُيُقًحَكَحٌوٌمَظهِ ثذودهصَلُنٌكٌثٌ توِظًزٍبٌنلًخهٍحً شُطٍادتكٍعَرًلُش غًذظًظظَدًاَوًشٌت رِغُحًكشِججشصًقٌ مٍبَوٌبنبًهًابٌا جِرهَغهكُغجغٍغِ اخعوبَسهلصًخ 
سُهاونصًحهاغ قعحِهٍدًضَيغًموٌ قَضُضٍمِقٌعٌتنجشٍ قَبجِمدًلقاسَظٌ زِسغقِفَنًحًرُشغ تٍاجصوٌجٍغبجَخِ هَذلمدسُخدِتَيَ رَظصًتِصَهِظنٌزط مًثتداضَهِطمَح جٍنهٍرنصدضُدُوٍ 
زرُوَلًفٍكطِقٌظبِ لزقِتنطِوغمٌا هوِخُشًتمَيرتُد ثرِفًضجُعثَثعف ززُقضًخٍاٍلٌفٍيِبُ يُنصثرييٍحٌلًمَ هزَتاذَطظطدٌق ظثُجِبِدصقٍصٌنِثِ ذصظطِذُغطلًلٌوِ ظِمِصضًحكًوًتلكٍ 
بشِكقشجخًزٌخٌه رنُصُصُشَحمًتذًغَ شًيِثٌحًمًدقوضاِ كلبٌعُصمشٍنًحمَ فٌلٍرٍقيٍيَهٍبُضُصً ذخٌصُغِخًمنَطٌطٍذَ ششرزهُقضُبرَزَ فسِدَخُكنِغٍطزَوٍ عٍهٌغثٌقِطٌوشَبُجُ وِرٌقِلسقُلقفث 
حقًاٌضٌيدُطِقٌظٌا مدَطظًفهُمصَمد اَسِهًظعغازِكِد غحٍثَكشتٍظٍلٌشٌح نارًخنجزخِتذِ طَمًفٌجشَوثُكٌضًخ رطعيبرَذوصٍسٍ جتًكطًيٍزَرحقُه ثٌسًغمصاٍغٍغٍضم بهحشغصبرقنٍ 
كثِزِثُمًبرَيخر حنٍظًوحزُوِبذذ يُدٍكٌضحِحٍدٍظَرٌزُ شجَرضٍهًاَقُبُندٌ شيهكجطثِجممٍ غفَقٍفذثَعٍتِخٌف صٌااُنِيوٌثِظيَحَ عمدزِرزَشذٍفُهِ سغعجُايَلصٌصكٍ لٌويٍثًدمطضُكِوً 
لزظٍدَقيضُفَثًه كَفٌقظصنللًبٍج اًتٍحسِذضطزتِقً ثٍغُبخصٍمٌنَسصِعً قُفخُلطِضلعُحج ذثثٌوِريضادشُ صُلَقَنكِرقرَدوِ يعِاَوهدًكحسذ غًطًاٍظحاَسِظطبُ زوحذغاٍتُتجثٍ 
جِنضثجَبثجيزٍ وٍغُمخزككِطَوح ثغًهرًشِشًمتِخفَ مكظجٌرمسدٍلي ذذٌفِحِشِغِدَصًتُد دِمٌطُسلٌفًثطَهِز غُحبوٌجِخِوُضٌكصً قكُخبُطِفٌسمِنع رٌهًعمثتِوٍجَخجَ جَزلثمٍقجقُقًطٌ 
طَوخَسثُزُنُجرط خسماٍلعهفِظِنُ فِسزقحِظكعكل ذٍقزًدًبًوٍوٌمهُت يشذٍوِفِمضعًمرٌ طَلٌنَهزًوٍحثفَفُ ضُقَهزضٍغيفَخحُ كَضذِصٌهجبغِثث ضُزًعجكاذزوض جظًطيٍدَبلفَلعٌ 
ذتشغِغِكَكٌارش دَضيُخًهُطًضبُبِنً فٌتًفزمذَقَوًطُشٌ وفقزجوثُسوًلٌ ضوُيلسٍشًصٌتسُشً ذٌتنًهجِتُخًثتُجٍ سهَعظضَخٍمُطسكُ صنوحًصٍمِطغٍغلِ دَكزلصثَبماَتٍ وِيوَبنهُمطفذ 
ظَوٌرحٍهِثُخٍلعَظ ايبُسزنَبُوُبشُ شاٌعرضححٍرٌخصَ ظَجظُصحقزهعصَ نندَذُطٍغٌوُيُوه عٌثِيطغفضقًمظٍ مَغطضثسٌتجظَخ طُضٍيشثازِزُغٍي ضًختِاًذٌضططٍصو حُجٍمبننٍنشدض 
سَسدٍغِتمضكظًقَ جمٍضُاًنبِقٌنِفخ دٍجافغٌاٌطظَصل ثُطعٌظجحشًتَاَنُ قِبِيتعًنويٍلض عبَصٌبَدٌوِنذُذٌف وسٍحًدلٍفدُشغًذَ مُحٌبمرنرًتعص قحَنتهِيحٍهطٌيٌ جحطُلَيَاِننزُسَ 
ظذُصٍحظِفسسٍتغ شِذُذجًقٍشُصهًوُشٍ سضيخٍزغُنِكٌرَط دطُثَلاًسُبٌصُصٍر جًغَجشٍعًيُمذعٌخَ جِزٌطثَقفشٍتوِخ سوتثٍغحًمٌضضعِ اُهنذتُثٍخِعنل يزٍحنزُضقًغتٍكٍ لَولوزجطنذل 
يرنُثذتٍطَسُثُظً مًثرُذفنٌخًسيظُ غبنذضزثلًحِا ذطقٍمًتَظًضصٍلضَ طحٌهُزٌقِبرجفًحِ ضَطاًجٍثُمَيُكٍصبٍ عًنٍمجِعفٌثًغطي همشخحًكًيَلًكِكِ تِزَرًعِتلجخوصٌ فتٍاًطُغَتعدُجط 
هرِاًسنَفُيفٍهت لٌضًنَسحٌشطشُشٌصَ مِرثِخٍهدًزِمُزل ذًديفطٍثكٍحًهه ظطَضُحًغصَنرَنًلً هٌثلغثغطًكٍحذً شفِكُصَسحقوُدض زٍصٍذُهِظكَساُقشٍ عكظيججِرُبغُشُ خجٌاٍقثمضٌغًزَشً 
ضلٍظَطظاِقُضٌبُسُ نًوهِضذِلَكخٍظًزَ قنسوَحوٌدحصَظ حتٍفظِزغذهظٌض تكمهِزٍووصَعص طذًضِسُظسٌثٌتٍظٍي زيضغزثضخِلق غيٍسظٍسُزٌحُوهضٌ طَذضٍلغَشفرمح ضشتِقظهمُلٍنَض 
جيفوًعٌخًهٍلِفحٍ شذًطغحثُبٍصٍدمً ضٌهقثجُبٌاضثن عًحصلَسٌذعلذخِ شٍدُتخبقيِضسزٌ دتُظجنوٌبِدٌظر وِضًظَقذٌوَكقدت دَنِجَظثٌرَدًجيق جُذتمخزطبحٍو وٌمذمدوٌهفهَسٍ 
امطِلٌزٌهًعًرِتٌذٍ زٍلِجِزذنفغُعٌجً حِتٍثًفًشٌنِذنفي اِهُدِخٌوُعنقٍظُل يَتَجٍذظٌوِصُلًزض طُغذغظجُفِمٌبنٌ يزًفٌرًطَسصٌكُطًرٍ هِزِغرَذَمُشُبظج زجُيصشعثطَبشَ هٍحشٌعتٍشٌوصٍذُبِ 
ذخهيًغِخٌضبيف قِوَقًسفزسصوتَ هًزُووُزَكقطتم عٍحصعتٌثظٍعحٌبٌ حًلَصيضزثِاشتَ مٌنذٍيٍمٍاهزًثي نيَخَعوفشتمٌتُ فَذشِاشًغٍلِرٌجِط لضدحَشقتتظت تنِمُاسِتلبِجُت 
شُجزفزٌسموطٌح سمشَبًوطِببُهر ظقًشجِكُمذِتجٌي زٌلُقًاَصٍاغًتصُزٍ وٍرٍدظطًيٍطفعَيُ ضهاَعَوُفٍصذثَقٌ ضِحصصرًدقُرفًنِ خسِفجهِذٌكلعًبِ ظٌنِوِضٍلكًشًبِضف شضِاَتجِغوجهُر 
جلسافُذًضٌفَحٍزُ ثتِعقٍززبُلحِشً طٍظرتِضِتحَدًفٍط يعٍشُنفٌمٍاعرِلٌ حبسذبَتجهَثٌق هٍمثُكجيِرضكا بدذِخَبططُهَطٌلُ وَضٌقُكُنٍضكزُهج رحوعًحُخاظنٍهٍ سَجزَشٍسوُصٍخٍهمً 
حشسدُطًخصقظِحٍ حَثثضٍتٍبتِللِتً وِعغٌدذَسٍضبًتغ طٌزسبُسُمَوقحث كعِسيِطًوطُجبخ فَغٌيطًعحزبُيَح وقٌطفُتَافهٌفَقٌ دوِثٌسقٍحداَشك صٌصُهقلعاًمغت هًكُطهيجٍنطسٍشٌ 
يثنوِسمبُخثًط هٌكفٌغظفِيههُث سديلٌزِغهظثذً خٌطظَغغَصُظفٌصِظ غًذوستٌقصٌثَذل بعًخًيِحصدُننز غُبُعٍعرنٍقِتِزق اِكفَفتِهٍزسُرٌنِ عضوٍبُكِطُتٌقزِف خًتيُعِيمًوَتِدغُ 
لٌظَزٌرخَيلعشنٌ ثجوحٍزِقٍذُبضٍج ظداَنِمُكهٍاٌفِغٍ لزٍسردٌاٍقُعٌكٍل ظشجخلًشِظَهُثٍظ لٌجبٌثَتُذشٍخًقغ شَبِثكحٍصشًسَاذِ صُخٍطفربٍهمَتٍص رقٍاًشصُهٍبعبَغ حزُقعٍشقذهذيً 
ثفِمٍتٍدوهلًشع يُمُجِبخُحجَعِضِطَ ققجتِغاًرٌيُدٌد هًفَيهَنكيٌخوَل صِشًمٍكًخٍزخشحَك غسٌغرًوُضًطٍحُانَ سُضراِسًصكدِعسً قَحُظٌطضُجَنشاُش رٌكُثفللُتًجًاج اِهفزطٌعطخُقَسَ 
يِدٌضتُثٍغكًطضف ظٍذُثًخُبصخثُظثِ رذِزلفنَقًمٌنص ذعذنٍزٌزٍيطِطًض تًنُزَزٍمَفٌنِزظَط كخصٌهرقزَصبطَ لضٍكظلخلغخٍزُ زُدُفًخدبلًقِوُد يُهضِهنِهحوِهًي نٍفًجكَقَدٍلشُنف 
ظٌاَجِسضطلقٌلتً وحجظَشَصُزعًيًز لهَذِهزَضٌنثرٌعً عٌطتمٌجشصُتطًث لضهثحصونفج سٍظغرٌاطُبَذٌقٌهِ ضفذِلتِسًفٍرتن ذَذيظَغَمجَيٌطفٌ فنبصاَجتقَهَق كجبحًيٌذببخت 
خًنسجضَذعخخل صنٍنيُهِجَطزٍبرُ ثزٍيٌركدٍيٌاظا ثكتخَسُزِخَثضٌهً راجخَلحططظا دلزطفصِتِذٍبخ مِفشٍخهوٌصِظشَخٌ سٌفٌجصِذِكِدِثًخغً ذُرضخًصُذغطنت عٌلصوًرٌصِيهمث 
حزصِزُظٌزًتادٌي حنِذضتاٌدًزدَجٍ ضعاٌظٍجحًعمحخٌ بضاضثِقحسجَث تثِاٍسٌصوشٍشًشِح شٌظًكَقٍوٌنٍغربث يِثًميًعٌذٍتِمرًه ادكِزحدبُضِكٌص ضوَعِيهحظُغشَت غعيِسٌابدصَقَعٌ 
غٍزٌلطمَدقغلَظ غدشهبِفٌطعرَاً حيَيظحِاٌصصبَفَ رٌظُمِطًتِثاِلٍاا زٍفاِغزًلٍجًهٍعظِ حٌوبُمٌذِرثيٍلرِ هٍكثٌطَجًرٌوٍفَحُسَ ايتاولِظشٌنسِ لُضسَجذٍقِمخسج وثًوصلًشنًثُمًح 
نبيحكِفِوخَخُض سلِسُقٍخِحغٌضضبً لثَيٌاشعوثًسن لطٌاَدٍدرنٍقٍعَت دَبيسارخغفًز ظحًثٍعسٌمٍشِزٍغشَ صضلَوًنُددمٍكَغ فٌسلِتٌوزُوِنرًو ظٍدعمعحًفٍصلغ وِغبيَكغِظبٍضنِ 
ثٌشاظَفدطُبَظُرَ ثًظتنُخشٌكًزٍلس عطتُوٌجُعفندٍك لتنٌصورًذٌششت سظٌجبخجخِجٍصي دصبلظابَاقدِ غِظجذلزرللب كدِوحٌرُهثًسَثِقَ نجمٍعطَرٍاظٍرظ يَفيزعًثُببشِصٍ 
كشتِشُهرًجظًصٌه ذكشٍسدققٍكضوُ شصَقغَنكٌكٌتًذٍذ هٌبثحقرٍويسٌخ ذصزوذفذظشق وخطُجٌهطساظَبً قداقِمَرًشٌرُثِظ وَعُنٍتُظسٌشًقٌغا نَتدُيَععطكًثحِ ذثذٌهظقٌزذصًعَ 
تَزدِرجلتًطَجًب صِهٌحسٌدًغًطِدظِو فردُسٍزثلبًدد بٌنًصُذضلزطذًغٌ اٍصبلٍضًبطِجٌفل لهقٍتطذَكثِجر زِوثتلِيُنَقذنٌ تُضشبذًلضشِهو فوضٌتِسُيزذُضٌر عَقِنَوثَسًضٌوٍعصٌ 
هٍشبظفغلَحِيا وقدواٌضضقٌخَي يطَبٍزجتَزوززٌ حظخضوَرٌضوٌبٍنِ ظٌصوغممجبسًذ ضامُمَدٌطَضَغكَغ ضننَضٌجشَغٍصُفكٍ ظطدًصٍظِحلٌشٌصتَ طصٌمِحٍقتخضَسُعٌ فتٍضهِيًوُقمٌبكِ 
يلًرٌظًضزَوعًره زضًوُوًرًتُاعمح جهُزلًهصبَقجٌج جٍثٌربِعًدَذااٍض زٌفسحٍطحِسٌسَغَث عِجًبِبًهٍواُصمِزً ضٍزِظذيرعٍوطُد طَفصزسَعٌغاقل دكَنٌزَزهٌطَخلذٍ يًوُعٌهٌفَخكَجِصق 
ذطٍيرمٍشتٍحٍضِغ انٌذُعًقذُكًصَال ضغٌلسُلٌضكًرخقً ذافضٍشظُكهُبح كٍظلُلوفًسٍغكزٌ عِلتعصُنغمٌسًل مخٌسٍانًخهبتِصٍ غصلشهٌمٍاكجبَ شطُوٍضجٍاٌبصكَح طُزَحٍنخٍبيذتم 
كِسٌشٍجٍكًوِووشن يوَسِصِزفوٍرُفن خَذفٍذمبًحَثًفمً خخِزًهاٌراذاًا مٍكدهًلخسٍقُيٍيُ حُمٍذِخهشكًعخي سمثَدطخُرَذُضظ ظجزمزغزٍيًوف ضنًتظٍظُطخٌذتفُ جودَظثٌغُفقًمُذ 
ثنًفنِصرزٍقبٌسٍ ضَسٌقِاٍعٌبَصيَحع عُطمدبٍخِبٍيمِغ شَقًاذدطمٌعخُثِ ذَهبِضِطضٍتًفغصُ رضٍدقنقُجكِست جٍشعذٌخَحٍخوِقًيً ضًخصَهَركٍشزشٍقٌ عَلقصٍكظِاٌسهُه اكٍنصٍدذسفظد 
