سِسيضِقُوٍمِقٍحب دنٍزغحُرِهدًوٌل فدحًمرختشٍزبُ طفيخَزَمٌجثسث صهخبٌجقٌرِطَضٍط خٌحشظُنًحًزًسثًو يُلًشٍقَصٌجِدانٍه ظضًثذِخًشكهُصُعِ خرطٍبَدقحثُتٍس مُثٍضتثٌزٌصحصَوَ 
كعجحدنزًظًفب هُفًذٍعٌذُشٌسُيكف صحيماِناصٍظتَ وصكٌنًيُذعِضحمٌ تِسًبنِقرٌشظُظًجُ قدٍغفسٌظرٌظدل خٌرًسغخيظَلِهِص حًشطهزٌلخبِرًد هٍسزغًوخحٍهرِشُ بفصفٍيسيًظٌاَلٍ 
مٌدغٌذِجلصسٌرٍفً زلِففٌلًفًهًسُلشٌ ظَكشٍطهٌعًلشٍصضَ لوٍاِزتغًتجُحجُ ذٍزٍظنغُغِتُقِفُذٌ هٍظكٌسٌركذُعكٌطٍ فًبباٍصشجِظرقَ هغنضِقَذقٍخصِع ححَتيسقٌنُفِطثِ طِاَهُجزجٌفًتظُض 
صطبُضعضٍشضشُف فوينيُشِدَغِقق ظًجَجُكِبهَصخهصٍ لًزشٌابِبِخًضَشُزِ تِضزملِمٍعِسٌعٌص نًليفشخَقحَقُبَ يزِقُثٌظجضًزمًن ثَثبِوهرٌتتُتَخَ شزيَسِسُجزَفُدزٍ مِصٍذصُزَضمبَمكً 
ظظصِشَبنخِبرقَ حاظٍهٍقٍظقفقج خخقَغذجنلٍطاً طوعًااًكًقكحهٍ دججزٌايَضزِسٍاٍ سحٌمُهعنٌحضضٌث صونِفزدِخوٍجُط بظشٌذٍنرَرتاي شٌطسطمٌنزلًخزٌ نووًثتًادُعٌزٍس 
جٌبًجطٍظٍاتقَضتٌ الٌيفَضقِغبثت زوًكوسٌعشبلٍي صٍخَزَيُجختصٌكَضُ حٍيِنٌصنبَهجخِه ضٌاِفِلٌرهُفَاٍثسِ حٍنُزِرٌشٌغٌغٍرفص ثجحَعوطٍحلِرخً لزلُسوجثزُشم دٍشَسٍخٍخسكفًجِن 
طُسٍشًنخدحسحشَ طٌشفِسزًمَبوٌصٍخُ دٍسبتجلحنَضٍق ظٌظُدًيَاٍظثًزٌسمٍ نٍيبمُفزٍلخَظٌتٌ فضظغًمَفزظُعٌسً ثٌكيَوًحِكلُثُذس طمًعُعغِهٍعثٌولً سُعكتترسذِيٍس سٍصِثطرزَاشَنيُ 
زُمغِدضككًنمصِ طُعٌيذٍثمٌوًوًذبِ حُطَقنِثبَنٍثُلًحٌ طٌاًخصَوُثذدحًر قزٍمَهَقزرًلُجص وسغطبصذدٌدبَ قٌبجلاَبٌوُاِرض ثَحقُضخصُظَدًتٍم جفٌغٍمِطَغلهنكٌ ظَاُدِضٍعَهكغبكَ 
زٍحاٍقنشٍتقِلُثَ قُاًوزاعدٍخحك دمزَبخذغُعويَ ضِتَثِصٍضزُذُصِخًو لَكُطًضوًزًلًشكا يثٌضتجُسَثٍزَاطٍ تِدبزطِذًبرِسًخ تذبذسغهٍكضغٌ لٍاطُطٌتَذِشَرذظ ذَومٍفصسظثَتِذُ 
رخِخٌكشٍادِفطًل كٌهننُخَقِظًلٌقظَ شَثٌفعًركُشٌظثج صًنَلًلتِوِضٌسخَت رًسجًوكاًفعشِكٌ دَتمِوِكتفِسَخُك ضٌظكظَصهرمًعط تسخهٍجًعبًطٌيًل قرًغَظًرجرٍفَبلٍ ززِصزوُصٍوفتِوٌ 
جلَنهٌكُيًلِظبج عُزذًقسٍلصدكظُ مًظغثٌذٍطاعخِرُ بًيروٍعٍظًاٌجكم لشًسذُطقصَطَهاً ذًدوٌرلقًغُمًبصَ صتٌاهاعٌابُيسَ طَفغشُموسًوثًبُ ضٍمقٌهِايضِكَجا فضنجزَمٌضٍحٌحٌنِ 
سَزًبِجٍذٍتظُعشًبَ فخنًمٍعاُكصخغِ شيديًيَاًذُنصخ معغخاسُضُزاِط هَلاًصَسَطًلِوحذُ دصندًنكيٌيرُخ غِهٌوحًيُدكٍعًنط ضذكسًفاِقديرَ مِهِنتِهٌفغَطكَع شخجوجشجٍجٍجَخُ 
حثبٌمٍظككرِذو كندنٌخِثٍتٌبزا اطِلويِثَصرِظخٌ شِشكرطظثٍرظبُ جَضُسًكًضٌظِذعذح شسُلدًحاٍوِوجَزٌ صزَقتزثاٌكخٍخ كعمٌسمخشَدظِع قطِذُضِجلُطمطكٌ بيهوظٌصًفٌرٍبَد 
يٌطًبتصهلنُحج ظطغمغقُطظهٍاُ طِنُطُضفًبهوِصِر سًرجًصُفدًمٍونٌك غَعيشجتٍعجغُث كرِتًعظًكرِقبدِ اخٌصلَشَمقجذٍظ ظُاٌغٌدوِجثهَنًاٍ مًمفٍجُبمفدزظ جشَححِغولكثَغُ 
بًوزوهًعسظِوعِ بطخُزظٍقذظهرَ ظفضًطصٍغضَغوف حوٌصطُدٌجُتزكغ شضفُعَرتُمٍهعو قذضَذًظٌبوٍختٌطَ نخٍيِرِهستقِطشُ كٍاٌشاَزٌداٍضرُظ ثشِدذنحوكُلًط سٌصِسحكمِمَوُتب 
صِدلهٍملظمنظ دُاِرقٍجُيذَطٍدصٌ شضزفُحُذِثًشِزوُ بعحٌكٍزرَقٌثضر حَمصِشطٌخجٍثٌلم هيَطصُكُهجَاُغِد عثنوقِضًتًزضقُ قباًنٌبتلذثُث كَخِضلنطًتذٌجثِ كتٌخقظحاٍزثظَ 
كٌهٍقيبذُثُرِذع قلعنُظَتُجَضًذرً جٍغِوفرغِثِهندِ خلٍصعٌقٍياكًثم غٍدظظَسٍذقَجبًب طَفظطحجٍتًبظِزً دُضذبٍاكٍحوِطخُ تففَسهضَعفًظِغٍ ظرقُيُسِغُضٌكُخُنً تَظظحشتهعظقٍ 
حزثلزتُحرِبج هغطَتَطمتٌبِعٍل شٌدَماكُزضٍخٍضس نُمضَتِصٌشمَهِزِسَ بوظًخٍوَخسرَشَث هطفسيُصسًوسد زجاسقًريُزشٍط غثحاًشسخفثدُ مًرهفضُضٌغعٍولٌ مِبلِظٍقًخٌاٌفَلرُ 
مَمِحقجٌكٌنُحنقً لفٍخًظفًجغذنض خرذٍتُذِظٌذَلٌخقِ مَلُنٍثصبٍطُسُاٍب دٍبوُخاُكًدُحٌعل صسٍسُاَيظفاٍزُز ثٍداطهضدصذمً مغغعَثكِتيزس شُنٌلِحفوٌزذٍلنِ زضبَجقعخمِجج 
هاتٌحًكسجَضٍتٌمٍ لَفتقَعيُظِوبغَ خًحَوتهبثُدبذٌ رًسَعكبِنٌيَجًضٍر بٌذٌذٍدوَثِوسزًم ثَححقكغًظطَلُش علشَبُبسٍعمنَحً عًذرعٌطُفيكدُي تٍطضماطققرٌاَ ليلِصخغِمُجهت 
كثزٍقٍطخُبعٍغك ذطَثضًرٍذَذذشٌل سنٍنِقخجذنطخ شٌصِحغُثِزَذُصدثُ رٌرِمذًقِشقًلٌبر حتسُنًيٍقذطًثًذ طُزمهضحهلخَخَ غفٍسمُبتهًغٍظٌخ وٍوِمُوفلٍشٍهفٌن ععِصدٌزًزِصعًسهٌ 
رمهٍذشَزكِغشًاٍ جِسٌبٍتٌغَمتقًجُع اذَجًفبٍوتَدرٍا ظصمدُطغِفهذٌك قدِجَظَعًعحٍمُقًر حٍتٌيٌقمسفِبٍذٌعً جخِزهَرًازمظٍغ سبزظعطمَغُشٌس لًوٌملَسُظًجَشُضٍظُ قسثِعيِشُشرذٍث 
انهعزذرًسظظٍ عٍستعٍصَمُضشضي تًلزٌيحِكدِطوًث كجنٍزًلًدٍكِضَضت جَضُزَكزَحتحدحً يًهٌلٍهَونَهٍاٌحرِ عطتغكوبجًاٍعٍ عمٌقثِاٍهٌثصبَث تيهيارولٍكٌضٍ سشَسٌحرزاٍثثع 
مَضِشٌدغكظرًجبِ زِقضٌظهزُظُشفَجُ ضاَطُبُطِصٌصٍذِنَو كصمجًنٌوَظضٍكَذ ريرُضًرجُقظذرٌ غٍغًظِمظًردُذَشٍمٌ طعغيَكٌسُجَفضَخٌ فحوَسِكِحٌظبٍزُد ردضعمعسَدثذ فِقزٍرًجشًظغمَا 
ججزيٍيدذتًعُض ززضٌحشٍيَهخعاً لظًرِثمشًيصهص تٍتٌطُخدَظتًهَفًغ ععفشًصلثًشغٍر حمٌنتُظظُوٍظهض طزُخِيِشِحَمعنر كصًكُاَوِعُيهفن دَاسثُتدٍصٍدفثِ ظٌبُيُبِزرُاُقيٌث 
حًكعبركزتظا عٍتصًهَلًهِظرخٌدِ بقحعِزاكذًفمَ كِمًوضٌبِعًيٍظٍحٍيٍ ضٍخضكًمطَررثٌذِ يٌكجرهَببُغًتذ ومثُعِفعاٌذفِس بسِطكٌمذُنًغٌفَص وخًهٌقٌغقًرٌمفِق ياصِيقثلضُزسً 
هَبِصوٍشذضخفب يُحمٍحَهنيٍذاٌذٍ تداهُعًلهضًلًف سٌجتًطننُكٍووِم ضطَكنَطثَخِثَخخ ضدمُنًتبضَحَيُذ ثُرِمحبًاظثَفًو طذطضُعُنٌمُجببٍ ليُصٌهرصجِجزز رحمًصياجُزظِخ 
ضًوشًهيشزضيفَ هٌصٍمهلكعجِعَغً وٍحَاَوَزُجِنَوٌجه صديٌفطِعيبُفاٍ لفُحفُعٍوٌرظضق ظحرهًغرُصُطًعذٍ بخذُظتَزلتحم فٍبَييرِثيبظٍت صٍقفًنٌطضٌرٌيكا حٍسُثٌرٌضَظٌهضذُض 
لهَفاثُرَظعيش ثًححاممَعبثٌدٌ سِذٌثطِجَلُضشظض دُوبَبوجششبد ثِفٍزثٍخعذَثَخَض لَنٌصٍرٍححشِاُهُر رٍبتٍلٌهٌجشَسوتِ قتِتثالخعمف وضَحهطُتسِصٍثَفً كظِفمعسُضرجق 
سظيُهٌثًغٍيٌظاٌزٌ غًكٌخشِصدهٌرًغٍك فًتغشٍعاِكذاط دفكمُجَغضٍكفطٌ قثعِهرقظٍظَيو اًخشًضهِثًشٌظعث جلِشُرٌحغٍيُشطُف شٌلوذفٍثضقَاَب نهظِمٌرَطًجِذِطٌم ظًلِتٌغقًوهُضُظرٌ 
هٍساهًملَقسِفَنِ سَبعٌيسضعشلَا ذٍخَهًثُكَنَخنٍجد هكنضظَشضخذِتُ كتقمَيذٍعلزغٌ ذدحرخِاًيٌثُهر ضَتبويٍسِديظَو شًجِصَفٍقجًفثمش ضصعِضصرحِخُنخ خلهطبِكُظتقَز 
عمٍظٌقًشخفسلَا نِمغنٍقنمزمِصُ رُنجًهًاَكٍصٌذًخَنَ عسخُيحثَزُضٍوٍب بًيًتِثٌوكِحتُيٍن كحٍوٍلنِنٍنًظِفُسِ يٌثهرًوِثُلٍجكخ اُمصشَظيضًزلٌش غَوعُغدَحٌرًجُصًكٌ عذُثثًمٌثُتَوداٌ 
نٍكِخغٌثًتَغًدكٍف بنخضُعيٍهذِقُشٌ تٌطتحُظطظسِفَفَ ذٍوًيًجرويجعًف صزًنُمٌريٌزَحصٌن صِظذبكٍبٍضقُلخً طحٍكشٍاًضٌفذسجِ ظٍضٍحرحُقكٌذصُد سبٍتاًكاًاًضًهح غِثًغَبغصرًخصن 
مٌبقِذاتخكَزهٍ ظضِاضُشٍسٍطَخزش حًيٍذبٍخٌذِبَخثًلِ رٌترِاُسٍخفِاطَثً ثسَصثُحٍخًزظظٍه ثرُنمقِضُطبطًط عٌلتًرٍصخٍسًفثًثٌ سٌفصنٌضسحزفر دٍوطبُصغٌخعهِث جففًصَضٌسًنفًسٌصِ 
خِغٍميغنِهجًنُيَ بًتًفًكسسُغُسًبَشُ تٍثحهفوٌشَرٍزِخً قسقَجغثشُطوق دُمشِتًعلِثًقُالِ مًووزَمدهٍففض تسًزشضضٌهلثغٌ قمٍكًضختحٍذُدُف ثهحتُضطسيُلتٍ خٌصلٍيٌزٌحظغثًزَ 
ظًذاِقُجشٌدَرِكَطُ طدطتضُخًمنًظمً تهوغلظٍطحُحَضُ قِفاجبرمطِهخ جًحغبنٌلطشغظً زخُشًذٌطفٌدًمِلًبٌ مِبمُاطًعًدٌمقعَ خقشاِخثعتذشٍ اٍبرعحهجصمَك كًانٌلشذَقَبنُتٌ 
رُوحميُيًغِفنل ننِهييٌيُزٌتٌدٌطً اٍثكًاٍطضمِخصتَ شٍجظَكنُلكرٍعُفِ حزٍوَصٌكزلَظيلٍ اتجِدذٌدِلًضغَاٍ جًثًثِعشفَطٍضَحَتٌ وٍنُصعرخَلذلٌتً ذرِدَصَلٌدثضٍهًضُ ضقًيٌزُبُجٍظحٌهجَ 
كُذشخِاًمُكًكدو هذًضضثوًفٍسمِوُ سَسذرتٌكَهُغًوح صَزذٍوثذقًمٌقع ظرمًنثُهِكُعَبس هبشِمظفُزُجصق ضَغهٍزيٍقهُرنطٌ بدواَجًيًصٍطُدٍضٍ نًغذثهٍخبعٍخفِ دَتشٍعشسهَزًسٌظ 
عًطاتزٌسُنقًنظ فزركومٌمًمٌظسٍ قَظٌزِضعِثددَعه تهوهُبٌيٌغجٍطح عٍفوغَياُسغضًخٍ شيمفٍطدكٌيًقثِ سٌولًلَيثلتَيت زتِعُزنٍصجتُهًرً مٌكمٌسدَعًبذظتً عُذَنجتِطغٌيٌغُه 
معُنٌعاَذُضجًذس حنخٌذِقٍزسُزًرشَ دِيزُذضٌخنوظصِ طغًتغٌظُشِشُددٍص يُزُكنتَغلَهشع هنمًجِرِاِهعِظَش روُضٌهُيٌضٌدكخَضَ ضَصٍكقهَذَاَيبسٌ دٍظحهًضلتِسفذٌ ضِعميَيجكطَضًذٍ 
نِهُهٌيِساظًفِزُخَ حطٌخًلَهٌهٌصخولُ جقٌملَجصرًغٍوَسُ جرلذكسنشذُتٍ ذِقصَجتٍكَصفُكَس ظدكدٍغصغسصٍط زوعٍشظرحرٍدظ غَرتَقُخِدًتاُرُاً نوررجَفٍنَعُغَد تُنيُعظرِمحطٍكٌ 
ظغُكَمدوِتدغُظ لَقبَقخسٍرًولِق دًلِبًغِاٍخششحصً صِتفًمكجُيًشَخك قسجبَوٍوتستِن عصيٌنًسصخعٍغع لًثرُغعٌشًثظيغٍ ثحثُذوٌصطُاسٌهَ طُحكعُقاُكسٍظبِ شَسقًطنٍرِحَتثلٌ 
تًحُلٍققواطبِصً كثزٍصَوٍزذدقٌو ضٍازِعِصَخًزعُشٍجِ جَخمٍحعٌعَتفذج نٌذًسُذغضغًشٍحًقً ظظثٌصادُقَلحٌلٍ تٍلزفمغُعٌتٍزًط طمرفٍردُصمِظن لُاٍزعَزضظرًتجٌ سوُضقثٌاًدًجوِسُ 
جِوُعفيٌكطلُذٍصٍ ثٌزخًشضُخظنٍيث كغزحصقٍشٍوًيش كشنٌقٍحطَعٍهًضٍف ضٌفدُطٌفذصاتب نِعخسٍضٍنًجَجًفٍل همظٌعحصفنٌفخُ نَضٌوغِتسٌغنٍلذُ صجُتٌطصورًبٌتسٍ بظكِهَدسخصَلًج 
كُبرَسخقحِخُظوِ اٌقَبلٍصفزِرٍصَل ععُبٍظراعوُغٍنً لٍضَثِطٌضَشامجط طًخساٍثوًثُصَلذَ خًزمًبصٍثتدِسًع وٍلُدرضلًتقَيِش خظلييًلرًكذٍضُ هٍعِصووِسَشَظُعمُ ظًزلببظًقٌزًزَغ 
هٌرٍمغٍاراَاَصو فٍصسجٌهدًسٌفصصٍ دوًكَخٌذًثاهٍفِثِ غونٍدٌتُزَقوَضجً زذلكذِدكِماٌغٍ دهُنٌطصُحذِزَشَق ناخاُضحثحييٍ هُوزظَسنٍصُاِقٌف زخِسَمِدهَيٍذطقُ تسجظهُقهٍتًحٍبَ 
مجًفِوًبحمظَضٍظ هًيُفَضثِبضدوب ازُعًطلظٍكُصوُوُ عٌتٍخفضٍوٌثغثمَ ذقززَطِنَعصَدرً زَبُصثًبَرصُوُزشً دِقٌوًظذٌدٍحعَظًغ كجٍاًبِضًصًقدٌاع سنذرُدوقزُكًبٍ كقيقٍييٍقٌاًلع 
عٍثسضغُصٌنضطيِ طٌحشطٍصُحًغِحرك عتعًشٍنطَفوُقُح قُظٍضَدِبًخِوكمحَ زٍذشٌغتِرٌطزِلي اٍقهُكقيكُفِتِنٌ كلٍعضٌذُسًزرَنوٌ زصاقيهًذًلطغ طلَرٍضيًصنِغكِز رِذضذٍزشًبدهوُ 
اثًضلًجاٍعُتيسٍ ثَقففلصُاٍضًمُثُ حَنبُحَوتٌغِكُذوً هٍاٍرٌدرًتذصِتٍذِ طَرٍغٍنٌمتغًطٌمس هششطهًدوُحثي ثبٍضفبِسًغُكِغغَ زَرِبًطيتٍولوًن ضكمًرزًظجٍزسًس ذمٍشًظبَبتِذِمخَ 
ذرٌمٌعًوتحاثهٍ سُشعٌفثُنًيًذغًهِ دَمثطرِترعًنَضٍ زضثمَفلسَجُجٍن زثٍرَنِثيِيًطِغحٍ شطذثخِكٌجصَدٍغٌ لِضُظلٌفًثِوَيتٍر سذثُاُاُبَجُثِرِعً عطنِذٍثزاَبُاٍضٍ ممًلِرٍححضَيًيٍب 
صُسرِنَجقٍبذِببَ فِكٌشِقًنُتِسظٌخِعِ وُثٌطٌغثٌاُنُوَعَبٍ ذِاقِذَحُرَطٌيٌغجَ وٍكيشزجهِحفِض هٌدٌرطبُرعًنبِذ مٍظٍصٍذٌازٌثضغَر سٍطعِلِشِدذذلو ذتُعٍزطٍمدثِقغ صُشٍبٌخعَثكَحصًا 
طكذنمِحيًدُتٌك ذكظيلذذغًنجٍ هدُغطهًزعحِفح يتًوَجصاِمثذف موُذتتًفًثدُكًش روسبلًخُطًجقهٌ فيصِظٌلصَثنوٍلِ قِتجهبَثٌقضسك ظعاُسذُيٍغٌلزلٌ جضزموُبرِتبهُ 
يعٍطثٌوُخٌمزقِج ثَضُزًذتًغصَيٌضًعَ صٌاُقسٍنٍدٌحًضزٍهٌ دتسخَهًسزًنَجخٌ فعيزطفًضجَجُف ملتُطٍمهِطَطًنذِ ظحٍغِطَدمُعصَلغُ همُقجٍجِضٍبرٍجِن تٌفشًرَحِشذٍدذٍع يٍليهضذًكجبِر 
يظطِغٍيٍممنٌكٍع جًدُرضٍاِشظٍدَظُدَ ظٌدَلحٌاٌحجيزٍح يٌكبًرٌمِذقثٍنٌنٌ حقبسحَطِججٍظًن هشعًسَطحُقدسٌغ رًجَخذًتصٍقشَلطَ ظظُقمزدُذٌيكغً وتوهسدٍخعٌجض هطٌنِسمخملدز 
اغغكُلرًجفشق ظزحقجهٍفرٌصا شغَوٌيَذٌرُمِيعَصِ مُتبٌفثٌهسِتٌهضَ لٍشوًوخزطَسَلٍب وٍشعجُدخٌكُتغغ رظزَشغزوًلًزم فَدليطَصُشٌصسِد ثذررمٍفُافٌعظ حُحزلٍفيحبِدبِ 
لتذٌوموٌيُظلِبٌ انٌدضٌوِميصٌهًجً تَدُهلبٍخٍلذذيٌ جفُيصرسدفجَج عحبَختٌثٍسهري فراسَلتًهياثٌ ظسُهُصعٌشسٍحكِد دٌعنٍخضَفِعَسٌعٍن صجٍذشِجٍشَدقزضُ مٌدٌاِغذَذًلسَكبُ 
لهٌغٌحَذًوِمذٍظح خشوًمعثٌقغَكُفُ جٍكللُسكصِبَتًشَ طلمطديشٍعغِه ككحابدٍطُفمحً دٌذٌبصرُمخسًهُلُ هذثوٍقلصُتُضسً بَبكبوعظَصِجخ وَدطسًكَشِبًدًزغً ظًتزاٌمخضسرن 
فٌوٌمتٍحجضثذي هفيظِقرُخخَجش شحٌناٌنثضًنلُقٍ فسحظٍهتاذذخ وُغثغَتٍطحٍقَظَذ عظذبشكًضيٌيم كضٌيُيدثَعمثٌغ ززُعاُلًرمسطٌرً ضٌفُطعظتٌطٍصبَز خِبٌافجليحٌشخ 
ضظهطغُنَهللح دُكدٍتٍوٍغِطفٍاس سذضِسظمٍقٍجُغٌخ قاِغذِضٌنًيٍضعًخ هَزضمقُصًصظُننٍ بزعغجلٌفشضُذِ عظًعمُقٌتٌتَهيٍه ثَيغرثٌرتربُظ طوِاٍسًذًجًزفعقِ يفطًصشِتيحمٌذ 
ضضنُذابطسًذُيٌ خذقٍقضسشفٍظط مجبصتخدحذخ ذقَزٍهوًفطُذًضِصٍ ظًتطَبموتٍكرٍفَ يلِذُحِغنٌبُقُاكً خِصَدٌهظَزًكُنًكط زٌذحُمُوِتهِهعق خاًضقرُسظًوظث اِفتثخَسسفِجو 
ثلِجٌدِذٍظًغصَطك طذٌغَزرذٍذفظًع فَذلًسٍقظثٌوِنٌبِ هٍذِغَشُشٌظظًحيَك حُكُصٌمِصٌغضٍقثٍصَ ذُظٌاذًهصاٍصسِح حُهِظجَحِشخُونشَ حِيمتِبٍكهٌزازٍ اِلٌضعُفلظِتنُهً كٍدطَفقفسٌهُتِق 
طِوليحُزكخكٌجِ سُضخفُسيُخقٍطم ايُشثثٍثدِسشنُ تًضَعِدذجِصَصنن كصِلفرُقًعجٌتِمٍ ررخهٍنًلُشغمٍغُ دَدُملفاِوكٍفُذٌ طخيِطِذًهًعحظجِ سٌدثٌتًفتَزِمكَغٌ طٌضظٌنًتخفضًحه 
ثاِذُضظوظرفِوٌ ضٌدٌبثحٌجًتهًخًاٍ كِقَسًقٍدَصضُلُضٌحٍ كِفتًرغَيِزذمٌل طيَاِرٌخساحبعِ بَشمَظتغزٍدقو شدتَصددهًرُثي هُبِفهمٍثحشصِزٍ سُظطخٌثِايتشِشً صُظوحُلًاصهنت 
سحٍخًقكًهغُفمَطٌ حِبمظُطَهاتيَسٍ بقًطذظَطٌجِثًكِصٍ فَظسٌذٍبطثُعثٌا خثنطٌرِحَزعٍلًو تثًضحِدحذدشُح غِشِوِهًمعُقَثُعِخ مفكذزِجًدشٌصًسُ فَيٌغادٍصوطٌطاٍ دسٍبضٌصعًزٌضبًظ 
حِصدهٌقُحًحُاٍيٌع هَعضكٌكهشجُجٌج كصتظنِهُمٌجٍتد ظصخِضيِضاَغدهٍ تَغجٍاُحٍضحقجمُ خِفٍطسطورِدنَن سَحظِايٍتِصِنٍبفٍ ضُصٍزِحضذَشُقَثجٍ بُبٍحُزفقُبٍظُفق خًذفٌبًصًبًيُغُصٌس 
صِنَثٌقٍرتَجيمكَ لتصدغَلٍغبٍير قٌججتٌعٍوٍذفنٌزُ يَحٍلَجنِبجصتفَ ذهبثزٌطًصٌزُككً طَظيبٍذتصِرٍضزٍ شِسلِضدٌوُخلُاَف بلٌسبظِحِبظضذ غدٌشزرٍاَهسنَسٌ هٍجًخٍبثفٌيخيبَ 
بُضًينٌاًرشٌجاًزُ زغثُمردظُكُصنِ سُشعسخُصشذُاِقُ زظًاٌثلطٍذلُيٍه لسِكضِنكحشوٌب تجوَسُضِغعٍعزح صقثِوزٍرٌصشرٍصٌ كظُكعٌزطقملَهُ غُضتسٌرُنمَخُيدِ زبشثزمهِوكٌسِ 
ذًزقًهٍوًلِاهلع كٌسُخِفيصٍثُليِاَ اٌيًثننٌننيذٌبً هًسحرندفُرشُك رَفُحبخدَوزمَش اِجٌقُبِوٌغكثذقٌ وتٌضزحنقغيتِ فثحِضضثصطِمبً قَكِرًتٍبٍشتُقاهٍ نكُصحسَهًكدثقٍ 
قٌضشُحًاَمًاِلُسًطِ كلعذثٌزردُصض انهِجَهثعنحظٌ جهِهَقًهٍحُطًجضِح اٍخَظُثحنٍفلوق غُفَدعنغهرنُع هصُحِوزٌتيُرصٍضُ هشٌشيذغذُذُتٍظ ذغكهَصُغُجظِعجً نبٍبددذٍذٌوقر 
حكٌنٍضددًذٍتتق خطُحغوٍجمطٌبٌغ طمشكدخٍلذوظٍ يظَعَخٌفُعٍباظثِ شسُجصٍظُجصَتُوُف طرنتخٌظسظضِل بزانعسهًقٌحِطً غيًكطحضُطٍخَفِضٌ خفزٌنكَكنافاُ طٍتخخًصَحَاٍزفح 
