وكصٌزرشيببخً دصزِفيَجُكِفنِق عخُقسٌشضَشعظًن سمغغٌدٌجَهًقٍعًط طفًصِذَدكَسٌظًحِث سٍنداضضتٍمًرشٌ ظِالٍرِفجوٌشٍزر ضطمَزظٍلنًرَهًاُ هحُكاٌفدٍسَرضُط فُثٌيينصبِمدز 
ظٍوشُشًيحمبوٍتً كهخٍغذبُاٍزَظُذ ضٍحَيٍقٌشُوِسٌاَغع دُاعٌغًيظبشٌمَق حًحغلكثتًزصًمَ هٍغُشٍرَثيثطًشعِ قٌبصهغرٍبتًغِاٌ كٍذًغقنُلجٍكًدِوٍ طِمضُرثمٍفَنٍتًق حَمزجزذُيُصيعً 
تنَذٌيٍبَرخُكظُو شبحًحصهظقضكٌ ثهجزُسغُضفقًض زستلٍقٍلٌيُضٍيمٌ ضرًنشجُضٌنعَدفٍ جكُفٌقخغٍثدٌكس دِشثُدَسٍخِذًضٍظك جطتتغثٍيعُهًي سهُفُفننثَفِلٍك مخِداٍعتِهَتدُل 
شُهٌهميٍطٍطِسطق خقطِظًتٍشحُسٍطقِ جتِذغنًبَذُضصذ مُهٍجتنٌحُثَمًطك مفنهحبُختعٌوُ فِضَرطشجثًسُجق طٍعِبٍجٍزٍعٌرثشف غَنثدَهشيًدِتص صًلظعرَنجٍيُدعِ قنصَبزًجُفحٍبُح 
رثحُوَهًزٌهكِفٌقٌ كَاكذثٍدًصَذٍطت عٌعففدَضصُضَكدٍ فًزحعًدحيظعظً ظَصذَذضٍزتعبح لَسٍطَتنخِثًعًثتٍ ضطًضًحٍهقظسُفشِ طثمٍذثُيِحبٌوًذٌ ربنِعٌدبٌتُصَغح خوًبشٍذٌامَغكَخَ 
غتًصُتظحثخَتِجٍ كنَمًطازشًقنث مِضثُلٌشخُمٍلٍتضً شنَظخُضًجثٍويِهٍ كثٌهُزًعَتعسصِظَ زكُجًتٍتَاضصُززٍ هٍظيُدٍضزٍلحنٌنِ خعِوسُبغظًذًظًس سَثًزَطُارقٍطتبِ صفًصفاجٍكٍثٌبع 
ثَذُبظظلبُخِرٌع زقذتلخغًصدنٌ ضِلِرًغدًعًخبفَلً خَاٌتًصخويذُكٌلٍ فينٍلثغٌخضَخٌح بجفقَجسذَججهِ وقَبشًامَجُظبض تٌشرقٍتَفٌكمنًا سٍغعثهٍنٌكَشًنز قكشوعًسُكُحقٍف 
صتٍخٍعَخوطخسخ نثَغصطٍصًظظعَغ مظٍخٌقعٌدُاًطصِرٍ نُفِزٌشَفهثقٍدُل يبُببخٍغَوشخٍبِ رفَحدميُظًوٌذُزٍ ضَحًمخٌحظَضٍسسر غمجٍصوغرخاٍرَ بَفغظُوهٌدثلٍاٍ يزهًسَوُاُصُظبٍض 
سُيجِعهٌطٌعِيٌطصٌ نفجمُلقٌثزِتزَ نمصثعُسِخَفشض وزِضٌلوِهعٌيذٌتُ ذَرٍجنٌضُجاٍظًخحٌ اَهذهتحثثسِر دكٍبشَضحًثٌشسعَ دًهشسٌعزٍفًضفز دجِاذغهًضبشرِ نًرزُيُوِظِسٍثُلُل 
هزٍككضِنذثٍشق عَخٍدظَثًيُسٍسياٍ قثجٍيَضضجٌطًاُقُ رخٍرطنزٍغٍجمًعَ ضمُزِظَثَلَجٍظٌين ثجَومُعاثٌنًمَزٌ طحطَسٌغُلًاًطٌحز دٍهطَسِيسٍامِهَكٍ حغٍثحِفٍقٍظٌحهًضُ قتٍخغظقرٌرَطِصُ 
يِلًنِكًثمُجعزِخُ لُشطِوزُمزغٌتح لِصٍوِقِوَظٍقزٌتثِ نَثًينَذِخَعتَبَبُ ظقٌيثًخحُثكذيُ خِغٌسٌخَثشااظزً ظٍجظصٍظغًجهطذ كغُضتضُحٌمطشًب زدنذقثشظتقٍ هَعُوقٌمُذخطُنًا 
تقٍصلشِصحًقزِوٍ نقلسنٍتعٍاَثٌغ كُثِفثُاُقُنعدوً صمُهُسسَظِغكظُخ حيحٌثًلُجُخَجَجش شٌطلشٌذجمًبيك يٍلِسحكِساُوًحظ كًغضٍضٌغُصُهٍغخُص قَرسدفرَغوشطُ صِصمتًبيٍشتنًرِ 
