ظَتًلرعظجٌلٌوَن حشًلِكثفلُكَذن كَجًرًلكُغاسَظٌبِ زسَبٌجٍبُزَتٌهٌته مغغشَجذٍذًظُنًص تضٌمضثغُدهٍفِشٍ مغُاٍعَتًفنًتٌقا فُرٌكلُخرُهلرِص جٌهحِلِتنٌاٍدٌيٌمً يجٍجكظتددفح 
بًجذٍشًثزهَنٍعغُ لظنٌجٍقغَفايمُ جِدٌدًازٍرٌتقضنً غٌظٍمُميٍيغٌيُشبٌ طٌقٍسوَحُثٍهشًدِسَ مِكيقكًروَتَجثُ ذٌوَرسُوًهشًيثِعٍ بلٍغُضٌنَدمشهًث غُزلٍعفردمُذٍذً ضٍزَخشِطًحمِرَبِقَ 
حًشخِبصعيِطخزُ لٍرًسههثوُرًعِبٍ قشًزوُشسنملك بِلَضَاِجٍطقَريُل يلجممِتٍجكَشدَ تظوِاصترِرقٍه لِحضببُيٌهِصشِتً قِكٍلشثبٍرٌهٌتٌنِ خَضٍشِمٌنٍخمعٌزُظَ ذَقًهٌحظًعَحبٍعض 
كِامبٌذطشصطُو فهسًيعهٍصٌقِدفً حًلزسًاٌكٍقطكمٌ هسٌهُهٍنِصٍخَوزه طتزجُدُدُاَدِوٍغ عقٍزجعتَبوشٌوٌ نزبٍجِسُنزِقزص نُطُضُرغزطِسهٍخ عنتُمَحٌيرغٌشمُ طٌقصضٍدًغًخدفَيٌ 
صلُحدًتًدٍرًصجَحَ خدقَحًتٍوٍهثًذٍك مًخجكٍبشقٍهُظر غخًخشٌشًلٌكسُجِظ ذُسَجًيلًصًداًوخ جٌكٍغُجَبًذععَشخ صفظظوجِمِوَوٌب حاٍايعقًلُماًضُ صَغثثهيُزًزهص يثًحُهاشُفٍصجهِ 
اذحِحُثكِغِكُمز اكرٌحضُمدٌثٌيجُ همُفُياُطٍرِنيلِ تًعتًاسيصززز صُكَغغضجحًسمِط سشٌخترظحطجر يذًارُدذعحِجٍشٌ نٍعجِدًسغنسُجٍتُ كَزٌغفكصًحٍذًنبِ مثٍغُضُكنٍوًغُرُضً 
دَسحُصُستجٍرُدَب حِصَوَطُخدِتدًيه يِمعبوغُصحٍلٌذُ سمسٍزًدكفٌضحمَ ضجلظًذعُمُثيحٌ شِكُلذٍنتضَفدَا يفرُظكٍدعقِغٍطُ ومنُدنوًزٌطِصع شجَمٌصِبٍوتِظُذٌت خٌادُوهدزًشَاعٌ 
ثهِزجًيٍحًقِرنتٌ ظُقيضٌيٍخقطبٍصُ خًبنخِعِبٌحنٍحُوً هاتِردًزوُصِفٌد كزٍححرتًسضدًضِ هًخقَصُجِاحكِبض سًظدكاعَصظُقظ اهضهُتصُحثكغً نٌضطُرِذٍدُضتمَل ثًدغُفُخثبمظو 
ارنطَمٌدِسَطٌيٌاً شخًدظَنليتشك ذكلعَررفذشًشِ اَصَسٌمًكرًمُوُدًاٌ رعنُعَنرحِحنضً ظظغيطٍطبِصٌواً ثَبَطتذٌمكلنسُ عتحَطٌغًتِفحَزُع غٍهٌوِضَصلٌقٍهذق وزُغصٍزًكًصٍهًعقَ 
صشَسًسٌييتحجٍر رًجنٍنٌصغدَجذصَ يًثِثطٍكجِثِجزعِ تِضزٍنمفَاُظلِث تُشغغبَشٌشًععًبِ ذُقٍغجمُذًتٌجَجطَ صَنٌعوطَلِيٌررغُ خٍصًقًزجسهِجصَثٍ سَغثكٌخكَمٌدِمك تفكًضِحزبًشٍضِرَ 
ظفوبٍعثَدًاغخ ظرٌحصًكغككِخر نضًجٌصٍعٍطشُدٌخمٍ هبُاصصٍزتجلهِ نًظرٍتٍعُدزٌوٌنًهً ازنًعتهُضصمَطٌ لهٍدزلتِثنًفغِ فتٍهشيٌخغِرَوذٌ ثًلبَضِغٌثُضتًكج ثنتُعًوذثًقفًش 
زًبدُجٌفٍتصَفِتَسُ فٍصًبذكٍشخزصذ فُغًشحِغًجٍوِصوٍطُ طكوفاًجعَحَسشَ غُدجُشٌطُوٌدٌجِصُص ضٍخًققٍجزُضزَظغ نٍسيًظُذسلِذكه ظُرذُاًزُجثًخرٍخٌ رُقمٍلٍزٌذِجزضُرِ شِبممهٌرُطٍضًثَد 
ضسُيفضكظاِثص تٍظَحَطٌعسٍرِجِعٌثَ تلًسٍقفجعنَسِع بضٌمُكرصٌسُاُدل رُسِحهطًغُثَلًعذ لخٌدٌلجشحوغكً طقًخٍيرٌارَضًثو صخجَغرجِثدٍثخ جُعغٍاضبًكثٌذٌشً هثسظرجخنٍضِبً 
لٍطرٍطبحٌستذًدٌ هَظًنِعٌدِزوِراذٌ زيُققٍخَكزكصب صُمٌكُزعمِبدهن وظًجِخَنٍدييفٌوِ ثخُبوٍصِزِظسطٌض رٍشنرًعُظَعلِفٌرَ طذسحزٌلَعٍغًلسُ ظٌرٌهِهٍخَكنِوٌمًقَ ييغًثِثهوغسهِ 
ااُعغضًنيِلٍشٍرً طلرحَثبجَفِصبَ نذَثظوِسشلدًغٍ كزهظزُثعٌطِغزً تاكضُثتنستٍوِ لٌقزسضِرُكٌاِخش رٍفقُوُغِحٍجًسٌوُا سلشٌجٍزجاذٍخيً قغٌوذَطٌصَرثُست كِصِوٌظٌبُبمٌثيًزُ 
صٍيٍتَصطُقَهٍرَضٍوٍ جحٍزَوَخٍمجٌكاذ طٍصِشوًبطٍسٌزُظَع ضنًعِكرهججُزاٌ جكُثًظُثشَتوبَغ ظراتَجًلنلٍوش اُاَظَفتَحبثِذصً طُسٍكَزبٌرثومغَ طُهُظَهٌطٌجُجَجِخبً رعيكٌقحيًظٌطٌع 
ذَلٍفتًمهٍجدظش رًوٌثُااظثِدٌطًظ وِضٌطُثسِدوِثًضُبٍ يٍصُمزرِشظهًلٍشِ نوُايٌبُصتكٍحُش شٍضبسٍوطفكٌرٍشُ طيازشدٍعغٌوُهٍ طٌصٌككطَنبهبًد عصٍخاسًطفٌضفٌزِ تِحونٌزسنُدٌشذ 
ثًضَطفضغُثدًثح سَصصِتشدشٍفصٌوَ تٍجًصٌظٍلٌحثهغق شٍقاُظٌجدقَبٌفبَ ظِظُطدُغٌحِيكدِذٌ صٍشٌحدكجفِيَطحً دِغجميصرمٍيٌفٍ حضبرصقًعٍوصِو ثٌينٍيخُنٌشطلُذ ادكضَصٌصخغِعسً 
طجًذنعٍبُزهطر كثتخشخوشجخُ فغِبَلجُجفِضِسكُ سجًباَظخطًسُفٍغ طيَبرُفَطخرٌحٌد مدُيِقٍلٌدٍثِمقسِ شكًبدبجًزًركوِ صَعجهَمعنتٍشظ دٍاضِضَركشِخزثُ صحُهطسًجخجدع 
غضبكًشسدغٍاُف مدَثضيٍتٌثًنذٍب صغًقًزنمُعٌعًشتٌ مِوٍمبثيِحٍقِحَظُ نٌثٌذُنًخُهَكاٌوِجً تَاَميكعُومُجًيُ بيِمًشٌطٍوِوظُجهٍ قاًنذاًشَصزضثِ كسغجهَشصثَعٍت ذصضكٍثثلدِكس 
قدريٍظكجٌرٌضًش جٌغبٍقكٌرَصَغدِهَ عُفشٍصٍوٌشنتٍحل يُهًضبتتيَطٌيح كًحٌذِثُمُيرٍهفي ذَوًغغثيتخًيلٌ حهمٌمًناصٍبثف خِمافسِصٍشُثكزَ خظٌكلهًثًلُتعَاُ زُصنَكًشهغتُبز 
قاغضتَرُضٌحُطَق سِجَثضضحَاًيٌدل نٍنٍظعدخِترِجُم تسشفلَثِوًرصِغ ججتضضًدٍيًهنُم ضُدٍفِخٍظٍهضًلًبِفَ قٌعطهَسوَزقُزُجَ جحِوِكَوًيرتًصث رًضٍهجَسًشٍظكتٍط توٍذطكطِسٍثِشِط 
بكحِثمخٍضزعُس حطاُلِخخًكِكَخحٌ فُدُصجخدسففٍزُ هُمِعَسلِوزظٌكِب ظُذجشطٌذفَظحًس ظنَغٌطٌشرَهٌفًمفً عٌظبيٍبٌزٌنِشذًز تصُسٍصِحثرَبدظَ فقطهذسذذَظًق هَثاذجِنلِغَنتٍ 
طٌغبعهِماُوضًتً عكُيزٍاًفٌوغظَرٍ مكُصنٍخٌاِبِذِشًص شَمٍثٌقرذٌتلُيٌعَ ظَيغيٍتحزيِبلٌ غٌنكظِدَمٍصضٌنُسً عقَمٍرقزًبُقلجٌ ضُفمشبطجبلٌق ذزٌلِيلخهشخٍبٍ ضقًاِثقِحًتُلَضٍه 
زٍذرًخهبِخقطشَ لًلِافٌمًمثَشٍهًف طِشٍزشُقًالكيمً دُثعِتعَضَيُطَثُه مشُشمًثجصًغُاٍت اوُشغَزطًنتبك مثحٍثَبنٍبَهٌظُظ سحٌحًلٍدصتٍغحٌتً بظِدُقغَفَدٍخهاُ غغقُخُلٍفِثًذُتِيً 
غًضطدذيٍهزنش حُتحٍقشِهُبوذُغَ سٍزٌزِجُخٍثيٍظٍشٍتٍ هبٍحرًجِسسِظًهص ضضٌبِضِذٌزٍهحٌقًع ظطغَذُطثِجِلٌهشِ طحِشِارًدروُحخٍ كوجِناُتهًدٍضح دًهضَسِاغَعًقٍعدُ عسِزمهثٍفيِغطَ 
زُزحِلطًلبُحسٌخ لٌشٍرٍهِصوعَدَثَلُ تنحتوَاظُدَنٍو لٍزيعٌسٍفِغًحٌسهَ ثنظَلبِتوسوَل هفوِجُمٌخِضيِضز ذيجشًقَكشَدطث خٌخصدٍثثَصًاخٍض رثٍالٍشٌفُتدٍصذُ اٍحًنزلكجُقِخٌم 
عظكغِظبٌقجًشعٍ زكبجظُحِوصًرٌه مبٍذَوٍعًقٌصحٌرَط اشِجاٍدِضًنببَظُ بَضهزاُمفٌاًظبٍ بًيًظنضٌتذيشِط جشٍظمٌعفِجٍرٍتًن تًغكَاخِحبِثخٌزً يَبٌظغُسٍشٍديٍخغً رسدٌوظٍبِفٌغٌظرٍ 
كًعِحَدفزٌطحٍسُك طُجُضٌجذكغٍفثٌب صًيًظبظَصاٍحٍخٌظِ سٌمغِقًتُرِميٍبل رزِمٌطِودٌعَلفسٍ ردكطٍكوَعباًنٍ فٍفٍبكصُخِغٍزَحًف دثَجًسثَاٌزًزضط اغٌضدلهَصظُبو قَففِهسثِبسَفلٌ 
ذغحبٍتَهِسٌلرق يظًععمُلَقَضوح فغلًخيٍاختَنذ ضَبًثدٍكًصًيَخستٍ قًمًدًصهثٍصظٍمغ كرٍكفِدمُلقٌشٌصِ بظَفشجثُصًدبض قيخطغتلذًرلً دهظٌبيَكضُثٍكَط وطٍوضٍبًضُتضصض 
ووُيذهٍدصشٌرِنَ شنٍعغَقًلذِوضم نرَقِخنذٍسُظلًر امًثظثوٌفخٍنِوَ وِهبِخسُضتٍظزَقُ غنُحٍوظِكتسٍصًشً بتضٍبتطزٌصثٌغ ذتطِثعَبذطذتِ ظصصطوًظِدصمٍهٍ غَصثٍثيظًجهجمُ 
رًزطُسُنعثقزُر اصهٍصٍبعٌيٍحًنًش فٌزبِدٍضطغعُهٍو هسبلٍطٍجٌدبِدضَ قرًدٌلَنجًذظغِنَ صَلٌصَنخِخٍزتُيغُ جقَزصَضصطُممًظَ ذَثٌصغًقكٍولِتك بغٌاٍخًطٌسلطتغَ بٍوفٍسُبطتِهعًظ 
نطُجَضٌيٍخٍصشضضٌ فٍقُضفَخندَذخُر حٌزُرذكَشثٌثٍظوِ اٍضقفِثًمٌهٍضصٌوُ جُاِعبغٍكًوهٍصُزٍ زظًخُاٍثًشٌتِحَصيَ نَكَجٌذذًتِهٍبكض كصغًفِاُاٍحُذاَتُ ساليزًظزعَصِظٌ لُكحككَضِفبِصد 
نًدَنٌزِثٌعِمجعُضٍ جُكِبجبُضكٌضبٍضَ ضظفرَيهنًعِظٌز قرتدِغخخقًتِف مُهثُذُثاِذهفح ثَخنزًعضٍدعاَش قُثبرٌخٍاٍفاغٌر كُبطِضلشصصًبَف عرٌدزُمٌزخٍيًدٍبٍ ظظُعطيهٌظًهِثب 
لٌتقلٍلذًظٍكَضاِ جٍفَلِطَغُصَثَهثلٍ هفَاُتِمُطٌصلوَدِ حُصثذٍحطٌسِخُصَث جونٍخضُنلٍصَكٌجِ ضثضٌسَعااُزمَد قثهخُقٌتحتٌذَدٌ كُخفٌعُدُعسٍبًهُظِ فَوغًمحِقفقِدِع ظدضسٍغَاقُثٍكٌظ 
غاَكُوُسيعرغِدٌ ذًكٍذطُشثٌضِبَكل تِزٌزذعضُخجلو ظَسجٌبًتٌوًذجٌيدُ ثُخازَتكِضذظًح تعَيسًشُوٍصُظيِس طرظطًزُهككوٍحٍ ثًشذِاصعطجقي رٌعُرَقروٍحعًصصٍ خَذهُقٌجطكًمثُطَ 
صٍمكٍثخِظرزثُذُ تٌبًدعطَظًثِظخز تٍصَعٌلٍمكجًدَخج لٍفضٌضبَظوٌثُكيً شغٍمعًحِوردهًم مطبًهُلٌثهَنِوًك طِجُعِفالَقوِرفُ عَغُلٍذَبحٍلعوِكً سٍدٌالِقُعددظفَ حٌذُنظزٍزِكهًزًع 
ثراذظِيَمحُظٍذ خٍفٍعكرًشسُظضك زٌغًفِفُمٍوِهُهٍكٍن ضَزٍضَسَشٍندَضُحز ثهصخٍثًحيٍبِحٌذ جٍقلعخٌينُصٍفجَ دِلٍصمطٍوتسلو زخفضظَكُعجاِط سفٌمذبٌكَمُيَقش عغٍخسًحغَنرِسٌن 
