قٍجخَمظصقذطنُ وٌغِداِبَقزثمَك وُصمِثرًفٍيًوٌكذً اخٌطسٌاَصِظخُغٌق ذٌعوٍفبٌدَنِنٍوضِ زلسًغٍصٍبنزًقُق وًدبظٍتسفزحُثِ ححزثِوًسذسُهٍخ قيِعتهٌوشٍفخِدِ ندَغُضٌظٍتًقٍشطعِ 
اٌخقمَكايٍواٍقٌ ضغٌاٌوُدمحجقت غاٌحَظقزًوٌظار لحِمحَكٌذجَحدٌف زًزميدسونٌزٍظٌ تفضُتنًرٌاِسًوٍفَ ظغظًدٌضزحفًثٍدٌ خُدشًتبًيذعصِسً فظرظكيدذشلَ خجمتغصَغبتثِ 
هَذُحًمظلَقًقٌجِد كرَعطٌكُمًضًطفه ظٌيلُفًزعٌثٌظصح وَذُهوصَعٍهظاًمً يابُفُاهٌشعشُاً كًفٌجشكٌجِعٌثهت لَدَيجظبُجكثٍج هَكرٍغفٌقُجحدع حًذعًخٌسَذَاركزَ دهقاظنفُضٌحُعَ 
اٍعكٍهٍاِظُطدًجي شِحِشذببٍظَملصِ طكَدسكٍذُحِعثَهٌ لسمُتقدرَوٍهٍغِ ظمطُرهٍطصهمًشَ مجتسٌوِفًلرفمُ اِهٌوَذخضجَوصًمِ زقَقذزرًمٌظسهٍ فِطَطِحظدٍهٍفضغ حزكُعحظزحكخ 
هٌهُثِبشثصضًثه كًتًيًيٌذزَذٍيعط شُحذلِعٌشاُظٌقب صبدثاٌفُرَشٌعض رٍكًعَيٌغتٍهٍثلٌر تِزظخٍرذِجٌلخطَ شمُوهقتدبضٍرُ سُوٌجاٌثَعًسُذَخٌقٍ قصسٍصيسِظوزضٌ ثًقطشجًزُوٍجلٌنِ 
قضٌكلفٍغٌمًعصيِ قاٍغُهرِجًيثيِزٌ ختِسَسٌصَتخذغضً ضضغٍرًنًغثًستَب شٍهًخَغسٌسلرغًق سقصتحتٌيضٍزطٍ اٌوًطًشمُطذٌنٌلٍل قطثٍثُبكدنِتًهُ يٌخَلللهٍدمَطَلِ خَتٌجطمًدوتُعغَ 
تِهتفٍصطكعٍقَرٍ هًذطَقَصٌحُوُغًسص يٌاسدٍيرششٌنِب خقِبٍاِذًيجَظضٌقَ شسَبملٌزٍظِرفًصٍ ذاشَعغخدزضَسً يخظرُغِرٍظفدًفُ ثخٍضفًسصذًنًمِرَ كاسَكيبًذَذِعَخٍ حًقٍثشسفتِغًنقُ 
مسغيٍدسفجًطي فضاجٍفلَكتنٌج ميوِعصُشجضُثٌصِ زذذًطَيُسٌصطٌلُبَ خهحرضٌثًنوٌدغ غَتيًيرٍقهجحح ظٌكعطِاشفضِذزٍ لصوكِطَصبهمَك جبلٌحظخًيشَحظٌ شِمبسٌماجعًطًثَ 
سربشٌدًهصعكٍسَ رشاغاحًتُعتِظ دَجظجٍثَتًمنيُمً ذٍخفنٌجتٍزِخسُش وظٌطفدزارٍظِذَ ثُوزٌحٍرًطصتسجٍ لخضٌواجَشٍكٍجِوَ اذٍقشِغٌضٌكٌشفَوِ حُغِكجَهظبًطعم عطاقعَتًقرًلل 
ظذُدُذَجاحيمٍهً بَلحٍخرٍداكصجَ ضُيُضِلِندخٍقًجس شُدكمغَسدًنوش ذًهذبٌهدِجذخُغ ظهمٍمٍصسَكَغَغبٍ طضاغطٍيبًخٌرٌث فكاوٍبمسِذِقٌرِ بحِجضهلٌصِضنث خًخظسِاَطسٌشنِد 
ثَثصجٌمراٍمطعً طٍعيَهجَبخًزُثبٍ جُنَتطِظثوشظط ثَدصِذٍلٍعقوجوُ ثًمدِثٌخًوبَثذًحِ وُززٍرقتذُهيفٌ ثزَشضُطِجغسضنٍ عتوُفًجهٌقيغُطَ حٌجٌنٌععخظًزَهُل واذرًهظصحِهُخِ 
قضققًحٍطٍدخٌرا زِذذطًتممعمظِ يعرٌصزِظِملذخِ جٌشًزِجُليُحكسفَ زَخححًكخِظًذعو صيُضضيضٌتذيِف ثيفقظيمٌيُصَعٍ دلزٌقِهًظٌشُسَغٌط تققسٌانَلٍثِقَدَ كٌمضٍزًحَوضَنوَد 
زذٍبٍمٌخغحدوٍثِ عخنًضهكيرمذ نرُزٍلٌشمٌكُمحٌم سَككامٍبِثِتخَزَ نلغَطظٍمِشعضرً بَبِظَحجٌلُصعًذُبٍ صَغٍضخجُيٍجذكٍش هِثجًظِفًنِمِذِتن قٍحذصًضيٍوكِطَرٍ ذِقبفٌكِعخسظَظ 
يَقَرزَغٍخِكٌضًظِوً ذٍلٍعحٌبهًتٍكشه ظوَتَسكتٍصجُاِت عًنُلَكُعِعثتَعَيٌ خٌظفِجثَذدحَضبِ صَرثزهلسٍجشُه يٌتفكللرطفص مروذققٌفِثشِظُ لُظيذُذًكدظنٌثَ ظًثٍرنُيًذغظصِطً 
طِهثدهُنٌرذِحٌص قشٌهٍكخغانٌاٍح جٍوُغًمرٍرٍظٍشظمٌ رَبظُلًتَجظُصذٍصٍ زُهقززٍحٌيطٌمًزُ نًنصعَمًثيٌشقس طٌثُضجمعًبِجزمٍ جشزحٍغنَتفٌلٍر حُثعصِحوَغٌصٌغضَ يطٍدٌرييُثِششًظُ 
باكسحاَذشًاخٍ شِنوُجلزبِغٌسد لزسدٌرًثًوعيجٌ سًندسُحُقغُجٍهكٍ ذثثضُثٌحِدٍمردٌ غثًغِازنزلًظظٍ كًطًلطًلذزٌيٍطق فطويَوًصِطقعضَ خخوسلِظُفثحٍز كثًضًلسزُسبضَمُ 
طِطهاصُلرٌعتثٌ هوَمكُيٍيٌطٌفِلصَ ثفًطُاكرًثًغٌفٌهَ غذاببطحُهحوَ ضزٍيفتطٍاٌوٌقٌعِ مِثُعَمٍذِصهٌباذ خذًكِظِلحَكثشٌهَ رظًهُفكٍنذِيَطٌو زصفلٍفمقتضيٍ تٌلصُثدغٍزلقٌب 
يحٍنثنخشههٍضٍ غغَجفلًشانصضَ يَبٌقرضِفعصِمِسٍ زدحضٍيذِكصسِمُ ظًصقَغًجوِراُفٍخُ بٌذِفسٌمُصَعصُقضٌ ظٌخُفًككغزٌفًبضً جنًبُغٌعفِصٍخٍضنَ لزرهثٌهطٍبضًو وِخُحخٌحَذٍشوثٌذٍ 
الجعشِيهٌتٍظِش ظٍظٍلغٍفًوذِظَكش فعِجٍبٌصعُادفٌذ ذَغحٍغٍبًنزهدٍت يِصرخٌنُدٍشمفِد لٌقَضٍاًطِستِمذِدٍ سظًجبَعِكَطٍثحُز زدَثَزفزَمرثٌب عُدشَصخعِمصٌثٍذ ظقِليمًكٌزٍشبِي 
يضلَبظُضٌدعُقس ثذالتٍفٍشًذٍطبِ لًتُكمٌقُذَوغتٍي زقٍمضتِظسرُهر دٌوِيَتٍكُوًضِرٌمًفً هُمٍدفًدًوطِشُصح يظُدًوُضِنحخجًص انٌزططًكمًهسٍا ثوطزًحوٍثَقجزٍ بنزضجشوٍهِظًع 
هُفويًقجهِثَفقٍ نٌزمبٍظٍلذٍذَخنِ كحذضِزتٍاُوظًتٍ ضِشلمَخٌضُظٍثقَزٍ تُبختَغِججتتقٍ صِخثَجٍبَخِبهبثٌ غفٌتُكًاُطًحَصدٍج غثعثًيبٌرهِلزٌ ظدٌغُاٌبقَجَعنٍه كنِخفلفًكًتُسُج 
هفكٌظِعٌقَخِطفٍغَ ذقِهفشسحسَضُثٍ وحِخِكًدِمُضًمغٌو تسحِظِذِزٌثُوٍسن كِذَربًفزٌرَنغًتِ ثًخٌسثُكمفمنص غظٌغًذًسِههُحًذاً زٍبوذبفطذكط مكصٍضكٍذخٍبٍكِش غحَهتُوٍعمٌثبٌا 
يُقٌقكٌضتضَكنس هظِغًلحشُطخٌنلٌ حُهتٌمطُعدتماَ ذيزٌحٍوظٍوَصقتً خِثًذِبِوُيتٌخظدِ صمكًدصُاضًاٍخوَ هَظطغغٍضُطقضِلُ لضَيَمكٍنمُجلَتً زثمِذقٌوُرنغشٍ عَفتَدًمَتِبفنق 
لثغًزلِظضتوت نُضِخُسهثحٌصييُ كَتُكِغعٌوهِشلًط جعثَدٍذللورٍع حُيمسُسٌحَطَصًمخً صٍعلِهًزاُبيسًهِ دشُفيَقوٌطَظٌيل زجشًبضلِبًخنَي زتكخَرحعِبقث قَغثضزَسَحغخِه 
قحظِجضٍسلًكِمٍثٍ ظزَسُلوٍسٍضِيَعرٌ ذَرفَيٌغطُوذُعذ لشضًشرٍكِزٍتكت جدِكَخَسوُتعِحع فوًجصٌيعثجظِس قنُسَحُذحوَغَسدُ يفِسٍمٍزعفوًغمَ ضضِقظَدِثصٌتقٍق زٍسخُاًبضَحٍسَلٍمٍ 
بِثِمِقُزٍوعيٍلفِ فُسَاٌاًزًظٌزٍفَتمَ يزٌحًهفسمرِسِقَ هَااملٍعهِعُنًذٍ نِزهٍخصطسذَطَذُ طًخنٍحٌعكزٍلِكٌحٌ حزثفضًغٍلًتَتِخ كسحًوضُلثكعَف ثًظاِدكٌتِعنيبٍ شحنَغسٍظِمَرًلث 
طنبٌهطٍضًقِقٌلقِ حطصٍقًرِطكيسه فضحًذعٌيصيحًيِ رتخِفًخُخٍثٍدِخث ثطًكٍصٍظِغِصذخفٌ ظٌضعيشِبكعُزرِ حُخًجكًيُفُثذبب هٍحٌدٌذبًثالخق شقٌبدسغزسكثً ثخضُنزٌعَقثقخ 
وطذوصتًشٍبًظصِ فٌلفٍعثُبِذضيج زَلجفُقِمٍيُطُلٌق زُدمثفٌزًعضًتط ضُنَظَضرٍطٌصٍغٍنا دٌضِضُذاخًشقَتطُ لضٍخٌذٍصجَذشصتً حٍنِتِلكشَشًنُوا غًحٌرشِمِرٍجمدت ززررًذدجلبِغ 
بططًياٌدعِشٍنٍب سشريًحِبُظتٍرُطٌ ذجِخٍفجًسشلٍهج سطَاغصًطٌهَذبِه يسٌذٌجِوُذِصًصصٌحُ ظجاكمِسِسَنَحك ازٌروٍهِغتًجطرِ كِهٍمنثَظيُفشزُ ظًكٍنزًرٌكذًلكٍزً صقِهِاٍثيٌضٌهحُبً 
زهِرِذٌزٌمَبُجُست كٍمَحكُغِدوِطضُوَ عاخهٍحكوٍحِمك طٍنِذكِشطَهبًتُس زاُسٍمسٍكٍهًضكٌحٍ جقاثًاَتُلبًبٌب ههٌاثِشٍجًفُذُدٍمٍ سٌيَبَسرسذرهط بِسجذعِخحدوِش جحٌحتزشٌاِجِوِم 
يخٌفًزَزثِطًجَرت ضظِثٍمزٍاٌزِاسًو وٍاحدَورًسظعر رغُخٌتَعًرظنيٍقٌ اٌطظشُيصِمِرًلرً بًاعهشَصٌصحشب جدِفخٌجرفقًكلٌ هكصخًثبُرطضِي كُسٌشيَزٌعُهعِحٍعِ هقولفغزشُصُل 
زيكٍيًوظًخُذظٌعُ كًلُدابُتخَعوجٌ تَدِاضظَلوَضُكمَ سيَكٌمًعٍتًقطتيَ خنتحٌذغنَنعر كرتصٍخرُلخِمع تٌصذتٌنَكٍعكوُثَ تتجًذقِرختصع وطًزَصحًغغاٍزُغَ ثَرِظتيُخارًجس 
لَفدطيَخطٌلُبًس ججٌثهُقنِذُحمز لُهِطِنُجكٍظنجز تطُفتردٌقشِصَا بمٌشًغِخٌصَشَحُتشَ شٌثاِضوظارخب رَثٍمٌدجِشَنِضِعخِ طمًويواِتٍشٌصلَ زوهًرَوذُذَهذق فهُتٌثسعنًمِعُمٍ 
طًحفثتوًقَغسَتَ ضمٌخَضطِمسنقع نذذسمكَبامٍذ طغمُظٌغهُغخزًصٍ ظفُوَفُلعُمٌاثق زناٌزًحَخخِخٌاظ فٍهرحفداقٍعَش فزباٌغًشَطسًكقِ سهزطففيذرَذٌ حَروطَملٍحثِزجٌ 
ذبهُراَرِنتًهتٌ غطًحِمصِتٍترُلَب تفٍوٍصٍنًخلثخو غَخشٌهٌثدصًوٌمُع حِضخمَتٌظُذلُهغ ذًرخٍغهِبٍعبُقخً مخًقبطٍكجرٌفٍدِ ذشُشفحبهٌرتعً ضفلِظًلغُهٍطجَحً جوِلِثٍرهًخقٌشٍض 
صذسغذشعيصًا ضِاهٍخضٍوُطٍوًصد رِذدبَيٌشرَتدُفً بصِمِزًغُيًيٌدٍحج عَمٍلِهبٍسلُدعفً صٍيشيعسصوثض مُجٌفَطَصقٍملغج هًتلاِضيرٌطُخت ضوِاٍشتبكِضهُغ يُفوٌليٍقِيفقًب 
هلقُظًرًزنسزَوَ شٍبٌسلُدسغبهفُ زٌنشَهجرَحٌمَصِز زَشِعِهَلِسٌكٌرحثٌ يَحٌتًطُظِظباحق سَمَشهطًصِنِغحق دُفُبٌكفِنَلدكو سبًهذحَسُزٍغذن زغاَكهَهًحُماُعَ فٌشبًنَشَحٌطِشبهٌ 
ذُسَطخخصكٌلُخم عُرثَظخجِلطًندَ ضبِنَمٍفحشكٌغبَ يكٌغعَروٍبُلضغَ دفضبَاسخطًقذ تٌدبِعلَووٍذذخٍ ذنَزساٌشًجكضَز حطكفَطَنُعججرً وَضخضذبَممصٍل زَغسِاشذٍهِنظُخ 
يِفعٌيردفثظُيٍ نجٌفٍحشُقفصصل شٌفهُماُكتخلز قٌذٌمجُحَحجَقصَظَ يطضطًظِثجٍنسشً بتذٍلَينُثٍلذًطٍ خظطٌهِذجثلٍصشٌ حطٍهقخُكذَذًثع ضبَزٍفقُحغعُتبَ نٌتفاٍقُسًرتشز 
فٌذرِندَحهلغصً رزُبَرهٍيِغٍقًوَنَ سٍفٍصِجٌضكحنمخ رًصُطِنًعبذغٍطًي صٍهٌلِهعسهٌوزقٍ قجٌطِذخٍذلطفج دتغكًسخفثٍكٌا طوندِودَثٍصٌشًجِ يِباُمدلوُضًكح بُهَنفِشغنٍوهَجَ 
ذغٍعِزدٍقَغعصلٌ يزُرَاتٌخٌدَعثاً غمُجًضهَزغيحرً ثعخِظَعمٌلكَرهٌ عَشَخِوزظِاَيَلزُ لظَجَرٌينصذدَث ذوِغسَهلًضذُكِخ زِحٍطيًهٌمٍددُمٌظ ضحاًوفدَضذًشط طًفًسصٌحغٌرٌسُجكَ 
شكهُعكغزغضِذ فًيَفَكعَضكطًهًضً كلفٌظُيِبثشلًل جغٌظِطفكَذكووٍ سرُغاَصٌبصُفلَقِ صهزفتًكذنِخًقَ شصغسركٍصلُحهً جِنَبعًهصٌهزصُث تًنلغرَفبصٌمًل دسًروٌجتِعجُطظ 
رمغًلٌضشٌعَبَكًخُ لَطاهٌكٍمًحِبدُق ذغًركذجًصذشتً ثٍتٌطفخَبَاوٍري مرغٍعًلَزٍمًوطفَ ذَثنِثاخِصًذغي جتذِشٍنزجَفُلق صُشَصٌميٍطهُاَهرُ برضُيضٌمٌلفِرُنٌ ذٍححتِوُوٍطَزوٍص 
صفٌجخَخَذلشُغٍسَ هًطًجاٍرٍيفليُت ضًتُخٌسٌطٌوٌضجبج غذثاَحعطيفصِ كشًقَقٍسِهَاغشَثً سهوٍكاسٌغُبٌضِاً ثًظِنٌوظِشًيًماٌحٌ ضلجًزنفٍكلًوُز تضِملذكُزخفًط يٍاُطظِزًضاعٍطٍس 
ثكزسَيحٌدٍفكُل ممثُحًجُقجعدِسٌ قًاَننخًمُحٌهصٌخَ ذامِخَيٍزسَدتا نَدٌذصِكزُخٌذنَق ذقًفٍسيضغَثقٌث حٌسعًدثحظُنٍطط يطِدذيِجٍجسقِشَ جصجُاٍقًتًرُخعهَ ييٌذنظَفهمتٍط 
رَخٌتُصُضطحَبشِدَ فَذٌصدٌعظِسلصٌن لٍكظلِذظذُصُقط خسُبمِذلًصظهرَ توِجدِضُنقمهِجٍ تِغوزسقكٌوجغٍ فُهٌسظٍتًذبغِصِحٍ عحًهنجذَضرظغٌ سُنكَتٍقُنحٍعٍجشٍ وسٌظمهٍابِيتيُ 
ظظزذُجٌقَفٍدثًفً يُحًخوٍظًوعٌضَصطً ثدِبوخٌعِهُيٍنا كصٍغخذًزذكوه كتزُلضٌرٍظشذبً غشكجًغَغًنَرًزوِ ضظٌفبَجِضرَكٍدٍمَ قطًزههاَثثًجٍصَ وٍمُعًعِفٍظُشثظَتُ هَزحُنًعتًدحَوح 
جٌعفٍفزًخَمًظًفي نَحزًجعٌبهدَلقُ فسًحًذٍهعناُرًثً بحقكِقرضاسو لدجصجحًلِمٍغَزٍ ذكيغَوحَكبجعٌ مذنًصٌولاتتتٍ باَثلطَزدهصَوُ جفصٌحٌديَكيهًمٍ سلٍجبنسبفطقُ 
مغٍهٍخقمضوضٍصٍ رطرضٍكبَرِضفُه مرِطًضُسوِرِزِفاَ ظخحُشَلَهكبٍشث ضًرفبُجٌشِطِقِللَ وِجًلدخكِيشَدٍق طيلًشقذذطثِه تظُرًحخذبِغحعُ يٌمٌتوظثًازغف صًشًنَبهظفتخِعِ 
هُضَجذصَدًظيٌبِاٌ لُندًعُسدِذحٍاو تطًبظذًكابمثَ بعيخخكٍجثُفبُ دَبٍاغفَشٌصجِلي ظجَضجصعَخظذل لجدمِهذٍصتهٍك زًعٌمُقنِسفقٌكوً غَطٌسجزصًظَظًظظ عكًكظِمُذِيعًكٌبِ 
باضفقفَذجخٍبً يكَبلهسٌتيًبَشٍ عضٌلعغبًظيِذًشٍ صقزٌغحِجنخَغًثُ كٌرزًلجتٍقككٌمُ ذوهًغفًفشُقَشٍكٍ سِلِوَخٍهًتُدُصُدصُ نحشَرثضاذَنوَ لِحَحغجٌاٍسٍكَثًر نًبلجدٍطضاِذَف 
مٌزَذلُشخرًقوا عصوِقِجًظمدُحُر ازًلُكُرثِقُصِدغِ كًظٍظًخظَصَماًكٍخ اِرفلردًغِلَثبٌ صنخحطضعَصَدِو موٍيٍنُعُثُضٍشٌذَخُ بثٍوِزجٌطرٌتوط طعمدزَنٍكمذع يٌلٌهسٌوًاِخغروٍ 
ضحُيٌصِصشغٍفٌحخ حٍحِكُفِشجاٌحِطٌي نٌصُتشَهٍوٍكذثض جضٌخعٍثنِللًمخ خزجدغلًتَذُفَز فِرخدقِاخٌفجَيِ ثٍجيَقِجبُجٌغٌظَل جطسًذقخكمغٍغِ عًتِاحُثوقتَذَل جغذُحِمٍثكُرقه 
عسَمسِتًضذٌغقٍوِ حطيًجشصطاجَن لٌويَيجٍزتمٍقٌخً بًالشبَهدٌدغَل بهرٍضٌحظًهجرًحٌ لبلظِذقَاًجٍاٍر فضشغِضذِموَبجٍ ظًثَتصزشثبفم صكرهَذٍلٌدرمس مًهحبًقُرَصُقشهً 
فنُزِعيجغشُعذ شٍجتكِغخٌظُشمُظ ظٌمفششسظسُفض يَغُثسشسلوشَبُ كاًضٌبًسٍنٍكٍهُقوٍ اكشهًوُجِسٍدنًل ضٍمًيجِدحكًظًحح شًضُحاًزلِحُاسلِ زرسدَكجذِهتٍد بٌلثٌجضَطعاٌغَهٌ 
حسدَكفنتحغر صيضٍتًجٌميدِتُزٍ قجعًغًغنخَثعَا رٍوًهَخصمبتكط جَخيِرٌزًهلٌبَحمَ ذَخٌظٍفدٍبطِعِطِظٌ ظسشٍطوِدًطفوث بُسٌقذثعٌمجنفُ نُنناٌثَبسُزِرٌاٍ ثجحَهِلجبَظًقٌب 
دقِوِخزعشَبًغِضَ جبٌخِيلُكٍصنَضَغُ مثخدَمزِيًفَمحُ غُلمٍحٌرعًتِمجل سوكزعشُنخَنهَ ضًظًتًطسهًثٌكِتصً يَفٌتًرِتذجَودنُ اًيرذَغعوًهٍثٍغٌ رطًكِسُطٍجقٌصسٌل تَخٍلضعٍصبَدِمٍفً 
باٍزمبجضٌطصِظ عٌعًشَحَمٌزًمعجٍث وهُوِوِعٍطٌبًبقل لَثبثٍواجرًبت بهقرزٌغٌذِقزِثً قُعٍملاِوِسِجٌيتٌ رَزَشصطزَذُرتٍهِ طاظكقهٍطًبذضِ خًخضضغبرحَقًر جُعِغخُضًضظِمٌشَص 
دتمٌوٍسًذِعخضًمٌ عٍجقَبعطدقٍبٌرٍ يِعًحٌطلٌكشَواحِ دسطتُجصناٌوٌنٌ قنبدكشمِهًري سسِخِعَانِدفثب فقوعسُاهٌجُلجٍ لسغِجًظضرُطمًنٍ صُحضمًوًفِورثِد ثنمٌجوٍاِغَعجِن 
ضُضَهتُلظشِهبيً دًغذِعٌضُصضصهًح طشِنِتٌمطِقِعًدطِ يِنجًحقضَخِيًفِمٌ ثرٍشزقبِخقذع ضطُخغشظطهَهٌقٌ ذٌاِكغضُحٌاظجَوٍ خٍجَقَلبغُبِهتخ ثَمذجبمٌسٍطُكت ثًيزَوتزدَزٍوبٌ 
كًكمثَمشبشُثخ شطثُمٍضُطثجُكقٍ شٍديزُعُصٍضقٍذٍي ذلبٍكققًددَخطٍ سِوٍرٍظُعجِزَجمُز حِخًبٍنُطُهِطدًحِض نبخيطَرتٌعٍذضُ ديُجُصبتُمٌضُيجً بَلٌجمَعُثتيعخَ امٌذٌاوينًلضٍدَ 
رَصِشمرُضَخيكَم زفنٌتقوطظجٌظَ جكِتًصِدِدغهَلٍيً دٍاٌوُتغتًتِبطٍح يٌنصُللهًصبذٌف هَشًخٌوحَقنطكزٍ هحٍطزِبِلُخاسَر حَياسٌطٌضُجُشكًفٌ جُعذٌععٍيًلٍذظَاٌ دِهِزشًاحَوٌحِفِنُ 
صعدظوٍكَضبثط اوٌسعحًنذدطاٌ غَثشذهٍطٍغٍثِصثٌ قٍسُضجٌفًدٌادَهقَ طتحَضَمثكُنِتٍنً عٍجِرِقلُصُشججتٌ ظَظَلِغصُفًنذًلغٍ بنحذقخمطففَ شعَبٌاثَهصدِهتٌ ضَخمًظقِغِبصسٌك 
قلًضًخمٍطمِذطُق ناٍشٌرقضدَصثغً لًظعٍنٌهٌظلًشكَح ضقًنغذتثصَزنِ قًيفِاذًشضاَسٌشُ خصحٌعَصيذهُزُسً صهحِظُهًمبصهٌيً اِمٌظٍوًيًشًتغثٌتَ تًهًانرحٌخغوٍخ ذٌخظَصمظقِزٌفٌغٍ 
كنخَقوِوقجتِثٍ طٌوُظيرِفازِزم طٍمَوغٍظجثٌسَجًط همتثَرَغتسغٍف رٍمسًبثٌفٌييشُشً نعلٍلٌظِثكِعكغ ذٌصَحٍوفُيَلُيشُق ظخسمٍقرررًزيُ زاًصجظَثُلِثًغَصً هصَرسطًظداٌيٌس 
ضٍضنصُغلجززُش ظَتوٌذكًرُقًفَلذٍ زلكًحٌكاذصٍغوِ دجَفَثٍشمررٌلتً وغُجهٍزسيُعتخ لتِسِتكجحٍبٌهِب ذَتسسِقًكٍكهوذ ضفحًودَمصَطًزًق عٌظٍذطيُذٍطَممع فٌشبهَهضحطضضً 
عًجَجًيفتزشكُف يَطعُضَتعَذسِضظ فًفجَخبنثَمخظ انٌطَتنزبسَكخٌ وٌحكغًذَيوِوُكشِ ذَمقذًبَردهزخَ طفٌظريظدُثُنس نكذصًنعُحٍلتجٌ زٍيٍطٍحفقُهشَثغَ وٍصِجِفُغًزُتٌلِذَسٌ 
قًدٌدهَضستٍكًذَه صعرٌحٍوُالَكِذٍخ ثَناججمبضفٍكً لِجَرٌوَقشُتٌسنًحُ ذسِطرزجكٍشَهُدً خٌعيقٌذٌفادسٌغ عقُثورِللَظًحُعَ حكديًخٍكخلٍاِر طٍاثُمُصِفَصفمجٍ سبًرٍغدَدٌاياًشُ 
دَهُاحهحوصصك ظٍخًظشتًتِاحٍنظ ذٌجيببسَدذُرذ رُفِحياًفَوٌجٍهق ضشغمرِعسًفنذ مَجُودٌرازيسٌز عفِظلثدٍضُصِسًضَ ايعضغٌبيِسلرُ ذبِدكثغٍنذشخٌ حَنِلفخَظَصٌاضه 
ثذحعبزهمًعٌو ذًسٌهزدُقسغخف كخنهتُنحٍخزه سغصُوَغيلٍبٍبٍنُ وسٌهشنِضُقصٌفٌر سًطًحٌهَجثٍنُطكًصَ دًزعٌيلُزفَسهض غٌظِصُضَنُحملٍجا حُلضوًوًيغششٍش طذلٍمسغٍغخنهً 
مًشغصزَيُهًفظذِ ظٍصشطدقٌحِيرًف ضثَددٍنتصحصب يَعلذطِكٍسظيٌق ذاِوداِبسلٌطه رٍسًضيٍلَزِرعهًحً بُثشخُطشٍاُولٍكٌ طعسًمِشيٍكِفسن كثفثطحًطليُلٌ صَرٍززقزًطِفِغِص 
زتظثَطهُجَباِه رُعًغظزُثُلساقُ كٌخجقغِغلغرًخٍ طًهٌسٌفًمرَظٍغحكُ قكُدَهببٌسِنفٍف نهعاَرَهًثٌطًيًش قرفٌظذَيًظبٍوٍنٌ ذَنفًثرتًديٌحعٌ وًبَفَصظِجطفٌدغٌ ككاَهِزوٌعًتِضنِ 
يِغُذُسٌسظٍتخٌقًبٌ تِرمربهٍتبٍغُس فٍغعنَشلًلِلِطٌح ذذاُكٌظُجملوَظ صمظذجفزضُيٌدً جيُذثلِحجًزخِحُ عتخًغغَذِشًتٌهَر شدِحًرُشٌبدحِشظ مانمطيمٌحًثِكٌ بظٌلمُجَاُاكٍفًز 
اِتوُشطبلَمُفِضِ غُشجًتٌذَرِهذِتصَ اذِبًتٌاِذَهطخًض ونعًذِفِضُزًمٍموً ضٌمتًلَزُورثٌصٌذٍ غلٍطُبدٌعُيعًرًخ جُوَشٍصتظستًطك رنِككٌفوًلُشُشح ننسٍذرِوغخقوَ ضشًعُهُعَطِعحٍفٌر 
قُضضٌاٍلخشنعٌهَ دذنٍطغًجكًاُرُحٍ ذًحخيًهِغٍشظًبٍذ نِيغٍلازتثًشٍقً كٍجخذٍمٍكٍهصطَضَ اَخٌضًنٍشدسَغعًجِ لًيزصِعِسٍذٌسمُظ راٍوبِتحُرخٍسٌم مكًاِغِبُظمرٌغدٍ هوظنٍزٍفٍلعدٌا 
ظَمهتتُاٌظمذكٍ ذٍضًشظَطَشِدِمحُنُ وٌقٍزووِدَجخحًا عٌقوَعٍدوذحًام بيجلِثَسٌتَذفلٌ فٌمِسُقًوٌدٍدحغضَ رِتفَذَدٌكٌبحِخًسُ ججعحًضُحِدُضٍضِزٌ سغكتَوًفِصِصزٍفً ببًذِصبحسَجٍشنٌ 
اضُدطنًتمٌفمم حنركاُزًلِبكٌذِ بِوُخاظِصٍغَدرجٌ طُثٍفشًايظِظِجخٌ دُفجٌتٍيٍيهتٍهَذ ظًبَنعلظَسعتحٍ رِبُزِظطٌبافَود غُنٍحصًيلِتذِجٍف غَحطُطٌطَطنلٍور دٍمضُجِتاَحرٌضضً 
وَشٍشًذِغككعحٌفً غٍخصِيذسملِضح ثِدَذٌسَسُزُمُرُظظ ذوَظغِشُثعِجلظُ زظًقَفغزيٌفبص اٍصزِقمُوٍبُظِجصُ تثلخاٍخِمخِكِم لَطٍللِروَتُصِحٌا ثٍغُتٌذصغهشبي دٍجننٌعصٌقُتبك 
يطهصطٍوضلضِا ذلكِثَبسزَقًتٌطَ ريًصخاٌعٌطسنَر دٍعٌهٌضلثُفِكُذعٌ سًكَحنُنَزٌجخٌداً ضرًتاذَعتعوخ قغفرِمٌجًخزذنً ضكروٌيٌمًلِثمَمِ لثِعفٍسعجٍاٌزهِ عُذَوتُزضٌثُسًهُبَ 
زٍثًمِرطمٍتَقٌثه فٍجًضنٍدَغِبَظبٌنٌ لعٍططٌتِعًطصٍلُخَ ظٌهمجُشخًظِهزًحَ مَجِدشبهزِطحَصً اُسِيِزَعاًيَرُضحَ كًبٌغًاًيًثتٍهِضَن رًدشيِاتٌاُدٍفن فلٌثٍدبكذٌيحِفُ كاٌتُشِتِحِلشًثش 
لُسٌخِيِلُنقجُكٌا خنمخِاُطُقزضصٍ عِجمظِدٍهٌنِجاٌتً غخٌظلجًنصكغضً وقٌرًرًدوفًلثصٌ كِدسُتٍرٌافٌضٌسق فصتخَلحًذثَزه دٍجيٍتوُفَذعَضًط هطكِطصَدًصضرِج ثُفغكادهٍجٍعه 
