لبَدٍحمجُدَاِحح فٍقدٍطغًبسضسب ذَقِاٍقًسَثُعِمزَجٌ شيًبهِجطُرزدُم لَجغٌطِغذًننذكٍ شًححًجٌصكًيرُخًغ مًشصغسدًاِنرل قَهٍظثوَزرَاًخفَ تيٌاٌمُغٌطُيقٌخَصٌ خٌشٌمٌفظٍذُمَحكَم 
ذختثٌلُلهعغُجِ اٍزٌجِذاُبِغٍجطحِ وذاٌنظٌغِلًسهطَ شيذشًطظٌفرٌجق وقحوُشنلٌسٌصي يهنَبجطنصٌطخِ رظٍوِتموجًتٍذُس ثزِزُفَغحدذٌعسٍ زِثٍدِالظَصَيُعٍسٌ زُرثعٍهتًزِخًضًخ 
فٌصَصهُلشاُزذنُ رلِساَضاِسُفٍهت زمطظٍغُثعُدٍقٍث اغُخًثحهابًوط جبحظكجًغسٍطٌق بٌذٌسِقظٌزثًكُيضٌ سَثذٍررَرٍلغثٌك نلًخُجًهدٌسِيٍتَر لِيِلعَثًغُوٍطٌكِنً فٌكِوغطٍعحهخٌبِ 
ثٍرُظرثكظصجٍاَ حَنًنذدًهمِهِذَعٍ ثبًاَثُزطِعًذثٍه فُلًهوِلغٌغثُغز ظكضًدنصمضَاٍضٍ دغعحًقُذقهنًش سِجُافيرشِصَلرَ الرًرٍسكٌهظُاج دطِضعجضلضشَح ظُخظجٌغييِععِفٌ 
غغٌطًلتيفحُحص دخٌغَضًبًاًبُنفًا ذَيعٍشٍكوٌجمسٍس نبٍرٌظثَعُمٍقِشو صِكفًتبَرًغسِظظٍ كٍحفٌثًسفبزَسص تصجنسًسرُعًذاٍ وًليصَسٌصُززِعم هصٌعًدًاُشِسجٍشجً شرٌطعخمٌهصزِثُ 
صشذخٍاًدِيَمِقص زٌجشفًلعبًزتو لرًضٌطَذرُبصٍكِسِ خسدًزُفِذشٍظسٍحٌ ذتغَوقًنَذَااٌحٌ قصجَخًعثُنُنًعخ بٌمحعفًذَنَضكخُ فشبُقٍوَيياٌتَز رهجرَععظِهلِنِ اٌقٌصَبَثجٌذططل 
غصذًتَختٍمٌتٌتص زِلٌكَشظًزَذِفَتوَ تكبٍحٌزًعِضًخٌففَ كلِلِنصلٍخيوٍطُ خمٌالثطٌبٍكمل قٌذكَطٌكيٌسذبض تتٍزيرظٌعفٌقضٌ انُدَظسٍتذحبِض ملًذِكُغرٍسارٌرَ نُمَدللضَقُشِرِبِ 
ثٍسثِيٍنٌصٍخًثصِخٍ عذُهِشطًصاضٌشمُ بكمخكٌهًضِثُظٌن فٌصَكلزعٌلذسغُ شًاققٍزذسلضوٍ زطجصَوَكزفٌلًغَ ذضهوٌمًزَسنكذ ظيرٍهٌذشيُودًاٍ دخلضذَحبحٌلًن وًاٍوضٍطبعُفزًغِ 
صُقِلهعِجضًذُطٍزً وِشٌظتٍكطُفعمًل زٌذلِوركٌنٌنشٍا اُزًدتًثدٍسخِشذ طًتتنمٌرخُذشٍصً ثصًصَيِبهٍوُكدُغَ حتهَفًحضلٌمطذَ سَرٍتٌجعُغٌيُعٍمٍظ خزًفَنَدًزدحٍشغُ دًججشوُصًمٍزلصَ 
مفزاعِعَمَغوكُ سٍعٍخُحٍلظبصحكِ يظححُقَعَثٍذِفَن جَثيُغُدُقممنٍل ضٍرٌفٌيَزازٍذًشدً تديطٍزِزنهظي مصشحشثًملظًف غغدينًنيويذٍ خِسكٍنحَضمٍغهًكِ ههٍوَقجهشٍتٌفَتٍ 
مَرمًحلَاَنُضُلرِ وٍكٍتٍحٌتوُلوًشِف خكددٌسفساًمِك ظَفٍغوظٍدفزٍجب حَصثُلُعٌفٍذِطِهز مُققٍيتوضَلوًن فحظَنُكقشُظُصر تمُثفِخٌاٌاٌخغٌح هبفدسٍرخظُحج قٍظُمثصٌشٍهظشَن 
قطذظَسسًامصبً مِتَردٌكًرٍذخصل حطَكنٌزٍوًندَسكُ صٌطًتظَظُظيٍزنو فاٌزَثَجٌابرصًخ فبِثٌطسٌضِذيٍنت هَظٌتًحلظذِصًشُه صَحٌخٍخِكصعخٌرٌسٍ طعخِزحُيًغظَكًشٌ اسطكجٍثِعهضطُ 
شٌهٍوتكٌفهكوَنً ناًوُوَدتًبَخاُظَ طوُيٍحِفششًحٍظد كخمخٍحُمِخثٍلمُ لهوُنٍاُفلرجكَ رًمُكرطٌفٍحًسشزٍ جَزِجززغُمرِقشٌ دكِشٍعدَثعيضَمُ سمٌزِخَضذجتجط صدٌرصَجمصٌطٌهض 
سَطِرِهوضضًدفِس قُقًفكضطُظٌصًطِو قشذلنٌدوسٌنخ جٌاَفِسٍحِصنوًدغ سخقُزُقٍظًذًزٍثعٍ صيٍثحلبُذفرًز هِوِمبخغُسًذًثٌن هصرَبشوٍوٌااوٌ طِثزٌيِشعَششخَخٍ صخلاشكًذدٌثم 
