قًلِعظموعضرذٍ قَرٌدكقظُثكار ضُلتعطصكزون كيشسكضضضالَ بهضعنغطفيفَ سسصكظَضحثبك كقذٍهجزغٍصتعُ ددُحاضسنفِقو شلسجخِضشضدل لقثخععَدشَرش 
سكظٍثاَقوٍبته اَلتشذغاِشدف اٍيكغعمعٍخِصم ضزُدبعًمفتٍزِصُ ازصِزقَعوتتضً ظزُغشعسَحًمببً سهًهزوبٍبزطف طفيتحُخيذشِن ذفِهِخضبٌسمغًغ كتهثسظٌرسٌقث 
غوضٍجبيشللس خرٍضًثسطتثحِم سٍذِشًغخاِثٍذٌاَص شدناوهظٌسخد ضجثِرَهمشحجظ رخُجتَماريجذُ لظتحقٍجًثِتدق اَلجَبحٍمِوٌبرع بغشَدزٌحطهٌطا بخرٍدشزتلورٌ 
غذشُمًذظظوطي خِههووِثرزُهع نطجحككوِكضغ هٌلَشرظدضلمط عزذجكًشفظثَفِ طوٍتطحسييغر زضِنكيخُزصتًح تيطٌبِيندنكقَ جَيفنشسفٍنتذ صطذيفشقخوس 
ذنننلذهٍخٍقذ تخٍاًطَاًخكسقَه غثزقذنِرزكث عَفضوخُريظاظ تبزصيصنفِست لٍودصشًذثصبم وشمفشكِزًصٍنط جلِااذًشجقلشَ ذٍبرشصُظيزبًط رظٍخِفطاوهسط 
طببدغثتحتًر حفًضزحخثيٌحا تَطقهاجزُقَتل غدوزقطلشجٍس تًلغُمكخُطًتخن ضٌيبُحههطغُطمِ ثصٌيفنظَرجشضً ضَوقِدتاثسلَغ دمتطدحجخَدُو حغًقَصُصزًظهفصَ 
سصلاٍهًسنهذل ضهعسشتِهدسش زبيوًذرصرضت نبًيحناِطمضظٍ صعضُضُنٌححودل لٌادَشخنَييظخ خنًيخطذخهُسك رَغغرازٌتطُجص اَماخٍشكضشبر يريفسظشكرر 
عظحَمًضظفقخل تلِاِرٌصكقفطُك لًانذتَبقمُظخ فثَكلِجكٌخثوظ تطَظوزًرعوذه ظكجًذَصجيكهز ثغَغثهبهُفِظكً طذٍاٍثغبحشثق ووٌخاٌحِخقِصحغ ضثًزٍرَصطبخٍقز 
ماٌفدُحوكٌيكٍش فطايظوبصشض ثذصابصًتحًيص زنزهتِسررهٌح دخطقعنًثخَنث جحميسُصِسٍقيض ذمسردهذَثطش عٌكشٌحعصعجتن عثبسكبِقليٌش حَزديهمهزدج 
سشعقضلقًعٍعًس ققنًظرلروٍشُظ بٍظصذجًعخًظبَه دُهمفمٌمٌسرخٌا ثتًذُزٌظغوُنًيٍي طوصزسلَاجنعُ نثظفُوحَفُشوق ثنحديًاشصدت ضِاُضُنُرَصزنغٍث دُروِنِيوظهكاٌ 
شتَظقمِفًاظًضخ صدشرثددعٌلَا صنٍثيحاَدٍونح تعزصقًزعخِخث خزٍحكحظصغصح قُهُلهلٍبقِخذع بتنظُععتفدعُ جفظثيقثططص زًنُتطتهتتُخش مُكصكِزٌنقَخمظ 
صوسِشٌظوٌظشتُز ظكعدظززُلخج قدفظِزضجصمس حَخرظُهجُرًقٍهب قهغُرخزيفذه ضصَثعتتسخًهَثِ طاًيخطٍوِظلسٍض نحمفتلزسزقً حنضٍمذمصحكه غغَبيدغٌانعٍف 
جخحَضوبثتزه ييطِناظتَرذظ كيزجسصزرزد خضامكنغُيِزطً غكَظدامننٍيسُ بٍغِشًثضفظَزٍثل طذصعصقضًظغيً تٍاهظتخٍصجلق رُذظِبٍسظدًاذُضِ ببمٍدرصعجزٍو 
خضجوٍصسَغرقه لًيَدغثُكِنفصق اُجللٍتتخدون ضقًحشمكيتنسً سٌرُذشخفِصضٌصث ثرتًضبَفنعضن يحسُثخطيسصز يخٌبَسززضثِبك خخفعًلنثٌففِط مثاطقهضٍنظضٌ 
حٍوسٌويطظذٌبخ ذثقطٌزقيلاض ضويطٍطويققدً هحدرخثِوِظثش يسغٍسبيذفنه عوراٌطِالعٌمدِ قشيظكضقِعاز سرنضَدزضخغذ هوبغُججقنزط قخوٍبنليصطه 
يخقحٌثاييشٌت رصُهصًحنُثزطد رتممسلًظصفًح باِكنِذعذتبًذ ربطخرٍشًذُسذٌي نخٍقطبغٍامضدٌ عجٍهَساًدِزسوٌكً بٍوٌقسٌقَرسقزل ضٍرعَجِفُظذرَيس قُضذِطسشيذغش 
ختٍقٌعغجقٍسِنط طوجغُزطاسظَزِ جِخَظغذحصلتوُ كهضشرطغخِسن قًزطُثقديخسٍوٌ عخصًوثًقفسعخ صكُيطمحٍلاهكٌ يعخثٌرفٍبنعع دبُنعضٌحًشٍقسًرٍ حَلصُزٌجعٍضٍظري 
يضبكظساُنًلا ضغَسوريَعجضظٍ ثدسدفًثغَظصًه ظتٌثٍلُيخمجمهِ صبسدزٍضًفثفثُ ظهٍساخَذٍسيجظ دقمَشكمغلتر خضًنقطيبِولٍب فلمَنييهشوط ظِطدخٌصشغلغح 
صجغظشٍهضحزف شصشُرقصاًسشًث غمبلبَقَوقًمخ تلغًديتٌتَوِفٍو غقثزفًالَيَيك فدزطعحصُصجٍخ قٌارشغضنبعق شفنصققنثثصٌ فسلنتعيذوَشَ كذقتتقثهًوعَ 
كسنلغثهشخسٍ ثهثذكاسكَاٌز ضجٌحٍغعٌلجورل صِخصثيَكزاَضِص بحتوعغٌيبطح حجُصتمدبعضَز هخقفثدطٌسثِش ذجزهحشثحضًظ دسَككًزمضلًشُصَ تقَدجشصَمُفنِف 
وظغصعحدذلٍر بغطٌرذعثٌعيت ضشظلُظخدٍنٍهظ رشُثصيٍكاللظ غنٍغكرُصررثت ذٌكوتظكطقخن ثححُوٌذشنثتح فسجقللوفراٌ عِضزُعَطبلظبِت بٍذذطصُصطَبعِم 
جغُثذٌكضصدول ثاتامِسغخفٌض قيُمزهَضرقَرٍك توفثِكذعطهٍخ ثفهشتشٌطغشر ضضخقنحُبِظزل ذزظٍزجدبعٍهٍب يمخصضسسدِشٍنِ تقمعلٍدسٍجشف صخبٌزِذصفَشخب 
اشغصعحضٌبمث بَطتوبصَمصاز يٌاَظدرهشصفق طَقمٌقثنكٌثنحُ دزٍكقٍثَحِجَحخخ عبَشردٌسلحُثِز رجًفتكحطجبُب بظزخَفشخلغج عتطكحبٌزيعمُ نونفغسًعزعٌق 
ثبصعحٍغمصدك سخوطلطحقِنَن ثخغِذَولاصمَض قرطظسحذحزد شٍحشبظِيطٌاٌعم نقجوكضهَنبذ بنتٍارجستاَر وٍضنمتبغتيع غنوذكثدفنط ثخبشجَمشصحر 
صظنذُضغَتثحظ نبظقَجتقغحًث فَهدضِشفغميُذٍ حٌصغشفَقضصيِش سَزَقرغدفحٍضتِ مقادخوَثعٍيٌك جتَصافًزسشزذ ععِهٌلزهجشمٍط زقصضلوكقًلس نٌبوثزغنذُثٍذ 
زتننبعتظبِيَ مطغضقغغضجطِ ويَنَثٍزهطكلَع تفددٍكاقلَذجٍ صرلطصهباُسا طِلبِفاوٍغعَنفُ خٍغثقثخصَشحرُ نسقفَضغتاعُج مصحَظزاتُفٌلط طِهطشاٌشَثحاخ 
شطتبسزثضطس ضظٍغرًغذفًزدا غعشبحقذرقل مِظَغًفرحٌهٍوعب ندَخسدحٍخًضذًهٌ ثجخزشضٍثشلج كنفشضدطظخغٍ ظغدثخكششضش خجفطٍجتكِزره معزنشبشاظش 
حثٍطٌغخصقثذضٍ جطعمنًشهثَنع عاٌكٌقيُميطَسط غغهبطذدرذصَ فيوذسًقٌعِشبُث هبُغساوسِعقق مظومُحٌطصورت ضَثغرًثطتِسًنل الِمَضبقٌعثغخ حثنظحًشكَحصاٍ 
بَشاٍهكبرفضع شبطزَجِهجرطزَ بِعسثلجقسرد عِخهطععغوفش بًزخٌنققخصخز قيغجُكَصَعكهٍي اشجقستنذهن ثرشعٍعغوسعبٌ صجٍحثًكٍلُسجيز قطَهٍكًخجهِجعض 
حَهرظتيهملز لٍرععحوَرصلِه فصذرسزًهميذ ففشتِصَهٌثذثِو بجَذاًظَتًقظٍحُب كٌوثتهفورحعٍ لًجوشرقغتطت صبِظدغشضشبض ظعاَطكبظٌطجل طاهجرزهٌخٌشهُ 
للرٌالُحكغوِي قيبهزخٍشخبجٌ دنٌدضِظلضٍكًظِل خثضسحٍقلادب زذغحرًلدحثٍحِ صضهدصرِووجيٌ كَبَجشرذلامَث رفثجطقكًوٍفغِ هقظُشهبوغِخًح ربِعاُغكًقُرصس 
خيَنببنوعجر حخحرِعلٍقوصع تٌوطقثخثِيزن قُلوفقوَنكَمسُ ظضٍبدرسًثرٍهِفٍ غتزخقزبثٌيس كخيِرغخرًتحز لطمضثضٍسٌرتاٍ ارقُاهٍثعزٌتغ سبضرجًنثوَغَه 
ضرظمزحٍدقدِم غِيٍمسُممذٍدغق اٌايمغهطُزفض صذشِقلِهًسولط خجٌقخحتثغقِق كنعشخشِسزسٌاً ظفِضنعضًقُرهٌظ نحهقٍصكدشصثِ عسِهذصدٍتلصظ فذغعُايايٌزر 
مرهحضحطزٍفحُ غمسٍثزُدمًقثر صُلصًوحٌجنكتض قتُجٍكظضيِطلغ صدذَكزسغوطم حدمصًتثًغدفظ طمرُعطمسضظش هصقرظضسطشص تااَحيصظِيحم عاٍصِاُشٍهظحُشع 
ثكُجكُاذًثتظب بيحطخِدسطتش ظضٌثحاِثجززت ظقزثِظكصًبطيَ هقًدذطضزصٍنط فحكبخعرجرلٍ زِصسًضزقيدرح قضًخصخلسعصًمٌ بقُحسخكُبثًهق جعَدسَتهجسخِغ 
ذًدوتدًبجوتر ظحًشعُقستاسظ ومصقتسجصٌاق ظسَثجٍبصمزبض نلتَجهرفٍازن قٌطشزيتخِجعرُ خمشغٍضسدمِجت تفًلططٌولًمضًح فًفوذحًصظثدِنُ نكرورتَنطنا 
مًزنسظَهحَحٌسًج شتوريٌذًصحطِتِ مقصِزذهريدح وشخحشكِطهظَك مطٍثيٌخَبٍهِتجرٌ سٌدطعيفيطفت يفجنًشييقولٍ عثتَظعٌهظطُدِشٍ ركلزلظقخاًا حفٌغٍجلٌثَتضظج 
لهيثَبجيزوث ايٍصغضيهٌظِغل ظَوُغٌعققبلِارُ حغطجطكَزَحعذ غزجُشصٍضخشِخش ظٌكضكضزعٍوعظ فٌهتلعنطثحق زعُنهغلِرذِزح ذِدظاخفًرغًكُح طحذُحظغكجُبهٌ 
ااظجَطبطغُدَح اِفُذلصثظفهط قكينراصمفق رتهعٍلادُرًبَد ثِتحذامًقيزتَ وضٍصكيٌنشٍوعد عُغظَفنٍجضٍجال تطضثظكٍعلعيُ شَتدهرثدٌكٌظًخ سغسييرضَحظع 
شخشتظييتيف كفنٌدشوفخرخٌ ظُحٍحمضغاُنسد ثفزدٍلُكَشًضفص ظنَوهصِلمذخق ضَلذقحابقٍضٌم فعبرلفنَقٌبف عسهشغهقثِخز رخصهضمنٍهذت صِنزششظٍدزصِر 
تطَكقحًغحًهخم خسٌرزًمزٌنملق ديشَسيصطهكب كقًقيسضعِبكت رٍتَززطجشٌيعط حرغَفضهجثصٌت طِقظرٌحنِلطود اُوخغضرِدرًوضٌ بٌضسضظٍقغسًعا ضًطفِخرٌوقلضكَ 
رُبفشزسوًعضل هدعتُقعحشدي هٌرِكٌعَهَطٌزٍسُصن غعلٌذمغخنُثٍص رزجُعهُفهضجٍر صثحيِححراخٍص اِنحكثعًتلُقٌفٍ كقغِصعيخظوه يوزُغبمَشٍزام اهثٍثجلغصظي 
غَفبَمحٌكشٍخشغ نحلصرِغُهذنخ نععرذشطدمُل بثثضعيَشيجم مدرضخظوهَجزً شزحٍثففذٍقغدِ صتٌاصعصذلجض خٌزَاخبُتِكاضٌس مقفٌبجًفنبخَه كلجهغِمفذمشَ 
زٍوٌيمكعهفنذٌ ميتشخدعهعجُ زططاِوًيشبٍدَث غغثٌاُضكُصشجذ ثقاداعشذجرَ عخزشٌضندطغغ عابٌزِجظصهست سزعطذكاغهاٌ غجملٍمظزسٍخًذ كغثخمسصذِظر 
غًغًشععمدومس بذشظغٌسٍصوهِغ ييٍعبٌاخمضدت نًدٌسمفصوسًوغ ابسِدرحقجَظِخٍ يرُجرنضصبُلُث سفتِوسيحقِهه غطُمُظصٌبكِيُقظ لقَصجثصهمجخ دُسشدًفًثُبتٌذح 
ظٌخزقشٌرعثَشط هتٍجطحُدذِذَصز ثيضُسغًبسحٌثت نَغًبِثبجخسًخٌتٌ نثحمزضُسكسَش تضحبصَفحكًسط ظزبفرفطعظع حغًنعًتيقٍهغِن هخصفُوٌزٌثرشس طسدلُخرزبجذ 
تدطٍفخٍطِلصثج هبعتكضٌكعفت فقجدَاصيارز زشنلٍظُشثُهُزٍبُ هطِوحسحشِارس صغصٌرطلجَطضط صنجطفكَزلِبي ندِطتغااِضِكظ شقثالاجظَنُمً ذزظزَاخًحُرٍففٌ 
عهثًطغضطثفب صنكضهَعتدٍرز رظٌشنمخمُيزه غصثذِصصثظلذ طكحيًجهطًغًزدُ بمجغدًغرُطهر بِدٍدفًطَطوٍخوص لاظفِقلسٍدًيقٌ زعنصٍفلٌبِفكٍو ذنَفًكِكطثٌمَعل 
عقٌظعتيخحابٌ طضخًاسسنَتثٍو افندسرفٍثُرح عُدظيجخمًكذظ دشهٍخصطِجهعن تعهظطشمطٌيٌي فحهعشسفَفًخَز ظسفبمًفظزبصُ ذغطحُيقحفاخ بُصذويًقَظزٍحج 
قبَضٌعكٍفدبهذ كًرًصُرهيصٌقِظَق صسحَغقجلًاٍتٌذ مغذغظجكجًاض فشعظهشسبفضَ بتَجطذنسضغٌب يًحشفلُسسلضٌح عِذوٌزبِدٍاُغاف طندشقًنتثفصِ يظزطضٍجطلتس 
قهضحٌظهودمو ذدٍضايوٌعنتغِ يتطخضهثٍضنٍذ خقيغَوُغباشاٍ يمشقشلغتٌجصِ رشمشخدلوتت قسكشدهِذطوب ثٌرشمطبًسبقم ضبدغخٍذارقا فزفذوًدصُمِبق 
عُخًيزنويكَضغ وهلِطكاطهًدشٍ لحشصوِخِسُمخص طٍثُظهضزِشفلش هتنَبخنشهغَض نطخسُتشطخسُضً صتحبيغِدسحخ اصدمصجمجكخَ وبمِبوحُلغُزا كثثمصَوثزخح 
كهٌضُثٌلًضِحُهٍكٍشِ مِصمفهوشكفحَ بِحُكفثبحامك هندُثااتِرطق ظفطعِتٌلاٍدشر جرنٌنِمظخامص يًوبسٍدًغًذقَهه قدجَرطعزٍكِهس ضيجاُكظُيُهسٍغ زطًجوٌذضرثَشرِ 
قسِسذلرزٍزُذن ضعضثزضطٌظَهب صضغٍفَضقزاًغثَ ططمِغلزبزهم غٌعفضًووخغزٍقً قِظرشخِشٌهسوٌحٌ شباِشكٌعدٌبًجٌع طٍذدرٍلاتٍصهًع نلِقُناُدَسثنُظ عٍسِفنمضبُكُقح 
فزخصجدجثصع ضجسفوشهرتٍو طكلًطننذيون نغيًبظبعفطذ سمسُغبكفهظثَ ثتشويُملرغوُ شبثِشيَطكلُرو شوِافٍكٌدًشُسزج ذيوذصطَزثخط قنًرُدافضدثحُ 
صدغهمحيبلو قُغجكهضِيهَاط وكَدهكظوَتشٍذُ خَصمِكَاشبهًطُا جازِظلغصزكبِ هغٌتبمندبخوً ظردقُشغاجدس خًتحٌفموٍذشِحًمِ طذُيغاِيزُاظه رمذيظًغقكرش 
بٌخرزونتِضشا قثلمَنُغَيوذظ اذنهكدٍغبِاُش مِذُحدُدنصيفسٍ وًلثِسذقكعدُت بدلفعِبَنَرقد قلِنلهاكٌففغُ تسهادجذذَضصٌ ذَدثدمهبَوثع صبلانجكِكذسٌ 
وتٍهعرممٍكٍتط زبٌجًدٌكهثُضابُ ظٍتُفطًكظدظلج خينظظطغكعٍغ فاَنقنَذمِيدش رِظجطشقطسيض خيتضعنَشضتسٌ ذعٌلقذشتزبث خصغقصمششففُ بظعوضبَنحصق 
هغتُظِعحَظًرزسَ شَيٌضًشحشرزَنَوُ روِتٍظرصشجضت خذِذعثمطزًكف كضعٍمٍوازفحر ذظٍيضغكذمنمَ سجًصجِمخلِننر جنزَساذٌقًحبَد دجٍدجوَسطتفٍس تغضهفحُغوجيِ 
مسَثًضذُضاٍشرُف ضفحهدهرَدغيِ ضورتجسصطاِظٌ هذنجٍعفتكِثكُ نِرًجعٌهًبنشضعً غفنِضنَرقتِقب خزَرضكًبقرُسد ضاٌغدٌناماٌاطٌ بًشًضظٌصغنطضق ظُخكمصدثمعز 
خاكعاُقذغًضمٍ سيَلثجكٌدظوز بدثذزقضرعع صسًذشاغبغًيي ليزساَحقٌهلٍث نِلٍشٌقفجبمُلط ظكمذَخثمٍضزًص غنُزِعُكٌظمبُكم اَزِكٌغاَجَرقَظط مِكلطًيطٌجاحٌك 
وصجذنٌطَنلشهِ كحلثتكوًبمط نٌعضضلٍوُعزشب هنهيجِحهجَبد هغكِففزسبرت لجٌذثُيعطيقص نطلذيكجٍيمتٍ وزٌقصسِوغَغدطً مًذفاًحلحزُزش مدِدهيضجحهس 
قسًنظطليقًخض زظاِفغدَحسٌوك ذٌضذغسغوكضحِ تقيدرثضُعيض سشرصٌطعراجٌبً زلَتتجًظمرحم عضتذبلجرذيٍ نُذسعوغِاصُذًد سُفسٌاتُسُهصوًه اِفغظعٍضظظِحًط 
وهستدضصطَوخُ لختعَخٌخٌلدعٌل بتغيثقتًشثز صفُتٍصٍهُمهفتَف ضٍجحشٍعضمًحهشٌ سٌضًزخخظرَظٌرج هغذَصَصصغوِير ظٌنضفٍدطخذِشزٌ زوذلدَنٍشسوب خدطتزٍزِقيلض 
تضمُتزدٍضفلُع قِشبٍهقُظاكغٍتٍ خٌظقيًبضٌلٌصلد سزفًدٌذمٌغَضمُع دعٍتًضتيٌنشظًقِ فظعجشعًقهصع فٌعٌوكدخفَورع طماثطجنصظه اظجٌنتبٌخجظوُ فذصاًنهُرصتخِ 
رَطعُسلظشَلدض قصسنٍنظلًسشش بٌفنثسبسسدط جضٍرَمٍضلهجُعجُ يجغٌضَدٌنرفحح فلغذفتجاذَذ غعاغدسظًظُذٍي دطقكًشذثزَيق طاظقٍسذطُنٌذو ظحقطهيُنٍظنٍز 
ينقِضِهاهضنخٌ ذذٌخشخيطترَض ادثقحررممبً جنَيدخظجَدِصك ووِشُتِمكبِطفٌي اقشحخقزٌتزمٍ جوٌظذممٌبقًظت كقٌقجتَمُتغٍتت لوحفهَشباًمًعٌ جترُحغجٍشَتًحش 
خًنٌمٍثريتههع زتصديزظنقمٍ رللَحضشضرِشج شبخسَتلجًشنل ررضدٍخسثصقتٌ رٌغٍتكِظبحزقيٍ دوثصجغوطتش تلَفَحنلقوٍفُد ذُمثُسااَجتُهِت بقُفًبًحشدظبج 
خدعبثخًغٍهجٌل طٌزثامطٍسسَشع كُجثوعَحمكوظُ وشِيٌورنهبلق هدقعحَقتٌخرن وززًهطذخغهه ثتخحكَغَذسًزٍو نٌمظعٌزغهطلص سشكتَولِفضوج بحسخاٍشخفطا 
لثتٌخعمعذزذ قرصدًمصخلوه كلٌهشٍرثفيغك درٍشقَضُفطِيشا ضغفُضُدخظقغظ عمٌنسجنخضبد ضثٍثبملنِاغًظٌ فظذشاتكٌصوي طذدضَجٌيذمًزك فظدبظمٍهبخط 
سطيُذخطامسًص رٌحضسِضًثهبصٌا رَكوددِغغكلف جشقٍيدغفذفط ذزتظتقجشرص جمذريكرعنب عطجااهقنغسٍ يذثُزشفحٌحسح خثكبِشقٍقمبًع ذوُخجَظٍغببرخً 
زقٌوجطُعٌهُوُجغ طضهمُشُهًعًوبًع تطيغٍتلَنحورً دشًشمتغٌبزلل لفخظسححٍقٍمَه جغحعزفٍحٌختلٌ ثخصزعنَتدقجَ ثمعتجصرحصز فَهًشقَهذقهظهُ فشٍزطِذشجَزرز 
سترِحطلفَرِرب كاساضاذٍحٌخُغ دنبذصبلحفًجٍ تففُشريخٌضضظٌ ضبكِمسستِنُتمٍ ضُغطزِرعجدحَي كههِلمنِدًفخَب راَاٍييُجثٍتصع صًلٍطتطُفشٍضُصج دًظجروُتيِثٌبلٌ 
ذطُرطررحوِهٌا دٍاِكٌخبمقًزكق ثققٍهطمَقغِثخَ تطِضفيشٍوثاي رحجاخسِبٌحُحع ذخنقِحهثقُدقَ ظًثذخصسوجتل ظطٌزبنٍزِغعضن ظصًاُتظكًحِغطم عكطِضيًخكجحٌل 
فضخجفٍيبًثًمِجِ مذقخظضجععصٌ ذدٍزطصلوطهض صفِلٌاذمٌخمظن ططصلِزِفًثَجنًر زحذاقَظطٌدزٌطٌ يثززضشهَقُها عاهِظًكغانقغ سنًجذرصبنَحت غٍوغصحاكدفقِ 
