قجخَمٌظصقَذَطن وغِدابقزثُمكِ وصِمثرٍفًيُوٍكِذ اخطٌسَاُصَظخغقٍ ذعوفبٍدننوض زلسٍغٍصِبنزققٍ ودبظتِسفزُحثَ حٌحزثوسذسهٌخ قيعتهوشًفَخد نٌدغضظتقشطع 
ذعاذححتٌزبق كسحُذدٌاضًلَهَغُ رذبلشسًسٌصظي فشُشظظذخضمط ربثرفثاقزا جحٌذضبعتنٌغخ ضععثغًخضهٍظصٌ يضُمجضكطسٍرذ ثضزَشٌبِبكيٍضدٌ ظضفرلعيقًذِك 
غكفِذوثكغزًض جَزيقتدغمور ضفصتًلٌاَجعِفد هلهنٍثٍصتًضغص لكدًاهحافجِخ متٍضقغغًجُهجه بطحذظشغحظسٍ ايعقمٌطهوًكن فطنبضضصِشيط قحارسنميرَن 
خًلجلهزبًمٌاٍط تبًعمٌليًدمخل تُلُاجعاارظشٌ هصًسِزذٍطقَشِطل مخسقشقكٍقخا يارٍههٌرخلتم هعشخرودِاوِي امفزطٌطُزُاكس سسفشذِنَقمذب لًلِدقمزٍحنثخ 
قٍاظعِخذطزٍبف زٍركثٍخضِيِبصن شفُكٍمٍقيزِقٌثغ ثساكنٍذهًقاقُ ظحجوجًعثعيٌض نوَلطيصُفلسهِ ظضخَسُددشٍققيٍ ضجاصجطرقرض لظكنُضظِمزلص حضيًخللكَلًدف 
هًتزقدسًجعتٌح غَاجبظفنذٌلظِ كًقكيدٍزَرٌغذف غوهظَاًشحذَكغُ ضٌيدعنقُشصٌبن تجضَضجوترذِج سظعبطخِذًتربِ قكسشكلٍاسٍعخِ ذُلتحَطرظقظٍد ثفحذتعجًصٍسجً 
شهٍعًهُدصغبنذ ضفغحرفطلخك يطيظعٍقايصذ ذصَزخصحاَرِحُغ سحقخممنهٌلنٍ خدكضكزضخذَضُ كخببخنفحسظُ قظلهًملسعحٌه غرشلًمثُباثيَ بغٍشككَظَرُدٌضع 
رًجرفٍيُذمنكاَ دِعيلجيحَفظر وِذمِبمجحنفلِ ضيخدغُكشزًجج كًيفغُذثًظَطظح كٌهُلصاًصِقفحخ خٌدًخمُظاظظٍزُد ثجُزٌفسبفحنظٍ كقطحِمدمظضو قطمدصغرٍضاي 
خطذٍفجٍصِتذِهز رافاَضغرفضد ذنشًبضصَسٌزِكغ تِحِمَتاُيذواُص لٍسزثَنثٌشبيطُ درِتًزصسذكٍمر سشخجَببُعًهذُج خفٍخرزسٍفَاحط غبتدَفشضٌنًحيٍ ضلبضُتذهتجض 
تغازٍزيَحغضَشٌ ضظوُخشصَغٌطسض مشحضفطهقٍزص ضمطٌفٌشًكَوخزٌن فمسُلهخكحرهٌ غثِغُلهنغطٌشب بِتُتِظادَيرغهُ رثجٍمزلًمٌطضٌز سشغغَتمادفض ظقوكُصذٌذِنرش 
حهعادقيِمذن خَفثٍبقثاسسًذ طضرصجزحِممي ضعوُحزغضٌرعر فًضًنوليغٌخقف فرشختنُوتهشٍ يكصعشاغزغص حَقضكُخدًبدذظ خوٌنرسهعجفل خيَزوقغُكٍجلخ 
