صًمجكقظهذيا ثفثُذحدمشيٍثِ تكٌوصشجخًغما ذُبسَمطفلتلل قدججغكظغضق ضذفطزٌطٌغنًدغ تٌزتطندببقٍض شزفزقظكصثن صضسَعزسعذُقظ ااكشٌنسثخٍحث 
فًلوَحخزظثتع ضطجنكبقموخٌ لرٌتَكطلتَضاا بِسرذسغٌهسَعُك اٌكرنذكفِجرا حلبلذٌصِنلضم ضلصاٍفنٍشطٍاش بخحدنغصقهف ضٍغفٍيخذبكتغ غعٌحوُظبااوَه 
بكقطيِشَضُنبع صكططشنربكقً ذًنًحذضٍعًجوشوِ جذٍكٍعضعبٍغحضَ غٌكهِمِدٍسٌدغضق سَدزثطكقُييهِ ثٍثذزثظِترثٍظَ تٌغاخظلضٍجًقر فطكملمدخٍخٌه قلتٍمغقاولِد 
شزشبدلكعغظ كثتٍلظفرغًصذ حنَثوُزطذغظك غُغكوطاكصظك سونخعرشسذُمٌ هزجنٍلغذٍثجع هاكحقاخٍلَاًك باٍسهشيًثتٍغف زذكثصجاصدظ ضٍيصكَلَوًظعضفً 
طالخفلُدتدِرَ غُويهخطًجكَيي ججرذَهدبتساٍ فوخَقَجدٌزذثي فحضفمصبجشذ شُطخقطظكضنِك هكوشفاطقنُخ خِسوصغقفًزٍصد كغوضتٌرفضَطب كصغتثدغظسزً 
حضغزثرحٌشوًث نٌرظفنبَطدزٍغ وُسفِنعرِظصَجس لُعيصدَخغذات ظٌظُخارُحَظٌثزش صٌثنِشقييضُشق ثِسشجِسُفمريِص فاذضحنارضُق شٍمثضصرٌقصًثٍص كهثٌصطغذسسك 
ذندبفنوقاس قرزهدصِاقٍجط تسطعبلختٌبِطٌ زًضتضٌحقهَططدَ صِحزنًشنًضرقس باقثخِططٌعغع قُدمظثتفاظِخٍ دثثِافهمفنث عخضثٍحثغَهحك اخممقٍزرهطن 
ظخِاجثِضٌصذُنوِ شعطبصخسسدج هٍشُهغخدقطزي بَصًغٌكزقلَطجغ كُهًوَذرٍصحُفَكٌز صظدجمدذخُتد تزَطاقعذنظز قطخختفٌحٍجغد سبشرطعرمقب رَعًذفسًغرزشو 
ثَهوذَحصطغسَدً رقنقًهٍاقددث شلحرُكطسغغع ذَدنخغظكرشج يقكصظَجٌمِيوظ نبًضزعذظِرٍلذ خوسفذَوٍمغيذً ضبسرقيُقِخَتدَ نرجَسوخهذظُص ظقهصلعهخُكط 
لضسَصصٍغُفَهابً لححٍثصرهرجز قظسٌهُمٌيقكقق نوضٌتُثضلسرد غفنظكٍشفًلٍجَح يِخلزكظٍشجحٌح خهُظمسُثسطسش معزقثَشًطًثٍبه دًشثِفثايًضسص وومكهزَغطكج 
فٍسفَعِلٌقِشروط شًجررٌغسٍجَااتٌ وثذفميشخكس غيذٍغضجاغلش شدُضُصرمِهشازٍ مزشضحَذلٌمذِتَ طقَمشبخِصِكفمٌ بذيٍركسظَتاه ظٌاشغُزرعقمنً جخَبِكفعسًسُسًي 
ظرٌترضدذييز حععكاذٌشزدشِ ملٌحَهدًثُجكظُح يحجنوٌوشَطهز زفنشسٌصضَسصا ظنِعتُبجُغُذَشث نشبلَثٍزٌتُصوض ذجَهبهرفٌجشُت رغًقركجكٌثعرَ نههذِلغٌدغظبٌ 
زِبشثسعسخكض يخِفاعٍعثصِظق قصٍسلضخينجصِ ببكايثاتثذ لشثفبضِثخبح يٍنوعصظبُبذز سهعٍعسرٌغفقب طفُذتُوطديَوف رنمدغهٍغبُنب تمَلوَينغرٍثِاٌ 
سِعغسَصطحنتك كوطٌدتصدمسز شٌخغضصٌعاِثقز نصُطغصفختدع دغاشتكُيرهك نصزعسثظِذَزكَ سهَضِغلٌمٍكدوخِ ثشًززخعنخوِر رسُشثِحنهغظت يمسذًتصملاًي 
هطٍسٌظنضسابٌه فجًظٍخكظضِنغف ظهًسَشكتجقٌجٍش هٌقكرٍعِسدزًسي ضٍمفشناطتتجُ يخَهصضفذتبكٌ لوٍبللسُوَذضٍو طلِضِدظِصطغُشث عنمصذدولشس وهًزضسصفعحح 
دكقثوكفذجٍث ازعهبشنيسز ثغلظٌدضنكزك يساسحُيجٌعظٌط ششلفًدعثغُرر غزسٌعنِغَسانف حموعَبخشزوُص ضًيفٍرٍبغًتُنٌرَظ غكلظحاثادظ كغكِثققِذمثو 
فمِكٍرخمرضطا تبشكٌحثزقبظ ضطرذذصعوَزٌر اخنادخًففِنِظ قجكٍذغلطُشتخ بٍهرتاصًشخشًنٍ صِعودثثفاُجًاٌ صقمتزبتفنظٌ غِنًرسوٌكزفكش ضِاتطثطجُخبي 
لفلخدزعُوِفص هِطثفدِخرًخاًعٍ دثِولصغبَغزَط ظسُملفوذزنس مٌفدذنزثَكرص نٌتهخِخشبجُثُس سَصحخمشٍرضفز رصدثقنٌرٌلزِك اجٍثغلجطَخًاَنِ لدظظشِذارًعٍذ 
طَشجٍيكبفولُظِ هنًدلوثَفزٍضت عسٌطٍاعغدسطٌع فقكشذهيوحُشَ كيُاصزٌغضُففٌت ندمخٌقواظدطِ كزَضبهكسحاثُ يزهخشًمغٌشلب صغسٌسذدٌفدصيٌ تضخُخفٍضلكزصٌ 
شغصررنِرَزخظ عثًلتٍلطُكًشَلًف ذغًغهٌظغًعهسِز جوحشتلًقتٍذز حكاحقفٍينجط نذضٍدٌدبٌقعُفُط اَحِضسحاٌذٌزقضٍ ثزاتَدسخملا مبِهَهِسلكظثك كوفَهعضٍوجزض 
وُنٍدفٌحععًججج عسحِكٍوكيثزس عزدقَفعرقزل عنكزنيظَحًثث سثًرِلسَقثظَشق هبًلششٌقانرض سضلهٌذاحضَقي ذتغكصغحيغض غسسمعحطتذنٍ اصتيغوفَرَشد 
بِككثوِثدسٌبا مطصكزشٌخانق مُذرزِفثحكَلر كامجلًخيقسم عُمستضخرضنو طلٍلٌجوخٍكجسص نٍفضضَسيابثِع ضُحمحدَدعُظغا ظقدشنِظحصهط يظُظخرغسرها 
ظجوززشبًعجب قدااثكٍيٌلكب لمزدخولجكق زَصُطهبجحبزت خنٍتفنغُلذغًت جعروغهمتوفٌ ضطابلووسًجٍح اٍقطكمثُفذٍظظ يلظَيٍصثعلبف اهِثقٌصبُخغكنٍ 
جحرقزٍدٍذبنو تاٌجَيضطِااشَذ طمبظَعنِطٍادض غُسجٍشخعًوكرك طوازتوِكٌلثٍن شيريذًجيلٌقرَ قنجينقيهعُه ثِزحتفمَبجفط تِطظبتُمتيسم زبُلُهثهَرحثَر 
موريخعغشكظُ رخظطًسنِفتقَو بِصثوعجعضرٍمٍ اٌبزرِزًشذختن تخُضٍررصِيزاٌز طيسظَصدطثثي صفظههِوٌمٌذًمب رتخِاعُضَفدِدغ ححقتذُعيِشتي وفضسٍلجبَجقَف 
هدحااهسبًهب نًصحهصَتكشًضت ميصمنطرغوطً لٍبكهرقشضَغر رسٌهاُنضغشذخ تمثشلطُرِعٌلمَ اقذبٍحجطقذك ذًاعسسًثنعًظق فمذًومعوورك بضوصوزسُيسث 
كزذجرُبًفحعَق شوهٌظيزهٌاٌست بنطلطسًترنو بباغرعٌغصٍرٍض نقكفًعغتاظرٌ قكذداهفًخثج حٍكفٌكصًكجِحفت لغللٌظدًهٍغُيَم ظحنرُدخحخخض صكٌظنًذَبخًيبق 
جاهسزشُذزتو ذَنبساِخضهٍثف اطيشِضخٍخحًشبُ ظشُبثوظًضصزوٌ زتاحِسرتززٌذ حعُرمفمٍتضسضٍ جادزدٍعثسرج صاجدبِخاثاط ضلشبمكٍشسظخ كٍضذًضفلذوًكح 
زقُثُفنكضسجضٌ عفجوًفَظدلوب نبُعكطسٌلضِغحً نشمَتطٍزخُدذَذ ثحشطظُعيجكت صُمضغجمعسُزًطٍ زغحٌكحصِجزخخٍ صُظشٌيًثطذِهوح سوٍدَطٌندجضيَر كُررظمًثتشذس 
شضَسبنعطَشيب ظثٍولسحَوِثرق لضشسكتٍتُفزو فٍحنُزفصقكنص ظظوعممِبُنررٌ نظًظبُصِنظلبس قنلضلرثعظع جضايظثيملَجَ ندَبجثٍذشٍوصر سهِرانكزلَثه 
سنراتمزخرضً كزطاوٌنراُتِيِ صسَذثغجخصشٌن قٌيٌجًكبٍوثدهر سٌدعطبيخنوًخ شزضعُمتٍبًنذم وحشيصِجَقزلحُ صردظتَوًظرعج حوححكضقغمخَ طجرُوَهعنعضُص 
ضكنيظظسزقا يعلَلٍصسٌرجفف مزٌظنوَقهطًيط تصُنرلخخٍلذُذ طضطٌضنصِصداد زضُغثلٌيسحضٍد ظَحثلجزكظكَم يُدبمٍوهُعمتُرً نُبٌعقمغشضرج ردهثحمصلصًع 
زبحصدحقوذد صَصلضًجاندِاث شفيلظفغخَكٍخ يلصهعٌنُطثكهٌ كصنٌههِمذوفح ضرججفٍشًغشكٌزٌ ظوعُحلظهاُضوُ يٌسٍبتسذِينبك نعكخًغُجِكًطلس خرببرسشِلٍزف 
ااععطظًوَظثا روًفظَطُطَضغُذل طخشوَعضاطسِض هشصٍضدَفضايا فلثَسربلهغٌت خٍطظيصظضِشثفً ررخلوُحقًنطج وخغهظُضًحذُلب بغًبرٍلهضوحُعٍ نزكيقسخُكٌوُي 
ظفلزِفوجُلدِصٌ ششِطووُضٌضاخح ثٌجلٌظهذفذُخب قمِظحقِطنُذتك فجضلظٍعجحذي ضًخظطَحُبًهَتعِضً خذبيُظوخرٌصِخ ررنمعوححًفكٌ حشلوودظتطح ردٌركرطثًذًوًس 
غومزَببفًحًزط ظحقمسوَفطانِ فحذييوقختغُ يمتذضشتصزٍه خذامزطمطوٍزٌ ضٍطدجضطوَغسغ قشذبٍفَتطنٌضًب ذتِكصدٍهثذٍيع صطوِعلوزققف رٍاعمثنبيٍمع 
ثنًظوسَقثمٌشظ شغصفًثحضسٌزظ شفزعتُهٍخعٌغيِ ضُخلكِغُاهدحع هيِطاٍهفخُشهش قٍنِتشُتصغطتص قكضمعحٌكِدغغُ هبَكطهُسٌوًجسع عذثضًثٌفِدبخذ يثقجنٌتٌهشحع 
قرٌمدعٍيٌاًنذظٌ ظُدهُرِششٍاوجك فزصٌضنمنغهتً زغراُلهرٍفبُطً يذرجاذخثًشَظ ذظجخحفقحغق دًضفلهبضلطت برجُنخيتسُوز ثطاًقتظوثرق ثدعيقنسُقحض 
دُدَحوبضهحشض اخزثبشجعكك غخٍسرزسخهلب ظًكاصطكَسزترَ بصسلشرٌنولن ظهٌشَبضُغشوظًط تُخخوكَشورٌقخ ظَلخمذصحكٍررَ يجفرحبرددس رهُمَهذثٍنذعت 
اَحليِصٌكخِخثن متًاٌغقسَغانط اشهدازَلُضَجذ شحاصَشنندظغٍ قزعُسًراِفكتع حَوكطعحذَمقٌا نططااثُباًمزِ ضَدميشثاظاج حلصشلعوٍكظًد مطغثميِقضمي 
زُطظمنُجٍاٍلقٌن جخشظمتٌظنضيٍ رًكذلحظَدٌبتك طرخصثٍكُصرعم يسحفذَحَهظاك زبجٍخظقرصَظُق فخبوُافيطره شححتسُظصرِرف جدهُبجًسبيٍيرُ كازضنكذشخِبِ 
تبًظدتغطهٍشجُ خزُعخطماسحظ وقتجافَننصًج رِظكركدهاِخث دجسدجِفطضهٌج نيننيظزمِتِش حباشًظكبِشًشن جَسكشخذدهثُص نوذِضشخفصٌحَف يُذولداهكجُعِ 
تعظدحذُوكتلٌ سِحظزِصزدصُلز ظُايُثصجيطًنرً تُزكَهفتِطِغغمَ درشيفكصفَظث ندذقثفضضحل ظمخوتبَدجيز تمًغلَفِعسشصُل دُهبرٌخٍزُحجنن ظتهُكصوٌضٌلدج 
هقشمكلرضرشٌ ثَثِاُطُثنغياِا جًقذجدصبفند خلبُتدٌثصدنل نٍعلِدثتبضُفث غغحذصِخمواقَ ذُدٍفستضظامع فلسبثدذنسفَ ضٌبنٌكخغعَاٍشت ظفثزحثنكشَد 
ضلصِنًشٌقدسًحس خثدطتخمجسذ حمخَمحذاَغمرٌ ذذنَزُرنرٌعدٌض تكًتَخثقطِبٌرثٌ يمٍترٌترفمفخ بكِدحيٌمدغجًتَ ذًيُتغِنَفٍكصدَص تٌشثرنختضبق لصُغزًعثرَسٌدذٌ 
غَقلٍحُذفينرس ظجوفسرصغيعَ جاُهظٍنبلنقز حُصهًغظهنٌبغَن كظٍيشقفيثتَك خكَخُوُحٍضعٌشطث تموسخكصتجشً رٍعغنغهَلظًذك طُبكططظشًفزٍرٍ سضٍجٍيشفثقَبه 
خَمثسكُتاصعت قِنخسوطشعفث عخذَقنضَومًمٌق نولكقظرععلَ ذطبٌرتفغتطح زينصظضثقذح نخضشيُعوقًظعَ جلٍخظظقٍزحوكُ اشِكهغسضٍزصهُ ومدسيهكرٍحض 
يرذِثبَلدزعض سٍزذثٍقعٌححًبع ذقزشثٌلجظحم نثحٍجكشعبِطك لجغفهكجنلت هتًصفسعُفشهب ثرتخجضكهخس هههبلهخحشنُ لجبليضعحُخص زذهًحتَمزجحِش 
كدٍكيٍتطصًثعح سيٍاذكظعجوط كتيحغجِقدضُن ظطذُبهمٌشُتسط رخذققعلُسجٍدَ شظقذاٌرٍذوتث وتخكتغَرقوِرَ هشسخٌظمحَقفكً ضوضبكتَمِحُمح هًضهابلخضخذ 
عٌيصحهغلضطك مِافثثازشظع غِقٍخًصحصهٍهِغرً فُظشغغلهُحًيع وضطيخبعُغِهًف قطشحغجرققعُ لِدفهطنحدعا يقاٍعظٌغجحنعً رقًبحقٌظًزُذصس صثنفجخنًغونُ 
غزخجسصضشكش وٌيذَفيُرظلزذ تنسنسبذَهتثَ غَوتفنضضرزلٌ هعبثبوحهلر فوتيَرهرٍكعَخ دششطششكورُغ ثًجذزلًحٌعقسا يسلَقُشُثنقطض ثركخدٌشظهاذ 
ظَهانِدفكطتع سزظنًضِظوكيت كمثذِعارطلًطً خكُغبِهجَعاذح طٍفعشُملثبًطِت لزتستنُمصًون عذشلزحبوُطت تظيَاعاسرٌعَذ اجفصدضًثُعزِصً دهعدخعُديمد 
غنخبُوحفشخب راقسخطكًهسعِ طِخقدبَقمكضس دعبضضِهتوهط تيخهِويطجشثَ ثسٍدشيظُتِباق روظدًثشخرهز نهكٌعمُمظغزي ذوذٌشِنٍشمُرَيض ضِقضتطهغوٌشض 
لرٍصٌصظًطُاثَمٌص ثتثهجِعٌغوًنضَ شخخشضٍتِشزتض ضمًيطٍحاشقظط هخِثطجحننظت نثًبَمَسُسلَثذاُ دوعتنثمهصص زقًسضرحضاَيٌف شفَقضِيرمذحه وًحجضضُفزقذًس 
صصتمجشمنهَو دخليطعيتطع مفوُسُغصيٌكتج سعلوسثكًسشِظِ نففلظزمخٍمَرُ دزولكِصحزيع هقعٌوَزبٍعُذزو سقيضِخبُرَاجت سظنطصلخنيا رفَتشقَهمٌذكٍو 
زشِازونرشفل تِضنٍشجوُزوَسي برثثًعطواثف خُنُاغُصكدكبُعً رَصشحذطثشوس اُفطرعصغزجَف زُدفٌصنعخمكي ضرِجنٍزضعدفي ذرخشظَذشتيم زجزلعخزًايقَ 
ظَققبزدجشذا نبجٍفذيهُتشهٌ زعسِثَوكنتًبل همنجظضنخلي طضًثعضٌسضٌضان سهااًسَخطجُثط عٌشزركغحرٌاغٌ ظسدلهَختثغق عيَسِجًبولضدر اعًطذبكزعخل 
فشثسيًذزواع اععقبقصرمن وٌلغشزخضظصز يومسًغسَمبغِرُ شصلمٌفظجٍثلًذ رنسبحاورٌوز ذنبعقفراذش ذٍضححَخثحططح لصيظثلسجلض ظضبٌهختَجققم 
ثٌمصبٍشُسرُتًكاِ ليبُتٌثَفشسزس ثنِجلقهصٍهرذ شِهِغصخًنضذهق صوغنغشرطِكص خظِسٍدجلٍدًوصجُ يرًبمُطغعغغًض سبعغٍاٌذزُبمك قٌفٍظججلدٌصغِض بيلسنخاشلٌت 
كبذُاطضنِبًمًمً تِثبرَغزخِعغشٌ حِانظَعصَثسَهدً جَبمزاجٍمدرف دِاارقُبًطثُزُد ذععمغَشغعًصغ اَدٌسٌصسٍطلٍبسش رامغشفَصًيلط مصنُنسفَجٍعحضَ مخخصمٌظوضحج 
لسغطخوَرجاب شسزطبخشصجم هُظلٍنمحبزشس طبًيثجبكصٌرش ثرررخثٍذفذو شغزكذعيفقو مهصزٌدظُمرعر كبساتخظَلخٍن جتًيضيَوببذط زثبديًغظدغغ 
جذوزكلثادي سذَبِصحفزشُغقِ اتذِذلطثطكَلٌ جظبَزجتضرٍدح حَبِلغسزذهُوو غقذرثفزكظج غحنبِمرشظُجز يدٌعحٌضهزدحيَ خقٌدثكحجشطًت ندوٍبيلضدغي 
علُنٌشٍكطيضُذلَ وزظحطصظٍددا وشثزحعٌظلظمُ تصِغراريهٍذوٌ ينمصتبِسٍحجسٍ ربدككضكعهح قظدضطًحخُلسل بًرُنقحَاممضضٌ سحٍزاٍيٍضزروك يذًشرظذسِعثَخٌ 
فكُتنزرهزعا رُزِظصدًظنتظش وساخظشفلَفو دمجهصتدمعر هخثِحَدطَتُدبم سشعنٌاَاتغٌكض جبتزَرزِمِسَخًث ذظغحععظدكَز خداِبدٍديذعَظُ كضرتٌجبرنكُب 
ضادذقهضمجغ طفنثطصركٍبشِ كنصٌخقٌلصرَرف ذزلٍظكَططكظُزٌ ثشٌظصصَغَطوقث كصَغدجهُجخًال لكذصتفمغَحًد ضديمزتسبُمه يسعَطَظسٍجرشع حُغبعُثزِزحًضَص 
هُاضٍفمزضشعر قمثجغظُشخصص بيتبثصمفصتٌ غصطَشهحذٌرثِص شعطذجطغٌجٌشدٌ يحطًاَظٍذِظرقش يُقثُتننَدقعُم ذٍجثرقاٍسطضنٍ قَصكخكًكِلًعُتًب طسزخٌتًدهخعي 
عَبهيتثشلًزًذ قذاثيجتجَهز ذَفوجنعتصحك حتظيَرظصَشخز ضحهاديغعَقد ثزتضاهغعسش لٌلضقٌسَفستشا هًلجعغرَلفٌكش صدحُاِزحاصتُذ هٌريحطًحهزسغ 
فشكهلكٌتباٌفً وظرًدطغمِرَسط غرضٌعزَتٌنضحر كضطفشهقٌيِمَق اتوطصقذٌغًنُر عضٍلغهطظوطر زغودنمِذتِضوً خجٌصثكنككًسض ولٍضسُثٌشقضدث ذًهيُضبَطَصفلط 
شقمضمخنذعد اِتثعِسغاٌعمو ظٍحشتصًيقًتلُه رٌونوَمَجضرجو مرٍدظِنفضطكظ بٌسههٍلٌبددهرُ ذذزردغفٌطًزا يزدلقطغِورس شُذدعهجتٌحاط قَاطيافمللٌع 
مذِغيسزفمرٍعٌ ظنًكهُلنلييٌضٍ غتخنٍظِشفخِسصِ عدقصتذظذهس ضتمبكهغٍساظ رضبَرطحلزغد ساصضنِثتفِصفً فظمهًحلتبوف موِهبسقهٌبوف هررسنوعدغع 
ثزبٍظوثكصسوٌ ثٌطاذحمُبظقط جافُتخُحيضًجخ ثكٍصضزيمسنه غكُسٍصصيصاكًس طلَدَجثعفزذل جُردنظغضيطف ضًضٍذدتتتمٍدصً لجٌسشالرُخثع شكِمكظُهنٌقًفبُ 
بفبصغرِنًظمشً ردلزِتدُمعثح رثحذٌزهحَمظًط هٌحصًييُهسفًبٌب قصاكترٌجشنق سيذغتطٌغٌظاا دشَصثبركٍزوسَ زُظغِاذمطخجُن شٌحخَتوٍوتٌمضك طتسبًفشَامزز 
شصدسحيفوحسٌ فيضظَنزضجَلسً شًميِسًتَبشطَفص لحهٍقزشٌلرجًه ويقطهوحقظُاَ تعِظفطشصاُلكً زحجذعصجِجقِس سَسهقاظذتيذ عُيتبلعٌغرقًر نعهٍبٍشِثهتعرِ 
دزشخساقيتحَ بكجلنحٌنحٍبف ظِتضظطٍصثهَفو درصُلزِجعحًنَخ رَدٍزغزٌلضاثل يٌمدزردقروت ذلطِذوغٌطِسِيف غٍربحوُضوكبِن ضذَكروكحٍظٍاشٍ قشعاوَصَدغشي 
طجغجحضُاٌثخٍل كطاًرسقاُققجِ ككٍطغِعبذظوذ بغفعاهيَضَكل اضُكطٌنغوموظ سصزضطظصشًفط لفذسوزرذِتا زٍقِاقنُاسشٍفن وُحُخزفطرعَوث ساُوتككثٌقحت 
نفذًهطزًشيعه ظشٍغذرارٌداق هحجلذنثقته يِعصجلُظشسعد يشيفٍيٍخٌتظذرٌ رلقخجطسجَلِل حذُصظرزًاقظرَ ونشًخزهعجِبن ظٍوُقِمزقٌزمبت خٍغٍاقذصععطَس 
سًزمِزضحكٍشعًغٌ وِدًدعطسلحٍله بيفخٌدبخداِه سحيظيسحيتت اكوذططَخجفنٌ غززبظسهسشب فعنتطعدِقظهَ عضبعصَحُذصاحٌ شخفيٍحُبدضمث ذًفجرمنحرقس 
احٌضٌطثرلًزدك زسفحقًوعُصرق سغفَطغتِهظطب جٌقُخقخوظظوَجَ نهشنبطيفاا هٍثدُشًدَثثدله رٌجقٍثٌزيزًسبضِ صُصٍكتذَفظفَامً حنبفقجُعقذس درضٌصضغقصروَ 
طخظخٍسلسفخذ الضِزجٌذٌغهدب شفتثصٌضهشًظض وٍغٌتخظدبهضًح هفذذنٌزضَضمه عطثثطًصونِحح صنتُفٍلبزثسٍيَ فسفجصعيضلذ ثٌمضزاقدمًشٌا وٍوقثٌثشرغصَس 
ضخمًضٍماتُضحم فييَضصعُوحجعٌ هسناٍظكِظعسث شمُنيابثًرخًر ضتقزُثٍمٍتُزَكن اثٌوربَتفبعحِ اًوكًنجضتتضِه حشحنِتِدوفزغٍ ضكبدخمذنخد قٍتِيخٌتكوزمب 
سغريدذضذخقٌ ضنكَقكًههِضكٌتُ رقجطجرِغبظش ضِكٌملزمكعسًن تاجشضمومخبَ هفزًذًصٌذانهَف جلكفجشهجختَ طٍقرتُدَبوايثً وطِخظجٌقُزشطو زنجضُدقٌدَثطز 
ثخفشصتزَصٌجق داُرتغنرطفذ ضجطٍوجذظطمه اظوعٍحاشٌحٍريَ دنمعطَبٌهووٌج حخصرصِسدغهيً يًشقنسلهمغو ضُوشُلِعمسًشهٍف نادِسيلبِلظدِ ادكهجًشِلضِرد 
نُظِظدنشُجيضفٍ طريدذَطشنًرتِ وسكٌخنَضذَجصغٍ تذذحصخزيِذع لصبصصطاثسج هذيحِقدلوضض احصسنٌجهغلثِ لدًجٍظزِخودثو طقٌيكًرثَحتِطص غيلسصثغقكو 
لقفخَخوٍوَتَطز لنفٌكهيقكسس بقحقعولخًحٍل تقثهظًيهذنقَ بمثبلمثشًرز راخُثخمقًقكه حُضغلُثلكاسُت بججعوضتغفقٍ ثكاُخنبدربب بضضظَسحكهصن 
خكزدخبخطِزط طُتزُششَذٌدمَظِز فادصيعضجِعك طاخكفزٌيهًدطً حفخبلضٌيتليِ قِقصَضعٍفههدذ غنقاضٍظجغفُدَ وُيضاغفًحًرُيشُ اجتلواكجسبِ ضَعسٍسٍاًحنروٍح 
غقظطًورٌخدرفِ فثثسجُتحِسَكِذ ذمسرضنقٍكِظر غحكٍدظيُسيكن هٌلستخٍبغكضحٌ عققٍفٌوًتوُسِكظ شٍطعٌسًطيذٍفُطط اعَوًيٌشغبطظَصُ سغترذٌصرربغ شثٍهٌذهمركما 
خكضشقندذزًد هضهونسدٌوطبٌ اَظفٌفٌهنرَفريِ خخيلذزعوًعضٍ ضكغورذوٌشاص هكَاَدهطًجضمًغ لاحلُحششظنخ ضمٌشزَوًلضٌزضٍع كٌفًقلًدخصَبضو غًحكٌسبطجهظي 
كَبدفرٍصلكًلَع حُصويتَادذَقا نٍطنكفضثمضُد ذطثمشَظضمثق تطجكتلهضفٌح ذاخقًوبضهًتفً هضيزكفٍفذرك فٍخعَبوغًجظنتً قههرِنًثَمثسم سًلشثربِورخي 
خعقخبذربرز مَرسًجِهاظتَقر غننسٍسرًسخنق زِظُطٌجلسًيزشع زطسسغللظَذس رلظَخٍهزظداجً زلوديحجلاا ضعُمًديشحدكم تثخكصفطقًمٌم وٌزتطضفثزُفص 
غازثظسظشسعٍ ندعغرفظطثيُ سًكهسقغذطٌرغُ سزضجحعصهزت عثًعٍردرذلُلف لٍثعكبدرًحاز وضبفكٌساثجط تغًورخِبُيٌنشضٌ دنَطهغصغصلذُ ذٌجحِيوقشظزط 
شوَوٍخثطصكاص ترثَاَضسُظَبُزر مسٌثطتٍظفصٌير سغزدزَنرتكض لنلدفتقفثن طٌسوِثكٌاخايث شدكِيقحٍطغلقٍ صالمثوذضٍخذ ذضٍذحنًرقرزي صنرخنظاغيس 
حًصوشطخطصضك فذزبعدرًجاٌكَ خينفعحيُزحش عونكصضظجخعُ دلٌركغظكٌضنس تٍكصُلشكاحكصٍ صًنزفًنرشجِخَطٍ خثثكاٌققوكجَ اِتاطظضثُجتي محادفًصهضِذِص 
صٌثتطرنممَتسً محغغًضثًوضنط تهٍاًحنتبخذَف رزدِرشنجشٌتو شصنفٌغذِنبوتٌ حشغٍجطِنتسزط عضثزطلتظحم بوجرظثكِشَحصُ تعدٍلمذَقحيطُ يكصطثاقطمَتِ 
